Target_genes	Tcf7l2|Average	SRX9806209|Embryonic_intestinal_epithelial_cells	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX4891751|Heart_Ventricles	SRX14259589|Liver	SRX14259591|Liver	SRX14259606|Liver	SRX14259607|Liver	SRX14259608|Liver	SRX14259609|Liver	SRX14259610|Liver	SRX14259611|Liver	SRX5825956|Nephron_progenitor	SRX5825957|Nephron_progenitor	SRX5825978|Nephron_progenitor	SRX5825979|Nephron_progenitor	SRX5826000|Nephron_progenitor	SRX5826001|Nephron_progenitor	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	STRING
Ier5	19.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	137	128	0
Gpsm1	19.73913	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0
Ergic3	19.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	86	167	0
6430550D23Rik	19.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	86	167	0
Slc39a14	19.695652	0	0	0	0	0	0	177	0	184	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0
Sdhb	19.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	135	141	0
Ptpn5	19.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0
Itsn1	19.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	144	79	0
Gss	19.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	101	181	0
Dync1li2	19.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0
Cryzl1	19.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	144	79	0
C4bp	19.695652	0	0	0	0	0	0	153	0	88	0	97	0	115	0	0	0	0	0	0	0	0	0	0	0
Adck5	19.695652	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	82	0	0	171	101	0
2310030G06Rik	19.695652	0	0	0	0	0	90	173	0	113	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0
Uggt1	19.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	154	131	0
Tbce	19.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	181	166	0
Phykpl	19.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	314	0	0	0	0	0
Ipo8	19.652174	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	121	0	0	169	0	0	0	0	0
Gckr	19.652174	0	0	0	0	0	0	147	0	100	0	84	0	0	0	0	0	0	0	121	0	0	0	0	0
Cacng3	19.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0
Bnc2	19.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	102	0	0
Tnfaip8	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	149	129	0
Them6	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	185	0	0	0	0	0
Lrrn1	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0
Lamp5	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0
Itgb1bp1	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	181	0
Cpsf3	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	181	0
Cks2	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	90	157	0
C330007P06Rik	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	346	0	0	0	0	0
Atg4d	19.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	228	0
Slc35f5	19.565217	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	113	0	0	164	0	0
Scnm1	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	160	79	0
Psip1	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	296	0	0	0	0	0
Lysmd1	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	160	79	0
Kcnq4	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0
Elac2	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	142	201	0
Dph5	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	209	130	0
Bcl7a	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	197	142	0
Abtb1	19.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	168	152	0
Slc18a1	19.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	185	93	0
Sh3rf3	19.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	335	0	0	0	0	0
Pwwp2a	19.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	121	73	0
Hnf1b	19.521739	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0
Fjx1	19.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0
Atp6v1b2	19.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	185	93	0
Znrd1as	19.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	136	0	0	132	105	0
Znrd1	19.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	136	0	0	132	105	0
Setdb1	19.478261	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0
Ptpn9	19.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0
Zfyve16	19.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	132	177	0
Sema3a	19.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	178	133	0
Rhot2	19.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	257	0	0	0	0	0
Krt77	19.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	237	0	0	0	0	0	0	0
Ier3ip1	19.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	213	0	0	111	0	0
Celf2	19.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	174	0	0
Uri1	19.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	186	152	0
Sppl2b	19.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	228	0
Mx1	19.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	187	0	0	0	0	0	0	0
Lsm7	19.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	228	0
Zc3h18	19.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	179	0
Islr	19.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	240	0
Gm4925	19.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	101	142	0
Arl1	19.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	101	142	0
Steap1	19.304348	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0
Rhog	19.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0
Nckap5	19.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	163	0
Mapk1	19.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	289	0	0	0	0	0
Lrif1	19.304348	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	130	0	0	114	100	0
G3bp2	19.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	229	95	0
Dus1l	19.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	190	0	0	142	0	0
Col5a1	19.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	128	0
Zdhhc17	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	342	0	0	0	0	0
Zbtb12	19.26087	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0
Slc7a8	19.26087	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0
Sez6	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	356	0	0	0	0	0
Rnf40	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	240	74	0
Pdrg1	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	207	97	0
P4ha3	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	142	0	0
Otud6b	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	199	91	0
Morc2a	19.26087	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	152	0
Fnbp4	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	156	215	0
Ehmt2	19.26087	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0
Ccdc189	19.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	240	74	0
Ss18l1	19.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	284	0	0	0	0	0
Rfxap	19.217391	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	168	0
Psma7	19.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	284	0	0	0	0	0
E030030I06Rik	19.217391	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0
Camsap2	19.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	136	186	0
Wsb2	19.173913	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0
Tsfm	19.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	267	0	0	0	0	0
Sec24a	19.173913	0	0	0	0	0	0	115	0	0	0	0	0	81	0	0	0	0	0	0	0	0	127	118	0
Pnisr	19.173913	0	0	0	0	0	0	178	0	0	0	72	0	0	0	0	0	0	0	69	0	0	122	0	0
Pitpna	19.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0
Mblac1	19.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	373	0	0	0	0	0
Dpp8	19.173913	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	109	0
Ankrd28	19.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	357	0	0	0	0	0
Acp6	19.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0
Zfp524	19.130435	0	0	0	0	0	0	78	0	101	0	0	0	0	0	0	0	0	0	188	0	0	73	0	0
Mos	19.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0
Hspa4	19.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	128	192	0
Emilin1	19.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0
Anapc11	19.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	148	186	0
Alyref	19.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	148	186	0
Zc3h10	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	285	0
Tex45	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	213	0
Stt3b	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	127	0
Rpl41	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	285	0
Plch2	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0
Pex11g	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	213	0
Mief1	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	237	0	0	95	0	0
Ist1	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	169	131	0
Gprc5c	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	278	0	0	0	0	0
Galnt11	19.086957	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0
Cox5a	19.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0
Rdh7	19.043478	0	0	0	0	0	0	108	0	0	0	107	0	223	0	0	0	0	0	0	0	0	0	0	0
Prkrip1	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	177	0
Pnkd	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	137	96	0
Nfe2	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	309	0	0	0	0	0
Lamp2	19.043478	0	0	0	0	0	0	60	0	107	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0
Itgav	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0
Fzr1	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	178	0
Clrn3	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0
Arhgef26	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0
Aamp	19.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	137	96	0
Pcyt1a	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	295	0	0	0	0	0
Marf1	19.0	0	0	0	0	0	0	151	0	170	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0
Grb10	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	306	0	0	0	0	0
Fbrs	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	154	0
E2f6	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	263	0	0	0	0	0
D830031N03Rik	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0
Spout1	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0
Sp1	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	93	0	0
Rab8a	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	135	180	0
Pramel12	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	182	132	0
Parp1	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0
Kin	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	102	138	0
Fancc	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	189	0	0	86	0	0
Eps15l1	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	236	0
Atp5c1	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	102	138	0
Actr1b	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	101	0	0
4933424G06Rik	18.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	101	0	0
Rpl5	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	210	0
Plxna4	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0
Plat	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0
Pex3	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	231	0
Naa35	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	179	0
Lgals9	18.913043	0	0	0	0	0	0	120	0	162	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0
Il10rb	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	301	0	0	0	0	0
Eif3e	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	136	200	0
Cd2bp2	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	207	0	0
Adat2	18.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	231	0
Spag6	18.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	244	0
Cacna2d1	18.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0
Ube2v1	18.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	170	136	0
Trmt12	18.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	168	116	0
Tnfaip1	18.826087	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	115	0	0	152	91	0
Nap1l3	18.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0
Katnal1	18.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0
Ippk	18.826087	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	170	0	0
Ift20	18.826087	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	115	0	0	152	91	0
Agap1	18.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	112	105	0
Slc35a5	18.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	161	111	0
Lrrk2	18.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	98	180	0
Ints12	18.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	227	117	0
Gstcd	18.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	227	117	0
Gm3646	18.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0
Atg3	18.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	161	111	0
Zswim4	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0
Uqcr11	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	150	0
Ube2n	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	303	0	0	0	0	0
Sos1	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	233	0	0	0	0	0
Rps26	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	151	60	0
Pou2f1	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	213	125	0
Picalm	18.73913	0	0	0	0	0	0	0	0	114	0	0	0	185	0	0	0	0	0	132	0	0	0	0	0
Ndufs7	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	178	127	0
Got1	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	190	0	0	0	99	0
Depdc7	18.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0
Tbc1d4	18.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	275	0	0	0	0	0
Psmd3	18.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	183	161	0
Prdx3	18.695652	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0
Ppp1r21	18.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	178	0	0
Gabbr1	18.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
Dusp11	18.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	143	143	0
Actb	18.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	149	152	0
Abca6	18.695652	0	0	0	0	0	0	111	0	82	0	99	0	138	0	0	0	0	0	0	0	0	0	0	0
Zbtb40	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	207	0	0
Tmem43	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	152	0
Smim41	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	260	0	0	0	0	0
Smarcal1	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	95	93	144	0	0	0	0	0
Rerg	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0
Olfr54	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	301	0	0	0	0	0
Npffr1	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	301	0	0	0	0	0
Nid2	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	321	0	0	0	0	0
Mrps11	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	114	0	224	0	0	0	0	0
Mrpl46	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	114	0	224	0	0	0	0	0
Krt19	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	226	0
Katnbl1	18.652174	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0
Flrt3	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0
Fam83e	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	217	0
Dmrt2	18.652174	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0
Chchd4	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	152	0
Bri3	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0
Bcl2l11	18.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0
Zdhhc22	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0
Unc5b	18.608696	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	139	0	0	0	0	0
Rnps1	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	148	180	0
Mycbp	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	175	99	0
Hspb8	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0
Hpca	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	134	89	0
Ep400	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	120	118	0
9130019O22Rik	18.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0
Slc1a5	18.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	74	115	0
Rae1	18.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	174	0
Phactr1	18.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	241	0	0	0	0	0
Gmip	18.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	166	0	0	0	0	0	0	0
Tspan14	18.521739	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	193	0	0	0	0	0
Nampt	18.521739	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	69	115	0	0	89	64	0
Kcnj12	18.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	296	0	0	0	0	0
Hnrnpa2b1	18.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	165	110	0
Gapdh	18.521739	155	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	174	0	0
Cbx3	18.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	165	110	0
Amacr	18.521739	0	0	0	0	0	0	0	0	149	0	0	0	182	0	0	0	0	0	95	0	0	0	0	0
Zfp932	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	151	0	145	0	0	0	0	0
Xylt1	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0
Snrpd3	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	134	127	0
Ranbp3l	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	259	0	0	0	0	0
Pin1	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0
Pgam1	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	245	0
Gucd1	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	134	127	0
Gli2	18.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	137	131	0
