Target_genes	Tead4|Average	SRX1817464|C2C12	SRX1817465|C2C12	SRX4153289|Carcinoma,_Basal_Cell	SRX3585309|ES_cells	SRX1885932|Liver	SRX1885933|Liver	SRX1885942|Liver	SRX1885943|Liver	SRX3459538|Liver	SRX6924463|Liver	SRX6924464|Liver	SRX6924465|Liver	SRX6924469|Liver	SRX6924470|Liver	SRX6924471|Liver	SRX6924475|Liver	SRX6924476|Liver	SRX6924477|Liver	SRX6924478|Liver	SRX1885856|MEF	SRX1472461|mESC_derived_haematopoietic_progenitor	SRX1639174|mESC_derived_haematopoietic_progenitor	SRX1817470|Muscle_Cells	SRX1884836|Skeletal_muscle	SRX142910|Trophoblast_stem_cells	SRX3585313|Trophoblast_stem_cells	SRX3730265|Trophoblast_stem_cells	SRX3730266|Trophoblast_stem_cells	SRX6605294|Trophoblast_stem_cells	SRX1639172|Unclassified	SRX1639173|Unclassified	STRING
Rab44	42.354839	0	0	0	0	425	0	142	567	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adap2	42.354839	0	0	0	0	401	236	167	243	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp119a	42.322581	0	0	0	0	267	271	177	321	0	0	0	0	0	0	0	0	0	0	0	146	0	130	0	0	0	0	0	0	0	0	0	0
Sh3bp4	42.322581	0	0	818	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	228	0	0	0
Prelid3b	42.322581	0	0	256	0	309	0	165	400	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0
Pde6c	42.322581	0	0	0	0	609	223	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsd3	42.322581	0	0	420	0	223	0	0	378	137	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Nop53	42.322581	0	0	362	0	156	202	152	173	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl52	42.322581	0	0	0	0	195	312	126	154	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0
Endou	42.322581	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0	0	0	0	0	0	0	0	0	0	0	0
Cdh3	42.322581	0	0	177	0	276	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	313	184	0
Tssk1	42.290323	0	0	0	0	331	0	0	436	113	0	0	0	0	0	153	140	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rreb1	42.290323	0	0	0	0	301	233	86	336	0	0	0	0	0	0	157	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0
Psmc3	42.290323	0	0	169	0	216	356	165	288	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
Dgcr2	42.290323	0	0	0	0	331	0	0	436	113	0	0	0	0	0	153	140	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utp23	42.258065	0	0	169	0	219	145	143	260	0	0	0	0	0	0	152	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0
Sipa1l2	42.258065	0	0	954	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0
Olfr543	42.225806	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	379	295	0
Spr	42.193548	0	0	0	0	214	382	116	346	0	0	0	0	0	0	109	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0
Fndc11	42.193548	0	0	132	0	195	244	249	235	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttr	42.16129	0	0	0	0	490	0	0	426	0	0	0	0	0	0	158	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bgrl	42.16129	0	0	0	0	506	0	106	534	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rai1	42.16129	0	0	331	0	144	0	0	258	0	0	0	0	0	0	0	0	0	0	0	148	163	0	0	0	0	0	0	0	0	158	105	0
Ppil3	42.16129	0	0	0	0	196	228	259	376	0	0	0	0	0	0	116	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0
Nif3l1	42.16129	0	0	0	0	196	228	259	376	0	0	0	0	0	0	116	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0
Irf7	42.16129	0	0	0	0	267	120	169	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	335	0	0	0
Cry1	42.16129	0	0	0	0	202	0	0	370	91	0	0	0	0	0	123	107	0	111	0	90	0	0	0	0	0	0	0	88	125	0	0	0
Zscan22	42.129032	0	0	123	0	337	0	113	465	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0
Tfpi	42.129032	0	0	0	0	276	225	114	289	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	134	0	0
Slbp	42.129032	0	0	115	0	176	239	140	268	0	0	0	0	0	0	123	0	0	0	0	149	0	96	0	0	0	0	0	0	0	0	0	0
S1pr5	42.129032	0	0	950	0	118	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irgq	42.129032	0	0	373	0	249	137	107	240	0	0	0	0	0	0	103	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0
Adar	42.129032	0	0	102	0	141	356	172	182	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	145	0	0	0	0
Slc16a1	42.096774	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	140	236	148	302	196	0
Tcirg1	42.064516	0	0	0	0	151	235	0	381	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	169	0	0	0	0
Mphosph8	42.064516	0	0	150	0	319	194	193	342	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0
Cdh13	42.064516	0	190	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	464	0	0
C330007P06Rik	42.064516	0	0	0	0	252	214	182	277	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	168	0	0	0	0
Ppp1r12c	42.032258	0	0	0	0	196	308	157	333	0	0	0	0	0	0	79	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0
Pcm1	42.032258	0	0	288	0	149	163	110	181	0	0	0	0	0	0	0	0	0	0	0	143	120	0	0	0	0	0	0	0	0	149	0	0
Nxt1	42.032258	0	0	139	0	86	138	0	208	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	147	331	151	0	0
Kazald1	42.032258	0	0	200	0	328	139	95	288	0	0	0	0	0	0	87	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0
Itga1	42.032258	0	0	0	0	271	181	142	265	132	0	0	0	0	0	178	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Caprin1	42.032258	0	0	142	0	197	173	128	325	169	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0
Zfp953	42.0	0	0	0	0	222	262	219	358	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0
Syngr2	42.0	0	0	135	0	254	110	0	386	0	0	0	0	0	0	0	147	0	0	126	144	0	0	0	0	0	0	0	0	0	0	0	0
Pax2	42.0	0	0	0	0	326	198	113	259	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	284	0	0
Cep120	42.0	0	0	212	0	252	279	165	308	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	42.0	0	0	0	0	318	168	236	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc3	41.967742	0	0	95	0	257	216	210	340	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0
Vps8	41.903226	0	0	251	0	191	172	0	260	0	0	0	0	0	0	104	0	0	0	0	101	0	0	0	0	0	0	0	0	0	220	0	0
Snx15	41.870968	0	0	149	0	227	326	164	209	0	0	0	0	0	0	0	0	0	0	0	125	98	0	0	0	0	0	0	0	0	0	0	0
Mtbp	41.870968	0	0	114	0	193	390	306	161	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl13	41.870968	0	0	114	0	193	390	306	161	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b13	41.870968	0	0	0	0	174	0	131	464	0	0	0	0	0	0	142	222	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl5	41.870968	313	0	0	0	146	0	0	177	166	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0
Alg8	41.870968	0	0	150	0	152	0	0	250	0	0	0	0	0	0	148	0	0	0	0	132	0	0	0	0	0	0	0	0	0	210	256	0
4930519F16Rik	41.870968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	170	0	0	0	0	0	0	0	759	213	0
Zar1l	41.83871	0	0	160	0	129	200	0	121	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	207	0	235	108	0
Brca2	41.83871	0	0	160	0	129	200	0	121	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	207	0	235	108	0
Tmem256	41.806452	0	0	161	0	157	162	144	257	0	0	0	0	0	73	117	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0
Rab3d	41.806452	0	0	924	0	107	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
Nlgn2	41.806452	0	0	161	0	157	162	144	257	0	0	0	0	0	73	117	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0
Map2k7	41.806452	0	0	327	0	142	146	121	274	0	0	0	0	0	0	0	0	0	0	0	167	119	0	0	0	0	0	0	0	0	0	0	0
Ikzf5	41.806452	0	0	557	0	292	120	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
Dynll1	41.806452	0	0	246	0	0	106	126	191	127	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	124	133	0
Acadsb	41.806452	0	0	557	0	292	120	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
Snn	41.774194	0	0	289	0	136	0	76	124	0	0	0	0	0	0	165	0	0	0	0	384	0	0	0	0	0	0	0	121	0	0	0	0
Smim10l1	41.774194	0	0	0	0	177	342	117	285	0	0	0	0	0	0	176	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0
Hsp90ab1	41.774194	0	0	217	0	120	199	119	202	301	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Vmac	41.741935	0	0	375	0	166	267	127	242	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
Tfam	41.741935	0	0	437	0	149	0	0	187	0	0	0	0	0	0	132	0	0	0	0	95	0	0	0	0	0	0	0	0	0	150	144	0
Ndufa11	41.741935	0	0	375	0	166	267	127	242	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
Cfh	41.741935	0	0	0	0	211	120	168	333	0	0	0	0	0	0	129	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0
Zfp687	41.709677	0	0	141	0	230	145	178	335	0	0	0	0	0	0	113	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0
Rcor3	41.709677	0	0	241	0	298	326	164	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptges2	41.709677	0	0	97	0	260	393	137	244	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0
N6amt1	41.709677	0	0	0	0	264	386	210	304	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0
Tmem231	41.677419	0	0	153	0	143	0	0	204	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	192	337	0	0	0
Tmed7	41.677419	0	0	0	0	0	141	0	196	121	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	283	157	122	163	0
Serpina1d	41.677419	0	0	0	0	324	0	127	575	0	0	0	0	0	0	113	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0
Furin	41.677419	0	0	490	0	192	0	120	351	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif1a	41.677419	0	0	0	0	0	141	0	196	121	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	283	157	122	163	0
Ccdc74a	41.677419	0	0	80	0	293	136	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	206	0	0
Arntl	41.677419	0	0	0	0	238	224	135	586	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff4	41.677419	0	0	528	0	0	87	0	140	221	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	220	0	0
Dusp10	41.645161	0	0	275	0	197	0	120	239	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	159	0	0	142	0
Cers4	41.645161	0	0	158	0	307	311	165	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0
1700056E22Rik	41.645161	0	0	275	0	197	0	120	239	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	159	0	0	142	0
Ugt2b35	41.612903	0	0	0	0	152	0	151	352	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efnb1	41.612903	0	0	269	0	413	97	0	410	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0
Chchd6	41.612903	0	0	112	0	154	0	150	432	0	0	0	0	0	0	104	0	0	0	0	199	0	0	0	0	0	0	0	139	0	0	0	0
Baz2a	41.612903	0	0	1054	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb45	41.580645	0	0	0	0	154	178	91	189	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	408	184	0	0
Vnn3	41.580645	0	0	0	0	350	202	222	436	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syne2	41.580645	0	0	0	0	300	99	236	389	0	0	0	0	0	0	133	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0
Dennd2a	41.580645	0	0	0	0	228	173	233	264	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	111	0
Cyp2d10	41.580645	0	0	0	0	191	242	237	473	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo1b	41.548387	0	0	118	0	282	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	349	113	0	0
H3f3a	41.548387	0	0	281	0	199	130	0	261	0	0	0	0	0	0	0	0	0	0	0	158	123	136	0	0	0	0	0	0	0	0	0	0
Smtnl2	41.516129	0	0	0	0	312	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	151	123	0
Ppp3cb	41.516129	0	0	447	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	245	235	0	0	0
Neil1	41.516129	0	0	115	0	208	218	220	330	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0
Ift43	41.516129	0	0	126	0	295	248	173	291	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1a1	41.483871	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	603	318	0	0	0
Hes7	41.483871	0	0	160	0	296	0	0	308	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	228	0	0	0
Atp8a1	41.483871	0	0	566	0	145	0	107	195	0	0	0	0	0	0	179	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0
Ivd	41.451613	0	0	105	0	288	258	162	313	0	0	0	0	0	0	87	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0
Vsig2	41.419355	0	0	0	0	373	0	0	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0
Casp8	41.419355	0	0	0	0	132	145	195	457	0	0	0	0	0	0	240	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0
Akap1	41.419355	0	0	238	0	205	0	0	260	0	0	0	0	0	0	0	0	0	0	109	177	0	69	0	0	0	0	0	147	0	79	0	0
9430038I01Rik	41.419355	0	0	222	0	226	138	160	217	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	185	0	0	0
Adi1	41.387097	0	0	89	0	442	0	206	438	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
Zfp472	41.354839	0	0	0	0	287	151	136	551	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Ssr1	41.354839	0	0	134	0	200	0	0	624	169	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Nckap1	41.354839	0	0	125	0	176	0	0	302	0	0	0	0	0	0	0	0	0	0	0	144	0	219	0	0	0	0	0	0	0	126	190	0
Mest	41.354839	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	408	368	0
Agxt	41.354839	0	0	231	0	0	0	0	102	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	454	365	0
Zfp119b	41.322581	0	0	102	0	240	333	247	252	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a5	41.322581	0	0	151	0	417	0	0	591	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0
Dennd5b	41.322581	0	0	0	0	255	0	224	288	0	0	0	0	0	0	136	0	0	0	95	283	0	0	0	0	0	0	0	0	0	0	0	0
Hmbs	41.290323	0	0	136	0	232	242	235	308	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Id2	41.258065	0	0	0	0	176	0	0	336	0	0	0	0	0	0	164	0	0	103	0	127	0	0	0	0	0	0	0	125	163	85	0	0
Garnl3	41.258065	0	0	171	0	303	167	120	403	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chchd2	41.258065	0	0	72	0	223	204	134	251	195	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
Arid3a	41.258065	0	0	343	0	0	80	98	0	0	0	0	0	0	0	0	0	0	0	0	118	0	111	0	0	0	0	0	178	195	156	0	0
Ado	41.258065	0	0	176	0	258	252	107	323	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp60	41.225806	0	0	0	0	281	231	314	359	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0
H3c4	41.225806	0	0	0	0	88	0	0	187	329	0	0	0	0	0	0	0	0	0	0	294	136	125	0	0	0	0	0	0	119	0	0	0
H2bc7	41.225806	0	0	0	0	88	0	0	187	329	0	0	0	0	0	0	0	0	0	0	294	136	125	0	0	0	0	0	0	119	0	0	0
H2ac7	41.225806	0	0	0	0	88	0	0	187	329	0	0	0	0	0	0	0	0	0	0	294	136	125	0	0	0	0	0	0	119	0	0	0
Cdk2ap2	41.225806	0	0	0	0	98	220	0	148	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	676	0	0	0
Abcc4	41.225806	0	0	499	0	129	0	0	120	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	83	0	0	277	0	0	0
Usp47	41.193548	0	0	202	0	136	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	231	233	203	0	0
Tmem237	41.193548	0	0	0	0	302	261	280	294	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0
Snx3	41.193548	0	0	248	0	120	100	0	308	186	0	0	0	0	0	67	0	0	0	0	97	0	0	0	0	0	0	0	0	0	151	0	0
Slc5a6	41.193548	0	0	0	0	308	199	252	241	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn2	41.193548	0	0	124	0	107	0	181	342	0	0	0	0	0	187	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nit1	41.193548	0	0	124	0	107	0	181	342	0	0	0	0	0	187	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmo2	41.193548	0	0	275	0	314	173	0	437	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col8a2	41.193548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	412	364	0
B4galt5	41.193548	0	0	0	0	179	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	209	311	220	0
Atraid	41.193548	0	0	0	0	308	199	252	241	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0
Mecr	41.16129	0	0	173	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	470	0
Ctcf	41.16129	0	0	0	0	176	0	0	235	0	0	0	0	0	0	0	0	0	0	0	242	103	0	0	0	0	0	0	0	241	185	94	0
Cbr1	41.16129	0	0	114	0	106	98	105	232	0	0	0	0	0	0	211	0	0	0	0	287	0	0	0	0	0	0	0	0	0	123	0	0
Zfp64	41.129032	0	0	349	0	226	260	142	212	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0
Psmb10	41.096774	0	0	132	0	170	176	119	254	0	0	0	0	0	0	96	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2r2a	41.096774	0	0	77	0	114	0	0	275	179	0	0	0	0	0	0	104	0	0	92	433	0	0	0	0	0	0	0	0	0	0	0	0
Cep152	41.096774	0	0	150	0	175	186	101	271	0	0	0	0	0	0	143	0	0	0	0	169	0	0	0	0	0	0	0	0	0	79	0	0
Cebpd	41.096774	0	0	212	0	228	233	163	182	142	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0
Cdca7	41.096774	0	0	0	0	259	157	122	490	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0
Selenbp1	41.064516	0	0	132	0	256	199	104	380	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0
Cdk16	41.064516	0	0	88	0	353	172	168	344	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d31	41.032258	0	0	175	0	302	182	114	350	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Rpl29	41.032258	0	0	152	0	240	275	159	215	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	113	0	0	0	0
Prdm10	41.032258	0	0	0	0	158	0	0	224	0	0	0	0	0	0	0	0	165	0	0	133	0	0	0	0	0	0	100	219	273	0	0	0
Myo6	41.032258	0	0	485	0	74	111	154	128	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0
Ctrl	41.032258	0	0	132	0	170	176	117	254	0	0	0	0	0	0	96	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0
Bmpr1a	41.032258	0	0	267	0	200	119	138	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	164	165	0
Ttc26	41.0	0	0	0	0	152	321	296	232	0	0	0	0	0	0	113	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Tjp1	41.0	0	0	258	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	132	265	350	0
Ppp4r3b	41.0	0	0	306	0	119	80	103	290	0	0	0	0	0	0	196	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0
Uap1	40.967742	0	0	301	0	286	161	155	259	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
Asxl2	40.967742	0	0	383	0	0	109	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	141	172	0
Abtb2	40.967742	0	185	0	0	145	0	178	304	0	0	0	0	0	0	160	0	0	0	161	137	0	0	0	0	0	0	0	0	0	0	0	0
1810046K07Rik	40.967742	0	0	0	0	352	311	165	347	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdcp	40.935484	0	0	118	0	233	294	149	338	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps33b	40.935484	0	0	0	0	433	265	0	343	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	86	0
Trim68	40.935484	0	0	344	0	93	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	337	0
Tgfbr1	40.935484	0	0	723	0	197	107	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mzf1	40.935484	0	0	104	0	201	223	182	388	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0
Chkb	40.935484	0	0	0	0	136	136	102	794	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0
Zfp963	40.903226	0	0	148	0	136	172	131	150	0	0	0	0	0	0	0	0	0	0	0	79	0	110	0	0	0	0	0	245	0	97	0	0
Shank3	40.903226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	0	0	0	0	0	0	0	251	333	0
Nprl3	40.903226	0	0	150	0	260	101	113	158	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	101	0	166	0	0
Fam3c	40.903226	0	0	291	0	168	0	155	370	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0
Igfbp1	40.870968	0	0	0	0	308	0	138	537	0	0	0	0	0	0	183	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	462
Tie1	40.870968	0	0	0	0	228	415	365	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Socs6	40.870968	0	0	194	0	221	117	135	383	0	0	0	0	0	0	0	0	93	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0
