Target_genes	Isl1|Average	SRX5360103|E8.25-E9_embryos	SRX2408870|Embryonic_gonad	SRX2408872|Embryonic_gonad	SRX1973054|Islets_of_Langerhans	SRX146883|mESCs,_differentiated	SRX1706950|mESCs,_differentiated	SRX1706951|mESCs,_differentiated	SRX1706956|mESCs,_differentiated	SRX1706957|mESCs,_differentiated	SRX1706963|mESCs,_differentiated	SRX1706964|mESCs,_differentiated	SRX1706972|mESCs,_differentiated	SRX1706973|mESCs,_differentiated	SRX1668835|mESC_derived_cardiac_cells	SRX5360257|mESC_derived_cardiac_cells	SRX5360258|mESC_derived_cardiac_cells	SRX092471|mESC_derived_neural_cells	SRX146882|mESC_derived_neural_cells	SRX1659036|mESC_derived_neural_cells	SRX1659037|mESC_derived_neural_cells	SRX1659038|mESC_derived_neural_cells	SRX1659039|mESC_derived_neural_cells	SRX1030299|Sinoatrial_Node	SRX2480228|Sympathetic_neurons	STRING
6030458C11Rik	13.25	0	0	0	0	0	0	0	0	101	0	0	80	0	0	0	137	0	0	0	0	0	0	0	0	0
Ubtd2	13.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	254	0	0	0	0	0	0	0	0	0
Spag11a	13.208333	0	0	0	0	0	212	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r21	13.208333	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0
Pla2g12a	13.208333	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0
Nectin1	13.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	199	0	0	0	0	0	0	0	0	0
Gm34646	13.208333	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Gm29802	13.208333	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Gls2	13.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0
Fbxo43	13.208333	0	0	0	0	0	102	0	0	0	0	0	0	0	0	74	141	0	0	0	0	0	0	0	0	0
Cped1	13.208333	0	0	0	0	0	108	0	0	80	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd11	13.208333	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0
Aadacl4fm2	13.208333	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0
Washc4	13.166667	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	185	0	0	0	0	0	0	0	0	0
Specc1	13.166667	0	0	0	0	0	0	0	0	72	0	0	0	0	0	74	170	0	0	0	0	0	0	0	0	0
Slc41a2	13.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	211	0	0	0	0	0	0	0	0	0
Rin2	13.166667	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0
P3h2	13.166667	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	178	0	0	0	0	0	0	0	0	0
Olfr985	13.166667	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0
Mrpl4	13.166667	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Morc2a	13.166667	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0
Mindy4	13.166667	0	0	0	0	0	112	0	0	131	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrp3	13.166667	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
Lonrf2	13.166667	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0
Igf2bp2	13.166667	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0
Hnrnpul1	13.166667	0	0	0	0	0	0	0	0	0	0	0	86	0	0	78	152	0	0	0	0	0	0	0	0	0
Gm1043	13.166667	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0
Fam168a	13.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	161	0	0	0	0	0	0	0	0
Edf1	13.166667	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0
E2f8	13.166667	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0
Cyp4x1	13.166667	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Crppa	13.166667	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	101	126	0	0	0	0	0	0	0	0
Cirbp	13.166667	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	124	0	0	0	0	0	0	0	0	0
Camsap1	13.166667	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0
Upk1b	13.125	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0
Triap1	13.125	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	138	0	0	0	0	0	0	0	0	0
Rps3a1	13.125	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	177	0	0	0	0	0	0	0	0	0
Itpk1	13.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	163	0	0	0	0	0	0	0
Gatc	13.125	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	138	0	0	0	0	0	0	0	0	0
Cox7b2	13.125	0	0	210	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catip	13.125	0	0	0	0	0	0	0	112	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0
Bri3bp	13.125	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0
Atp11a	13.125	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	167	0	0	0	0	0	0	0	0	0
Zfp639	13.083333	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	205	0	0	0	0	0	0	0	0	0
Ythdf2	13.083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	173	0	0	0	0	0	0	0	0
Vmn1r225	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Uck2	13.083333	0	108	0	0	0	0	0	0	0	0	0	0	0	0	66	140	0	0	0	0	0	0	0	0	0
St8sia6	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Sec11c	13.083333	0	0	0	0	0	192	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp6r2	13.083333	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0
Phactr3	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Pgs1	13.083333	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0
Pcbp2	13.083333	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
Olfr103	13.083333	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0
Nup205	13.083333	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	170	0	0	0	0	0	0	0	0	0
Lsamp	13.083333	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0
Lrrc66	13.083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	186	0	0	0	0	0	0	0	0
Krtap3-1	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Gm21258	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Gm20736	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Cplx2	13.083333	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0
Cntln	13.083333	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0
Cd86	13.083333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Capg	13.083333	0	0	0	0	0	146	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Art3	13.083333	0	0	0	0	0	173	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap2a2	13.083333	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	188	0	0	0	0	0	0	0	0	0
Slc35f6	13.041667	0	0	0	0	0	0	0	0	113	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	13.041667	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0
Plaat3	13.041667	0	0	0	0	163	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap9-5	13.041667	103	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd13	13.041667	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0
Il25	13.041667	0	0	0	0	0	140	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heatr4	13.041667	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
Gamt	13.041667	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	213	0	0	0	0	0	0	0	0	0
Dazap1	13.041667	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	213	0	0	0	0	0	0	0	0	0
Cmtm5	13.041667	0	0	0	0	0	140	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk8	13.041667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	229	0	0	0	0	0	0	0	0	0
Cand2	13.041667	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0
Actr10	13.041667	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0
Acsl1	13.041667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	240	0	0	0	0	0	0	0	0	0
2310039H08Rik	13.041667	0	135	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0
Vrk1	13.0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0
Srl	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0
Snx21	13.0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0
Ptbp3	13.0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0
Parp16	13.0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0
Enho	13.0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	172	0	0	0	0	0	0	0	0	0
Zfp36l1	12.958333	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0
Tbc1d20	12.958333	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0
Slc22a27	12.958333	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Olfr1006	12.958333	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Lrrc8d	12.958333	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0
Kif5c	12.958333	0	0	0	0	0	0	0	0	120	0	0	95	0	0	0	96	0	0	0	0	0	0	0	0	0
Itprid2	12.958333	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	152	0	0	0	0	0	0	0	0	0
Hoxc4	12.958333	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0
Hnrnpa1l2-ps2	12.958333	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Gtf3c4	12.958333	0	141	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fubp3	12.958333	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Foxn1	12.958333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	199	0	0	0	0	0	0	0	0	0
Edil3	12.958333	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0
E2f3	12.958333	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0
Ddx31	12.958333	0	141	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cebpb	12.958333	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0
Carmil1	12.958333	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0
Capn2	12.958333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0
Bbox1	12.958333	0	91	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2a	12.916667	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0
Scarf2	12.916667	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0
Rap2c	12.916667	0	0	0	0	0	0	0	0	122	0	0	111	0	0	0	77	0	0	0	0	0	0	0	0	0
Psmd9	12.916667	0	0	150	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0
Prmt8	12.916667	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
Ppp1r9a	12.916667	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0
Ppp1r12b	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0
Olfr1318	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0
Olfr1065	12.916667	0	0	0	0	0	168	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd6	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	189	0	0	0	0	0	0	0	0	0
Med13l	12.916667	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0
Glmp	12.916667	0	0	141	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
Gal3st1	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0
Emilin2	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0
Eif3j2	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	237	0	0	0	0	0	0	0	0	0
Eif3j1	12.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	237	0	0	0	0	0	0	0	0	0
Ccl11	12.916667	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Cbln2	12.916667	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	184	0	0	0	0	0	0	0	0	0
Tssk6	12.875	0	0	0	0	0	0	0	0	145	0	0	85	0	0	0	79	0	0	0	0	0	0	0	0	0
Tas1r2	12.875	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0
Tafa1	12.875	0	0	0	0	0	0	0	180	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stfa2l1	12.875	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Sema4f	12.875	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0
Pkd1	12.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	220	0	0	0	0	0	0	0	0	0
Ndufa13	12.875	0	0	0	0	0	0	0	0	145	0	0	85	0	0	0	79	0	0	0	0	0	0	0	0	0
Mrps11	12.875	0	211	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl46	12.875	0	211	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsmem1	12.875	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Lrrc8b	12.875	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0
Ifna5	12.875	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0
Ifna4	12.875	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0
Hpgds	12.875	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0
Fam83b	12.875	0	0	0	0	0	120	0	0	112	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0
Depp1	12.875	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dek	12.875	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	173	0	0	0	0	0	0	0	0	0
Cnot6l	12.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	197	0	0	0	0	0	0	0	0	0
Clec4a4	12.875	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Ccdc33	12.875	0	0	0	0	0	90	0	0	0	0	0	126	0	0	0	0	0	0	0	0	93	0	0	0	0
Apol11b	12.875	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Zfp827	12.833333	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	171	0	0	0	0	0	0	0	0	0
Ythdc1	12.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	200	0	0	0	0	0	0	0	0	0
Ube2h	12.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0
Tcea2	12.833333	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0
Sh3bgr	12.833333	0	0	0	0	234	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0
Prelid3a	12.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	205	0	0	0	0	0	0	0
Plau	12.833333	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0
Otop1	12.833333	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0
Lhx4	12.833333	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	144	0	0	0	0	0	0	0	0	0
Hes1	12.833333	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0
Fbxl22	12.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	235	0	0	0	0	0	0	0	0	0
Dip2a	12.833333	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	206	0	0	0	0	0	0	0	0	0
Crhr2	12.833333	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0
Cracd	12.833333	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Ccnd3	12.833333	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0
Ccl24	12.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0
Arfgef1	12.833333	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	197	0	0	0	0	0	0	0	0	0
Aqp12	12.833333	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0
Amelx	12.833333	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	131	0	0	0	0	0	0	0	0
Zfp469	12.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0
Vmn1r207	12.791667	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0
Trp53bp2	12.791667	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	186	0	0	0	0	0	0	0	0	0
Tmprss6	12.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0
Tmem79	12.791667	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0
Tmed3	12.791667	0	0	0	0	0	160	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smg5	12.791667	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0
Sh3rf1	12.791667	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0
Nagpa	12.791667	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0
Nagk	12.791667	0	0	0	0	0	0	0	0	113	0	97	97	0	0	0	0	0	0	0	0	0	0	0	0	0
Jakmip3	12.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	173	0	0	0	0	0	0	0	0	0
Gucy2g	12.791667	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0
Ggt7	12.791667	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0
Eif2s3y	12.791667	145	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crh	12.791667	0	0	0	0	0	0	0	85	88	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0
Atp5a1	12.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	177	0	0	0	0	0	0	0	0	0
Ap1ar	12.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0
Aga	12.791667	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Acss2	12.791667	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0
Wipf1	12.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	159	0	0	0	0	0	0	0	0	0
Vwc2	12.75	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0
Vmn1r87	12.75	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Twist1	12.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	216	0	0	0	0	0	0	0	0	0
Rprml	12.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	143	0	0	0	0	0	0	0
Rcan3	12.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	218	0	0	0	0	0	0	0	0	0
Ptges3	12.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	84	0	0	0	0	0	0	0	0
Prpf38a	12.75	0	0	0	0	134	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0
Orc1	12.75	0	0	0	0	134	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0
Nt5m	12.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0
Nefl	12.75	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	103	0	0	0	0	100	0	0	0	0
Mta1	12.75	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0
Incenp	12.75	0	0	0	0	109	94	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp15	12.75	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	204	0	0	0	0	0	0	0	0	0
Asgr1	12.75	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	141	0	0	0	0	0	0	0	0	0
Amt	12.75	0	0	0	0	0	0	0	76	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strn	12.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0
Sec61a2	12.708333	0	0	0	0	0	0	0	0	105	0	0	76	0	0	0	124	0	0	0	0	0	0	0	0	0
Sars2	12.708333	0	0	0	0	0	0	0	0	0	0	0	77	144	0	0	84	0	0	0	0	0	0	0	0	0
Rrp1b	12.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	118	0	0	0	0	0	0	0	0	0
Rgs4	12.708333	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Nat8f7	12.708333	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0
Mrps12	12.708333	0	0	0	0	0	0	0	0	0	0	0	77	144	0	0	84	0	0	0	0	0	0	0	0	0
Laptm4a	12.708333	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	110	0	0	0	0	0	0	0	0
Hsf2bp	12.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	118	0	0	0	0	0	0	0	0	0
Hs3st6	12.708333	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0
Dusp22	12.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	244	0	0	0	0	0	0	0	0	0
Asap2	12.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0
4933402N22Rik	12.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0
2700062C07Rik	12.708333	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0
Zscan18	12.666667	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0
Unc5a	12.666667	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0
Tmem178	12.666667	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0
Tmem151b	12.666667	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0
Tas2r143	12.666667	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Tas2r135	12.666667	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Spata2	12.666667	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0
Smim40	12.666667	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0
