Target_genes	Sp1|Average	SRX12298596|B_cells	SRX7799915|CH12	SRX7799916|CH12	SRX7799920|CH12	SRX7799921|CH12	SRX5371688|ES_cells	SRX5371689|ES_cells	SRX5371690|ES_cells	SRX5371691|ES_cells	SRX5371692|ES_cells	SRX5371698|ES_cells	SRX5371699|ES_cells	SRX5371700|ES_cells	SRX5371701|ES_cells	SRX5850139|ES_cells	SRX5850140|ES_cells	SRX5850141|ES_cells	SRX5850142|ES_cells	SRX5850143|ES_cells	SRX5850144|ES_cells	SRX5850145|ES_cells	SRX5850146|ES_cells	SRX5850147|ES_cells	SRX5850148|ES_cells	SRX5850149|ES_cells	SRX9162528|External_genitalia	SRX9162532|External_genitalia	SRX378972|mESCs,_differentiated	SRX378973|mESC_derived_haematopoietic_progenitor	SRX5818135|Neural_Stem_Cells	SRX5818139|Neural_Stem_Cells	SRX1898479|Striatal_neurons	SRX160414|Trophoblast_stem_cells	STRING
Zbtb4	171.939394	302	440	320	384	444	0	0	125	0	0	168	0	0	0	224	0	115	0	106	112	176	0	168	119	155	912	1154	250	0	0	0	0	0	0
Cog2	171.878788	165	866	934	236	577	0	0	0	0	0	295	0	0	0	226	0	130	0	0	115	0	0	0	0	0	0	0	1883	71	0	0	174	0	0
Nsmce1	171.818182	251	951	1035	734	1025	153	122	156	0	0	565	0	0	120	0	0	0	0	0	122	0	0	0	0	0	0	0	436	0	0	0	0	0	0
Hmgcl	171.818182	293	827	919	580	884	381	206	337	0	0	698	0	0	143	212	0	89	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0
Ccdc86	171.787879	535	1174	1300	546	889	278	0	137	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	254	0	0	0	0	0	0
Gpt	171.69697	668	1134	1235	620	1072	137	114	124	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0
Wdr37	171.666667	131	1210	1093	629	1107	103	123	195	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	231	0	0	0	433	0	0
H3c2	171.666667	0	784	806	709	879	158	197	294	0	0	129	0	0	0	0	0	0	0	124	132	272	0	0	0	0	0	0	600	106	0	0	475	0	0
Echdc1	171.515152	300	776	901	439	649	104	98	125	0	0	441	0	0	0	190	0	155	175	0	238	167	0	137	0	0	197	146	98	0	0	0	324	0	0
Cadm2	171.30303	125	0	0	0	0	492	246	662	0	0	658	0	111	90	0	0	0	0	117	212	126	0	0	0	0	1198	1360	256	0	0	0	0	0	0
Rps13	171.272727	149	732	951	402	879	334	103	330	0	0	529	0	0	0	0	0	0	0	85	168	110	0	0	0	0	0	101	779	0	0	0	0	0	0
D630045J12Rik	171.242424	144	726	738	310	640	343	183	166	0	0	210	0	0	0	265	0	0	0	0	0	0	0	169	0	0	855	902	0	0	0	0	0	0	0
Tmem184b	171.212121	252	871	868	487	576	177	0	105	0	0	394	0	0	0	187	121	0	0	81	98	0	0	213	72	0	532	616	0	0	0	0	0	0	0
Lrrc8d	171.181818	541	810	811	529	775	92	0	144	0	0	171	0	0	0	114	0	0	0	0	116	118	70	0	0	0	628	730	0	0	0	0	0	0	0
Znhit1	171.151515	225	1228	968	499	940	249	0	200	0	0	501	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	176	332	0	0	0	213	0	0
Rnh1	171.151515	279	602	653	590	627	496	247	610	0	0	645	0	0	0	106	0	91	0	0	203	115	0	125	0	0	0	0	161	0	0	0	98	0	0
Plod3	171.151515	225	1228	968	499	940	249	0	200	0	0	501	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	176	332	0	0	0	213	0	0
Ndc80	171.151515	199	1184	1375	612	834	188	0	262	0	0	448	0	51	0	0	0	0	0	0	160	0	0	0	0	0	0	0	335	0	0	0	0	0	0
Saxo2	171.090909	289	993	1095	725	1046	252	125	146	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	186	0	0	0	0	0	0
Efl1	171.090909	289	993	1095	725	1046	252	125	146	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	186	0	0	0	0	0	0
Ppp2r2d	171.0	164	755	770	360	483	0	0	85	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	1296	315	0	0	0	0	0	0
Mapk1ip1	171.0	164	755	770	360	483	0	0	85	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	1296	315	0	0	0	0	0	0
Cdk5r2	171.0	152	618	554	300	372	104	0	123	0	0	262	0	0	0	0	0	0	0	98	158	101	0	101	0	0	703	898	1099	0	0	0	0	0	0
Pik3r3	170.939394	170	940	853	414	481	321	137	334	0	0	441	0	0	0	95	0	0	102	93	261	150	0	0	96	0	0	0	417	0	0	0	174	162	0
Pex16	170.848485	428	794	776	282	573	173	104	270	0	0	611	0	0	0	191	0	0	65	0	0	0	0	0	0	0	0	0	1225	146	0	0	0	0	0
Large2	170.848485	428	794	776	282	573	173	104	270	0	0	611	0	0	0	191	0	0	65	0	0	0	0	0	0	0	0	0	1225	146	0	0	0	0	0
Erich2	170.787879	164	0	0	0	0	0	140	0	0	0	527	0	109	0	874	86	261	185	186	217	288	158	352	142	124	828	995	0	0	0	0	0	0	0
Tppp2	170.757576	0	1712	1676	804	1065	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps15	170.575758	371	1096	1108	542	983	166	132	112	0	0	405	0	0	0	0	0	0	0	0	129	122	0	0	0	0	0	0	331	0	0	0	132	0	0
Rplp1	170.393939	293	1197	1395	741	828	164	0	147	0	0	306	0	0	0	84	0	0	0	0	123	134	0	0	0	0	0	0	211	0	0	0	0	0	0
Mapkapk5	170.393939	222	457	411	375	465	0	0	0	0	0	283	0	0	0	115	0	0	108	132	203	174	0	119	0	0	730	1031	685	0	0	0	113	0	0
Dcaf12	170.393939	364	1169	1223	434	800	212	127	335	0	0	487	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	102	270	0	0	0	0	0	0
Mapk13	170.333333	0	0	0	0	0	225	200	185	0	0	0	0	0	0	698	0	426	183	0	117	440	262	435	495	233	795	927	0	0	0	0	0	0	0
Adssl1	170.30303	346	821	789	1230	1279	105	0	0	0	0	450	0	0	0	95	0	0	0	0	89	0	0	81	0	0	0	0	191	0	0	0	144	0	0
Psma5	170.242424	244	982	1118	415	705	156	0	175	0	0	555	0	0	0	0	0	0	0	0	78	96	0	0	0	0	0	0	1094	0	0	0	0	0	0
Spata48	170.151515	116	382	402	392	661	187	0	107	0	0	0	0	0	0	153	78	128	246	288	200	230	0	121	0	116	765	735	0	0	0	0	308	0	0
BC004004	170.151515	186	644	640	493	650	149	0	310	0	0	582	0	0	0	0	0	0	0	0	0	99	0	0	0	0	639	774	318	0	0	0	131	0	0
Nudt16	170.121212	203	997	1269	606	832	132	0	150	0	0	326	0	101	0	136	0	0	105	0	136	118	0	0	0	0	130	373	0	0	0	0	0	0	0
Tsg101	170.060606	293	905	923	699	739	179	163	166	0	0	610	0	0	0	111	0	0	0	0	0	95	0	0	0	0	194	391	144	0	0	0	0	0	0
Slc39a10	170.060606	225	859	1116	626	690	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	99	0	105	0	0	783	895	0	0	0	0	122	0	0
Plppr2	170.060606	651	210	269	140	278	1128	581	829	0	0	845	0	172	97	322	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0
Fos	170.030303	253	786	753	646	898	169	0	254	0	0	329	0	79	0	0	0	0	0	109	208	166	0	0	0	0	0	0	614	0	0	0	122	225	0
Dixdc1	170.030303	254	1288	1256	240	488	170	112	74	0	0	348	0	0	0	280	0	194	281	0	0	149	0	0	0	0	127	213	137	0	0	0	0	0	0
Mzt2	169.939394	425	1208	1194	957	1203	0	0	112	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0
Cenpe	169.909091	212	937	902	651	788	130	0	90	0	0	277	0	0	0	134	0	0	0	0	107	159	0	0	0	0	0	0	1100	120	0	0	0	0	0
Amn1	169.878788	184	1211	1268	736	802	173	0	100	0	0	343	0	0	0	116	0	0	0	0	0	0	0	0	0	0	101	0	572	0	0	0	0	0	0
Ulk4	169.848485	319	904	976	655	996	338	181	295	0	0	428	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	414	0	0	0	0	0	0
Hrh1	169.818182	0	0	0	0	0	359	266	427	0	0	321	0	0	0	430	0	215	305	258	254	222	148	328	337	97	629	929	0	0	0	0	79	0	0
Son	169.727273	274	939	1053	733	933	193	0	143	0	0	286	0	0	0	131	0	0	104	0	132	127	0	160	104	0	0	0	289	0	0	0	0	0	0
Gm36712	169.727273	274	939	1053	733	933	193	0	143	0	0	286	0	0	0	131	0	0	104	0	132	127	0	160	104	0	0	0	289	0	0	0	0	0	0
Gart	169.727273	274	939	1053	733	933	193	0	143	0	0	286	0	0	0	131	0	0	104	0	132	127	0	160	104	0	0	0	289	0	0	0	0	0	0
Ccnj	169.636364	78	287	403	330	460	0	0	0	0	0	142	0	0	0	135	138	0	288	122	674	355	0	112	0	0	631	1031	412	0	0	0	0	0	0
Pck2	169.606061	160	741	1019	978	1436	256	0	156	0	0	470	0	0	0	159	0	0	0	0	0	0	0	107	0	0	0	0	115	0	0	0	0	0	0
Asl	169.606061	325	893	929	704	845	315	293	297	0	0	550	0	103	0	0	0	0	0	0	0	115	0	0	0	0	0	0	153	0	0	0	75	0	0
Trnp1	169.575758	92	593	732	749	877	85	0	118	0	0	205	0	0	0	126	0	0	0	93	126	145	0	78	0	0	688	767	0	0	0	0	122	0	0
Taf4b	169.545455	198	1016	1072	506	837	0	0	0	0	0	303	0	0	0	111	0	0	0	0	98	126	0	0	0	0	412	625	291	0	0	0	0	0	0
Tysnd1	169.515152	166	912	910	237	500	303	0	281	0	0	333	0	0	0	109	0	0	0	0	168	114	0	81	0	0	332	504	644	0	0	0	0	0	0
Tpst1	169.515152	134	561	665	598	878	142	0	111	0	0	463	0	114	98	0	0	0	0	66	150	150	0	0	0	0	639	683	142	0	0	0	0	0	0
Map2	169.515152	188	413	421	284	310	253	108	154	0	0	271	0	0	0	464	0	146	111	0	137	176	0	209	141	0	881	927	0	0	0	0	0	0	0
Nenf	169.484848	519	454	536	635	908	120	0	0	0	0	358	0	0	0	153	0	0	0	0	0	0	0	87	0	0	886	937	0	0	0	0	0	0	0
Eif6	169.454545	485	1126	1182	671	1141	303	122	156	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0
Ntn1	169.363636	0	702	805	589	835	0	0	0	0	0	86	0	0	0	166	111	0	141	133	180	190	0	118	0	114	531	649	239	0	0	0	0	0	0
Appl2	169.363636	355	1288	1362	658	877	0	0	0	0	0	354	0	0	0	265	0	0	89	0	132	0	0	0	0	0	0	0	209	0	0	0	0	0	0
Stxbp5	169.333333	179	659	825	376	436	0	0	0	0	0	118	0	0	0	0	0	0	0	141	0	0	0	0	0	0	631	828	1395	0	0	0	0	0	0
Klf5	169.272727	114	0	0	0	0	442	257	391	0	0	926	0	142	187	258	0	113	262	128	362	200	0	113	146	0	324	501	720	0	0	0	0	0	0
Septin7	169.242424	139	600	625	548	606	127	0	90	0	0	292	0	0	0	125	0	0	0	64	159	142	0	0	0	0	775	924	369	0	0	0	0	0	0
Vezf1	169.212121	0	636	513	345	303	0	0	0	0	0	149	0	0	0	222	64	0	187	112	172	129	0	182	127	148	1087	1208	0	0	0	0	0	0	0
Rraga	169.181818	233	538	547	408	668	361	147	330	0	0	980	0	213	0	87	0	0	0	0	152	167	0	0	0	0	0	0	438	233	0	0	81	0	0
Brip1	169.181818	155	730	1100	552	894	0	0	111	0	0	269	0	0	0	134	0	0	138	0	369	136	0	0	0	0	0	0	821	174	0	0	0	0	0
Zfp960	169.151515	0	159	207	181	167	330	118	239	0	0	658	0	0	164	98	0	0	64	128	275	170	0	0	0	0	0	0	2172	452	0	0	0	0	0
Sec62	169.151515	169	602	696	579	831	108	149	185	0	0	412	0	0	0	107	0	0	70	78	140	171	0	121	0	0	426	570	168	0	0	0	0	0	0
Mcf2l	169.151515	526	278	325	124	204	311	206	247	0	0	315	0	0	0	448	102	284	359	81	126	176	241	111	429	118	176	0	309	0	0	0	86	0	0
Actrt3	169.090909	161	511	552	316	433	155	141	177	0	0	441	0	96	0	115	0	130	87	106	192	126	0	0	0	0	507	568	766	0	0	0	0	0	0
Pelo	169.060606	379	1243	1255	689	947	185	0	277	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cln8	168.969697	0	0	0	0	0	584	293	735	0	0	956	0	209	125	261	160	224	256	131	289	241	106	190	0	91	0	0	415	141	0	0	0	169	0
Plekhf1	168.909091	328	1057	974	421	624	236	176	352	0	0	484	0	79	183	113	0	0	0	117	150	157	0	0	0	0	0	0	123	0	0	0	0	0	0
Efhc1	168.909091	638	0	0	0	0	286	223	586	0	0	743	0	101	160	434	127	277	434	180	210	263	129	248	274	0	0	164	97	0	0	0	0	0	0
Thumpd3	168.848485	175	1012	1104	312	499	185	0	137	0	0	522	0	0	0	205	0	0	0	176	250	0	0	140	0	0	0	0	682	173	0	0	0	0	0
Cdk11b	168.848485	199	803	923	385	654	230	0	181	0	0	559	0	0	0	158	0	95	86	100	134	150	0	0	0	0	0	0	794	121	0	0	0	0	0
Pdcd2	168.818182	213	515	658	464	596	146	0	200	0	0	454	0	0	0	116	0	103	111	0	102	0	0	0	0	0	652	1092	0	0	0	0	149	0	0
Rab40b	168.757576	430	0	0	0	0	494	271	496	0	0	978	0	93	111	393	80	208	259	121	367	222	135	226	78	89	95	120	303	0	0	0	0	0	0
Spata24	168.727273	308	842	1128	572	598	225	368	378	0	0	798	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0
Stap2	168.636364	157	599	588	483	664	86	80	148	0	0	605	0	0	0	102	0	0	0	0	114	132	0	0	0	0	236	415	900	0	0	0	256	0	0
Mpnd	168.636364	157	599	588	483	664	86	80	148	0	0	605	0	0	0	102	0	0	0	0	114	132	0	0	0	0	236	415	900	0	0	0	256	0	0
Mfng	168.606061	420	1012	1050	948	1184	212	127	241	0	0	289	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tk1	168.424242	220	362	401	635	880	558	369	550	0	0	548	0	116	0	0	0	0	0	0	159	0	0	0	0	0	109	0	410	0	0	0	241	0	0
Armc1	168.424242	0	428	526	215	402	0	0	0	0	0	136	0	0	0	0	0	0	0	0	201	0	0	0	0	0	735	767	1844	304	0	0	0	0	0
Fdx1	168.333333	173	921	801	493	1052	178	0	0	0	0	326	0	114	0	79	0	0	0	108	0	0	0	0	0	0	485	825	0	0	0	0	0	0	0
Ppp1r27	168.30303	268	1000	1176	387	693	58	0	102	0	0	320	0	0	0	124	0	0	0	0	80	150	0	0	0	0	544	652	0	0	0	0	0	0	0
Mcrip1	168.30303	268	1000	1176	387	693	58	0	102	0	0	320	0	0	0	124	0	0	0	0	80	150	0	0	0	0	544	652	0	0	0	0	0	0	0
Vps72	168.272727	250	815	937	347	550	346	150	374	0	0	591	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	115	975	0	0	0	0	0	0
Pip5k1a	168.272727	250	815	937	347	550	346	150	374	0	0	591	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	115	975	0	0	0	0	0	0
Isoc1	168.242424	200	849	850	469	757	0	0	0	0	0	235	0	0	0	0	0	0	136	0	0	95	0	105	0	0	910	946	0	0	0	0	0	0	0
Hexb	168.060606	554	1144	1180	552	797	137	111	131	0	0	358	0	0	0	174	0	0	102	0	0	126	89	0	0	0	0	0	91	0	0	0	0	0	0
Pkdcc	168.030303	0	748	778	459	613	0	0	0	0	0	266	0	0	0	155	0	81	0	0	181	64	0	143	0	0	769	739	549	0	0	0	0	0	0
Poli	167.878788	261	1063	1169	372	768	117	109	225	0	0	426	0	0	0	219	0	0	128	0	169	180	0	97	0	0	147	0	90	0	0	0	0	0	0
Zc3h15	167.787879	351	633	808	274	380	0	0	155	0	0	581	0	0	0	248	0	155	0	0	124	134	0	0	0	0	665	725	304	0	0	0	0	0	0
Tmc8	167.727273	605	1277	1366	628	862	123	0	179	0	0	249	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0
Tmc6	167.727273	605	1277	1366	628	862	123	0	179	0	0	249	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0
Ppip5k2	167.727273	419	931	802	538	806	232	0	167	0	0	431	0	0	0	119	0	0	78	85	148	0	0	0	0	0	0	0	523	256	0	0	0	0	0
Gin1	167.727273	419	931	802	538	806	232	0	167	0	0	431	0	0	0	119	0	0	78	85	148	0	0	0	0	0	0	0	523	256	0	0	0	0	0
Hspa14	167.69697	168	1118	1295	681	981	171	91	114	0	0	317	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	489	0	0	0	0	0	0
Cdnf	167.69697	168	1118	1295	681	981	171	91	114	0	0	317	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	489	0	0	0	0	0	0
A530032D15Rik	167.575758	0	971	1020	1140	1160	0	0	0	0	0	0	0	0	0	0	0	0	162	138	0	237	167	158	0	135	0	0	0	0	0	0	242	0	0
Pgap1	167.484848	398	756	862	536	719	264	144	266	0	0	253	0	0	0	249	0	120	146	133	132	185	0	0	0	132	0	232	0	0	0	0	0	0	0
Sspn	167.424242	381	784	881	862	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	235	0	197	0	0	0	84	0	0	0	453	218	0
Thoc2l	167.393939	246	962	625	387	570	100	280	0	0	0	224	0	0	0	102	0	0	0	0	0	0	0	0	0	0	896	1132	0	0	0	0	0	0	0
Tspyl1	167.363636	321	892	806	299	630	117	0	237	0	0	438	0	0	0	111	0	0	0	78	115	110	0	0	0	0	185	177	880	127	0	0	0	0	0
Rpl9	167.363636	247	1130	1037	316	466	0	0	0	0	0	295	0	0	0	171	0	0	95	0	96	158	0	0	0	0	0	0	1314	198	0	0	0	0	0
Lias	167.363636	247	1130	1037	316	466	0	0	0	0	0	295	0	0	0	171	0	0	95	0	96	158	0	0	0	0	0	0	1314	198	0	0	0	0	0
Polrmt	167.333333	196	463	475	335	813	166	0	169	0	0	276	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	2202	314	0	0	0	0	0
Lclat1	167.333333	272	1438	1378	534	896	0	0	0	0	0	226	0	0	0	132	0	0	0	0	117	0	0	0	0	0	0	0	529	0	0	0	0	0	0
Crcp	167.333333	325	893	929	704	845	315	293	297	0	0	550	0	103	0	0	0	0	0	0	0	115	0	0	0	0	0	0	153	0	0	0	0	0	0
Ccdc124	167.333333	126	819	771	320	408	288	320	508	0	0	337	0	0	0	169	0	0	0	0	0	0	0	96	0	0	294	386	394	0	0	0	286	0	0
Fhod3	167.30303	417	0	0	0	0	291	0	145	0	0	372	0	0	104	493	90	210	252	102	179	266	215	278	233	215	858	801	0	0	0	0	0	0	0
Tle2	167.272727	101	876	953	357	424	113	0	190	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	408	1229	251	0	0	0	0	0
Irf5	167.242424	168	1094	1019	548	673	0	0	0	0	0	0	0	0	0	148	0	0	0	136	0	0	0	114	0	0	740	731	0	0	0	0	148	0	0
Rdh13	167.212121	205	583	616	569	746	448	313	477	0	0	498	0	119	0	111	0	0	0	0	143	0	0	0	0	0	0	0	690	0	0	0	0	0	0
Cnppd1	167.212121	152	367	333	358	557	179	0	133	0	0	257	0	0	0	74	69	0	104	114	124	106	0	0	0	0	1190	1053	181	0	0	0	167	0	0
Ccdc92b	167.181818	0	0	0	0	121	286	171	161	0	0	302	0	0	0	693	176	384	581	327	185	486	347	453	376	378	0	0	90	0	0	0	0	0	0
Zzz3	167.151515	0	503	528	335	575	0	0	144	0	0	378	0	0	0	113	0	0	87	104	153	88	0	71	0	0	1127	949	179	0	0	0	182	0	0
Prkag1	167.151515	156	794	1094	712	873	199	0	130	0	0	561	0	97	0	132	0	0	0	0	127	0	0	0	0	0	0	207	212	0	0	0	222	0	0
P4ha2	167.090909	129	361	324	324	444	179	148	72	0	0	362	0	0	0	580	0	170	181	173	148	231	0	170	205	94	469	583	167	0	0	0	0	0	0
Lhfpl2	167.030303	0	500	433	515	660	87	86	0	0	0	269	0	0	0	370	94	229	127	116	82	163	0	202	145	124	619	691	0	0	0	0	0	0	0
Mrps26	166.969697	371	1032	963	570	874	190	219	159	0	0	415	0	0	0	176	0	0	0	65	71	91	0	0	0	0	0	314	0	0	0	0	0	0	0
Zfp809	166.939394	197	745	614	513	614	104	0	102	0	0	376	0	0	0	144	0	0	0	0	107	110	0	0	0	0	0	0	1545	150	0	0	0	188	0
Cstad	166.878788	243	971	965	646	832	265	0	201	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	0
Polr3gl	166.848485	436	1029	1119	524	828	313	170	309	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0
Timm13	166.727273	134	504	436	306	359	240	0	146	0	0	669	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2137	435	0	0	0	0	0
Elavl3	166.636364	370	0	0	0	0	535	268	403	0	0	999	0	113	169	435	144	197	220	201	186	212	175	260	256	196	0	160	0	0	0	0	0	0	0
Trim67	166.575758	86	457	499	423	695	207	162	200	0	0	345	0	117	0	290	108	0	0	137	138	0	0	81	77	0	622	853	0	0	0	0	0	0	0
Tmem9b	166.515152	235	699	774	900	1007	150	0	144	0	0	381	0	74	0	0	0	0	0	0	0	113	0	95	0	0	308	454	161	0	0	0	0	0	0
Atxn7l1	166.484848	258	922	1178	519	636	0	0	104	0	0	307	0	0	0	210	0	77	0	78	187	86	0	0	0	0	117	436	106	0	0	0	273	0	0
Ncoa7	166.30303	143	422	513	529	727	88	109	107	0	0	309	0	0	0	257	0	80	102	116	0	95	0	238	114	0	648	891	0	0	0	0	0	0	0
Dst	166.272727	260	553	505	490	560	149	73	148	0	0	349	0	0	0	200	0	98	0	0	141	121	0	0	138	0	830	872	0	0	0	0	0	0	0
Alpl	166.212121	159	526	605	706	818	148	0	181	0	0	329	0	0	0	157	0	0	0	0	134	113	0	87	78	0	551	671	222	0	0	0	0	0	0
Zfp800	166.121212	297	813	916	508	488	0	0	0	0	0	213	0	0	0	238	0	0	0	111	103	126	0	97	0	93	728	751	0	0	0	0	0	0	0
H4c17	166.121212	0	477	551	361	454	222	0	157	0	0	171	0	0	0	0	0	0	111	0	117	145	0	0	0	140	0	0	1936	333	0	0	307	0	0
Cab39	166.090909	227	749	724	442	576	0	0	134	0	0	161	0	0	0	164	0	0	0	0	113	87	0	0	0	0	893	1113	0	0	0	0	98	0	0
Atg101	166.060606	195	686	706	496	855	209	154	159	0	0	553	0	0	0	87	0	0	0	0	175	0	0	0	0	0	0	0	569	166	0	0	384	86	0
Aldh1b1	166.030303	482	1157	1046	943	1158	170	127	143	0	0	144	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pxmp4	165.818182	87	832	898	559	834	0	0	0	0	0	376	0	0	0	87	0	0	0	0	300	0	0	0	0	0	0	0	1366	133	0	0	0	0	0
Patl1	165.818182	201	844	829	399	402	139	0	137	0	0	169	0	0	0	176	0	129	119	0	118	88	0	113	114	0	624	763	108	0	0	0	0	0	0
Wdpcp	165.69697	116	602	605	204	574	154	125	93	0	0	326	0	69	0	166	0	100	258	0	215	205	0	0	0	0	0	0	1423	233	0	0	0	0	0
Mdh1	165.69697	116	602	605	204	574	154	125	93	0	0	326	0	69	0	166	0	100	258	0	215	205	0	0	0	0	0	0	1423	233	0	0	0	0	0
H2-Q4	165.575758	245	958	913	744	1063	308	195	160	0	0	141	0	0	0	100	0	0	0	0	163	99	0	0	0	0	0	0	375	0	0	0	0	0	0
Wdr75	165.515152	164	756	1037	513	747	161	111	179	0	0	405	0	0	0	0	0	0	0	93	98	0	0	0	0	0	323	458	417	0	0	0	0	0	0
Tet3	165.393939	125	719	597	524	894	201	0	177	0	0	552	0	0	0	191	0	0	97	0	87	121	0	0	0	0	545	628	0	0	0	0	0	0	0
Sigmar1	165.363636	210	571	628	466	681	308	267	354	0	0	628	0	156	0	160	0	0	149	0	159	113	0	0	0	0	0	0	483	0	0	0	124	0	0
Sema3b	165.212121	206	961	1000	821	1014	278	131	174	0	0	531	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	201	0	0
Rnf11	165.212121	117	534	563	533	744	127	0	238	0	0	382	0	0	0	131	0	0	0	0	174	130	0	97	0	0	794	888	0	0	0	0	0	0	0
Zscan22	165.181818	0	0	0	0	0	0	0	0	0	0	124	0	0	0	229	0	146	111	186	255	299	0	0	0	0	0	0	2987	992	0	0	0	122	0
Calr3	165.121212	0	386	523	203	158	0	0	0	0	0	201	0	0	0	129	0	109	209	101	260	165	0	108	0	0	0	0	2410	487	0	0	0	0	0
1700030K09Rik	165.121212	0	386	523	203	158	0	0	0	0	0	201	0	0	0	129	0	109	209	101	260	165	0	108	0	0	0	0	2410	487	0	0	0	0	0
Gas2	165.090909	141	210	314	232	199	133	0	253	0	0	0	0	0	0	0	0	0	137	0	343	237	0	0	0	0	1047	1075	1127	0	0	0	0	0	0
Fancf	165.090909	141	210	314	232	199	133	0	253	0	0	0	0	0	0	0	0	0	137	0	343	237	0	0	0	0	1047	1075	1127	0	0	0	0	0	0
Mcat	165.060606	292	599	807	306	342	113	0	153	0	0	331	0	0	0	120	0	0	102	132	161	159	0	163	0	0	794	873	0	0	0	0	0	0	0
Fam122c	165.030303	215	1175	1340	746	1022	0	0	159	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	92	186	0	0	0	0	0	0
Fam122b	165.030303	215	1175	1340	746	1022	0	0	159	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	92	186	0	0	0	0	0	0
Retreg2	165.0	152	367	333	358	557	179	0	133	0	0	257	0	0	0	74	69	0	104	114	124	106	0	0	0	0	1190	1053	108	0	0	0	167	0	0
Reep5	165.0	285	869	725	340	541	0	0	0	0	0	388	0	0	0	189	0	136	133	120	127	173	0	127	96	0	581	615	0	0	0	0	0	0	0
Fahd2a	164.969697	171	921	740	866	1038	404	208	391	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0
Snrpb2	164.909091	327	1064	1139	718	956	151	0	145	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0
Mtcp1	164.909091	288	1355	1233	619	824	163	259	169	0	0	213	0	0	0	136	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0
Cmc4	164.909091	288	1355	1233	619	824	163	259	169	0	0	213	0	0	0	136	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0
Brcc3	164.909091	288	1355	1233	619	824	163	259	169	0	0	213	0	0	0	136	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0
Adnp	164.909091	138	388	489	477	572	0	106	101	0	0	406	0	0	0	0	0	0	85	0	138	115	0	0	0	0	806	1058	334	96	0	0	133	0	0
Ddx52	164.787879	384	779	976	751	922	177	87	199	0	0	456	0	129	0	155	0	0	0	0	0	89	0	0	0	0	0	0	334	0	0	0	0	0	0
Emsy	164.424242	205	409	329	546	490	268	0	271	0	0	380	0	0	0	120	0	0	94	73	164	126	0	0	0	0	0	141	1605	205	0	0	0	0	0
