Target_genes	Arid3a|Average	SRX2388539|ES_cells	SRX520224|ES_cells	SRX520225|ES_cells	SRX2388546|Trophoblast_stem_cells	SRX3730213|Trophoblast_stem_cells	STRING
Btbd19	91.2	0	0	0	228	228	0
Wdr45	91.0	0	0	0	227	228	0
Pyroxd1	91.0	0	0	0	227	228	0
Nrp2	91.0	0	135	0	160	160	0
Gpatch3	91.0	0	0	0	228	227	0
Cdk12	91.0	0	0	0	228	227	0
Ank2	91.0	0	214	0	120	121	0
Zscan30	90.8	0	0	0	228	226	0
Wdr75	90.8	0	0	0	225	229	0
Tent5b	90.8	0	0	0	227	227	0
Sema6a	90.8	0	0	0	227	227	0
Rfc1	90.8	0	0	0	227	227	0
Pdxp	90.8	0	0	0	228	226	0
Fbxw9	90.8	0	0	0	227	227	0
Zfp449	90.6	0	0	0	227	226	0
Spry4	90.6	0	0	0	227	226	0
Rab33b	90.6	0	191	0	131	131	0
Plaa	90.6	0	0	0	227	226	0
Mycl	90.6	0	0	0	226	227	0
Bach1	90.6	0	170	0	142	141	0
Stard5	90.4	0	0	0	226	226	0
Zfp981	90.2	101	106	0	150	94	0
Zfp65	90.2	0	0	0	229	222	0
Zfp41	90.2	0	157	0	147	147	0
Vwa5a	90.2	0	0	0	225	226	0
Tspan14	90.2	0	76	0	187	188	0
Rrm1	90.2	134	0	0	158	159	0
Plekhm3	90.2	0	229	0	111	111	0
Dcaf1	90.2	0	0	0	225	226	0
Zfp637	90.0	0	0	0	225	225	0
Zfp473	90.0	0	0	0	225	225	0
Vrk3	90.0	0	0	0	225	225	0
Twf1	90.0	0	0	0	225	225	0
Ss18l2	90.0	0	0	0	225	225	0
Slc25a36	90.0	0	197	0	127	126	0
Galk2	90.0	0	0	0	225	225	0
Cops2	90.0	0	0	0	225	225	0
Sytl3	89.8	0	0	0	265	184	0
Kcnh1	89.8	0	131	0	159	159	0
Dynlt1f	89.8	0	0	0	265	184	0
Dynlt1c	89.8	0	0	0	265	184	0
Cox7c	89.8	0	0	0	224	225	0
2700062C07Rik	89.8	0	0	0	224	225	0
Smug1	89.6	0	0	0	224	224	0
Shcbp1	89.6	0	0	0	222	226	0
Nek4	89.6	0	0	0	224	224	0
Epha1	89.6	0	0	0	224	224	0
Emilin1	89.6	0	0	0	224	224	0
Rps17	89.4	0	0	0	224	223	0
Pcnx3	89.4	0	0	0	224	223	0
Ost4	89.4	0	94	0	177	176	0
Nme1	89.4	0	0	0	224	223	0
Mars1	89.4	0	0	0	223	224	0
Map3k11	89.4	0	0	0	224	223	0
Enpp7	89.4	0	0	0	224	223	0
Chka	89.4	0	0	0	224	223	0
Tead1	89.2	0	0	0	223	223	0
Slc16a11	89.2	0	0	0	223	223	0
Pigm	89.2	0	0	0	223	223	0
Kat2a	89.2	0	0	0	223	223	0
Hspb9	89.2	0	0	0	223	223	0
Gm5662	89.2	0	0	0	149	297	0
Fzd2	89.2	0	0	0	223	223	0
Cct8	89.2	0	0	0	223	223	0
Arcn1	89.2	0	0	0	222	224	0
Zfp143	89.0	0	0	0	222	223	0
Syngr1	89.0	0	99	0	173	173	0
Rps23	89.0	0	94	0	175	176	0
Pfkfb3	89.0	0	0	0	223	222	0
Tle3	88.8	0	0	0	222	222	0
Snrnp200	88.8	0	0	0	223	221	0
Serinc4	88.8	0	0	0	220	224	0
Mcoln1	88.8	0	167	0	139	138	0
Malsu1	88.8	0	0	0	223	221	0
Lims2	88.8	0	0	0	221	223	0
Hypk	88.8	0	0	0	220	224	0
Fdxr	88.8	0	0	0	222	222	0
Arl8b	88.8	0	140	0	152	152	0
1810024B03Rik	88.8	0	0	0	223	221	0
Sec24d	88.6	0	145	0	149	149	0
Ndufb8	88.6	0	171	0	136	136	0
Jam2	88.6	147	296	0	0	0	0
Cox18	88.6	0	0	0	221	222	0
Celf2	88.6	0	0	0	209	234	0
Zfp12	88.4	0	0	0	222	220	0
Zc3h13	88.4	0	0	0	221	221	0
Ube2k	88.4	0	0	0	221	221	0
Smim14	88.4	0	0	0	221	221	0
Rnf141	88.4	0	0	0	221	221	0
Prss48	88.4	0	0	0	221	221	0
Nectin2	88.4	0	0	0	221	221	0
Lmo4	88.4	0	0	0	221	221	0
Lipe	88.4	0	0	0	221	221	0
Lhx3	88.4	0	0	0	221	221	0
Krt86	88.4	0	0	0	221	221	0
Kcnu1	88.4	0	0	0	221	221	0
Htra2	88.4	0	0	0	221	221	0
Hoxa1	88.4	0	0	0	221	221	0
Gm8220	88.4	0	0	0	221	221	0
Gm6570	88.4	0	0	0	222	220	0
Gbx1	88.4	0	0	0	221	221	0
Epn3	88.4	0	0	0	221	221	0
Dqx1	88.4	0	0	0	221	221	0
Creb3l1	88.4	0	0	0	221	221	0
Ash2l	88.4	0	0	0	221	221	0
Anapc11	88.4	0	198	0	122	122	0
Alyref	88.4	0	198	0	122	122	0
AI429214	88.4	0	0	0	221	221	0
2310079G19Rik	88.4	0	0	0	221	221	0
Zmym2	88.2	0	0	0	219	222	0
Taf5	88.2	0	0	0	220	221	0
Synj2bp	88.2	0	0	0	221	220	0
Hif1an	88.2	0	0	0	220	221	0
Gm20498	88.2	0	0	0	221	220	0
Fra10ac1	88.2	0	167	0	137	137	0
Zc3h8	88.0	0	0	0	220	220	0
Prr5l	88.0	0	0	0	219	221	0
Pla2g15	88.0	0	0	0	218	222	0
P2rx2	88.0	0	0	0	220	220	0
Commd9	88.0	0	0	0	219	221	0
Cmtm7	88.0	0	0	0	220	220	0
Tspan10	87.8	0	0	0	220	219	0
Rce1	87.8	0	0	0	219	220	0
Nploc4	87.8	0	0	0	220	219	0
Tyro3	87.6	0	0	0	219	219	0
Tfip11	87.6	84	0	0	177	177	0
Plin2	87.6	0	0	0	218	220	0
Nelfa	87.6	0	0	0	219	219	0
Klf6	87.6	0	0	0	219	219	0
Gpx1	87.6	0	152	0	144	142	0
Eid2b	87.6	0	0	0	218	220	0
Dusp4	87.6	0	86	0	176	176	0
Ddx49	87.6	0	0	0	219	219	0
Crygs	87.6	0	0	0	219	219	0
Cope	87.6	0	0	0	219	219	0
Smc3	87.4	0	0	0	218	219	0
Slc27a1	87.2	0	0	0	218	218	0
Rpp30	87.2	0	0	0	217	219	0
Plat	87.2	0	0	0	218	218	0
Parp1	87.2	0	256	0	90	90	0
Nxnl1	87.2	0	0	0	218	218	0
Nf1	87.2	0	0	0	218	218	0
Mtmr6	87.2	0	0	0	219	217	0
Gm1070	87.2	0	135	0	150	151	0
Chid1	87.2	0	0	0	218	218	0
BC051142	87.2	0	0	0	217	219	0
Scarb2	87.0	0	0	0	218	217	0
M6pr	87.0	0	0	0	217	218	0
Cwf19l2	87.0	0	0	0	218	217	0
Atxn2l	87.0	0	0	0	217	218	0
Zfp974	86.8	0	0	0	247	187	0
Zcchc8	86.8	0	0	0	217	217	0
Wdr61	86.8	0	0	0	217	217	0
Tpk1	86.8	0	60	0	187	187	0
Pkd1l2	86.8	0	0	0	217	217	0
H4c8	86.8	0	0	0	219	215	0
Ciao3	86.8	0	116	0	159	159	0
Abra	86.8	0	0	0	217	217	0
Znfx1	86.6	0	101	0	166	166	0
Vpreb3	86.6	0	0	0	215	218	0
Gm5134	86.6	0	0	0	215	218	0
Tmem220	86.4	0	0	0	216	216	0
Slc33a1	86.4	122	0	0	155	155	0
Pramel12	86.4	0	0	0	216	216	0
Nrsn1	86.4	0	0	0	217	215	0
Lnx1	86.4	0	0	0	216	216	0
Lats2	86.4	0	148	0	142	142	0
Zfp934	86.2	0	0	0	214	217	0
Tmem41b	86.2	0	0	0	216	215	0
Specc1	86.2	0	0	0	215	216	0
Mpp2	86.2	0	0	0	216	215	0
Gnmt	86.2	0	0	0	215	216	0
Arl15	86.2	0	140	0	147	144	0
Zfp189	86.0	0	0	0	215	215	0
Ushbp1	86.0	0	0	0	215	215	0
Ubl7	86.0	0	0	0	216	214	0
Trub1	86.0	0	0	0	215	215	0
Snx11	86.0	0	158	0	135	137	0
Polr2m	86.0	0	0	0	215	215	0
Mrpl50	86.0	0	0	0	215	215	0
Mfap3l	86.0	0	0	0	215	215	0
Dusp6	86.0	0	130	0	150	150	0
Babam1	86.0	0	0	0	215	215	0
Atp9b	86.0	0	0	0	215	215	0
Asph	86.0	0	0	0	214	216	0
Prr14	85.8	0	0	0	214	215	0
Gosr2	85.8	0	0	0	214	215	0
Defb11	85.8	0	0	0	215	214	0
Cidec	85.8	0	0	0	214	215	0
Zfhx2	85.6	0	0	0	214	214	0
Thtpa	85.6	0	0	0	214	214	0
Rps9	85.6	0	0	0	214	214	0
Pde7a	85.6	0	0	0	214	214	0
Mdh1b	85.6	0	0	0	214	214	0
Fmc1	85.6	0	0	0	215	213	0
Fastkd2	85.6	0	0	0	214	214	0
Eps15l1	85.6	0	0	0	214	214	0
Ddx56	85.6	0	0	0	214	214	0
2200002D01Rik	85.6	0	0	0	214	214	0
Rfc3	85.4	0	0	0	213	214	0
Lrrn4	85.4	0	0	0	212	215	0
Dhx30	85.4	0	0	0	213	214	0
Ankrd54	85.4	0	0	0	214	213	0
Akr1a1	85.4	0	0	0	214	213	0
Mtpap	85.2	0	0	0	213	213	0
Limk2	85.2	0	0	0	213	213	0
Kctd15	85.2	0	0	0	213	213	0
Cul2	85.2	0	0	0	211	215	0
Poc1a	85.0	0	0	0	212	213	0
Ipo7	85.0	0	0	0	213	212	0
Foxp1	85.0	0	117	0	154	154	0
Tysnd1	84.8	0	0	0	212	212	0
Tuba1b	84.8	0	0	0	212	212	0
Slc46a1	84.8	0	0	0	211	213	0
Sacm1l	84.8	0	0	0	207	217	0
Qpct	84.8	0	0	0	212	212	0
Polg	84.8	0	0	0	212	212	0
Med17	84.8	0	0	0	212	212	0
Arl14ep	84.8	0	0	0	213	211	0
Usp48	84.6	0	159	0	132	132	0
Snu13	84.6	0	0	0	211	212	0
Nepro	84.6	0	0	0	211	212	0
Tmem114	84.4	0	0	0	211	211	0
Taf9	84.4	125	0	0	148	149	0
Rad17	84.4	125	0	0	148	149	0
Pdhb	84.4	0	0	0	212	210	0
H1f2	84.4	0	135	0	144	143	0
Gm45521	84.4	0	0	0	211	211	0
Eml1	84.4	0	0	0	211	211	0
Ak6	84.4	125	0	0	148	149	0
Zfp867	84.2	0	0	0	210	211	0
Pcgf5	84.2	0	0	0	211	210	0
Nsfl1c	84.2	0	138	0	139	144	0
Hexb	84.2	0	0	0	210	211	0
Fbxo11	84.2	0	133	0	144	144	0
Ddx47	84.2	0	0	0	211	210	0
Ube2f	84.0	0	116	0	152	152	0
Epg5	84.0	0	101	0	160	159	0
Spef1l	83.8	0	0	0	209	210	0
Pspc1	83.8	0	0	0	210	209	0
Kmt5a	83.8	0	0	0	210	209	0
Zfp51	83.6	0	0	0	209	209	0
Yipf6	83.6	0	0	0	209	209	0
Yars	83.6	0	104	0	157	157	0
S100pbp	83.6	0	104	0	157	157	0
Rbp7	83.6	0	0	0	209	209	0
Mettl2	83.6	0	0	0	209	209	0
Mef2d	83.6	0	0	0	209	209	0
Cxcl12	83.6	0	0	0	209	209	0
Ccdc130	83.6	0	0	0	209	209	0
Cbarp	83.6	0	0	0	209	209	0
Atp5d	83.6	0	0	0	209	209	0
Rtcb	83.4	0	0	0	209	208	0
Pop5	83.4	0	0	0	209	208	0
Nipbl	83.4	0	0	0	209	208	0
Engase	83.4	0	160	0	129	128	0
Cep112	83.4	0	105	0	156	156	0
9530068E07Rik	83.4	0	0	0	209	208	0
Ylpm1	83.2	0	0	0	208	208	0
Thg1l	83.2	0	0	0	208	208	0
Sart3	83.2	146	0	0	134	136	0
Pole3	83.2	0	98	0	159	159	0
Phactr1	83.2	0	0	0	208	208	0
Naprt	83.2	0	144	0	136	136	0
Iscu	83.2	146	0	0	134	136	0
Gm38396	83.2	0	0	0	197	219	0
Alad	83.2	0	98	0	159	159	0
Zfp729a	83.0	0	0	0	203	212	0
Sod3	83.0	0	0	0	208	207	0
Josd1	83.0	0	0	0	207	208	0
Ildr1	83.0	0	0	0	208	207	0
Gtpbp1	83.0	0	0	0	207	208	0
Ap2a2	83.0	0	0	0	208	207	0
Snrpd3	82.8	0	0	0	207	207	0
Rusf1	82.8	0	0	0	206	208	0
Gucd1	82.8	0	0	0	207	207	0
Coa6	82.8	0	118	0	149	147	0
Cdkl4	82.8	0	0	0	207	207	0
Bub1b	82.8	0	0	0	208	206	0
1700028P14Rik	82.8	0	0	0	207	207	0
Rnpc3	82.6	0	0	0	207	206	0
Diaph3	82.6	0	0	0	206	207	0
Cyb5r1	82.6	0	413	0	0	0	0
Clk4	82.6	0	95	0	159	159	0
BC049762	82.6	0	95	0	159	159	0
Trip10	82.4	0	0	0	206	206	0
Srprb	82.4	0	0	0	206	206	0
Spaca6	82.4	0	0	0	206	206	0
Rps3a1	82.4	0	175	0	119	118	0
Nemp1	82.4	0	0	0	206	206	0
Mrpl34	82.4	0	0	0	205	207	0
Llgl1	82.4	0	0	0	202	210	0
Lcn4	82.4	0	0	0	144	268	0
Gpr108	82.4	0	0	0	206	206	0
Gm3636	82.4	0	286	0	0	126	0
Dda1	82.4	0	0	0	205	207	0
Cfap44	82.4	0	0	0	205	207	0
Aplf	82.4	0	0	0	206	206	0
Akap17b	82.4	0	0	0	207	205	0
Abhd8	82.4	0	0	0	205	207	0
Nudt15	82.2	0	0	0	207	204	0
Gask1b	82.2	0	0	0	205	206	0
Ubac1	82.0	0	0	0	204	206	0
Ttf2	82.0	0	0	0	205	205	0
Rab6a	82.0	0	0	0	205	205	0
Megf8	82.0	0	0	0	205	205	0
Lrrc57	82.0	0	0	0	205	205	0
Haus2	82.0	0	0	0	205	205	0
Gpr89	82.0	0	0	0	205	205	0
Epn1	82.0	0	0	0	204	206	0
Creb3l2	82.0	0	0	0	205	205	0
Rnase4	81.8	0	0	0	204	205	0
Rab5a	81.8	0	105	0	152	152	0
Preb	81.8	0	83	0	162	164	0
Nudt1	81.8	0	0	0	205	204	0
Arid5a	81.8	0	0	0	204	205	0
Ang	81.8	0	0	0	204	205	0
Vgll4	81.6	0	0	0	205	203	0
Sharpin	81.6	0	0	0	204	204	0
Selenoh	81.6	0	123	0	144	141	0
Rab3b	81.6	0	0	0	204	204	0
Olfr750	81.6	0	0	0	205	203	0
Mrpl9	81.6	0	0	0	204	204	0
Maf1	81.6	0	0	0	204	204	0
Gm35339	81.6	0	0	0	204	204	0
Ddx18	81.6	0	160	0	124	124	0
Zfp882	81.4	0	0	0	204	203	0
Scrib	81.4	0	0	0	203	204	0
Phyh	81.4	0	145	0	130	132	0
Ly6g5b	81.4	0	0	0	204	203	0
Krtap6-5	81.4	0	0	0	159	248	0
Kmt2c	81.4	0	167	0	120	120	0
Katnal2	81.4	0	0	0	203	204	0
Gpank1	81.4	0	0	0	204	203	0
Gm10228	81.4	0	0	0	159	248	0
Erap1	81.4	0	0	0	202	205	0
D17H6S53E	81.4	0	0	0	204	203	0
Csnk2b	81.4	0	0	0	204	203	0
Aqr	81.4	0	188	0	109	110	0
Anln	81.4	0	0	0	203	204	0
9530077C05Rik	81.4	0	0	0	203	204	0
Zfp791	81.2	0	0	0	201	205	0
Mob4	81.2	132	94	0	91	89	0
Lrpap1	81.2	0	149	0	128	129	0
Hsp90ab1	81.2	0	0	0	203	203	0
Crip2	81.2	0	0	0	203	203	0
Cog6	81.2	0	0	0	203	203	0
Cd55	81.2	0	162	0	123	121	0
Ccdc3	81.2	0	0	0	203	203	0
Bend3	81.2	0	133	0	137	136	0
Senp2	81.0	0	0	0	203	202	0
Gmcl1	81.0	0	0	0	202	203	0
Fbf1	81.0	0	0	0	204	201	0
Ext2	81.0	0	0	0	203	202	0
Evx1	81.0	0	0	0	203	202	0
Zfp280b	80.8	0	404	0	0	0	0
Zfp174	80.8	0	0	0	202	202	0
Zbtb40	80.8	0	156	0	124	124	0
Mapk4	80.8	0	74	0	165	165	0
Birc2	80.8	0	101	0	151	152	0
Alg13	80.8	0	0	0	204	200	0
5730455P16Rik	80.8	0	0	0	201	203	0
Wiz	80.6	0	163	0	127	113	0
Trmt2a	80.6	0	152	0	125	126	0
Tfcp2l1	80.6	0	109	0	147	147	0
Ranbp1	80.6	0	152	0	125	126	0
Rab39	80.6	0	138	0	133	132	0
Fam53b	80.6	0	133	0	135	135	0
Cstl1	80.6	0	0	0	202	201	0
Bscl2	80.6	0	0	0	201	202	0
Vps36	80.4	0	0	0	202	200	0
Ubl3	80.4	0	200	0	101	101	0
Sel1l	80.4	0	0	0	201	201	0
Rnf135	80.4	0	140	0	132	130	0
Mlst8	80.4	0	0	0	201	201	0
Etfdh	80.4	0	0	0	200	202	0
Cdc42bpb	80.4	0	138	0	131	133	0
Ccdc124	80.4	0	0	0	202	200	0
Ankrd26	80.4	0	0	0	200	202	0
4930579G24Rik	80.4	0	0	0	200	202	0
Zbtb17	80.2	0	0	0	201	200	0
Synpo2l	80.2	0	0	0	200	201	0
Phb	80.2	82	0	0	159	160	0
Nuak2	80.2	0	75	0	163	163	0
Afap1l2	80.2	0	0	0	201	200	0
Ybey	80.0	0	0	0	202	198	0
Rrp15	80.0	0	0	0	200	200	0
Rfc2	80.0	0	0	0	200	200	0
Ppp1r16a	80.0	0	0	0	200	200	0
Pml	80.0	0	75	0	163	162	0
Nop58	80.0	0	0	0	200	200	0
Mrpl24	80.0	0	0	0	201	199	0
Mcm3ap	80.0	0	0	0	202	198	0
Frrs1	80.0	0	0	0	199	201	0
Foxh1	80.0	0	0	0	200	200	0
Cipc	80.0	0	0	0	200	200	0
Wrnip1	79.8	0	0	0	199	200	0
Nipa2	79.8	0	0	0	199	200	0
Krt14	79.8	0	0	0	200	199	0
Gemin6	79.8	0	0	0	199	200	0
Bcar3	79.8	0	161	0	119	119	0
Zfyve27	79.6	0	0	0	199	199	0
Ubxn4	79.6	0	0	0	199	199	0
Slc25a23	79.6	0	0	0	199	199	0
Sema4b	79.6	0	168	0	115	115	0
Rin3	79.6	0	0	0	185	213	0
Rgl2	79.6	0	100	0	149	149	0
Mrpl1	79.6	0	0	0	199	199	0
Hoxa10	79.6	0	0	0	199	199	0
Crb3	79.6	0	0	0	199	199	0
Cenpa	79.6	0	0	0	199	199	0
Rps27l	79.4	0	90	0	154	153	0
Esrp2	79.4	0	0	0	201	196	0
Dst	79.4	0	135	0	132	130	0
Usp20	79.2	0	0	0	198	198	0
Psg25	79.2	0	0	0	198	198	0
Ndufs2	79.2	0	0	0	197	199	0
Ncbp3	79.2	0	0	0	198	198	0
Nampt	79.2	0	145	0	125	126	0
BC005624	79.2	0	0	0	198	198	0
Arhgap28	79.2	0	0	0	198	198	0
Agbl5	79.2	0	0	0	198	198	0
Adamts4	79.2	0	0	0	197	199	0
Zfp933	79.0	0	0	0	197	198	0
Olfr725	79.0	182	213	0	0	0	0
Cul5	79.0	0	0	0	198	197	0
Zfp977	78.8	0	0	0	198	196	0
Uqcc2	78.8	0	0	0	197	197	0
Tsen54	78.8	0	0	0	197	197	0
Tesk1	78.8	0	0	0	197	197	0
Slc3a2	78.8	0	0	0	197	197	0
S100a11	78.8	0	0	0	197	197	0
Rhox4f	78.8	0	0	0	247	147	0
Nrbf2	78.8	0	0	0	197	197	0
Chchd3	78.8	0	0	0	198	196	0
Caskin2	78.8	0	0	0	197	197	0
Atg5	78.8	0	0	0	197	197	0
Zfand2a	78.6	0	0	0	198	195	0
Tsfm	78.6	0	0	0	195	198	0
Srsf2	78.6	0	0	0	197	196	0
Sec11c	78.6	0	0	0	196	197	0
Mfsd11	78.6	0	0	0	197	196	0
Ddx20	78.6	0	0	0	197	196	0
Zfp788	78.4	0	0	0	196	196	0
Tecpr1	78.4	0	0	0	196	196	0
Tdrd7	78.4	0	0	0	196	196	0
Sppl2b	78.4	0	0	0	196	196	0
Slc12a5	78.4	0	0	0	196	196	0
Sf3b2	78.4	0	0	0	196	196	0
Rnf139	78.4	0	0	0	196	196	0
Ovol2	78.4	0	0	0	196	196	0
Nvl	78.4	0	92	0	150	150	0
Ndufa4l2	78.4	0	0	0	196	196	0
Myh3	78.4	0	0	0	196	196	0
Lsm7	78.4	0	0	0	196	196	0
Gal3st3	78.4	0	0	0	196	196	0
Eif2b2	78.4	0	0	0	196	196	0
Ctsg	78.4	0	0	0	196	196	0
Cfap46	78.4	0	0	0	196	196	0
Ccdc105	78.4	0	0	0	196	196	0
C1qtnf9	78.4	0	0	0	196	196	0
Baz1a	78.4	0	0	0	196	196	0
Ass1	78.4	0	0	0	196	196	0
Arpc1a	78.4	0	0	0	196	196	0
Trmo	78.2	0	0	0	196	195	0
Scamp1	78.2	0	96	0	147	148	0
Rab11fip4	78.2	0	0	0	196	195	0
Itgb1bp1	78.2	119	0	0	136	136	0
Irf2bpl	78.2	0	149	0	121	121	0
Hspa9	78.2	0	89	0	151	151	0
Gtpbp2	78.2	0	0	0	195	196	0
Cpsf3	78.2	119	0	0	136	136	0
Rpl8	78.0	0	0	0	195	195	0
Rnf43	78.0	0	140	0	125	125	0
Ppif	78.0	0	0	0	195	195	0
Pcnx2	78.0	0	0	0	195	195	0
Olfr648	78.0	0	0	0	197	193	0
Msra	78.0	0	0	0	193	197	0
Hook2	78.0	0	0	0	195	195	0
Scd2	77.8	0	0	0	195	194	0
Rnf216	77.8	0	0	0	194	195	0
Pole2	77.8	0	0	0	194	195	0
Mfsd4b4	77.8	0	110	0	139	140	0
Klhl21	77.8	0	0	0	195	194	0
Ephx1	77.8	0	0	0	190	199	0
Ccdc117	77.8	0	0	0	195	194	0
Camsap2	77.8	0	123	0	133	133	0
Selenot	77.6	0	0	0	194	194	0
Rps13	77.6	0	0	0	194	194	0
Plp2	77.6	0	0	0	194	194	0
Dok1	77.6	0	0	0	194	194	0
Csk	77.6	0	138	0	125	125	0
Cd164	77.6	0	0	0	194	194	0
Zcwpw2	77.4	0	102	0	143	142	0
Wdr12	77.4	0	0	0	193	194	0
Tuft1	77.4	0	0	0	194	193	0
Tbrg4	77.4	0	0	0	194	193	0
Jak2	77.4	0	0	0	193	194	0
Carf	77.4	0	0	0	193	194	0
Azi2	77.4	0	102	0	143	142	0
Adgrg3	77.4	0	0	0	193	194	0
Zfp91	77.2	0	0	0	193	193	0
Septin4	77.2	0	0	0	193	193	0
Plcxd2	77.2	0	0	0	193	193	0
Mob1b	77.2	0	0	0	193	193	0
Metap2	77.2	0	0	0	193	193	0
Lpxn	77.2	0	0	0	193	193	0
Gsk3a	77.2	0	0	0	193	193	0
Gpld1	77.2	0	0	0	193	193	0
Fam102b	77.2	0	0	0	193	193	0
Csf3	77.2	0	0	0	193	193	0
Atp5b	77.2	0	0	0	195	191	0
Aldh5a1	77.2	0	0	0	193	193	0
Trappc2l	77.0	0	0	0	191	194	0
Nol11	77.0	0	0	0	193	192	0
Iqch	77.0	0	147	0	119	119	0
Galns	77.0	0	0	0	191	194	0
Fam136a	77.0	0	0	0	193	192	0
Aagab	77.0	0	147	0	119	119	0
Wif1	76.8	0	0	0	192	192	0
Prrc2a	76.8	0	0	0	193	191	0
Nup50	76.8	0	0	0	192	192	0
Npepps	76.8	0	0	0	193	191	0
Naglu	76.8	0	0	0	192	192	0
Lhfpl5	76.8	0	0	0	193	191	0
Kif15	76.8	0	0	0	192	192	0
Gm5148	76.8	0	108	0	138	138	0
Dpy19l4	76.8	0	0	0	192	192	0
Chmp5	76.8	0	0	0	192	192	0
Cd38	76.8	0	113	0	136	135	0
Bmf	76.8	0	0	0	192	192	0
Bag1	76.8	0	0	0	192	192	0
1110059G10Rik	76.8	0	0	0	192	192	0
Trmt61a	76.6	0	0	0	191	192	0
Trim41	76.6	0	0	0	191	192	0
Tex2	76.6	0	0	0	191	192	0
Socs3	76.6	51	130	0	101	101	0
Mup4	76.6	115	268	0	0	0	0
Lgi4	76.6	0	0	0	191	192	0
Gpn3	76.6	0	108	0	138	137	0
Fxyd1	76.6	0	0	0	191	192	0
Fam216a	76.6	0	108	0	138	137	0
Cgnl1	76.6	0	0	0	191	192	0
1190007I07Rik	76.6	0	0	0	195	188	0
Zfp707	76.4	0	0	0	190	192	0
Ttll5	76.4	0	0	0	191	191	0
Tmem143	76.4	0	0	0	191	191	0
Syngr4	76.4	0	0	0	191	191	0
Rpl27	76.4	0	0	0	191	191	0
Nus1	76.4	0	137	0	122	123	0
Ndufs7	76.4	0	0	0	191	191	0
Ndufb5	76.4	0	0	0	191	191	0
Mrpl47	76.4	0	0	0	191	191	0
Mbip	76.4	0	0	0	191	191	0
Erg28	76.4	0	0	0	191	191	0
Cirbp	76.4	0	0	0	191	191	0
Cdk10	76.2	0	0	0	190	191	0
Zfp78	76.0	0	0	0	190	190	0
Rps26	76.0	0	0	0	191	189	0
Rcc1l	76.0	0	0	0	190	190	0
Pip4k2b	76.0	0	0	0	190	190	0
Gtf2ird2	76.0	0	0	0	190	190	0
Efna3	76.0	0	0	0	190	190	0
Adssl1	76.0	0	0	0	190	190	0
Tor1b	75.8	0	0	0	189	190	0
Terf1	75.8	0	159	0	78	142	0
Sugct	75.8	0	0	0	189	190	0
Rbm18	75.8	145	0	0	117	117	0
Mrrf	75.8	145	0	0	117	117	0
Mplkip	75.8	0	0	0	189	190	0
Gm2016	75.8	0	0	0	239	140	0
Bud13	75.8	0	0	0	190	189	0
Akirin2	75.8	0	0	0	190	189	0
Snapin	75.6	0	0	0	189	189	0
Setmar	75.6	0	0	0	189	189	0
Setd2	75.6	0	0	0	189	189	0
Scfd2	75.6	0	0	0	189	189	0
Id2	75.6	0	176	0	101	101	0
Gba	75.6	0	0	0	188	190	0
Fip1l1	75.6	0	0	0	189	189	0
Edn1	75.6	0	156	0	111	111	0
Mrps14	75.4	0	0	0	189	188	0
Lsm11	75.4	0	153	0	112	112	0
Dennd6b	75.4	0	117	0	130	130	0
Ddx5	75.4	0	0	0	189	188	0
Cep95	75.4	0	0	0	189	188	0
Ubald2	75.2	0	86	0	145	145	0
Tcta	75.2	0	122	0	127	127	0
Rnf44	75.2	0	0	0	188	188	0
Rhoa	75.2	0	122	0	127	127	0
Rad51ap1	75.2	0	0	0	188	188	0
Ppp6r2	75.2	0	0	0	187	189	0
Lct	75.2	0	0	0	188	188	0
Hoxc4	75.2	0	0	0	188	188	0
Dexi	75.2	0	0	0	188	188	0
D6Wsu163e	75.2	0	0	0	188	188	0
Crlf2	75.2	0	0	0	188	188	0
Clec16a	75.2	0	0	0	188	188	0
Cldn11	75.2	0	0	0	187	189	0
Arsi	75.2	0	0	0	188	188	0
2610001J05Rik	75.2	0	0	0	188	188	0
Usp1	75.0	0	0	0	188	187	0
Sgms2	75.0	0	0	0	188	187	0
Rpia	75.0	0	0	0	188	187	0
Pym1	75.0	0	91	0	142	142	0
Mtg1	75.0	0	0	0	187	188	0
F12	75.0	0	0	0	187	188	0
Dgka	75.0	0	91	0	142	142	0
Ctu1	75.0	0	0	0	187	188	0
Ccdc97	75.0	0	0	0	187	188	0
Rpl29	74.8	0	0	0	187	187	0
Rad54l	74.8	0	101	0	136	137	0
Olfr1252	74.8	0	0	0	199	175	0
Lrwd1	74.8	0	0	0	186	188	0
Eipr1	74.8	0	0	0	187	187	0
Eif3g	74.8	0	0	0	187	187	0
Cep63	74.8	0	0	0	187	187	0
Anapc13	74.8	0	0	0	187	187	0
Alkbh4	74.8	0	0	0	186	188	0
Zfc3h1	74.6	0	0	0	186	187	0
Yif1a	74.6	0	0	0	186	187	0
Tmem151a	74.6	0	0	0	186	187	0
Thap2	74.6	0	0	0	186	187	0
Map7	74.6	0	373	0	0	0	0
Kptn	74.6	0	0	0	188	185	0
Haus1	74.6	0	0	0	186	187	0
Gadd45gip1	74.6	0	0	0	186	187	0
Exoc3l	74.6	0	0	0	186	187	0
Cnot4	74.6	0	0	0	186	187	0
Ciz1	74.6	0	0	0	187	186	0
Cibar2	74.6	0	0	0	187	186	0
