Target_genes	Zfp57|Average	SRX10265156|ES_cells	SRX10265157|ES_cells	SRX1421936|ES_cells	SRX1421939|ES_cells	SRX14394947|ES_cells	SRX14394948|ES_cells	SRX14394949|ES_cells	SRX14394950|ES_cells	SRX1556082|ES_cells	SRX1556086|ES_cells	SRX1556090|ES_cells	SRX476210|ES_cells	SRX476211|ES_cells	SRX5140866|ES_cells	SRX5140867|ES_cells	SRX5140868|ES_cells	SRX5140869|ES_cells	SRX5140870|ES_cells	STRING
Ncmap	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Myh9	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Mybl2	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Mapkap1	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Kcnj6	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Insr	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Il11ra1	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Hps6	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Fos	11.833333	0	0	0	0	0	0	0	0	0	0	0	123	90	0	0	0	0	0	0
Ezh2	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Erc1	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Eci3	11.833333	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx11	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Crhbp	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Cfdp1	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Ccdc86	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Bod1l	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Arrb2	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Abcf1	11.833333	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
Xpo5	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Vps4a	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Vangl2	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Usp13	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Ube2e1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Ttll10	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Svop	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Stx1b	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Srebf2	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Spen	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Sp3	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Satb2	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Rogdi	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Rif1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Ptpa	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Polm	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Polh	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Pmch	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Pgap2	11.777778	0	0	0	0	0	0	0	0	0	0	0	134	78	0	0	0	0	0	0
Nup50	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Nup214	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Nuak1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Myo5a	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Mreg	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Mgat1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Map3k20	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Izumo1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Itm2b	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Ihh	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Grin3b	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Gm4925	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Galk1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Foxp1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Fam118a	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Fam117a	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
En2	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Efs	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Crat	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Corin	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Cisd2	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Chchd5	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Arl1	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Anapc7	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Adamts8	11.777778	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Ube2d2a	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Trib3	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Stard3	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Star	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Sprn	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Spcs3	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Slc4a11	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Sec13	11.722222	0	0	0	0	0	0	0	0	0	0	0	110	101	0	0	0	0	0	0
Rad54l	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Prkaa1	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Pcdhac1	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Pcbp3	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Otulin	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Msx3	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Mat2b	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Man2c1	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Lrba	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Krt7	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Kcng2	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Hand1	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Gpr139	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Gltp	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Fgf6	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Epb41l2	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Elovl2	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Dsg2	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Dnmt3b	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Cytl1	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Crem	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Cad	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Adipor1	11.722222	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Wfdc13	11.666667	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0
Tram2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Tpra1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Tmem50a	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Thop1	11.666667	0	0	0	0	0	0	0	0	0	0	0	147	63	0	0	0	0	0	0
Spring1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Slc9a2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Slc35g1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Rsbn1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Rps10	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Rnft2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Rcc1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Ranbp3	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Ptpn13	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Pnpo	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Plekhn1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Phlda3	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Per3	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Pax2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Patj	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Pafah1b3	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Mycbp	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Mvb12a	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Mcm2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Lurap1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Lifr	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Kcnh5	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Ifngr2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Hoxc13	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Hmgcr	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Hapln2	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Gstm5	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Eef2k	11.666667	0	0	0	0	0	0	0	0	0	0	0	121	89	0	0	0	0	0	0
Dgat1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Dbx1	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Cdh13	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Cblb	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Bmper	11.666667	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
Zw10	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zmynd8	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zmat5	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zfp830	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zfp72	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zfp113	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zfp106	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Wdr76	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Vmn2r69	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Uqcrc2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Uqcr10	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Uhrf2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ubxn2b	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tubg2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ttll13	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Trex1	11.611111	0	0	0	0	0	0	0	0	0	0	0	126	83	0	0	0	0	0	0
Tob1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tnpo1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tmx3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tmem44	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tmem35b	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tmem158	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Timm10b	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tdh	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tceal3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Tank	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Svip	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Stard8	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Stard3nl	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Srp19	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Srd5a3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Sox12	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Snap23	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Smcp	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Smarcad1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Slitrk4	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Slc35d2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Slc30a7	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ska1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Sertad4	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Sdha	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Rsl1d1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Rnf166	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Rheb	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Rars2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Rapgef6	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Rad54b	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Pyroxd1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Prrc2b	11.611111	0	0	0	0	0	0	0	0	0	0	0	135	74	0	0	0	0	0	0
Pld5	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Pik3r3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Pgr15l	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Pfn4	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Parl	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
P2ry1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Orc3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Nobox	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Nme1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Neurl4	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ndufv2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Naxe	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Nampt	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Muc3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mtf2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Msmo1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mrpl58	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mrpl19	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mideas	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mfap1a	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mcph1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Mapk1ip1l	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Luc7l2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Loxl1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Lmnb1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Limk2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Lcmt1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Krt5	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Krt23	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Krr1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Kif3c	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Kdm5c	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Inip	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ikbke	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Hhipl1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gpn3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gm4724	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gm2026	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gm2007	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gm14434	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gm14430	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Gm14308	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Fyco1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Fhit	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Fgf10	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Fermt3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Fam216a	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Fam120c	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Eya3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Extl2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Esco2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Eri1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Emcn	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Eef1akmt2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Drc1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dph5	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dpf3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dock7	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dnah7a	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dnaaf4	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dlc1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dip2a	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Dera	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
D030056L22Rik	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ctu2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ctso	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Cox7c	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Cox6c	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Coro2b	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Cnep1r1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Clrn3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Clmp	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Clk1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Cd69	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Cct6b	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ccdc25	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ccdc127	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Car9	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Cacna1h	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Brinp3	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Brinp2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Bmp6	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Banp	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Atp6v1g1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Asnsd1	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Ash1l	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Asdurf	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Arl8a	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Arl5a	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Arhgef39	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Arfip2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Aqr	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Aldh1l2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Adamts15	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Acnat2	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Abcd4	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Abcc9	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
4930562C15Rik	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
2810408A11Rik	11.611111	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Zim1	11.555556	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0
