Target_genes	Fos|Average	SRX10247302|ASZ001	SRX10247303|ASZ001	SRX671652|Cortical_neuron	SRX671653|Cortical_neuron	SRX671656|Cortical_neuron	SRX671657|Cortical_neuron	SRX671660|Cortical_neuron	SRX671661|Cortical_neuron	SRX671665|Cortical_neuron	SRX671666|Cortical_neuron	SRX671670|Cortical_neuron	SRX671673|Cortical_neuron	SRX671677|Cortical_neuron	SRX671680|Cortical_neuron	SRX2901285|Macrophages	SRX2901286|Macrophages	SRX2901287|Macrophages	SRX2901288|Macrophages	SRX2901289|Macrophages	SRX310209|Mast_Cells	SRX13792898|MEF	SRX13792899|MEF	SRX13792924|MEF	SRX13792925|MEF	SRX13792950|MEF	SRX13792951|MEF	SRX13792980|MEF	SRX13792981|MEF	SRX13792982|MEF	SRX1839213|MEF	SRX1839214|MEF	SRX1839215|MEF	SRX1839216|MEF	SRX1839217|MEF	SRX1839218|MEF	SRX1839269|MEF	SRX1839270|MEF	SRX2254725|Mesenchymal_stem_cells	SRX18326690|Microglia	SRX18326692|Microglia	SRX18326694|Microglia	SRX18326696|Microglia	SRX3730270|Trophoblast_stem_cells	SRX3730288|Trophoblast_stem_cells	STRING
Gli3	39.522727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	157	0	178	272	191	0	0	216	0	0	149	0	0	0	0	226	0	0	0	0	0	206	0	0
Poln	39.5	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	414	353	203	0	0	0
Haus3	39.5	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	414	353	203	0	0	0
Ap3b2	39.5	0	0	0	0	168	242	0	0	92	187	162	0	0	0	0	0	0	0	0	0	0	0	0	0	136	107	0	0	233	0	0	0	141	0	0	0	270	0	0	0	0	0	0	0	0
Omp	39.477273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	258	0	0	313	0	0	181	0	0	0	0	340	179	0	0	0	0	295	0	0
N6amt1	39.477273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	617	521	233	0	0	0
Magoh	39.477273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	143	0	84	130	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	82	0	163	236	330	207	0	95	0
Gnb4	39.477273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	141	0	84	185	0	242	212	194	0	0	202	0	0	102	0	0	0	0	174	0	0	0	0	0	0	0	0
Anp32b	39.477273	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	478	0	128	255	311	174	0	172	0
Trmt10c	39.454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	488	476	342	0	0	0
Prrc2b	39.454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	211	432	547	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parp14	39.454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	299	430	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	251	296	0	0	0	0
Akr1a1	39.454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	161	143	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	403	388	194	0	0	0
H2bc21	39.431818	0	0	0	0	119	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	165	0	0	0	117	0	0	0	115	0	223	217	305	191	0	0	0
H2ac21	39.431818	0	0	0	0	119	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	165	0	0	0	117	0	0	0	115	0	223	217	305	191	0	0	0
H2ac20	39.431818	0	0	0	0	119	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	165	0	0	0	117	0	0	0	115	0	223	217	305	191	0	0	0
Bcl2l13	39.431818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	115	218	106	85	0	0	0	0	0	87	0	0	145	0	0	0	0	0	0	0	90	0	162	301	149	164	0	0	0
Nudt14	39.409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	145	166	0	0	398	0	0	196	137	0	0	0	320	0	0	101	108	0	0	0	0
Itprid2	39.409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	114	0	109	0	0	0	0	231	0	0	0	0	242	0	0	0	0	0	0	0	166	0	0	343	184	161	0	86	0
Cadm4	39.409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	105	162	151	0	0	285	0	0	137	179	0	0	0	166	241	0	0	0	0	0	217	0
Tmco3	39.386364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	173	182	166	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	173	397	105	0	0	0
Sgtb	39.386364	0	0	0	0	0	274	0	0	0	135	0	0	164	0	0	0	0	133	118	0	0	0	0	0	162	0	0	0	205	0	0	0	94	0	0	0	122	0	0	113	129	84	0	0	0
Nln	39.386364	0	0	0	0	0	274	0	0	0	135	0	0	164	0	0	0	0	133	118	0	0	0	0	0	162	0	0	0	205	0	0	0	94	0	0	0	122	0	0	113	129	84	0	0	0
Dcun1d2	39.386364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	173	182	166	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	173	397	105	0	0	0
Rnps1	39.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	83	103	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	240	386	453	245	0	0	0
Lsm2	39.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	485	387	255	0	0	0
Snx16	39.340909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	226	215	171	189	104	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	73	0	0	139	209	111	0	0	0
Zfp668	39.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	139	145	0	0	0	225	0	0	0	122	0	0	0	0	0	132	247	258	275	0	0	0
Zfp646	39.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	139	145	0	0	0	225	0	0	0	122	0	0	0	0	0	132	247	258	275	0	0	0
Tmem80	39.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	131	0	0	0	0	0	0	0	0	0	285	476	433	239	0	0	0
Nrros	39.295455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	125	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	476	417	156	0	0	0
Cacfd1	39.295455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	384	411	442	301	0	0	0
Acin1	39.295455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	196	413	322	338	0	231	0
Tbl1xr1	39.272727	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	406	451	159	163	129	0
Fam43a	39.272727	0	0	125	0	0	0	0	0	0	0	0	0	84	0	0	149	331	331	179	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	78	190	98	83	0	0	0
Thumpd2	39.227273	0	0	0	0	0	0	0	0	0	166	0	0	209	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	317	361	189	0	0	0
Preb	39.227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	96	101	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	413	368	137	0	0	0
Mob1a	39.227273	0	0	0	0	68	0	0	0	0	0	188	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	471	330	193	0	0	0
Irgq	39.227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	144	97	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	185	327	326	245	0	0	0
Fut7	39.227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	356	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	381	185	140	0	0	0
Rpp38	39.204545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	163	0	0	0	236	0	0	107	0	0	0	0	141	199	128	353	125	0	0	0	0
Emsy	39.204545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	533	500	253	0	0	0
Lsm14b	39.181818	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	111	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	325	320	297	248	0	187	0
Kdm5a	39.181818	0	0	0	0	114	0	0	0	0	0	0	0	0	0	115	0	0	89	117	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	249	325	384	241	0	0	0
Daglb	39.181818	0	0	0	0	0	249	0	0	0	0	189	0	104	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	358	311	222	0	0	0
Tanc2	39.159091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	383	301	272	0	119	0
Susd1	39.159091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	103	158	245	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	315	0	0	0	394	0
Fbrs	39.159091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	324	549	214	0	0	0
Eya3	39.159091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	132	104	184	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	407	191	306	0	0	0
Mapkapk2	39.136364	0	0	0	0	0	136	0	0	0	0	134	0	0	0	0	0	156	206	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	243	150	175	0	0	0
Ccdc90b	39.136364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	114	119	155	204	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	168	240	202	180	0	0	0
Sf3a1	39.113636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	371	428	417	192	0	156	0
Rnf31	39.113636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	121	224	215	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	330	219	183	0	0	0
Psme2	39.113636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	121	224	215	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	330	219	183	0	0	0
Mtch2	39.113636	0	107	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	181	0	176	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	163	303	288	223	0	0	0
Ccdc157	39.113636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	371	428	417	192	0	156	0
Togaram1	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	379	315	339	0	0	0
Tm9sf1	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	139	0	124	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	242	318	448	184	0	0	0
Thegl	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	533	315	286	0	0	0
Slc35b1	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	173	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	340	315	320	0	0	0
Mab21l3	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	189	232	0	0	225	0	0	212	0	0	0	0	412	0	117	0	138	0	0	0	0
Klhl28	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	379	315	339	0	0	0
Gmds	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	121	145	205	213	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	174	261	258	103	0	0	0
Fan1	39.090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	96	145	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	363	278	217	0	0	0
Vamp4	39.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	279	313	266	122	0	0
Pitpnm2	39.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	180	164	0	0	336	0	0	258	167	0	0	0	176	0	0	0	0	0	0	236	0
Map2k2	39.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	141	242	398	348	236	0	0	0
Klhl20	39.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	453	310	211	0	0	0
Ccdc33	39.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	205	208	0	0	0	543	0	0	0	0	0	0	226	0
Atg7	39.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	325	210	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	404	212	133	0	0	0
Spcs3	39.045455	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	115	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	422	265	217	0	0	0
Topbp1	39.022727	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	143	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	429	415	230	0	0	0
Olfr1390	39.022727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	291	351	0	0	160	0	0	124	219	0	0	0	226	0	0	0	0	0	0	0	0
Hvcn1	39.022727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	556	447	272	0	0	0
Ecpas	39.022727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	150	204	119	115	120	0	0	0	72	120	0	0	0	165	0	0	132	140	0	0	0	113	0	0	0	0	0	0	142	0
Catsperg1	39.022727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	83	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	554	485	117	0	0	0
Tubg2	39.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	182	226	0	0	332	0	0	274	197	0	0	0	190	0	0	0	0	0	0	174	0
Supt16	39.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	361	397	410	202	0	0	0
Phax	39.0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	277	450	265	200	0	132	0
Aldh7a1	39.0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	277	450	265	200	0	132	0
Fam118a	38.977273	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	116	94	93	0	0	0	0	161	0	0	103	0	0	0	0	0	0	0	0	0	188	233	342	86	0	0	0
Trim12a	38.954545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	159	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	411	318	223	0	0	0
Rnaset2b	38.954545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	107	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	197	505	351	285	0	0	0
Mrpl35	38.954545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	181	220	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	265	312	170	0	163	0
Ddx55	38.954545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	469	418	299	0	0	0
Ap3d1	38.954545	0	0	0	0	0	0	0	0	0	0	250	280	0	0	0	0	118	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	420	276	100	0	0	0
Abcf2	38.954545	0	75	0	0	0	0	0	0	0	0	120	246	0	0	0	80	0	0	84	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	144	376	324	99	0	0	0
Repin1	38.931818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	96	0	97	301	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	146	331	385	140	0	0	0
Mrpl27	38.931818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	386	385	211	0	0	0
Gm5111	38.931818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	96	0	97	301	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	146	331	385	140	0	0	0
Eme1	38.931818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	386	385	211	0	0	0
Brwd1	38.931818	0	0	0	0	0	0	93	0	0	0	215	287	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	370	295	139	0	0	0
Arpin	38.909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	156	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	477	392	172	0	0	0
Slfn5	38.886364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	319	308	0	115	577	0
Fitm2	38.886364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	158	80	188	0	0	0	0	0	84	0	0	149	0	0	0	0	0	0	0	112	0	223	294	292	0	0	0	0
Ercc5	38.886364	0	0	0	0	247	0	0	0	0	0	0	0	0	0	86	0	95	0	152	147	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	193	347	227	146	0	0	0
Optc	38.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	120	127	211	183	195	0	0	255	0	0	0	0	0	0	0	281	0	0	0	0	0	0	147	0
Nucb1	38.863636	0	0	0	0	0	0	0	0	0	0	221	198	153	0	0	0	91	162	0	203	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	123	254	160	0	0	0	0
Mxd3	38.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	66	174	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	143	256	267	0	0	561	0
Herc1	38.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	212	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	397	287	201	0	0	0
Heatr5a	38.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	155	156	141	122	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	214	374	239	127	0	0	0
Cdc73	38.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	149	0	0	0	233	0	0	0	0	0	0	0	120	0	259	199	174	151	0	246	0
Ak1	38.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	161	113	0	0	0	0	0	0	0	0	0	256	0	0	217	0	0	0	0	0	0	0	111	117	0	0	604	0
Ufc1	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	98	86	248	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	234	385	175	0	0	0
Steap3	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	178	212	182	97	0	0	0	0	0	0	0	0	0	131	0	0	0	101	0	0	0	90	0	178	111	138	159	0	0	0
Soga1	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	189	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	143	365	241	247	0	142	0
Rnaseh2a	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	146	142	0	0	0	0	0	0	106	146	0	148	879	0
Prdx2	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	146	142	0	0	0	0	0	0	106	146	0	148	879	0
Otub1	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	537	558	285	0	0	0
Orc5	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	109	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	159	366	285	197	0	103	0
Cdk13	38.840909	0	0	0	0	166	0	0	0	0	0	0	79	0	0	0	0	124	129	107	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	255	276	344	147	0	0	0
Ankrd35	38.840909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	235	260	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	172	202	212	0	268	0
Smg1	38.818182	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	232	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	377	323	124	0	0	0
Rcan2	38.818182	0	0	0	0	284	424	0	0	91	165	361	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	106	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr3	38.818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	282	369	387	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0
Rrm1	38.795455	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	131	0	0	0	0	0	0	0	0	0	0	162	0	276	404	308	196	0	0	0
Nt5m	38.795455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	212	216	156	0	0	205	0	0	199	0	0	0	0	0	0	164	198	200	0	0	0	0
Xrcc5	38.772727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	111	86	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	480	301	248	0	0	0
Zfp943	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	393	362	202	0	0	0
Zfp942	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	393	362	202	0	0	0
Xrcc4	38.75	0	0	0	0	143	0	0	0	0	0	251	319	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	296	270	105	0	0	0
Tmem167	38.75	0	0	0	0	143	0	0	0	0	0	251	319	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	296	270	105	0	0	0
Tcf25	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	358	525	467	272	0	0	0
Hs3st5	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	155	127	0	0	350	0	0	182	125	0	0	69	420	0	0	0	0	0	0	0	0
Cox16	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	83	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	360	364	302	169	0	0	0
A930033H14Rik	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	256	235	0	0	0	0	0	0	0	0	0	109	0	0	0	130	0	0	0	107	0	129	285	211	0	0	0	0
Vwa1	38.727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	108	222	143	0	0	0	0	161	0	0	0	0	128	0	0	0	0	0	0	0	0	0	104	227	196	188	0	108	0
Psmg1	38.727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	560	394	376	0	0	0
Gpbar1	38.727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	195	239	0	0	341	0	0	200	197	0	0	0	163	0	0	0	0	0	0	149	0
Cx3cr1	38.727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	151	216	468	380	182	0	0	0
Slc13a1	38.681818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	309	466	301	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38396	38.681818	0	0	0	0	0	0	125	0	106	0	111	393	117	0	0	0	117	164	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	176	0	0	0	0
