Target_genes	Pou3f1|Average	SRX1410923|EpiSC	SRX1410928|EpiSC	SRX1056349|ES_cells	SRX3196478|MEF	SRX3196480|MEF	SRX5534183|MEF	SRX3730260|Trophoblast_stem_cells	SRX3730285|Trophoblast_stem_cells	STRING
Igfbpl1	34.75	0	278	0	0	0	0	0	0	0
Hsf5	34.75	74	204	0	0	0	0	0	0	0
Gbp8	34.75	0	278	0	0	0	0	0	0	0
Vmn1r202	34.625	95	182	0	0	0	0	0	0	0
Olfr133	34.625	73	204	0	0	0	0	0	0	0
Olfr1031	34.625	105	172	0	0	0	0	0	0	0
Hapln1	34.625	103	174	0	0	0	0	0	0	0
Dars	34.625	0	277	0	0	0	0	0	0	0
Cd44	34.625	0	277	0	0	0	0	0	0	0
Vmn2r86	34.5	145	131	0	0	0	0	0	0	0
Olfr351	34.375	118	157	0	0	0	0	0	0	0
Olfr1126	34.375	119	156	0	0	0	0	0	0	0
Lacc1	34.375	0	127	0	148	0	0	0	0	0
Ccdc122	34.375	0	127	0	148	0	0	0	0	0
Serinc1	34.25	0	0	274	0	0	0	0	0	0
Pdc	34.25	79	195	0	0	0	0	0	0	0
Olfr693	34.25	90	184	0	0	0	0	0	0	0
Dennd5b	34.25	120	154	0	0	0	0	0	0	0
5730507C01Rik	34.25	0	0	274	0	0	0	0	0	0
Zpbp	34.125	144	129	0	0	0	0	0	0	0
Olfr606	34.125	146	127	0	0	0	0	0	0	0
Olfr1406	34.125	108	165	0	0	0	0	0	0	0
Ttc5	34.0	0	272	0	0	0	0	0	0	0
Sult2a5	34.0	0	272	0	0	0	0	0	0	0
Spata17	34.0	90	182	0	0	0	0	0	0	0
Olfr723	34.0	112	160	0	0	0	0	0	0	0
Gpatch2	34.0	90	182	0	0	0	0	0	0	0
Vmn2r99	33.875	97	174	0	0	0	0	0	0	0
Olfr145	33.875	0	271	0	0	0	0	0	0	0
Lipo2	33.875	161	110	0	0	0	0	0	0	0
Foxd3	33.875	104	167	0	0	0	0	0	0	0
Uggt2	33.75	123	147	0	0	0	0	0	0	0
Sesn1	33.75	114	156	0	0	0	0	0	0	0
Plekhm3	33.75	113	157	0	0	0	0	0	0	0
Olfr675	33.75	133	137	0	0	0	0	0	0	0
Olfr667	33.75	0	270	0	0	0	0	0	0	0
Olfr1178	33.75	100	170	0	0	0	0	0	0	0
Olfr1153	33.75	95	175	0	0	0	0	0	0	0
Sntg1	33.625	174	95	0	0	0	0	0	0	0
Olfr794	33.625	154	115	0	0	0	0	0	0	0
Olfr694	33.625	134	135	0	0	0	0	0	0	0
Olfr198	33.625	120	149	0	0	0	0	0	0	0
Olfr1082	33.625	120	149	0	0	0	0	0	0	0
Nsmaf	33.625	92	177	0	0	0	0	0	0	0
Gk2	33.625	80	189	0	0	0	0	0	0	0
Cwf19l2	33.625	130	139	0	0	0	0	0	0	0
9230019H11Rik	33.625	0	0	0	0	0	269	0	0	0
Tyr	33.5	85	183	0	0	0	0	0	0	0
Taar3	33.5	169	99	0	0	0	0	0	0	0
Olfr1208	33.5	106	162	0	0	0	0	0	0	0
Nbr1	33.5	0	268	0	0	0	0	0	0	0
Nap1l5	33.5	102	166	0	0	0	0	0	0	0
Gramd1b	33.5	0	0	0	268	0	0	0	0	0
Brca1	33.5	0	268	0	0	0	0	0	0	0
Olfr112	33.375	0	267	0	0	0	0	0	0	0
Vgll3	33.25	80	186	0	0	0	0	0	0	0
Lrrc36	33.25	96	170	0	0	0	0	0	0	0
Fmr1	33.25	99	167	0	0	0	0	0	0	0
Zfp148	33.125	102	163	0	0	0	0	0	0	0
Krtap27-1	33.125	150	115	0	0	0	0	0	0	0
Bves	33.125	85	180	0	0	0	0	0	0	0
Atxn7	33.125	0	265	0	0	0	0	0	0	0
Olfr1154	33.0	0	264	0	0	0	0	0	0	0
Gatb	33.0	106	158	0	0	0	0	0	0	0
Rfx6	32.875	91	172	0	0	0	0	0	0	0
Phlpp1	32.875	0	98	0	165	0	0	0	0	0
Crisp4	32.875	115	148	0	0	0	0	0	0	0
Apc	32.875	57	206	0	0	0	0	0	0	0
Trat1	32.75	140	122	0	0	0	0	0	0	0
Stbd1	32.75	62	200	0	0	0	0	0	0	0
Olfr125	32.75	142	120	0	0	0	0	0	0	0
Calhm5	32.75	95	167	0	0	0	0	0	0	0
Olfr698	32.625	104	157	0	0	0	0	0	0	0
Chd9	32.625	77	184	0	0	0	0	0	0	0
Sdcbp	32.5	110	150	0	0	0	0	0	0	0
Olfr934	32.5	145	115	0	0	0	0	0	0	0
Olfr933	32.5	145	115	0	0	0	0	0	0	0
Olfr568	32.5	126	134	0	0	0	0	0	0	0
N4bp2	32.5	119	141	0	0	0	0	0	0	0
Fam168a	32.5	82	178	0	0	0	0	0	0	0
Vmn2r73	32.375	131	128	0	0	0	0	0	0	0
Pak3	32.375	110	149	0	0	0	0	0	0	0
Efemp1	32.375	0	259	0	0	0	0	0	0	0
Cdkl5	32.375	87	172	0	0	0	0	0	0	0
Agmo	32.375	0	259	0	0	0	0	0	0	0
Vmn2r111	32.25	127	131	0	0	0	0	0	0	0
Radx	32.25	69	189	0	0	0	0	0	0	0
Olfr1200	32.25	96	162	0	0	0	0	0	0	0
Tmx1	32.125	86	171	0	0	0	0	0	0	0
Prl6a1	32.125	88	169	0	0	0	0	0	0	0
Olfr1084	32.125	117	140	0	0	0	0	0	0	0
Olfr1028	32.125	100	157	0	0	0	0	0	0	0
Fhl5	32.125	106	151	0	0	0	0	0	0	0
Olfr1317	32.0	0	256	0	0	0	0	0	0	0
Gria2	32.0	131	125	0	0	0	0	0	0	0
Plscr4	31.875	103	152	0	0	0	0	0	0	0
Olfr638	31.875	75	180	0	0	0	0	0	0	0
Nap1l3	31.875	0	255	0	0	0	0	0	0	0
Lancl2	31.875	95	160	0	0	0	0	0	0	0
Arrdc3	31.875	93	162	0	0	0	0	0	0	0
Ryr2	31.75	87	167	0	0	0	0	0	0	0
Olfr983	31.75	134	120	0	0	0	0	0	0	0
Olfr507	31.75	131	123	0	0	0	0	0	0	0
Olfr1130	31.75	87	167	0	0	0	0	0	0	0
Ifnz	31.75	0	0	254	0	0	0	0	0	0
Gm13290	31.75	0	0	254	0	0	0	0	0	0
Gm13289	31.75	0	0	254	0	0	0	0	0	0
Gm13285	31.75	0	0	254	0	0	0	0	0	0
Gm13272	31.75	0	0	254	0	0	0	0	0	0
Ptpro	31.625	122	131	0	0	0	0	0	0	0
Olfr1112	31.625	77	176	0	0	0	0	0	0	0
Olfr1056	31.625	124	129	0	0	0	0	0	0	0
Ccdc13	31.625	0	0	97	0	0	0	156	0	0
Amd2	31.625	89	164	0	0	0	0	0	0	0
Amd1	31.625	89	164	0	0	0	0	0	0	0
Vmn2r83	31.5	120	132	0	0	0	0	0	0	0
Olfr259	31.5	105	147	0	0	0	0	0	0	0
Gm5938	31.5	68	184	0	0	0	0	0	0	0
Fabp12	31.5	0	0	168	0	0	0	84	0	0
Asmt	31.5	104	0	148	0	0	0	0	0	0
Vmn1r82	31.375	126	125	0	0	0	0	0	0	0
Ankrd22	31.375	0	251	0	0	0	0	0	0	0
Vmn1r233	31.25	88	162	0	0	0	0	0	0	0
Ppp3ca	31.25	69	181	0	0	0	0	0	0	0
Olfr199	31.25	127	123	0	0	0	0	0	0	0
Gorab	31.25	0	250	0	0	0	0	0	0	0
Fnta	31.25	98	152	0	0	0	0	0	0	0
Sycp1	31.125	127	122	0	0	0	0	0	0	0
Sox5	31.125	85	164	0	0	0	0	0	0	0
Olfr27	31.125	79	170	0	0	0	0	0	0	0
Olfr1313	31.125	79	170	0	0	0	0	0	0	0
Krit1	31.125	101	148	0	0	0	0	0	0	0
Ankib1	31.125	101	148	0	0	0	0	0	0	0
Slc5a12	31.0	135	113	0	0	0	0	0	0	0
Serpina7	31.0	103	145	0	0	0	0	0	0	0
Phf3	31.0	101	147	0	0	0	0	0	0	0
Erdr1	31.0	0	0	0	0	0	0	248	0	0
BC107364	31.0	0	0	248	0	0	0	0	0	0
4930513O06Rik	31.0	103	145	0	0	0	0	0	0	0
Tmtc3	30.875	0	247	0	0	0	0	0	0	0
Tgtp2	30.875	81	166	0	0	0	0	0	0	0
Olfr132	30.875	123	124	0	0	0	0	0	0	0
Olfr1141	30.875	90	157	0	0	0	0	0	0	0
Olfr1106	30.875	111	136	0	0	0	0	0	0	0
Nxph2	30.875	141	106	0	0	0	0	0	0	0
Cep290	30.875	0	247	0	0	0	0	0	0	0
Trappc4	30.75	0	0	246	0	0	0	0	0	0
Rps25	30.75	0	0	246	0	0	0	0	0	0
Olfr963	30.75	98	148	0	0	0	0	0	0	0
Olfr1022	30.75	116	130	0	0	0	0	0	0	0
Gm5622	30.75	0	0	246	0	0	0	0	0	0
Crisp1	30.75	128	118	0	0	0	0	0	0	0
Asb5	30.75	0	246	0	0	0	0	0	0	0
Rgs2	30.625	111	134	0	0	0	0	0	0	0
Pou1f1	30.625	119	126	0	0	0	0	0	0	0
Olfr727	30.625	110	135	0	0	0	0	0	0	0
Olfr484	30.625	74	171	0	0	0	0	0	0	0
Lipo3	30.625	104	141	0	0	0	0	0	0	0
Izumo3	30.625	86	159	0	0	0	0	0	0	0
Esp16	30.625	99	146	0	0	0	0	0	0	0
Dcbld2	30.625	83	162	0	0	0	0	0	0	0
Chrna5	30.625	0	245	0	0	0	0	0	0	0
Reg3g	30.5	86	158	0	0	0	0	0	0	0
Olfr661	30.5	113	131	0	0	0	0	0	0	0
Glra3	30.5	101	143	0	0	0	0	0	0	0
Cmc1	30.5	0	244	0	0	0	0	0	0	0
Zkscan8	30.375	73	170	0	0	0	0	0	0	0
Vmn1r15	30.375	98	145	0	0	0	0	0	0	0
Cfap69	30.375	69	174	0	0	0	0	0	0	0
Taar2	30.25	95	147	0	0	0	0	0	0	0
Olfr593	30.25	118	124	0	0	0	0	0	0	0
Npy6r	30.25	99	143	0	0	0	0	0	0	0
Olfr209	30.125	133	108	0	0	0	0	0	0	0
Olfr207	30.125	133	108	0	0	0	0	0	0	0
Olfr1206	30.125	70	171	0	0	0	0	0	0	0
Esp1	30.125	78	163	0	0	0	0	0	0	0
Ube2s	30.0	0	0	240	0	0	0	0	0	0
Tas2r113	30.0	131	109	0	0	0	0	0	0	0
Olfr930	30.0	123	117	0	0	0	0	0	0	0
Olfr559	30.0	101	139	0	0	0	0	0	0	0
Olfr1109	30.0	106	134	0	0	0	0	0	0	0
0610010F05Rik	30.0	132	108	0	0	0	0	0	0	0
Vmn2r2	29.875	94	145	0	0	0	0	0	0	0
Ptp4a2	29.875	0	239	0	0	0	0	0	0	0
Pcdhb11	29.875	111	128	0	0	0	0	0	0	0
Olfr1111	29.875	0	239	0	0	0	0	0	0	0
Efr3a	29.875	104	135	0	0	0	0	0	0	0
Dcun1d5	29.875	75	164	0	0	0	0	0	0	0
Wdr35	29.75	112	126	0	0	0	0	0	0	0
Vmn2r124	29.75	80	158	0	0	0	0	0	0	0
Nalcn	29.75	120	118	0	0	0	0	0	0	0
Ms4a4b	29.75	0	238	0	0	0	0	0	0	0
Wdr49	29.625	130	107	0	0	0	0	0	0	0
Trnt1	29.625	0	0	0	0	0	0	237	0	0
Krtap4-8	29.625	123	114	0	0	0	0	0	0	0
Cstdc6	29.625	0	0	237	0	0	0	0	0	0
Strap	29.5	0	236	0	0	0	0	0	0	0
Spata48	29.5	145	91	0	0	0	0	0	0	0
Prkra	29.5	94	142	0	0	0	0	0	0	0
Pjvk	29.5	94	142	0	0	0	0	0	0	0
Olfr745	29.5	82	154	0	0	0	0	0	0	0
Olfr739	29.5	87	149	0	0	0	0	0	0	0
Cyp2c67	29.5	69	167	0	0	0	0	0	0	0
Uty	29.375	0	0	235	0	0	0	0	0	0
Trim23	29.375	84	151	0	0	0	0	0	0	0
Trappc13	29.375	84	151	0	0	0	0	0	0	0
Shld3	29.375	84	151	0	0	0	0	0	0	0
Olfr971	29.375	104	131	0	0	0	0	0	0	0
Fundc2	29.375	59	176	0	0	0	0	0	0	0
Filip1l	29.375	124	111	0	0	0	0	0	0	0
F8	29.375	59	176	0	0	0	0	0	0	0
Txndc12	29.25	74	160	0	0	0	0	0	0	0
Tmprss11f	29.25	94	140	0	0	0	0	0	0	0
Pcdha3	29.25	105	129	0	0	0	0	0	0	0
Olfr801	29.25	88	146	0	0	0	0	0	0	0
Olfr722	29.25	100	134	0	0	0	0	0	0	0
Btf3l4	29.25	74	160	0	0	0	0	0	0	0
Olfr859	29.125	117	116	0	0	0	0	0	0	0
Olfr1151	29.125	64	169	0	0	0	0	0	0	0
Zfp64	29.0	0	232	0	0	0	0	0	0	0
Usp34	29.0	0	232	0	0	0	0	0	0	0
Scgb3a2	29.0	95	137	0	0	0	0	0	0	0
Olfr619	29.0	69	163	0	0	0	0	0	0	0
Olfr618	29.0	69	163	0	0	0	0	0	0	0
Nol4	29.0	0	232	0	0	0	0	0	0	0
Ly86	29.0	0	232	0	0	0	0	0	0	0
Immp1l	29.0	0	232	0	0	0	0	0	0	0
Igip	29.0	86	146	0	0	0	0	0	0	0
Gm14151	29.0	0	232	0	0	0	0	0	0	0
Gm14147	29.0	0	232	0	0	0	0	0	0	0
Gm13283	29.0	0	0	232	0	0	0	0	0	0
Elp4	29.0	0	232	0	0	0	0	0	0	0
4921524L21Rik	29.0	89	143	0	0	0	0	0	0	0
1700057G04Rik	29.0	0	232	0	0	0	0	0	0	0
Vmn2r93	28.875	120	111	0	0	0	0	0	0	0
Vmn2r92	28.875	112	119	0	0	0	0	0	0	0
Trhr	28.875	123	108	0	0	0	0	0	0	0
Tle4	28.875	132	99	0	0	0	0	0	0	0
Rel	28.875	0	231	0	0	0	0	0	0	0
Olfr851	28.875	0	231	0	0	0	0	0	0	0
Olfr714	28.875	94	137	0	0	0	0	0	0	0
Olfr64	28.875	105	126	0	0	0	0	0	0	0
Olfr1002	28.875	104	127	0	0	0	0	0	0	0
Ptchd4	28.75	112	118	0	0	0	0	0	0	0
Tgfb2	28.625	0	229	0	0	0	0	0	0	0
Olfr461	28.625	0	0	229	0	0	0	0	0	0
Olfr110	28.625	65	164	0	0	0	0	0	0	0
Olfr1045	28.625	85	144	0	0	0	0	0	0	0
Klk14	28.625	0	0	229	0	0	0	0	0	0
2300009A05Rik	28.625	0	229	0	0	0	0	0	0	0
Smc6	28.5	104	124	0	0	0	0	0	0	0
Olfr967	28.5	0	228	0	0	0	0	0	0	0
Olfr1204	28.5	100	128	0	0	0	0	0	0	0
Gen1	28.5	104	124	0	0	0	0	0	0	0
Adam29	28.5	0	228	0	0	0	0	0	0	0
Tmem182	28.375	99	128	0	0	0	0	0	0	0
Olfr1213	28.375	101	126	0	0	0	0	0	0	0
Olfr141	28.25	0	226	0	0	0	0	0	0	0
Nkain2	28.25	105	121	0	0	0	0	0	0	0
Ugt2b5	28.125	67	158	0	0	0	0	0	0	0
Rrm2b	28.125	116	109	0	0	0	0	0	0	0
Olfr955	28.125	0	225	0	0	0	0	0	0	0
Olfr417	28.125	91	134	0	0	0	0	0	0	0
Olfr297	28.125	104	121	0	0	0	0	0	0	0
Mpp7	28.125	0	0	225	0	0	0	0	0	0
Klf5	28.125	0	225	0	0	0	0	0	0	0
Hsfy2	28.125	95	130	0	0	0	0	0	0	0
Pcdhb21	28.0	130	94	0	0	0	0	0	0	0
Olfr273	28.0	106	118	0	0	0	0	0	0	0
Hoatz	28.0	96	128	0	0	0	0	0	0	0
Hbb-y	28.0	125	99	0	0	0	0	0	0	0
Tas2r124	27.875	0	223	0	0	0	0	0	0	0
Sult1d1	27.875	138	85	0	0	0	0	0	0	0
Slc4a4	27.875	99	124	0	0	0	0	0	0	0
Rin3	27.875	0	0	223	0	0	0	0	0	0
Wsb1	27.75	0	222	0	0	0	0	0	0	0
Skint8	27.75	89	133	0	0	0	0	0	0	0
Pus10	27.75	104	118	0	0	0	0	0	0	0
Ppp2r3a	27.75	98	124	0	0	0	0	0	0	0
Papolb	27.75	95	127	0	0	0	0	0	0	0
Olfr229	27.75	88	134	0	0	0	0	0	0	0
Mterf1a	27.75	0	222	0	0	0	0	0	0	0
Hbs1l	27.75	123	99	0	0	0	0	0	0	0
Olfr514	27.625	0	0	0	0	0	0	221	0	0
Ociad1	27.625	0	221	0	0	0	0	0	0	0
Kat7	27.625	0	0	0	0	0	0	221	0	0
Gm13288	27.625	0	0	221	0	0	0	0	0	0
Gm13287	27.625	0	0	221	0	0	0	0	0	0
Gm11596	27.625	0	221	0	0	0	0	0	0	0
Olfr488	27.5	99	121	0	0	0	0	0	0	0
4930426D05Rik	27.5	111	109	0	0	0	0	0	0	0
Pate5	27.375	98	121	0	0	0	0	0	0	0
Mepe	27.375	102	117	0	0	0	0	0	0	0
Arl6	27.375	100	119	0	0	0	0	0	0	0
Xcl1	27.25	87	131	0	0	0	0	0	0	0
Speer4e	27.25	0	0	0	0	0	218	0	0	0
Rfx7	27.25	108	110	0	0	0	0	0	0	0
Phc1	27.25	0	218	0	0	0	0	0	0	0
Oxsm	27.25	0	218	0	0	0	0	0	0	0
Olfr487	27.25	111	107	0	0	0	0	0	0	0
Olfr109	27.25	118	100	0	0	0	0	0	0	0
Nkain3	27.25	74	144	0	0	0	0	0	0	0
Ngly1	27.25	0	218	0	0	0	0	0	0	0
4921504E06Rik	27.25	68	150	0	0	0	0	0	0	0
Zfp654	27.125	0	217	0	0	0	0	0	0	0
Tnfrsf19	27.125	100	117	0	0	0	0	0	0	0
Slc13a1	27.125	91	126	0	0	0	0	0	0	0
Ranbp6	27.125	118	99	0	0	0	0	0	0	0
Olfr894	27.125	115	102	0	0	0	0	0	0	0
Olfr493	27.125	88	129	0	0	0	0	0	0	0
Neurod4	27.125	103	114	0	0	0	0	0	0	0
Klhl15	27.125	83	134	0	0	0	0	0	0	0
Gm28710	27.125	0	217	0	0	0	0	0	0	0
Rps13	27.0	80	136	0	0	0	0	0	0	0
Olfr1055	27.0	110	106	0	0	0	0	0	0	0
Itgb8	27.0	78	138	0	0	0	0	0	0	0
Gm5127	27.0	112	104	0	0	0	0	0	0	0
Akr1c12	27.0	69	147	0	0	0	0	0	0	0
Zfp760	26.875	78	137	0	0	0	0	0	0	0
Poglut2	26.875	117	98	0	0	0	0	0	0	0
Olfr1089	26.875	89	126	0	0	0	0	0	0	0
Bivm	26.875	117	98	0	0	0	0	0	0	0
Ar	26.875	109	106	0	0	0	0	0	0	0
Synpr	26.75	88	126	0	0	0	0	0	0	0
Pbx1	26.75	97	117	0	0	0	0	0	0	0
Olfr792	26.75	87	127	0	0	0	0	0	0	0
Kbtbd12	26.75	94	120	0	0	0	0	0	0	0
Ccn2	26.75	0	214	0	0	0	0	0	0	0
Wnt16	26.625	90	123	0	0	0	0	0	0	0
Pcdhb7	26.625	105	108	0	0	0	0	0	0	0
Ephb4	26.625	0	0	0	0	0	0	213	0	0
Amacr	26.625	0	0	0	213	0	0	0	0	0
Slc4a10	26.5	70	142	0	0	0	0	0	0	0
Olfr911-ps1	26.5	106	106	0	0	0	0	0	0	0
Nox4	26.5	75	137	0	0	0	0	0	0	0
Defb18	26.5	95	117	0	0	0	0	0	0	0
Atf2	26.5	104	108	0	0	0	0	0	0	0
Slc35g2	26.375	0	211	0	0	0	0	0	0	0
Echdc1	26.375	0	211	0	0	0	0	0	0	0
Eapp	26.375	0	0	211	0	0	0	0	0	0
Vcpip1	26.25	0	210	0	0	0	0	0	0	0
Tmem30c	26.25	0	210	0	0	0	0	0	0	0
Pdzd8	26.25	0	210	0	0	0	0	0	0	0
Olfr178	26.25	104	106	0	0	0	0	0	0	0
Ms4a6b	26.25	0	210	0	0	0	0	0	0	0
Morc4	26.25	0	210	0	0	0	0	0	0	0
Dis3l	26.25	0	210	0	0	0	0	0	0	0
Cacna2d3	26.25	0	210	0	0	0	0	0	0	0
Tmem47	26.125	0	209	0	0	0	0	0	0	0
Olfr1182	26.125	95	114	0	0	0	0	0	0	0
Cyct	26.125	92	117	0	0	0	0	0	0	0
Vmn2r72	26.0	87	121	0	0	0	0	0	0	0
Olfr775	26.0	111	97	0	0	0	0	0	0	0
Ifi211	26.0	0	208	0	0	0	0	0	0	0
Olfr497	25.875	87	120	0	0	0	0	0	0	0
Olfr1314	25.875	59	148	0	0	0	0	0	0	0
Map2k5	25.875	117	90	0	0	0	0	0	0	0
Elavl2	25.875	81	126	0	0	0	0	0	0	0
Bmpr2	25.875	92	115	0	0	0	0	0	0	0
Tex9	25.75	89	117	0	0	0	0	0	0	0
Btbd8	25.75	0	206	0	0	0	0	0	0	0
Pgr15l	25.625	55	150	0	0	0	0	0	0	0
Pdp1	25.625	84	121	0	0	0	0	0	0	0
Colec10	25.625	0	205	0	0	0	0	0	0	0
Tbx22	25.5	103	101	0	0	0	0	0	0	0
Smurf1	25.5	0	0	0	0	0	0	0	204	0
Prl8a9	25.5	0	204	0	0	0	0	0	0	0
Kel	25.5	0	204	0	0	0	0	0	0	0
H1f5	25.5	87	117	0	0	0	0	0	0	0
Gm5072	25.5	0	204	0	0	0	0	0	0	0
Gm13279	25.5	0	0	204	0	0	0	0	0	0
Gm13278	25.5	0	0	204	0	0	0	0	0	0
Gm13277	25.5	0	0	204	0	0	0	0	0	0
Gm13276	25.5	0	0	204	0	0	0	0	0	0
Plpp6	25.375	95	108	0	0	0	0	0	0	0
Olfr1370	25.375	92	111	0	0	0	0	0	0	0
Glb1l3	25.375	95	108	0	0	0	0	0	0	0
Cela2a	25.375	113	90	0	0	0	0	0	0	0
4430402I18Rik	25.375	95	108	0	0	0	0	0	0	0
Pth	25.25	66	136	0	0	0	0	0	0	0
Olfr914	25.25	79	123	0	0	0	0	0	0	0
Olfr1136	25.25	120	82	0	0	0	0	0	0	0
Mnat1	25.25	0	202	0	0	0	0	0	0	0
Fezf1	25.25	202	0	0	0	0	0	0	0	0
Olfr597	25.125	105	96	0	0	0	0	0	0	0
Olfr589	25.125	78	123	0	0	0	0	0	0	0
Neurod1	25.125	105	96	0	0	0	0	0	0	0
Aadac	25.125	102	99	0	0	0	0	0	0	0
1700009N14Rik	25.125	114	87	0	0	0	0	0	0	0
Srsf11	25.0	0	200	0	0	0	0	0	0	0
Hjurp	25.0	106	94	0	0	0	0	0	0	0
Esp15	25.0	82	118	0	0	0	0	0	0	0
Dchs2	25.0	0	0	200	0	0	0	0	0	0
Aga	25.0	72	128	0	0	0	0	0	0	0
A730008H23Rik	25.0	106	94	0	0	0	0	0	0	0
Zfp991	24.875	0	0	0	0	0	199	0	0	0
Tescl	24.875	0	199	0	0	0	0	0	0	0
Sgsm1	24.875	0	199	0	0	0	0	0	0	0
Prph2	24.875	0	199	0	0	0	0	0	0	0
Ocln	24.875	0	199	0	0	0	0	0	0	0
Nabp1	24.875	0	199	0	0	0	0	0	0	0
Lsm6	24.875	0	199	0	0	0	0	0	0	0
Krtap31-2	24.875	0	199	0	0	0	0	0	0	0
Jak2	24.875	61	138	0	0	0	0	0	0	0
Asgr2	24.875	0	199	0	0	0	0	0	0	0
Zfp981	24.75	198	0	0	0	0	0	0	0	0
Suz12	24.75	83	115	0	0	0	0	0	0	0
Olfr1053	24.75	69	129	0	0	0	0	0	0	0
Zfp72	24.5	98	98	0	0	0	0	0	0	0
Wac	24.5	0	196	0	0	0	0	0	0	0
Vmn2r24	24.375	0	195	0	0	0	0	0	0	0
Vmn1r37	24.375	80	115	0	0	0	0	0	0	0
Stard3	24.375	0	0	0	0	0	0	0	195	0
Plppr4	24.375	0	195	0	0	0	0	0	0	0
Olfr1120	24.375	66	129	0	0	0	0	0	0	0
Braf	24.375	0	195	0	0	0	0	0	0	0
Olfr1250	24.25	0	194	0	0	0	0	0	0	0
Nrep	24.25	0	194	0	0	0	0	0	0	0
Epha5	24.25	132	62	0	0	0	0	0	0	0
Vmn2r115	24.125	193	0	0	0	0	0	0	0	0
Pudp	24.125	98	95	0	0	0	0	0	0	0
Olfr1049	24.125	0	193	0	0	0	0	0	0	0
Crispld1	24.125	0	193	0	0	0	0	0	0	0
Vmn1r196	24.0	86	106	0	0	0	0	0	0	0
Olfr707	24.0	67	125	0	0	0	0	0	0	0
Fut9	24.0	70	122	0	0	0	0	0	0	0
Spin4	23.875	0	191	0	0	0	0	0	0	0
Kmt2e	23.875	0	191	0	0	0	0	0	0	0
Snx13	23.75	0	190	0	0	0	0	0	0	0
Olfr292	23.75	83	107	0	0	0	0	0	0	0
Trim37	23.625	0	189	0	0	0	0	0	0	0
Tfdp2	23.625	0	189	0	0	0	0	0	0	0
Slc8a1	23.625	0	189	0	0	0	0	0	0	0
Rdm1	23.625	0	0	189	0	0	0	0	0	0
Olfr231	23.625	0	189	0	0	0	0	0	0	0
Mapk1ip1l	23.625	92	97	0	0	0	0	0	0	0
Vmn1r77	23.5	95	93	0	0	0	0	0	0	0
Ubxn4	23.5	0	188	0	0	0	0	0	0	0
Tex55	23.5	0	188	0	0	0	0	0	0	0
Pld1	23.5	0	188	0	0	0	0	0	0	0
Pgk1	23.5	0	0	0	0	0	0	188	0	0
Perp	23.5	0	188	0	0	0	0	0	0	0
Olfr1170	23.5	76	112	0	0	0	0	0	0	0
Msra	23.5	0	188	0	0	0	0	0	0	0
Mcm9	23.5	0	188	0	0	0	0	0	0	0
Lmo1	23.5	0	188	0	0	0	0	0	0	0
Kcnmb4	23.5	0	188	0	0	0	0	0	0	0
Hgf	23.5	84	104	0	0	0	0	0	0	0
Gmnn	23.5	0	188	0	0	0	0	0	0	0
Ggps1	23.5	0	188	0	0	0	0	0	0	0
Gca	23.5	0	188	0	0	0	0	0	0	0
Crot	23.5	0	0	0	0	0	0	188	0	0
Arid4b	23.5	0	188	0	0	0	0	0	0	0
Aebp2	23.5	0	188	0	0	0	0	0	0	0
AU015228	23.5	0	188	0	0	0	0	0	0	0
Olfr1090	23.375	86	101	0	0	0	0	0	0	0
Limch1	23.375	70	117	0	0	0	0	0	0	0
Dnajb9	23.375	0	187	0	0	0	0	0	0	0
Zfp207	23.25	0	186	0	0	0	0	0	0	0
S100a7l2	23.25	113	73	0	0	0	0	0	0	0
Prl8a6	23.25	0	186	0	0	0	0	0	0	0
Olfr295	23.25	94	92	0	0	0	0	0	0	0
Nova1	23.25	89	97	0	0	0	0	0	0	0
Lcorl	23.25	87	99	0	0	0	0	0	0	0
Klf4	23.25	0	0	0	0	0	186	0	0	0
Ints9	23.25	0	186	0	0	0	0	0	0	0
Hmbox1	23.25	0	186	0	0	0	0	0	0	0
Casp4	23.25	0	186	0	0	0	0	0	0	0
Slc30a8	23.125	0	185	0	0	0	0	0	0	0
Akr1c20	23.125	0	185	0	0	0	0	0	0	0
Tmem126b	23.0	100	84	0	0	0	0	0	0	0
Tgif2lx2	23.0	75	109	0	0	0	0	0	0	0
Tgif2lx1	23.0	75	109	0	0	0	0	0	0	0
Rims2	23.0	0	184	0	0	0	0	0	0	0
Spp1	22.875	0	183	0	0	0	0	0	0	0
Sltm	22.875	0	183	0	0	0	0	0	0	0
Olfr800	22.875	0	183	0	0	0	0	0	0	0
Olfr1029	22.875	0	183	0	0	0	0	0	0	0
Ggnbp2	22.875	0	183	0	0	0	0	0	0	0
Cd163l1	22.875	0	0	183	0	0	0	0	0	0
Vmn2r91	22.75	96	86	0	0	0	0	0	0	0
Vmn1r30	22.75	0	182	0	0	0	0	0	0	0
Rps6ka6	22.75	0	182	0	0	0	0	0	0	0
Olfr1134	22.75	74	108	0	0	0	0	0	0	0
Gm13275	22.75	0	0	182	0	0	0	0	0	0
Erich3	22.75	0	182	0	0	0	0	0	0	0
Cpeb3	22.75	0	182	0	0	0	0	0	0	0
Arrdc4	22.75	0	0	0	182	0	0	0	0	0
Sem1	22.625	0	181	0	0	0	0	0	0	0
Mos	22.625	105	76	0	0	0	0	0	0	0
Olfr843	22.5	86	94	0	0	0	0	0	0	0
