Target_genes	Fosl1|Average	SRX142533|C2C12	SRX2396480|MEF	SRX2396481|MEF	SRX2396482|MEF	SRX6437838|Pancreatic_adenocarcinoma	STRING
Slc31a2	92.4	0	128	135	199	0	0
Ppic	92.4	0	95	186	181	0	0
Ldha	92.4	0	0	0	268	194	0
Cdk1	92.4	0	159	0	199	104	0
Bet1	92.4	0	0	0	316	146	0
Atrnl1	92.4	0	233	0	229	0	0
Ahctf1	92.4	0	0	0	356	106	0
Samd3	92.2	0	109	106	246	0	0
Mettl23	92.2	0	0	0	253	208	0
Map1a	92.2	0	108	107	246	0	0
Kat7	92.2	0	0	153	204	104	0
Jpt2	92.2	0	0	0	377	84	0
Gpd1l	92.2	0	0	0	461	0	0
Gpatch3	92.2	0	311	0	150	0	0
Efnb2	92.2	0	0	0	132	329	0
Daglb	92.2	0	87	0	161	213	0
Chuk	92.2	0	259	0	0	202	0
Ccdc142	92.2	0	122	0	90	249	0
Btbd1	92.2	0	0	152	309	0	0
Apbb1	92.2	0	0	203	258	0	0
Rcc1	92.0	0	460	0	0	0	0
Pilrb1	92.0	0	0	0	0	460	0
Mmadhc	92.0	0	84	0	190	186	0
M6pr	92.0	0	252	0	0	208	0
Kdm5a	92.0	0	89	0	115	256	0
Irx3	92.0	0	0	264	196	0	0
Cxxc1	92.0	0	0	0	355	105	0
Ccnt2	92.0	0	0	0	460	0	0
Asap2	92.0	0	0	0	283	177	0
Zdhhc23	91.8	0	0	155	304	0	0
Zcrb1	91.8	0	0	203	138	118	0
Samhd1	91.8	0	0	160	299	0	0
Pphln1	91.8	0	0	203	138	118	0
Pold4	91.8	0	0	0	95	364	0
Plpbp	91.8	0	273	0	117	69	0
Mff	91.8	0	0	0	285	174	0
Lpar6	91.8	0	171	104	70	114	0
Dbp	91.8	0	159	115	82	103	0
Alox5ap	91.8	0	459	0	0	0	0
6720489N17Rik	91.8	0	117	179	163	0	0
Zhx2	91.6	0	0	231	135	92	0
Rnf19a	91.6	0	0	84	261	113	0
Nradd	91.6	0	69	136	253	0	0
Hoxc10	91.6	0	458	0	0	0	0
Ercc3	91.6	0	0	103	189	166	0
Dnah17	91.6	0	0	145	313	0	0
Dgkg	91.6	0	458	0	0	0	0
Cxcr2	91.6	0	168	0	0	290	0
Cldn17	91.6	0	458	0	0	0	0
Calr	91.6	0	0	0	387	71	0
Zfp715	91.4	0	71	0	165	221	0
U2af1	91.4	0	182	0	275	0	0
Tspoap1	91.4	0	0	279	178	0	0
Tmed10	91.4	0	0	229	163	65	0
Sumf1	91.4	0	205	0	0	252	0
Slc35e1	91.4	0	112	0	228	117	0
Sco1	91.4	0	112	0	152	193	0
Rnase1	91.4	0	0	174	283	0	0
Ncf4	91.4	0	0	0	0	457	0
Hey1	91.4	0	0	134	323	0	0
Gtsf1l	91.4	0	0	155	302	0	0
Fyn	91.4	0	0	0	309	148	0
Adprm	91.4	0	112	0	152	193	0
Stx17	91.2	0	93	0	235	128	0
Rmi1	91.2	0	83	0	126	247	0
Rasal3	91.2	0	0	226	230	0	0
Nudcd1	91.2	0	0	0	246	210	0
Mapkap1	91.2	0	133	0	203	120	0
LOC114841036	91.2	0	262	0	194	0	0
Ift27	91.2	0	215	0	0	241	0
Hnrnpk	91.2	0	83	0	126	247	0
Gmeb2	91.2	0	326	0	0	130	0
Gas2	91.2	0	120	0	194	142	0
Fancf	91.2	0	120	0	194	142	0
Eny2	91.2	0	0	0	246	210	0
Arl13b	91.2	0	0	0	384	72	0
1700125H20Rik	91.2	0	165	0	0	291	0
Zfp943	91.0	0	71	0	218	166	0
Zfp942	91.0	0	71	0	218	166	0
Uprt	91.0	0	0	126	214	115	0
Trmu	91.0	0	210	0	0	245	0
Rnase12	91.0	0	0	236	219	0	0
Podxl	91.0	0	0	0	143	312	0
Pax2	91.0	0	0	0	0	455	0
Mettl14	91.0	0	0	0	375	80	0
Klhdc8b	91.0	0	0	0	213	242	0
Cdkn3	91.0	0	0	0	455	0	0
Ccdc71	91.0	0	0	0	213	242	0
Aqp7	91.0	0	139	0	0	316	0
Zpr1	90.8	139	174	0	0	141	0
Zfp707	90.8	0	0	150	208	96	0
Ythdc2	90.8	0	86	117	251	0	0
Stmnd1	90.8	0	0	143	311	0	0
Rsu1	90.8	0	123	0	232	99	0
Ppp1r3b	90.8	0	0	204	250	0	0
Pigt	90.8	0	343	0	0	111	0
Phf12	90.8	0	0	0	360	94	0
Odf2l	90.8	0	169	0	146	139	0
Nrg1	90.8	0	286	0	0	168	0
Neo1	90.8	0	144	199	0	111	0
Gfpt1	90.8	0	194	0	148	112	0
Gemin6	90.8	0	211	0	0	243	0
Gar1	90.8	0	151	0	161	142	0
Dpy30	90.8	0	0	0	262	192	0
Ttc13	90.6	0	0	0	453	0	0
Taf15	90.6	127	0	0	0	326	0
Rfx3	90.6	0	0	0	285	168	0
Mtarc2	90.6	0	0	145	308	0	0
Kif21a	90.6	0	0	179	274	0	0
Ccs	90.6	0	223	0	230	0	0
Ccdc87	90.6	0	223	0	230	0	0
Arv1	90.6	0	0	0	453	0	0
Zfp991	90.4	0	0	127	240	85	0
Zdhhc1	90.4	0	99	0	353	0	0
Trim44	90.4	0	199	0	89	164	0
Suox	90.4	0	0	189	263	0	0
Psme1	90.4	0	259	0	193	0	0
Pias4	90.4	0	0	0	298	154	0
Pcnx3	90.4	0	134	0	212	106	0
Med6	90.4	0	0	0	161	291	0
Map3k11	90.4	0	134	0	212	106	0
Lyrm2	90.4	0	0	0	452	0	0
Gm572	90.4	0	239	0	0	213	0
Fam131c	90.4	0	253	0	0	199	0
Zfp113	90.2	0	151	0	116	184	0
Smc2	90.2	0	0	0	451	0	0
Slc38a7	90.2	0	144	0	307	0	0
Rbm38	90.2	0	280	0	171	0	0
Rad51ap1	90.2	0	0	0	324	127	0
Ppm1l	90.2	0	133	0	201	117	0
Lsm1	90.2	0	0	0	352	99	0
Gm14326	90.2	0	71	145	143	92	0
Dusp8	90.2	0	0	0	187	264	0
Dcdc2b	90.2	0	261	0	190	0	0
D6Wsu163e	90.2	0	0	0	324	127	0
Ccl27a	90.2	0	0	136	315	0	0
Bag4	90.2	0	0	0	352	99	0
Spdl1	90.0	0	0	0	450	0	0
Prss2	90.0	0	450	0	0	0	0
Mak16	90.0	0	0	305	145	0	0
E030030I06Rik	90.0	0	0	0	0	450	0
Crebzf	90.0	0	223	227	0	0	0
Clp1	90.0	0	0	0	232	218	0
Baz1a	90.0	0	307	0	0	143	0
Trim72	89.8	0	0	150	299	0	0
Srp54c	89.8	0	126	0	179	144	0
Srp54b	89.8	0	126	0	179	144	0
Olfr1412	89.8	0	0	155	294	0	0
Olfr1411	89.8	0	0	155	294	0	0
Ndufs2	89.8	0	185	0	264	0	0
Mydgf	89.8	0	320	0	0	129	0
Mtrex	89.8	0	134	0	125	190	0
Krba1	89.8	0	0	0	449	0	0
Insig2	89.8	0	0	0	309	140	0
Gramd3	89.8	0	0	129	320	0	0
Gm9949	89.8	0	0	207	242	0	0
Fam162b	89.8	0	0	155	294	0	0
Dhx29	89.8	0	134	0	125	190	0
Dcp1b	89.8	0	0	0	263	186	0
Csnk1g3	89.8	0	311	0	0	138	0
Ankfy1	89.8	0	0	0	307	142	0
Adrb2	89.8	0	0	207	242	0	0
Adamts4	89.8	0	185	0	264	0	0
Rpl32	89.6	0	0	0	338	110	0
Rhof	89.6	0	0	0	186	262	0
Phf19	89.6	0	260	0	0	188	0
Napa	89.6	0	142	0	108	198	0
Il11ra1	89.6	0	0	0	144	304	0
Gemin4	89.6	0	108	0	206	134	0
Galt	89.6	0	0	0	144	304	0
Dbil5	89.6	0	108	0	206	134	0
Cox18	89.6	0	164	0	199	85	0
Atg16l1	89.6	0	86	0	0	362	0
Zfp628	89.4	0	0	94	353	0	0
Usp37	89.4	0	0	201	106	140	0
Tasor	89.4	0	0	0	343	104	0
Stxbp1	89.4	0	149	0	298	0	0
Spen	89.4	0	175	0	272	0	0
Scara5	89.4	0	0	0	120	327	0
Nrn1	89.4	0	279	0	168	0	0
Map2k5	89.4	0	0	0	213	234	0
Hadhb	89.4	0	0	0	329	118	0
Hadha	89.4	0	0	0	329	118	0
Ercc6l2	89.4	0	181	0	103	163	0
Cystm1	89.4	0	0	0	266	181	0
Cnot9	89.4	0	0	201	106	140	0
Atp6v0a2	89.4	0	0	195	252	0	0
Asns	89.4	0	0	0	338	109	0
Aqp8	89.4	0	0	0	0	447	0
Zfp583	89.2	0	0	0	446	0	0
Traip	89.2	0	215	0	125	106	0
Tomm5	89.2	0	0	0	204	242	0
Tbrg1	89.2	0	0	0	327	119	0
Serpini1	89.2	0	0	0	307	139	0
Scyl2	89.2	0	142	0	74	230	0
Rnf185	89.2	0	0	0	258	188	0
Ppib	89.2	0	0	0	446	0	0
Plp1	89.2	0	0	184	262	0	0
Pdcd10	89.2	0	0	0	307	139	0
Nfic	89.2	0	292	0	154	0	0
Neurog1	89.2	0	0	256	190	0	0
Naa50	89.2	0	334	0	0	112	0
Mef2b	89.2	0	0	246	200	0	0
Guca2a	89.2	0	0	0	185	261	0
Gm21885	89.2	0	0	0	0	446	0
Dhx30	89.2	0	0	0	275	171	0
Cspg4	89.2	0	250	0	196	0	0
Cldn20	89.2	0	446	0	0	0	0
Ciita	89.2	0	0	226	220	0	0
Atp6v1a	89.2	0	334	0	0	112	0
Zfp558	89.0	0	0	0	180	265	0
Zfp408	89.0	0	0	0	201	244	0
Tpr	89.0	0	66	0	379	0	0
Tnf	89.0	0	0	0	0	445	0
Srp14	89.0	0	0	0	315	130	0
Rpl37	89.0	0	104	0	0	341	0
Plxna2	89.0	0	0	152	293	0	0
Odr4	89.0	0	66	0	379	0	0
Nod2	89.0	0	104	0	341	0	0
Nckap1	89.0	0	157	173	115	0	0
Ncapd2	89.0	0	0	189	96	160	0
Mrpl51	89.0	0	0	189	96	160	0
Mbd3l1	89.0	0	0	0	180	265	0
Lta	89.0	0	0	0	0	445	0
Ldb3	89.0	240	205	0	0	0	0
Gpc4	89.0	0	445	0	0	0	0
Fbxo44	89.0	0	0	0	279	166	0
Fbxo2	89.0	0	0	0	279	166	0
Arhgap1	89.0	0	0	0	201	244	0
Ythdf1	88.8	0	0	0	87	357	0
Slc23a3	88.8	0	444	0	0	0	0
Shroom1	88.8	0	444	0	0	0	0
Osgin2	88.8	0	0	138	306	0	0
Nagpa	88.8	0	269	0	0	175	0
Il18bp	88.8	0	0	214	230	0	0
Elp5	88.8	0	78	0	214	152	0
Dpysl4	88.8	0	0	208	236	0	0
Ctdnep1	88.8	0	78	0	214	152	0
Cers5	88.8	0	0	0	362	82	0
Zfp11	88.6	0	0	0	91	352	0
Tnfrsf10b	88.6	0	217	0	226	0	0
Slpi	88.6	0	0	174	269	0	0
Scamp4	88.6	0	115	0	257	71	0
Nptx1	88.6	243	200	0	0	0	0
Mx1	88.6	0	151	0	0	292	0
Fmod	88.6	0	250	0	193	0	0
Ankrd46	88.6	0	80	0	114	249	0
Angpt4	88.6	0	356	0	87	0	0
Adat3	88.6	0	115	0	257	71	0
Abhd10	88.6	0	147	0	99	197	0
4921507P07Rik	88.6	0	0	0	281	162	0
Zfp607b	88.4	0	0	0	199	243	0
Wdr3	88.4	0	0	0	280	162	0
Stk32c	88.4	0	0	0	245	197	0
Smpdl3b	88.4	141	301	0	0	0	0
Ncbp2	88.4	0	0	0	241	201	0
Mgmt	88.4	0	117	108	217	0	0
Med4	88.4	0	132	0	83	227	0
Lrrc27	88.4	0	0	0	245	197	0
Casp4	88.4	0	109	0	108	225	0
Bcas2	88.4	0	106	0	0	336	0
B4gat1	88.4	0	0	180	262	0	0
0610012G03Rik	88.4	0	0	0	241	201	0
Urod	88.2	0	194	0	147	100	0
Tia1	88.2	0	81	152	0	208	0
Stub1	88.2	0	98	0	181	162	0
Slc10a6	88.2	0	0	104	337	0	0
Rpp38	88.2	0	93	0	201	147	0
Mtdh	88.2	0	0	0	136	305	0
Jmjd8	88.2	0	98	0	181	162	0
Il17rc	88.2	0	112	0	180	149	0
Ica1	88.2	105	263	0	0	73	0
Hectd3	88.2	0	194	0	147	100	0
Gpr176	88.2	0	321	0	120	0	0
Fam160b2	88.2	0	186	136	119	0	0
Dnajc1	88.2	0	139	0	178	124	0
Ddx39b	88.2	0	79	133	229	0	0
Cd300lb	88.2	0	215	0	0	226	0
Bard1	88.2	0	250	0	191	0	0
Arfgap2	88.2	0	0	164	125	152	0
Acbd7	88.2	0	93	0	201	147	0
R3hcc1	88.0	0	0	0	235	205	0
Pnpla6	88.0	0	0	117	323	0	0
Kyat3	88.0	0	0	0	291	149	0
Ifit3	88.0	0	440	0	0	0	0
Galnt18	88.0	0	0	0	113	327	0
Fam117b	88.0	0	217	0	127	96	0
Cldn34b2	88.0	0	0	0	0	440	0
Antkmt	88.0	0	70	0	142	228	0
Acad12	88.0	169	137	0	0	134	0
0610040J01Rik	88.0	0	0	0	0	440	0
Usp4	87.8	0	135	0	304	0	0
Ttll11	87.8	0	0	0	0	439	0
Rasl12	87.8	0	0	231	208	0	0
Polg	87.8	0	194	0	0	245	0
Nup62	87.8	0	176	0	120	143	0
Mpp5	87.8	0	439	0	0	0	0
Lce1m	87.8	0	125	169	145	0	0
Il4i1b	87.8	0	176	0	120	143	0
Hes2	87.8	0	151	119	169	0	0
Gm51425	87.8	0	101	0	128	210	0
Cpa1	87.8	0	194	97	148	0	0
Atf5	87.8	0	176	0	120	143	0
2310030G06Rik	87.8	0	0	109	250	80	0
Zfp97	87.6	0	93	0	115	230	0
Rad54l2	87.6	0	302	0	0	136	0
Naga	87.6	0	0	220	148	70	0
Kdm8	87.6	0	0	0	292	146	0
Itgb1bp1	87.6	0	108	0	179	151	0
Irak1	87.6	0	0	155	283	0	0
H13	87.6	0	0	0	212	226	0
Dgat2	87.6	0	0	0	266	172	0
Cpsf3	87.6	0	108	0	179	151	0
Ccm2	87.6	0	0	0	308	130	0
Arhgef4	87.6	0	177	0	261	0	0
Ankrd35	87.6	0	140	0	115	183	0
Usp46	87.4	0	0	147	158	132	0
Ube2q1	87.4	0	0	0	170	267	0
Txndc17	87.4	0	0	0	336	101	0
Tmem94	87.4	0	0	0	341	96	0
Slc9a4	87.4	0	0	0	0	437	0
Rpl12	87.4	0	0	0	319	118	0
Reep4	87.4	0	0	0	301	136	0
Ndufaf2	87.4	0	215	0	0	222	0
Myl4	87.4	0	0	0	437	0	0
Lzts2	87.4	0	335	0	0	102	0
Lrsam1	87.4	0	0	0	319	118	0
Klrg2	87.4	0	0	0	324	113	0
Hoxa2	87.4	0	90	170	177	0	0
Fut8	87.4	0	0	174	263	0	0
Fkbp3	87.4	0	0	140	297	0	0
Fancm	87.4	0	0	140	297	0	0
Cdc27	87.4	0	0	0	437	0	0
Calhm1	87.4	0	437	0	0	0	0
4933427D14Rik	87.4	0	0	0	336	101	0
Xpo6	87.2	0	219	0	217	0	0
Trpm1	87.2	0	0	0	132	304	0
Tmem101	87.2	0	176	0	0	260	0
Tbx5	87.2	0	0	248	188	0	0
Rasal2	87.2	0	0	298	0	138	0
Orc5	87.2	0	151	0	99	186	0
Mapk4	87.2	0	0	252	184	0	0
Kctd7	87.2	0	99	0	164	173	0
Ints14	87.2	0	63	0	0	373	0
Hba-a2	87.2	0	109	0	0	327	0
Hba-a1	87.2	0	109	0	0	327	0
Bcas3	87.2	0	0	0	311	125	0
Zfp959	87.0	0	196	0	0	239	0
Mtmr10	87.0	0	97	0	127	211	0
Msantd4	87.0	0	134	0	144	157	0
Klhdc8a	87.0	0	435	0	0	0	0
Hyou1	87.0	0	201	0	103	131	0
E2f1	87.0	0	346	0	89	0	0
Cybc1	87.0	0	97	0	218	120	0
Btg3	87.0	0	298	0	0	137	0
Bex1	87.0	0	0	184	251	0	0
Adprh	87.0	0	0	0	274	161	0
Yipf2	86.8	0	79	0	0	355	0
Timm29	86.8	0	79	0	0	355	0
Rnf152	86.8	0	0	0	286	148	0
Rbl2	86.8	0	0	117	317	0	0
Ppp3ca	86.8	0	0	0	272	162	0
Mrpl17	86.8	0	81	0	135	218	0
Ldlrad3	86.8	298	0	0	136	0	0
Kidins220	86.8	0	129	0	228	77	0
E130311K13Rik	86.8	0	0	0	181	253	0
Clybl	86.8	0	0	159	275	0	0
Sec24b	86.6	0	433	0	0	0	0
Psca	86.6	0	0	0	0	433	0
Ercc6	86.6	0	82	100	125	126	0
Elf3	86.6	0	107	0	0	326	0
Ddx19b	86.6	0	230	0	125	78	0
Csgalnact2	86.6	0	134	113	74	112	0
Cdca4	86.6	0	270	0	163	0	0
BC051019	86.6	0	307	0	0	126	0
Aars	86.6	0	230	0	125	78	0
Wdr81	86.4	0	140	0	131	161	0
Snw1	86.4	0	0	169	130	133	0
Slc22a15	86.4	0	101	0	331	0	0
Moxd2	86.4	0	0	0	432	0	0
Glce	86.4	0	300	0	0	132	0
Gbp9	86.4	0	177	0	0	255	0
Fam118a	86.4	0	0	0	241	191	0
Ttc30b	86.2	0	0	132	176	123	0
Osbp2	86.2	194	0	0	237	0	0
Lancl3	86.2	0	151	126	0	154	0
Ift81	86.2	0	126	0	137	168	0
Hnrnpa3	86.2	0	117	0	240	74	0
E230025N22Rik	86.2	0	0	0	0	431	0
Det1	86.2	0	0	0	245	186	0
Cldn9	86.2	0	0	0	0	431	0
C1s2	86.2	0	0	0	0	431	0
Aak1	86.2	0	325	0	106	0	0
Zfp37	86.0	0	0	0	281	149	0
Ywhab	86.0	0	117	0	313	0	0
Tmem71	86.0	0	0	0	241	189	0
Pdxdc1	86.0	0	109	0	182	139	0
Pcca	86.0	0	147	0	76	207	0
Ostm1	86.0	0	253	0	0	177	0
Nolc1	86.0	0	166	0	107	157	0
Nfia	86.0	0	0	215	215	0	0
Ndufaf1	86.0	0	0	0	0	430	0
Nat8f5	86.0	0	0	136	294	0	0
Mgat4b	86.0	0	151	0	161	118	0
H3f3c	86.0	0	0	0	0	430	0
Edem1	86.0	0	108	0	129	193	0
Brwd1	86.0	0	0	201	229	0	0
Arhgef12	86.0	0	259	0	0	171	0
Zbtb26	85.8	0	0	0	225	204	0
Ttc41	85.8	0	128	0	170	131	0
Tnfsfm13	85.8	0	0	0	429	0	0
Tnfsf12	85.8	0	0	0	429	0	0
Tnfsf11	85.8	0	429	0	0	0	0
Rnf186	85.8	0	0	0	0	429	0
Rabgap1	85.8	0	0	0	225	204	0
Ppil3	85.8	0	86	0	177	166	0
Pdlim2	85.8	0	0	0	0	429	0
Pdcl	85.8	0	0	88	242	99	0
Nif3l1	85.8	0	86	0	177	166	0
Hsp90b1	85.8	0	128	0	170	131	0
Cstf2t	85.8	0	63	0	0	366	0
Cdc23	85.8	0	0	137	193	99	0
Akap8l	85.8	0	304	0	0	125	0
Znrd1as	85.6	0	181	0	0	247	0
Znrd1	85.6	0	181	0	0	247	0
Zfp40	85.6	0	0	0	302	126	0
Wdr25	85.6	0	121	0	91	216	0
Wars	85.6	0	121	0	91	216	0
Vwa1	85.6	0	142	0	85	201	0
Tepsin	85.6	0	0	168	128	132	0
Rpl35a	85.6	0	0	0	202	226	0
Pin1rt1	85.6	0	266	0	162	0	0
Ndufaf8	85.6	0	0	168	128	132	0
Gm1673	85.6	0	115	119	194	0	0
Cpeb4	85.6	0	0	119	193	116	0
Bbx	85.6	0	0	72	199	157	0
Asb6	85.6	0	173	0	0	255	0
Arc	85.6	0	319	0	109	0	0
2410002F23Rik	85.6	0	0	0	331	97	0
Snrpb	85.4	0	109	0	0	318	0
Plxna3	85.4	0	0	0	427	0	0
Fbxl4	85.4	0	224	0	203	0	0
Ehd4	85.4	0	101	0	176	150	0
Dlk2	85.4	0	0	0	0	427	0
C1qtnf5	85.4	0	255	0	172	0	0
Atad1	85.4	0	0	0	92	335	0
Apol10b	85.4	0	427	0	0	0	0
Zfp207	85.2	0	150	0	116	160	0
Wfdc2	85.2	0	0	0	150	276	0
Sohlh1	85.2	0	426	0	0	0	0
Sap30l	85.2	0	252	174	0	0	0
Pa2g4	85.2	0	0	0	324	102	0
Ndufs7	85.2	0	178	0	0	248	0
Marchf3	85.2	0	117	0	167	142	0
Chmp6	85.2	0	120	0	0	306	0
Cfap410	85.2	0	0	0	0	426	0
Cdkl4	85.2	0	117	0	0	309	0
Bicdl1	85.2	0	0	0	286	140	0
B3galnt1	85.2	0	115	125	186	0	0
Shank1	85.0	0	0	0	425	0	0
Serpinb12	85.0	0	0	195	230	0	0
Rmnd5a	85.0	0	0	0	196	229	0
Pitpnm1	85.0	0	0	0	250	175	0
Mfsd2b	85.0	0	205	0	220	0	0
Icmt	85.0	0	122	0	303	0	0
Haus7	85.0	0	0	0	0	425	0
Fmo1	85.0	0	0	174	251	0	0
Cdk2ap2	85.0	0	0	0	250	175	0
AA414768	85.0	0	0	126	299	0	0
Wwp1	84.8	0	0	200	224	0	0
Ubn1	84.8	0	163	0	0	261	0
Tagap1	84.8	0	99	0	325	0	0
Ssbp4	84.8	0	181	0	243	0	0
Rint1	84.8	0	0	0	234	190	0
Rad51ap2	84.8	0	0	184	240	0	0
Prodh	84.8	0	0	0	357	67	0
Pih1d2	84.8	0	0	0	161	263	0
Phax	84.8	0	134	0	290	0	0
Noxa1	84.8	0	0	0	0	424	0
Nme3	84.8	0	287	0	0	137	0
Nkapd1	84.8	0	0	0	161	263	0
Mx2	84.8	0	424	0	0	0	0
Mrps34	84.8	0	287	0	0	137	0
Gpr15	84.8	0	424	0	0	0	0
Gm5820	84.8	0	0	0	0	424	0
Glyr1	84.8	0	163	0	0	261	0
Eme2	84.8	0	287	0	0	137	0
Cers3	84.8	0	424	0	0	0	0
Aldh7a1	84.8	0	134	0	290	0	0
Upp2	84.6	0	149	0	159	115	0
Tulp2	84.6	0	291	0	0	132	0
Tmem9	84.6	228	0	0	195	0	0
Timm8a1	84.6	0	0	0	423	0	0
Timm50	84.6	0	0	0	285	138	0
Mnd1	84.6	0	0	0	120	303	0
H60b	84.6	0	0	0	229	194	0
Dhdh	84.6	0	291	0	0	132	0
Armc5	84.6	0	0	90	197	136	0
Adamtsl2	84.6	0	256	0	167	0	0
Acvr1	84.6	0	149	0	159	115	0
9130023H24Rik	84.6	0	0	90	197	136	0
Uhrf2	84.4	0	0	122	184	116	0
Tcaim	84.4	0	142	0	210	70	0
Sstr3	84.4	0	256	0	0	166	0
Rasa4	84.4	0	182	0	240	0	0
Prlh	84.4	0	0	0	0	422	0
Cul3	84.4	0	233	0	95	94	0
Ccdc91	84.4	0	0	0	269	153	0
Trpm7	84.2	0	86	0	180	155	0
Tctn1	84.2	0	0	0	247	174	0
Slc25a18	84.2	0	0	211	210	0	0
Rsl1d1	84.2	0	0	0	197	224	0
Rabl3	84.2	0	142	0	170	109	0
Pdxp	84.2	0	123	0	96	202	0
Gtf2e1	84.2	0	142	0	170	109	0
Fzd3	84.2	0	204	0	0	217	0
Frmd3	84.2	0	0	129	292	0	0
Fbxo16	84.2	0	204	0	0	217	0
Dnpep	84.2	0	75	0	227	119	0
Dmrta1	84.2	0	0	91	330	0	0
Dennd4a	84.2	0	0	199	222	0	0
1700029P11Rik	84.2	0	0	152	269	0	0
Sfrp4	84.0	0	291	0	0	129	0
Psmg3	84.0	0	0	0	0	420	0
Mrgprg	84.0	0	142	117	161	0	0
Htt	84.0	0	146	0	153	121	0
Dlx1	84.0	0	176	137	107	0	0
Cfap298	84.0	0	109	0	164	147	0
Cdrt4	84.0	0	0	145	275	0	0
Zfp932	83.8	0	215	0	204	0	0
Tmem87b	83.8	0	0	0	303	116	0
Stpg3	83.8	0	82	0	143	194	0
Stk35	83.8	0	173	0	141	105	0
Slc22a18	83.8	0	0	0	186	233	0
Samd8	83.8	0	151	0	208	60	0
Rbm43	83.8	0	0	0	419	0	0
Nelfb	83.8	0	82	0	143	194	0
Lrrc24	83.8	0	0	0	214	205	0
Hmgcll1	83.8	154	125	0	0	140	0
Cstdc2	83.8	0	0	0	0	419	0
C030006K11Rik	83.8	0	0	0	214	205	0
Aasdh	83.8	0	0	0	191	228	0
Zfp51	83.6	0	150	0	135	133	0
Ulk3	83.6	0	245	0	173	0	0
Slu7	83.6	0	0	0	262	156	0
Pepd	83.6	0	131	0	168	119	0
Nt5c	83.6	0	0	0	275	143	0
Lpcat4	83.6	0	0	0	225	193	0
Lars	83.6	0	159	0	134	125	0
Dctpp1	83.6	0	0	0	173	245	0
Dctd	83.6	0	168	0	250	0	0
Alas1	83.6	0	166	0	0	252	0
Urb1	83.4	0	0	0	348	69	0
Tead2	83.4	0	197	0	220	0	0
Saraf	83.4	0	290	0	127	0	0
Ralgapb	83.4	0	254	0	0	163	0
Pacsin1	83.4	0	0	0	0	417	0
Osgep	83.4	0	111	0	201	105	0
Marchf8	83.4	0	0	0	243	174	0
Lyrm4	83.4	0	100	0	223	94	0
Lamtor3	83.4	0	181	0	0	236	0
Gle1	83.4	0	0	0	152	265	0
Foxi2	83.4	0	0	145	272	0	0
Fars2	83.4	0	100	0	223	94	0
Entpd7	83.4	0	0	0	249	168	0
Dkkl1	83.4	0	197	0	220	0	0
Cdk16	83.4	0	109	0	308	0	0
Baiap2l1	83.4	0	0	0	284	133	0
Apex1	83.4	0	111	0	201	105	0
Abhd16a	83.4	0	0	0	217	200	0
Zswim9	83.2	0	101	0	167	148	0
Zscan22	83.2	0	244	0	0	172	0
Wsb2	83.2	0	0	0	254	162	0
Vps26a	83.2	0	107	0	309	0	0
Tstd2	83.2	0	115	0	301	0	0
Tecrl	83.2	0	0	226	190	0	0
Srgn	83.2	0	0	0	416	0	0
Shisal2a	83.2	0	159	0	257	0	0
Rsbn1	83.2	0	0	0	204	212	0
Ndufaf6	83.2	0	0	0	0	416	0
Ncbp1	83.2	0	115	0	301	0	0
Lig1	83.2	0	101	0	167	148	0
Gnat1	83.2	0	0	145	0	271	0
Elof1	83.2	0	0	0	156	260	0
Ddx47	83.2	0	0	0	0	416	0
Chst12	83.2	0	142	0	184	90	0
Bloc1s4	83.2	0	291	0	125	0	0
2700062C07Rik	83.2	0	0	193	223	0	0
Zfp687	83.0	0	168	0	122	125	0
Tmem177	83.0	0	0	91	203	121	0
Tirap	83.0	0	188	227	0	0	0
Rnf5	83.0	0	0	214	201	0	0
Ptcd3	83.0	0	0	162	136	117	0
Polr2h	83.0	0	0	0	295	120	0
Polr1a	83.0	0	0	162	136	117	0
Olfr153	83.0	0	0	205	210	0	0
Lipc	83.0	0	0	0	190	225	0
Hebp1	83.0	0	101	0	314	0	0
Gpr173	83.0	0	215	0	200	0	0
Gan	83.0	0	227	0	188	0	0
Fabp7	83.0	0	263	0	152	0	0
Defb25	83.0	0	0	195	220	0	0
Clcn2	83.0	0	0	0	295	120	0
Cfl1	83.0	0	0	0	210	205	0
Amacr	83.0	0	0	149	136	130	0
Agpat1	83.0	0	0	214	201	0	0
Adam3	83.0	0	244	0	171	0	0
4930550L24Rik	83.0	0	0	215	200	0	0
Unc93a	82.8	0	96	129	189	0	0
Scoc	82.8	0	0	215	199	0	0
Olfml2b	82.8	0	145	0	269	0	0
Mapkapk3	82.8	0	82	0	167	165	0
Lnpk	82.8	0	101	0	218	95	0
Gm29797	82.8	0	196	0	68	150	0
Fign	82.8	0	0	274	140	0	0
Eif3c	82.8	0	121	0	170	123	0
Dera	82.8	0	0	0	153	261	0
Csrp2	82.8	0	116	0	185	113	0
Cblc	82.8	0	0	0	0	414	0
Zfp101	82.6	0	79	83	251	0	0
Sertad3	82.6	0	121	0	169	123	0
Sar1a	82.6	0	93	0	142	178	0
Psmb7	82.6	0	189	0	0	224	0
Pappa2	82.6	0	243	0	0	170	0
Mtg1	82.6	0	93	0	0	320	0
Gm11213	82.6	0	244	0	0	169	0
Engase	82.6	0	317	0	96	0	0
Atic	82.6	0	101	0	312	0	0
