Target_genes	Egr2|Average	SRX270569|CD4+_T_cells	SRX270570|CD4+_T_cells	SRX6491107|CD8+_T_cells	SRX122432|Dendritic_Cells	SRX122433|Dendritic_Cells	SRX122434|Dendritic_Cells	SRX122435|Dendritic_Cells	SRX8379010|Macrophages	SRX8379011|Macrophages	SRX8379012|Macrophages	SRX8379013|Macrophages	SRX8379014|Macrophages	SRX8379015|Macrophages	SRX9311757|Macrophages	SRX9311758|Macrophages	SRX9311759|Macrophages	SRX9311760|Macrophages	SRX9311761|Macrophages	SRX9311762|Macrophages	SRX9311763|Macrophages	SRX9311764|Macrophages	SRX9311765|Macrophages	SRX9311766|Macrophages	SRX9311767|Macrophages	SRX9311768|Macrophages	SRX9311769|Macrophages	SRX9311770|Macrophages	SRX9311771|Macrophages	SRX9311772|Macrophages	SRX9311773|Macrophages	SRX9311774|Macrophages	SRX9311775|Macrophages	SRX9311776|Macrophages	SRX9311777|Macrophages	SRX9311778|Macrophages	SRX9311779|Macrophages	SRX9311780|Macrophages	SRX110637|Natural_Killer_T-Cells	SRX110636|Thymocytes	SRX329255|T_cells	SRX329256|T_cells	SRX329257|T_cells	STRING
Acads	152.642857	1571	1837	0	0	0	0	0	0	0	0	0	127	0	326	159	0	112	127	175	656	175	272	0	265	0	166	0	301	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0
Ndst2	152.5	645	679	0	0	0	0	0	0	0	0	0	92	0	393	161	153	182	205	542	870	157	205	0	507	0	156	0	658	0	0	0	126	0	0	0	674	0	0	0	0	0	0	0
Depdc1b	152.47619	850	734	0	0	0	0	0	0	0	119	0	115	0	647	297	123	254	0	456	868	160	295	0	218	0	169	0	293	0	111	0	128	0	86	0	335	146	0	0	0	0	0	0
Rnf157	152.404762	233	292	0	0	0	0	0	0	0	0	0	112	108	241	292	0	97	0	153	875	431	243	0	804	129	257	0	638	0	0	0	65	0	164	0	1061	206	0	0	0	0	0	0
Kif23	152.404762	379	389	0	0	0	0	0	0	0	0	0	0	0	356	157	0	206	129	758	744	289	438	189	730	252	236	0	623	0	0	0	252	0	0	0	274	0	0	0	0	0	0	0
Srbd1	152.357143	336	0	0	0	0	0	0	0	0	0	0	262	0	213	0	84	196	121	482	428	405	1013	0	1106	0	445	0	934	0	0	0	140	0	0	0	234	0	0	0	0	0	0	0
Pxn	152.285714	278	411	0	0	0	0	0	0	0	0	0	155	0	437	245	201	196	128	345	1140	543	261	0	647	0	136	0	723	0	0	0	0	0	0	0	469	81	0	0	0	0	0	0
Dync1h1	152.238095	1061	958	0	0	0	0	0	0	0	0	0	78	131	244	204	0	139	162	770	558	257	313	0	405	0	356	0	541	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0
Mvd	152.214286	1420	1014	0	0	0	0	0	0	0	0	0	0	96	549	130	0	428	182	475	819	250	162	0	234	0	0	0	313	0	0	0	0	0	106	0	215	0	0	0	0	0	0	0
Cacna1g	152.119048	144	0	0	0	0	0	0	0	0	0	0	0	0	357	340	0	586	0	1270	867	812	152	0	786	0	0	0	804	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0
Otulin	152.0	1214	698	0	0	0	0	0	0	0	0	0	0	0	367	0	0	394	130	1020	515	604	257	0	395	0	0	0	355	0	0	0	0	0	0	0	238	197	0	0	0	0	0	0
Bag2	152.0	178	259	0	0	0	0	0	0	0	0	0	0	0	356	190	0	195	0	137	936	423	347	0	638	0	282	0	637	0	0	0	189	0	255	0	1145	217	0	0	0	0	0	0
Ipo13	151.97619	1553	1645	0	0	0	0	0	0	0	0	0	0	0	291	184	0	218	0	647	494	429	190	0	327	0	91	0	142	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0
Ltb	151.785714	1124	1220	0	0	0	0	0	0	0	0	0	0	0	336	0	0	218	0	681	823	272	163	0	464	0	152	0	409	0	0	0	0	0	163	0	350	0	0	0	0	0	0	0
Puf60	151.666667	870	1573	0	0	0	0	0	0	0	0	0	254	0	301	202	0	166	157	296	589	218	387	0	312	0	179	0	343	0	0	0	126	0	106	0	291	0	0	0	0	0	0	0
Imp3	151.642857	775	766	0	0	0	0	0	0	0	0	0	0	0	702	411	0	446	127	795	932	417	417	0	214	0	166	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp5c	151.571429	269	99	0	0	0	0	0	0	0	0	0	170	0	274	275	223	352	226	689	374	495	415	0	508	0	535	0	625	0	0	0	377	0	87	0	373	0	0	0	0	0	0	0
Zfc3h1	151.547619	814	551	0	0	0	0	0	0	0	0	0	0	0	489	206	0	305	116	481	901	321	220	0	505	0	190	0	631	0	0	0	0	0	122	0	513	0	0	0	0	0	0	0
Thap2	151.547619	814	551	0	0	0	0	0	0	0	0	0	0	0	489	206	0	305	116	481	901	321	220	0	505	0	190	0	631	0	0	0	0	0	122	0	513	0	0	0	0	0	0	0
Mpp2	151.547619	2288	2327	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	237	151	0	181	0	427	0	0	0	263	0	0	0	0	0	0	0	243	0	0	0	0	0	136	0
Lrrc8a	151.52381	694	703	0	0	0	0	0	0	0	0	0	97	0	652	222	118	375	132	655	1167	307	272	0	412	0	0	0	264	0	0	0	0	0	72	0	222	0	0	0	0	0	0	0
Anxa2	151.452381	737	746	0	0	0	0	0	0	0	0	0	125	99	493	0	0	212	170	473	997	345	226	0	547	0	200	0	521	0	0	0	0	0	0	0	361	109	0	0	0	0	0	0
Trp53bp2	151.380952	484	1038	0	0	0	0	0	0	0	0	0	145	0	418	192	0	201	127	350	991	352	508	0	350	0	87	0	372	0	0	0	0	0	190	0	412	141	0	0	0	0	0	0
Slc38a10	151.333333	1401	1532	0	0	0	0	0	0	0	0	0	105	0	356	158	120	181	140	304	512	125	117	0	430	0	117	0	426	0	0	0	0	0	0	0	233	99	0	0	0	0	0	0
Specc1	151.261905	185	84	0	0	0	0	0	0	0	0	0	89	0	557	530	185	529	169	1077	697	520	350	0	291	0	241	0	237	0	0	0	0	0	311	0	301	0	0	0	0	0	0	0
Itgav	151.261905	293	611	0	0	0	0	0	0	0	0	0	0	0	462	162	0	227	213	493	964	344	262	0	754	0	162	0	730	0	0	0	0	0	0	0	511	165	0	0	0	0	0	0
Zfp219	151.214286	579	671	0	0	0	0	0	0	0	0	0	136	0	582	359	159	350	195	685	940	327	205	0	394	0	162	0	395	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Tmem253	151.214286	579	671	0	0	0	0	0	0	0	0	0	136	0	582	359	159	350	195	685	940	327	205	0	394	0	162	0	395	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0
Ypel5	151.166667	526	452	0	0	0	0	0	0	0	0	0	103	152	446	210	72	490	213	617	667	396	333	0	484	0	251	0	346	0	0	0	83	0	0	0	508	0	0	0	0	0	0	0
App	151.095238	288	389	0	0	0	0	0	0	0	108	0	152	0	593	197	0	408	180	514	932	383	234	0	572	0	277	0	418	0	0	0	141	0	0	0	560	0	0	0	0	0	0	0
Cdc42se2	151.071429	1287	1188	0	0	0	0	0	0	0	0	0	0	0	438	264	0	417	0	441	844	266	294	0	265	0	141	0	239	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0
Tmem131l	151.02381	380	519	0	0	0	0	0	0	0	0	0	163	0	249	174	0	155	138	406	606	575	275	0	581	0	270	0	602	0	0	0	146	176	140	0	659	129	0	0	0	0	0	0
Ankle2	151.02381	860	1705	0	0	0	0	0	0	0	125	0	128	0	229	115	0	142	161	208	467	221	265	0	486	0	122	0	435	0	0	0	161	0	0	0	513	0	0	0	0	0	0	0
Adap1	151.02381	154	320	0	0	0	0	0	0	0	0	0	150	0	438	137	0	268	101	749	1164	322	203	0	659	0	244	0	665	0	0	0	148	0	0	0	421	200	0	0	0	0	0	0
Rabep2	150.952381	349	428	0	0	0	0	0	0	0	0	0	116	0	536	271	139	249	205	706	807	334	354	0	453	0	245	0	508	0	0	0	234	0	83	0	323	0	0	0	0	0	0	0
Kdm4b	150.785714	554	1190	0	0	0	0	0	0	0	0	0	0	0	520	178	0	227	213	503	956	216	448	0	399	0	125	0	294	0	61	0	0	0	151	0	298	0	0	0	0	0	0	0
Trim33	150.761905	453	608	0	0	0	0	0	0	0	0	0	138	0	509	290	0	167	0	139	980	460	293	0	835	0	162	0	519	0	0	0	0	0	145	0	504	130	0	0	0	0	0	0
Tmem229b	150.714286	483	450	126	0	0	0	0	0	0	0	0	182	0	291	0	146	192	169	544	453	276	527	136	630	124	326	0	552	0	0	0	0	0	0	0	660	63	0	0	0	0	0	0
Gnat2	150.666667	0	0	0	0	0	0	0	0	0	0	0	0	226	265	147	0	873	293	1556	1012	862	0	0	320	0	142	0	370	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0
Mrpl52	150.642857	465	576	0	0	0	0	0	0	0	0	0	115	0	533	305	0	483	0	816	658	403	341	0	276	0	160	0	353	0	0	0	82	0	183	0	422	156	0	0	0	0	0	0
Mmp14	150.642857	465	576	0	0	0	0	0	0	0	0	0	115	0	533	305	0	483	0	816	658	403	341	0	276	0	160	0	353	0	0	0	82	0	183	0	422	156	0	0	0	0	0	0
Mtm1	150.547619	156	188	0	0	0	0	0	0	0	0	0	134	0	559	485	109	580	219	988	797	469	348	0	486	0	82	0	351	0	0	0	139	0	0	0	233	0	0	0	0	0	0	0
Cyp46a1	150.547619	0	0	0	0	0	0	0	0	0	0	0	0	0	328	419	0	234	0	408	888	548	365	0	841	0	0	0	229	0	0	0	143	0	259	0	1286	375	0	0	0	0	0	0
Mtmr3	150.333333	189	1045	0	0	0	0	0	0	0	0	0	0	0	395	270	183	313	119	542	896	517	398	0	379	0	168	0	389	0	0	0	0	0	163	0	278	70	0	0	0	0	0	0
Eif3h	150.333333	1176	1182	0	0	0	0	0	0	0	0	0	0	0	322	161	0	253	0	866	1007	330	139	0	424	0	146	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tarbp1	150.285714	1822	1348	0	0	0	0	0	0	0	0	0	0	0	346	251	0	254	0	473	640	230	302	0	180	0	0	0	289	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0
Bcorl1	150.261905	510	531	0	0	0	0	0	0	0	0	0	95	0	287	181	94	245	274	599	820	221	372	0	492	0	295	0	513	0	0	0	110	0	0	0	565	107	0	0	0	0	0	0
Gadd45g	150.166667	877	732	0	0	0	0	0	0	0	0	0	0	110	519	135	0	333	197	435	993	331	311	0	253	0	169	0	254	0	0	0	140	0	151	0	289	78	0	0	0	0	0	0
Foxe3	150.02381	0	0	0	0	0	0	0	0	0	0	0	249	0	281	191	0	0	179	249	403	292	706	125	1183	175	520	0	1118	0	0	0	132	0	108	0	390	0	0	0	0	0	0	0
Senp6	149.928571	177	397	0	0	0	0	0	0	0	0	0	94	0	245	355	110	315	169	332	972	495	270	0	806	0	316	0	783	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0
Gpr142	149.928571	956	784	0	0	0	0	0	0	0	0	0	120	127	0	176	176	216	231	601	203	219	250	0	507	0	322	0	535	0	0	0	145	0	180	0	549	0	0	0	0	0	0	0
Kxd1	149.904762	694	743	0	0	0	0	0	0	0	0	0	0	0	589	278	125	217	240	633	1401	269	103	0	231	0	103	0	183	0	0	0	0	0	0	0	262	225	0	0	0	0	0	0
Pkn1	149.833333	273	241	0	0	0	0	0	0	0	0	0	211	0	516	201	0	220	0	411	1209	371	232	0	770	0	156	0	556	0	0	0	0	0	130	0	671	125	0	0	0	0	0	0
Rln3	149.761905	1460	1473	0	0	0	0	0	0	0	0	0	0	0	401	160	0	179	0	532	813	289	201	0	226	0	0	0	225	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0
Il27ra	149.761905	1460	1473	0	0	0	0	0	0	0	0	0	0	0	401	160	0	179	0	532	813	289	201	0	226	0	0	0	225	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0
Zfp207	149.666667	2089	1211	0	0	0	0	0	0	0	109	0	176	0	93	95	0	139	135	329	364	155	197	0	248	0	196	0	304	0	0	0	0	0	152	0	294	0	0	0	0	0	0	0
Atp6v0a1	149.619048	1606	1174	0	0	0	0	0	0	0	0	0	139	0	285	171	0	224	0	409	783	221	201	0	253	0	98	0	206	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0
Susd3	149.595238	589	632	0	0	0	0	0	0	0	0	0	211	0	0	0	153	147	391	515	311	0	205	0	1132	0	343	0	1004	0	0	0	197	0	0	0	453	0	0	0	0	0	0	0
Pck2	149.52381	1307	995	0	0	0	0	0	0	0	0	0	0	0	452	190	0	256	88	440	1093	150	157	0	247	0	124	0	234	0	0	0	0	0	0	0	459	88	0	0	0	0	0	0
Patz1	149.428571	997	379	0	0	0	0	0	0	0	0	0	97	97	553	137	0	241	156	540	927	161	242	0	507	0	178	0	371	0	0	0	0	0	0	0	623	70	0	0	0	0	0	0
Meaf6	149.380952	754	1095	0	0	0	0	0	0	0	0	0	99	0	200	272	0	0	0	197	849	432	157	0	656	0	283	0	658	0	0	0	0	0	164	0	364	94	0	0	0	0	0	0
Id2	149.357143	895	586	0	0	0	0	0	0	0	0	0	0	0	539	223	0	239	155	753	1047	275	228	0	450	0	185	0	425	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0
Ccng2	149.309524	658	747	0	0	0	0	0	0	0	122	0	136	102	384	189	83	194	258	586	672	275	280	0	429	0	169	0	367	0	0	0	97	0	0	0	394	129	0	0	0	0	0	0
Gins1	149.285714	603	569	0	0	0	0	0	0	0	0	0	184	0	455	276	108	383	0	1079	1145	386	188	0	390	0	0	0	0	0	0	0	152	0	0	0	352	0	0	0	0	0	0	0
Coprs	149.261905	328	207	0	0	0	0	0	0	0	0	0	116	178	410	397	0	183	0	236	1319	548	483	0	484	0	156	0	518	0	107	0	104	0	0	0	495	0	0	0	0	0	0	0
Zfp787	149.238095	736	666	0	0	0	0	0	0	0	0	0	135	0	221	178	134	148	200	442	764	327	326	0	581	0	229	0	475	0	0	0	85	0	117	0	435	69	0	0	0	0	0	0
Pxylp1	149.166667	507	663	0	0	0	0	0	0	0	0	0	101	0	260	274	0	246	0	433	638	201	306	0	600	0	360	0	772	0	0	0	168	0	0	0	613	123	0	0	0	0	0	0
Adora2a	149.047619	292	421	0	0	0	0	0	0	0	0	0	0	124	397	327	0	270	137	943	648	469	234	147	523	0	176	0	757	0	0	0	232	0	0	0	163	0	0	0	0	0	0	0
Pfdn2	149.02381	1893	1639	0	0	0	0	0	0	0	0	0	0	0	171	130	0	139	0	484	626	183	112	0	228	0	120	0	327	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0
Nit1	149.02381	1893	1639	0	0	0	0	0	0	0	0	0	0	0	171	130	0	139	0	484	626	183	112	0	228	0	120	0	327	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0
Zc3h10	148.97619	1100	1180	0	0	0	0	0	0	0	0	0	76	0	460	298	0	261	0	627	963	413	125	0	185	0	110	0	201	0	0	0	0	0	0	0	170	88	0	0	0	0	0	0
Rpl41	148.97619	1100	1180	0	0	0	0	0	0	0	0	0	76	0	460	298	0	261	0	627	963	413	125	0	185	0	110	0	201	0	0	0	0	0	0	0	170	88	0	0	0	0	0	0
Opn3	148.97619	1291	929	0	0	0	0	0	0	0	0	0	0	168	423	198	0	335	0	615	852	304	215	0	224	0	173	0	314	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0
Chml	148.97619	1291	929	0	0	0	0	0	0	0	0	0	0	168	423	198	0	335	0	615	852	304	215	0	224	0	173	0	314	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0
Rbl2	148.952381	389	421	0	0	0	0	0	0	0	0	0	0	0	630	269	137	357	0	821	1453	484	307	0	395	0	0	0	343	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
Tab2	148.809524	703	719	0	0	0	0	0	0	0	0	0	175	0	262	241	0	220	133	664	533	225	195	0	644	0	131	0	644	0	0	0	150	0	0	0	465	146	0	0	0	0	0	0
Tmem258	148.690476	140	0	0	0	0	0	0	0	0	0	0	207	169	956	405	0	418	145	992	1183	440	184	0	302	0	265	0	308	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Zfr2	148.666667	787	1103	0	0	0	0	0	0	0	0	0	97	0	385	203	0	152	284	391	870	259	261	0	397	0	231	0	432	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0
Tubgcp6	148.666667	1372	1297	0	0	0	0	0	0	0	0	0	107	0	274	197	0	173	0	434	745	198	220	0	158	0	162	0	0	0	0	0	0	0	181	0	726	0	0	0	0	0	0	0
Soga1	148.666667	0	0	0	0	0	0	0	0	0	0	0	0	168	392	343	0	217	0	396	905	487	184	0	846	0	209	0	780	0	0	0	0	0	100	0	1002	215	0	0	0	0	0	0
Atcay	148.666667	787	1103	0	0	0	0	0	0	0	0	0	97	0	385	203	0	152	284	391	870	259	261	0	397	0	231	0	432	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0
Timm10b	148.619048	300	429	0	0	0	0	0	0	0	0	0	188	0	410	252	101	461	252	1097	887	371	420	0	541	0	0	0	271	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0
Arfip2	148.619048	300	429	0	0	0	0	0	0	0	0	0	188	0	410	252	101	461	252	1097	887	371	420	0	541	0	0	0	271	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0
Myo5a	148.595238	185	455	0	0	0	0	0	0	0	0	0	0	0	197	210	0	129	0	0	773	624	175	97	1032	0	328	0	796	0	0	0	0	0	86	0	1012	142	0	0	0	0	0	0
Kidins220	148.47619	1486	1011	0	0	0	0	0	0	0	75	0	0	0	415	87	102	199	102	437	782	161	388	0	269	0	153	0	205	0	0	0	0	0	109	0	255	0	0	0	0	0	0	0
Tctex1d4	148.404762	314	318	0	0	0	0	0	0	0	0	0	0	0	483	160	258	835	129	1344	636	631	198	0	224	0	107	0	211	0	0	0	0	0	87	0	298	0	0	0	0	0	0	0
Rab3il1	148.404762	0	0	0	0	0	0	0	0	0	0	0	167	213	155	0	192	0	404	511	838	315	162	0	729	135	94	0	621	0	0	0	191	0	0	0	1173	333	0	0	0	0	0	0
Htra2	148.357143	1984	1341	134	0	0	0	0	0	0	0	0	0	0	221	0	0	284	0	495	599	409	172	0	267	0	0	0	139	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0
Dqx1	148.357143	1984	1341	134	0	0	0	0	0	0	0	0	0	0	221	0	0	284	0	495	599	409	172	0	267	0	0	0	139	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0
Zfp786	148.285714	1204	1502	0	0	0	0	0	0	0	0	0	0	0	239	126	0	240	103	443	829	284	179	0	275	0	116	0	402	0	0	0	108	0	0	0	178	0	0	0	0	0	0	0
Nek11	148.285714	587	652	0	0	0	0	0	0	0	0	0	78	0	602	322	163	408	97	641	1125	291	168	0	301	0	166	0	332	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0
Dennd6a	148.285714	745	870	0	0	0	0	0	0	0	94	0	154	0	348	116	131	111	141	619	698	248	187	0	557	0	192	0	365	0	0	0	0	0	119	0	436	97	0	0	0	0	0	0
Aste1	148.285714	587	652	0	0	0	0	0	0	0	0	0	78	0	602	322	163	408	97	641	1125	291	168	0	301	0	166	0	332	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0
Dusp13	148.261905	229	356	0	0	0	0	0	0	0	0	0	109	131	619	290	107	320	202	795	820	338	362	0	399	0	170	0	511	0	0	0	91	0	0	0	290	88	0	0	0	0	0	0
Gnb2	148.214286	1005	992	0	0	0	0	0	0	0	0	0	0	0	305	223	135	211	163	622	544	192	186	0	525	0	177	0	381	0	0	0	141	0	0	0	423	0	0	0	0	0	0	0
Trnp1	148.142857	613	334	0	0	0	0	0	0	0	0	0	183	97	299	459	0	599	0	1141	559	633	224	0	322	0	0	0	478	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0
Gpn2	148.142857	1090	1014	0	0	0	0	0	0	0	0	0	136	0	418	237	0	244	149	617	837	248	119	0	257	0	152	0	215	0	0	0	170	0	0	0	319	0	0	0	0	0	0	0
1110008P14Rik	148.119048	588	756	0	0	0	0	0	0	0	0	0	0	0	458	274	0	391	145	613	1254	353	295	0	345	0	148	0	403	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0
Zfp296	148.095238	616	627	0	0	0	0	0	0	0	0	0	137	0	381	160	138	189	166	688	580	280	372	0	542	0	197	0	541	0	0	0	121	0	144	0	341	0	0	0	0	0	0	0
Gemin7	148.095238	616	627	0	0	0	0	0	0	0	0	0	137	0	381	160	138	189	166	688	580	280	372	0	542	0	197	0	541	0	0	0	121	0	144	0	341	0	0	0	0	0	0	0
Atp6v0d2	148.095238	639	168	0	0	0	0	0	0	0	0	0	133	217	625	245	129	265	177	712	973	350	376	0	348	0	119	0	328	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0
Surf6	148.071429	1202	1409	0	0	0	0	0	0	0	0	0	0	0	386	226	0	176	123	592	758	287	248	0	301	0	136	0	206	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0
Elp1	148.047619	1305	999	0	0	0	0	0	0	0	165	0	106	151	254	110	0	282	92	484	725	247	263	0	363	0	179	0	261	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0
Abitram	148.047619	1305	999	0	0	0	0	0	0	0	165	0	106	151	254	110	0	282	92	484	725	247	263	0	363	0	179	0	261	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0
Sms	147.952381	938	1027	0	0	0	0	0	0	0	0	0	140	0	334	0	0	182	182	381	673	175	231	0	548	0	229	0	528	0	0	0	0	0	0	0	542	104	0	0	0	0	0	0
Slc25a20	147.928571	1889	1324	0	0	0	0	0	0	0	0	0	118	0	221	124	0	0	0	395	826	160	193	0	431	0	0	0	349	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0
Mul1	147.904762	1140	954	0	0	0	0	0	0	0	0	0	123	137	557	265	0	350	0	632	981	266	135	0	196	0	143	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr73	147.857143	1400	1603	0	0	0	0	0	0	0	0	0	0	0	253	139	0	191	0	521	615	224	148	0	376	0	183	0	367	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0
Nmb	147.857143	1400	1603	0	0	0	0	0	0	0	0	0	0	0	253	139	0	191	0	521	615	224	148	0	376	0	183	0	367	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0
Tmf1	147.833333	956	1112	0	0	0	0	0	0	0	0	0	0	0	672	188	0	343	157	428	987	197	202	0	278	0	170	0	260	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0
Socs5	147.809524	497	981	0	0	0	0	0	0	0	0	0	152	0	302	227	0	367	193	614	460	307	433	0	416	0	170	0	513	0	0	0	91	0	0	0	485	0	0	0	0	0	0	0
Cyp51	147.809524	979	1200	0	0	0	0	0	0	0	0	0	0	0	370	228	128	222	143	605	669	320	336	0	314	0	133	0	303	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0
Dicer1	147.738095	414	585	0	0	0	0	0	0	0	0	0	0	0	415	321	190	329	187	636	745	420	369	0	605	0	0	0	342	0	0	0	151	0	0	0	496	0	0	0	0	0	0	0
Zfp362	147.642857	930	131	0	0	0	0	0	0	0	0	0	0	0	0	239	614	602	325	1491	0	539	189	0	468	0	0	0	339	0	0	0	169	0	0	0	165	0	0	0	0	0	0	0
Tmsb10	147.642857	299	527	0	0	0	0	0	0	0	0	0	91	0	326	333	128	0	0	243	809	484	283	0	616	0	305	0	548	0	179	0	178	0	194	0	535	123	0	0	0	0	0	0
Mxd4	147.642857	387	497	0	0	0	0	0	0	0	0	0	202	0	573	191	112	210	254	511	784	230	406	0	418	0	218	0	426	0	131	0	0	0	0	0	532	119	0	0	0	0	0	0
Pde6g	147.595238	1422	1290	0	0	0	0	0	0	0	0	0	0	0	335	105	0	221	0	347	824	376	231	0	433	0	230	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxld1	147.595238	1422	1290	0	0	0	0	0	0	0	0	0	0	0	335	105	0	221	0	347	824	376	231	0	433	0	230	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc137	147.595238	1422	1290	0	0	0	0	0	0	0	0	0	0	0	335	105	0	221	0	347	824	376	231	0	433	0	230	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfatc2ip	147.571429	1394	1073	0	0	0	0	0	0	0	0	0	94	0	326	222	0	202	153	466	608	212	289	0	220	0	0	0	267	0	140	0	0	0	0	0	382	150	0	0	0	0	0	0
Fndc3b	147.571429	0	0	0	0	0	0	0	0	0	101	0	203	96	308	392	172	242	198	340	831	465	239	0	697	0	306	0	854	0	0	0	77	0	0	0	606	71	0	0	0	0	0	0
Exosc8	147.571429	1398	1302	0	0	0	0	0	0	0	0	0	173	0	242	161	0	262	0	521	500	245	279	0	365	0	169	0	245	0	0	0	140	0	0	0	196	0	0	0	0	0	0	0
Arid3a	147.571429	1446	973	0	0	0	0	0	0	0	0	0	77	0	684	0	0	151	204	443	979	278	129	0	217	0	92	0	345	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0
Alg5	147.571429	1398	1302	0	0	0	0	0	0	0	0	0	173	0	242	161	0	262	0	521	500	245	279	0	365	0	169	0	245	0	0	0	140	0	0	0	196	0	0	0	0	0	0	0
B4galt6	147.547619	0	0	0	0	0	0	0	0	0	0	0	242	107	330	403	0	139	129	367	565	247	515	0	799	0	236	0	774	0	0	0	147	0	223	0	847	127	0	0	0	0	0	0
Spata5	147.52381	1367	1080	0	0	0	0	0	0	0	0	0	166	0	227	119	0	220	0	328	424	193	249	0	475	0	83	0	250	0	0	0	0	0	302	0	713	0	0	0	0	0	0	0
Pik3cb	147.52381	282	642	0	0	0	0	0	0	0	0	0	0	98	325	387	0	133	159	357	724	566	318	0	744	0	174	0	474	0	0	0	144	0	172	0	497	0	0	0	0	0	0	0
Nudt6	147.52381	1367	1080	0	0	0	0	0	0	0	0	0	166	0	227	119	0	220	0	328	424	193	249	0	475	0	83	0	250	0	0	0	0	0	302	0	713	0	0	0	0	0	0	0
5730455P16Rik	147.52381	1126	794	0	0	0	0	0	0	0	0	0	125	0	334	244	181	349	0	622	680	237	183	0	391	0	234	0	358	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0
Sptan1	147.428571	597	1255	0	0	0	0	0	0	0	0	0	179	179	312	205	117	141	122	309	627	221	208	0	530	0	158	0	521	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0
Cebpg	147.380952	527	624	0	0	0	0	0	0	0	0	0	143	0	250	101	0	232	199	393	862	238	184	0	609	0	142	0	880	0	0	0	82	0	0	0	645	79	0	0	0	0	0	0
Cdc42ep4	147.309524	210	109	0	0	0	0	0	0	0	0	0	104	0	375	187	87	413	169	804	658	307	238	0	650	0	224	0	506	0	0	0	0	0	131	0	755	260	0	0	0	0	0	0
Aplp1	147.309524	294	184	0	0	0	0	0	0	0	0	0	103	150	234	402	0	92	0	106	1204	841	350	0	843	0	298	0	644	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0
Alms1	147.285714	1272	1022	0	0	0	0	0	0	0	95	0	163	0	122	0	131	144	119	549	308	172	419	0	566	0	320	0	495	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0
Ttc39b	147.261905	775	1447	0	0	0	0	0	0	0	0	0	98	0	290	144	0	197	157	456	608	246	118	0	481	0	201	0	436	0	0	0	162	0	0	0	369	0	0	0	0	0	0	0
Cdc5l	147.261905	1129	1477	0	0	0	0	0	0	0	0	0	124	0	433	116	0	232	0	435	933	139	257	0	320	0	140	0	358	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0
