Target_genes	Elf1|Average	SRX184866|CD4+_T_cells	SRX6783984|CH12	SRX6783985|CH12	SRX12734917|Granulocyte-Macrophage_Progenitor_Cells	SRX12734918|Granulocyte-Macrophage_Progenitor_Cells	SRX12734919|Granulocyte-Macrophage_Progenitor_Cells	SRX12734920|Granulocyte-Macrophage_Progenitor_Cells	SRX12734921|Granulocyte-Macrophage_Progenitor_Cells	SRX12734922|Granulocyte-Macrophage_Progenitor_Cells	SRX2242846|Macrophages	SRX6783941|MEL	SRX6783942|MEL	SRX184865|Treg	DRX285483|Unclassified	DRX285485|Unclassified	STRING
Psph	283.2	251	300	337	351	441	678	563	114	469	399	184	161	0	0	0	0
Homer1	283.2	207	503	549	191	292	390	257	129	440	629	341	320	0	0	0	0
Cct6a	283.2	251	300	337	351	441	678	563	114	469	399	184	161	0	0	0	0
Ccdc77	283.2	200	464	820	0	198	395	183	0	172	851	403	407	155	0	0	0
Paqr3	283.133333	0	249	431	361	552	687	437	145	671	444	166	104	0	0	0	0
Rac1	283.0	135	647	637	332	334	649	325	177	339	159	260	251	0	0	0	0
Cbfa2t3	283.0	0	346	414	469	530	1045	363	148	343	0	336	251	0	0	0	0
Ncoa4	282.866667	269	243	366	413	436	693	356	131	374	456	112	212	182	0	0	0
Slc25a51	282.8	0	175	215	414	652	684	637	193	891	130	108	143	0	0	0	0
Smad6	282.4	0	128	112	542	359	1150	492	224	894	0	130	205	0	0	0	0
Iffo2	282.333333	178	234	242	303	568	783	502	105	650	670	0	0	0	0	0	0
Tac4	282.066667	157	787	1011	182	251	265	195	0	328	435	321	299	0	0	0	0
S1pr4	282.066667	256	562	874	0	0	0	0	0	0	791	693	708	173	0	174	0
Pdss2	281.933333	147	481	644	118	282	398	384	0	280	854	264	377	0	0	0	0
Wbp2	281.866667	176	447	512	213	206	587	406	0	569	205	352	555	0	0	0	0
Pigv	281.8	99	250	423	320	570	780	447	111	669	317	85	156	0	0	0	0
Washc4	281.733333	118	330	531	325	479	593	489	210	483	289	139	240	0	0	0	0
Grsf1	281.733333	89	261	244	379	404	830	599	140	731	261	153	135	0	0	0	0
Ucp2	281.666667	126	277	426	246	441	768	427	93	462	294	182	314	169	0	0	0
Slc49a4	281.466667	176	348	643	225	385	586	427	169	543	352	158	210	0	0	0	0
Slc25a17	281.466667	179	549	756	237	293	492	214	139	241	530	286	306	0	0	0	0
Pprc1	281.466667	0	410	462	173	144	713	362	0	180	383	420	832	0	0	143	0
Kctd2	281.466667	218	556	786	144	236	275	133	153	402	409	358	552	0	0	0	0
Atp5h	281.466667	218	556	786	144	236	275	133	153	402	409	358	552	0	0	0	0
Mettl15	281.4	0	267	459	237	349	932	347	179	597	226	273	355	0	0	0	0
Kif18a	281.4	0	267	459	237	349	932	347	179	597	226	273	355	0	0	0	0
Znhit6	281.333333	126	733	963	181	212	449	281	0	214	448	217	396	0	0	0	0
Stxbp5	281.266667	167	740	828	175	172	220	119	0	228	646	371	553	0	0	0	0
Rsrp1	281.2	238	239	406	247	287	612	394	225	665	541	171	193	0	0	0	0
Tmem107	281.133333	365	417	657	165	186	161	140	0	179	737	221	554	435	0	0	0
Spata5	281.133333	387	352	378	177	379	366	326	136	496	582	174	343	121	0	0	0
Nudt6	281.133333	387	352	378	177	379	366	326	136	496	582	174	343	121	0	0	0
Sin3a	281.066667	180	569	515	165	274	508	216	126	233	731	251	312	136	0	0	0
Mllt1	281.066667	507	563	628	126	379	301	228	72	390	389	318	315	0	0	0	0
Plec	281.0	250	167	265	273	523	729	333	212	633	407	211	212	0	0	0	0
Trim68	280.933333	387	992	1274	0	0	334	105	0	281	688	0	0	153	0	0	0
Mcm10	280.866667	0	661	536	166	209	489	171	0	392	714	521	354	0	0	0	0
Bnip3	280.733333	0	0	148	579	678	768	688	213	1137	0	0	0	0	0	0	0
Zfp322a	280.466667	127	430	627	216	318	562	525	179	281	675	163	104	0	0	0	0
Ndfip2	280.466667	171	328	340	486	399	730	406	200	609	182	222	134	0	0	0	0
Gid4	280.333333	176	512	579	274	395	440	416	0	437	466	302	208	0	0	0	0
Tgfbrap1	280.266667	0	353	589	155	476	561	333	179	312	495	281	470	0	0	0	0
AI597479	280.266667	0	353	589	155	476	561	333	179	312	495	281	470	0	0	0	0
Akr1b3	280.0	224	513	544	0	0	142	0	0	183	1108	605	881	0	0	0	0
Tmem101	279.933333	0	732	1177	137	0	0	0	99	79	564	576	835	0	0	0	0
Gnb1	279.933333	0	0	193	551	605	778	536	344	902	290	0	0	0	0	0	0
Ccdc134	279.933333	132	272	572	252	390	739	399	0	591	390	227	235	0	0	0	0
Orai3	279.533333	0	670	1022	229	148	331	290	0	259	560	271	413	0	0	0	0
Specc1l	279.466667	0	0	0	427	732	999	789	343	902	0	0	0	0	0	0	0
Traf3ip1	279.4	0	330	429	221	354	510	449	0	557	0	562	779	0	0	0	0
Sephs2	279.4	0	260	405	335	303	1110	383	217	514	176	185	303	0	0	0	0
Lefty2	279.333333	0	0	0	444	154	1427	641	681	843	0	0	0	0	0	0	0
Eif3g	279.266667	173	542	748	0	126	114	0	0	204	433	913	936	0	0	0	0
Zswim7	279.0	0	152	193	414	554	922	534	268	902	0	129	117	0	0	0	0
Ttc19	279.0	0	152	193	414	554	922	534	268	902	0	129	117	0	0	0	0
Pde12	279.0	329	468	631	173	210	500	0	120	226	679	237	467	145	0	0	0
Ipo13	278.866667	266	716	958	0	157	214	112	0	0	961	381	418	0	0	0	0
Tram1	278.8	164	214	342	257	396	429	255	320	614	543	285	289	74	0	0	0
Tjp3	278.8	323	524	949	104	218	310	144	0	264	589	362	395	0	0	0	0
Ccdc126	278.666667	138	644	809	199	264	474	223	168	320	453	270	218	0	0	0	0
Tefm	278.6	0	637	994	101	159	179	0	0	101	424	675	909	0	0	0	0
Per2	278.466667	249	696	864	108	188	237	171	134	366	375	345	444	0	0	0	0
Rpusd2	278.4	163	400	618	319	419	571	404	0	453	214	301	314	0	0	0	0
Pias4	278.4	292	264	227	242	283	648	412	221	544	351	262	235	195	0	0	0
Usp19	278.266667	222	424	756	110	353	503	309	0	352	621	202	322	0	0	0	0
Rasgrp2	278.266667	414	113	164	418	149	1575	500	250	465	0	126	0	0	0	0	0
Pusl1	278.266667	192	234	323	314	431	775	539	0	646	215	257	248	0	0	0	0
Mecr	278.266667	228	328	559	338	396	645	274	123	585	162	141	286	109	0	0	0
Acap3	278.266667	192	234	323	314	431	775	539	0	646	215	257	248	0	0	0	0
Zfp91	278.133333	228	279	369	280	279	450	268	117	461	762	267	290	122	0	0	0
Zfp60	278.133333	326	614	661	0	245	260	141	0	135	578	483	729	0	0	0	0
Lpxn	278.133333	228	279	369	280	279	450	268	117	461	762	267	290	122	0	0	0
Itgb2	278.066667	460	677	862	0	0	179	0	0	0	641	554	543	255	0	0	0
Capn2	278.0	717	581	912	0	0	0	0	0	0	1000	216	521	223	0	0	0
Rbm4	277.933333	182	730	737	148	0	461	173	94	327	517	431	369	0	0	0	0
Irf2bp1	277.933333	541	318	261	128	158	295	157	0	171	1088	335	396	321	0	0	0
Crocc	277.866667	0	216	141	483	708	875	495	212	803	235	0	0	0	0	0	0
Ptp4a2	277.8	195	192	239	460	453	835	514	223	552	328	0	0	176	0	0	0
Ube2t	277.666667	0	369	443	256	455	739	418	139	554	466	202	124	0	0	0	0
Tpk1	277.6	225	280	469	280	313	626	519	146	593	269	204	240	0	0	0	0
Trappc10	277.533333	0	598	814	156	343	501	360	0	528	286	365	212	0	0	0	0
Fbxo11	277.533333	255	489	579	134	281	496	221	152	449	497	326	284	0	0	0	0
Fam174a	277.533333	267	470	657	109	218	279	273	76	407	578	242	587	0	0	0	0
Zfp667	277.466667	171	365	326	272	452	698	386	193	492	275	111	237	184	0	0	0
Rnf8	277.466667	0	325	497	402	506	688	323	176	544	320	228	153	0	0	0	0
Prr5	277.333333	0	1152	1386	0	0	195	218	0	144	1065	0	0	0	0	0	0
Phykpl	277.333333	433	796	992	0	294	373	212	0	312	576	0	0	172	0	0	0
Tle6	277.2	0	502	606	123	301	546	372	109	360	176	415	648	0	0	0	0
Dnajc7	277.2	103	456	698	234	259	422	215	0	298	675	470	328	0	0	0	0
Spata6	277.133333	305	360	720	216	259	622	449	200	486	540	0	0	0	0	0	0
Clec11a	277.133333	0	318	305	417	381	768	638	171	705	226	133	95	0	0	0	0
Cmss1	277.066667	191	764	845	169	204	248	148	0	151	565	398	473	0	0	0	0
Zfp606	277.0	288	548	1003	0	0	0	0	0	0	1254	348	578	136	0	0	0
Rbm33	277.0	360	482	418	168	291	355	297	0	282	614	299	360	229	0	0	0
Kif18b	276.8	0	458	455	316	253	730	346	137	553	297	259	348	0	0	0	0
Mfsd13a	276.733333	0	238	561	363	334	687	326	136	727	115	302	362	0	0	0	0
Fbxw8	276.733333	0	468	974	171	166	466	246	150	209	709	146	446	0	0	0	0
Tec	276.666667	0	375	501	301	545	654	457	135	648	390	144	0	0	0	0	0
Gabpb1	276.666667	394	413	460	228	452	311	198	174	368	507	201	444	0	0	0	0
Dcxr	276.666667	0	934	1044	0	0	232	0	0	0	811	512	617	0	0	0	0
Cbr2	276.666667	0	934	1044	0	0	232	0	0	0	811	512	617	0	0	0	0
Snrpd3	276.333333	0	329	634	190	236	669	387	107	654	242	353	344	0	0	0	0
Smyd4	276.333333	0	195	236	317	411	872	797	243	820	130	124	0	0	0	0	0
Rpa1	276.333333	0	195	236	317	411	872	797	243	820	130	124	0	0	0	0	0
Phf20	276.333333	0	0	169	412	591	969	735	188	764	0	104	213	0	0	0	0
Gucd1	276.333333	0	329	634	190	236	669	387	107	654	242	353	344	0	0	0	0
Setd4	276.266667	209	491	724	189	244	482	185	148	319	506	233	414	0	0	0	0
Fbrsl1	276.266667	134	311	546	330	411	523	331	200	606	198	185	271	98	0	0	0
Cbr1	276.266667	209	491	724	189	244	482	185	148	319	506	233	414	0	0	0	0
Zdhhc20	276.2	212	250	167	155	685	585	445	102	487	778	0	0	277	0	0	0
Il17ra	276.2	195	536	846	284	369	676	184	0	360	0	296	397	0	0	0	0
Sh3bp2	276.133333	245	447	478	156	258	249	276	0	304	931	232	458	108	0	0	0
Kansl1	276.133333	0	753	673	247	204	599	255	0	198	347	516	350	0	0	0	0
Rab40c	275.933333	336	330	484	60	108	271	120	0	257	1295	244	372	262	0	0	0
Immp2l	275.933333	411	403	530	178	357	367	242	0	402	686	204	188	171	0	0	0
Csf2ra	275.866667	322	562	507	0	0	273	0	0	135	929	679	731	0	0	0	0
Rusf1	275.6	174	638	1164	0	0	0	0	0	0	835	672	651	0	0	0	0
Pik3cd	275.6	624	234	306	241	211	646	148	133	199	530	232	292	338	0	0	0
Ska1	275.466667	0	136	120	477	606	1094	547	277	875	0	0	0	0	0	0	0
Atp5g3	275.4	222	536	537	270	305	334	384	149	461	317	272	344	0	0	0	0
Sfpq	275.333333	124	302	419	295	440	650	400	102	435	317	173	374	99	0	0	0
Nf1	275.333333	0	425	488	273	501	648	435	0	467	356	186	351	0	0	0	0
Mfsd14a	275.2	102	354	235	217	386	716	693	111	618	696	0	0	0	0	0	0
Rnf139	275.133333	0	226	299	332	391	724	662	0	588	484	207	214	0	0	0	0
Zfp574	275.066667	325	351	554	108	269	452	224	0	280	745	267	312	239	0	0	0
Grik5	275.066667	325	351	554	108	269	452	224	0	280	745	267	312	239	0	0	0
Slc25a39	275.0	109	424	608	227	528	591	452	133	442	131	272	208	0	0	0	0
Pdcd4	274.933333	172	0	120	350	630	930	523	287	863	0	112	137	0	0	0	0
Rprd2	274.733333	326	296	378	198	387	354	316	166	288	496	310	355	251	0	0	0
Clns1a	274.733333	0	387	578	279	315	695	372	129	664	303	148	251	0	0	0	0
Uros	274.666667	260	484	379	237	381	507	244	174	319	495	246	234	160	0	0	0
Tmem14c	274.666667	220	669	571	229	246	357	158	0	232	820	254	203	161	0	0	0
Bccip	274.666667	260	484	379	237	381	507	244	174	319	495	246	234	160	0	0	0
Leprotl1	274.6	573	761	970	0	262	225	208	0	206	530	203	181	0	0	0	0
Hmgcr	274.533333	0	478	712	201	348	354	330	0	335	613	347	400	0	0	0	0
Mafg	274.466667	0	170	246	324	87	1385	473	519	351	0	189	373	0	0	0	0
Srrm2	274.133333	179	264	479	257	462	560	346	151	531	297	211	375	0	0	0	0
Ankle2	274.133333	210	285	715	177	267	676	419	130	326	252	330	325	0	0	0	0
Ube2g2	274.066667	285	485	796	181	275	376	258	151	348	331	390	235	0	0	0	0
Stim2	274.066667	0	0	0	559	590	905	820	309	928	0	0	0	0	0	0	0
Iqcc	274.0	230	273	400	325	379	475	295	205	587	308	215	302	116	0	0	0
Dcdc2b	274.0	230	273	400	325	379	475	295	205	587	308	215	302	116	0	0	0
Stk32c	273.866667	0	182	232	209	475	782	455	146	594	287	300	446	0	0	0	0
Lrrc27	273.866667	0	182	232	209	475	782	455	146	594	287	300	446	0	0	0	0
S100a13	273.733333	0	143	182	406	478	762	552	277	735	329	106	136	0	0	0	0
S100a1	273.733333	0	143	182	406	478	762	552	277	735	329	106	136	0	0	0	0
Tmem43	273.6	0	345	518	273	452	639	357	0	700	212	287	321	0	0	0	0
Kbtbd3	273.6	0	274	280	404	584	673	304	243	774	168	202	198	0	0	0	0
Chchd4	273.6	0	345	518	273	452	639	357	0	700	212	287	321	0	0	0	0
Aasdhppt	273.6	0	274	280	404	584	673	304	243	774	168	202	198	0	0	0	0
Stx16	273.333333	0	452	995	188	139	163	103	139	131	624	523	643	0	0	0	0
Gstt2	273.0	0	503	470	271	437	795	384	0	219	530	157	329	0	0	0	0
Epb41	273.0	124	281	537	299	271	714	315	165	475	245	239	430	0	0	0	0
Mocs1	272.866667	168	718	744	102	132	358	106	0	231	698	294	413	129	0	0	0
Shc1	272.8	186	611	709	125	152	185	117	0	105	704	531	423	244	0	0	0
Cks1b	272.8	186	611	709	125	152	185	117	0	105	704	531	423	244	0	0	0
Stard3	272.733333	171	414	543	159	242	352	229	91	456	874	210	350	0	0	0	0
B4galt7	272.666667	181	269	562	271	165	168	202	0	231	1126	422	493	0	0	0	0
Atxn3	272.4	0	117	147	502	538	852	635	237	820	0	108	130	0	0	0	0
Kpna4	272.266667	193	518	712	185	150	329	197	102	391	727	230	350	0	0	0	0
Ccng1	272.133333	103	628	1031	0	0	248	0	0	183	997	490	402	0	0	0	0
Ube4b	272.0	196	261	526	253	520	712	557	136	553	0	255	111	0	0	0	0
Gnl2	272.0	100	443	463	156	303	723	341	120	328	637	248	218	0	0	0	0
Cyp4f16	272.0	286	680	834	0	0	190	0	0	0	976	494	620	0	0	0	0
Gltp	271.8	359	850	832	0	132	292	196	81	204	359	409	363	0	0	0	0
Supt6	271.733333	345	486	513	100	231	233	152	97	271	743	258	432	215	0	0	0
Sdf2	271.733333	345	486	513	100	231	233	152	97	271	743	258	432	215	0	0	0
Arhgap26	271.666667	344	476	600	118	262	421	374	0	515	467	179	319	0	0	0	0
Zfp119b	271.533333	257	628	639	109	178	358	207	93	226	606	272	385	115	0	0	0
Ptcd2	271.533333	188	562	1013	140	234	242	218	0	186	373	392	525	0	0	0	0
Mrps27	271.533333	188	562	1013	140	234	242	218	0	186	373	392	525	0	0	0	0
Mex3b	271.266667	0	0	199	452	556	775	591	314	942	0	109	131	0	0	0	0
Cd274	271.266667	557	413	475	0	0	0	0	0	0	729	868	839	188	0	0	0
Ankfy1	271.066667	0	277	389	264	467	696	460	67	333	630	249	234	0	0	0	0
Sik3	270.866667	0	252	380	0	142	416	368	139	508	620	556	682	0	0	0	0
Cand1	270.8	0	152	251	385	690	740	473	185	753	158	155	120	0	0	0	0
Kifbp	270.733333	0	521	627	177	151	416	264	0	193	414	398	900	0	0	0	0
Prdx3	270.666667	0	131	160	354	785	681	551	229	723	250	98	98	0	0	0	0
Vcpkmt	270.6	0	132	292	221	183	423	337	0	363	0	1027	1081	0	0	0	0
Lgals8	270.533333	134	860	837	146	134	223	219	0	194	526	252	447	86	0	0	0
Letm1	270.533333	302	486	620	0	290	242	100	0	250	754	409	605	0	0	0	0
Cnot3	270.533333	484	615	666	74	0	164	99	0	183	405	598	569	201	0	0	0
Tmc8	270.4	183	410	369	332	306	642	210	0	363	691	135	261	154	0	0	0
Tmc6	270.4	183	410	369	332	306	642	210	0	363	691	135	261	154	0	0	0
Fam76b	270.4	267	525	361	160	185	296	240	0	226	629	464	703	0	0	0	0
Cep57	270.4	267	525	361	160	185	296	240	0	226	629	464	703	0	0	0	0
Polr2d	270.133333	309	414	583	246	325	324	189	0	283	632	273	361	113	0	0	0
Rell1	270.066667	0	0	251	387	557	740	656	288	927	0	0	245	0	0	0	0
Psmb4	269.933333	270	506	786	131	0	298	166	0	111	644	447	566	124	0	0	0
Ltbr	269.933333	0	0	0	456	389	1135	560	283	686	199	149	192	0	0	0	0
Hbp1	269.866667	134	155	298	313	186	923	409	302	575	444	121	188	0	0	0	0
Usp11	269.666667	0	649	779	0	144	247	87	0	0	329	870	940	0	0	0	0
Baiap2l2	269.666667	0	1163	1582	0	0	0	0	0	0	0	577	723	0	0	0	0
Akt2	269.666667	271	266	351	455	237	400	296	258	542	240	314	254	161	0	0	0
1700030J22Rik	269.6	0	528	420	302	407	587	376	74	380	248	310	412	0	0	0	0
Klf10	269.466667	0	0	131	448	474	767	384	390	897	449	102	0	0	0	0	0
Sdf2l1	269.4	141	621	990	0	165	289	235	0	188	701	303	408	0	0	0	0
Rbm6	269.333333	258	402	943	115	293	308	166	0	453	378	374	350	0	0	0	0
Fam161b	269.266667	238	655	697	93	161	394	90	0	166	628	454	463	0	0	0	0
Coq6	269.266667	238	655	697	93	161	394	90	0	166	628	454	463	0	0	0	0
Osbpl11	269.066667	152	637	648	187	319	432	375	0	272	311	298	405	0	0	0	0
Cpox	269.066667	166	999	1311	0	0	0	112	0	0	486	421	541	0	0	0	0
Avpi1	268.933333	0	0	0	300	714	1087	675	200	877	181	0	0	0	0	0	0
Ywhag	268.8	164	295	349	279	240	792	439	180	604	249	236	205	0	0	0	0
Zfat	268.733333	0	122	297	372	480	684	461	255	696	206	195	263	0	0	0	0
Dimt1	268.733333	285	651	664	123	294	348	266	133	205	242	351	469	0	0	0	0
Mrpl2	268.6	358	288	362	273	419	425	325	189	564	273	242	179	132	0	0	0
Klc4	268.6	358	288	362	273	419	425	325	189	564	273	242	179	132	0	0	0
Haspin	268.6	197	687	794	0	0	216	185	0	191	575	789	395	0	0	0	0
Gpr84	268.6	146	747	935	85	319	250	190	143	262	253	285	414	0	0	0	0
Cul7	268.6	358	288	362	273	419	425	325	189	564	273	242	179	132	0	0	0
Zfp217	268.533333	0	0	149	353	633	905	728	159	814	154	0	133	0	0	0	0
Tmem95	268.466667	0	732	1033	0	236	233	301	0	202	1055	123	112	0	0	0	0
Kctd11	268.466667	0	732	1033	0	236	233	301	0	202	1055	123	112	0	0	0	0
Haghl	268.466667	0	156	132	421	749	930	611	149	659	122	0	98	0	0	0	0
Dcaf11	268.466667	156	568	546	201	216	577	319	113	292	391	316	332	0	0	0	0
Ccdc78	268.466667	0	156	132	421	749	930	611	149	659	122	0	98	0	0	0	0
C330007P06Rik	268.466667	121	320	248	417	404	866	464	218	426	179	124	240	0	0	0	0
Taf11	268.333333	175	429	525	228	395	523	282	0	523	160	379	406	0	0	0	0
Anks1	268.333333	175	429	525	228	395	523	282	0	523	160	379	406	0	0	0	0
Susd1	268.2	0	257	418	188	0	575	0	438	351	749	286	761	0	0	0	0
Rnf5	268.066667	326	605	850	0	135	171	129	0	202	577	449	371	206	0	0	0
Med9	268.066667	0	314	497	262	377	677	438	172	439	0	405	440	0	0	0	0
Med21	268.066667	244	317	571	162	411	622	442	0	685	214	214	139	0	0	0	0
Agpat1	268.066667	326	605	850	0	135	171	129	0	202	577	449	371	206	0	0	0
Meak7	268.0	197	601	544	146	0	408	174	0	195	942	386	427	0	0	0	0
Acads	268.0	167	294	603	314	558	693	370	0	418	232	166	205	0	0	0	0
Slc35f6	267.8	226	588	811	135	108	385	217	0	175	281	408	595	88	0	0	0
Fam120a	267.8	0	536	581	0	112	235	150	0	183	1283	325	612	0	0	0	0
Pwwp2a	267.733333	267	661	1019	127	116	258	171	0	274	406	325	392	0	0	0	0
Ptpn12	267.666667	0	143	226	219	352	632	548	232	552	689	155	267	0	0	0	0
Rbm27	267.533333	138	534	675	137	111	402	254	102	432	598	320	310	0	0	0	0
Kbtbd8	267.533333	336	478	500	0	250	248	0	0	346	775	448	483	149	0	0	0
Ubfd1	267.466667	221	409	458	260	435	552	333	0	539	208	240	357	0	0	0	0
Mtg1	267.466667	84	447	640	301	224	353	296	336	311	331	345	344	0	0	0	0
Ears2	267.466667	221	409	458	260	435	552	333	0	539	208	240	357	0	0	0	0
Cldn12	267.4	167	538	735	128	191	420	168	0	159	1078	0	241	186	0	0	0
Hsdl1	267.333333	0	121	240	410	546	552	473	290	932	0	132	314	0	0	0	0
Dnaaf1	267.333333	0	121	240	410	546	552	473	290	932	0	132	314	0	0	0	0
Tfdp1	267.266667	0	0	99	483	544	936	905	222	820	0	0	0	0	0	0	0
Dvl3	267.066667	0	913	1111	101	162	246	245	0	312	381	175	360	0	0	0	0
Zfp41	267.0	110	354	595	204	425	614	399	152	448	154	327	223	0	0	0	0
Ttc38	267.0	348	530	992	0	0	167	0	0	0	795	583	590	0	0	0	0
Ints6	266.866667	168	288	349	244	583	541	284	178	452	650	127	139	0	0	0	0
Dld	266.866667	0	413	523	205	338	390	343	0	391	620	384	396	0	0	0	0
Znfx1	266.733333	160	558	605	116	171	370	197	0	302	817	317	388	0	0	0	0
Nlrp1a	266.733333	0	628	729	0	0	0	0	0	0	2644	0	0	0	0	0	0
Cipc	266.733333	164	228	354	320	563	658	437	225	528	115	159	155	95	0	0	0
Smn1	266.6	0	813	829	0	314	334	126	120	205	415	261	582	0	0	0	0
Rffl	266.533333	0	124	211	552	430	1016	449	415	533	143	125	0	0	0	0	0
Nsfl1c	266.4	172	314	544	278	332	470	328	177	530	398	237	216	0	0	0	0
Gfpt1	266.4	129	143	233	426	433	667	534	232	738	256	0	205	0	0	0	0
Entpd7	266.4	0	295	453	263	410	530	477	0	430	421	323	394	0	0	0	0
Cdc42se2	266.4	0	157	218	361	653	988	685	175	677	0	82	0	0	0	0	0
Frs2	266.266667	287	347	554	217	418	575	450	120	520	0	302	204	0	0	0	0
Cdan1	266.266667	0	0	0	547	646	1095	730	239	641	0	96	0	0	0	0	0
Slc35e3	266.133333	0	0	148	412	438	1300	633	323	738	0	0	0	0	0	0	0
Lalba	266.133333	0	734	753	0	0	0	0	0	0	1410	387	708	0	0	0	0
Sil1	265.933333	0	133	278	245	472	818	538	203	675	284	205	138	0	0	0	0
AU041133	265.933333	390	658	968	0	0	0	0	0	0	929	286	547	211	0	0	0
Zfp709	265.866667	228	479	746	0	0	0	0	0	0	2050	140	256	89	0	0	0
Rnf113a1	265.866667	0	832	1184	0	0	131	0	0	0	466	684	691	0	0	0	0
Ndufa1	265.866667	0	832	1184	0	0	131	0	0	0	466	684	691	0	0	0	0
Armc8	265.8	0	176	217	432	397	954	641	277	722	171	0	0	0	0	0	0
Ube2k	265.533333	0	0	144	561	611	938	507	321	901	0	0	0	0	0	0	0
Slc38a7	265.533333	174	484	792	205	234	573	207	159	459	178	309	209	0	0	0	0
Agps	265.466667	0	679	786	143	309	460	284	0	387	242	298	394	0	0	0	0
1700020L24Rik	265.466667	226	605	934	0	0	275	0	0	0	805	643	494	0	0	0	0
Rgs2	265.333333	0	227	306	417	306	785	256	507	494	483	0	199	0	0	0	0
Gnpda2	265.2	296	519	578	194	194	227	0	0	207	629	309	688	137	0	0	0
Mthfsd	265.066667	0	106	167	419	543	811	585	302	798	108	137	0	0	0	0	0
Trim27	265.0	390	450	502	219	397	300	227	72	304	701	155	141	117	0	0	0
Aebp2	265.0	0	174	151	479	720	485	607	345	853	161	0	0	0	0	0	0
Bola1	264.933333	146	268	239	149	192	481	214	0	202	655	592	836	0	0	0	0
Pdp2	264.8	0	427	681	175	182	377	290	177	455	507	383	318	0	0	0	0
Cyp51	264.733333	0	152	111	462	765	886	534	278	647	0	0	136	0	0	0	0
Nckipsd	264.666667	0	223	393	326	448	718	410	227	597	414	214	0	0	0	0	0
Zfp341	264.533333	154	503	691	323	487	412	308	261	508	170	0	151	0	0	0	0
Snrnp27	264.533333	0	605	951	168	220	305	186	0	220	201	443	669	0	0	0	0
Ubap2	264.466667	0	112	118	488	532	847	466	279	655	0	305	165	0	0	0	0
Slf1	264.466667	233	761	1007	0	126	90	126	0	101	261	437	622	203	0	0	0
Cox16	264.466667	362	835	873	0	136	150	0	0	0	740	339	341	191	0	0	0
2210408I21Rik	264.466667	233	761	1007	0	126	90	126	0	101	261	437	622	203	0	0	0
Coq7	264.2	130	165	300	321	566	718	400	221	664	262	97	0	119	0	0	0
Tmem128	264.133333	344	539	422	130	0	232	0	0	193	1169	325	387	221	0	0	0
Atf7	264.133333	0	273	400	422	488	676	334	198	539	387	91	154	0	0	0	0
Tmem147	264.066667	121	352	612	310	468	495	334	0	534	120	234	381	0	0	0	0
Klhl36	264.066667	127	311	328	309	442	772	644	0	569	122	167	170	0	0	0	0
Ezh1	264.066667	0	225	257	378	619	832	528	0	709	327	0	86	0	0	0	0
Usp6nl	264.0	250	261	572	204	346	395	240	0	394	525	219	554	0	0	0	0
Nrbp1	264.0	138	428	636	209	287	521	379	0	299	319	426	318	0	0	0	0
Ints7	263.933333	0	351	240	326	562	850	418	216	676	123	197	0	0	0	0	0
Dtl	263.933333	0	351	240	326	562	850	418	216	676	123	197	0	0	0	0	0
Slc4a8	263.666667	304	1008	1218	0	0	150	0	0	0	532	245	382	116	0	0	0
Ddx23	263.666667	330	449	676	0	236	230	189	0	0	580	496	600	169	0	0	0
Rap2a	263.6	237	374	651	215	225	363	255	151	316	393	320	454	0	0	0	0
Ctps	263.333333	0	0	172	438	715	693	544	297	937	154	0	0	0	0	0	0
Ints14	263.266667	205	465	662	109	168	233	175	130	238	503	490	571	0	0	0	0
Rab11fip1	263.2	0	270	225	298	593	846	621	195	498	257	145	0	0	0	0	0
Prrc2a	263.133333	101	254	311	318	461	690	444	163	679	150	233	143	0	0	0	0
Zbtb12	263.066667	0	0	107	462	545	1032	685	356	759	0	0	0	0	0	0	0
Tmem185b	263.0	137	140	473	292	419	468	387	107	384	617	312	209	0	0	0	0
Slc25a45	262.8	0	595	548	141	185	342	279	0	244	1003	263	342	0	0	0	0
Frmd8	262.8	0	595	548	141	185	342	279	0	244	1003	263	342	0	0	0	0
Cds2	262.8	242	0	255	428	488	787	517	206	868	151	0	0	0	0	0	0
Slc20a1	262.6	0	0	0	299	517	1109	496	201	654	663	0	0	0	0	0	0
Zbtb14	262.533333	0	236	240	276	606	913	476	208	711	0	115	157	0	0	0	0
4930430F08Rik	262.466667	515	0	0	0	166	0	115	0	151	1337	570	899	184	0	0	0
1700017N19Rik	262.466667	515	0	0	0	166	0	115	0	151	1337	570	899	184	0	0	0
Tef	262.4	0	164	238	292	419	874	556	239	572	271	176	135	0	0	0	0
Shb	262.333333	193	447	495	71	245	370	280	0	341	513	366	448	166	0	0	0
Atg9b	262.333333	118	409	537	113	142	167	171	0	142	935	565	636	0	0	0	0
Abcb8	262.333333	118	409	537	113	142	167	171	0	142	935	565	636	0	0	0	0
Sorbs1	262.2	333	437	451	219	286	436	427	229	419	391	132	173	0	0	0	0
Pip4k2b	262.133333	226	408	553	96	171	244	117	0	141	1437	304	235	0	0	0	0
Gabarapl2	262.133333	155	626	1003	108	198	445	195	0	242	541	180	239	0	0	0	0
Cyb5b	262.133333	172	519	860	110	218	281	137	0	164	633	434	404	0	0	0	0
Klhl12	262.066667	0	0	232	382	752	1043	719	142	661	0	0	0	0	0	0	0
