Target_genes	Ctnnb1|Average	SRX3720913|Branchial_arch	SRX3720914|Branchial_arch	SRX11540052|EpiLC	SRX11540053|EpiLC	SRX11540054|EpiLC	SRX11540064|EpiLC	SRX11540065|EpiLC	SRX11540066|EpiLC	SRX11540076|EpiLC	SRX11540077|EpiLC	SRX11540078|EpiLC	SRX9641176|EpiLC	SRX9641177|EpiLC	SRX9641178|EpiLC	SRX9641179|EpiLC	SRX9641180|EpiLC	SRX9641181|EpiLC	SRX9641208|EpiLC	SRX9641209|EpiLC	SRX9641210|EpiLC	SRX9101842|ES_cells	SRX9101843|ES_cells	SRX9101868|ES_cells	SRX9101869|ES_cells	SRX9101878|ES_cells	SRX9101879|ES_cells	SRX9641160|ES_cells	SRX9641161|ES_cells	SRX9641162|ES_cells	SRX25842405|Forelimb	SRX25842406|Forelimb	SRX25842411|Forelimb	SRX25842412|Forelimb	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX9986622|Liver	SRX9986624|Liver	SRX9986626|Liver	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX172938|Nephron_progenitor	SRX172939|Nephron_progenitor	SRX5825950|Nephron_progenitor	SRX5825951|Nephron_progenitor	SRX5825972|Nephron_progenitor	SRX5825973|Nephron_progenitor	SRX5825994|Nephron_progenitor	SRX5825995|Nephron_progenitor	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Skor2	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	146	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd12	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp4r3b	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necab2	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	265	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps25	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl12	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl21a	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrif1	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap3-2	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Impa2	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpul1	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpt2	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpm	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdon	9.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tox	9.709677	0	0	191	165	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap4	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snap29	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smndc1	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	118	152	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnmt	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi4ka	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo6	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl1	9.709677	0	0	141	106	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Letm1	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs3	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gipc1	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam210a	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbin	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef1akmt3	9.709677	0	0	141	106	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs13	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhcr24	9.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	256	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcf25	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasa1	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad23b	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	114	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man2a1	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elob	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clybl	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdca4	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	132	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh9a1	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057M21Rik	9.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Wdr91	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps36	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thap3	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpap1	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	187	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab1b	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek11	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	286	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk7	9.677419	0	0	0	0	303	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc47	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lnpk	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif14	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0
Hook2	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstm3	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	97	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt6	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0
Dnmt3a	9.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	169	153	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aoc3	9.677419	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	161	0	0	92	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vsnl1	9.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	142	0	89	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf10	9.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	265	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf39	9.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2r5e	9.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r11	9.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lama1	9.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmcn1	9.66129	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	185	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc13	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trp53i13	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phtf1	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc57	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2c	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	135	143	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	69	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haus2	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glis2	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	182	121	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabpa	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	187	0	0	0	0	134	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdyl	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	135	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ql3	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	134	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5j	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	187	0	0	0	0	134	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arv1	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap5z1	9.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	112	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp2	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	245	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf9	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a12	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	149	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsph3a	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ran	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad17	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomgnt1	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plxnd1	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr1h5	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl6	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eaf1	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dsp	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn7	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc33	9.629032	0	0	0	0	153	0	0	114	0	0	0	0	0	144	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cars2	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ak6	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actr1b	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933424G06Rik	9.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sephs1	9.612903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfxap	9.612903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpru	9.612903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0
