Target_genes	Tcf4|Average	SRX22670268|Cortex	SRX22670269|Cortex	SRX22670285|Cortex	SRX22670286|Cortex	SRX9641192|EpiLC	SRX9641193|EpiLC	SRX9641194|EpiLC	SRX9641205|EpiLC	SRX9641206|EpiLC	SRX9641207|EpiLC	SRX9641221|EpiLC	SRX9641222|EpiLC	SRX9641223|EpiLC	SRX9641173|ES_cells	SRX9641174|ES_cells	SRX9641175|ES_cells	SRX323584|Hair_follicle_stem_cells	SRX116907|Hepatocytes	SRX116909|Hepatocytes	SRX856962|Intestinal_crypt	SRX856963|Intestinal_crypt	SRX1141903|Intestinal_stem_cells	SRX1141904|Intestinal_stem_cells	SRX14986811|MC-38	SRX14986813|MC-38	SRX6818037|Mesenchymal_stem_cells	SRX6818038|Mesenchymal_stem_cells	SRX6818039|Mesenchymal_stem_cells	SRX6818040|Mesenchymal_stem_cells	STRING
Efnb2	27.517241	197	172	156	165	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
Dhdds	27.517241	104	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	178	0	0	0	0	0	0	0	0	0	0	0
Cox16	27.517241	127	153	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	137	0	0	0	0
Alkbh6	27.517241	83	129	111	102	0	0	0	0	0	0	0	0	0	0	0	0	0	186	187	0	0	0	0	0	0	0	0	0	0	0
Adprhl2	27.517241	169	108	204	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0
Spry1	27.482759	0	117	188	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	177	0
Nudt18	27.482759	0	99	103	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	123	0	0	222	0
Kif5c	27.482759	76	0	70	129	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0
Etnk1	27.482759	195	151	140	156	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Epn1	27.482759	143	99	176	179	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
Dcps	27.482759	183	153	121	131	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	80	0	0	0	0
Cnot1	27.482759	116	88	130	141	0	0	0	0	0	0	0	0	0	0	0	0	0	182	140	0	0	0	0	0	0	0	0	0	0	0
Alms1	27.482759	104	85	138	176	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	96	0	0	0
Tubgcp6	27.448276	192	0	103	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	118	0	0	0
Myo5a	27.448276	172	135	185	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0
Mien1	27.448276	137	89	99	198	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0
Pdp1	27.413793	214	207	210	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc3	27.413793	179	128	205	148	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0
Zfp523	27.37931	133	131	177	151	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gphn	27.37931	137	124	156	146	0	0	0	0	0	0	82	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Exosc5	27.37931	133	135	132	116	0	0	0	0	0	0	0	0	0	0	0	0	0	94	184	0	0	0	0	0	0	0	0	0	0	0
Bckdha	27.37931	133	135	132	116	0	0	0	0	0	0	0	0	0	0	0	0	0	94	184	0	0	0	0	0	0	0	0	0	0	0
Asb4	27.37931	0	0	0	0	0	130	141	153	188	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef5	27.37931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	394	0
Entpd5	27.344828	116	154	136	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0
Apol7e	27.344828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	253	0	139	0
Zfp553	27.310345	141	153	143	114	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	119	0	0	0	0
Zfp451	27.310345	167	86	209	111	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0
Tigd2	27.310345	163	109	132	224	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0
Smim4	27.310345	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	210	202	178	0	0
Arhgap32	27.310345	130	122	127	76	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb9	27.275862	122	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	207	0	0	0	0
Txlna	27.275862	119	112	135	110	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	109	0	0	0	0
Setd3	27.275862	117	138	104	97	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	149	0	0	0	0
Rps27l	27.275862	165	140	183	97	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	104	0	0	0	0
Rbms3	27.275862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	424	0
Ppp3r1	27.275862	197	131	164	145	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Ogfod1	27.275862	89	88	139	176	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0
Nudt21	27.275862	89	88	139	176	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc59	27.275862	71	145	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	129	85	0	0	0
Jpt2	27.275862	193	129	162	186	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Glis2	27.275862	117	154	102	89	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	91	0	0	0	0
Eri1	27.275862	161	137	135	142	0	0	0	0	0	0	99	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
Coprs	27.275862	166	103	183	168	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0
Ccnk	27.275862	117	138	104	97	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	149	0	0	0	0
Btbd7	27.275862	213	177	195	95	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0
Tyw5	27.241379	0	145	130	131	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	196	0	0	0	0
Tlx2	27.241379	219	171	220	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase1	27.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	0	74	0	0	0	0	0	0	0
Maip1	27.241379	0	145	130	131	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	196	0	0	0	0
Irs1	27.241379	155	88	105	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	141	0
Exosc6	27.241379	109	97	143	119	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0
Zfp597	27.206897	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	546	172	0	0	0	0	0	0	0	0	0	0	0
Sdf2l1	27.206897	126	108	139	266	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
Klhl5	27.206897	117	64	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	213	0	0	0
Kctd20	27.206897	186	244	161	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbnl	27.206897	132	107	143	124	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	109	0	0	0	0
Cdk9	27.206897	124	114	111	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	135	0	0
9930021J03Rik	27.206897	253	204	154	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp39	27.172414	167	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	242	148	0	0	0
Shf	27.172414	207	220	197	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sass6	27.172414	140	119	188	94	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	121	0	0	0	0
Map3k12	27.172414	106	105	109	109	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	138	77	0	0	0
Ero1b	27.172414	147	129	103	166	0	0	0	0	0	0	0	0	0	0	0	0	0	129	114	0	0	0	0	0	0	0	0	0	0	0
Ermp1	27.172414	146	108	167	97	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	125	0	0	0	0
Bdh1	27.172414	130	0	0	0	0	0	0	0	0	0	0	0	0	93	312	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
Arl5a	27.172414	242	191	177	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd17a	27.172414	208	0	148	91	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0
Rnf111	27.137931	192	119	150	194	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0
Gse1	27.137931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	286	0	0	0	0	172	120	0	0	0
Dhx15	27.137931	93	167	126	105	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	148	0	0	0	0
D5Ertd579e	27.137931	178	113	192	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0
Tmem239	27.103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	157	185	0
Slx1b	27.103448	116	0	116	131	0	0	0	0	0	0	0	0	0	0	0	0	0	80	133	0	0	0	0	0	0	83	0	127	0	0
Dnajc13	27.103448	177	166	141	123	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0
Cpxm1	27.103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	157	185	0
Cped1	27.103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	362	276	0
Ciao3	27.103448	124	113	132	74	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	96	0	0	0
Chtop	27.103448	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	512	0	0
Bola2	27.103448	116	0	116	131	0	0	0	0	0	0	0	0	0	0	0	0	0	80	133	0	0	0	0	0	0	83	0	127	0	0
1700020A23Rik	27.103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	157	185	0
Traf2	27.068966	154	179	138	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0
Tbc1d20	27.068966	187	220	190	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp35	27.068966	154	88	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	196	0	0	0
Clasp2	27.068966	126	156	155	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0
Zscan22	27.034483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	207	0	0	0	0	0	0	155	0	0	0	0
Tkfc	27.034483	121	126	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	145	0	0	0	0	0	0	0	0	0	0	0
Kat5	27.034483	101	116	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	174	0	0	0
Hic2	27.034483	195	106	120	125	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0
Dnttip2	27.034483	248	177	191	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddb1	27.034483	121	126	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	145	0	0	0	0	0	0	0	0	0	0	0
Usp7	27.0	0	0	0	0	0	0	174	0	0	0	225	0	159	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psen1	27.0	129	96	127	116	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	68	0	0	0	0
Gstm6	27.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	157	0	0	0	0	0	0	261	0	0	0	0
Dhx36	27.0	153	0	275	0	0	0	0	0	0	0	166	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0
Tbp	26.965517	107	0	127	108	0	0	0	0	0	0	0	0	0	0	0	0	0	166	153	0	0	0	0	0	0	121	0	0	0	0
Psmd6	26.965517	123	136	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	115	116	0	0
Psmb1	26.965517	107	0	127	108	0	0	0	0	0	0	0	0	0	0	0	0	0	166	153	0	0	0	0	0	0	121	0	0	0	0
Nkd2	26.965517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	397	0	169	0
Myo6	26.965517	123	83	107	104	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	181	0	0
Enpp4	26.965517	176	188	134	156	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0
Borcs5	26.965517	130	77	168	84	0	0	0	237	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0
Tmem68	26.931034	131	120	81	137	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0
Tgs1	26.931034	131	120	81	137	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0
Papola	26.931034	245	128	157	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek1	26.931034	96	84	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0
Mios	26.931034	192	163	141	148	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Isoc2b	26.931034	111	64	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	203	0	0	0	0
Ahnak	26.931034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	509	0
Ube2q1	26.896552	220	133	191	108	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0
Tada2b	26.896552	76	119	117	116	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0
Rad50	26.896552	108	147	72	92	0	0	0	0	0	0	164	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0
Lars2	26.896552	198	115	166	153	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Hdhd2	26.896552	130	113	92	116	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	123	0	0	0	0
Ccdc96	26.896552	76	119	117	116	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0
Ago3	26.896552	176	115	132	151	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0
Adam10	26.896552	170	172	130	172	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0
Abca3	26.896552	131	149	106	139	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0
Abca17	26.896552	131	149	106	139	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0
Uchl1	26.862069	206	194	220	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timeless	26.862069	209	251	150	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spg7	26.862069	191	116	187	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0
Sfmbt2	26.862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	272	0	0	0
Phldb1	26.862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	145	173	156	111	0
Nxn	26.862069	99	0	104	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	139	106	0	0
Nek11	26.862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	284	0	0
Ang6	26.862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	364	0	0	0
Usp25	26.827586	148	186	146	157	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0
Ubr2	26.827586	100	0	93	138	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	203	0	0	0
Prkrip1	26.827586	133	104	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	118	0	0	0
Ccnyl1	26.827586	120	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	133	0	0	0	0	0	0	0	0	0	0	0
Yipf4	26.793103	84	118	139	92	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	108	103	0	0	0
Trappc6b	26.793103	125	0	86	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0
Tpmt	26.793103	181	95	174	133	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0
Tmem237	26.793103	157	235	142	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rack1	26.793103	107	145	141	97	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	133	0	0	0	0
Ngly1	26.793103	182	121	222	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc51	26.793103	96	100	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	331	153	0	0	0	0	0	0	0	0	0	0	0
Kdm1b	26.793103	181	95	174	133	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0
Zranb3	26.758621	116	91	199	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	109	0	0	0	0
Tti2	26.758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	202	0	0	0	0	0	0	162	106	127	0	0
Slc25a30	26.758621	99	162	120	106	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	109	0	0	0	0
Rnf2	26.758621	143	128	156	109	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0
R3hdm1	26.758621	116	91	199	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	109	0	0	0	0
Plk3	26.758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	431	0	0	0	0	0	0	0	0	0	0	0
Heatr5a	26.758621	207	157	218	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyld	26.758621	216	137	167	132	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0
Cdk8	26.758621	184	86	201	106	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0
Bin3	26.758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	143	207	0	0
Svip	26.724138	87	127	143	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0
Rnaseh2b	26.724138	114	0	145	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	157	0	0	0
Pip4p2	26.724138	183	118	109	218	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Ndufaf5	26.724138	197	84	116	145	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0
Mroh1	26.724138	110	85	103	126	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	125	0	0	0	0
Miip	26.724138	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	326	175	0	0	0
Hes3	26.724138	0	0	0	0	0	0	0	0	0	0	379	132	154	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fv1	26.724138	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	326	175	0	0	0
Esf1	26.724138	197	84	116	145	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0
Defb1	26.724138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	280	327	0	0	0	0	0
Coa8	26.724138	175	105	200	111	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0
Bag5	26.724138	175	105	200	111	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0
Trip10	26.689655	150	221	209	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Plekho1	26.689655	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	170	0	233	0
Pigf	26.689655	229	146	128	122	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Msh5	26.689655	119	104	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	156	0	0
Lysmd3	26.689655	153	132	150	191	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Gpr108	26.689655	150	221	209	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Cript	26.689655	229	146	128	122	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Clic1	26.689655	119	104	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	156	0	0
Rint1	26.655172	127	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	182	113	0	0	0
Pus7	26.655172	127	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	182	113	0	0	0
Ndufab1	26.655172	122	85	123	202	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0
Msantd4	26.655172	0	105	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	190	0	0	0	0	0	0	154	0	0	0	0
Cyp2e1	26.655172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	191	0	0	0	0	0	0	0	0	0	0	0
Cers6	26.655172	140	113	123	152	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0
Cep85l	26.655172	233	248	183	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp212	26.62069	160	143	127	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	89	0	0	0
Wdhd1	26.62069	147	171	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	160	0	0	0	0
Tomm7	26.62069	139	127	118	108	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0
Socs4	26.62069	147	171	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	160	0	0	0	0
Slc39a6	26.62069	158	100	87	78	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	136	0	0	0	0
Serpini1	26.62069	122	106	119	97	0	0	0	0	0	0	0	0	0	0	0	0	0	181	147	0	0	0	0	0	0	0	0	0	0	0
Pold2	26.62069	173	124	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd10	26.62069	122	106	119	97	0	0	0	0	0	0	0	0	0	0	0	0	0	181	147	0	0	0	0	0	0	0	0	0	0	0
Metap1	26.62069	190	223	177	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcrs1	26.62069	125	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	250	105	0	0	0
Elp2	26.62069	158	100	87	78	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	136	0	0	0	0
Csk	26.62069	171	143	212	108	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0
Cebpg	26.62069	154	82	96	112	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0
C2cd2	26.62069	0	94	89	106	0	0	0	0	0	0	0	0	0	0	0	0	0	314	169	0	0	0	0	0	0	0	0	0	0	0
Tspyl5	26.586207	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	350	210	0
