Target_genes	E2f4|Average	SRX019013|3T3-L1	SRX142538|C2C12	SRX140375|CH12	SRX122394|Dendritic_Cells	SRX122395|Dendritic_Cells	SRX122396|Dendritic_Cells	SRX122397|Dendritic_Cells	SRX319552|ES_cells	SRX019010|Hepatocytes	SRX027460|iPS_cells	SRX1532691|Liver	SRX1532692|Liver	SRX1532693|Liver	SRX1532694|Liver	SRX18205314|Liver	SRX18205316|Liver	SRX140377|MEL	STRING
Per1	26.588235	160	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0
Manbal	26.588235	0	0	205	0	0	0	0	0	0	109	0	0	0	0	0	0	138	0
Itprid2	26.588235	115	0	0	0	0	0	0	0	145	192	0	0	0	0	0	0	0	0
Gak	26.588235	115	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0
Eef1aknmt	26.529412	0	0	0	0	0	0	0	195	0	256	0	0	0	0	0	0	0	0
Crk	26.529412	131	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	142	0
Atp23	26.529412	0	0	209	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0
Zfand2b	26.470588	0	123	132	0	0	0	0	94	0	0	0	0	0	0	0	0	101	0
Zdhhc13	26.470588	0	0	0	0	0	0	0	141	309	0	0	0	0	0	0	0	0	0
Tmem19	26.470588	171	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0
Tbc1d14	26.470588	135	0	0	0	0	0	0	0	150	165	0	0	0	0	0	0	0	0
Mpc1	26.470588	137	74	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0
Coa8	26.470588	94	0	0	0	0	0	0	0	243	113	0	0	0	0	0	0	0	0
Cables2	26.470588	134	0	0	0	0	0	0	0	161	155	0	0	0	0	0	0	0	0
Bag5	26.470588	94	0	0	0	0	0	0	0	243	113	0	0	0	0	0	0	0	0
Ube4a	26.411765	147	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
Srf	26.411765	0	149	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0
Rraga	26.411765	0	0	0	0	0	0	0	0	174	156	0	0	0	0	0	0	119	0
Cbln3	26.411765	0	0	238	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0
Slc16a3	26.352941	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0
Pogz	26.352941	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0
Pigs	26.352941	0	0	0	0	0	0	0	0	297	151	0	0	0	0	0	0	0	0
Gatm	26.352941	0	271	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0
Adnp2	26.352941	0	187	0	0	0	0	0	104	0	0	0	0	0	0	0	0	157	0
Zfp157	26.294118	93	0	97	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0
Xpnpep1	26.294118	337	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
Spta1	26.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0
Sh3rf2	26.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	287	0	0
Klf9	26.294118	206	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0
Timmdc1	26.235294	119	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Rnf115	26.235294	0	0	0	0	0	0	0	143	130	0	0	0	0	0	0	0	173	0
Polr3c	26.235294	0	0	0	0	0	0	0	143	130	0	0	0	0	0	0	0	173	0
Nek4	26.235294	0	0	154	0	0	0	0	0	0	133	0	0	0	0	0	0	159	0
Mrpl33	26.235294	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0
Epha7	26.235294	0	0	0	0	0	0	0	0	205	241	0	0	0	0	0	0	0	0
Ddx18	26.235294	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0
Acy1	26.235294	0	0	0	0	0	0	0	0	197	249	0	0	0	0	0	0	0	0
6430548M08Rik	26.235294	152	0	0	0	0	0	0	0	76	136	0	0	0	0	0	0	82	0
Rragc	26.176471	297	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0
2610044O15Rik8	26.176471	0	93	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0
Zmiz1	26.117647	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0
Noc2l	26.117647	160	142	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
Klhl17	26.117647	160	142	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
Fzd7	26.117647	0	0	143	0	0	0	0	156	0	0	0	0	0	0	0	0	145	0
Slc45a3	26.058824	0	0	0	0	0	0	0	121	322	0	0	0	0	0	0	0	0	0
Rrp8	26.058824	0	144	145	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0
Ilk	26.058824	0	144	145	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0
Fam98b	26.058824	0	122	122	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0
Epc1	26.058824	0	144	0	0	0	0	0	120	179	0	0	0	0	0	0	0	0	0
Enpp4	26.058824	92	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0
Cdk12	26.058824	0	0	160	0	0	0	0	0	0	177	0	0	0	0	0	0	106	0
Srek1ip1	26.0	0	136	121	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0
Reep6	26.0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0
Pcsk4	26.0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0
Gm3752	26.0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0
Gm2956	26.0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0
Cwc27	26.0	0	136	121	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0
Commd4	26.0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0
Cnep1r1	26.0	0	90	208	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0
Sox12	25.941176	157	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	103	0
Prmt9	25.941176	271	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0
Morf4l2	25.941176	199	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	120	0
Mideas	25.941176	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	106	0
Invs	25.941176	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	162	0
Hey2	25.941176	0	95	0	0	0	0	0	0	130	216	0	0	0	0	0	0	0	0
Erp44	25.941176	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	162	0
Cog7	25.941176	0	0	115	0	0	0	0	0	0	155	0	0	0	0	0	0	171	0
Zswim1	25.882353	0	94	0	0	0	0	0	0	179	167	0	0	0	0	0	0	0	0
Rnf20	25.882353	206	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
Slco4a1	25.823529	0	0	111	0	0	0	0	180	148	0	0	0	0	0	0	0	0	0
Shpk	25.823529	0	0	141	0	0	0	0	0	116	0	0	0	0	0	0	0	182	0
Rnft1	25.823529	0	67	0	0	0	0	0	78	156	138	0	0	0	0	0	0	0	0
Mettl8	25.823529	0	0	105	0	0	0	0	0	229	105	0	0	0	0	0	0	0	0
Hic1	25.823529	0	0	133	0	0	0	0	0	139	167	0	0	0	0	0	0	0	0
Fis1	25.823529	142	0	0	0	0	0	0	0	207	90	0	0	0	0	0	0	0	0
Dcaf17	25.823529	0	0	105	0	0	0	0	0	229	105	0	0	0	0	0	0	0	0
Ctns	25.823529	0	0	141	0	0	0	0	0	116	0	0	0	0	0	0	0	182	0
Slc66a2	25.764706	0	0	0	0	0	0	0	0	116	190	0	0	0	0	0	0	132	0
Pir	25.764706	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	286	0
Mxd1	25.764706	0	0	145	0	0	0	0	0	152	141	0	0	0	0	0	0	0	0
Gaa	25.764706	158	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
Usp48	25.705882	147	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt5	25.705882	0	0	112	0	0	0	0	0	0	173	0	0	0	0	0	0	152	0
Tomm20	25.705882	257	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0
Taf9	25.705882	0	106	0	0	0	0	0	0	131	200	0	0	0	0	0	0	0	0
Srm	25.705882	0	0	168	0	0	0	0	151	118	0	0	0	0	0	0	0	0	0
Slc38a6	25.705882	0	0	112	0	0	0	0	0	0	173	0	0	0	0	0	0	152	0
Rad17	25.705882	0	106	0	0	0	0	0	0	131	200	0	0	0	0	0	0	0	0
Pgap2	25.705882	0	0	77	0	0	0	0	0	219	141	0	0	0	0	0	0	0	0
Nup98	25.705882	0	0	77	0	0	0	0	0	219	141	0	0	0	0	0	0	0	0
L3hypdh	25.705882	0	0	0	0	0	0	0	0	328	109	0	0	0	0	0	0	0	0
Jkamp	25.705882	0	0	0	0	0	0	0	0	328	109	0	0	0	0	0	0	0	0
Ints2	25.705882	157	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	79	0
Cyth1	25.705882	253	0	86	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0
Clcn4	25.705882	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0
Arrdc3	25.705882	0	77	166	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0
Ak6	25.705882	0	106	0	0	0	0	0	0	131	200	0	0	0	0	0	0	0	0
Tmem238	25.647059	0	0	160	0	0	0	0	0	0	131	0	0	0	0	0	0	145	0
Stpg3	25.647059	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0
Rpl28	25.647059	0	0	160	0	0	0	0	0	0	131	0	0	0	0	0	0	145	0
Pde1c	25.647059	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd6ip	25.647059	241	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
Nelfb	25.647059	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0
Muc1	25.647059	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	106	0
Gm27021	25.647059	0	108	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0
Emc8	25.647059	0	108	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0
Cox4i1	25.647059	0	108	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0
Ubox5	25.588235	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0
Trp53inp2	25.588235	0	0	102	0	0	0	0	0	152	181	0	0	0	0	0	0	0	0
Trim25	25.588235	0	0	300	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
Smarcal1	25.588235	0	0	144	0	0	0	0	0	0	125	0	0	0	0	0	0	166	0
Slc10a5	25.588235	0	0	136	0	0	0	0	0	0	166	0	0	0	0	0	0	133	0
Rnf149	25.588235	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0
Impa1	25.588235	0	0	136	0	0	0	0	0	0	166	0	0	0	0	0	0	133	0
Fastkd5	25.588235	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0
Arhgef12	25.588235	0	177	0	0	0	0	0	0	0	131	0	0	0	0	0	0	127	0
Adck1	25.529412	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	165	0
Abcf1	25.529412	0	0	0	0	0	0	0	0	274	160	0	0	0	0	0	0	0	0
Wdtc1	25.470588	102	0	0	0	0	0	0	0	163	168	0	0	0	0	0	0	0	0
Ttc28	25.470588	166	132	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0
Pfkl	25.470588	118	0	0	0	0	0	0	0	199	116	0	0	0	0	0	0	0	0
Mcfd2	25.470588	179	0	0	0	0	0	0	130	124	0	0	0	0	0	0	0	0	0
Klf2	25.470588	0	0	0	0	0	0	0	178	0	255	0	0	0	0	0	0	0	0
Psma5	25.411765	0	0	0	0	0	0	0	0	192	139	0	0	0	0	0	0	101	0
Hcfc2	25.411765	151	0	0	0	0	0	0	149	132	0	0	0	0	0	0	0	0	0
Gm10033	25.411765	0	0	201	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0
Dgkh	25.411765	0	136	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0
Arid1b	25.411765	0	183	0	0	0	0	0	0	0	108	0	141	0	0	0	0	0	0
Aldoa	25.411765	0	0	98	0	0	0	0	0	257	0	0	0	0	0	0	0	77	0
Ssr2	25.352941	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0
Rec114	25.352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0
Metap1	25.352941	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0
Dsg2	25.352941	0	0	0	0	0	0	0	106	325	0	0	0	0	0	0	0	0	0
Ccnq	25.352941	0	0	103	0	0	0	0	0	108	0	0	0	0	0	0	0	220	0
Btbd7	25.352941	235	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0
AW146154	25.352941	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	95	0
Ints4	25.294118	0	144	138	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Frg2f1	25.294118	98	129	0	0	0	0	0	92	0	111	0	0	0	0	0	0	0	0
Foxj3	25.294118	98	129	0	0	0	0	0	92	0	111	0	0	0	0	0	0	0	0
Cplx2	25.294118	0	0	247	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0
Znhit6	25.235294	0	85	123	0	0	0	0	0	0	141	0	0	0	0	0	0	80	0
Tnfrsf12a	25.235294	0	0	133	0	0	0	0	157	0	0	0	0	0	0	0	0	139	0
Timm10	25.235294	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Thoc6	25.235294	0	0	133	0	0	0	0	157	0	0	0	0	0	0	0	0	139	0
Tal1	25.235294	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0
Smtnl1	25.235294	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Rnf6	25.235294	0	0	111	0	0	0	0	0	0	232	0	0	0	0	0	0	86	0
Nicn1	25.235294	0	0	134	0	0	0	0	0	0	137	0	0	0	0	0	0	158	0
Hcfc1r1	25.235294	0	0	133	0	0	0	0	157	0	0	0	0	0	0	0	0	139	0
Gnl3l	25.235294	0	0	0	0	0	0	0	143	0	129	0	0	0	0	0	0	157	0
Chchd2	25.235294	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0
Zfp746	25.176471	233	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0
Tars	25.176471	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0
Taok3	25.176471	0	0	113	0	0	0	0	0	0	223	0	0	0	0	0	0	92	0
Suds3	25.176471	0	0	113	0	0	0	0	0	0	223	0	0	0	0	0	0	92	0
Stard3nl	25.176471	0	0	0	0	0	0	0	120	201	0	0	0	0	0	0	0	107	0
Rpl23a	25.176471	0	0	176	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0
Rab34	25.176471	0	0	176	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0
Gosr1	25.176471	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0
Dnajb5	25.176471	0	0	0	0	0	0	0	0	170	258	0	0	0	0	0	0	0	0
Snn	25.117647	86	0	0	0	0	0	0	0	145	196	0	0	0	0	0	0	0	0
Sirt6	25.117647	0	0	173	0	0	0	0	0	0	91	0	0	0	0	0	0	163	0
Mast4	25.117647	187	132	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0
Gtf2e2	25.117647	168	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0
Csnk2a1	25.117647	0	0	132	0	0	0	0	0	130	0	0	0	0	0	0	0	165	0
Cep164	25.117647	0	0	165	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0
Acsl5	25.117647	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0
Tjp2	25.058824	0	97	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc35d2	25.058824	107	0	0	0	0	0	0	159	160	0	0	0	0	0	0	0	0	0
Rab3d	25.058824	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	280	0
Nbeal1	25.058824	210	75	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0
Cog3	25.058824	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0
Bax	25.058824	292	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mysm1	25.0	0	111	109	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
Ttc8	24.941176	0	0	242	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0
Sp3	24.941176	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	131	0
Satb2	24.941176	104	0	0	0	0	0	0	0	128	192	0	0	0	0	0	0	0	0
Pigq	24.941176	0	157	0	0	0	0	0	67	0	0	0	0	0	0	0	0	200	0
Paip2	24.941176	90	0	0	0	0	0	0	0	191	143	0	0	0	0	0	0	0	0
Nhlrc4	24.941176	0	157	0	0	0	0	0	67	0	0	0	0	0	0	0	0	200	0
Nab2	24.941176	0	0	0	0	0	0	0	0	237	187	0	0	0	0	0	0	0	0
Mitf	24.941176	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0
Zfp341	24.882353	83	0	0	0	0	0	0	94	154	0	0	0	0	0	0	92	0	0
Unc13a	24.882353	85	0	83	0	0	0	0	0	0	114	0	0	0	0	0	0	141	0
Ppm1f	24.882353	189	90	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jak3	24.882353	85	0	83	0	0	0	0	0	0	114	0	0	0	0	0	0	141	0
Ctdspl	24.882353	0	0	0	0	0	0	0	82	124	0	0	0	0	0	0	0	217	0
Zic5	24.823529	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Tbc1d32	24.823529	95	135	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0
Slc8b1	24.823529	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0
Ppp2r2a	24.823529	295	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd7	24.823529	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0
Pafah2	24.823529	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0
Manea	24.823529	0	0	0	0	0	0	0	109	205	108	0	0	0	0	0	0	0	0
Lyst	24.823529	0	0	0	0	0	0	0	133	138	151	0	0	0	0	0	0	0	0
Golim4	24.823529	0	0	0	0	0	0	0	0	205	217	0	0	0	0	0	0	0	0
Cwf19l2	24.823529	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	180	0
Cdkl2	24.823529	0	0	0	0	0	0	0	0	311	111	0	0	0	0	0	0	0	0
Trip12	24.764706	0	0	138	0	0	0	0	0	0	123	0	0	0	0	0	0	160	0
Rapgef1	24.764706	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0
Ppan	24.764706	160	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	132	0
Ldb1	24.764706	0	116	0	0	0	0	0	0	144	161	0	0	0	0	0	0	0	0
H2-T10	24.764706	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0
Fbxo36	24.764706	0	0	138	0	0	0	0	0	0	123	0	0	0	0	0	0	160	0
Fam117b	24.764706	104	0	0	0	0	0	0	0	139	178	0	0	0	0	0	0	0	0
Coil	24.764706	0	0	71	0	0	0	0	0	0	0	0	0	0	0	102	140	108	0
Ciao3	24.764706	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0
Arfgef1	24.764706	146	103	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0
Acbd6	24.764706	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0
Vps35l	24.705882	0	0	234	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0
Slfn3	24.705882	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf213	24.705882	0	0	83	0	0	0	0	0	121	0	0	0	0	0	0	0	216	0
Nsrp1	24.705882	141	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	111	0
2700062C07Rik	24.705882	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0
Zswim3	24.647059	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Tma7	24.647059	0	0	154	0	0	0	0	0	0	160	0	0	0	0	0	0	105	0
Tln1	24.647059	0	0	165	0	0	0	0	0	0	176	0	0	0	0	0	0	78	0
Tle2	24.647059	0	0	0	0	0	0	0	0	251	168	0	0	0	0	0	0	0	0
Rfxap	24.647059	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0
Psmd8	24.647059	0	0	91	0	0	0	0	0	217	111	0	0	0	0	0	0	0	0
Mertk	24.647059	0	0	0	0	0	0	0	138	156	125	0	0	0	0	0	0	0	0
Creb3	24.647059	0	0	165	0	0	0	0	0	0	176	0	0	0	0	0	0	78	0
Ccdc51	24.647059	0	0	154	0	0	0	0	0	0	160	0	0	0	0	0	0	105	0
Acot8	24.647059	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Usp6nl	24.588235	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	205	0
Tbk1	24.588235	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0
Prrc1	24.588235	101	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdhx	24.588235	0	0	0	0	0	0	0	0	171	247	0	0	0	0	0	0	0	0
Noxo1	24.588235	129	166	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0
Mon1a	24.588235	0	0	170	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0
Mia3	24.588235	111	0	98	0	0	0	0	135	0	0	0	0	0	0	0	0	74	0
Med24	24.588235	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0
Lrrc8d	24.588235	0	0	98	0	0	0	0	0	171	0	0	0	0	0	0	0	149	0
Gfer	24.588235	129	166	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0
Apip	24.588235	0	0	0	0	0	0	0	0	171	247	0	0	0	0	0	0	0	0
Aldh18a1	24.588235	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0
Zhx3	24.529412	91	163	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0
Wdr35	24.529412	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	167	0
Mat2b	24.529412	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0
Lancl1	24.529412	0	0	0	0	0	0	0	0	188	229	0	0	0	0	0	0	0	0
Epb41	24.529412	0	0	149	0	0	0	0	157	0	0	0	0	0	0	0	0	111	0
Ufc1	24.470588	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0
Rflnb	24.470588	97	139	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0
Gm3264	24.470588	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0
Camsap1	24.470588	308	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0
Aptx	24.470588	124	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0
Slc10a1	24.411765	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0
Scmh1	24.411765	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0
Ift46	24.411765	0	104	176	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0
Dok4	24.411765	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp282	24.352941	134	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0
Tmem260	24.352941	0	123	148	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0
Phf6	24.352941	127	0	0	0	0	0	0	0	121	166	0	0	0	0	0	0	0	0
Malt1	24.352941	0	0	87	0	190	0	0	0	0	137	0	0	0	0	0	0	0	0
Homer3	24.352941	128	171	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0
Gtf2ird1	24.352941	0	180	0	0	0	0	0	0	0	143	0	0	0	0	0	0	91	0
Zup1	24.294118	0	245	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0
Zfp426	24.294118	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0
Zfp24	24.294118	0	0	128	0	0	0	0	0	0	155	0	0	0	0	0	0	130	0
Xkr7	24.294118	0	195	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0
Vdac2	24.294118	227	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
Tmc8	24.294118	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Tmc6	24.294118	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Rpl22	24.294118	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0
Ppie	24.294118	0	0	136	0	0	0	0	0	0	158	0	0	0	0	0	0	119	0
Otulinl	24.294118	0	0	0	0	0	0	0	0	245	168	0	0	0	0	0	0	0	0
Nf2	24.294118	0	0	154	0	0	0	0	0	0	133	0	0	0	0	0	0	126	0
Lrrc42	24.294118	0	0	0	0	0	0	0	123	159	131	0	0	0	0	0	0	0	0
Hspb11	24.294118	0	0	0	0	0	0	0	123	159	131	0	0	0	0	0	0	0	0
Heatr5b	24.294118	221	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0
H1f4	24.294118	0	76	100	0	0	0	0	0	0	111	0	0	0	0	0	0	126	0
Gpatch11	24.294118	221	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0
Zc3h12a	24.235294	0	0	182	0	0	0	0	120	0	110	0	0	0	0	0	0	0	0
Wdr74	24.235294	222	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0
Rpl19	24.235294	156	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
Proser2	24.235294	0	0	0	0	0	0	0	0	189	223	0	0	0	0	0	0	0	0
Mfsd8	24.235294	0	0	0	0	0	0	0	0	125	194	0	0	0	0	0	0	93	0
Itsn1	24.235294	0	0	162	0	0	0	0	0	0	165	0	0	0	0	0	0	85	0
Il12rb1	24.235294	0	0	0	0	0	0	0	256	156	0	0	0	0	0	0	0	0	0
Dcaf5	24.235294	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0
Cryzl1	24.235294	0	0	162	0	0	0	0	0	0	165	0	0	0	0	0	0	85	0
Cebpa	24.235294	0	106	0	0	0	0	0	0	150	156	0	0	0	0	0	0	0	0
Cacnb1	24.235294	156	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
Tom1	24.176471	125	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	151	0
Tnfaip3	24.176471	0	0	142	0	0	0	0	0	0	135	0	0	0	0	0	0	134	0
Tbc1d5	24.176471	0	103	0	0	0	0	0	0	113	0	0	0	0	0	0	101	94	0
Gba	24.176471	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0
Avl9	24.176471	124	0	0	0	0	0	0	0	160	127	0	0	0	0	0	0	0	0
Spag4	24.117647	131	130	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0
Mterf4	24.117647	0	0	125	0	0	0	0	0	0	119	0	0	0	0	0	0	166	0
Mcts1	24.117647	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
Lrguk	24.117647	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0
Gatb	24.117647	0	0	109	0	0	0	0	0	0	153	0	0	0	0	0	0	148	0
