Target_genes	Fosl2|Average	SRX515671|3T3-L1	SRX520195|3T3-L1	SRX17156736|Bone_Marrow_Cells	SRX17156737|Bone_Marrow_Cells	SRX17156738|Bone_Marrow_Cells	SRX17156739|Bone_Marrow_Cells	SRX216284|Embryonic_brains	SRX216285|Embryonic_brains	SRX22541704|Macrophages	SRX22541705|Macrophages	SRX22541706|Macrophages	SRX22541707|Macrophages	SRX1839221|MEF	SRX1839222|MEF	SRX1839223|MEF	SRX1839224|MEF	SRX187213|Th0	SRX187214|Th17_Cells	SRX187215|Th17_Cells	STRING
Dusp18	43.473684	0	0	0	0	391	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921536K21Rik	43.473684	0	0	0	0	391	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb20	43.421053	0	0	0	0	74	0	240	270	0	0	0	0	0	0	0	0	0	161	80	0
Tnfsf11	43.421053	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	230	332	0
Susd4	43.421053	0	0	0	0	0	0	0	645	0	0	0	0	0	180	0	0	0	0	0	0
Rprm	43.421053	0	0	0	0	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r21	43.421053	0	0	0	0	0	0	0	0	236	169	0	420	0	0	0	0	0	0	0	0
Oas1c	43.421053	0	0	0	0	171	157	169	198	0	0	0	130	0	0	0	0	0	0	0	0
Oas1b	43.421053	0	0	0	0	171	157	169	198	0	0	0	130	0	0	0	0	0	0	0	0
Gpld1	43.421053	0	0	0	0	388	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp7a1	43.421053	227	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0
Aldh5a1	43.421053	0	0	0	0	388	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3r3	43.368421	0	0	0	0	0	0	0	0	275	107	0	101	0	0	0	0	0	148	193	0
Nptx1	43.368421	0	0	0	0	279	325	0	220	0	0	0	0	0	0	0	0	0	0	0	0
Zfp619	43.315789	0	0	0	0	0	0	191	212	0	0	0	0	0	0	0	0	0	162	258	0
Wfdc21	43.315789	0	0	0	0	0	0	0	0	0	0	147	676	0	0	0	0	0	0	0	0
Trap1	43.315789	0	0	0	0	0	0	144	174	0	0	0	0	0	0	0	0	0	246	259	0
Maats1	43.315789	0	0	0	0	225	241	0	0	0	125	100	132	0	0	0	0	0	0	0	0
Cox17	43.315789	0	0	0	0	225	241	0	0	0	125	100	132	0	0	0	0	0	0	0	0
Unc13a	43.263158	0	0	0	0	0	0	0	118	0	0	0	157	0	0	0	0	0	175	372	0
Grm6	43.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	415	0
Steap2	43.210526	0	183	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0
Ces2a	43.210526	0	0	0	0	0	0	178	643	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb7a	43.157895	0	0	0	0	0	0	0	0	124	151	0	264	0	0	0	0	0	150	131	0
Ubap2l	43.157895	0	0	0	0	0	0	0	85	0	123	0	156	0	0	0	0	0	169	287	0
Clec7a	43.157895	0	0	0	0	0	0	0	0	233	130	124	333	0	0	0	0	0	0	0	0
4933434E20Rik	43.157895	0	0	0	0	0	0	0	85	0	123	0	156	0	0	0	0	0	169	287	0
Mprip	43.105263	0	0	0	0	0	0	214	303	0	0	0	0	0	0	0	0	0	168	134	0
Lnx2	43.105263	0	0	0	0	486	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx23	43.105263	0	0	0	0	220	0	0	317	0	0	0	0	0	0	0	0	0	0	282	0
Acox3	43.105263	0	0	0	0	144	139	0	200	126	0	0	210	0	0	0	0	0	0	0	0
Zfp541	43.052632	0	0	0	0	0	0	0	0	152	210	0	456	0	0	0	0	0	0	0	0
Vars	43.052632	0	0	0	0	0	0	0	0	0	0	192	386	0	0	0	0	0	0	240	0
Slco5a1	43.052632	0	0	0	0	158	0	276	0	0	0	0	0	0	0	148	236	0	0	0	0
Gosr1	43.052632	99	0	0	0	0	0	168	164	117	152	0	0	0	0	0	0	0	118	0	0
D17H6S56E-5	43.052632	0	0	0	0	0	0	0	0	0	0	192	386	0	0	0	0	0	0	240	0
Zc3hc1	43.0	0	0	0	0	0	0	292	370	0	0	0	0	0	0	0	0	0	0	155	0
Spn	43.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	239	357	0
Slamf6	43.0	0	0	0	0	227	220	0	0	0	0	0	258	0	0	0	0	0	112	0	0
Ppp4c	42.947368	0	0	0	0	0	0	0	0	0	243	0	319	0	0	0	0	0	155	99	0
Hdac5	42.947368	0	0	0	0	0	0	348	191	0	0	0	0	0	141	0	136	0	0	0	0
Hsd3b4	42.842105	0	0	0	0	161	247	0	0	0	0	0	0	0	0	133	273	0	0	0	0
Zfp931	42.789474	0	0	0	0	301	299	0	0	0	0	0	100	0	0	0	0	0	0	113	0
Rap2c	42.789474	0	0	0	0	344	277	0	0	0	0	0	192	0	0	0	0	0	0	0	0
Zfp710	42.736842	0	0	0	0	255	139	0	0	142	130	0	0	0	0	0	0	0	0	146	0
Tbxas1	42.736842	0	0	0	0	0	0	0	0	288	254	0	270	0	0	0	0	0	0	0	0
Mynn	42.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	249	371	0
Actrt3	42.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	249	371	0
Usp37	42.684211	0	0	0	0	0	167	210	0	0	0	0	78	0	0	0	0	0	160	196	0
Twistnb	42.684211	0	174	0	0	112	98	0	164	0	0	0	0	121	0	0	0	0	0	142	0
Strada	42.684211	0	0	0	0	0	0	0	321	123	107	0	136	0	124	0	0	0	0	0	0
Stard13	42.684211	0	0	0	0	182	244	262	0	0	0	0	0	123	0	0	0	0	0	0	0
Dnah6	42.684211	288	0	0	0	0	0	175	348	0	0	0	0	0	0	0	0	0	0	0	0
Neurog2	42.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	290	406	0
Cenps	42.631579	143	0	0	0	0	0	0	0	0	0	0	0	172	0	0	272	0	100	123	0
Slc39a7	42.578947	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	133	125	174	228	0
Slc26a9	42.578947	0	0	0	0	186	200	252	171	0	0	0	0	0	0	0	0	0	0	0	0
Rxrb	42.578947	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	133	125	174	228	0
Ring1	42.578947	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	133	125	174	228	0
Insl3	42.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	219	470	0
H2-Ke6	42.578947	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	133	125	174	228	0
Grb2	42.578947	0	0	0	0	0	0	0	303	119	103	0	149	0	0	0	0	0	135	0	0
Eif4a1	42.578947	0	0	0	0	0	0	0	111	221	135	0	95	0	0	0	0	0	125	122	0
1700003F12Rik	42.578947	0	0	0	0	295	251	0	263	0	0	0	0	0	0	0	0	0	0	0	0
Tmem35b	42.526316	0	0	0	0	384	158	0	0	0	0	0	0	0	0	0	0	0	127	139	0
Spef2	42.526316	0	0	0	0	196	290	0	0	0	0	0	0	0	0	0	0	0	127	195	0
Cdc42bpg	42.526316	0	0	0	0	0	0	191	617	0	0	0	0	0	0	0	0	0	0	0	0
Ube2n	42.473684	0	0	0	0	125	0	0	0	139	138	0	161	0	0	0	0	0	0	244	0
Rps28	42.473684	0	0	0	0	0	0	208	241	103	0	0	0	0	0	0	0	0	119	136	0
Patj	42.473684	0	0	0	0	0	0	228	164	0	0	0	0	191	0	0	0	0	148	76	0
Ndufa7	42.473684	0	0	0	0	0	0	208	241	103	0	0	0	0	0	0	0	0	119	136	0
Zbtb25	42.421053	0	0	0	0	0	0	133	0	0	0	0	0	0	0	143	0	0	248	282	0
Zbtb1	42.421053	0	0	0	0	0	0	133	0	0	0	0	0	0	0	143	0	0	248	282	0
Pigv	42.421053	0	0	0	0	0	0	0	114	0	0	89	470	0	0	0	0	0	0	133	0
Nlrp1a	42.421053	0	0	0	0	0	167	0	0	0	296	0	343	0	0	0	0	0	0	0	0
Vamp4	42.368421	0	0	0	0	186	0	0	202	0	0	0	0	0	0	0	0	0	121	296	0
Tbc1d2	42.368421	0	0	0	0	0	0	315	265	0	118	0	0	0	0	0	107	0	0	0	0
Slfn4	42.368421	0	0	0	0	0	0	0	0	0	0	183	622	0	0	0	0	0	0	0	0
Prorp	42.368421	0	0	0	0	232	0	0	0	150	189	0	234	0	0	0	0	0	0	0	0
Itpripl2	42.368421	0	0	0	0	188	0	250	208	0	0	0	0	159	0	0	0	0	0	0	0
Vapb	42.315789	0	0	0	0	0	0	0	0	234	134	0	436	0	0	0	0	0	0	0	0
Tex45	42.315789	0	0	0	0	0	0	306	223	0	0	0	0	0	0	0	136	0	0	139	0
Pex11g	42.315789	0	0	0	0	0	0	306	223	0	0	0	0	0	0	0	136	0	0	139	0
Smg7	42.263158	0	0	0	0	0	0	0	129	118	0	0	194	0	0	0	0	0	113	249	0
Selenos	42.263158	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	191	0	241	262	0
Nagk	42.263158	0	0	0	0	180	132	0	92	111	189	0	0	0	0	0	0	0	0	99	0
Letm2	42.263158	0	0	0	0	0	0	188	217	0	0	0	0	0	0	0	0	0	169	229	0
Ces1g	42.263158	161	0	0	0	0	0	503	139	0	0	0	0	0	0	0	0	0	0	0	0
Tmem160	42.210526	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	243	229	0
Thap4	42.210526	0	0	0	0	513	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pttg1ip	42.210526	0	0	0	0	97	109	144	0	0	94	0	0	0	0	0	235	0	0	123	0
Pacs1	42.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	292	313	0
Gstm4	42.210526	0	0	0	0	0	0	0	363	183	0	0	256	0	0	0	0	0	0	0	0
Gm10681	42.210526	0	0	0	0	161	247	0	0	0	0	0	0	0	0	121	273	0	0	0	0
Clk3	42.210526	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	262	350	0
Ccdc93	42.210526	238	0	0	0	0	0	230	225	0	109	0	0	0	0	0	0	0	0	0	0
Adcy10	42.210526	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	292	0
Them7	42.157895	0	0	0	0	0	0	156	382	0	0	0	0	103	160	0	0	0	0	0	0
Klrh1	42.157895	0	0	0	0	542	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk20	42.157895	0	0	0	0	0	0	134	232	104	170	0	0	0	0	0	0	0	0	161	0
2310033P09Rik	42.157895	0	0	0	0	0	0	170	272	0	0	0	0	0	0	0	0	0	124	235	0
Ubac2	42.105263	0	0	0	0	0	0	0	0	180	216	0	299	0	0	0	0	0	0	105	0
Cd81	42.105263	199	0	0	0	0	0	323	278	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc58	42.105263	0	0	0	0	0	0	167	225	0	0	0	0	0	0	0	107	0	145	156	0
Wdr62	42.052632	0	0	0	0	0	0	211	300	0	0	0	110	0	0	0	0	0	0	178	0
Uchl5	42.052632	0	0	0	0	0	0	90	0	125	0	0	109	0	0	0	0	0	222	253	0
Slc35a5	42.052632	0	0	0	0	0	0	0	0	182	0	0	120	0	0	0	0	0	233	264	0
Ro60	42.052632	0	0	0	0	0	0	90	0	125	0	0	109	0	0	0	0	0	222	253	0
Ptov1	42.052632	0	0	0	0	0	0	178	153	0	128	0	0	0	0	0	0	0	115	225	0
Ndufaf5	42.052632	0	0	0	0	0	0	0	161	142	0	0	135	0	0	0	0	0	262	99	0
Kifc5b	42.052632	0	0	0	0	122	0	237	0	130	167	0	143	0	0	0	0	0	0	0	0
Esf1	42.052632	0	0	0	0	0	0	0	161	142	0	0	135	0	0	0	0	0	262	99	0
Atg3	42.052632	0	0	0	0	0	0	0	0	182	0	0	120	0	0	0	0	0	233	264	0
Spry4	42.0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	167	0	217	226	0
Zscan29	41.947368	0	0	0	0	422	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thrsp	41.947368	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	201	0
Nedd9	41.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	197	184	300	0
Traf6	41.894737	0	0	0	0	211	144	0	0	0	0	0	0	0	0	0	0	0	138	303	0
Prkcq	41.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	175	352	0
Podxl	41.894737	0	0	0	0	531	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf13	41.894737	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	249	423	0
Otud6a	41.894737	189	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0
Hat1	41.894737	0	0	0	0	0	0	0	0	160	157	0	479	0	0	0	0	0	0	0	0
Bspry	41.894737	0	0	0	0	198	172	0	0	0	0	0	0	0	0	0	0	0	152	274	0
Acbd7	41.894737	0	0	0	0	0	0	202	273	0	0	0	0	0	0	0	98	0	98	125	0
Stat1	41.842105	167	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	276	200	0
Rbm39	41.842105	100	0	0	0	0	0	106	69	87	0	0	176	0	0	0	0	0	114	143	0
Rab3ip	41.842105	0	262	0	0	0	0	168	219	0	0	0	0	0	0	0	0	0	0	146	0
Prlr	41.842105	0	0	0	0	0	0	0	200	0	0	0	0	319	96	79	101	0	0	0	0
Galnt2	41.842105	0	0	0	0	182	131	0	0	103	90	0	289	0	0	0	0	0	0	0	0
Foxb1	41.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	451	0
Cdadc1	41.842105	0	0	0	0	0	0	134	152	0	0	0	0	0	0	0	0	0	301	208	0
Abcc5	41.842105	0	0	0	0	0	0	186	0	95	209	0	305	0	0	0	0	0	0	0	0
Pla1a	41.789474	0	0	0	0	199	102	0	0	0	178	0	229	0	0	0	0	86	0	0	0
Fam163b	41.789474	0	0	0	0	535	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc42se2	41.789474	0	0	0	0	0	0	117	179	0	0	0	0	0	0	0	0	0	277	221	0
Trdmt1	41.736842	0	0	0	0	0	0	249	130	0	0	0	0	0	0	0	0	0	219	195	0
Taar9	41.736842	0	0	0	0	498	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coa4	41.736842	0	0	0	0	0	0	0	0	193	132	105	273	0	0	0	0	0	0	90	0
Arhgap23	41.736842	146	0	0	0	0	0	312	0	0	0	0	165	0	0	0	170	0	0	0	0
Rps26	41.684211	0	0	0	0	0	0	0	115	135	126	0	249	0	0	0	0	0	0	167	0
Rpp38	41.684211	0	0	0	0	0	0	202	273	0	0	0	0	0	0	0	98	0	98	121	0
Gm34653	41.684211	357	0	0	0	0	0	0	221	0	0	0	214	0	0	0	0	0	0	0	0
Taar1	41.631579	0	0	0	0	458	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek1	41.631579	0	0	0	0	0	0	276	328	0	0	0	0	0	0	0	0	0	187	0	0
Sprr2a2	41.578947	0	0	0	0	0	0	279	0	0	0	0	0	187	0	149	175	0	0	0	0
Sprr2a1	41.578947	0	0	0	0	0	0	279	0	0	0	0	0	187	0	149	175	0	0	0	0
Ddx56	41.578947	0	0	0	0	0	0	158	197	0	0	0	101	0	0	0	0	0	115	219	0
Nepn	41.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	463	0
Gm10334	41.526316	0	0	0	0	428	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgke	41.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	228	399	0
Tmpo	41.473684	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	154	0	149	222	0
Lztfl1	41.473684	0	0	0	0	0	0	228	0	0	106	0	0	0	0	0	0	0	184	270	0
Btn1a1	41.473684	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	138	263	242	0
Slc25a31	41.421053	0	0	0	0	0	0	0	0	175	275	0	160	0	0	0	0	0	177	0	0
Kdm4c	41.421053	0	0	0	0	0	0	138	0	68	0	0	0	0	0	0	178	0	122	281	0
Dapl1	41.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	254	238	0
Bst1	41.421053	121	0	0	0	0	0	256	410	0	0	0	0	0	0	0	0	0	0	0	0
Rasip1	41.368421	323	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	293	0
Cpm	41.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0
B3gnt2	41.368421	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	183	206	261	0
Trnau1ap	41.315789	0	0	0	0	210	350	0	0	0	0	0	95	0	0	0	0	0	0	130	0
Stap2	41.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	189	274	0
Rbfa	41.315789	0	0	0	0	0	0	0	0	295	218	0	272	0	0	0	0	0	0	0	0
Parp11	41.315789	0	0	0	0	133	0	0	0	0	0	0	187	0	0	0	0	0	191	274	0
Nfu1	41.315789	0	0	0	0	209	0	227	128	0	0	0	88	0	0	0	0	0	0	133	0
Mpnd	41.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	189	274	0
Inf2	41.315789	0	0	0	0	139	0	0	100	0	0	0	0	0	0	0	0	0	182	364	0
Dnase1	41.315789	0	0	0	0	203	0	143	0	0	0	0	0	0	0	0	0	0	190	249	0
Coq5	41.315789	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	361	0	0	161	0
Uvrag	41.263158	0	0	0	0	0	0	195	208	0	0	0	0	0	0	0	0	0	150	231	0
Rp1l1	41.263158	0	0	0	0	0	0	217	567	0	0	0	0	0	0	0	0	0	0	0	0
Ric8a	41.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	333	283	0
Kctd12	41.263158	0	0	0	0	0	0	0	0	169	87	105	189	0	0	0	0	0	126	108	0
D8Ertd738e	41.263158	0	0	0	0	0	0	0	163	143	214	0	103	0	0	0	0	0	0	161	0
Bet1l	41.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	333	283	0
Usp28	41.210526	0	0	0	0	0	0	0	140	162	137	0	0	0	0	0	0	0	158	186	0
Trem1	41.210526	0	0	0	0	180	173	0	0	0	112	0	318	0	0	0	0	0	0	0	0
Rps6ka5	41.210526	0	0	0	0	169	0	0	0	160	286	0	168	0	0	0	0	0	0	0	0
Hmgb2	41.210526	0	0	0	0	237	175	170	201	0	0	0	0	0	0	0	0	0	0	0	0
Egr2	41.210526	0	0	0	0	115	91	0	0	0	0	0	0	0	0	0	0	148	210	219	0
Ap1s3	41.210526	0	0	0	0	389	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem230	41.157895	0	0	0	0	0	0	0	166	92	125	0	0	0	0	0	0	0	184	215	0
Pigz	41.157895	0	0	0	0	219	0	0	200	0	0	0	0	0	0	0	0	0	149	214	0
Guca1b	41.157895	0	0	0	0	231	245	306	0	0	0	0	0	0	0	0	0	0	0	0	0
Hax1	41.105263	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	153	180	0
H3c10	41.105263	0	0	0	0	0	0	185	0	0	118	0	0	0	0	0	0	0	197	281	0
Fbxo48	41.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	431	0
Cldn10	41.105263	0	0	0	0	0	0	0	292	0	0	0	0	0	0	125	0	0	155	209	0
Bst2	41.105263	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	289	316	0
Rmdn3	41.052632	0	0	0	0	0	0	241	256	0	0	0	0	0	0	0	0	0	172	111	0
Prl2c2	41.052632	115	0	0	0	0	220	104	341	0	0	0	0	0	0	0	0	0	0	0	0
Hk1	41.052632	0	0	0	0	0	0	201	0	0	154	0	0	0	0	0	0	272	0	153	0
Ddx19b	41.052632	0	0	0	0	0	0	0	117	0	0	0	296	0	0	0	0	0	150	217	0
Myadm	41.0	0	0	0	0	0	0	0	118	0	156	0	505	0	0	0	0	0	0	0	0
Dnah8	41.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	398	0
Zswim6	40.947368	0	0	0	0	0	0	0	0	128	0	0	0	182	0	0	166	163	0	139	0
Wars2	40.947368	95	0	0	0	0	0	244	195	0	0	0	0	0	0	0	0	0	122	122	0
Nt5c3	40.947368	0	0	0	0	132	0	0	0	0	0	0	210	0	0	0	0	0	200	236	0
B9d2	40.947368	0	0	0	0	0	0	134	0	137	150	0	198	0	0	0	0	0	0	159	0
1700034I23Rik	40.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	270	303	0
Tmprss4	40.894737	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	259	354	0
Flt3l	40.894737	0	0	0	0	0	0	0	0	0	104	0	169	0	0	0	0	0	148	356	0
Sertad3	40.842105	0	0	0	0	0	0	0	223	0	147	0	129	0	0	0	0	0	145	132	0
Pcdh9	40.842105	0	0	0	0	0	0	0	0	0	0	0	0	249	173	0	354	0	0	0	0
Nup214	40.842105	0	0	0	0	387	294	95	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmt5b	40.842105	0	0	0	0	0	0	408	368	0	0	0	0	0	0	0	0	0	0	0	0
Kcnh4	40.842105	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	97	256	274	0
Hcrt	40.842105	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	97	256	274	0
Gabpb2	40.842105	0	0	0	0	0	0	141	220	0	0	0	0	0	0	0	0	0	275	140	0
Fetub	40.842105	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0
Cd2bp2	40.842105	0	0	0	0	0	0	0	0	98	202	0	236	0	0	0	136	0	0	104	0
Arsi	40.842105	0	0	0	0	179	210	0	237	0	0	0	0	150	0	0	0	0	0	0	0
Add3	40.842105	0	0	0	0	0	0	0	194	0	87	0	0	0	0	0	172	0	201	122	0
Lrrc6	40.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	449	0
Cubn	40.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	375	0
Tmem243	40.736842	0	0	0	0	382	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	40.736842	0	0	0	0	0	0	398	193	0	0	0	0	0	0	0	0	0	0	183	0
Mesd	40.736842	172	0	0	0	0	0	142	0	0	0	0	460	0	0	0	0	0	0	0	0
Lmln	40.736842	0	0	0	0	0	0	313	152	0	0	0	0	171	0	0	0	0	0	138	0
Fuca1	40.736842	0	0	0	0	0	0	0	0	170	145	0	242	0	0	0	0	0	107	110	0
Atp2c1	40.736842	0	0	0	0	397	223	0	0	0	0	0	0	0	0	0	154	0	0	0	0
Acta2	40.736842	0	0	0	0	0	0	180	137	0	0	0	0	156	166	0	135	0	0	0	0
AA414768	40.736842	0	0	0	0	277	194	0	0	0	0	0	303	0	0	0	0	0	0	0	0
Rpl9	40.684211	0	0	0	0	0	0	139	328	0	0	0	130	0	0	0	0	0	0	176	0
Rad21	40.684211	0	0	0	0	0	0	0	309	111	177	0	0	0	0	0	0	0	0	176	0
Lias	40.684211	0	0	0	0	0	0	139	328	0	0	0	130	0	0	0	0	0	0	176	0
Fyn	40.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	188	333	0
Baz2a	40.684211	0	179	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	147	202	0
AA623943	40.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	343	0
Tmem211	40.631579	0	0	0	0	0	0	0	380	211	0	0	181	0	0	0	0	0	0	0	0
Mindy2	40.631579	0	0	0	0	0	0	0	0	0	256	0	123	0	0	0	0	0	111	282	0
Hacd1	40.631579	0	0	0	0	463	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2f8	40.631579	0	0	0	0	104	0	0	0	276	182	0	210	0	0	0	0	0	0	0	0
Zfp874a	40.578947	0	0	0	0	0	0	168	356	101	0	0	0	0	0	0	0	0	0	146	0
Rpgr	40.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	322	0
Mob4	40.578947	0	0	0	0	183	133	0	0	143	130	0	0	0	0	0	0	0	0	182	0
Map11	40.578947	0	0	0	0	124	170	0	0	158	0	0	140	0	0	0	0	0	0	179	0
Tnfaip8l1	40.526316	0	0	0	0	0	0	0	0	178	176	0	150	0	0	0	0	0	104	162	0
Slfn9	40.526316	0	0	0	0	0	0	0	415	0	0	0	0	168	187	0	0	0	0	0	0
Nuak2	40.526316	0	0	0	0	139	0	0	0	155	199	0	277	0	0	0	0	0	0	0	0
Gpr162	40.526316	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	321	292	0
Zfp563	40.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	282	322	0
Trp53i11	40.473684	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	220	197	160	0
Themis3	40.473684	0	0	0	0	0	0	0	277	0	0	0	0	0	0	205	287	0	0	0	0
Nrxn1	40.473684	0	0	0	0	0	0	0	225	0	0	0	0	149	0	186	209	0	0	0	0
Ift52	40.473684	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	189	181	235	0
Hectd2	40.473684	0	0	0	0	0	0	319	130	0	0	0	0	0	0	0	0	0	170	150	0
Asf1a	40.473684	0	0	0	0	0	0	461	193	0	0	0	0	0	0	0	0	0	115	0	0
0610030E20Rik	40.473684	0	0	0	0	0	0	0	119	82	0	0	0	0	0	0	0	0	220	348	0
Smbd1	40.421053	0	0	0	0	257	224	0	0	153	0	0	134	0	0	0	0	0	0	0	0
Nrip3	40.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	290	328	0
Clip3	40.421053	287	0	0	0	0	0	291	190	0	0	0	0	0	0	0	0	0	0	0	0
Maco1	40.368421	0	0	0	0	0	0	0	176	0	0	0	102	0	0	0	93	0	131	265	0
Krt26	40.368421	0	0	0	0	0	0	0	272	0	0	0	0	0	0	205	290	0	0	0	0
Igsf5	40.368421	0	0	0	0	267	311	0	0	0	0	0	84	0	0	0	0	0	0	105	0
Filip1	40.368421	0	0	0	0	0	0	0	240	135	0	0	0	0	0	0	0	0	136	256	0
Tssc4	40.315789	0	0	0	0	0	0	0	0	243	276	0	144	0	0	0	0	0	0	103	0
Pfdn5	40.315789	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	309	315	0
Ccdc142	40.315789	0	0	0	0	189	122	245	0	0	106	0	0	0	0	0	0	0	0	104	0
Map3k7cl	40.263158	0	0	0	0	0	0	168	447	0	0	0	0	150	0	0	0	0	0	0	0
Eef2	40.263158	0	0	0	0	0	0	216	197	0	0	0	0	96	0	0	0	0	0	256	0
Ddx17	40.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	332	0
Angptl6	40.263158	0	0	0	0	0	0	0	0	130	119	0	162	0	0	0	0	0	169	185	0
Adam19	40.263158	0	0	0	0	200	211	0	0	0	0	0	0	0	0	0	0	0	197	157	0
Slc39a8	40.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	516	0
Parp6	40.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	275	265	0
Grk3	40.210526	0	0	0	0	334	286	0	0	0	0	0	144	0	0	0	0	0	0	0	0
