	source	target	weight	PMID
10334	Thra	Cnot2	1	16712523
10335	Ncor2	Alg3	1	16712523
10336	Ncor2	Ccr4	1	16712523
10337	Hnf4a	Stmn2	1	16712787
10338	Ssrp1	Rarb	1	16713563
10339	Smad2	Tgfbr2	1	16713975
10340	Smad3	Tgfbr2	1	16713975
10341	Smad2	Ifng	1	16713975
10342	Smad3	Ifng	1	16713975
10343	Smad4	Ifng	1	16713975
10344	Znf250	Rpe65	1	16714237
10345	Atf2	Pglyrp2	1	16714290
10346	Sp1	Pglyrp2	1	16714290
10347	Sp1	Cldn4	1	16714763;23868418
10348	Nanog	Zfp42	1	16714766;20232320
10349	Pou5f1	Zfp42	1	16714766;17068183;7945330;9528758
10350	Sox2	Zfp42	1	16714766
10351	Zfp42	Zfp42	1	16714766;20232320;9528758
10352	Tp53	Pycard	1	16715133
10353	Ets1	Rhoc	1	16715134;21732343;23474984
10354	Cic	Etv5	1	16717057
10355	Nfatc4	Egf	1	16718377
10356	Nfatc4	Ptgs2	1	16718377;16803872;21871017
10357	Cebpd	Bglap	1	11668178;16720721
10358	Cebpd	Bglap3	1	11668178;16720721
10359	Cebpd	Bglap2	1	11668178;16720721
10360	Cebpg	Nobox	1	16720721
10361	Cebpd	Nobox	1	16720721
10362	Runx2	Nobox	1	16720721;23675497;8995235
10363	Smad2	Inha	1	16720723
10364	Smad3	Inha	1	16720723
10365	Tbpl2	Poli	1	16721357
10366	Rfx1	Slc1a1	1	16723357
10367	Dnmt3a	Ifng	1	16724115
10368	Sp1	Maoa	1	15654081;16728402;19661285;7996184
10369	Nr3c1	Maoa	1	16728402
10370	Mesp2	Epha4	1	16728472
10371	Stat3	Dio2	1	16728495
10372	Stat5a	Dio2	1	16728495
10373	Tp53	Ntrk1	1	16729028
10374	Tp53	Aifm1	1	16729031;23506862
10375	Jun	Ppargc1a	-1	16729332;20143420
10376	Creb1	H2-Ea	1	16730065
10377	Creb1	P04224	1	16730065
10378	Grhl1	Cyp11a1	-1	16730372;18004979
10379	Hr	Dmd	1	16730384
10380	Esr1	Slc5a5	1	16730657
10381	Sfpq	Th	-1	16731528;20938049
10382	Esr1	Clca1	1	16731779
10383	Stat3	Bcl3	1	16293640;16732314
10384	Sp3	Bak1	1	16732318
10385	Sp1	Col11a2	1	16734381
10386	Sp3	Col11a2	1	16734381
10387	Sp7	Col11a2	1	16734381
10388	Cebpb	Tgfb1	1	16735029;16908841;16959612;19014341;21098707;21122806;9199295;9726249
10389	Smad2	Csrp2	1	16735029
10390	Smad3	Csrp2	1	16735029
10391	Pax2	Naip2	1	16735463
10392	Atf3	Irs1	-1	16736133
10393	E2f4	Rb1	-1	16738312;17531812
10394	Gabpa	Rb1	1	16738312
10395	Mafg	Litaf	1	16738329
10396	Litaf	Mafg	1	16738329
10397	Esr1	Amy1	1	16738884
10398	Hnf1b	Alb	1	1673926;9671480
10399	Foxa2	Lcn8	1	16740652;17589789
10400	Ar	Lcn8	1	16740652;17589789
10401	Fli1	Dhx9	1	16740692
10402	Mafk	Cdkn1b	1	16740708
10403	Rara	Folr2	1	12543860;16740727
10404	Sp1	Folr2	1	16740727
10405	Esr1	Retn	1	16740979
10406	Stat5b	Bcl2	1	16741510;18793823
10407	Hnf1a	Slco1b2	1	16741617
10408	E2f1	Pura	1	16741925
10409	Nr4a2	Bglap	1	16741951;16765661
10410	Nr4a2	Bglap3	1	16741951;16765661
10411	Nr4a2	Bglap2	1	16741951;16765661
10412	Nr4a2	Col1a1	1	16741951
10413	Preb	Ins2	1	16752178;19267880;19382911;21521937
10414	Hes1	Rb1	1	16753023
10415	Cebpg	Slc2a4	1	16754198;1681537;2404278
10416	Cebpa	Slc2a4	1	12641495;16754198;18408001;20698834;23647459
10417	Hoxa5	Mlh1	1	16756717
10418	Sp1	Pdk4	1	16757381
10419	Hoxd4	Hoxd4	1	16757478;19232136
10420	Xbp1	Ddit3	1	16757577;17455323
10421	Mafb	Brf1	1	16762835
10422	Lmo2	Nfe2	1	16763211
10423	Tal1	Nfe2	1	16763211
10424	Tfcp2	Nfkbia	1	16763620
10425	Rest	Th	-1	16764822
10426	Hhex	Esm1	1	16764824
10427	Smad3	Bcl2	-1	16766264
10428	Atf1	Mitf	1	12966428;16766266;20068147
10429	Znf354c	Cyp19a1	1	16766568
10430	Neurog2	Ascl1	-1	16766700;23139813
10431	Nr3c1	Faslg	-1	16770006
10432	Hnf4a	Tnf	1	16771709;20621834
10433	Hnf4a	Psmd4	1	16771709
10434	Cebpb	Tac1	1	16771829
10435	Smarca1	Bglap	1	16772287;17272279
10436	Smarca1	Bglap3	1	16772287;17272279
10437	Smarca1	Bglap2	1	16772287;17272279
10438	Pgr	Ptgs2	-1	16772530;18048499;18483177
10439	Id2	Rbl2	1	16776654
10440	Hr	Sgip1	1	16777165
10441	Usf1	Hoxb7	1	12697323;1677811
10442	Tal1	Nfkb1	-1	16778171
10443	Tp53	Dusp4	1	16778175
10444	Crx	Btrc	1	16778892
10445	Mafb	Ins2	1	16780794;17360442;18199433
10446	Hey1	Kdr	-1	16782059;17028039;18694572
10447	Mlxip	Ldha	1	16782875
10448	Tfcp2	Uqcrc1	1	16782889
10449	Yy1	Faslg	-1	16784892
10450	Ppara	Abcg2	1	16785230;22266374
10451	Pparg	Abcg2	1	16785230;18086804;18288266
10452	Smad7	Tert	1	16785237
10453	Tcf12	Pax6	1	16785505
10454	Tcf12	Tcf12	1	16785505;18456661
10455	Foxp3	Ptgs2	1	16785520;24308961
10456	Fos	Cd28	1	16785536
10457	Mbd2	Sfn	1	16786000
10458	Jun	Erbb2	1	16786139;21384344
10459	Cebpb	Hcrt	1	16786175
10460	Usf2	Runx2	1	16786196
10461	Srebf1	Slc2a4	1	16787385;22735681
10462	Pax3	Tgfbr2	1	16787918
10463	Srebf2	Abca7	1	16788211
10464	Hif1a	Pdc	1	16790428;18694926
10465	Sp1	Kcne1	1	16790435;17443681
10466	Tfap2a	Kcne1	1	16790435
10467	Foxd3	Pou5f1	1	16790525
10468	E2f6	Brd7	1	16792505
10469	Sp1	Brd7	1	16792505;18778484;19111069
10470	Tp53	Pias4	1	16793547
10471	Hnf1a	Slc22a8	1	16793932
10472	Hnf1b	Slc22a8	1	16793932
10473	Nfe2l2	Gpx2	1	16794261
10474	Tbp	Sgca	1	16797743
10475	Jun	Mapk14	1	16798740
10476	Nkx3-1	Mcl1	1	16799968
10477	Nr1i3	Mcl1	1	16799968;19433268
10478	Smarca1	Epb42	1	16800816
10479	Stat3	Nanog	1	16801560;21689689;24462277
10480	Tbxt	Nanog	1	16801560
10481	Nr0b2	Adipoq	1	16803864
10482	Thrb	Slc26a5	1	16803873
10483	Thra	Kcnq4	-1	16803873
10484	Zbtb14	Rpl32	1	16805315;17714511
10485	Nfe2l2	Abcc3	1	16806086;22089114
10486	Pax3	Dpyd	1	16806531
10487	Sp1	Dpyd	1	16806531
10488	Sp3	Dpyd	1	16806531
10489	Ppard	Angptl3	-1	16806672
10490	Runx2	Tgfbr1	1	16806744;20093419
10491	Dnmt1	Cdc25c	1	16807237
10492	Dnmt1	Cdk1	1	16807237
10493	Sp1	B3gat3	1	16807373
10494	Tp53	B3gat3	1	16807373
10495	Hnf4a	Acmsd	1	16807375
10496	Ppara	Acmsd	-1	12944176;16807375;18320257
10497	Sp1	Hsd17b2	1	16807381;18270252
10498	Sp3	Hsd17b2	1	16807381;18270252
10499	Foxm1	Esr1	1	16809346;17875680
10500	Esr1	Foxm1	1	20208560;21763263
10501	Neurog3	Gcg	1	16809427;21395400;21983268
10502	Atf1	Slc22a8	1	16809478
10503	Creb1	Slc22a8	1	16809478
10504	Bcl11b	Il2	1	16809611;18831712
10505	Sp1	Pik3r1	1	16814105;17376651;19464346
10506	Nkx2-5	Actg2	1	16814806
10507	Cebpg	Scd1	1	1681537;2606350
10508	Snai1	Egfr	1	16818638
10509	Snai1	Hpgd	-1	16818638;19010907;19608733;19820419
10510	Ets1	Thy1	1	16818745
10511	Creb1	Ciita	1	16818750
10512	Nr1h4	Atp8b1	1	16819395
10513	Srf	Cdkn1a	1	16819512;20068148
10514	Srf	Cdkn2b	1	16819512
10515	Rara	Mmp1a	1	10415749;15246741;1682056
10516	Rara	Thra	1	1682056
10517	Thra	Rara	1	1682056
10518	Thra	Mmp1a	-1	1682056
10519	Sox10	Gjc2	1	16822525;20695017
10520	Irf5	Ifng	1	16824573
10521	Irf5	Il12a	1	16824573;19164128
10522	Irf7	Il12a	1	16824573;19164128
10523	Irf3	Irf1	1	16824573
10524	Atf2	Cps1	1	16824661
10525	Znf148	Oas1a	1	16825291
10526	Alx3	Ins2	1	16825292;21104068
10527	Rela	Cxcl14	1	16825293;19929594;8530498
10528	Nfatc1	Nos2	1	16828070
10529	Hif1a	Nampt	1	16828081;16970912;18669596
10530	Ppara	Acox1	1	16828988;20110263;7635967;8567672;9556573
10531	Jun	Vim	1	14654785;16831196;2922288;7986748
10532	Cdx2	Atoh1	1	16831200
10533	Egr1	Topbp1	1	16831524
10534	Onecut2	Sytl4	-1	16831872
10535	Tp73	Hagh	1	16831876
10536	Twist1	Tnf	1	16831897;20007935
10537	Runx1	Rarb	1	16832676;19843176
10538	Nr4a1	Tcl1a	1	16835233
10539	E2f1	Vegfa	-1	16835303;20639906
10540	Fos	Sar1b	1	16835357
10541	Stat3	Hamp	1	16835372;16946298;18671304;21289291;23703590
10542	Stat3	Stmn1	1	16835434
10543	Smad2	Fbln5	1	16837650
10544	Smad3	Fbln5	1	16837650
10545	Hr	Tgfb1	1	16839530
10546	Ets1	Cxcr4	1	16840440;21741415
10547	Hif1a	Cxcr4	1	16840440;17075581;17083723;19212630;19830694;20007689;20102637;20869949;21887463
10548	Foxl2	Cga	1	16840539
10549	Lhx3	Foxl2	1	16840539
10550	Lhx4	Foxl2	1	16840539
10551	Kcnip3	Calca	1	16840549
10552	Stat3	Pros1	1	16840717
10553	Stat5a	Ncam2	1	16840779
10554	Grhl3	Angpt1	1	16843262
10555	Nanog	Dppa4	1	16846370
10556	Nanog	Gja1	1	16846370
10557	Pou5f1	Dppa4	1	16846370;17068183;18366076
10558	Pou5f1	Gja1	1	16846370
10559	Sox2	Dppa4	1	16846370;18366076
10560	Hif1a	Birc5	1	16847054;19245702;22925504;23732337
10561	Tcf12	Myog	1	16847330
10562	Hif1a	F3	1	16849552
10563	Ybx1	Abcc1	1	16849566
10564	Tgfb1i1	Tgfb1i1	1	16849583;21984848
10565	Tgfb1i1	Fgf7	1	16849583
10566	Cebpb	Sod2	1	16850160;24248464;9372929
10567	Cebpb	Bad	1	16850160
10568	Rela	Sod2	1	10760955;11880364;14515147;15330761;16850160;17085785;18779124;19507253;20061391;24047462
10569	Hhex	Slc5a5	1	16854221
10570	Nr3c1	Nr0b1	1	16857744
10571	Nr0b1	Nr3c1	-1	18417736
10572	Klf4	Acta2	1	16858008;18511453;22241174;23646205
10573	Sp1	Acta2	1	16858008
10574	Sp1	Actg2	1	16858008
10575	Smad3	Acta2	1	12702545;15306544;16858008;17303001;19261809;21990365;24446247
10576	Egr1	Cldn3	1	16858414
10577	Snai1	Cldn3	-1	16858414;19597490;19874710
10578	Creb1	Tpt1	1	16859841
10579	Esr1	Prmt1	1	16861234
10580	Dnmt1	Dlc1	1	16862168
10581	Dnmt3b	Dlc1	1	16862168
10582	Rela	Zeb1	1	16862183;23584475
10583	Hoxb7	Fgf2	1	16862184;21183939;8756643;9681827
10584	Pbx1	Angpt2	1	16862184
10585	Zbtb16	Adamts7	1	16862184
10586	Zbtb16	Angpt2	1	16862184
10587	Zbtb16	Fgf2	-1	16862184
10588	Id4	Mbp	1	16862533
10589	Hnf4a	Numb	1	16865239
10590	Hnf4a	Numbl	1	16865239
10591	Tfap2c	Cdkn1a	-1	16867219;21084835;22371483
10592	Nr1h3	Ugt1a2	1	16871576
10593	Mef2a	Mmp10	1	16873063;18463162;19935709
10594	Hif1a	Mrgprf	1	16873253
10595	Egr2	Igfbp5	1	16875803
10596	Ncoa3	Akt1	1	16877447;20305690
10597	Myc	Chrna3	1	16878156
10598	Myc	Itgb1	-1	11381265;12695333;16878156
10599	Pitx1	Pou1f1	1	16879162
10600	Pou1f1	Egf	1	16879162
10601	Nfatc2	Icos	1	16880206;17986443
10602	Nfatc2	Mapk1	1	16880206
10603	Znf354c	Bmp2	1	16880529
10604	Gli2	Bmp2	1	16880529;19103752
10605	Tp53	Csnk2a2	1	16882692
10606	Ascl1	Hnmt	1	16882982
10607	Ascl1	Txn	1	16882982
10608	Hif1a	Dld	1	16883594
10609	Foxo1	Cyp7a1	-1	16885156;19237543;19463968;21817852
10610	Esr1	Mapk12	1	16885352;22399296
10611	Foxo1	Mstn	1	16885393
10612	Smad2	Mstn	1	16885393
10613	Stat5a	Aco1	1	16886906;21359952
10614	Sp1	Aco1	1	16886906
10615	Bmal1	Psen2	1	16887746
10616	Clock	Psen2	1	16887746
10617	Stat3	Nos3	-1	16887796;19118090;19754268;21611796
10618	Pdx1	Cdk5	1	16887799
10619	Pparg	Tp53	1	14960510;16887883
10620	Dnmt1	Cdh1	-1	16887905;17178861;17575144;18049164;18974268;19635753;19881540;21846773
10621	Dnmt1	Jup	1	16887905
10622	Dnmt3a	Cdh1	-1	16887905;18974268
10623	Dnmt3b	Cdh1	-1	16887905;18974268;20375073
10624	Dnmt3b	Jup	1	16887905;17998942
10625	Spic	Preb	1	16887979
10626	Spic	Spi1	1	16887979
10627	Stat5a	Il18r1	1	16887981
10628	Nfatc2	Acp5	1	16888000
10629	Nr0b2	Sct	-1	16888194;19372104
10630	Tfap2a	Lpl	1	16890192;17549389;18948972
10631	Mafa	Sytl4	1	16890542
10632	Fos	Slc10a2	-1	12454857;16890608;24309182
10633	Ncoa1	Ppargc1a	1	16891307;18511507;19194461
10634	Atf2	Tgfb3	1	16891311
10635	Creb1	Tgfb3	1	16891311;21308733;23206300;28148567
10636	Jun	Tgfb3	1	16891311
10637	Smad3	Tgfb3	1	16891311
10638	Runx1	Ncam1	1	16892559;17431130;19235015
10639	Gata3	Th	1	16893419;19729201
10640	Tcf3	Nanog	-1	16894029
10641	Tp53	Gsdme	1	16897187;21522185
10642	Spdef	Birc5	-1	16897429;18567002;21446014
10643	Tbx1	Ptgdr	1	16897482
10644	Cebpb	Icam1	1	16899075;9831247;9916895
10645	Lef1	Sall4	1	16899215
10646	Tcf7l2	Sall4	1	16899215
10647	Hes1	Cdkn1c	-1	16899237;19541765;22705236;25005473
10648	Myod1	Pik3c3	1	16901893
10649	Egr3	Bdnf	1	16901909;22035109
10650	Egr3	Ntrk1	1	16901909
10651	Ssrp1	Bdnf	1	16901909
10652	Ssrp1	Egr3	1	16901909
10653	Ssrp1	Gabra4	1	16901909
10654	Ssrp1	Ntrk1	1	16901909
10655	Nr4a3	Mstn	-1	16901967
10656	Zgpat	Hamp	1	16902156
10657	Srebf1	Serpine1	-1	16902162
10658	Nfkb2	Skp2	1	16902410;20513428
10659	Relb	Chuk	1	16902410
10660	Relb	Skp2	1	16902410
10661	Kat7	Alas2	1	16904069
10662	Creb1	Cycs	1	16908542;18227154
10663	Ovol1	Gadd45a	1	16908841
10664	Ovol1	Gadd45b	1	16908841
10665	Ovol1	Lemd3	1	16908841
10666	Ovol1	Sgk1	1	16908841
10667	Tp63	Itch	1	16908849
10668	Lhx3	Lhx3	1	16909100
10669	Myb	Ets2	1	16909100
10670	Ets2	Myb	1	15064740;16909100
10671	Stat3	Osm	1	10391682;16909117;19404962;8559663;8918689
10672	Esr1	Erbb4	1	16912174
10673	Wt1	Bcl2l1	1	16912181;22898820
10674	Mycn	Crabp2	1	16912187
10675	Ssrp1	Elavl1	1	16914445
10676	Ar	Rchy1	1	16914734
10677	Hes1	Map2	-1	16916793;19880519
10678	Neurod1	Map2	1	16916793
10679	E2f1	Ncoa3	1	16916939;23660594
10680	Esrrg	Dnase1	1	16916954
10681	Ppara	Ccnd1	-1	16917105
10682	Smarca5	Dnah8	1	16917504
10683	E2f1	Yy1	-1	16918502
10684	Ahr	Gucy1a1	1	16919260
10685	Sox17	Tbata	1	16919269
10686	Esr1	Mmp13	1	16919424;18358246;19185056
10687	Rxra	Ldlr	1	16920108
10688	Nfe2l2	Smarca4	1	16923960;17313370
10689	Snai1	Ocln	-1	16924233;19597490
10690	Snai1	Raf1	1	16924233
10691	Zhx2	Ocln	-1	16924233
10692	Snai2	Ocln	-1	16924233
10693	Runx1	Mapk1	1	16926135
10694	Tp53	Pkd1	1	16931520;20388565
10695	Stat3	Timp1	1	11918744;15161657;15920698;16931573;24036113;8559663
10696	Tp53	Znf346	1	16931621
10697	Myf5	Wnt2	1	16936075
10698	Ezh2	Rassf1	1	16936726
10699	Ezh2	Pdgfb	1	16936726
10700	Tfe3	Cd40lg	1	16936731
10701	Tfeb	Cd40lg	1	16936731
10702	Dlx4	Eif4e	1	16936779;17510394;19481146
10703	Ncoa3	Ccne1	1	16938873
10704	Junb	Igf2	1	16940178
10705	Nr1h3	Abl2	1	16943198
10706	Nr1h3	Cd74	1	16943198
10707	Gata3	Dbh	1	16943277;18338249
10708	Esr1	Safb	1	16945332
10709	Tbp	Btk	1	16945932
10710	Tp53	Coro1b	1	16946709
10711	Tp53	Rab13	1	16946709
10712	Ppara	Trib3	1	16949670;20461355
10713	Cebpb	Trib3	1	16949670;19164449;21203563
10714	Ar	Vps52	1	16949732
10715	Rxra	Fabp1	1	16950764
10716	Bcl11b	Cdkn1c	1	16950772
10717	Ncoa2	Akt1	1	16951146
10718	Dnmt3b	Reck	1	16951151
10719	Kmt2a	Pcna	1	16951254
10720	Kmt2b	Pcna	1	16951254
10721	Eomes	Il21	1	16951332
10722	Pparg	Sod1	1	15590897;16951334;17337254;19535992
10723	Sp1	Cd55b	1	16951346
10724	Sp1	Cd55	1	16951346
10725	Sp1	Tcf3	1	16951349
10726	Tcf3	Sp1	1	16951349
10727	Egr1	Il13	1	16317093;16951379;17556359;18569387;21841136
10728	Ahr	Snai2	1	16952353
10729	Jun	Hbb-b1	1	1695257
10730	Prdm2	Igf1	-1	16953217;19602237
10731	Hey2	Cdkn1b	1	16953280
10732	Nfkb1	Bhmt	-1	16953798
10733	Rela	Bhmt	-1	16953798
10734	Litaf	Litaf	1	16954198;21836606;23795761
10735	Litaf	Mapk14	1	16954198
10736	Litaf	Myd88	1	16954198
10737	Tfap2b	Adipoq	-1	16954217;19325541;20097161;21345437
10738	Nfya	Adipoq	1	16954217
10739	Hoxb2	Ifnb1	1	16954376
10740	Pou5f1	Lefty1	1	16954384;17068183
10741	Sox2	Lefty1	1	16954384
10742	Klf4	Lefty1	1	16954384
10743	Arnt	Hif1a	1	14764593;16954428
10744	Hif1a	Arnt	1	12239177;20440072
10745	Ppara	Mpo	1	16956579
10746	Nr1h3	Mpo	1	16956579
10747	Nr1h4	Fasn	1	16957179
10748	Stat5b	Slc10a4	1	16959781
10749	Stat3	Ren1	-1	16959849
10750	Stat3	Tyk2	-1	16959875;18550668
10751	Klf4	Slc5a6	1	16959947;17135299
10752	Hif1a	Tert	1	15048086;16961934;17699105;18754863
10753	Jun	Krt18	1	1696235;18941637;7526151
10754	Fos	Krt18	1	1696235
10755	Hoxa11	Asxl3	1	16963455
10756	Fli1	Pld2	1	16964281
10757	Ar	Phb1	1	16964284;18487222;22179832
10758	Phb1	Ar	-1	16964284
10759	Ar	Adra1d	1	16964290
10760	Ar	Gc	1	16964290
10761	Runx1	Runx3	1	16964375;18663147
10762	Runx3	Runx1	-1	15688019;17488194;19403666
10763	Insm1	Rgn	1	16964421
10764	Nfia	Rgn	1	16964421
10765	Ctcf	Afm	1	16966320
10766	Sp3	Afm	1	16966320
10767	Myog	Pias1	1	16966324
10768	Skil	Cdkn1a	-1	16966324
10769	Skil	Serpine1	-1	16966324
10770	Rb1	Hbp1	1	16966377
10771	Hbp1	Rb1	1	16966377;18031610
10772	Nr1d1	Serpine1	-1	16968709
10773	Mta1	Vegfa	1	16969516
10774	Pax6	Ctnnd2	1	16973151
10775	Fos	Ilk	1	16978906
10776	Nono	Il27	1	16979593
10777	Foxa1	Ccnd1	1	16980581
10778	Nfic	Ccnd1	-1	16980581
10779	Hnf4a	Gtf2b	1	16980607
10780	Onecut1	Tbp	1	16980607
10781	Myc	Hnrnpul1	1	16980608
10782	Atf3	Ccl4	-1	16982098;24607962
10783	Dnmt1	Ldlr	1	16982210
10784	Phox2a	Cdkn1b	1	16982676;19564421
10785	Relb	Birc3	1	16982744
10786	Pparg	Cd1d1	1	16982809
10787	Rara	Cd1d1	1	16982809
10788	Atf3	Ccna2	-1	16984628
10789	Ar	Adora1	1	16987234
10790	Ar	App	1	16987234
10791	Egr1	Chgb	1	16987240;21257751
10792	Sp1	Chgb	1	16987240
10793	Tfap2a	Chgb	1	16987240
10794	Creb1	Chgb	1	16987240
10795	Vsx2	Chgb	1	16987240
10796	Ahr	Fst	1	16988001
10797	Arx	Gcg	1	16988001;21824254
10798	Sox17	Mbp	1	16988043
10799	Cebpb	Atf3	1	16989641
10800	Runx1	Sh3gl1	1	16990610
10801	Sp1	Sh3gl1	1	16990610
10802	Hes1	Dtx1	-1	16990763;20161710;20208568
10803	Tcf3	Dtx1	1	16990763
10804	Nfkb2	Cdkn1a	-1	16990795
10805	Runx1	Gata2	1	16995417
10806	Egr1	Gnaq	1	16995904;18989526;23802749
10807	Snai2	Cdh17	-1	16996643
10808	Zeb2	Cdh17	1	16996643
10809	Hnf4a	Abcc6	1	16997394;20463007
10810	Nfe2	Abcc6	-1	16997394;21281810
10811	Pparg	Mc2r	1	16997835
10812	Nobox	Pou5f1	1	16997917
10813	Nobox	Gdf9	1	16997917;23078866
10814	Nfib	Mbp	1	1699939
10815	Nr4a2	Vip	1	16999955;22748824
10816	Fos	Slc26a3	1	1700011;22159277
10817	Jun	Slc26a3	1	1700011;22159277
10818	Foxc1	Fgf15	1	17000708
10819	Tp53	Bad	1	17000778;22869582
10820	Gli3	Med12	1	17000779
10821	Runx1	9530003J23Rik	1	17000900
10822	Runx1	Lyz2	1	17000900
10823	Runx1	Lyz1	1	17000900
10824	E2f4	Brca1	-1	17001309;17106239;17531812;20133863;20818429;21701264;23108140
10825	E2f4	Rad51	-1	11799066;17001309;17531812;20133863;21701264
10826	Tp53	Cdc25a	-1	17001315;18281511;19060337
10827	Tp63	Cdc25a	-1	17001315
10828	Tp73	Cdc25a	-1	17001315
10829	Rara	Stmn1	1	17001604
10830	Thap1	Rrm1	1	17003378
10831	Nfat5	Kcnj1	1	17003571
10832	Hnf4a	Glul	1	17006929
10833	Myc	Alb	-1	17006931;8076602
10834	Atf2	Timp1	1	17012236
10835	Rela	Timp1	-1	14600595;17012236
10836	Atf3	Mapk1	1	17014422
10837	Pgr	Cdkn1a	1	17015480;18202149;21184768;23178160;23574718
10838	Pgr	Cdkn1b	1	17015480
10839	Foxo1	Cdkn1b	1	11094066;12359217;12391153;17015685;18593906;18787071;19281796;21418583;23160481
10840	Gata1	Cdkn1b	1	17016599
10841	Ebf3	Cdkn1a	1	17018599;19934318
10842	Epas1	F7	1	17018600;22402494
10843	Tp53	Alox5	1	17018618
10844	Tp53	Lox	1	17018618
10845	Foxm1	Birc5	-1	17018632
10846	Nr4a2	Mapk7	1	17020917
10847	Mef2c	Myocd	1	17021041;23335105
10848	Mef2c	Srf	1	17021041
10849	Hnf1b	Il1b	1	17021248
10850	Usf2	Gata4	1	17021344
10851	Hif1a	Cited2	1	17022961;17499866;18158893
10852	Isl1	Hnf1a	1	17022998
10853	Isl1	Hnf4a	1	17022998
10854	Arnt2	Cyp1a1	1	17023418
10855	Smarca1	Smarca4	1	17023429;20015969;23609547;24285714
10856	Sp1	Slc3a2	1	17023546
10857	Esr1	Cdkn2c	1	17024155
10858	Hif1a	Nbn	-1	17024177
10859	Smarca1	Cdkn2a	1	14604992;17026941
10860	Ppara	Abca1	1	12595494;16530456;17026988;18498712;18758514;19201410;20346718;20606297
10861	Pparg	Abca1	1	11172721;11742860;11785957;12595494;16530456;17026988;18511057;18758514;18761326;20419060;20951680;22305277;22424975;22429094
10862	Foxp3	Ifng	-1	17028180;17377532;19877017;20308632;23543754
10863	Foxp3	Il2	-1	11483607;16873067;17028180;17416586;17430097;17586580;17632414;17922010;18324310;18759924;18779564;19172156;19564342;20429413;21458306;21654845;21955384;22579476;22806628;23275607;23954131;25567984
10864	Foxp3	Ctla4	1	17028180;18599122;21654845
10865	Foxp3	Tnfrsf18	1	15343196;17028180;18832697;20113470
10866	Dlx6	Rassf1	1	17029216
10867	Emx2	Rassf1	1	17029216
10868	Hoxa9	Rassf1	1	17029216;17968314
10869	Hoxb5	Rassf1	1	17029216
10870	Nr6a1	Dpep1	1	17030610
10871	Msx2	Tagln	-1	17030628
10872	Prop1	Fshb	1	15474519;16394624;17032749;17445765
10873	Prop1	Prop1	1	17032749
10874	Prop1	Cga	1	17032749
10875	Irf2	Casp8	1	17036321
10876	En1	Tubb3	1	17038671
10877	Nr4a2	Tubb3	1	17038671
10878	Stat6	Cnr1	1	17041005;18156315
10879	Gtf2ird1	Large1	1	17041962
10880	Runx2	Nell1	1	17042739;21931789
10881	Atf4	Trpv6	1	17042743
10882	Myod1	Hrh3	1	17043109
10883	Myod1	Smarca1	1	17043109
10884	Myod1	Smarca4	1	17043109;17194702
10885	Smarca1	Dnah8	1	17043109;17855369
10886	Smarca1	Prmt5	1	17043109
10887	Nr4a1	Gc	1	17043312
10888	Hnf4a	Ccnd2	1	17043650
10889	Bach2	Prdm1	-1	17046816;18256039
10890	Mafk	Prdm1	-1	17046816
10891	Pax2	Ret	1	17047028
10892	Pax8	Ret	1	17047028
10893	Pax6	Mmp2	1	17047041
10894	Tp53	Bik	1	17047080
10895	Prox1	Kdr	1	17047989;19210544
10896	Ctcfl	Prmt7	1	17048991
10897	Ovol1	Ovol2	-1	17049212
10898	Sp1	Ddit3	1	17049495;8702804
10899	Gata4	Rasa1	1	17050003
10900	Pou3f1	Mpz	-1	1705013
10901	Zbtb17	Ndrg2	-1	17050536;18455888
10902	Myc	Ndrg2	-1	17050536;18455888
10903	Hnf1a	Ugt1a2	1	17050649
10904	Hnf4a	Ube2b	1	17050667
10905	Tp53	Shh	1	17050669;21042410
10906	Tp63	Shh	1	17050669
10907	Tp73	Shh	1	17050669
10908	Litaf	Braf	1	17050671
10909	Litaf	Mapk1	1	17050671
10910	Litaf	Mlana	1	17050671
10911	Mta3	Wnt4	-1	17050676
10912	Foxn1	Wnt4	1	17050676
10913	Spi1	Ccnd2	1	17051239
10914	Hnf4a	Prmt1	1	17052457
10915	Atf2	Mapkap1	1	17054722
10916	Nr2c2	Oxt	1	17054912
10917	Vdr	Cyp7a1	-1	17054913;19106115;20371703
10918	Vdr	Nr1h3	1	17054913
10919	Nr1h3	Vdr	1	17054913;22279938
10920	Hoxb2	Krt8	1	17055026
10921	Pdx1	Krt19	1	17056599;20531294;20808819
10922	Crebzf	Serpinb5	1	17057734
10923	Satb1	Bcl2	1	16079286;17057736;20564216;21310710;23554662;23762260
10924	Sp1	Ntf3	1	17059557
10925	Elf3	Cldn7	1	17060315
10926	Dlx3	Runx2	1	17060321
10927	Dlx3	Nppa	1	17060321
10928	Dlx5	Nppa	1	17060321
10929	Usf1	Apln	1	17060400
10930	Ebf1	Cebpa	1	17060461
10931	Cebpb	Ebf1	1	17060461
10932	Hnf1a	Pros1	1	17061980
10933	Hnf4a	Pros1	1	17061980
10934	Ppara	Igfbp1	1	17062566;20110263
10935	Foxo1	Gcg	1	17062568
10936	Stat2	Pml	1	17062732
10937	Nr1h4	Ddah1	1	17065154
10938	Tfcp2	Reln	1	17065238
10939	Cxxc1	Reln	1	17065238
10940	Dnmt1	Gad1	-1	16113080;17065238;19029285
