Target_genes	Bach2|Average	SRX264235|CD4+_T_cells	SRX761324|CD4+_T_cells	SRX761325|CD4+_T_cells	SRX5396196|Lymph_Nodes	SRX5396197|Lymph_Nodes	SRX1629385|M1	SRX2200545|Pro-B_cells	SRX2200546|Pro-B_cells	STRING
Gdpgp1	55.875000	204	114	129	0	0	0	0	0	0
Exoc5	55.875000	0	170	185	0	0	0	0	92	0
Desi1	55.875000	0	121	0	0	0	0	159	167	0
Cyria	55.875000	342	0	105	0	0	0	0	0	0
Cstf2t	55.875000	232	0	0	0	0	0	101	114	0
Cluh	55.875000	0	154	166	0	0	0	0	127	0
Cib1	55.875000	204	114	129	0	0	0	0	0	0
Arl6ip4	55.875000	0	154	141	0	0	0	152	0	0
Ap5m1	55.875000	0	170	185	0	0	0	0	92	0
Trrap	55.750000	0	234	212	0	0	0	0	0	0
Slc25a16	55.750000	0	253	193	0	0	0	0	0	0
Sema4b	55.750000	0	139	112	0	0	0	93	102	0
Pycr1	55.750000	0	0	0	0	0	0	223	223	0
Mymx	55.750000	0	0	0	0	0	0	247	199	0
Myadml2	55.750000	0	0	0	0	0	0	223	223	0
Anapc10	55.750000	236	0	210	0	0	0	0	0	0
Abce1	55.750000	236	0	210	0	0	0	0	0	0
Samd4	55.625000	307	0	0	0	0	0	138	0	0
Rptor	55.625000	108	97	119	0	0	0	121	0	0
Ndufs2	55.625000	0	108	166	0	0	0	171	0	0
Mtmr2	55.625000	0	222	223	0	0	0	0	0	0
Gpr141	55.625000	0	0	0	0	0	0	270	175	0
Elovl6	55.625000	169	118	158	0	0	0	0	0	0
Ccn6	55.625000	283	0	0	0	0	0	162	0	0
Adamts4	55.625000	0	108	166	0	0	0	171	0	0
AU041133	55.625000	0	178	267	0	0	0	0	0	0
Tmem266	55.500000	0	0	113	0	0	0	163	168	0
Stx5a	55.500000	132	0	0	0	0	0	201	111	0
Sfxn5	55.500000	153	0	0	0	0	0	162	129	0
Lrrc8a	55.500000	0	124	144	0	0	0	100	76	0
Kcnk6	55.500000	0	0	120	0	0	0	181	143	0
Itsn1	55.500000	89	143	0	0	0	0	212	0	0
Herc4	55.500000	148	206	90	0	0	0	0	0	0
Dhx35	55.500000	0	184	111	0	0	0	149	0	0
Cryzl1	55.500000	89	143	0	0	0	0	212	0	0
A630076J17Rik	55.500000	0	0	0	0	0	0	194	250	0
1700092M07Rik	55.500000	132	0	0	0	0	0	201	111	0
Nfil3	55.375000	83	0	0	0	0	0	201	159	0
Kptn	55.375000	91	144	0	0	0	0	110	98	0
Grm4	55.375000	0	0	0	0	0	0	307	136	0
Dcxr	55.375000	0	0	0	0	0	0	262	181	0
Cbr2	55.375000	0	0	0	0	0	0	262	181	0
Atxn2l	55.375000	0	181	161	0	0	0	101	0	0
Treml4	55.250000	171	0	0	0	0	0	271	0	0
Ssbp3	55.250000	0	0	80	0	0	0	253	109	0
Ralgps2	55.250000	178	86	178	0	0	0	0	0	0
Noct	55.250000	106	108	142	0	0	0	0	86	0
Mfng	55.250000	0	0	177	0	0	0	153	112	0
Lime1	55.250000	442	0	0	0	0	0	0	0	0
Igsf11	55.250000	315	127	0	0	0	0	0	0	0
Gtpbp4	55.250000	0	131	0	0	0	0	131	180	0
Dhdds	55.250000	192	0	0	0	0	0	135	115	0
Csf2	55.250000	0	0	0	0	0	0	224	218	0
Atp9b	55.250000	0	144	156	0	0	0	0	142	0
Zfp871	55.125000	0	133	169	0	0	0	139	0	0
Zfp526	55.125000	160	112	169	0	0	0	0	0	0
Wbp11	55.125000	0	233	142	0	0	0	66	0	0
Vamp1	55.125000	0	0	201	0	0	0	99	141	0
Stat1	55.125000	0	222	0	0	0	0	131	88	0
Sirt6	55.125000	108	0	0	0	0	0	184	149	0
Serp1	55.125000	0	153	184	0	0	0	104	0	0
Pxn	55.125000	0	0	123	0	0	0	215	103	0
Kat5	55.125000	0	123	221	0	0	0	97	0	0
Hat1	55.125000	0	127	187	0	0	0	127	0	0
Fdps	55.125000	146	0	0	0	0	0	156	139	0
Fam76a	55.125000	207	149	85	0	0	0	0	0	0
Erbin	55.125000	0	144	188	0	0	0	0	109	0
Eif2a	55.125000	0	153	184	0	0	0	104	0	0
Eef2kmt	55.125000	92	123	131	0	0	0	0	95	0
Dedd2	55.125000	160	112	169	0	0	0	0	0	0
Ddr1	55.125000	309	0	132	0	0	0	0	0	0
BC049715	55.125000	0	233	142	0	0	0	66	0	0
Atp23	55.125000	0	84	234	0	0	0	123	0	0
Ankrd24	55.125000	108	0	0	0	0	0	184	149	0
Uqcc2	55.000000	0	179	135	0	0	0	126	0	0
Tomm20l	55.000000	0	0	0	0	0	0	208	232	0
Stx6	55.000000	326	0	114	0	0	0	0	0	0
Gdpd1	55.000000	0	0	208	0	0	0	103	129	0
Dusp3	55.000000	0	0	113	0	0	0	133	194	0
Ctps	55.000000	186	96	158	0	0	0	0	0	0
Cfap97d1	55.000000	0	0	113	0	0	0	133	194	0
Ccdc9	55.000000	107	137	196	0	0	0	0	0	0
Uvssa	54.875000	0	161	0	0	0	0	112	166	0
Serp2	54.875000	0	184	152	0	0	0	0	103	0
Rhov	54.875000	311	0	128	0	0	0	0	0	0
Rcbtb1	54.875000	0	216	223	0	0	0	0	0	0
Ppie	54.875000	0	113	213	0	0	0	113	0	0
Kdelr2	54.875000	0	165	159	0	0	0	0	115	0
Cd86	54.875000	0	0	0	0	0	0	271	168	0
Adprhl1	54.875000	439	0	0	0	0	0	0	0	0
Zfp786	54.750000	0	223	215	0	0	0	0	0	0
Urb2	54.750000	0	272	166	0	0	0	0	0	0
Tspyl1	54.750000	166	0	130	0	0	0	142	0	0
Tmem121	54.750000	0	0	88	0	0	0	156	194	0
Taf5l	54.750000	0	272	166	0	0	0	0	0	0
Taf15	54.750000	0	154	164	0	0	0	0	120	0
Strip1	54.750000	0	153	134	0	0	0	151	0	0
Sting1	54.750000	0	0	0	0	0	0	207	231	0
Rdh14	54.750000	0	147	180	0	0	0	111	0	0
Pou5f1	54.750000	0	0	0	0	0	0	260	178	0
Ogfod3	54.750000	113	145	180	0	0	0	0	0	0
Mul1	54.750000	182	123	133	0	0	0	0	0	0
Hexdc	54.750000	113	145	180	0	0	0	0	0	0
Gnl2	54.750000	0	101	121	0	0	0	124	92	0
Ctsl	54.750000	0	138	0	0	0	0	178	122	0
Acsl5	54.750000	105	0	0	0	0	0	154	179	0
Abhd10	54.750000	85	134	123	0	0	0	96	0	0
Aaas	54.750000	194	0	0	0	0	0	146	98	0
Smg8	54.625000	0	203	0	0	0	0	130	104	0
Nudcd3	54.625000	0	149	84	0	0	0	101	103	0
Nefh	54.625000	0	137	167	0	0	0	133	0	0
Mia	54.625000	97	185	155	0	0	0	0	0	0
Klrb1b	54.625000	0	0	0	0	0	0	320	117	0
Ints6	54.625000	128	89	128	0	0	0	0	92	0
Gk5	54.625000	0	90	248	0	0	0	99	0	0
Eya3	54.625000	0	128	210	0	0	0	99	0	0
Dnajc19	54.625000	0	174	263	0	0	0	0	0	0
Cpeb4	54.625000	0	110	136	0	0	0	93	98	0
Ap1b1	54.625000	0	137	167	0	0	0	133	0	0
Zkscan7	54.500000	0	161	275	0	0	0	0	0	0
Sbf1	54.500000	0	119	108	0	0	0	115	94	0
Phf2	54.500000	0	0	0	0	0	0	272	164	0
Olfr1511	54.500000	0	0	0	0	0	0	183	253	0
Nus1	54.500000	135	181	120	0	0	0	0	0	0
Gzma	54.500000	0	0	0	0	0	0	237	199	0
D230025D16Rik	54.500000	0	175	156	0	0	0	105	0	0
Clnk	54.500000	0	0	0	0	0	0	201	235	0
Cep68	54.500000	359	0	77	0	0	0	0	0	0
Anxa4	54.500000	163	0	0	0	0	0	163	110	0
Zar1l	54.375000	0	248	187	0	0	0	0	0	0
Ttf1	54.375000	0	169	0	0	0	0	99	167	0
Tiam1	54.375000	312	0	0	0	0	0	123	0	0
Spa17	54.375000	97	160	0	0	0	0	0	178	0
Siae	54.375000	97	160	0	0	0	0	0	178	0
Sap30l	54.375000	256	88	91	0	0	0	0	0	0
Rnf187	54.375000	121	215	99	0	0	0	0	0	0
Rnaseh2c	54.375000	0	186	166	0	0	0	83	0	0
Nono	54.375000	126	0	0	0	0	0	309	0	0
Mkrn2os	54.375000	0	0	0	0	0	0	239	196	0
Gpr183	54.375000	291	0	0	0	0	0	144	0	0
Ephb2	54.375000	0	0	0	0	0	0	301	134	0
Dimt1	54.375000	0	163	146	0	0	0	0	126	0
Cracdl	54.375000	0	0	0	0	0	0	223	212	0
Brca2	54.375000	0	248	187	0	0	0	0	0	0
Tmed1	54.250000	0	0	0	0	0	0	219	215	0
Rps14	54.250000	0	121	190	0	0	0	123	0	0
Pcnx3	54.250000	152	0	0	0	0	0	165	117	0
Map3k11	54.250000	152	0	0	0	0	0	165	117	0
Hectd2	54.250000	116	70	128	0	0	0	120	0	0
Elmo2	54.250000	230	0	115	0	0	0	89	0	0
Coq7	54.250000	0	264	0	0	0	0	84	86	0
C87436	54.250000	114	0	0	0	0	0	177	143	0
Tcf25	54.125000	0	95	194	0	0	0	144	0	0
Spata5	54.125000	88	193	152	0	0	0	0	0	0
Snx13	54.125000	201	102	130	0	0	0	0	0	0
Rplp2	54.125000	0	173	260	0	0	0	0	0	0
Pidd1	54.125000	0	173	260	0	0	0	0	0	0
Nudt6	54.125000	88	193	152	0	0	0	0	0	0
Mrpl15	54.125000	0	184	131	0	0	0	118	0	0
Mmp27	54.125000	290	0	0	0	0	0	0	143	0
Lrwd1	54.125000	0	120	122	0	0	0	78	113	0
Itgb1	54.125000	322	0	111	0	0	0	0	0	0
Fam133b	54.125000	0	191	145	0	0	0	0	97	0
Alkbh4	54.125000	0	120	122	0	0	0	78	113	0
Selenow	54.000000	310	0	0	0	0	0	122	0	0
Mrln	54.000000	0	0	0	0	0	0	353	79	0
Mfsd5	54.000000	0	231	109	0	0	0	92	0	0
Mfsd1	54.000000	0	246	186	0	0	0	0	0	0
Il10rb	54.000000	0	142	131	0	0	0	93	66	0
Iah1	54.000000	0	222	210	0	0	0	0	0	0
Dnajb4	54.000000	315	0	117	0	0	0	0	0	0
Dennd5a	54.000000	0	0	0	221	211	0	0	0	0
B3galnt2	54.000000	0	105	179	0	0	0	148	0	0
Art2b	54.000000	330	102	0	0	0	0	0	0	0
Uqcrc2	53.875000	0	134	297	0	0	0	0	0	0
Tmsb10	53.875000	0	152	156	0	0	0	0	123	0
Rtp4	53.875000	0	0	0	0	0	0	228	203	0
Rgs19	53.875000	0	140	176	0	0	0	115	0	0
Plekha2	53.875000	0	82	139	0	0	0	0	210	0
Papola	53.875000	188	163	80	0	0	0	0	0	0
Nedd8	53.875000	253	0	0	0	0	0	98	80	0
Myo7a	53.875000	0	0	0	0	0	175	256	0	0
Mefv	53.875000	0	0	0	0	0	0	317	114	0
Lrrc25	53.875000	125	0	0	0	0	0	179	127	0
Lkaaear1	53.875000	0	140	176	0	0	0	115	0	0
Iba57	53.875000	0	0	207	0	0	0	117	107	0
Hspa12b	53.875000	0	0	0	0	0	0	227	204	0
Gmpr2	53.875000	253	0	0	0	0	0	98	80	0
Fscn1	53.875000	179	0	92	0	0	0	160	0	0
B4galt1	53.875000	0	251	180	0	0	0	0	0	0
Trim27	53.750000	0	0	204	0	0	0	119	107	0
Srr	53.750000	0	144	143	0	0	0	143	0	0
Smg6	53.750000	0	144	143	0	0	0	143	0	0
Rtf2	53.750000	0	91	0	0	0	0	210	129	0
Rmdn1	53.750000	0	106	156	0	0	0	93	75	0
Mast3	53.750000	0	147	174	0	0	0	0	109	0
Luc7l	53.750000	0	213	217	0	0	0	0	0	0
Hunk	53.750000	0	0	0	0	0	0	288	142	0
Foxc1	53.750000	0	0	105	0	0	0	211	114	0
Dcp1b	53.750000	0	130	201	0	0	0	99	0	0
Cacfd1	53.750000	0	193	237	0	0	0	0	0	0
Ugt1a7c	53.625000	0	0	0	0	0	0	256	173	0
Triobp	53.625000	140	0	155	0	0	0	134	0	0
Tirap	53.625000	141	77	211	0	0	0	0	0	0
Rpl7a	53.625000	0	180	177	0	0	0	72	0	0
Prkab1	53.625000	0	113	121	0	0	0	83	112	0
Pradc1	53.625000	0	140	129	0	0	0	160	0	0
Nhlrc1	53.625000	0	171	258	0	0	0	0	0	0
Med22	53.625000	0	180	177	0	0	0	72	0	0
Hs1bp3	53.625000	0	167	262	0	0	0	0	0	0
Hnrnpm	53.625000	0	198	231	0	0	0	0	0	0
Herpud1	53.625000	0	139	155	0	0	0	135	0	0
Gpr20	53.625000	0	0	0	0	0	0	336	93	0
Gle1	53.625000	124	152	153	0	0	0	0	0	0
Gapvd1	53.625000	128	116	185	0	0	0	0	0	0
Fli1	53.625000	166	0	0	0	0	0	114	149	0
Cct7	53.625000	0	140	129	0	0	0	160	0	0
Agbl5	53.625000	91	0	79	0	0	0	133	126	0
AI661453	53.625000	0	0	0	0	0	0	227	202	0
9430038I01Rik	53.625000	0	263	166	0	0	0	0	0	0
4932438A13Rik	53.625000	196	113	0	0	0	0	120	0	0
Sltm	53.500000	0	205	147	0	0	0	0	76	0
Rreb1	53.500000	428	0	0	0	0	0	0	0	0
Rap1gds1	53.500000	0	158	182	0	0	0	88	0	0
Nceh1	53.500000	0	239	0	0	0	0	0	189	0
Mrfap1	53.500000	0	164	156	0	0	0	0	108	0
Lsp1	53.500000	0	0	0	112	0	0	197	119	0
Lrch4	53.500000	145	141	142	0	0	0	0	0	0
Fbxo24	53.500000	145	141	142	0	0	0	0	0	0
Dennd6a	53.500000	0	142	127	0	0	0	77	82	0
Coq2	53.500000	0	0	143	0	0	0	145	140	0
Chd1l	53.500000	0	169	259	0	0	0	0	0	0
Tm9sf1	53.375000	0	201	226	0	0	0	0	0	0
Timm10	53.375000	207	0	0	0	0	0	102	118	0
Smtnl1	53.375000	207	0	0	0	0	0	102	118	0
Slc50a1	53.375000	144	0	126	0	0	0	157	0	0
Rundc1	53.375000	0	106	230	0	0	0	91	0	0
Ptges3l	53.375000	0	106	230	0	0	0	91	0	0
Itgb1bp1	53.375000	0	212	215	0	0	0	0	0	0
Gm29797	53.375000	0	0	0	0	0	0	232	195	0
Fancl	53.375000	0	73	106	0	0	0	119	129	0
Cpsf3	53.375000	0	212	215	0	0	0	0	0	0
Cd47	53.375000	164	154	109	0	0	0	0	0	0
Wasf2	53.250000	0	113	118	0	0	0	106	89	0
Stpg1	53.250000	0	0	0	0	0	0	347	79	0
Socs2	53.250000	0	193	121	0	0	0	112	0	0
Nup62	53.250000	0	171	131	0	0	0	0	124	0
Noc4l	53.250000	0	169	257	0	0	0	0	0	0
Nipal3	53.250000	0	0	0	0	0	0	347	79	0
Il4i1b	53.250000	0	171	131	0	0	0	0	124	0
Drc7	53.250000	0	0	0	0	0	0	257	169	0
Ddx51	53.250000	0	169	257	0	0	0	0	0	0
Chst10	53.250000	0	121	114	0	0	0	109	82	0
Atp7a	53.250000	158	268	0	0	0	0	0	0	0
Atp1b1	53.250000	149	0	0	0	0	0	140	137	0
Atf5	53.250000	0	171	131	0	0	0	0	124	0
Ash2l	53.250000	0	145	174	0	0	0	107	0	0
Abt1	53.250000	176	0	0	0	0	0	121	129	0
Utp14b	53.125000	0	100	199	0	0	0	0	126	0
Riok1	53.125000	153	0	0	0	0	0	204	68	0
Pola2	53.125000	0	0	237	0	0	0	188	0	0
Plcg2	53.125000	0	134	169	0	0	0	122	0	0
Med26	53.125000	0	159	196	0	0	0	0	70	0
Itgax	53.125000	0	0	0	0	0	0	239	186	0
Inpp5e	53.125000	0	208	217	0	0	0	0	0	0
Ing5	53.125000	83	161	181	0	0	0	0	0	0
Fancd2os	53.125000	0	0	164	0	0	0	153	108	0
Elovl5	53.125000	0	170	133	0	0	0	0	122	0
Dtymk	53.125000	83	161	181	0	0	0	0	0	0
Cdk16	53.125000	281	0	0	0	0	0	144	0	0
Cd164	53.125000	0	172	162	0	0	0	91	0	0
Ccl12	53.125000	0	0	0	0	0	0	425	0	0
Cage1	53.125000	153	0	0	0	0	0	204	68	0
Brk1	53.125000	0	0	164	0	0	0	153	108	0
Akap1	53.125000	0	128	177	0	0	0	120	0	0
Acsl3	53.125000	0	100	199	0	0	0	0	126	0
Zfp568	53.000000	0	189	140	0	0	0	95	0	0
Upb1	53.000000	0	0	0	0	0	0	155	269	0
Spr	53.000000	0	139	189	0	0	0	96	0	0
Rpl12	53.000000	0	108	191	0	0	0	125	0	0
Nrep	53.000000	263	161	0	0	0	0	0	0	0
Mthfd2	53.000000	0	257	167	0	0	0	0	0	0
Lrsam1	53.000000	0	108	191	0	0	0	125	0	0
Ippk	53.000000	0	118	134	0	0	0	172	0	0
Gpn2	53.000000	0	115	197	0	0	0	112	0	0
E2f1	53.000000	0	0	112	0	0	0	188	124	0
Cyrib	53.000000	0	159	137	0	0	0	128	0	0
Ccdc91	53.000000	180	145	99	0	0	0	0	0	0
Bex6	53.000000	84	0	0	0	0	0	133	207	0
Anapc7	53.000000	0	186	119	0	0	0	0	119	0
Zfp317	52.875000	85	0	0	0	0	0	228	110	0
Timm50	52.875000	0	179	166	0	0	0	78	0	0
Ptpa	52.875000	0	148	146	0	0	0	129	0	0
Pigbos1	52.875000	0	246	0	0	0	0	80	97	0
Pigb	52.875000	0	246	0	0	0	0	80	97	0
Nudt19	52.875000	0	183	146	0	0	0	0	94	0
Kdm2b	52.875000	0	0	0	0	0	0	238	185	0
Hemgn	52.875000	0	0	0	0	0	0	278	145	0
Gpld1	52.875000	179	0	0	0	0	0	244	0	0
Crat	52.875000	0	148	146	0	0	0	129	0	0
Clasp1	52.875000	194	0	0	0	0	0	143	86	0
Cdc42	52.875000	0	160	263	0	0	0	0	0	0
Tmem217	52.750000	329	0	93	0	0	0	0	0	0
Tbc1d22b	52.750000	329	0	93	0	0	0	0	0	0
Selenom	52.750000	0	0	0	0	0	0	275	147	0
Pura	52.750000	137	122	163	0	0	0	0	0	0
Pmpca	52.750000	0	193	229	0	0	0	0	0	0
Nfatc3	52.750000	0	132	205	0	0	0	85	0	0
Ndufs1	52.750000	149	0	0	0	0	0	157	116	0
Entr1	52.750000	0	193	229	0	0	0	0	0	0
Eef1b2	52.750000	149	0	0	0	0	0	157	116	0
Trim30a	52.625000	421	0	0	0	0	0	0	0	0
Tmem119	52.625000	0	0	0	0	0	0	215	206	0
Rad54b	52.625000	0	123	186	0	0	0	112	0	0
Rad21	52.625000	116	0	0	0	0	0	169	136	0
Pitpna	52.625000	0	184	237	0	0	0	0	0	0
Lin9	52.625000	188	97	136	0	0	0	0	0	0
Dnajc10	52.625000	0	165	121	0	0	0	135	0	0
Copb1	52.625000	0	153	160	0	0	0	0	108	0
Zrsr2	52.500000	133	167	0	0	0	0	120	0	0
Syngr1	52.500000	188	0	128	0	0	0	104	0	0
Spag1	52.500000	0	0	0	0	0	0	242	178	0
Slc9a3r1	52.500000	0	142	189	0	0	0	89	0	0
Reep5	52.500000	0	166	153	0	0	0	101	0	0
Ptcd1	52.500000	0	165	0	0	0	0	70	185	0
Pop5	52.500000	0	145	275	0	0	0	0	0	0
Polr2k	52.500000	0	0	0	0	0	0	242	178	0
Mms22l	52.500000	0	148	126	0	0	0	0	146	0
Med6	52.500000	0	0	0	0	0	0	236	184	0
Klrc3	52.500000	200	0	0	0	0	0	130	90	0
Kcnip1	52.500000	0	0	0	0	0	0	217	203	0
Helz2	52.500000	0	0	0	0	0	0	296	124	0
Gem	52.500000	0	0	118	0	0	0	180	122	0
Fbxo17	52.500000	420	0	0	0	0	0	0	0	0
Cpsf4	52.500000	0	165	0	0	0	0	70	185	0
Commd7	52.500000	0	194	226	0	0	0	0	0	0
Zfp715	52.375000	194	100	0	0	0	0	0	125	0
Tpm4	52.375000	0	111	110	0	0	0	81	117	0
Stard10	52.375000	0	0	0	0	0	0	248	171	0
Scimp	52.375000	0	0	0	0	0	0	270	149	0
Prkacb	52.375000	85	166	168	0	0	0	0	0	0
Pprc1	52.375000	0	164	255	0	0	0	0	0	0
Pagr1a	52.375000	0	0	0	0	0	0	210	209	0
Mvp	52.375000	0	0	0	0	0	0	210	209	0
Map4	52.375000	0	179	138	0	0	0	0	102	0
Ints3	52.375000	0	0	0	0	0	0	282	137	0
Gfod1	52.375000	0	197	122	0	0	0	0	100	0
Dhx8	52.375000	108	0	0	0	0	0	174	137	0
Ccdc54	52.375000	0	0	0	0	0	0	254	165	0
Cant1	52.375000	0	98	207	0	0	0	0	114	0
Atp6v1e1	52.375000	0	134	191	0	0	0	0	94	0
Agbl3	52.375000	293	0	0	0	0	0	126	0	0
Usp12	52.250000	0	245	173	0	0	0	0	0	0
Timm23	52.250000	0	184	234	0	0	0	0	0	0
Samd10	52.250000	0	110	200	0	0	0	108	0	0
Rnf6	52.250000	0	134	213	0	0	0	0	71	0
Prpf6	52.250000	0	110	200	0	0	0	108	0	0
Parg	52.250000	0	184	234	0	0	0	0	0	0
Map2k5	52.250000	0	161	168	0	0	0	0	89	0
Insl3	52.250000	418	0	0	0	0	0	0	0	0
Ywhaz	52.125000	219	0	111	0	0	0	0	87	0
Thada	52.125000	0	167	250	0	0	0	0	0	0
Tgfbrap1	52.125000	0	186	118	0	0	0	0	113	0
Ptbp1	52.125000	121	143	153	0	0	0	0	0	0
Pdap1	52.125000	0	177	240	0	0	0	0	0	0
Naa20	52.125000	0	103	200	0	0	0	114	0	0
Fbxo27	52.125000	0	165	252	0	0	0	0	0	0
Bud31	52.125000	0	177	240	0	0	0	0	0	0
Ankrd40	52.125000	270	0	0	0	0	0	147	0	0
AI597479	52.125000	0	186	118	0	0	0	0	113	0
Shld1	52.000000	125	0	0	0	0	0	191	100	0
Senp1	52.000000	0	192	100	0	0	0	124	0	0
Rfc4	52.000000	0	214	202	0	0	0	0	0	0
Ppp1r37	52.000000	0	148	111	0	0	0	157	0	0
Mknk1	52.000000	0	95	0	0	0	0	205	116	0
Hnrnpul1	52.000000	100	156	160	0	0	0	0	0	0
Glipr2	52.000000	0	101	179	0	0	0	0	136	0
Dynlrb1	52.000000	0	127	177	0	0	0	112	0	0
Akirin1	52.000000	0	216	200	0	0	0	0	0	0
Zzef1	51.875000	96	132	108	0	0	0	0	79	0
Zfp688	51.875000	0	231	184	0	0	0	0	0	0
Tbl3	51.875000	0	0	0	0	0	0	294	121	0
Sptlc1	51.875000	81	120	214	0	0	0	0	0	0
Selenok	51.875000	131	0	0	0	0	0	159	125	0
Pira7	51.875000	0	0	0	0	0	0	308	107	0
Pira6	51.875000	0	0	0	0	0	0	308	107	0
Pira4	51.875000	0	0	0	0	0	0	308	107	0
Pira11	51.875000	0	0	0	0	0	0	308	107	0
Pira1	51.875000	0	0	0	0	0	0	202	213	0
Mark2	51.875000	137	0	127	0	0	0	151	0	0
Gm14548	51.875000	0	0	0	0	0	0	308	107	0
Cyb5d2	51.875000	96	132	108	0	0	0	0	79	0
Cul2	51.875000	0	244	171	0	0	0	0	0	0
Akr1b10	51.875000	108	0	0	0	0	0	192	115	0
Xrcc2	51.750000	0	0	186	0	0	0	107	121	0
Unk	51.750000	0	150	160	0	0	0	104	0	0
Tmem198b	51.750000	0	214	0	0	0	0	0	200	0
Rpe	51.750000	0	155	143	0	0	0	0	116	0
Nkap	51.750000	0	109	0	0	0	0	0	305	0
Ilf3	51.750000	0	134	0	0	0	0	152	128	0
Fkbp3	51.750000	0	253	161	0	0	0	0	0	0
Fig4	51.750000	0	103	225	0	0	0	86	0	0
Fancm	51.750000	0	253	161	0	0	0	0	0	0
Eef1akmt4-ece2	51.750000	0	0	0	0	0	77	182	155	0
Eef1akmt4	51.750000	0	0	0	0	0	77	182	155	0
Dolpp1	51.750000	0	136	192	0	0	0	86	0	0
Dnajc14	51.750000	0	214	0	0	0	0	0	200	0
Arrdc3	51.750000	183	128	103	0	0	0	0	0	0
Alg3	51.750000	0	0	0	0	0	77	182	155	0
Ak9	51.750000	0	103	225	0	0	0	86	0	0
Zbtb2	51.625000	0	159	138	0	0	0	116	0	0
Uimc1	51.625000	106	155	152	0	0	0	0	0	0
Smn1	51.625000	0	179	234	0	0	0	0	0	0
Sdhc	51.625000	131	0	0	0	0	0	177	105	0
Orc2	51.625000	0	222	191	0	0	0	0	0	0
Opa1	51.625000	0	111	122	0	0	0	180	0	0
Necab3	51.625000	0	145	144	0	0	0	124	0	0
Nbas	51.625000	271	0	0	0	0	0	142	0	0
Mrpl42	51.625000	109	0	0	0	0	0	169	135	0
Mpz	51.625000	131	0	0	0	0	0	177	105	0
Ier3ip1	51.625000	142	139	132	0	0	0	0	0	0
Wdr73	51.500000	0	255	0	0	0	0	157	0	0
Vav3	51.500000	0	0	136	0	0	0	108	168	0
Tspan31	51.500000	238	0	0	0	0	0	106	68	0
Sft2d1	51.500000	0	0	172	0	0	0	113	127	0
Nxn	51.500000	323	0	0	0	0	0	89	0	0
Nr4a3	51.500000	0	0	87	0	0	0	147	178	0
Nmb	51.500000	0	255	0	0	0	0	157	0	0
Mnd1	51.500000	0	137	192	0	0	0	0	83	0
Macroh2a1	51.500000	0	111	94	0	0	0	119	88	0
Leprotl1	51.500000	257	0	155	0	0	0	0	0	0
Gnb1l	51.500000	0	118	188	0	0	0	106	0	0
Fem1a	51.500000	157	140	115	0	0	0	0	0	0
Dck	51.500000	0	113	132	0	0	0	167	0	0
Cpt2	51.500000	83	161	168	0	0	0	0	0	0
Cln5	51.500000	0	0	137	0	0	0	141	134	0
Ckap2l	51.500000	0	167	163	0	0	0	0	82	0
Agap2	51.500000	238	0	0	0	0	0	106	68	0
Slc25a22	51.375000	0	114	197	0	0	0	100	0	0
Lsm6	51.375000	0	115	194	0	0	0	102	0	0
Hes6	51.375000	0	173	135	0	0	0	103	0	0
Gtf3a	51.375000	0	132	182	0	0	0	97	0	0
Fkbp6	51.375000	0	0	0	0	0	274	137	0	0
Fam98b	51.375000	0	168	0	0	0	0	149	94	0
Dnajb1	51.375000	0	147	122	0	0	0	142	0	0
Zc3h8	51.250000	0	144	158	0	0	0	108	0	0
Tpra1	51.250000	0	172	238	0	0	0	0	0	0
Mcm2	51.250000	0	172	238	0	0	0	0	0	0
Irf2	51.250000	0	212	97	0	0	0	101	0	0
Gas2	51.250000	0	135	157	0	0	0	118	0	0
Dpm3	51.250000	144	0	126	0	0	0	140	0	0
Chmp7	51.250000	0	148	133	0	0	0	129	0	0
Tubb4a	51.125000	0	0	0	0	0	0	409	0	0
Rusc1	51.125000	215	104	90	0	0	0	0	0	0
Raver1	51.125000	99	214	96	0	0	0	0	0	0
Polr3e	51.125000	128	168	0	0	0	0	113	0	0
Mterf4	51.125000	97	0	0	0	0	0	166	146	0
Gm10710	51.125000	409	0	0	0	0	0	0	0	0
Ggt7	51.125000	0	190	122	0	0	0	0	97	0
Fam222b	51.125000	0	145	0	0	0	0	113	151	0
Eef2	51.125000	0	119	150	0	0	0	140	0	0
Dlat	51.125000	0	85	148	0	0	0	108	68	0
Anapc11	51.125000	85	171	153	0	0	0	0	0	0
Alyref	51.125000	85	171	153	0	0	0	0	0	0
Acss2	51.125000	0	190	122	0	0	0	0	97	0
Zmym1	51.000000	118	189	0	0	0	0	0	101	0
Spag8	51.000000	0	138	270	0	0	0	0	0	0
Sfpq	51.000000	0	263	145	0	0	0	0	0	0
N4bp1	51.000000	288	0	120	0	0	0	0	0	0
Hint2	51.000000	0	138	270	0	0	0	0	0	0
H3f3a	51.000000	0	153	146	0	0	0	109	0	0
Epg5	51.000000	0	174	0	0	0	0	112	122	0
Dact3	51.000000	0	115	83	0	0	0	110	100	0
Csf2rb	51.000000	0	0	0	0	0	0	210	198	0
Coil	51.000000	0	0	186	93	0	0	0	129	0
Ccnl1	51.000000	0	252	156	0	0	0	0	0	0
Usp28	50.875000	0	127	0	0	0	0	149	131	0
Stard3	50.875000	0	163	138	0	0	0	106	0	0
