Target_genes	Rara|Average	SRX018669|ES_cells	SRX10562781|ES_cells	SRX208055|ES_cells	SRX208062|ES_cells	SRX520462|F9	SRX520468|F9	SRX520474|F9	SRX520479|F9	SRX3301664|Forelimb	SRX3301665|Forelimb	SRX4369776|Germline_stem_cells	SRX4369779|Germline_stem_cells	SRX4369782|Germline_stem_cells	SRX4369785|Germline_stem_cells	SRX337439|Liver	SRX018670|mESC_derived_neural_cells	SRX118692|mESC_derived_neural_cells	SRX118693|mESC_derived_neural_cells	SRX675957|Th1_Cells	STRING
Prkca	18.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0
Nqo1	18.105263	0	0	206	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nf1	18.105263	0	0	102	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0
Ndufa5	18.105263	0	0	169	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0
Mia2	18.105263	0	0	152	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0
Lrig3	18.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0
Isoc2b	18.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0
Il24	18.105263	0	0	0	0	0	0	144	200	0	0	0	0	0	0	0	0	0	0	0	0
Elavl2	18.105263	176	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Dpp8	18.105263	0	0	176	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Cobll1	18.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0
Cmtm6	18.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0
Clcn7	18.105263	0	0	103	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0
Cbr1	18.105263	0	0	185	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
C1qtnf9	18.105263	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb15	18.105263	0	0	169	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0
Zmym4	18.052632	0	129	133	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0
Tollip	18.052632	0	0	164	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0
Tmem247	18.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0
Smbd1	18.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0
Reg4	18.052632	0	0	0	0	0	168	0	0	0	0	0	0	0	0	175	0	0	0	0	0
Psph	18.052632	0	0	201	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0
Kctd2	18.052632	0	0	91	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
Ipo8	18.052632	0	0	109	0	0	144	0	0	0	0	0	0	0	0	90	0	0	0	0	0
Cnot6l	18.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0
Cct6a	18.052632	0	0	201	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0
C130073F10Rik	18.052632	0	0	0	0	221	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0
Atp5h	18.052632	0	0	91	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
Aldh1b1	18.052632	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp691	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0
Zfp664	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0
Taf5	18.000000	0	0	130	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0
Sardh	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0
Samd14	18.000000	0	0	0	0	159	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0
Reep3	18.000000	0	0	142	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm47	18.000000	0	0	0	0	0	159	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Pth	18.000000	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0
Pot1a	18.000000	0	0	115	0	0	0	125	0	0	0	0	0	0	0	102	0	0	0	0	0
Mtrex	18.000000	0	0	169	87	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Meis1	18.000000	0	0	98	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0
Med12	18.000000	0	0	119	0	0	92	0	0	0	0	0	0	0	0	131	0	0	0	0	0
Gprc5b	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0
Foxk2	18.000000	0	0	0	0	0	202	0	0	0	0	0	0	0	0	140	0	0	0	0	0
Fam91a1	18.000000	0	0	96	61	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Fam168a	18.000000	0	0	101	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0
Disc1	18.000000	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	155	0	0	0
Dhx29	18.000000	0	0	169	87	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Ccdc92	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0
Zscan20	17.947368	0	0	85	0	0	106	0	0	0	0	0	0	0	0	150	0	0	0	0	0
Zfp428	17.947368	0	0	102	0	0	107	0	0	0	0	0	0	0	0	132	0	0	0	0	0
Uqcr11	17.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0
Uba6	17.947368	0	0	137	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0
Tnfaip3	17.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0
Terf2	17.947368	0	0	128	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Szrd1	17.947368	0	0	103	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0
Syne3	17.947368	0	0	0	0	0	149	0	0	0	0	0	0	0	0	192	0	0	0	0	0
Septin2	17.947368	0	0	81	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0
Selenoo	17.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0
Scfd2	17.947368	0	0	108	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
Ly75	17.947368	0	0	111	0	0	123	0	0	0	0	0	0	0	0	107	0	0	0	0	0
Gstz1	17.947368	0	0	128	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Gss	17.947368	0	0	142	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
Folr1	17.947368	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	137	0	0	0
Fip1l1	17.947368	0	0	108	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
Fam76a	17.947368	0	0	119	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0
Dnajc10	17.947368	0	0	131	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0
Cc2d1b	17.947368	0	0	114	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0
Zfp160	17.894737	0	0	98	131	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0
Vmn1r13	17.894737	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
Ttr	17.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0
Tmem165	17.894737	0	0	142	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Tef	17.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0
Tcf25	17.894737	0	0	96	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0
Tbc1d9b	17.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0
Rabac1	17.894737	0	0	85	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0
Prr12	17.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0
Prpf8	17.894737	0	0	94	84	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
P2rx1	17.894737	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	190	0	0	0
Ndfip2	17.894737	0	0	89	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0
Naa20	17.894737	0	0	197	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0
Myl12b	17.894737	0	0	87	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
Lipo2	17.894737	0	0	248	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huwe1	17.894737	0	0	0	111	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0
H1f0	17.894737	0	0	97	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0
Gsto2	17.894737	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0
Gcat	17.894737	0	0	97	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0
Eml2	17.894737	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bves	17.894737	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
Zscan30	17.842105	0	0	125	104	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0
Zfp35	17.842105	0	0	125	104	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0
Txndc5	17.842105	0	0	103	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0
Snx4	17.842105	0	0	94	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0
Pold1	17.842105	0	0	124	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Nucb1	17.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0
Nkx3-2	17.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0
Nbeal1	17.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0
Mroh1	17.842105	0	0	71	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0
Inppl1	17.842105	0	0	0	0	0	236	0	0	0	0	0	0	0	0	103	0	0	0	0	0
H2bu2	17.842105	0	0	121	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnpnat1	17.842105	0	0	116	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0
Gipc3	17.842105	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	145	0	0	0
Gemin4	17.842105	0	0	167	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0
Gdpd1	17.842105	0	0	77	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esco1	17.842105	0	0	110	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0
Dbil5	17.842105	0	0	167	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0
B3gnt2	17.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0
Zfp62	17.789474	0	0	153	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Zfp385a	17.789474	0	0	0	0	111	0	140	87	0	0	0	0	0	0	0	0	0	0	0	0
Ube2e1	17.789474	0	0	0	0	133	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0
Tbc1d2	17.789474	0	0	0	113	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0
Steap2	17.789474	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Socs2	17.789474	0	0	109	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0
Rac1	17.789474	0	0	141	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0
Rabl3	17.789474	0	0	105	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
Psat1	17.789474	0	0	130	97	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pip4k2b	17.789474	0	0	0	100	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgghg	17.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Pet117	17.789474	0	0	199	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0
Ndufa10	17.789474	0	0	86	120	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0
Mtmr9	17.789474	0	0	133	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0
Mtcp1	17.789474	0	0	89	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0
Kat14	17.789474	0	0	199	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0
Hoga1	17.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Hnrnpa1l2-ps2	17.789474	0	0	0	0	129	0	125	84	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2e1	17.789474	0	0	105	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
Glrx	17.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Dcaf11	17.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Dbn1	17.789474	0	0	0	0	179	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmc4	17.789474	0	0	89	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0
Brcc3	17.789474	0	0	89	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0
Armc12	17.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Ahsg	17.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Zc3h7a	17.736842	0	0	110	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0
Tmem50a	17.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0
Tmed10	17.736842	0	0	150	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0
Rab18	17.736842	0	0	89	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
Nup214	17.736842	0	74	107	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0
Lgals3bp	17.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0
Itga11	17.736842	0	0	0	0	166	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0
Hspa12a	17.736842	0	0	144	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0
Fkbp1a	17.736842	0	0	153	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0
Fam161b	17.736842	0	0	107	129	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0
Epb41l5	17.736842	0	0	148	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0
Eno4	17.736842	0	0	144	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0
Dgkh	17.736842	0	0	89	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
Cox16	17.736842	0	0	206	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0
Coq6	17.736842	0	0	107	129	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0
As3mt	17.736842	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	127	0	0	0
Apbb2	17.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0
Aftph	17.736842	0	0	163	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0
Zfp931	17.684211	0	0	0	0	0	197	0	0	0	0	0	0	0	0	139	0	0	0	0	0
Snrnp200	17.684211	0	0	122	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0
Slc25a42	17.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0
Shisa6	17.684211	0	0	0	0	114	0	106	116	0	0	0	0	0	0	0	0	0	0	0	0
Prss56	17.684211	0	0	0	121	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Itsn1	17.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0
Hpn	17.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0
Eaf2	17.684211	0	0	113	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0
Cyp20a1	17.684211	0	0	118	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0
Cryzl1	17.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0
Chrnd	17.684211	0	0	0	121	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Bmpr1a	17.684211	0	0	0	0	0	215	0	0	0	0	0	0	0	0	121	0	0	0	0	0
Aadat	17.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0
1810024B03Rik	17.684211	0	0	122	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0
Vim	17.631579	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Upp1	17.631579	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	157	0	0	0
Ubqln4	17.631579	0	0	0	82	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
Syt11	17.631579	0	0	118	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0
Slc22a5	17.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0
Serinc5	17.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0
Rab25	17.631579	0	0	0	82	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
Otol1	17.631579	0	0	0	0	184	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor2	17.631579	0	0	0	82	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
Hhip	17.631579	0	0	0	0	82	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hadhb	17.631579	0	0	152	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Hadha	17.631579	0	0	152	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Fank1	17.631579	0	81	0	101	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0
Chit1	17.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0
Capn2	17.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0
Arl6	17.631579	0	0	124	128	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0
Arl14epl	17.631579	0	0	0	0	0	244	91	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik2	17.631579	0	0	0	0	194	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	17.631579	0	0	0	0	194	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0
2310022B05Rik	17.631579	0	0	0	74	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0
Zhx1	17.578947	0	0	131	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0
Zcchc7	17.578947	0	0	116	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0
Ubald2	17.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Telo2	17.578947	0	150	89	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0
Smoc1	17.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Slc25a45	17.578947	0	0	116	132	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Rec8	17.578947	0	0	0	0	0	188	0	0	0	0	0	0	146	0	0	0	0	0	0	0
Ptx4	17.578947	0	150	89	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0
Pak2	17.578947	0	0	93	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0
Mup4	17.578947	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd7	17.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Immt	17.578947	0	0	132	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
Frmd8	17.578947	0	0	116	132	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Eif2ak4	17.578947	0	0	121	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Dpf2	17.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Ctsc	17.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Bnip2	17.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Bid	17.578947	0	0	92	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0
Ash2l	17.578947	0	0	175	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
4930583I09Rik	17.578947	0	0	0	0	129	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0
2410141K09Rik	17.578947	0	0	212	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yipf3	17.526316	0	0	150	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Trnau1ap	17.526316	0	0	114	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0
Trmt5	17.526316	0	0	206	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0
Slf2	17.526316	0	0	179	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0
Slc38a6	17.526316	0	0	206	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0
Rnf144b	17.526316	0	0	0	0	0	111	0	0	0	0	0	0	0	0	222	0	0	0	0	0
Polr1c	17.526316	0	0	150	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Parn	17.526316	0	0	69	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0
Mtrf1	17.526316	0	0	0	0	112	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0
Mon2	17.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0
Il1rl1	17.526316	0	0	0	0	165	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Gpr137	17.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0
Fbxo5	17.526316	0	0	100	128	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0
Dhx37	17.526316	0	0	0	127	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0
Dhodh	17.526316	0	0	150	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Ddx18	17.526316	0	0	167	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Ccl1	17.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0
Bfar	17.526316	0	0	69	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0
Bad	17.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0
Ap2a2	17.526316	0	0	88	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0
Usp17lb	17.473684	0	0	0	0	93	0	88	151	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d1	17.473684	0	0	187	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
Setd2	17.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0
Senp6	17.473684	0	0	0	0	0	237	0	0	0	0	0	0	0	0	95	0	0	0	0	0
Pip4p1	17.473684	0	0	126	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0
Pcdhgc3	17.473684	0	0	0	0	0	0	159	0	0	0	0	0	0	0	173	0	0	0	0	0
Ormdl3	17.473684	0	0	60	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0
Ndufs4	17.473684	0	0	144	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0
Lnpk	17.473684	0	0	107	84	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0
Lgals8	17.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0
Kcnj1	17.473684	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6712	17.473684	0	0	108	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0
Gm11437	17.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0
Fbxw11	17.473684	0	0	120	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0
Camsap3	17.473684	0	0	79	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
Aktip	17.473684	0	0	146	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0
Ago3	17.473684	0	0	174	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Tom1l1	17.421053	0	0	0	0	0	0	163	168	0	0	0	0	0	0	0	0	0	0	0	0
Tekt5	17.421053	0	0	124	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0
Smarca1	17.421053	0	0	0	0	0	0	163	168	0	0	0	0	0	0	0	0	0	0	0	0
Rbm41	17.421053	0	0	154	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnpla6	17.421053	0	0	113	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0
Olfr550	17.421053	0	0	0	0	0	0	163	168	0	0	0	0	0	0	0	0	0	0	0	0
Nufip1	17.421053	0	0	102	121	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0
Mdm1	17.421053	0	0	165	75	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0
Klhl18	17.421053	0	0	147	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0
Kif9	17.421053	0	0	147	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0
Jph2	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0
Gpalpp1	17.421053	0	0	102	121	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0
Gigyf2	17.421053	0	0	118	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Gata4	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0
Eva1c	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0
Eif6	17.421053	0	0	173	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Dsg4	17.421053	0	0	0	0	0	0	163	168	0	0	0	0	0	0	0	0	0	0	0	0
Dcxr	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0
Cyp2c67	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	148	0	0	0	0
Cd59a	17.421053	0	0	61	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0
Cbr2	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0
Blvra	17.421053	0	0	115	109	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcor	17.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0
Zscan12	17.368421	0	0	111	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0
Znhit3	17.368421	0	212	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
Tex48	17.368421	0	0	0	0	0	0	125	205	0	0	0	0	0	0	0	0	0	0	0	0
