Target_genes	Klf5|Average	SRX520198|3T3-L1	SRX10299739|embryonic_skin	SRX10157942|Esophageal_organoids	SRX10157943|Esophageal_organoids	SRX10157944|Esophageal_organoids	SRX10157945|Esophageal_organoids	SRX10157946|Esophageal_organoids	SRX10157947|Esophageal_organoids	SRX10157948|Esophageal_organoids	SRX10157949|Esophageal_organoids	SRX10157960|Esophageal_organoids	SRX10157961|Esophageal_organoids	SRX334975|ES_cells	SRX3585307|ES_cells	SRX468970|ES_cells	SRX6437851|Pancreatic_adenocarcinoma	SRX6437852|Pancreatic_adenocarcinoma	SRX8026860|Pancreatic_adenocarcinoma	SRX8026861|Pancreatic_adenocarcinoma	SRX8026862|Pancreatic_adenocarcinoma	SRX8026863|Pancreatic_adenocarcinoma	SRX1149716|Pancreatic_cancer_cell_lines	SRX3585311|Trophoblast_stem_cells	SRX18304307|Unclassified	STRING
Larp4b	63.375000	0	0	0	0	0	0	0	0	95	0	0	0	197	0	205	162	0	165	136	0	152	183	0	226	0
Zswim6	63.333333	0	0	0	0	0	0	0	0	139	0	0	0	165	0	0	72	0	227	149	165	208	0	0	395	0
Naaa	63.291667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	87	299	249	230	368	0	0	221	0
Myorg	63.291667	0	0	0	0	0	0	0	0	124	0	0	0	314	0	110	0	0	193	110	108	166	0	0	394	0
Dedd	63.291667	0	0	0	0	0	0	0	0	87	0	0	0	239	0	215	93	0	114	248	170	196	157	0	0	0
Zfp119a	63.250000	0	0	0	0	0	0	0	0	80	0	0	0	0	0	69	100	185	178	266	294	178	0	0	168	0
Slc25a19	63.250000	0	0	0	0	0	0	0	0	0	0	0	0	292	0	234	111	0	210	244	173	146	0	0	108	0
Sdccag8	63.250000	186	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	172	162	222	274	137	0	156	0
Ptpmt1	63.250000	0	0	0	0	0	0	0	0	173	0	0	0	273	0	184	0	0	231	121	127	161	248	0	0	0
Hspa2	63.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	98	0	279	243	252	302	0	0	234	0
Flnb	63.250000	0	0	0	0	0	0	0	0	230	0	0	0	257	0	126	149	140	0	177	0	165	274	0	0	0
Cep170	63.250000	186	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	172	162	222	274	137	0	156	0
Trub2	63.208333	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	254	295	295	297	214	0	0	0
Tns2	63.208333	156	0	0	0	0	0	0	0	0	0	0	0	130	0	100	0	0	241	186	189	275	240	0	0	0
Rnd3	63.208333	0	0	0	0	0	0	0	0	167	0	0	0	142	0	0	0	0	221	227	327	335	98	0	0	0
Cep170b	63.208333	0	0	0	0	0	0	0	0	150	0	0	0	0	0	187	0	0	256	168	146	240	190	0	180	0
Afdn	63.208333	121	0	0	0	0	0	0	0	173	0	0	0	134	0	104	0	0	318	0	183	180	157	0	147	0
Ptprs	63.166667	133	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	174	211	296	0	0	296	0
Odc1	63.166667	0	0	0	0	0	0	0	0	158	146	0	0	412	0	315	0	0	0	0	109	0	173	0	203	0
Mlst8	63.166667	0	0	0	0	0	0	0	0	138	110	0	0	71	0	0	155	112	160	275	154	230	111	0	0	0
Tmem242	63.083333	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	89	187	295	281	422	0	0	0	0
Jmjd1c	63.083333	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	325	348	330	373	0	0	0	0
Gapdh	63.083333	0	0	0	0	0	0	0	0	185	143	0	0	290	0	111	0	116	0	195	152	217	105	0	0	0
Borcs7	63.083333	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	246	232	208	0	0	249	0
Nudcd1	63.041667	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	70	204	243	249	317	0	0	275	0
Nt5c	63.041667	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	162	118	147	202	222	230	174	0	114	0
Eny2	63.041667	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	70	204	243	249	317	0	0	275	0
Cyp1a1	63.041667	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	161	324	127	269	152	150	203	0	0	0
Asb8	63.041667	0	0	0	0	0	0	0	0	0	0	0	0	333	0	243	0	115	300	119	230	173	0	0	0	0
Paxx	63.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	80	484	194	176	179	230	0	0	0
Clic3	63.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	80	484	194	176	179	230	0	0	0
AI467606	63.000000	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	159	278	215	270	0	0	219	0
Tnfsf9	62.958333	237	0	0	0	0	0	0	0	0	0	0	0	115	0	140	0	91	133	251	206	193	145	0	0	0
Uba2	62.916667	0	0	0	0	0	0	0	0	0	0	0	0	505	0	441	0	0	166	135	151	112	0	0	0	0
Med18	62.916667	0	0	0	0	0	0	0	0	231	86	0	0	203	0	0	0	0	182	251	248	184	0	0	125	0
Actg1	62.916667	0	0	0	0	0	0	0	0	0	0	0	0	296	0	182	0	0	341	160	223	203	105	0	0	0
Krt42	62.875000	0	0	0	0	0	0	0	0	275	95	0	0	668	0	471	0	0	0	0	0	0	0	0	0	0
Higd1a	62.833333	0	0	0	0	0	0	0	0	114	0	0	0	117	0	0	134	136	209	134	261	216	80	0	107	0
Pir	62.750000	0	0	0	0	0	0	0	0	105	0	0	0	183	0	137	0	94	197	268	230	292	0	0	0	0
Lcorl	62.750000	0	0	0	0	0	0	0	0	121	0	0	0	100	0	0	0	93	214	274	201	205	91	0	207	0
Cyb5r1	62.750000	0	0	0	0	0	0	0	0	0	0	0	0	301	0	276	80	114	0	179	154	162	71	0	169	0
Nuak2	62.708333	0	0	0	0	0	0	0	0	183	0	0	0	190	0	151	91	0	299	172	182	179	58	0	0	0
Cpsf6	62.708333	0	0	0	0	0	0	0	0	222	0	0	0	194	0	128	0	0	254	175	321	211	0	0	0	0
Pcgf3	62.666667	0	0	0	0	0	0	0	0	0	0	0	0	111	0	148	0	0	210	205	177	277	119	0	257	0
Dnajb6	62.666667	0	0	0	0	0	0	0	0	0	0	0	0	374	0	205	105	0	140	146	218	231	85	0	0	0
Dnah6	62.666667	0	0	0	0	0	0	0	0	0	0	0	0	144	0	101	0	0	272	290	235	462	0	0	0	0
Selenok	62.625000	0	0	0	0	0	0	0	0	85	0	0	0	122	0	0	132	102	277	197	196	213	0	0	179	0
Glrp1	62.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	240	225	396	367	0	95	0
Flad1	62.625000	0	0	0	0	0	0	0	0	151	217	0	0	0	0	0	104	0	188	175	281	265	122	0	0	0
Elob	62.625000	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	148	300	218	359	0	216	0
Eef2k	62.625000	0	0	0	0	0	0	0	0	0	0	0	0	206	0	200	194	102	165	131	221	181	103	0	0	0
Timmdc1	62.583333	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	181	101	202	166	162	221	0	0	366	0
Gm11563	62.583333	0	0	0	0	0	0	0	0	0	0	0	0	537	0	78	0	0	195	155	250	173	0	0	114	0
Dyrk4	62.583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	307	118	377	303	93	0	115	0
H3f3a	62.541667	0	0	0	0	0	0	0	0	103	0	0	0	237	0	282	0	0	209	0	160	196	206	0	108	0
Txndc15	62.500000	0	0	0	0	0	0	0	0	0	0	0	0	141	0	126	184	147	189	147	130	237	199	0	0	0
Tead1	62.500000	0	0	0	0	0	0	0	0	299	153	0	0	135	0	404	0	0	0	0	82	128	299	0	0	0
Rsad1	62.500000	0	0	0	0	0	0	0	0	0	107	0	0	142	0	101	83	0	171	205	283	408	0	0	0	0
Mat2a	62.500000	0	0	0	0	0	0	0	0	158	0	0	0	99	0	89	66	118	191	179	277	171	152	0	0	0
Cdc42ep1	62.500000	0	0	0	0	0	0	0	0	312	138	0	0	0	0	0	0	0	254	256	235	305	0	0	0	0
Serinc4	62.458333	0	0	0	0	0	0	0	0	0	0	148	0	188	0	127	103	142	163	150	267	211	0	0	0	0
Pde7a	62.458333	0	0	0	0	0	0	0	0	0	0	0	0	207	0	175	0	0	221	171	140	232	183	0	170	0
Hypk	62.458333	0	0	0	0	0	0	0	0	0	0	148	0	188	0	127	103	142	163	150	267	211	0	0	0	0
Gata6	62.458333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	244	183	249	355	167	0	108	0
Rab3ip	62.416667	542	0	0	0	0	0	0	0	212	138	0	0	186	0	261	0	0	0	0	0	0	159	0	0	0
Arhgef28	62.416667	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	245	128	262	239	316	0	129	0
Unc13a	62.375000	0	0	0	0	0	0	0	0	192	0	0	0	242	0	473	0	0	204	100	0	87	107	0	92	0
Pip5k1c	62.375000	0	0	0	0	0	0	0	0	100	73	0	0	273	0	0	166	173	0	216	281	141	74	0	0	0
Junb	62.333333	333	0	0	0	0	0	0	0	100	0	0	0	122	0	87	90	91	200	141	86	166	80	0	0	0
Atp9a	62.333333	122	0	0	0	0	0	0	0	179	113	0	0	148	0	89	118	0	169	0	287	190	81	0	0	0
Vat1	62.291667	0	0	0	0	0	0	0	0	0	0	0	0	278	0	163	107	99	190	171	136	204	0	0	147	0
Rnd2	62.291667	0	0	0	0	0	0	0	0	0	0	0	0	278	0	163	107	99	190	171	136	204	0	0	147	0
Prpsap2	62.291667	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	297	182	268	327	81	0	208	0
Ift57	62.291667	0	0	0	0	0	0	0	0	0	0	0	0	183	0	115	0	0	287	178	248	353	0	0	131	0
Dusp5	62.291667	208	0	0	0	0	0	0	0	0	0	0	0	0	0	116	121	0	170	175	272	296	137	0	0	0
Ghdc	62.250000	0	0	0	0	0	0	0	0	105	0	0	0	246	0	0	87	0	146	170	151	287	160	0	142	0
Cxxc1	62.250000	0	0	0	0	0	0	0	0	100	0	0	0	189	0	128	126	99	130	186	100	123	167	0	146	0
Cdh12	62.250000	0	246	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	309	421	0	0
Zfp54	62.208333	0	0	0	0	0	0	0	0	124	0	0	0	194	0	237	118	132	137	205	166	180	0	0	0	0
Sh3bp5	62.208333	350	0	0	0	0	0	0	0	165	0	0	0	0	0	91	0	0	238	109	164	242	0	0	134	0
Prickle4	62.208333	0	0	0	0	0	0	0	0	148	0	0	0	111	0	101	0	0	155	185	259	218	149	0	167	0
Mon1a	62.208333	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	67	293	295	356	321	0	0	95	0
Mcur1	62.208333	0	0	0	0	0	0	0	0	0	0	0	0	285	0	158	0	0	184	207	296	254	0	0	109	0
Gmppb	62.208333	0	0	0	0	0	0	0	0	0	0	0	0	404	0	350	0	0	156	0	150	262	0	0	171	0
Frs3	62.208333	0	0	0	0	0	0	0	0	148	0	0	0	111	0	101	0	0	155	185	259	218	149	0	167	0
Eef2kmt	62.208333	0	0	0	0	0	0	0	0	0	0	0	0	278	0	204	0	67	150	148	160	185	99	0	202	0
Amigo3	62.208333	0	0	0	0	0	0	0	0	0	0	0	0	404	0	350	0	0	156	0	150	262	0	0	171	0
Nkiras2	62.166667	0	0	0	0	0	0	0	0	0	0	0	0	305	0	118	0	0	212	232	250	240	135	0	0	0
Cerk	62.166667	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	117	0	331	197	324	299	0	0	0	0
Ankrd54	62.166667	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	88	96	207	371	243	285	91	0	0	0
Rhoq	62.125000	298	0	0	0	0	0	0	0	252	0	0	0	155	0	0	0	92	152	123	0	198	108	0	113	0
Rassf8	62.125000	0	0	0	0	0	0	0	0	92	0	0	0	101	0	135	0	130	172	107	0	165	211	0	378	0
Cdca7	62.125000	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	116	183	174	218	178	214	164	0	160	0
Ankrd12	62.125000	0	0	0	0	0	0	0	0	0	0	0	0	183	0	205	107	78	244	161	199	205	109	0	0	0
Tube1	62.083333	0	0	0	0	0	0	0	0	0	0	0	0	137	0	103	167	0	298	169	204	287	0	0	125	0
Fam229b	62.083333	0	0	0	0	0	0	0	0	0	0	0	0	137	0	103	167	0	298	169	204	287	0	0	125	0
Dchs2	62.083333	162	0	0	0	188	0	0	0	0	0	0	0	469	0	158	0	0	0	0	0	0	513	0	0	0
Spag1	62.041667	597	0	0	0	0	0	0	0	0	0	0	0	387	0	285	0	0	119	101	0	0	0	0	0	0
Polr2k	62.041667	597	0	0	0	0	0	0	0	0	0	0	0	387	0	285	0	0	119	101	0	0	0	0	0	0
Mex3c	62.041667	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	172	291	289	318	0	0	304	0
Krcc1	62.041667	0	0	0	0	0	0	0	0	253	163	0	0	0	0	0	0	119	273	0	219	134	204	0	124	0
Jdp2	62.041667	0	0	0	0	0	0	0	0	167	0	0	0	184	0	109	188	0	190	162	0	242	148	0	99	0
Upk3bl	62.000000	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	145	146	166	338	360	140	0	0	0
Prr14l	62.000000	0	0	0	0	0	0	0	0	192	0	0	0	143	0	93	0	0	233	225	272	330	0	0	0	0
Dnm1l	62.000000	0	0	0	0	0	0	0	0	0	0	0	0	147	0	114	118	70	189	215	136	389	110	0	0	0
Bcar1	62.000000	0	0	0	0	0	0	0	0	131	0	0	0	101	0	0	256	149	245	131	104	194	177	0	0	0
Safb2	61.916667	165	0	0	0	0	0	0	0	0	0	0	0	572	0	598	0	0	0	0	0	0	0	0	151	0
Safb	61.916667	165	0	0	0	0	0	0	0	0	0	0	0	572	0	598	0	0	0	0	0	0	0	0	151	0
Mpc2	61.916667	0	0	0	0	0	0	0	0	134	0	0	0	89	0	140	0	0	202	163	351	310	0	0	97	0
Dcaf6	61.916667	0	0	0	0	0	0	0	0	134	0	0	0	89	0	140	0	0	202	163	351	310	0	0	97	0
Rel	61.875000	0	0	0	0	0	0	0	0	131	0	0	0	128	0	182	0	102	256	0	119	126	179	0	262	0
Lrrc8b	61.875000	0	0	0	0	0	0	0	0	119	0	0	0	124	0	0	120	137	217	257	237	274	0	0	0	0
Atat1	61.875000	0	0	0	0	0	0	0	0	0	0	0	0	125	0	242	117	93	195	191	174	97	0	0	251	0
Rhbdd3	61.833333	0	0	0	0	0	0	0	0	139	0	0	0	86	0	89	95	84	125	273	250	253	90	0	0	0
Hdac11	61.833333	0	0	0	0	0	0	0	0	203	0	0	0	105	0	106	65	0	204	168	187	266	0	0	180	0
Ewsr1	61.833333	0	0	0	0	0	0	0	0	139	0	0	0	86	0	89	95	84	125	273	250	253	90	0	0	0
Cul2	61.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	195	199	364	150	244	104	0	0	0
Anpep	61.833333	0	0	0	0	0	0	0	0	0	0	0	0	191	0	229	0	173	0	314	185	257	135	0	0	0
Ogt	61.791667	145	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	236	301	373	281	0	0	0	0
H1f4	61.791667	0	0	0	0	0	0	0	0	135	96	0	0	133	0	101	158	211	107	124	177	103	138	0	0	0
Gna12	61.791667	0	0	0	0	0	0	0	0	0	0	0	0	96	0	109	0	0	223	125	366	318	143	0	103	0
Ube3c	61.750000	0	0	0	0	0	0	0	0	0	0	0	0	188	0	143	106	102	175	136	216	155	261	0	0	0
H3c2	61.750000	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	315	0	0	227	152	368	223	0	0	0
H2ac4	61.750000	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	315	0	0	227	152	368	223	0	0	0
Cldn7	61.750000	0	0	0	0	0	0	0	0	376	301	0	0	139	0	105	0	0	0	0	125	242	194	0	0	0
Sh3pxd2b	61.708333	0	0	0	0	0	0	0	0	200	123	112	0	0	0	0	140	0	136	99	184	184	168	0	135	0
Hapln1	61.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	215	214	277	128	169	145	0	0	0
Cox5b	61.708333	0	0	0	0	0	0	0	0	123	0	0	0	165	0	116	84	0	125	124	265	280	0	0	199	0
Sptbn4	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	362	0	232	0	0	138	195	156	177	0	0	220	0
Nop10	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	240	0	210	0	0	227	154	161	300	188	0	0	0
Hspb2	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	418	168	359	320	0	0	0	0
Dpt	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	228	325	320	306	0	0	0	0
Cryab	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	418	168	359	320	0	0	0	0
Cmtr2	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	159	0	294	0	119	142	234	157	237	0	0	138	0
Bnip3l	61.666667	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	165	226	223	224	134	0	265	0
Itgb7	61.625000	352	147	112	0	0	0	0	0	0	0	0	0	301	0	165	0	162	0	0	162	78	0	0	0	0
Tpmt	61.583333	0	0	0	0	0	0	0	0	147	0	0	0	77	0	0	0	95	286	143	181	256	0	0	293	0
Pitx3	61.583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	372	357	287	359	0	0	0	0
Kdm1b	61.583333	0	0	0	0	0	0	0	0	147	0	0	0	77	0	0	0	95	286	143	181	256	0	0	293	0
Gbf1	61.583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	372	357	287	359	0	0	0	0
Abi2	61.583333	0	0	0	0	0	0	0	0	188	108	0	0	433	0	339	0	0	157	0	0	0	253	0	0	0
Tbl2	61.541667	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	329	221	317	213	0	0	250	0
Stx7	61.500000	0	0	0	0	0	0	0	0	0	0	0	0	217	0	128	0	119	188	159	267	175	108	0	115	0
Rfx1	61.500000	0	0	0	0	0	0	0	0	82	0	0	0	185	0	135	0	0	192	320	199	247	0	0	116	0
Hdhd3	61.500000	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	111	134	265	398	168	274	0	0	0	0
Clp1	61.500000	0	0	0	0	0	0	0	0	130	0	0	0	175	0	96	97	0	153	223	236	249	0	0	117	0
Tcte2	61.458333	121	0	0	0	0	0	0	0	131	0	0	0	134	0	104	0	0	318	0	183	180	157	0	147	0
Crk	61.458333	0	0	0	0	0	0	0	0	0	0	0	0	465	0	280	0	0	172	252	0	159	147	0	0	0
Anxa10	61.458333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	333	88	165	157	341	188	0	0	0
Prkaca	61.416667	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	164	0	287	297	177	268	141	0	0	0
Vwa2	61.375000	0	0	0	0	0	0	0	0	0	0	0	0	170	0	83	0	104	406	234	238	238	0	0	0	0
Scpep1	61.375000	0	0	0	0	0	0	0	0	0	0	0	0	205	0	138	0	0	293	237	317	181	0	0	102	0
Rabl6	61.375000	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	93	126	210	181	236	257	200	0	0	0
Anapc7	61.375000	0	0	0	0	0	0	0	0	96	0	0	0	368	0	141	0	104	123	152	101	246	0	0	142	0
Sprr1a	61.333333	0	71	0	0	0	0	0	0	131	0	0	0	0	0	0	160	323	0	152	110	191	210	0	124	0
Psmd12	61.333333	0	0	0	0	0	0	0	0	141	0	0	0	180	0	152	101	85	183	0	179	294	0	0	157	0
Armc7	61.333333	0	0	0	0	0	0	0	0	124	0	0	0	144	0	0	102	0	238	226	226	276	0	0	136	0
Alg6	61.333333	0	0	0	0	0	0	0	0	150	106	0	0	0	0	0	80	0	369	107	324	211	0	0	125	0
Vmac	61.291667	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	89	0	222	295	244	264	105	0	81	0
Prpf38a	61.291667	575	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	199	170	134	168	0	0	97	0
Pip4k2c	61.291667	0	0	0	0	0	0	0	0	150	108	0	0	213	0	128	127	0	140	139	140	185	141	0	0	0
Orc1	61.291667	575	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	199	170	134	168	0	0	97	0
Ndufa11	61.291667	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	89	0	222	295	244	264	105	0	81	0
A930018P22Rik	61.291667	947	0	0	0	0	0	0	0	124	81	0	0	155	0	0	0	0	0	0	0	0	0	0	164	0
Wdr47	61.250000	0	0	0	0	0	0	0	0	317	0	0	0	92	0	81	0	97	189	168	194	241	0	0	91	0
Tmem79	61.250000	0	0	0	0	0	0	0	0	274	146	0	0	238	0	151	0	0	0	166	122	209	90	0	74	0
Spag7	61.250000	0	0	0	0	0	0	0	0	107	0	0	0	115	0	0	0	0	339	275	286	201	147	0	0	0
Smg5	61.250000	0	0	0	0	0	0	0	0	274	146	0	0	238	0	151	0	0	0	166	122	209	90	0	74	0
Herc2	61.250000	0	0	0	0	0	0	0	0	108	0	0	0	121	0	0	115	0	312	217	239	231	127	0	0	0
Gm27021	61.250000	0	0	0	0	0	0	0	0	102	0	0	0	198	0	112	0	154	125	87	122	126	173	0	271	0
Emc8	61.250000	0	0	0	0	0	0	0	0	102	0	0	0	198	0	112	0	154	125	87	122	126	173	0	271	0
Cox4i1	61.250000	0	0	0	0	0	0	0	0	102	0	0	0	198	0	112	0	154	125	87	122	126	173	0	271	0
Ak3	61.250000	185	0	0	0	0	0	0	0	0	0	0	0	166	0	0	144	71	243	159	193	226	83	0	0	0
Rab29	61.208333	129	0	0	0	0	0	0	0	0	0	0	0	420	0	229	107	77	0	86	123	210	88	0	0	0
Hspa8	61.208333	0	0	0	0	0	0	0	0	147	0	0	0	0	0	80	118	96	304	174	243	307	0	0	0	0
Atxn7l2	61.208333	0	0	0	0	0	0	0	0	127	0	206	0	175	0	0	0	0	135	282	132	217	195	0	0	0
Atp5e	61.208333	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	123	117	213	148	219	269	109	0	144	0
Sytl3	61.166667	806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	171	170	153	0	0	0	0
Gpr155	61.166667	0	0	0	0	0	0	0	0	75	0	0	0	0	0	120	0	0	306	218	215	236	0	0	298	0
Zfp664	61.125000	0	0	0	0	0	0	0	0	150	0	0	0	165	0	190	0	0	157	115	173	194	95	0	228	0
Fxyd3	61.125000	0	0	144	0	0	0	0	0	465	331	0	0	282	0	245	0	0	0	0	0	0	0	0	0	0
Ccdc92	61.125000	0	0	0	0	0	0	0	0	150	0	0	0	165	0	190	0	0	157	115	173	194	95	0	228	0
Tsg101	61.083333	0	0	0	0	0	0	0	0	94	0	0	0	100	0	0	138	114	209	194	172	351	94	0	0	0
Bahcc1	61.083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	536	179	380	177	0	0	0
Nepro	61.041667	0	0	0	0	0	0	0	0	0	0	0	0	100	0	62	184	118	106	129	125	233	130	0	278	0
Hbp1	61.041667	0	0	0	0	0	0	0	0	0	0	0	0	280	0	228	106	0	129	172	133	296	121	0	0	0
Trim37	61.000000	0	0	0	0	0	0	0	0	202	105	0	0	261	0	144	117	0	0	0	277	169	0	0	189	0
Tmco1	61.000000	0	0	0	0	0	0	0	0	0	0	0	0	314	0	187	0	0	190	318	190	265	0	0	0	0
Spic	60.958333	0	0	0	0	0	0	0	0	0	0	0	0	998	0	465	0	0	0	0	0	0	0	0	0	0
Nus1	60.958333	108	0	0	0	0	0	0	0	95	0	0	0	120	0	120	0	0	275	216	244	285	0	0	0	0
Lce3d	60.958333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	151	227	234	284	369	111	0	0	0
Cbx1	60.958333	0	0	0	0	0	0	0	0	0	0	0	0	256	0	328	0	0	212	147	125	240	0	0	155	0
Trim3	60.916667	0	0	0	0	0	0	0	0	138	173	0	0	136	0	0	0	0	189	0	194	204	143	0	285	0
Tdp1	60.916667	0	0	0	0	0	0	0	0	158	0	0	0	155	0	151	139	126	114	110	189	208	112	0	0	0
Rpl32	60.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	82	209	199	209	260	134	0	171	0
Rnf113a2	60.916667	0	0	0	0	0	0	0	0	0	0	0	0	800	0	662	0	0	0	0	0	0	0	0	0	0
Gzf1	60.916667	169	0	0	0	0	0	0	0	0	0	0	0	410	0	463	0	0	114	87	0	107	0	0	112	0
Efcab11	60.916667	0	0	0	0	0	0	0	0	158	0	0	0	155	0	151	139	126	114	110	189	208	112	0	0	0
Ttll13	60.875000	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	266	281	351	328	0	0	106	0
Stx1a	60.875000	0	0	0	0	0	0	0	0	0	81	0	0	229	0	266	113	173	128	135	0	144	192	0	0	0
Slc35b3	60.875000	0	0	0	0	0	0	0	0	0	0	0	0	143	0	241	156	106	171	98	235	174	0	0	137	0
Nedd4l	60.833333	0	0	0	0	0	0	0	0	147	0	0	0	365	0	373	0	0	139	0	0	201	235	0	0	0
Cdkn2c	60.833333	0	0	0	0	0	0	0	0	133	73	0	0	373	0	131	0	0	151	0	178	111	214	0	96	0
Ankrd13c	60.833333	0	0	0	0	0	0	0	0	0	0	0	0	282	0	340	0	0	136	256	185	155	0	0	106	0
Pmpca	60.791667	0	0	0	0	0	0	0	0	0	0	0	0	370	0	155	119	0	182	0	164	196	273	0	0	0
Pdik1l	60.791667	0	0	0	0	0	0	0	0	0	0	0	0	337	0	264	0	97	129	100	190	185	157	0	0	0
Kdm5c	60.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	145	158	294	261	218	120	0	147	0
Entr1	60.791667	0	0	0	0	0	0	0	0	0	0	0	0	370	0	155	119	0	182	0	164	196	273	0	0	0
Bbs9	60.791667	0	0	0	0	0	0	0	0	107	0	0	0	163	0	198	0	0	153	197	128	313	0	0	200	0
Zfp553	60.750000	0	0	0	0	0	0	0	0	214	0	0	0	199	0	0	0	177	163	141	164	171	229	0	0	0
Leprot	60.750000	0	0	0	0	0	0	0	0	0	0	0	0	352	0	161	215	0	100	156	0	106	203	0	165	0
Abcd4	60.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	276	347	214	337	149	0	0	0
Wdr95	60.708333	124	0	0	0	0	0	0	0	125	0	0	0	0	0	0	120	0	195	163	205	223	177	0	125	0
Tfap2c	60.708333	0	0	0	0	0	0	0	0	0	0	0	0	717	0	740	0	0	0	0	0	0	0	0	0	0
Spen	60.708333	219	0	0	0	0	0	0	0	0	0	0	0	228	0	131	0	0	254	135	215	187	0	0	88	0
Rgmb	60.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	119	262	230	222	434	111	0	0	0
Orc4	60.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	246	249	221	344	0	0	236	0
Mbd5	60.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	246	249	221	344	0	0	236	0
Clic4	60.666667	379	0	0	0	0	0	0	0	135	0	0	0	100	0	164	0	0	169	90	152	146	0	0	121	0
Pnp	60.625000	0	0	0	0	0	0	0	0	171	0	0	0	138	0	0	113	82	215	214	200	234	0	0	88	0
Prkca	60.583333	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	104	294	271	226	340	0	0	115	0
B3gnt9	60.583333	0	0	0	0	0	0	0	0	86	0	0	0	303	0	320	0	0	0	164	97	204	143	0	137	0
