Target_genes	Zbtb17|Average	SRX543056|70Z/3	SRX3113700|B_cells	SRX821473|Medulloblastoma	SRX821476|Medulloblastoma	SRX821479|Medulloblastoma	SRX3113698|MEF	SRX543048|P6D4	STRING
Mtx3	45.714286	0	177	143	0	0	0	0	0
Mfsd2a	45.714286	0	0	320	0	0	0	0	0
Acsl5	45.714286	0	0	218	102	0	0	0	0
Zfhx4	45.571429	0	0	154	165	0	0	0	0
Tpgs1	45.571429	0	150	169	0	0	0	0	0
Ssrp1	45.571429	0	0	232	0	87	0	0	0
Sra1	45.571429	0	0	142	113	64	0	0	0
Sipa1l1	45.571429	0	207	112	0	0	0	0	0
Serp1	45.571429	0	319	0	0	0	0	0	0
P2rx3	45.571429	0	0	232	0	87	0	0	0
Olfr288	45.571429	0	0	0	0	0	0	319	0
Nudt1	45.571429	0	0	148	0	171	0	0	0
Nat8f4	45.571429	0	0	127	0	192	0	0	0
Madcam1	45.571429	0	150	169	0	0	0	0	0
Fam81a	45.571429	0	0	0	319	0	0	0	0
Eif2a	45.571429	0	319	0	0	0	0	0	0
Clk4	45.571429	0	198	121	0	0	0	0	0
BC049762	45.571429	0	198	121	0	0	0	0	0
Aurkaip1	45.571429	0	182	137	0	0	0	0	0
Arf2	45.571429	0	319	0	0	0	0	0	0
Actn2	45.571429	0	0	0	319	0	0	0	0
Snca	45.428571	0	0	137	0	181	0	0	0
Slc35f6	45.428571	0	0	222	0	96	0	0	0
Rack1	45.428571	0	132	0	0	186	0	0	0
Pold2	45.428571	0	93	83	0	142	0	0	0
Lrrc20	45.428571	0	0	161	0	157	0	0	0
Epc1	45.428571	0	116	202	0	0	0	0	0
Cetn4	45.428571	0	0	223	0	95	0	0	0
C1qtnf5	45.428571	0	0	132	0	186	0	0	0
Bbs12	45.428571	0	0	223	0	95	0	0	0
AI467606	45.428571	0	197	121	0	0	0	0	0
Zfp420	45.285714	0	0	138	0	179	0	0	0
Trpc3	45.285714	0	0	110	0	207	0	0	0
Selenoi	45.285714	0	142	175	0	0	0	0	0
Samhd1	45.285714	0	0	198	0	119	0	0	0
Ptar1	45.285714	0	0	0	162	155	0	0	0
Klhl35	45.285714	0	0	162	0	155	0	0	0
Gtf2e2	45.285714	0	0	317	0	0	0	0	0
Ccna2	45.285714	0	0	317	0	0	0	0	0
Camk2n1	45.285714	0	0	214	0	103	0	0	0
BC051142	45.285714	0	207	110	0	0	0	0	0
Alad	45.285714	0	142	175	0	0	0	0	0
Smarcal1	45.142857	0	130	186	0	0	0	0	0
Scoc	45.142857	0	214	102	0	0	0	0	0
Rnf38	45.142857	0	0	119	0	197	0	0	0
Rhof	45.142857	0	110	206	0	0	0	0	0
Rab5if	45.142857	0	0	316	0	0	0	0	0
Pfn2	45.142857	0	0	316	0	0	0	0	0
Pde1b	45.142857	0	0	122	0	194	0	0	0
Osbp2	45.142857	0	0	234	0	82	0	0	0
Kcnab1	45.142857	0	0	0	139	177	0	0	0
Inppl1	45.142857	0	0	202	0	114	0	0	0
Fam241b	45.142857	0	0	210	106	0	0	0	0
Dusp26	45.142857	0	0	316	0	0	0	0	0
Clip3	45.142857	0	0	167	0	149	0	0	0
Cep170	45.142857	0	186	130	0	0	0	0	0
Cbx1	45.142857	0	209	0	0	107	0	0	0
Zfp521	45.000000	0	0	315	0	0	0	0	0
Zar1l	45.000000	0	0	164	0	151	0	0	0
Sfrp2	45.000000	0	0	315	0	0	0	0	0
Ppip5k2	45.000000	0	315	0	0	0	0	0	0
Glipr1l1	45.000000	0	0	315	0	0	0	0	0
Gin1	45.000000	0	315	0	0	0	0	0	0
Dyrk1a	45.000000	0	0	162	0	153	0	0	0
Cog7	45.000000	0	0	315	0	0	0	0	0
Brca2	45.000000	0	0	164	0	151	0	0	0
Ankle2	45.000000	0	0	315	0	0	0	0	0
Zc3h11a	44.857143	0	0	168	0	146	0	0	0
Zbed6	44.857143	0	0	168	0	146	0	0	0
Uqcrb	44.857143	0	0	314	0	0	0	0	0
Trip11	44.857143	0	314	0	0	0	0	0	0
Tcerg1	44.857143	0	175	139	0	0	0	0	0
Prdx1	44.857143	0	196	118	0	0	0	0	0
Nudt5	44.857143	0	0	314	0	0	0	0	0
Mea1	44.857143	0	133	181	0	0	0	0	0
L2hgdh	44.857143	0	314	0	0	0	0	0	0
Klhdc3	44.857143	0	133	181	0	0	0	0	0
Gucy1b1	44.857143	0	0	140	0	174	0	0	0
Gm10767	44.857143	0	0	314	0	0	0	0	0
Get1	44.857143	0	0	314	0	0	0	0	0
Esrrg	44.857143	0	0	193	121	0	0	0	0
Eif6	44.857143	0	314	0	0	0	0	0	0
Dmac2l	44.857143	0	314	0	0	0	0	0	0
Cdc123	44.857143	0	0	314	0	0	0	0	0
Actr3b	44.857143	0	0	314	0	0	0	0	0
1700066B19Rik	44.857143	0	0	314	0	0	0	0	0
Trim68	44.714286	0	313	0	0	0	0	0	0
Tceal8	44.714286	0	0	313	0	0	0	0	0
Rilpl1	44.714286	0	0	149	0	164	0	0	0
Rbm4	44.714286	0	206	107	0	0	0	0	0
Rab17	44.714286	0	0	224	0	89	0	0	0
Pkib	44.714286	0	313	0	0	0	0	0	0
Nucb1	44.714286	0	196	117	0	0	0	0	0
Kit	44.714286	0	0	313	0	0	0	0	0
Ildr2	44.714286	0	0	0	0	313	0	0	0
Btn1a1	44.714286	0	0	313	0	0	0	0	0
Uqcc2	44.571429	0	155	157	0	0	0	0	0
Ttll5	44.571429	0	142	170	0	0	0	0	0
Tnfrsf19	44.571429	0	0	185	0	127	0	0	0
Stac2	44.571429	0	0	178	0	134	0	0	0
Sertad4	44.571429	0	0	189	123	0	0	0	0
Rad51	44.571429	0	193	119	0	0	0	0	0
Pitrm1	44.571429	0	312	0	0	0	0	0	0
Fam193b	44.571429	0	0	312	0	0	0	0	0
Erg28	44.571429	0	142	170	0	0	0	0	0
Ccdc141	44.571429	0	0	312	0	0	0	0	0
Begain	44.571429	0	0	312	0	0	0	0	0
Alg9	44.571429	0	0	141	171	0	0	0	0
Vstm2l	44.428571	0	0	311	0	0	0	0	0
Ska1	44.428571	0	311	0	0	0	0	0	0
Mllt3	44.428571	0	0	311	0	0	0	0	0
Dram1	44.428571	0	311	0	0	0	0	0	0
Cplx3	44.428571	0	0	120	0	191	0	0	0
Ccer2	44.428571	0	0	204	0	107	0	0	0
Arhgap9	44.428571	0	311	0	0	0	0	0	0
Ampd3	44.428571	0	0	311	0	0	0	0	0
Zc3h8	44.285714	0	124	186	0	0	0	0	0
Tnxb	44.285714	0	0	310	0	0	0	0	0
Tmem37	44.285714	0	0	0	143	167	0	0	0
Timm8a1	44.285714	0	0	310	0	0	0	0	0
Tgfbr3l	44.285714	0	0	310	0	0	0	0	0
Tbc1d22a	44.285714	0	0	310	0	0	0	0	0
Snapc2	44.285714	0	0	310	0	0	0	0	0
Rnf141	44.285714	0	218	92	0	0	0	0	0
Myl6b	44.285714	0	310	0	0	0	0	0	0
Myl6	44.285714	0	310	0	0	0	0	0	0
Fam110a	44.285714	0	0	0	310	0	0	0	0
Ddx1	44.285714	0	0	147	163	0	0	0	0
Chchd5	44.285714	0	0	182	0	128	0	0	0
Atrn	44.285714	0	0	310	0	0	0	0	0
1700012B09Rik	44.285714	0	0	310	0	0	0	0	0
Zfp451	44.142857	0	0	192	0	117	0	0	0
Slamf8	44.142857	0	0	0	0	309	0	0	0
Polm	44.142857	0	185	124	0	0	0	0	0
Phb	44.142857	0	309	0	0	0	0	0	0
Olfm1	44.142857	0	0	144	0	165	0	0	0
Eif4ebp2	44.142857	0	309	0	0	0	0	0	0
Ankrd61	44.142857	0	0	0	309	0	0	0	0
Zfp385b	44.000000	0	0	308	0	0	0	0	0
Xrcc6	44.000000	0	308	0	0	0	0	0	0
Ube2j2	44.000000	0	0	156	0	152	0	0	0
Slc25a42	44.000000	0	92	216	0	0	0	0	0
Rpl37a	44.000000	0	0	308	0	0	0	0	0
Ptpn23	44.000000	0	308	0	0	0	0	0	0
Pdcd4	44.000000	0	191	0	117	0	0	0	0
Pcsk9	44.000000	0	0	308	0	0	0	0	0
Katna1	44.000000	0	308	0	0	0	0	0	0
Desi1	44.000000	0	308	0	0	0	0	0	0
Dennd4a	44.000000	0	308	0	0	0	0	0	0
Cnot3	44.000000	0	308	0	0	0	0	0	0
Ccdc9	44.000000	0	308	0	0	0	0	0	0
Cacna1s	44.000000	0	0	147	161	0	0	0	0
Ascl5	44.000000	0	0	147	161	0	0	0	0
Usp35	43.857143	0	168	139	0	0	0	0	0
Slc35c1	43.857143	0	90	217	0	0	0	0	0
Slc35b3	43.857143	0	0	157	150	0	0	0	0
Mocs1	43.857143	0	182	125	0	0	0	0	0
Mnd1	43.857143	0	147	160	0	0	0	0	0
Kctd21	43.857143	0	168	139	0	0	0	0	0
Gzf1	43.857143	0	0	122	0	185	0	0	0
Dnaja4	43.857143	0	0	307	0	0	0	0	0
Copg2	43.857143	0	0	0	0	307	0	0	0
Zscan20	43.714286	0	306	0	0	0	0	0	0
Zfp273	43.714286	0	0	306	0	0	0	0	0
Wnk2	43.714286	0	0	306	0	0	0	0	0
Vax1	43.714286	0	0	306	0	0	0	0	0
Trim46	43.714286	0	0	216	0	90	0	0	0
Trhr2	43.714286	0	0	0	306	0	0	0	0
Map2k1	43.714286	0	306	0	0	0	0	0	0
Knstrn	43.714286	0	0	306	0	0	0	0	0
Atg7	43.714286	0	142	164	0	0	0	0	0
Sox2	43.571429	0	0	193	0	112	0	0	0
Nek3	43.571429	0	305	0	0	0	0	0	0
Hps6	43.571429	0	305	0	0	0	0	0	0
Armh3	43.571429	0	305	0	0	0	0	0	0
Zbtb43	43.428571	0	168	0	136	0	0	0	0
Sh3gl2	43.428571	0	0	304	0	0	0	0	0
Pabpc4	43.428571	0	304	0	0	0	0	0	0
Ocrl	43.428571	0	304	0	0	0	0	0	0
Dapk1	43.428571	0	0	304	0	0	0	0	0
Cox18	43.428571	0	168	136	0	0	0	0	0
Abhd17a	43.428571	0	304	0	0	0	0	0	0
1600014C23Rik	43.428571	0	0	304	0	0	0	0	0
Xrn1	43.285714	0	303	0	0	0	0	0	0
Ssr3	43.285714	0	133	170	0	0	0	0	0
Slc39a10	43.285714	0	197	106	0	0	0	0	0
Scx	43.285714	0	0	0	303	0	0	0	0
Ifi30	43.285714	0	181	122	0	0	0	0	0
Akap1	43.285714	0	0	303	0	0	0	0	0
Zfp687	43.142857	0	157	145	0	0	0	0	0
Tmem65	43.142857	0	186	116	0	0	0	0	0
Pfkfb3	43.142857	0	0	172	0	130	0	0	0
Pan3	43.142857	0	125	177	0	0	0	0	0
Kpna3	43.142857	0	302	0	0	0	0	0	0
Dnajc18	43.142857	0	0	302	0	0	0	0	0
Ctnna2	43.142857	0	0	167	0	135	0	0	0
Alkbh3	43.142857	0	0	147	0	155	0	0	0
Abcb1b	43.142857	0	109	0	193	0	0	0	0
Upk2	43.000000	0	0	301	0	0	0	0	0
Trnau1ap	43.000000	0	0	301	0	0	0	0	0
Tm9sf4	43.000000	0	301	0	0	0	0	0	0
Slc25a36	43.000000	0	78	126	97	0	0	0	0
Sim2	43.000000	0	0	0	301	0	0	0	0
Ogfod1	43.000000	0	156	145	0	0	0	0	0
Oat	43.000000	0	167	0	0	134	0	0	0
Nudt21	43.000000	0	156	145	0	0	0	0	0
Map4	43.000000	0	186	0	0	115	0	0	0
Hnrnpd	43.000000	0	0	301	0	0	0	0	0
Drp2	43.000000	0	0	0	0	301	0	0	0
Dlgap4	43.000000	0	0	301	0	0	0	0	0
Znrf1	42.857143	0	0	300	0	0	0	0	0
Zfp395	42.857143	0	0	165	0	135	0	0	0
Zan	42.857143	0	0	176	0	124	0	0	0
Thoc3	42.857143	0	0	300	0	0	0	0	0
Pdia6	42.857143	0	127	173	0	0	0	0	0
Kcnh6	42.857143	0	0	154	0	146	0	0	0
Epo	42.857143	0	0	176	0	124	0	0	0
Elp6	42.857143	0	0	300	0	0	0	0	0
Dctn1	42.857143	0	0	300	0	0	0	0	0
Cyb561	42.857143	0	0	0	300	0	0	0	0
Basp1	42.857143	0	168	132	0	0	0	0	0
Apoa1	42.857143	0	0	300	0	0	0	0	0
2310057N15Rik	42.857143	0	0	300	0	0	0	0	0
Zdhhc9	42.714286	0	299	0	0	0	0	0	0
Steap3	42.714286	0	0	299	0	0	0	0	0
Rusc2	42.714286	0	0	110	0	189	0	0	0
Myo1h	42.714286	0	0	106	193	0	0	0	0
Kcnk12	42.714286	0	0	123	176	0	0	0	0
Itpr1	42.714286	0	0	299	0	0	0	0	0
Esr1	42.714286	0	0	299	0	0	0	0	0
Blnk	42.714286	0	299	0	0	0	0	0	0
1700018B08Rik	42.714286	0	0	169	0	130	0	0	0
St3gal3	42.571429	0	0	106	0	192	0	0	0
Rwdd3	42.571429	0	159	139	0	0	0	0	0
Rad51c	42.571429	0	200	98	0	0	0	0	0
Prelid3a	42.571429	0	0	298	0	0	0	0	0
Ntm	42.571429	0	0	298	0	0	0	0	0
Klhl21	42.571429	0	298	0	0	0	0	0	0
Fcer2a	42.571429	0	298	0	0	0	0	0	0
Cttn	42.571429	0	0	298	0	0	0	0	0
Cdyl	42.571429	0	0	298	0	0	0	0	0
Cdc42ep3	42.571429	0	0	298	0	0	0	0	0
Bcl3	42.571429	0	298	0	0	0	0	0	0
Aggf1	42.571429	0	0	298	0	0	0	0	0
Agfg2	42.571429	0	298	0	0	0	0	0	0
Usp31	42.428571	0	0	297	0	0	0	0	0
Trmt61a	42.428571	0	0	297	0	0	0	0	0
Tmx4	42.428571	0	0	297	0	0	0	0	0
Syt11	42.428571	0	0	297	0	0	0	0	0
Slc35e4	42.428571	0	0	297	0	0	0	0	0
Rgl1	42.428571	0	297	0	0	0	0	0	0
Mcrs1	42.428571	0	184	113	0	0	0	0	0
Klf13	42.428571	0	182	115	0	0	0	0	0
Fign	42.428571	0	0	0	105	192	0	0	0
Dctn3	42.428571	0	0	210	0	87	0	0	0
Cdc25a	42.428571	0	297	0	0	0	0	0	0
B4galt5	42.428571	0	150	147	0	0	0	0	0
Arpc5	42.428571	0	297	0	0	0	0	0	0
Tgif1	42.285714	0	0	296	0	0	0	0	0
Rtf2	42.285714	0	186	110	0	0	0	0	0
Pnpla5	42.285714	0	0	296	0	0	0	0	0
Peli1	42.285714	0	0	102	0	194	0	0	0
Mdfi	42.285714	0	0	0	296	0	0	0	0
Lclat1	42.285714	0	296	0	0	0	0	0	0
Atg2a	42.285714	0	296	0	0	0	0	0	0
Mad2l1	42.142857	0	295	0	0	0	0	0	0
Imp3	42.142857	0	295	0	0	0	0	0	0
Heatr5b	42.142857	0	162	133	0	0	0	0	0
Gpatch11	42.142857	0	162	133	0	0	0	0	0
Exoc3	42.142857	0	140	155	0	0	0	0	0
Ube2j1	42.000000	0	0	294	0	0	0	0	0
Txndc12	42.000000	0	0	294	0	0	0	0	0
Surf4	42.000000	0	0	294	0	0	0	0	0
Stmn3	42.000000	0	0	158	0	136	0	0	0
Stkld1	42.000000	0	0	294	0	0	0	0	0
Spryd4	42.000000	0	0	211	83	0	0	0	0
Plekha8	42.000000	0	0	294	0	0	0	0	0
Ndufs3	42.000000	0	0	294	0	0	0	0	0
Lrpprc	42.000000	0	0	294	0	0	0	0	0
Kbtbd4	42.000000	0	0	294	0	0	0	0	0
Fkbp14	42.000000	0	0	294	0	0	0	0	0
Btf3l4	42.000000	0	0	294	0	0	0	0	0
Akap17b	42.000000	0	0	0	133	161	0	0	0
Usp49	41.857143	0	131	162	0	0	0	0	0
Slc35a4	41.857143	0	150	143	0	0	0	0	0
Slc17a7	41.857143	0	0	293	0	0	0	0	0
Ptp4a3	41.857143	0	0	293	0	0	0	0	0
Mis12	41.857143	0	163	130	0	0	0	0	0
Mapre1	41.857143	0	293	0	0	0	0	0	0
Gm17660	41.857143	0	146	147	0	0	0	0	0
Espn	41.857143	0	77	216	0	0	0	0	0
Eif4g1	41.857143	0	293	0	0	0	0	0	0
Dhx16	41.857143	0	0	293	0	0	0	0	0
Derl2	41.857143	0	163	130	0	0	0	0	0
Dctpp1	41.857143	0	293	0	0	0	0	0	0
Cnih4	41.857143	0	293	0	0	0	0	0	0
Asf1a	41.857143	0	0	293	0	0	0	0	0
Apbb3	41.857143	0	150	143	0	0	0	0	0
Apba1	41.857143	0	0	293	0	0	0	0	0
Zfp637	41.714286	0	0	292	0	0	0	0	0
Tmem28	41.714286	0	0	292	0	0	0	0	0
Prelid3b	41.714286	0	292	0	0	0	0	0	0
Mt1	41.714286	0	0	292	0	0	0	0	0
Atad3a	41.714286	0	0	292	0	0	0	0	0
Slc38a2	41.571429	0	0	291	0	0	0	0	0
Ptx3	41.571429	0	0	291	0	0	0	0	0
Ptprcap	41.571429	0	291	0	0	0	0	0	0
Plcg2	41.571429	0	291	0	0	0	0	0	0
Lrrc25	41.571429	0	291	0	0	0	0	0	0
Ireb2	41.571429	0	291	0	0	0	0	0	0
Elovl3	41.571429	0	142	0	149	0	0	0	0
Cit	41.571429	0	291	0	0	0	0	0	0
Cebpzos	41.571429	0	0	138	0	153	0	0	0
Atp8b5	41.571429	0	205	0	86	0	0	0	0
Alkbh6	41.571429	0	101	190	0	0	0	0	0
Slc44a2	41.428571	0	0	0	171	119	0	0	0
Ndufc2	41.428571	0	166	124	0	0	0	0	0
Mvb12a	41.428571	0	290	0	0	0	0	0	0
Filip1l	41.428571	0	290	0	0	0	0	0	0
Dock2	41.428571	0	290	0	0	0	0	0	0
Chadl	41.428571	0	0	290	0	0	0	0	0
Vldlr	41.285714	0	0	126	0	163	0	0	0
Rnf149	41.285714	0	0	158	0	131	0	0	0
Retreg2	41.285714	0	289	0	0	0	0	0	0
Pnisr	41.285714	0	0	289	0	0	0	0	0
Nhlrc2	41.285714	0	0	289	0	0	0	0	0
Dclre1a	41.285714	0	0	289	0	0	0	0	0
Dars2	41.285714	0	289	0	0	0	0	0	0
Ctdspl	41.285714	0	289	0	0	0	0	0	0
Cnppd1	41.285714	0	289	0	0	0	0	0	0
Actl6a	41.285714	0	289	0	0	0	0	0	0
Zfp277	41.142857	0	0	288	0	0	0	0	0
Unc5a	41.142857	0	0	288	0	0	0	0	0
Tsen54	41.142857	0	175	113	0	0	0	0	0
Serinc4	41.142857	0	288	0	0	0	0	0	0
Sdc1	41.142857	0	0	288	0	0	0	0	0
Rdh5	41.142857	0	0	288	0	0	0	0	0
Nphp4	41.142857	0	0	288	0	0	0	0	0
Kitl	41.142857	0	0	288	0	0	0	0	0
Kcnab2	41.142857	0	0	288	0	0	0	0	0
Hypk	41.142857	0	288	0	0	0	0	0	0
H1f8	41.142857	0	0	172	0	116	0	0	0
Gas2l1	41.142857	0	0	288	0	0	0	0	0
Fh1	41.142857	0	0	288	0	0	0	0	0
Fam221a	41.142857	0	158	130	0	0	0	0	0
Epm2a	41.142857	0	0	288	0	0	0	0	0
Dock4	41.142857	0	0	288	0	0	0	0	0
Dnajc24	41.142857	0	288	0	0	0	0	0	0
Degs2	41.142857	0	0	288	0	0	0	0	0
Cldn11	41.142857	0	0	288	0	0	0	0	0
Caskin2	41.142857	0	175	113	0	0	0	0	0
Bik	41.142857	0	0	288	0	0	0	0	0
Adra1d	41.142857	0	0	161	127	0	0	0	0
Vamp2	41.000000	0	154	133	0	0	0	0	0
Synj2bp	41.000000	0	0	92	0	195	0	0	0
Rev1	41.000000	0	0	287	0	0	0	0	0
Otud4	41.000000	0	0	287	0	0	0	0	0
Mertk	41.000000	0	0	146	0	141	0	0	0
Men1	41.000000	0	120	167	0	0	0	0	0
Ltb	41.000000	0	287	0	0	0	0	0	0
Ifi213	41.000000	0	287	0	0	0	0	0	0
Gm20498	41.000000	0	0	92	0	195	0	0	0
Zscan10	40.857143	0	78	208	0	0	0	0	0
Zfp219	40.857143	0	0	0	0	286	0	0	0
Zfp13	40.857143	0	78	208	0	0	0	0	0
Trrap	40.857143	0	132	154	0	0	0	0	0
Stom	40.857143	0	0	0	286	0	0	0	0
Smarcd3	40.857143	0	0	286	0	0	0	0	0
Padi4	40.857143	0	0	286	0	0	0	0	0
Mab21l1	40.857143	0	0	286	0	0	0	0	0
Kif12	40.857143	0	0	286	0	0	0	0	0
Hsd17b12	40.857143	0	286	0	0	0	0	0	0
Dnaaf2	40.857143	0	0	286	0	0	0	0	0
Zfp2	40.714286	0	0	285	0	0	0	0	0
Tmem178b	40.714286	0	0	285	0	0	0	0	0
Teddm1a	40.714286	0	0	0	141	144	0	0	0
Rab11b	40.714286	0	285	0	0	0	0	0	0
Nutf2	40.714286	0	0	192	0	93	0	0	0
Lig4	40.714286	0	0	285	0	0	0	0	0
Igf2bp3	40.714286	0	0	102	0	183	0	0	0
Ift22	40.714286	0	0	285	0	0	0	0	0
Gorasp2	40.714286	0	0	285	0	0	0	0	0
Fndc7	40.714286	0	0	0	0	285	0	0	0
Edem2	40.714286	0	0	160	0	125	0	0	0
Cebpa	40.714286	0	0	96	0	189	0	0	0
Abhd13	40.714286	0	0	285	0	0	0	0	0
Trim65	40.571429	0	0	284	0	0	0	0	0
Sinhcaf	40.571429	0	284	0	0	0	0	0	0
Plbd2	40.571429	0	0	284	0	0	0	0	0
Gpd2	40.571429	0	284	0	0	0	0	0	0
Depdc1a	40.571429	0	0	284	0	0	0	0	0
Ankle1	40.571429	0	0	284	0	0	0	0	0
Anapc5	40.571429	0	101	183	0	0	0	0	0
Ulk1	40.428571	0	0	283	0	0	0	0	0
Tspan11	40.428571	0	0	179	0	104	0	0	0
Tcf7l2	40.428571	0	0	114	169	0	0	0	0
Sorbs1	40.428571	0	0	0	283	0	0	0	0
Slu7	40.428571	0	283	0	0	0	0	0	0
Senp6	40.428571	0	283	0	0	0	0	0	0
Sec24c	40.428571	0	283	0	0	0	0	0	0
Mcc	40.428571	0	0	92	191	0	0	0	0
Lmo2	40.428571	0	0	283	0	0	0	0	0
Gm12253	40.428571	0	283	0	0	0	0	0	0
Glrx5	40.428571	0	0	283	0	0	0	0	0
Galk1	40.428571	0	283	0	0	0	0	0	0
Focad	40.428571	0	283	0	0	0	0	0	0
Fbxo9	40.428571	0	0	283	0	0	0	0	0
Ephb4	40.428571	0	0	0	151	132	0	0	0
Emp1	40.428571	0	0	168	115	0	0	0	0
Eln	40.428571	0	0	85	0	198	0	0	0
Dtx2	40.428571	0	283	0	0	0	0	0	0
Clybl	40.428571	0	131	0	0	152	0	0	0
Cilk1	40.428571	0	0	283	0	0	0	0	0
Chst5	40.428571	0	0	283	0	0	0	0	0
Vps33a	40.285714	0	0	157	0	0	0	125	0
Tub	40.285714	0	0	282	0	0	0	0	0
Tex22	40.285714	0	154	128	0	0	0	0	0
Sema4a	40.285714	0	282	0	0	0	0	0	0
Orai1	40.285714	0	282	0	0	0	0	0	0
Atp2c1	40.285714	0	0	0	0	282	0	0	0
Akap8l	40.285714	0	148	134	0	0	0	0	0
Zfp3	40.142857	0	0	281	0	0	0	0	0
Stap1	40.142857	0	281	0	0	0	0	0	0
Slitrk5	40.142857	0	0	152	0	129	0	0	0
Psmd9	40.142857	0	0	281	0	0	0	0	0
Klf6	40.142857	0	149	132	0	0	0	0	0
Glis2	40.142857	0	0	281	0	0	0	0	0
Fer	40.142857	0	160	0	0	121	0	0	0
Ckap2l	40.142857	0	281	0	0	0	0	0	0
Ccrl2	40.142857	0	281	0	0	0	0	0	0
Alpl	40.142857	0	0	0	112	169	0	0	0
Zfp69	40.000000	0	280	0	0	0	0	0	0
Snrnp48	40.000000	0	117	163	0	0	0	0	0
Scamp3	40.000000	0	280	0	0	0	0	0	0
Rpl36	40.000000	0	168	112	0	0	0	0	0
Rpl14	40.000000	0	0	280	0	0	0	0	0
Prps2	40.000000	0	205	75	0	0	0	0	0
Polr2b	40.000000	0	280	0	0	0	0	0	0
Pgrmc1	40.000000	0	133	147	0	0	0	0	0
Pebp1	40.000000	0	0	177	0	103	0	0	0
Olfr90	40.000000	0	205	75	0	0	0	0	0
Noa1	40.000000	0	280	0	0	0	0	0	0
Ndufv2	40.000000	0	0	149	0	131	0	0	0
Micos13	40.000000	0	168	112	0	0	0	0	0
Loxl1	40.000000	0	0	193	0	0	87	0	0
Gpr155	40.000000	0	133	147	0	0	0	0	0
Gopc	40.000000	0	0	280	0	0	0	0	0
Gm3488	40.000000	0	0	0	280	0	0	0	0
Gfra4	40.000000	0	0	176	104	0	0	0	0
Flvcr1	40.000000	0	0	280	0	0	0	0	0
Daam1	40.000000	0	0	280	0	0	0	0	0
Crim1	40.000000	0	0	148	0	132	0	0	0
Cdan1	40.000000	0	0	280	0	0	0	0	0
Bbc3	40.000000	0	0	135	0	145	0	0	0
Zfp362	39.857143	0	279	0	0	0	0	0	0
Srgap2	39.857143	0	185	94	0	0	0	0	0
Septin8	39.857143	0	0	141	0	138	0	0	0
Pramel1	39.857143	0	0	149	0	130	0	0	0
Pak4	39.857143	0	279	0	0	0	0	0	0
Nup133	39.857143	0	168	111	0	0	0	0	0
Lsg1	39.857143	0	279	0	0	0	0	0	0
Iqce	39.857143	0	167	112	0	0	0	0	0
Fam72a	39.857143	0	185	94	0	0	0	0	0
F2	39.857143	0	0	279	0	0	0	0	0
Cuedc1	39.857143	0	0	279	0	0	0	0	0
Brat1	39.857143	0	167	112	0	0	0	0	0
Zswim3	39.714286	0	155	123	0	0	0	0	0
Usf2	39.714286	0	0	278	0	0	0	0	0
Slc6a15	39.714286	0	0	122	156	0	0	0	0
Sgpp2	39.714286	0	0	0	278	0	0	0	0
Rspo2	39.714286	0	0	278	0	0	0	0	0
Rps12	39.714286	0	136	142	0	0	0	0	0
Rbm14	39.714286	0	278	0	0	0	0	0	0
Nup210	39.714286	0	149	129	0	0	0	0	0
Mrpl40	39.714286	0	278	0	0	0	0	0	0
Kat5	39.714286	0	0	278	0	0	0	0	0
Hira	39.714286	0	278	0	0	0	0	0	0
Gm973	39.714286	0	0	278	0	0	0	0	0
Gm21992	39.714286	0	278	0	0	0	0	0	0
Acot8	39.714286	0	155	123	0	0	0	0	0
Zfp850	39.571429	0	277	0	0	0	0	0	0
Tmem256	39.571429	0	0	153	0	124	0	0	0
Srsf12	39.571429	0	0	277	0	0	0	0	0
Rac2	39.571429	0	277	0	0	0	0	0	0
Pkn1	39.571429	0	277	0	0	0	0	0	0
Nlgn2	39.571429	0	0	153	0	124	0	0	0
Mms22l	39.571429	0	0	277	0	0	0	0	0
Ly96	39.571429	0	163	114	0	0	0	0	0
Isg15	39.571429	0	181	96	0	0	0	0	0
Grik2	39.571429	0	0	277	0	0	0	0	0
Eif3c	39.571429	0	171	106	0	0	0	0	0
Cep55	39.571429	0	277	0	0	0	0	0	0
Calr	39.571429	0	277	0	0	0	0	0	0
Armcx3	39.571429	0	0	277	0	0	0	0	0
Zic5	39.428571	0	0	0	0	276	0	0	0
Xylb	39.428571	0	0	141	135	0	0	0	0
Tmc4	39.428571	0	0	276	0	0	0	0	0
Slc38a3	39.428571	0	0	276	0	0	0	0	0
Plekhb1	39.428571	0	0	115	0	161	0	0	0
Mff	39.428571	0	0	276	0	0	0	0	0
Gm8369	39.428571	0	276	0	0	0	0	0	0
Ehd3	39.428571	0	0	276	0	0	0	0	0
Cfap43	39.428571	0	0	154	122	0	0	0	0
Aicda	39.428571	0	0	0	0	276	0	0	0
Vps26b	39.285714	0	0	275	0	0	0	0	0
Usp39	39.285714	0	0	275	0	0	0	0	0
Tnpo2	39.285714	0	0	275	0	0	0	0	0
Thnsl2	39.285714	0	0	148	0	127	0	0	0
Stambpl1	39.285714	0	158	117	0	0	0	0	0
Rag2	39.285714	0	0	275	0	0	0	0	0
Ncapd3	39.285714	0	0	275	0	0	0	0	0
Msantd3	39.285714	0	0	175	0	100	0	0	0
Lifr	39.285714	0	0	275	0	0	0	0	0
