Target_genes	Maff|Average	SRX122436|Dendritic_Cells	SRX122437|Dendritic_Cells	SRX122438|Dendritic_Cells	SRX122439|Dendritic_Cells	SRX3730247|Trophoblast_stem_cells	SRX3730248|Trophoblast_stem_cells	SRX3730279|Trophoblast_stem_cells	STRING
Rnf181	29.285714	0	0	0	0	0	0	205	0
Rnaseh2a	29.285714	0	0	0	0	0	0	205	0
Rhov	29.285714	0	0	0	0	0	0	205	0
Prdx2	29.285714	0	0	0	0	0	0	205	0
Nr2f6	29.285714	0	0	0	0	0	0	205	0
Ndufb9	29.285714	0	0	0	0	0	0	205	0
Iqsec3	29.285714	0	0	0	0	0	0	205	0
Fam53b	29.285714	0	0	0	0	205	0	0	0
Erp29	29.285714	0	0	0	0	0	0	205	0
Dmwd	29.285714	0	0	0	0	0	0	205	0
Clca4a	29.285714	0	0	0	0	0	0	205	0
Zscan25	29.142857	0	0	0	0	0	0	204	0
Zkscan8	29.142857	0	0	0	0	0	0	204	0
Xlr5a	29.142857	0	0	0	0	0	0	204	0
Spp1	29.142857	0	0	0	0	0	0	204	0
Sema6d	29.142857	0	0	0	0	0	0	204	0
Polr1d	29.142857	0	0	0	0	0	0	204	0
Pnpla3	29.142857	0	0	0	0	0	0	204	0
Nop14	29.142857	0	0	0	0	0	0	204	0
Neu1	29.142857	0	0	0	0	0	0	204	0
Ndrg3	29.142857	0	0	0	0	0	0	204	0
Lnx2	29.142857	0	0	0	0	0	0	204	0
Ints4	29.142857	0	0	0	0	0	0	204	0
Gtse1	29.142857	0	0	0	0	0	0	204	0
Grk4	29.142857	0	0	0	0	0	0	204	0
Gmeb2	29.142857	0	0	0	0	0	0	204	0
Dync2li1	29.142857	0	0	0	0	0	0	204	0
DXBay18	29.142857	0	0	0	0	0	0	204	0
Ccr5	29.142857	0	0	0	0	0	0	204	0
Ttc25	29.000000	0	0	0	0	0	0	203	0
Tspyl1	29.000000	0	0	0	0	0	0	203	0
Tmem230	29.000000	0	0	0	0	0	0	203	0
Secisbp2l	29.000000	0	0	0	0	0	0	203	0
Rarg	29.000000	0	0	0	0	0	0	203	0
Phykpl	29.000000	0	0	0	0	0	0	203	0
Mul1	29.000000	0	0	0	0	0	0	203	0
Luc7l2	29.000000	0	0	0	0	0	0	203	0
Erich6b	29.000000	0	0	0	0	0	0	203	0
Dusp5	29.000000	0	0	0	0	0	0	203	0
Dguok	29.000000	0	0	0	0	0	0	203	0
Crybg3	29.000000	0	0	0	0	0	0	203	0
Cdkn2aipnl	29.000000	0	0	0	0	0	0	203	0
Cdk17	29.000000	0	0	0	0	0	0	203	0
Cd209b	29.000000	0	0	0	0	88	0	115	0
Ccdc97	29.000000	0	0	0	0	0	0	203	0
Uqcrq	28.857143	0	0	0	0	0	0	202	0
Tnfaip8	28.857143	0	0	0	0	0	0	202	0
Snrpf	28.857143	0	0	0	0	70	0	132	0
Sfxn5	28.857143	0	0	0	0	0	0	202	0
Rab8a	28.857143	0	0	0	0	0	0	202	0
Prpf4	28.857143	0	0	0	0	0	0	202	0
Pik3c2a	28.857143	202	0	0	0	0	0	0	0
Pde4a	28.857143	0	0	0	0	0	0	202	0
Mob3a	28.857143	0	0	0	0	0	0	202	0
Izumo4	28.857143	0	0	0	0	0	0	202	0
Gm14685	28.857143	0	0	0	0	0	0	202	0
Gdf9	28.857143	0	0	0	0	0	0	202	0
Cdc26	28.857143	0	0	0	0	0	0	202	0
Birc2	28.857143	0	0	0	0	0	0	202	0
Bend7	28.857143	0	0	0	0	0	0	202	0
Zup1	28.714286	0	0	0	0	0	0	201	0
Tmem65	28.714286	0	0	0	0	0	0	201	0
Rag2	28.714286	0	0	0	0	0	0	201	0
Nrm	28.714286	0	0	0	0	0	0	201	0
Lyrm7	28.714286	0	0	0	0	0	0	201	0
Iftap	28.714286	0	0	0	0	0	0	201	0
Clcc1	28.714286	0	0	0	0	0	0	201	0
Tpm3	28.571429	0	0	0	0	0	0	200	0
Sytl3	28.571429	0	0	0	0	0	0	200	0
Syt3	28.571429	0	0	0	0	0	0	200	0
Slc39a11	28.571429	0	0	0	0	0	0	200	0
Il17rb	28.571429	0	0	0	0	0	0	200	0
Gjb3	28.571429	0	0	0	0	0	0	200	0
Epn1	28.571429	0	0	0	0	0	0	200	0
Dpysl2	28.571429	0	0	0	0	0	0	200	0
Cog1	28.571429	0	0	0	0	0	0	200	0
Tubgcp5	28.428571	0	0	0	0	0	0	199	0
Slc37a4	28.428571	0	0	0	0	71	0	128	0
Rabl3	28.428571	0	0	0	0	0	0	199	0
Nyap1	28.428571	0	0	0	0	0	0	199	0
Nap1l1	28.428571	0	0	0	0	0	0	199	0
Litaf	28.428571	0	0	0	0	0	0	199	0
Hjurp	28.428571	0	0	0	0	0	0	199	0
Gtf2e1	28.428571	0	0	0	0	0	0	199	0
Fitm2	28.428571	0	0	0	0	0	0	199	0
Ankhd1	28.428571	0	0	0	0	116	0	83	0
Adck5	28.428571	0	0	0	0	82	0	117	0
A730008H23Rik	28.428571	0	0	0	0	0	0	199	0
Sostdc1	28.285714	0	0	0	0	0	0	198	0
Snx24	28.285714	0	0	0	0	0	0	198	0
Sned1	28.285714	0	0	0	0	0	0	198	0
Rbms1	28.285714	0	0	0	0	0	0	198	0
Prkab2	28.285714	0	0	0	0	0	0	198	0
Pbx2	28.285714	0	0	0	0	0	0	198	0
Jpt2	28.285714	0	0	0	0	77	0	121	0
Gpsm3	28.285714	0	0	0	0	0	0	198	0
Ccin	28.285714	0	0	0	0	0	0	198	0
Bod1l	28.285714	0	0	0	0	0	0	198	0
Wbp2	28.142857	0	0	0	0	0	0	197	0
Tmem8b	28.142857	0	0	0	0	0	0	197	0
Tmco4	28.142857	0	0	0	0	0	0	197	0
Pnpla1	28.142857	0	0	0	0	0	0	197	0
Nufip1	28.142857	0	0	0	0	0	0	197	0
Klk6	28.142857	0	0	0	0	0	0	197	0
Gpalpp1	28.142857	0	0	0	0	0	0	197	0
Fam221b	28.142857	0	0	0	0	0	0	197	0
Eif4enif1	28.142857	0	0	0	0	0	0	197	0
Asap3	28.142857	0	0	0	0	0	0	197	0
Traip	28.000000	0	0	0	0	0	0	196	0
Syngap1	28.000000	0	0	0	0	107	0	89	0
Syncrip	28.000000	0	0	0	0	0	0	196	0
Surf4	28.000000	0	0	0	0	0	0	196	0
Stkld1	28.000000	0	0	0	0	0	0	196	0
Sspn	28.000000	0	0	0	0	131	65	0	0
Rfc4	28.000000	0	0	0	0	0	0	196	0
Pum2	28.000000	0	0	0	0	104	0	92	0
Pfdn1	28.000000	0	0	0	0	0	0	196	0
Hinfp	28.000000	0	0	0	0	0	0	196	0
Dnajb2	28.000000	0	0	0	0	0	0	196	0
Cuta	28.000000	0	0	0	0	107	0	89	0
Acox3	28.000000	0	0	0	0	0	0	196	0
A630095N17Rik	28.000000	0	0	0	0	0	0	196	0
Slamf9	27.857143	0	0	0	0	0	0	195	0
Sdr42e1	27.857143	0	0	0	0	0	0	195	0
Lzts2	27.857143	0	0	0	0	0	0	195	0
Jam3	27.857143	0	0	0	0	0	0	195	0
Igsf9	27.857143	0	0	0	0	0	0	195	0
Dpf3	27.857143	0	0	0	0	0	0	195	0
Bub1	27.857143	0	0	0	0	0	0	195	0
Zfp217	27.714286	0	0	0	0	74	0	120	0
Vipas39	27.714286	0	0	0	0	0	0	194	0
Tceal9	27.714286	0	0	0	0	194	0	0	0
Tac4	27.714286	0	0	0	0	0	0	194	0
Sh2b3	27.714286	0	0	0	0	0	0	194	0
Rbm20	27.714286	0	0	0	0	194	0	0	0
Rad51ap1	27.714286	0	0	0	0	67	0	127	0
Pskh1	27.714286	0	0	0	0	0	0	194	0
Phospho2	27.714286	0	0	0	0	0	0	194	0
Pde7a	27.714286	0	0	0	0	194	0	0	0
Olfr142	27.714286	0	0	0	0	194	0	0	0
Ldha	27.714286	0	0	0	0	83	0	111	0
Kansl3	27.714286	0	0	0	0	0	0	194	0
Gal	27.714286	0	0	0	0	0	0	194	0
Fer1l5	27.714286	0	0	0	0	0	0	194	0
Fbxl14	27.714286	0	0	0	0	0	0	194	0
Dnajc22	27.714286	0	0	0	0	194	0	0	0
Def6	27.714286	0	0	0	0	0	0	194	0
D6Wsu163e	27.714286	0	0	0	0	67	0	127	0
Cdhr4	27.714286	0	0	0	0	0	0	194	0
Ccdc173	27.714286	0	0	0	0	0	0	194	0
Cacng3	27.714286	0	0	0	0	0	0	194	0
Alk	27.714286	0	0	0	0	0	0	194	0
Ahsa1	27.714286	0	0	0	0	0	0	194	0
Zfp821	27.571429	0	0	0	0	0	0	193	0
Ucp3	27.571429	0	0	0	0	0	0	193	0
Ube2o	27.571429	0	0	0	0	0	0	193	0
Thrap3	27.571429	0	0	0	0	95	0	98	0
Tent2	27.571429	0	0	0	0	0	0	193	0
Tbc1d31	27.571429	0	0	0	0	0	0	193	0
Sh3rf2	27.571429	0	0	0	0	0	0	193	0
Serpinb1b	27.571429	0	0	0	0	0	0	193	0
Rnf8	27.571429	0	0	0	0	0	0	193	0
Rassf3	27.571429	0	0	0	0	0	0	193	0
Pomgnt1	27.571429	0	0	0	0	0	0	193	0
Ndufs1	27.571429	0	0	0	0	0	0	193	0
Galnt6	27.571429	0	0	0	0	0	0	193	0
Eef1b2	27.571429	0	0	0	0	0	0	193	0
Dpp7	27.571429	0	0	0	0	0	0	193	0
Atxn3	27.571429	0	0	0	0	0	0	193	0
Atmin	27.571429	0	0	0	0	0	0	193	0
Atg16l2	27.571429	0	0	0	0	111	0	82	0
Aldh3a2	27.571429	0	0	0	0	101	0	92	0
Adcy7	27.571429	0	0	0	0	0	0	193	0
Actn4	27.571429	0	0	0	0	0	0	193	0
Tsga10	27.428571	0	0	0	0	0	0	192	0
Tesk1	27.428571	0	0	0	0	0	0	192	0
Snrpa1	27.428571	0	0	0	0	0	0	192	0
Rph3al	27.428571	0	0	0	0	69	0	123	0
Pigm	27.428571	0	0	0	0	0	0	192	0
Pdss2	27.428571	0	0	0	0	0	0	192	0
Ogdhl	27.428571	0	0	0	0	0	0	192	0
Mettl6	27.428571	0	0	0	0	0	0	192	0
Il1f9	27.428571	0	0	0	0	0	0	192	0
Galk2	27.428571	0	0	0	0	0	0	192	0
Exoc2	27.428571	0	0	0	0	0	0	192	0
Eaf1	27.428571	0	0	0	0	0	0	192	0
Csgalnact2	27.428571	0	0	0	0	0	0	192	0
Brd1	27.428571	0	0	0	0	192	0	0	0
6820408C15Rik	27.428571	0	0	0	0	192	0	0	0
Ube3a	27.285714	0	0	0	0	0	0	191	0
Tsnax	27.285714	0	0	0	0	0	0	191	0
Traf3	27.285714	0	0	0	0	0	0	191	0
Tagln3	27.285714	0	0	0	0	0	0	191	0
Smpd5	27.285714	0	0	0	0	0	0	191	0
Sema5b	27.285714	0	0	0	0	0	0	191	0
Scgb1a1	27.285714	0	0	0	0	0	0	191	0
Sap30l	27.285714	0	0	0	0	0	0	191	0
Ppp6r2	27.285714	0	0	0	0	0	0	191	0
Hnrnpa3	27.285714	0	0	0	0	0	0	191	0
Ctdsp2	27.285714	0	0	0	0	0	0	191	0
Cep128	27.285714	0	0	0	0	0	0	191	0
Calm1	27.285714	0	0	0	0	0	0	191	0
Bod1	27.285714	0	0	0	0	0	0	191	0
Bdh2	27.285714	117	0	74	0	0	0	0	0
Avil	27.285714	0	0	0	0	0	0	191	0
3300002I08Rik	27.285714	0	0	0	0	0	0	191	0
Tpcn2	27.142857	0	0	0	0	0	0	190	0
Tcerg1	27.142857	0	0	0	0	102	0	88	0
Rnf5	27.142857	0	0	0	0	96	0	94	0
Rnf11	27.142857	0	0	0	0	0	0	190	0
Qtrt1	27.142857	0	0	0	0	0	0	190	0
Pip4k2c	27.142857	0	0	0	0	0	0	190	0
Pfn1	27.142857	0	0	0	0	190	0	0	0
Mrpl20	27.142857	0	0	0	0	0	0	190	0
Jrk	27.142857	0	0	0	0	0	0	190	0
Hspa1b	27.142857	0	0	0	0	0	0	190	0
Eno3	27.142857	0	0	0	0	190	0	0	0
Elf3	27.142857	0	0	0	0	0	0	190	0
Cd300lg	27.142857	0	0	0	0	0	0	190	0
Agpat1	27.142857	0	0	0	0	96	0	94	0
Sesn2	27.000000	0	0	0	0	0	0	189	0
Rpl3	27.000000	0	0	0	0	0	0	189	0
Mpc2	27.000000	0	0	0	0	0	0	189	0
Itgb3	27.000000	0	0	0	0	0	0	189	0
Gpd2	27.000000	0	0	0	0	0	0	189	0
Espnl	27.000000	0	0	0	0	85	0	104	0
Dnajb9	27.000000	0	0	0	0	0	0	189	0
Dcaf6	27.000000	0	0	0	0	0	0	189	0
Chd8	27.000000	0	0	0	0	97	0	92	0
Capza1	27.000000	0	0	0	0	0	0	189	0
1700057G04Rik	27.000000	0	0	0	0	0	0	189	0
Zfp965	26.857143	0	0	0	0	0	0	188	0
Ncaph2	26.857143	0	0	0	0	0	0	188	0
Mydgf	26.857143	0	0	0	0	0	0	188	0
Lmf2	26.857143	0	0	0	0	0	0	188	0
Ier5l	26.857143	0	0	0	0	0	0	188	0
Hip1	26.857143	0	0	0	0	0	0	188	0
H3f3b	26.857143	0	0	0	0	0	0	188	0
Gas7	26.857143	0	0	0	0	0	0	188	0
Eif2s2	26.857143	0	0	0	0	80	0	108	0
Dlg4	26.857143	0	0	0	0	0	0	188	0
Cyp8b1	26.857143	0	0	0	0	0	0	188	0
Ctdsp1	26.857143	0	0	0	0	188	0	0	0
Actl6a	26.857143	0	0	0	0	0	0	188	0
Acadvl	26.857143	0	0	0	0	0	0	188	0
Zfp180	26.714286	0	0	0	0	0	0	187	0
Vasn	26.714286	0	0	0	0	0	0	187	0
Tril	26.714286	0	0	0	0	187	0	0	0
Tmem201	26.714286	0	0	0	0	0	0	187	0
Tinagl1	26.714286	0	0	0	0	0	0	187	0
Strn3	26.714286	0	0	0	0	0	0	187	0
Snrpd3	26.714286	0	0	0	0	0	0	187	0
Rusf1	26.714286	0	0	0	0	0	0	187	0
Rnps1	26.714286	0	0	0	0	0	0	187	0
Rac1	26.714286	0	0	0	0	100	0	87	0
Psmc4	26.714286	0	0	0	0	0	0	187	0
Prok2	26.714286	0	0	0	0	187	0	0	0
Nptn	26.714286	0	0	0	0	0	0	187	0
Mecr	26.714286	0	0	0	0	0	0	187	0
Gucd1	26.714286	0	0	0	0	0	0	187	0
Ext1	26.714286	0	0	0	0	0	0	187	0
Eno4	26.714286	0	0	0	0	0	0	187	0
Eif2d	26.714286	0	0	0	0	0	0	187	0
Cdcp1	26.714286	0	0	0	0	0	0	187	0
Bcl2l2	26.714286	0	0	0	0	0	0	187	0
Ap4s1	26.714286	0	0	0	0	0	0	187	0
Trrap	26.571429	0	0	0	0	0	0	186	0
Supv3l1	26.571429	0	0	0	0	0	0	186	0
Sdk1	26.571429	0	0	0	0	0	0	186	0
Pramel12	26.571429	0	0	0	0	0	0	186	0
Pcdhgb2	26.571429	0	0	0	0	0	0	186	0
Pcdhga5	26.571429	0	0	0	0	0	0	186	0
Pcdhga4	26.571429	0	0	0	0	0	0	186	0
Nus1	26.571429	0	0	0	0	0	0	186	0
Nsun3	26.571429	0	0	0	0	0	0	186	0
Ly6g6f	26.571429	0	0	0	0	0	0	186	0
Hprt	26.571429	0	0	0	0	0	0	186	0
Gm6712	26.571429	0	0	0	0	0	0	186	0
Cse1l	26.571429	0	0	0	0	0	0	186	0
Chmp4b	26.571429	0	0	0	0	0	0	186	0
Ces1e	26.571429	0	0	0	0	0	0	186	0
Agl	26.571429	0	0	0	0	0	0	186	0
Abhd16a	26.571429	0	0	0	0	0	0	186	0
Zfp235	26.428571	0	0	0	0	0	0	185	0
Trmt44	26.428571	0	0	0	0	0	0	185	0
Tmem268	26.428571	0	0	0	0	0	0	185	0
Tmem203	26.428571	0	0	0	0	0	0	185	0
Rtf1	26.428571	0	0	0	0	0	0	185	0
Psma2	26.428571	0	0	0	0	0	0	185	0
Ppp1r3e	26.428571	0	0	0	0	0	0	185	0
Ppp1r16b	26.428571	0	0	0	0	0	0	185	0
Polk	26.428571	0	0	0	0	0	0	185	0
Ndor1	26.428571	0	0	0	0	0	0	185	0
Nagk	26.428571	0	0	0	0	0	0	185	0
Mrpl32	26.428571	0	0	0	0	0	0	185	0
Ly6d	26.428571	0	0	0	0	0	0	185	0
Lsm11	26.428571	0	0	0	0	0	0	185	0
Hilpda	26.428571	0	0	0	0	0	0	185	0
Gm4559	26.428571	0	0	0	0	0	0	185	0
Gm11127	26.428571	0	0	0	0	0	0	185	0
Fbxo42	26.428571	0	0	0	0	0	0	185	0
Dkk1	26.428571	0	0	0	0	0	0	185	0
Dhx8	26.428571	0	0	0	0	0	0	185	0
Cisd3	26.428571	0	0	0	0	109	0	76	0
Cert1	26.428571	0	0	0	0	0	0	185	0
Cdr2l	26.428571	0	0	0	0	0	0	185	0
Camkk2	26.428571	0	0	0	0	0	0	185	0
Slc35f3	26.285714	0	0	0	0	0	0	184	0
Rhoh	26.285714	0	0	0	0	0	0	184	0
Rbm17	26.285714	0	0	0	0	0	0	184	0
Rab3d	26.285714	0	0	0	0	0	0	184	0
Ppp2r5c	26.285714	0	0	0	0	0	0	184	0
Ppil4	26.285714	0	0	0	0	0	0	184	0
Pate14	26.285714	0	0	0	0	0	0	184	0
Ints8	26.285714	0	0	0	0	0	0	184	0
Hlf	26.285714	0	0	0	0	0	0	184	0
Fem1c	26.285714	0	0	0	0	184	0	0	0
Fbxo32	26.285714	0	0	0	0	0	0	184	0
Dnm2	26.285714	0	0	0	0	0	0	184	0
Dhrs4	26.285714	0	0	0	0	0	184	0	0
Tec	26.142857	0	0	0	0	0	0	183	0
Nup160	26.142857	0	0	0	0	0	0	183	0
Ndrg4	26.142857	0	0	0	0	0	0	183	0
Lst1	26.142857	0	0	0	0	0	0	183	0
Gsc2	26.142857	0	0	0	0	0	0	183	0
Foxo3	26.142857	0	0	0	0	0	0	183	0
Fbxw7	26.142857	0	0	0	0	0	0	183	0
Eml6	26.142857	0	0	0	0	0	0	183	0
Eif1	26.142857	0	0	0	0	0	0	183	0
Czib	26.142857	0	0	0	0	0	0	183	0
Cxcr4	26.142857	0	0	0	0	183	0	0	0
Chn1	26.142857	0	0	0	0	0	0	183	0
Adar	26.142857	0	0	0	0	183	0	0	0
Zfp248	26.000000	0	0	0	0	0	0	182	0
Xpa	26.000000	0	0	0	0	0	0	182	0
Togaram2	26.000000	0	0	0	0	0	0	182	0
Szt2	26.000000	0	0	0	0	0	0	182	0
Setd6	26.000000	0	0	0	0	0	0	182	0
Serinc5	26.000000	0	0	0	0	0	0	182	0
Prrt3	26.000000	0	0	0	0	0	0	182	0
Plekha7	26.000000	0	0	0	0	0	0	182	0
Myo5b	26.000000	0	0	0	0	0	0	182	0
Med8	26.000000	0	0	0	0	0	0	182	0
Ifrd2	26.000000	0	0	0	0	0	0	182	0
Icmt	26.000000	0	0	0	0	0	0	182	0
Hes3	26.000000	0	0	0	0	0	0	182	0
Fyco1	26.000000	0	0	0	0	0	0	182	0
Foxo4	26.000000	0	0	0	0	0	0	182	0
Dnajc25	26.000000	0	0	0	0	0	0	182	0
Dnajc18	26.000000	0	0	0	0	0	0	182	0
Dnajb7	26.000000	0	0	0	0	0	0	182	0
Csf3	26.000000	0	0	0	0	0	0	182	0
Arid2	26.000000	0	0	0	0	0	0	182	0
Vmn1r231	25.857143	0	0	0	0	181	0	0	0
Trib3	25.857143	0	0	0	0	0	0	181	0
Tjp3	25.857143	0	0	0	0	0	0	181	0
Sstr5	25.857143	0	0	0	0	0	0	181	0
Snw1	25.857143	0	0	0	0	0	0	181	0
Rell2	25.857143	0	0	0	0	0	0	181	0
Ptbp3	25.857143	0	0	0	0	0	0	181	0
Por	25.857143	0	0	0	0	0	0	181	0
Pip5k1c	25.857143	0	0	0	0	0	0	181	0
Pfdn5	25.857143	0	0	0	0	0	0	181	0
Mrpl33	25.857143	0	0	0	0	0	0	181	0
Lysmd4	25.857143	0	0	0	0	0	0	181	0
Luzp1	25.857143	0	0	0	0	0	0	181	0
Lrrc8c	25.857143	0	0	0	0	0	0	181	0
L3mbtl2	25.857143	0	0	0	0	0	0	181	0
Hdac3	25.857143	0	0	0	0	0	0	181	0
Etfdh	25.857143	0	0	0	0	0	0	181	0
Atl2	25.857143	0	0	0	0	0	0	181	0
4930579G24Rik	25.857143	0	0	0	0	0	0	181	0
Zfp398	25.714286	0	0	0	0	0	0	180	0
Ubr4	25.714286	0	0	0	0	0	0	180	0
Ubqln4	25.714286	0	0	0	0	0	0	180	0
Trim14	25.714286	0	0	0	0	0	0	180	0
Smyd3	25.714286	0	0	0	0	0	0	180	0
Slc26a5	25.714286	0	0	0	0	0	0	180	0
Sem1	25.714286	0	0	0	0	0	0	180	0
Sec11a	25.714286	0	0	0	0	0	0	180	0
Rnh1	25.714286	0	0	0	0	0	0	180	0
Rnf144a	25.714286	0	0	0	0	0	0	180	0
Rbfox1	25.714286	0	0	0	0	0	0	180	0
Rab3c	25.714286	0	0	0	0	0	0	180	0
Rab25	25.714286	0	0	0	0	0	0	180	0
Pusl1	25.714286	0	0	0	0	0	0	180	0
Olfr1457	25.714286	0	0	0	0	0	0	180	0
Nkx1-1	25.714286	0	0	0	0	0	0	180	0
Ndufs3	25.714286	0	0	0	0	0	0	180	0
Mrap2	25.714286	0	0	0	0	0	0	180	0
Mettl15	25.714286	0	0	0	0	0	0	180	0
Lamtor2	25.714286	0	0	0	0	0	0	180	0
Kif18a	25.714286	0	0	0	0	0	0	180	0
Kbtbd4	25.714286	0	0	0	0	0	0	180	0
Jade1	25.714286	0	0	0	0	0	0	180	0
Htra4	25.714286	0	0	0	0	0	0	180	0
Gm2115	25.714286	0	0	0	0	180	0	0	0
Gcsam	25.714286	0	0	0	0	0	0	180	0
Doxl1	25.714286	0	0	0	0	0	0	180	0
Diablo	25.714286	0	0	0	0	0	0	180	0
Clca4b	25.714286	0	0	0	0	0	0	180	0
Cda	25.714286	0	0	0	0	0	0	180	0
Acap3	25.714286	0	0	0	0	0	0	180	0
Vps16	25.571429	0	0	0	0	0	0	179	0
Trim7	25.571429	0	0	0	0	0	0	179	0
Trim56	25.571429	0	0	0	0	0	0	179	0
Srp19	25.571429	0	0	0	0	0	0	179	0
Srgap2	25.571429	0	0	0	0	88	0	91	0
Slc12a7	25.571429	0	0	0	0	0	0	179	0
Rnf141	25.571429	0	0	0	0	0	0	179	0
Pik3r2	25.571429	0	0	0	0	0	0	179	0
Pced1a	25.571429	0	0	0	0	0	0	179	0
Mss51	25.571429	0	0	0	0	0	0	179	0
Mob1a	25.571429	0	0	0	0	0	0	179	0
Jmjd1c	25.571429	0	0	0	0	0	0	179	0
Hax1	25.571429	0	0	0	0	0	0	179	0
Gm11541	25.571429	0	0	0	0	179	0	0	0
Fam72a	25.571429	0	0	0	0	88	0	91	0
Fam151b	25.571429	0	0	0	0	0	0	179	0
Crh	25.571429	0	0	0	0	0	0	179	0
C1qb	25.571429	0	0	0	0	62	0	117	0
Uckl1	25.428571	0	0	0	0	0	0	178	0
Toe1	25.428571	0	0	0	0	0	0	178	0
Tap1	25.428571	0	0	0	0	0	0	178	0
S1pr2	25.428571	0	0	0	0	0	178	0	0
Psmb9	25.428571	0	0	0	0	0	0	178	0
Mgat4a	25.428571	0	0	0	0	0	0	178	0
Met	25.428571	0	0	0	0	0	0	178	0
Mark4	25.428571	0	0	0	0	0	0	178	0
Klhdc8b	25.428571	0	0	0	0	0	0	178	0
Icosl	25.428571	0	0	0	0	178	0	0	0
Grifin	25.428571	0	0	0	0	178	0	0	0
Fzr1	25.428571	0	0	0	0	0	0	178	0
Exoc3l2	25.428571	0	0	0	0	0	0	178	0
Dusp11	25.428571	0	0	0	0	0	0	178	0
Ccdc71	25.428571	0	0	0	0	0	0	178	0
Ap2a1	25.428571	0	0	0	0	0	0	178	0
Adgrf5	25.428571	0	0	0	0	0	0	178	0
Adam1b	25.428571	0	0	0	0	0	0	178	0
Acacb	25.428571	0	0	0	0	0	0	178	0
Zfp503	25.285714	0	0	0	0	0	0	177	0
Wtip	25.285714	0	0	0	0	0	0	177	0
Wdr83os	25.285714	0	0	0	0	0	0	177	0
Wdr83	25.285714	0	0	0	0	0	0	177	0
Uqcrc1	25.285714	0	0	0	0	0	0	177	0
Ubfd1	25.285714	0	0	0	0	177	0	0	0
Sap18b	25.285714	0	0	0	0	0	0	177	0
Sap18	25.285714	0	0	0	0	0	0	177	0
Rbsn	25.285714	0	0	0	0	0	0	177	0
R3hdm4	25.285714	0	0	0	0	0	0	177	0
Pvr	25.285714	0	0	0	0	0	0	177	0
Nme3	25.285714	0	0	0	0	0	0	177	0
Nefm	25.285714	0	0	0	0	0	0	177	0
Mrps34	25.285714	0	0	0	0	0	0	177	0
Man2b1	25.285714	0	0	0	0	0	0	177	0
Kiss1r	25.285714	0	0	0	0	0	0	177	0
Gcc1	25.285714	0	0	0	0	0	0	177	0
Fkbp6	25.285714	0	0	0	0	0	0	177	0
Eme2	25.285714	0	0	0	0	0	0	177	0
Ears2	25.285714	0	0	0	0	177	0	0	0
Dnajc27	25.285714	0	0	0	0	0	0	177	0
Cnbp	25.285714	0	0	0	0	0	0	177	0
Atp5e	25.285714	0	0	0	0	0	0	177	0
Aspm	25.285714	0	0	0	0	95	0	82	0
Arf5	25.285714	0	0	0	0	0	0	177	0
Ankrd42	25.285714	0	0	0	0	0	0	177	0
Aldh3b3	25.285714	0	0	0	0	0	0	177	0
1700125H20Rik	25.285714	0	0	0	0	0	0	177	0
Strada	25.142857	0	0	0	0	0	0	176	0
Sacs	25.142857	0	0	0	0	0	0	176	0
Pip5k1b	25.142857	0	0	0	0	0	0	176	0
Nop9	25.142857	0	0	0	0	0	0	176	0
Mtg1	25.142857	0	0	0	0	0	0	176	0
Mertk	25.142857	0	0	0	0	0	0	176	0
Krt6a	25.142857	0	0	0	0	0	0	176	0
Krt5	25.142857	0	0	0	0	0	0	176	0
Immt	25.142857	0	0	0	0	0	0	176	0
Gabarapl1	25.142857	0	0	0	0	0	0	176	0
Erp27	25.142857	0	0	0	0	0	0	176	0
Dhrs1	25.142857	0	0	0	0	0	0	176	0
Clpsl2	25.142857	0	0	0	0	0	0	176	0
Atp1b1	25.142857	0	0	0	0	0	0	176	0
Adcy5	25.142857	0	0	0	0	176	0	0	0
Zmiz1	25.000000	0	0	0	0	0	0	175	0
Zfp808	25.000000	0	0	0	0	0	0	175	0
Zfp12	25.000000	0	0	0	0	0	0	175	0
Yipf2	25.000000	0	0	0	0	0	0	175	0
Timm29	25.000000	0	0	0	0	0	0	175	0
Tcea1	25.000000	0	0	0	0	0	0	175	0
Rufy1	25.000000	0	0	0	0	0	0	175	0
Psg27	25.000000	0	0	0	0	0	0	175	0
Pfdn2	25.000000	0	0	0	0	0	0	175	0
Nit1	25.000000	0	0	0	0	0	0	175	0
Nfyc	25.000000	0	0	0	0	0	0	175	0
Mpp6	25.000000	0	0	0	0	0	0	175	0
Kif2c	25.000000	0	0	0	0	0	0	175	0
Grk6	25.000000	0	0	0	0	0	0	175	0
Disp2	25.000000	0	0	0	0	0	0	175	0
Ddx19a	25.000000	0	0	0	0	0	0	175	0
Zfp930	24.857143	0	0	0	0	0	0	174	0
Tjp2	24.857143	0	0	0	0	0	0	174	0
Tgfbr3l	24.857143	0	0	0	0	0	0	174	0
Strn	24.857143	0	0	0	0	0	0	174	0
Snapc2	24.857143	0	0	0	0	0	0	174	0
Slc25a13	24.857143	0	0	0	0	0	0	174	0
Rbl2	24.857143	0	0	0	0	0	0	174	0
Pm20d2	24.857143	0	0	0	0	0	0	174	0
Kcnk4	24.857143	0	0	0	0	0	0	174	0
Helz	24.857143	0	0	0	0	0	0	174	0
Espl1	24.857143	0	0	0	0	0	0	174	0
Egln1	24.857143	0	0	0	0	81	0	93	0
