Target_genes	Cbfb|Average	SRX184870|CD4+_T_cells	SRX5780109|CD4+_T_cells	SRX2527476|CD8+_T_cells	SRX2527477|CD8+_T_cells	SRX2527478|CD8+_T_cells	SRX5780111|CD8+_T_cells	SRX2389669|Embryonic_liver	SRX2389670|Embryonic_liver	SRX2389671|Embryonic_liver	SRX4676998|Innate_lymphoid_cells	SRX4676999|Innate_lymphoid_cells	SRX4677003|Innate_lymphoid_cells	SRX4677004|Innate_lymphoid_cells	SRX105447|L8057	SRX105451|L8057	SRX105457|Thymocytes	SRX105461|Thymocytes	SRX2389672|Thymocytes	SRX2389673|Thymocytes	SRX2389674|Thymocytes	SRX184869|Treg	STRING
Fndc10	82.333333	0	152	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	716	133	513	0	0
Slc25a53	82.285714	0	0	0	0	0	214	0	0	207	0	0	0	0	78	101	0	0	372	231	525	0	0
Grn	82.285714	0	0	0	0	0	170	0	241	195	0	0	0	0	187	0	0	0	399	302	234	0	0
Dpy19l3	82.285714	0	71	0	0	0	113	0	0	143	0	0	0	0	251	100	0	0	436	272	342	0	0
Vav2	82.238095	0	137	0	0	0	222	0	0	223	0	0	0	0	135	0	0	0	490	222	298	0	0
Frrs1	82.238095	0	0	0	0	0	90	189	162	310	0	0	0	0	258	213	0	0	178	108	219	0	0
Timm44	82.190476	0	191	0	0	0	0	0	0	267	0	0	0	0	0	132	0	0	439	193	504	0	0
Sec23a	82.190476	0	261	0	0	0	202	0	0	207	0	0	0	0	133	0	0	0	382	141	400	0	0
Khsrp	82.190476	0	206	0	0	0	198	0	0	132	0	0	0	0	0	104	0	0	456	246	384	0	0
Gemin2	82.190476	0	261	0	0	0	202	0	0	207	0	0	0	0	133	0	0	0	382	141	400	0	0
Ccdc117	82.190476	0	214	0	0	0	259	0	0	110	0	0	0	0	199	136	0	0	310	229	269	0	0
Abcd3	82.190476	0	0	0	0	0	218	77	0	137	0	0	0	0	148	0	0	0	519	226	401	0	0
Tgfbr2	82.142857	0	357	88	0	0	155	0	0	105	0	0	0	0	0	0	0	0	551	107	362	0	0
Rdx	82.142857	0	106	84	0	0	139	0	0	169	0	0	0	0	0	0	0	0	536	212	479	0	0
Zfp7	82.095238	0	0	0	0	0	256	0	0	183	0	0	0	0	164	0	0	0	536	219	366	0	0
Syt11	82.047619	0	157	0	0	0	248	0	0	125	0	0	0	0	150	0	0	0	545	166	332	0	0
Med30	82.047619	0	0	0	0	0	154	0	0	109	0	0	0	0	80	94	0	0	563	291	432	0	0
Ear10	82.047619	0	164	0	0	0	163	0	0	168	0	0	0	0	0	0	0	0	495	319	414	0	0
Mrs2	82.000000	0	73	0	0	0	225	0	192	300	0	0	0	0	104	79	0	0	280	101	368	0	0
Tspyl2	81.952381	0	95	0	0	0	420	0	0	171	75	0	0	0	0	0	0	0	526	178	256	0	0
Hacl1	81.952381	0	125	0	0	0	132	0	0	0	0	0	0	0	276	134	0	0	452	199	403	0	0
Btd	81.952381	0	125	0	0	0	132	0	0	0	0	0	0	0	276	134	0	0	452	199	403	0	0
Spin1	81.904762	0	114	0	0	0	131	0	0	113	0	0	0	0	117	0	0	0	560	203	482	0	0
Igsf9	81.904762	0	115	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	566	436	470	0	0
Hmces	81.904762	0	120	0	0	0	206	0	89	129	130	0	0	0	90	0	0	0	424	160	372	0	0
Pkmyt1	81.857143	0	0	0	0	0	156	0	0	156	0	0	0	0	0	183	0	0	785	120	319	0	0
Zfp746	81.809524	0	179	0	0	0	156	0	0	193	0	116	0	0	0	0	0	0	410	250	414	0	0
Tubd1	81.809524	0	98	0	0	0	172	0	0	222	0	0	0	0	167	149	0	0	342	194	374	0	0
Rps6kb1	81.809524	0	98	0	0	0	172	0	0	222	0	0	0	0	167	149	0	0	342	194	374	0	0
Gtf3a	81.761905	0	101	0	0	0	223	0	0	191	0	0	0	0	0	0	0	0	614	198	390	0	0
Cyp2u1	81.761905	0	175	0	0	0	155	0	0	274	0	0	0	0	100	0	0	0	420	171	422	0	0
Asf1b	81.714286	0	116	0	0	0	215	0	0	265	0	0	0	0	0	0	0	0	511	176	433	0	0
Tssk1	81.666667	0	0	0	0	0	122	0	0	88	0	0	0	0	0	0	0	0	657	328	520	0	0
Dgcr2	81.666667	0	0	0	0	0	122	0	0	88	0	0	0	0	0	0	0	0	657	328	520	0	0
BC052040	81.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	792	178	600	0	0
Npc1	81.619048	0	204	0	0	0	231	0	0	273	70	0	0	0	0	0	0	0	467	139	330	0	0
Glo1	81.571429	0	188	0	0	0	140	0	0	155	0	0	0	0	241	0	0	0	385	158	446	0	0
Khdrbs1	81.523810	0	148	0	0	0	116	63	0	146	0	0	0	0	101	0	0	0	691	199	248	0	0
Rab2a	81.476190	0	226	0	0	0	316	0	0	115	0	0	0	0	0	0	0	0	407	188	459	0	0
Donson	81.476190	0	151	0	0	76	94	0	0	166	0	0	0	0	205	198	0	0	366	169	286	0	0
Dennd1b	81.476190	0	140	116	0	0	137	0	0	169	0	0	0	0	172	0	0	0	497	0	480	0	0
Uhmk1	81.428571	0	121	0	0	0	172	0	0	291	0	0	0	0	89	0	0	0	426	114	497	0	0
Spag8	81.428571	0	107	0	0	0	165	0	0	221	0	0	0	0	0	0	0	0	559	175	483	0	0
Klhl9	81.428571	0	152	0	0	0	207	0	0	185	0	0	0	0	0	0	0	0	531	185	450	0	0
Hint2	81.428571	0	107	0	0	0	165	0	0	221	0	0	0	0	0	0	0	0	559	175	483	0	0
Nfia	81.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	337	211	0	0	725	245	191	0	0
Mthfd2	81.380952	0	287	0	0	0	103	0	0	289	107	0	0	0	95	0	0	0	471	124	233	0	0
Idi1	81.380952	0	115	0	0	0	249	0	0	209	0	0	0	0	0	81	0	0	412	221	422	0	0
Ccdc28a	81.380952	0	84	0	0	0	309	0	0	122	0	0	0	0	0	0	0	0	540	225	429	0	0
Acer3	81.380952	0	143	0	0	0	242	0	0	130	0	0	0	0	177	177	0	0	365	130	345	0	0
Zfp764	81.333333	0	0	0	0	0	131	0	0	0	0	0	0	0	98	90	0	0	599	279	511	0	0
Smtn	81.238095	0	159	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	591	278	462	0	0
Mtrf1	81.238095	0	0	0	0	0	118	0	0	0	0	0	0	0	134	0	0	0	315	262	877	0	0
Cd300lf	81.238095	0	280	0	0	0	298	0	254	564	0	0	0	0	0	0	0	0	143	0	167	0	0
Adcy6	81.238095	0	0	0	0	0	0	0	0	180	0	0	0	0	202	200	0	0	448	243	433	0	0
Zyg11b	81.190476	0	123	0	0	0	159	0	0	190	0	0	0	0	0	0	0	0	505	203	525	0	0
Wdr93	81.190476	0	165	0	0	0	255	0	0	154	0	0	0	0	223	165	0	0	283	113	347	0	0
Pex11a	81.190476	0	165	0	0	0	255	0	0	154	0	0	0	0	223	165	0	0	283	113	347	0	0
Cwc25	81.190476	0	0	0	0	0	87	0	0	160	0	0	0	0	149	0	0	0	530	195	584	0	0
Msantd4	81.142857	0	156	0	0	0	132	0	0	93	0	0	0	0	0	0	0	0	465	0	858	0	0
Med15	81.142857	0	297	0	0	0	169	0	0	289	0	0	0	0	0	0	0	0	401	234	314	0	0
Coro2a	81.142857	0	127	0	0	0	267	0	0	253	0	137	0	0	0	0	0	0	268	304	348	0	0
Anapc7	81.095238	0	0	0	0	0	79	0	0	114	0	0	0	0	138	0	0	0	480	289	603	0	0
Sppl3	81.047619	0	160	0	0	149	287	0	0	162	0	0	0	0	94	0	0	0	306	122	422	0	0
Ptpn23	81.047619	0	0	0	0	0	142	106	133	225	0	0	0	0	110	81	0	0	446	158	301	0	0
Pcgf1	81.047619	0	0	0	0	0	178	0	0	169	0	0	0	0	189	103	0	0	353	213	497	0	0
Mecp2	81.047619	0	172	0	0	0	155	0	0	170	0	0	0	0	139	103	0	0	294	219	450	0	0
Olfr433	81.000000	0	97	0	0	0	215	0	0	138	0	0	0	0	0	0	0	0	544	303	404	0	0
Bglap3	81.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	257	200	0	0	522	253	469	0	0
Gamt	80.952381	0	147	0	0	0	248	0	0	174	0	0	0	0	252	0	0	0	595	0	284	0	0
Dazap1	80.952381	0	147	0	0	0	248	0	0	174	0	0	0	0	252	0	0	0	595	0	284	0	0
Abraxas1	80.952381	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	558	372	612	0	0
Abcc1	80.952381	0	0	0	0	0	92	106	236	372	0	0	0	0	122	67	0	0	254	151	300	0	0
Senp6	80.904762	0	0	0	0	0	131	0	0	175	0	101	0	0	223	170	0	0	320	145	434	0	0
Cyb5d1	80.904762	0	120	0	0	0	184	0	0	83	0	0	0	0	96	0	0	0	469	252	495	0	0
Abl1	80.904762	0	189	0	0	0	193	0	0	318	0	0	0	0	223	93	0	0	260	150	273	0	0
Tdrkh	80.857143	0	127	0	0	0	220	0	0	199	0	0	0	0	0	0	0	0	497	170	485	0	0
Mn1	80.857143	0	112	0	0	0	173	0	0	0	0	0	0	0	135	75	0	0	380	348	475	0	0
Tgds	80.809524	0	0	0	0	0	228	0	0	198	0	0	0	0	207	202	0	0	371	139	352	0	0
Ptpru	80.809524	0	161	0	0	0	181	0	0	160	0	0	0	0	145	0	0	0	606	159	285	0	0
Nt5c	80.809524	0	109	0	0	0	220	0	0	144	0	0	0	0	119	112	0	0	470	130	393	0	0
Gpr180	80.809524	0	0	0	0	0	228	0	0	198	0	0	0	0	207	202	0	0	371	139	352	0	0
Foxj1	80.809524	0	0	0	0	0	0	0	0	0	114	0	0	0	181	0	0	0	543	395	464	0	0
Abtb2	80.809524	0	274	0	0	0	128	0	0	194	0	0	0	0	219	168	0	0	344	91	279	0	0
Tmed1	80.761905	0	0	0	0	0	370	89	0	292	0	0	0	0	0	141	0	0	335	120	349	0	0
Bcl11b	80.761905	0	375	0	0	0	365	0	0	188	0	0	0	0	0	0	142	0	271	198	157	0	0
Rcbtb2	80.714286	0	0	102	0	0	184	0	0	152	0	0	0	0	200	89	98	0	301	207	362	0	0
Rars2	80.714286	0	159	0	0	0	210	155	0	201	0	0	0	0	0	0	0	0	453	203	314	0	0
Orc3	80.714286	0	159	0	0	0	210	155	0	201	0	0	0	0	0	0	0	0	453	203	314	0	0
Tnfrsf21	80.666667	0	0	0	0	0	0	99	161	625	0	0	0	0	0	0	0	0	431	166	212	0	0
Tmem109	80.666667	0	163	0	0	0	264	0	0	170	0	0	0	0	0	115	0	0	302	217	463	0	0
Spc24	80.666667	0	166	0	0	0	0	0	0	229	0	0	0	0	132	0	0	0	671	195	301	0	0
Lin7c	80.666667	0	202	0	0	0	216	0	0	208	0	0	0	0	130	0	0	0	373	221	344	0	0
Itgax	80.666667	0	131	0	0	0	201	0	0	159	0	0	0	0	129	0	0	0	351	224	499	0	0
Zfp775	80.619048	0	182	0	0	0	119	94	0	268	0	0	0	0	0	0	0	0	477	175	378	0	0
Ier5	80.619048	0	115	0	0	0	313	0	0	146	0	0	0	0	94	0	0	0	440	253	332	0	0
Vegfa	80.571429	0	0	0	0	0	0	0	0	137	0	0	0	0	142	0	0	0	453	502	458	0	0
Sufu	80.571429	0	202	0	0	0	181	0	0	208	0	0	0	0	0	0	0	0	484	227	390	0	0
Gabarapl2	80.571429	0	175	0	0	0	224	0	0	98	0	0	0	0	167	0	0	0	408	180	440	0	0
Arhgef12	80.571429	0	0	0	0	0	111	169	158	356	107	0	0	0	257	189	0	0	160	0	185	0	0
Actr1a	80.571429	0	202	0	0	0	181	0	0	208	0	0	0	0	0	0	0	0	484	227	390	0	0
Trafd1	80.523810	0	214	0	0	0	242	0	0	449	0	0	0	0	133	0	0	0	311	161	181	0	0
Tcof1	80.523810	0	158	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	443	387	510	0	0
Mrps2	80.523810	0	0	0	0	0	86	0	0	235	0	0	0	0	0	0	0	0	631	202	537	0	0
1700007K13Rik	80.523810	0	0	0	0	0	86	0	0	235	0	0	0	0	0	0	0	0	631	202	537	0	0
Cacnb4	80.476190	0	627	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	347	219	325	0	0
Ppp1r16a	80.428571	0	167	0	0	0	335	0	0	158	0	0	0	0	226	107	0	0	359	125	212	0	0
Phtf1	80.428571	0	0	0	0	0	130	0	0	253	0	0	0	0	188	175	0	0	398	160	385	0	0
Irak3	80.428571	0	172	0	0	0	127	0	0	124	0	0	0	0	0	0	0	0	432	400	434	0	0
Foxh1	80.428571	0	167	0	0	0	335	0	0	158	0	0	0	0	226	107	0	0	359	125	212	0	0
Snx16	80.333333	0	0	0	0	0	99	0	0	164	0	0	0	0	0	0	0	0	490	271	663	0	0
Pcnx4	80.333333	0	268	0	0	0	219	0	0	284	0	0	0	0	0	0	0	0	361	113	442	0	0
E2f3	80.333333	0	0	0	0	0	258	0	94	181	99	0	0	0	121	0	0	0	629	96	209	0	0
Bin3	80.333333	0	156	0	0	0	143	0	0	161	0	0	0	0	166	108	0	0	428	205	320	0	0
Triobp	80.285714	0	0	0	0	0	0	0	0	165	129	0	0	143	266	350	0	0	351	89	193	0	0
Stard4	80.285714	0	0	0	0	0	140	0	0	311	0	0	0	0	297	158	0	0	341	156	283	0	0
Copb2	80.285714	0	131	0	0	0	194	0	0	125	0	0	0	0	228	87	0	0	395	174	352	0	0
Ktn1	80.238095	0	0	0	0	0	107	0	0	232	0	0	0	0	291	208	0	0	388	137	322	0	0
Cep78	80.238095	0	142	0	0	0	175	0	0	171	0	0	0	0	116	122	0	0	536	136	287	0	0
Rnf5	80.190476	0	138	0	0	0	225	0	0	318	0	0	0	0	124	0	0	0	330	195	354	0	0
Trim25	80.142857	0	361	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	491	209	365	0	0
Shf	80.142857	0	0	0	0	0	0	77	0	321	0	0	0	0	243	180	0	0	313	212	337	0	0
Psat1	80.142857	0	0	0	0	92	220	0	0	208	0	0	0	0	0	0	0	0	651	194	318	0	0
Cdc37	80.142857	0	0	0	0	0	166	0	0	118	0	0	0	0	111	0	0	0	557	288	443	0	0
Vcpip1	80.095238	0	0	0	0	0	312	0	0	163	0	0	0	0	99	0	0	0	384	177	547	0	0
Rufy1	80.095238	0	127	0	0	0	175	0	0	0	0	110	0	89	0	0	0	0	430	208	543	0	0
Edem1	80.095238	0	199	0	0	0	346	112	76	291	0	0	0	0	0	0	0	0	384	0	274	0	0
Zfp382	80.047619	209	0	0	0	0	0	0	0	324	0	0	0	0	103	160	0	0	325	113	275	172	0
Tex9	80.047619	0	0	0	0	0	134	0	0	0	0	0	0	0	0	101	0	0	504	448	494	0	0
Ssr2	80.047619	0	0	0	0	0	152	0	0	145	0	0	0	0	368	216	0	0	414	0	386	0	0
Rpp25	80.047619	0	0	0	0	0	0	350	174	539	0	0	0	0	287	246	0	0	0	0	85	0	0
Nbeal1	80.047619	0	160	0	0	0	264	90	0	257	0	0	0	0	139	0	0	0	391	119	261	0	0
Baz1a	80.047619	0	175	110	0	0	141	0	0	105	0	0	0	0	217	0	0	0	539	153	241	0	0
Prelid3a	80.000000	0	0	0	0	0	0	121	0	355	0	0	0	0	250	119	0	0	282	246	307	0	0
Med24	79.952381	0	165	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	501	232	660	0	0
Lrrc2	79.952381	0	255	0	0	0	559	0	0	160	0	0	0	0	0	0	0	0	323	187	195	0	0
Haus5	79.952381	0	114	0	0	0	110	0	0	95	0	0	0	0	220	0	0	0	489	202	449	0	0
Pus3	79.904762	0	0	0	0	0	156	0	0	140	0	0	0	0	127	92	0	0	463	205	495	0	0
Prr5l	79.904762	0	0	0	0	0	109	0	0	140	0	0	0	0	375	132	0	0	322	0	600	0	0
Kin	79.904762	0	0	0	0	0	169	0	0	70	0	0	0	0	217	133	0	0	432	350	307	0	0
Ddx25	79.904762	0	0	0	0	0	156	0	0	140	0	0	0	0	127	92	0	0	463	205	495	0	0
Commd9	79.904762	0	0	0	0	0	109	0	0	140	0	0	0	0	375	132	0	0	322	0	600	0	0
Atp5c1	79.904762	0	0	0	0	0	169	0	0	70	0	0	0	0	217	133	0	0	432	350	307	0	0
Utp4	79.809524	0	121	0	0	0	207	108	0	200	0	0	0	0	203	0	0	0	403	129	305	0	0
Sqle	79.809524	0	117	0	0	0	0	137	120	420	0	0	0	0	0	0	0	0	352	172	358	0	0
Nenf	79.809524	0	114	0	0	0	256	0	0	204	0	0	0	0	93	0	0	0	458	145	406	0	0
Enox2	79.809524	0	158	0	0	0	340	0	0	0	0	0	0	0	115	119	0	0	298	184	462	0	0
Dynll2	79.809524	0	64	0	0	0	0	0	0	218	0	0	0	0	304	195	0	0	372	200	323	0	0
Derpc	79.809524	0	121	0	0	0	207	108	0	200	0	0	0	0	203	0	0	0	403	129	305	0	0
Chtf8	79.809524	0	121	0	0	0	207	108	0	200	0	0	0	0	203	0	0	0	403	129	305	0	0
Bcl7a	79.809524	0	106	0	0	0	0	0	0	147	0	0	0	0	189	0	0	0	533	171	530	0	0
Stmn1	79.761905	0	0	0	0	104	0	216	0	246	0	0	0	0	0	0	0	0	698	144	267	0	0
Pmel	79.761905	0	0	0	0	0	0	0	0	212	0	0	0	0	300	160	0	0	395	242	366	0	0
Gripap1	79.761905	0	0	0	0	0	204	0	0	143	0	0	0	0	0	0	0	0	449	224	655	0	0
Cdk2	79.761905	0	0	0	0	0	0	0	0	212	0	0	0	0	300	160	0	0	395	242	366	0	0
Yeats4	79.714286	0	0	0	0	0	0	0	0	131	0	0	0	0	181	147	0	0	374	189	652	0	0
Pum1	79.666667	0	119	0	0	99	0	0	0	196	0	0	0	0	176	76	79	0	300	170	458	0	0
Pitpnm1	79.666667	0	296	0	0	190	212	0	74	276	0	0	0	0	0	0	0	0	262	132	231	0	0
Magi3	79.666667	0	158	0	0	101	0	0	0	206	0	0	0	0	0	0	0	0	477	255	476	0	0
Exoc4	79.666667	0	116	0	0	0	122	0	0	212	0	0	0	0	0	0	0	0	514	209	500	0	0
Cdk2ap2	79.666667	0	296	0	0	190	212	0	74	276	0	0	0	0	0	0	0	0	262	132	231	0	0
Rell1	79.619048	0	0	0	0	0	129	0	0	65	0	0	0	0	252	156	0	0	392	214	464	0	0
Gsc2	79.571429	0	121	0	0	0	95	0	0	87	0	0	0	0	0	0	0	0	668	156	544	0	0
Fam151b	79.571429	0	0	0	0	0	153	0	0	131	0	0	0	0	124	103	0	0	505	230	425	0	0
Ess2	79.571429	0	121	0	0	0	95	0	0	87	0	0	0	0	0	0	0	0	668	156	544	0	0
Sgta	79.523810	0	0	0	0	0	206	0	0	290	0	0	0	0	0	0	0	0	632	196	346	0	0
Rpap1	79.523810	0	126	0	0	0	158	0	0	130	0	0	0	0	134	0	0	0	512	135	475	0	0
Il18rap	79.523810	0	209	0	0	0	428	0	0	226	150	86	0	0	0	0	0	0	245	136	190	0	0
Plac9b	79.476190	0	171	0	0	0	184	0	0	0	181	133	0	0	414	172	0	0	163	113	138	0	0
Plac9a	79.476190	0	171	0	0	0	184	0	0	0	181	133	0	0	414	172	0	0	163	113	138	0	0
Nfrkb	79.476190	0	0	0	0	0	174	0	0	255	0	0	0	0	81	0	0	0	572	179	408	0	0
Kcnk6	79.476190	0	0	0	0	0	0	145	232	357	0	0	0	0	574	361	0	0	0	0	0	0	0
Gm9780	79.476190	0	171	0	0	0	184	0	0	0	181	133	0	0	414	172	0	0	163	113	138	0	0
Dcun1d4	79.476190	0	169	0	0	0	234	0	0	198	0	0	0	0	98	0	0	0	411	232	327	0	0
Mboat2	79.428571	0	87	0	0	0	0	0	0	188	0	0	0	0	126	0	0	0	550	229	488	0	0
Ecsit	79.428571	0	90	0	0	0	245	0	0	164	0	0	0	0	114	0	0	0	418	273	364	0	0
Cdc7	79.428571	0	118	0	0	0	157	0	0	167	0	0	0	0	133	0	0	0	400	180	513	0	0
Prdm11	79.380952	0	135	104	0	0	241	0	0	109	0	0	0	0	0	0	0	0	487	202	389	0	0
Mtif2	79.380952	0	0	0	0	0	169	0	0	273	0	0	0	0	260	0	0	0	501	125	339	0	0
Micos10	79.380952	0	0	0	0	0	186	0	0	124	0	0	0	0	207	0	0	0	465	444	241	0	0
Irgm1	79.380952	0	0	0	0	0	215	131	0	362	0	0	0	0	249	344	0	0	195	0	171	0	0
Etfdh	79.380952	0	0	0	0	0	342	0	0	145	0	0	0	0	0	95	0	0	414	182	489	0	0
Ccdc34	79.380952	0	100	0	0	0	0	81	0	351	0	0	0	0	107	0	0	0	520	135	373	0	0
4930579G24Rik	79.380952	0	0	0	0	0	342	0	0	145	0	0	0	0	0	95	0	0	414	182	489	0	0
Mzt2	79.333333	0	0	0	0	0	101	0	0	231	0	0	0	0	0	0	0	0	501	253	580	0	0
Fam205a4	79.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	546	487	0	0
Fam205a3	79.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	546	487	0	0
Anxa6	79.333333	0	140	0	0	0	741	0	0	64	0	0	0	0	107	0	0	0	222	140	252	0	0
Acbd3	79.333333	0	110	0	0	0	136	0	0	281	0	0	0	0	93	0	0	0	457	248	341	0	0
Tceanc	79.285714	0	134	0	0	0	156	0	0	235	0	0	0	0	0	0	0	0	481	249	410	0	0
Stx11	79.285714	0	100	0	0	0	105	0	0	144	0	0	0	0	266	181	0	0	328	202	339	0	0
Rras2	79.285714	0	132	0	0	0	127	0	161	277	106	0	0	0	0	0	0	0	424	146	292	0	0
Cse1l	79.285714	0	85	0	0	0	154	0	0	165	0	0	0	0	0	0	0	0	637	186	438	0	0
Lsm8	79.238095	0	157	0	0	0	111	0	0	185	0	0	0	0	222	143	0	0	193	207	446	0	0
Zfp169	79.190476	0	280	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	367	358	397	0	0
Tmtc3	79.190476	0	0	0	0	0	0	0	82	406	0	0	0	0	315	191	0	0	288	138	243	0	0
Septin1	79.190476	0	163	0	0	102	117	0	0	0	0	0	0	0	0	0	0	0	494	350	437	0	0
Hpcal1	79.190476	0	114	0	0	0	219	0	0	400	0	0	0	0	0	0	0	0	282	248	400	0	0
Gm9949	79.190476	0	250	0	0	0	303	0	0	155	0	0	0	0	0	0	0	0	414	175	366	0	0
Cep290	79.190476	0	0	0	0	0	0	0	82	406	0	0	0	0	315	191	0	0	288	138	243	0	0
Adrb2	79.190476	0	250	0	0	0	303	0	0	155	0	0	0	0	0	0	0	0	414	175	366	0	0
Zfp429	79.142857	0	98	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	517	341	442	0	0
Tollip	79.142857	0	176	0	0	0	301	0	0	123	0	0	0	0	0	0	0	0	454	211	397	0	0
Tbcb	79.142857	0	144	0	0	0	137	0	0	234	0	0	0	0	96	0	0	0	538	157	356	0	0
Polr2i	79.142857	0	144	0	0	0	137	0	0	234	0	0	0	0	96	0	0	0	538	157	356	0	0
Ovol3	79.142857	0	144	0	0	0	137	0	0	234	0	0	0	0	96	0	0	0	538	157	356	0	0
Lin9	79.142857	0	0	0	0	0	110	0	0	183	0	0	0	0	87	78	0	0	631	160	413	0	0
Ift27	79.142857	0	0	0	0	0	215	0	0	110	0	0	0	0	0	79	0	0	348	381	529	0	0
Rmc1	79.095238	0	171	0	0	0	187	0	0	217	0	0	0	0	157	86	0	0	346	168	329	0	0
Ndufaf4	79.047619	0	0	0	0	0	136	0	0	203	0	0	0	0	115	0	0	0	494	258	454	0	0
Metap2	79.047619	0	107	0	0	0	157	0	0	137	0	0	0	0	96	0	0	0	548	164	451	0	0
Idh3b	79.047619	0	62	0	0	0	206	0	0	125	0	0	0	0	174	154	0	0	456	150	333	0	0
Ctu1	79.047619	0	0	0	0	0	0	0	0	125	0	0	0	0	324	148	0	0	504	143	416	0	0
Rbpms2	79.000000	0	0	0	0	0	0	276	400	568	0	0	0	0	0	0	0	0	258	0	157	0	0
Olfr67	79.000000	0	0	0	0	0	0	0	0	724	0	0	0	0	115	254	0	0	0	566	0	0	0
Tmco4	78.952381	0	0	0	0	0	146	0	0	144	0	0	0	0	218	237	0	0	479	107	327	0	0
Pdk2	78.952381	0	0	0	0	0	150	0	0	259	0	0	0	0	163	0	0	0	424	160	502	0	0
Nfkbid	78.904762	0	148	54	0	0	383	0	0	106	0	0	0	0	0	0	0	0	558	130	278	0	0
Hcst	78.904762	0	148	54	0	0	383	0	0	106	0	0	0	0	0	0	0	0	558	130	278	0	0
Tmem199	78.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	243	131	0	0	498	259	525	0	0
Poldip2	78.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	243	131	0	0	498	259	525	0	0
Kdm2a	78.857143	0	101	0	0	100	116	0	0	187	0	0	0	0	152	80	0	0	406	189	325	0	0
Dkc1	78.857143	0	111	0	0	0	338	0	0	251	0	0	0	0	0	129	0	0	392	183	252	0	0
Ushbp1	78.809524	0	116	0	0	0	214	0	0	140	0	0	0	0	154	138	0	0	335	217	341	0	0
Sec63	78.809524	0	0	0	0	90	124	0	0	139	0	0	0	0	0	0	0	0	498	238	566	0	0
Ppp1r35	78.809524	0	127	0	0	0	235	0	0	160	0	0	0	0	140	133	0	0	293	215	352	0	0
Fam217a	78.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798	857	0	0
Ccdc25	78.809524	0	0	0	0	0	234	0	0	118	0	0	0	0	143	0	0	0	653	132	375	0	0
Babam1	78.809524	0	116	0	0	0	214	0	0	140	0	0	0	0	154	138	0	0	335	217	341	0	0
Zfp28	78.761905	0	0	0	0	0	0	0	0	85	0	0	0	0	0	108	0	0	645	284	532	0	0
Rps6ka5	78.761905	0	242	0	0	147	200	0	0	253	0	0	0	0	0	0	0	0	413	140	259	0	0
Primpol	78.761905	0	0	0	0	0	0	0	0	146	0	0	0	0	193	108	0	0	574	219	414	0	0
Casp3	78.761905	0	0	0	0	0	0	0	0	146	0	0	0	0	193	108	0	0	574	219	414	0	0
Gimap4	78.714286	0	412	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	153	249	189	0	0
Dst	78.714286	0	138	0	0	0	144	0	0	179	0	0	0	0	174	0	0	0	410	296	312	0	0
Nrtn	78.666667	0	0	0	0	0	0	263	252	714	0	0	0	0	204	219	0	0	0	0	0	0	0
Zfp53	78.619048	0	0	0	0	0	166	0	0	155	0	0	0	0	139	0	0	0	579	175	437	0	0
Tmem63a	78.619048	0	158	0	0	0	471	0	0	0	0	0	0	0	291	118	0	0	234	160	219	0	0
Eif6	78.619048	0	0	0	0	0	112	0	0	105	0	0	0	0	93	126	0	0	555	251	409	0	0
Atf2	78.619048	0	131	0	0	137	136	0	0	98	0	0	0	0	143	0	0	0	498	209	299	0	0
Nectin3	78.571429	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	593	315	621	0	0
Ganab	78.571429	0	170	0	0	0	316	0	0	135	0	0	0	0	0	0	0	0	531	146	352	0	0
Alkbh5	78.571429	0	0	0	0	0	111	0	0	230	0	0	0	0	137	120	0	0	488	190	374	0	0
Ube2h	78.523810	0	167	0	0	0	142	108	0	283	0	0	0	0	252	0	0	0	310	140	247	0	0
Fbxo46	78.523810	0	117	0	0	0	218	0	0	0	0	0	0	0	123	0	0	0	464	276	451	0	0
Chuk	78.523810	0	0	0	0	0	130	0	0	181	0	0	0	0	233	116	0	0	406	200	383	0	0
Casd1	78.523810	0	83	0	0	0	146	0	0	146	0	0	0	0	94	0	0	0	433	234	513	0	0
Bhmg1	78.523810	0	117	0	0	0	218	0	0	0	0	0	0	0	123	0	0	0	464	276	451	0	0
