Target_genes	Sox4|Average	SRX337568|B_cells	SRX2974918|EML_	SRX4791025|Keratinocytes	SRX4791026|Keratinocytes	SRX4802721|Neural_Stem_Cells	SRX1149735|Pancreatic_cancer_cell_lines	SRX14296655|Synoviocytes	SRX14296656|Synoviocytes	STRING
Phf23	25.500000	0	0	0	0	204	0	0	0	0
Nup62	25.500000	0	0	0	0	204	0	0	0	0
Mphosph6	25.500000	0	0	0	0	204	0	0	0	0
Mdh2	25.500000	0	0	0	0	204	0	0	0	0
Mbd1	25.500000	0	0	0	0	204	0	0	0	0
Lbhd1	25.500000	0	0	0	0	204	0	0	0	0
Ktn1	25.500000	0	0	0	0	204	0	0	0	0
Kifc3	25.500000	0	0	0	0	204	0	0	0	0
Il4i1b	25.500000	0	0	0	0	204	0	0	0	0
Gabrg1	25.500000	0	0	0	0	204	0	0	0	0
Gabarap	25.500000	0	0	0	0	204	0	0	0	0
Fnta	25.500000	0	0	0	0	204	0	0	0	0
Fmn1	25.500000	0	0	0	204	0	0	0	0	0
Fbxl7	25.500000	0	0	0	0	204	0	0	0	0
Eppk1	25.500000	0	0	0	204	0	0	0	0	0
Cnpy3	25.500000	0	0	0	0	204	0	0	0	0
Clcn3	25.500000	0	0	0	0	204	0	0	0	0
Ciao3	25.500000	0	0	0	0	204	0	0	0	0
Atf5	25.500000	0	0	0	0	204	0	0	0	0
Apbb3	25.500000	0	0	0	0	204	0	0	0	0
Acp2	25.500000	0	0	0	90	114	0	0	0	0
Zbtb21	25.375000	0	0	0	0	203	0	0	0	0
Yod1	25.375000	0	0	0	0	203	0	0	0	0
Yars	25.375000	0	0	0	0	203	0	0	0	0
Tnrc6b	25.375000	0	0	0	0	203	0	0	0	0
Taok2	25.375000	0	0	0	0	203	0	0	0	0
Supt5	25.375000	0	0	0	0	203	0	0	0	0
Srp19	25.375000	0	0	0	0	203	0	0	0	0
Slc18a1	25.375000	0	0	0	0	203	0	0	0	0
S100pbp	25.375000	0	0	0	0	203	0	0	0	0
Rabep2	25.375000	0	0	0	0	203	0	0	0	0
Rab21	25.375000	0	0	0	0	203	0	0	0	0
Qrfp	25.375000	0	0	0	203	0	0	0	0	0
Pfkfb2	25.375000	0	0	0	0	203	0	0	0	0
Pde1b	25.375000	0	0	0	0	203	0	0	0	0
Nubp1	25.375000	0	0	0	0	203	0	0	0	0
Mrpl22	25.375000	0	0	0	0	203	0	0	0	0
Klhl20	25.375000	0	0	0	0	85	118	0	0	0
Gemin5	25.375000	0	0	0	0	203	0	0	0	0
Frmd4a	25.375000	0	0	0	106	97	0	0	0	0
Csnk1g2	25.375000	0	0	0	0	203	0	0	0	0
C1qtnf9	25.375000	0	0	0	0	203	0	0	0	0
Bpnt2	25.375000	0	0	0	0	203	0	0	0	0
Atp6v1b2	25.375000	0	0	0	0	203	0	0	0	0
Armc8	25.375000	0	0	0	0	203	0	0	0	0
9930021J03Rik	25.375000	0	0	0	0	203	0	0	0	0
Zfp119b	25.250000	0	0	0	0	202	0	0	0	0
Xpot	25.250000	0	0	0	0	202	0	0	0	0
Rps27a	25.250000	0	0	0	0	202	0	0	0	0
Rpl7	25.250000	0	0	0	0	202	0	0	0	0
Rpl3	25.250000	0	0	0	0	202	0	0	0	0
Rdh11	25.250000	0	0	0	0	202	0	0	0	0
Rdh10	25.250000	0	0	0	0	202	0	0	0	0
Pyurf	25.250000	0	0	0	0	202	0	0	0	0
Olfr368	25.250000	0	0	0	202	0	0	0	0	0
Nxf1	25.250000	0	0	0	0	202	0	0	0	0
Nadsyn1	25.250000	0	0	0	0	202	0	0	0	0
Mrfap1	25.250000	0	0	0	0	202	0	0	0	0
Hes6	25.250000	0	0	0	0	202	0	0	0	0
Eif3a	25.250000	0	0	0	95	107	0	0	0	0
Efr3b	25.250000	0	0	0	0	202	0	0	0	0
Dusp11	25.250000	0	0	0	88	114	0	0	0	0
Donson	25.250000	0	0	0	0	202	0	0	0	0
Crebrf	25.250000	0	0	0	0	202	0	0	0	0
Clhc1	25.250000	0	0	0	0	202	0	0	0	0
Cep41	25.250000	0	0	0	0	202	0	0	0	0
Aadacl2fm1	25.250000	0	0	0	0	0	202	0	0	0
Zfp330	25.125000	0	0	0	0	201	0	0	0	0
Zfp189	25.125000	0	0	0	0	201	0	0	0	0
Ubr7	25.125000	0	0	0	0	201	0	0	0	0
Tatdn1	25.125000	0	0	0	0	201	0	0	0	0
Tasor2	25.125000	0	0	0	0	201	0	0	0	0
Sptan1	25.125000	0	0	0	130	71	0	0	0	0
Spata17	25.125000	0	0	0	0	201	0	0	0	0
Rrp15	25.125000	0	0	0	0	201	0	0	0	0
Prrt1	25.125000	0	0	0	0	201	0	0	0	0
Ppt2	25.125000	0	0	0	0	201	0	0	0	0
Pdcd2	25.125000	0	0	0	0	201	0	0	0	0
Ndufb9	25.125000	0	0	0	0	201	0	0	0	0
Mvd	25.125000	0	0	0	0	201	0	0	0	0
Mrpl50	25.125000	0	0	0	0	201	0	0	0	0
Mgat4a	25.125000	0	0	0	0	201	0	0	0	0
Mfsd6	25.125000	0	0	0	0	201	0	0	0	0
Map2	25.125000	0	0	0	0	201	0	0	0	0
Jagn1	25.125000	0	0	0	78	123	0	0	0	0
Hyou1	25.125000	0	0	0	0	201	0	0	0	0
Gpatch2	25.125000	0	0	0	0	201	0	0	0	0
Gon7	25.125000	0	0	0	0	201	0	0	0	0
Gm20604	25.125000	0	0	0	0	201	0	0	0	0
Gls	25.125000	0	0	0	0	201	0	0	0	0
Gadd45gip1	25.125000	0	0	0	0	201	0	0	0	0
Ddx19a	25.125000	0	0	0	0	109	92	0	0	0
Coro2b	25.125000	0	0	0	0	201	0	0	0	0
Cep97	25.125000	0	0	0	0	201	0	0	0	0
4921504E06Rik	25.125000	0	0	0	0	201	0	0	0	0
Zfp219	25.000000	0	0	0	0	200	0	0	0	0
Zcchc7	25.000000	0	0	0	0	200	0	0	0	0
Xpa	25.000000	0	0	0	0	200	0	0	0	0
Vamp3	25.000000	0	0	0	0	200	0	0	0	0
Trex1	25.000000	0	0	0	0	200	0	0	0	0
Tmem253	25.000000	0	0	0	0	200	0	0	0	0
Shisa5	25.000000	0	0	0	0	200	0	0	0	0
Pwp1	25.000000	0	0	0	0	200	0	0	0	0
Ptpn12	25.000000	0	0	0	0	200	0	0	0	0
Pin4	25.000000	0	0	0	0	200	0	0	0	0
Pigc	25.000000	0	0	0	0	200	0	0	0	0
Jmy	25.000000	0	0	0	0	200	0	0	0	0
Irf2bpl	25.000000	0	0	0	75	125	0	0	0	0
Fnip1	25.000000	0	0	0	0	200	0	0	0	0
Eral1	25.000000	0	0	0	0	200	0	0	0	0
Epn2	25.000000	0	0	0	0	200	0	0	0	0
Dusp10	25.000000	0	0	0	0	200	0	0	0	0
Crtc1	25.000000	0	0	0	0	200	0	0	0	0
Commd4	25.000000	0	0	0	0	200	0	0	0	0
Cables1	25.000000	0	0	0	0	200	0	0	0	0
Arcn1	25.000000	0	0	0	0	200	0	0	0	0
Adsl	25.000000	0	0	0	0	200	0	0	0	0
4930558K02Rik	25.000000	0	0	0	0	200	0	0	0	0
1700056E22Rik	25.000000	0	0	0	0	200	0	0	0	0
Zkscan3	24.875000	0	0	0	0	199	0	0	0	0
Tmem205	24.875000	0	0	0	0	199	0	0	0	0
Snrpa1	24.875000	0	0	0	0	199	0	0	0	0
Slc5a6	24.875000	0	0	0	0	199	0	0	0	0
Sgms1	24.875000	0	0	0	87	112	0	0	0	0
Rnf6	24.875000	0	0	0	0	199	0	0	0	0
Pde7b	24.875000	0	0	0	0	199	0	0	0	0
Osbpl1a	24.875000	0	0	0	0	199	0	0	0	0
Kif21a	24.875000	0	0	0	0	199	0	0	0	0
Kdelr2	24.875000	0	0	0	0	199	0	0	0	0
H2bc12	24.875000	0	0	0	0	199	0	0	0	0
H2ac12	24.875000	0	0	0	0	199	0	0	0	0
Fgfr1	24.875000	0	0	0	0	199	0	0	0	0
Fbxl16	24.875000	0	0	0	0	199	0	0	0	0
Faf2	24.875000	0	0	0	0	199	0	0	0	0
Dcaf15	24.875000	0	0	0	0	199	0	0	0	0
Dars	24.875000	0	0	0	0	199	0	0	0	0
Ccdc159	24.875000	0	0	0	0	199	0	0	0	0
Atxn7l1	24.875000	0	0	0	0	199	0	0	0	0
Atraid	24.875000	0	0	0	0	199	0	0	0	0
Atg14	24.875000	0	0	0	0	199	0	0	0	0
Aen	24.875000	0	0	0	0	199	0	0	0	0
Zbed5	24.750000	0	0	0	0	198	0	0	0	0
Uqcrb	24.750000	0	0	0	0	198	0	0	0	0
Tmem245	24.750000	0	0	0	0	198	0	0	0	0
Tmem167b	24.750000	0	0	0	0	198	0	0	0	0
R3hdm2	24.750000	0	0	0	0	198	0	0	0	0
Prss23	24.750000	0	0	0	0	198	0	0	0	0
Pik3c2b	24.750000	0	0	0	0	198	0	0	0	0
Nsmce3	24.750000	0	0	0	0	198	0	0	0	0
Mob1a	24.750000	0	0	0	0	198	0	0	0	0
Lsm6	24.750000	0	0	0	0	198	0	0	0	0
Kcnk2	24.750000	0	0	0	0	198	0	0	0	0
Jam3	24.750000	0	0	0	0	198	0	0	0	0
Golim4	24.750000	0	0	0	0	198	0	0	0	0
Gm10767	24.750000	0	0	0	0	198	0	0	0	0
Gatd3a	24.750000	0	0	0	0	198	0	0	0	0
Exosc5	24.750000	0	0	0	0	198	0	0	0	0
Ercc1	24.750000	0	0	0	0	198	0	0	0	0
Dhx33	24.750000	0	0	0	0	198	0	0	0	0
Dcun1d4	24.750000	0	0	0	0	198	0	0	0	0
Cnih3	24.750000	0	0	0	0	198	0	0	0	0
Bckdha	24.750000	0	0	0	0	198	0	0	0	0
Abcf1	24.750000	0	0	0	0	198	0	0	0	0
A130010J15Rik	24.750000	0	0	0	0	198	0	0	0	0
Zcwpw2	24.625000	0	0	0	0	197	0	0	0	0
Vrk1	24.625000	0	0	0	0	197	0	0	0	0
Vps37c	24.625000	0	0	0	0	197	0	0	0	0
Ttc17	24.625000	0	0	0	79	118	0	0	0	0
Tango6	24.625000	0	0	0	0	197	0	0	0	0
Spg20	24.625000	0	0	0	0	197	0	0	0	0
Slc12a9	24.625000	0	0	0	0	197	0	0	0	0
Sirt3	24.625000	0	0	0	0	197	0	0	0	0
Setx	24.625000	0	0	0	0	197	0	0	0	0
Psmd13	24.625000	0	0	0	0	197	0	0	0	0
Prkar2b	24.625000	0	0	0	0	197	0	0	0	0
Pmpcb	24.625000	0	0	0	0	197	0	0	0	0
Pigf	24.625000	0	0	0	0	197	0	0	0	0
Pgap2	24.625000	0	0	0	0	197	0	0	0	0
Nup98	24.625000	0	0	0	0	197	0	0	0	0
Nup160	24.625000	0	0	0	0	197	0	0	0	0
Nrip1	24.625000	0	0	0	0	197	0	0	0	0
Mrpl36	24.625000	0	0	0	0	197	0	0	0	0
Mphosph10	24.625000	0	0	0	0	197	0	0	0	0
Mcee	24.625000	0	0	0	0	197	0	0	0	0
Kdm2a	24.625000	0	0	0	0	197	0	0	0	0
Kat2a	24.625000	0	0	0	0	197	0	0	0	0
Izumo1r	24.625000	197	0	0	0	0	0	0	0	0
Hspb9	24.625000	0	0	0	0	197	0	0	0	0
Hif1an	24.625000	0	0	0	0	197	0	0	0	0
Gosr1	24.625000	0	0	0	0	197	0	0	0	0
Gga1	24.625000	0	0	0	0	197	0	0	0	0
Cript	24.625000	0	0	0	0	197	0	0	0	0
Cradd	24.625000	0	0	0	0	197	0	0	0	0
Casp7	24.625000	0	0	0	0	197	0	0	0	0
Cadm4	24.625000	0	0	0	0	197	0	0	0	0
Bfsp2	24.625000	0	0	0	0	197	0	0	0	0
B3gnt4	24.625000	0	0	0	0	197	0	0	0	0
Azi2	24.625000	0	0	0	0	197	0	0	0	0
Aldh1l2	24.625000	0	0	0	0	197	0	0	0	0
Aanat	24.625000	0	0	0	0	197	0	0	0	0
AW209491	24.625000	0	0	0	0	197	0	0	0	0
Ttyh1	24.500000	0	0	0	0	196	0	0	0	0
Tdrd1	24.500000	0	0	0	0	196	0	0	0	0
Sox4	24.500000	0	0	0	0	0	0	0	196	0
Oacyl	24.500000	0	0	0	0	196	0	0	0	0
Itpripl2	24.500000	0	0	0	196	0	0	0	0	0
Ints12	24.500000	0	0	0	0	196	0	0	0	0
Gstcd	24.500000	0	0	0	0	196	0	0	0	0
Epb41l5	24.500000	0	0	0	0	196	0	0	0	0
Dync1li1	24.500000	0	0	0	0	196	0	0	0	0
Clcc1	24.500000	0	0	0	0	196	0	0	0	0
Ccdc186	24.500000	0	0	0	0	196	0	0	0	0
Ascl1	24.500000	0	0	0	0	196	0	0	0	0
Armc1	24.500000	0	0	0	0	196	0	0	0	0
Antxr1	24.500000	0	0	0	94	102	0	0	0	0
Szrd1	24.375000	0	0	0	0	195	0	0	0	0
Syndig1l	24.375000	0	0	0	195	0	0	0	0	0
Slc35c1	24.375000	0	0	0	0	195	0	0	0	0
Skor2	24.375000	0	0	0	195	0	0	0	0	0
Rit1	24.375000	0	0	0	0	195	0	0	0	0
Prmt6	24.375000	0	0	0	0	195	0	0	0	0
Plek2	24.375000	0	0	0	195	0	0	0	0	0
Pfas	24.375000	0	0	0	0	195	0	0	0	0
Pes1	24.375000	0	0	0	0	195	0	0	0	0
Mmachc	24.375000	0	0	0	0	195	0	0	0	0
Mapk4	24.375000	0	0	0	0	195	0	0	0	0
Hivep1	24.375000	0	0	0	0	195	0	0	0	0
Glcci1	24.375000	0	0	0	0	195	0	0	0	0
Erc1	24.375000	0	0	0	0	195	0	0	0	0
Cpne2	24.375000	0	0	0	195	0	0	0	0	0
Ciart	24.375000	0	0	0	0	195	0	0	0	0
Cep63	24.375000	0	0	0	0	195	0	0	0	0
Ccdc163	24.375000	0	0	0	0	195	0	0	0	0
BC029722	24.375000	0	0	0	0	195	0	0	0	0
Atg4c	24.375000	0	0	0	0	195	0	0	0	0
Anapc13	24.375000	0	0	0	0	195	0	0	0	0
Akap11	24.375000	0	0	0	0	195	0	0	0	0
Zfp563	24.250000	0	0	0	0	194	0	0	0	0
Slc25a22	24.250000	0	0	0	0	194	0	0	0	0
Rhbdd3	24.250000	0	0	0	0	194	0	0	0	0
R3hcc1	24.250000	0	0	0	0	194	0	0	0	0
Polr2e	24.250000	0	0	0	0	194	0	0	0	0
Nwd1	24.250000	0	0	0	0	194	0	0	0	0
Mospd3	24.250000	0	0	0	0	194	0	0	0	0
Kmt5a	24.250000	0	0	0	0	194	0	0	0	0
Gnl3l	24.250000	0	0	0	0	194	0	0	0	0
Fkbp3	24.250000	0	0	0	0	194	0	0	0	0
Fgd4	24.250000	0	0	0	0	116	78	0	0	0
Fancm	24.250000	0	0	0	0	194	0	0	0	0
Faim	24.250000	0	0	0	0	194	0	0	0	0
Ewsr1	24.250000	0	0	0	0	194	0	0	0	0
Coa4	24.250000	0	0	0	0	194	0	0	0	0
Ccdc166	24.250000	0	0	0	0	194	0	0	0	0
1700017B05Rik	24.250000	0	0	0	0	194	0	0	0	0
Zfp65	24.125000	0	0	0	0	193	0	0	0	0
Tctex1d2	24.125000	0	0	0	0	193	0	0	0	0
Stk32c	24.125000	0	0	0	0	193	0	0	0	0
Smg7	24.125000	0	0	0	0	193	0	0	0	0
Schip1	24.125000	0	0	0	0	193	0	0	0	0
Prrg2	24.125000	0	0	0	0	193	0	0	0	0
Ppp1r37	24.125000	0	0	0	88	105	0	0	0	0
Phf21a	24.125000	0	0	0	0	193	0	0	0	0
Nosip	24.125000	0	0	0	0	193	0	0	0	0
Med13	24.125000	0	0	0	0	193	0	0	0	0
Mapkapk5	24.125000	0	0	0	0	193	0	0	0	0
Lrrc27	24.125000	0	0	0	0	193	0	0	0	0
Lrp6	24.125000	0	0	0	0	193	0	0	0	0
Impdh1	24.125000	0	0	0	0	193	0	0	0	0
Dazap2	24.125000	0	0	0	0	193	0	0	0	0
Cdh2	24.125000	0	0	0	0	193	0	0	0	0
C9orf72	24.125000	0	0	0	0	193	0	0	0	0
Amt	24.125000	0	0	0	0	193	0	0	0	0
Zfp608	24.000000	101	0	0	0	0	91	0	0	0
Wdr18	24.000000	0	0	0	0	192	0	0	0	0
Trmt12	24.000000	0	0	0	0	192	0	0	0	0
Tbck	24.000000	0	0	0	0	192	0	0	0	0
Tbce	24.000000	0	0	0	0	192	0	0	0	0
Surf2	24.000000	0	0	0	0	192	0	0	0	0
Surf1	24.000000	0	0	0	0	192	0	0	0	0
Smpd3	24.000000	0	0	0	0	192	0	0	0	0
Slc6a9	24.000000	0	0	0	0	192	0	0	0	0
Sacs	24.000000	0	0	0	0	192	0	0	0	0
Rusc2	24.000000	0	0	0	0	192	0	0	0	0
Rbm27	24.000000	0	0	0	104	88	0	0	0	0
Rbm14	24.000000	0	0	0	0	192	0	0	0	0
Pcyox1l	24.000000	72	0	0	0	120	0	0	0	0
Pcmtd2	24.000000	0	0	0	0	192	0	0	0	0
Nprl3	24.000000	0	0	0	0	192	0	0	0	0
Mrpl35	24.000000	0	0	0	0	192	0	0	0	0
Mbp	24.000000	0	0	0	88	104	0	0	0	0
Hgh1	24.000000	0	0	0	0	192	0	0	0	0
Gns	24.000000	0	0	0	0	192	0	0	0	0
Gm21992	24.000000	0	0	0	0	192	0	0	0	0
Fam214b	24.000000	0	0	0	0	192	0	0	0	0
Dcp1a	24.000000	0	0	0	0	192	0	0	0	0
Cactin	24.000000	0	0	0	0	192	0	0	0	0
Atl3	24.000000	0	0	0	0	192	0	0	0	0
Ate1	24.000000	0	0	0	0	192	0	0	0	0
Aimp1	24.000000	0	0	0	0	192	0	0	0	0
Ypel4	23.875000	0	0	0	0	191	0	0	0	0
Wdr34	23.875000	0	0	0	0	191	0	0	0	0
Tuba1b	23.875000	0	0	0	0	191	0	0	0	0
Trim65	23.875000	0	0	0	0	191	0	0	0	0
Sharpin	23.875000	0	0	0	0	191	0	0	0	0
Pofut2	23.875000	0	0	0	0	191	0	0	0	0
Phlpp1	23.875000	0	0	0	0	191	0	0	0	0
Pelp1	23.875000	0	0	0	0	191	0	0	0	0
Nedd4	23.875000	0	0	0	0	191	0	0	0	0
Mkln1	23.875000	0	0	0	102	89	0	0	0	0
Mapk7	23.875000	0	0	0	0	191	0	0	0	0
Maf1	23.875000	0	0	0	0	191	0	0	0	0
Lrrc51	23.875000	0	0	0	0	191	0	0	0	0
Gstm7	23.875000	0	0	0	0	191	0	0	0	0
Gm35339	23.875000	0	0	0	0	191	0	0	0	0
Eid1	23.875000	0	0	0	100	91	0	0	0	0
Dusp16	23.875000	0	0	0	0	191	0	0	0	0
Dctd	23.875000	0	0	0	0	191	0	0	0	0
Cad	23.875000	0	0	0	0	191	0	0	0	0
Zfp446	23.750000	0	0	0	0	190	0	0	0	0
Zbtb8a	23.750000	0	0	0	0	190	0	0	0	0
Utp20	23.750000	0	0	0	0	190	0	0	0	0
Ttc9c	23.750000	0	0	0	0	190	0	0	0	0
Rufy1	23.750000	0	0	0	0	190	0	0	0	0
Rbm22	23.750000	0	0	0	0	190	0	0	0	0
Rangrf	23.750000	0	0	0	0	190	0	0	0	0
Rab5if	23.750000	0	0	0	0	190	0	0	0	0
Rab39b	23.750000	0	0	0	0	190	0	0	0	0
Purb	23.750000	0	0	0	0	190	0	0	0	0
Nsg2	23.750000	0	0	0	0	190	0	0	0	0
Mavs	23.750000	0	0	0	0	190	0	0	0	0
Map7d1	23.750000	0	0	0	0	190	0	0	0	0
Ltbp4	23.750000	0	0	0	190	0	0	0	0	0
Kbtbd7	23.750000	0	0	0	0	190	0	0	0	0
Hnrnpul2	23.750000	0	0	0	0	190	0	0	0	0
Hdx	23.750000	0	0	0	0	0	190	0	0	0
Gnl2	23.750000	0	0	0	0	190	0	0	0	0
Gamt	23.750000	0	0	0	0	190	0	0	0	0
Fntb	23.750000	0	0	0	0	190	0	0	0	0
Fbxo25	23.750000	0	0	0	0	190	0	0	0	0
Fam118a	23.750000	0	0	0	0	190	0	0	0	0
Eprs	23.750000	0	0	0	0	190	0	0	0	0
Dcps	23.750000	0	0	0	0	190	0	0	0	0
Dazap1	23.750000	0	0	0	0	190	0	0	0	0
Clec11a	23.750000	0	0	0	0	190	0	0	0	0
Cic	23.750000	0	0	0	0	190	0	0	0	0
B3gntl1	23.750000	0	0	0	0	190	0	0	0	0
Abhd18	23.750000	0	0	0	0	190	0	0	0	0
Zfp788	23.625000	0	0	0	0	189	0	0	0	0
Zfp511	23.625000	0	0	0	0	189	0	0	0	0
Tubgcp2	23.625000	0	0	0	0	189	0	0	0	0
Thnsl1	23.625000	0	0	0	0	189	0	0	0	0
Sec23ip	23.625000	0	0	0	0	189	0	0	0	0
Rufy3	23.625000	0	0	0	0	189	0	0	0	0
Rheb	23.625000	0	0	0	73	116	0	0	0	0
Rabgap1l	23.625000	0	0	0	0	189	0	0	0	0
Phtf1	23.625000	0	0	0	0	189	0	0	0	0
Mpv17	23.625000	0	0	0	0	189	0	0	0	0
Mcmbp	23.625000	0	0	0	0	189	0	0	0	0
Hcn3	23.625000	0	0	0	0	189	0	0	0	0
Grhl2	23.625000	0	0	0	189	0	0	0	0	0
Gm45927	23.625000	0	0	0	0	189	0	0	0	0
Gadd45g	23.625000	0	0	0	0	189	0	0	0	0
Enkur	23.625000	0	0	0	0	189	0	0	0	0
Cnot8	23.625000	0	0	0	0	189	0	0	0	0
Clk2	23.625000	0	0	0	0	189	0	0	0	0
Cenpb	23.625000	0	0	0	0	189	0	0	0	0
Cbx2	23.625000	0	0	0	0	189	0	0	0	0
Bicdl1	23.625000	0	0	0	189	0	0	0	0	0
B3gat3	23.625000	0	0	0	0	189	0	0	0	0
Aldoa	23.625000	0	0	0	0	189	0	0	0	0
Vpreb1	23.500000	0	0	0	107	81	0	0	0	0
Ube2b	23.500000	0	0	0	0	188	0	0	0	0
Top3b	23.500000	0	0	0	107	81	0	0	0	0
Sft2d3	23.500000	0	0	0	0	188	0	0	0	0
Selenof	23.500000	0	0	0	0	188	0	0	0	0
Rsf1	23.500000	0	0	0	0	188	0	0	0	0
Rnf10	23.500000	0	0	0	0	188	0	0	0	0
Ranbp3	23.500000	0	0	0	0	188	0	0	0	0
Ptpdc1	23.500000	0	0	0	0	188	0	0	0	0
Prtg	23.500000	0	0	0	0	188	0	0	0	0
Pdss2	23.500000	0	0	0	0	188	0	0	0	0
Opn3	23.500000	0	0	0	0	188	0	0	0	0
Nsun3	23.500000	0	0	0	0	188	0	0	0	0
Map6	23.500000	0	0	0	188	0	0	0	0	0
Letmd1	23.500000	0	0	0	0	188	0	0	0	0
Kcnj16	23.500000	0	0	0	0	188	0	0	0	0
Hs2st1	23.500000	0	0	0	0	188	0	0	0	0
Gm20594	23.500000	0	0	188	0	0	0	0	0	0
Ece1	23.500000	0	0	0	0	188	0	0	0	0
Dzip1	23.500000	0	0	0	0	188	0	0	0	0
Disp2	23.500000	0	0	0	188	0	0	0	0	0
Diaph1	23.500000	0	0	0	0	188	0	0	0	0
Chml	23.500000	0	0	0	0	188	0	0	0	0
Cdkl3	23.500000	0	0	0	0	188	0	0	0	0
Calu	23.500000	0	0	0	0	188	0	0	0	0
Anxa1	23.500000	0	0	0	188	0	0	0	0	0
Aamdc	23.500000	0	0	0	0	188	0	0	0	0
Zfp809	23.375000	0	0	0	0	187	0	0	0	0
Sox12	23.375000	0	0	0	0	187	0	0	0	0
Scyl1	23.375000	0	0	0	0	187	0	0	0	0
Rbck1	23.375000	0	0	0	0	187	0	0	0	0
Pabpn1	23.375000	0	0	0	0	187	0	0	0	0
Nsa2	23.375000	0	0	0	0	187	0	0	0	0
Mdh1b	23.375000	0	0	0	0	187	0	0	0	0
Macroh2a2	23.375000	0	0	0	0	187	0	0	0	0
Lyplal1	23.375000	0	0	0	0	187	0	0	0	0
Iba57	23.375000	0	0	0	0	187	0	0	0	0
Gfm2	23.375000	0	0	0	0	187	0	0	0	0
Gar1	23.375000	0	0	0	0	187	0	0	0	0
Fastkd2	23.375000	0	0	0	0	187	0	0	0	0
Elp6	23.375000	0	0	0	0	187	0	0	0	0
Dus2	23.375000	0	0	0	73	114	0	0	0	0
Dnajc10	23.375000	0	0	0	0	187	0	0	0	0
Dhrs7b	23.375000	0	0	0	0	187	0	0	0	0
Ddx28	23.375000	0	0	0	73	114	0	0	0	0
Capza2	23.375000	0	0	0	0	187	0	0	0	0
Capza1	23.375000	0	0	0	0	187	0	0	0	0
Abraxas2	23.375000	0	0	0	0	187	0	0	0	0
Tmem50a	23.250000	0	186	0	0	0	0	0	0	0
Tln1	23.250000	0	0	0	0	186	0	0	0	0
Rnpc3	23.250000	0	0	0	0	186	0	0	0	0
Rnf2	23.250000	0	0	0	0	186	0	0	0	0
Rbm3	23.250000	0	0	0	0	186	0	0	0	0
Nudt15	23.250000	0	0	0	0	186	0	0	0	0
Krt14	23.250000	0	0	186	0	0	0	0	0	0
Klhl12	23.250000	0	0	0	0	186	0	0	0	0
Klc1	23.250000	0	0	0	0	186	0	0	0	0
Kat7	23.250000	0	0	0	0	186	0	0	0	0
Hnrnph2	23.250000	0	0	0	0	186	0	0	0	0
Gpaa1	23.250000	0	0	0	0	186	0	0	0	0
Gla	23.250000	0	0	0	0	186	0	0	0	0
Exosc4	23.250000	0	0	0	0	186	0	0	0	0
Entpd1	23.250000	0	0	0	0	186	0	0	0	0
Creb3	23.250000	0	0	0	0	186	0	0	0	0
Cdan1	23.250000	0	0	0	69	117	0	0	0	0
Cc2d1b	23.250000	0	0	0	0	186	0	0	0	0
Atf7	23.250000	0	0	0	0	186	0	0	0	0
Araf	23.250000	0	0	0	0	186	0	0	0	0
Zfp964	23.125000	0	0	0	0	185	0	0	0	0
Tnip2	23.125000	0	0	0	0	185	0	0	0	0
Snap91	23.125000	0	0	0	0	185	0	0	0	0
Rps26	23.125000	0	0	0	0	185	0	0	0	0
Rpgrip1l	23.125000	0	0	0	79	106	0	0	0	0
Rita1	23.125000	0	0	0	0	185	0	0	0	0
Psmc3ip	23.125000	0	0	0	0	185	0	0	0	0
Ogfod3	23.125000	0	0	0	0	185	0	0	0	0
Mylk3	23.125000	0	0	0	185	0	0	0	0	0
Med28	23.125000	0	0	0	0	185	0	0	0	0
Ly6g5b	23.125000	0	0	0	0	185	0	0	0	0
Kcnmb4	23.125000	0	0	0	0	185	0	0	0	0
Ints6l	23.125000	0	0	0	0	185	0	0	0	0
Hexdc	23.125000	0	0	0	0	185	0	0	0	0
Gpank1	23.125000	0	0	0	0	185	0	0	0	0
Galnt7	23.125000	0	0	0	76	109	0	0	0	0
Fto	23.125000	0	0	0	79	106	0	0	0	0
Fam181a	23.125000	0	0	0	0	185	0	0	0	0
Fam171a2	23.125000	0	0	0	0	185	0	0	0	0
Ddx54	23.125000	0	0	0	0	185	0	0	0	0
D17H6S53E	23.125000	0	0	0	0	185	0	0	0	0
Csnk2b	23.125000	0	0	0	0	185	0	0	0	0
Clic1	23.125000	0	0	0	107	78	0	0	0	0
Bpifc	23.125000	0	0	0	185	0	0	0	0	0
Astn1	23.125000	0	0	0	0	185	0	0	0	0
Zfp523	23.000000	0	0	0	0	184	0	0	0	0
Ubxn8	23.000000	0	0	0	0	184	0	0	0	0
Ttc14	23.000000	0	0	0	0	184	0	0	0	0
Tomm40	23.000000	0	0	0	0	184	0	0	0	0
Tomm20	23.000000	0	0	0	0	184	0	0	0	0
Tmem120a	23.000000	0	0	0	0	184	0	0	0	0
Tcf4	23.000000	0	0	0	0	184	0	0	0	0
Spink10	23.000000	0	0	0	0	184	0	0	0	0
Sort1	23.000000	0	0	0	0	184	0	0	0	0
Slc25a30	23.000000	0	0	0	0	184	0	0	0	0
Rnf145	23.000000	0	0	0	0	184	0	0	0	0
Raver1	23.000000	0	0	0	0	184	0	0	0	0
Ppib	23.000000	0	0	0	0	184	0	0	0	0
