Target_genes	Foxa3|Average	SRX2379276|Hepatocytes	SRX1564901|Liver	SRX1564902|Liver	SRX2379237|MEF	SRX2379247|MEF	SRX2379266|MEF	SRX2379270|MEF	SRX4405399|MEF	SRX4405401|MEF	SRX4405405|MEF	SRX4405406|MEF	SRX7540355|MEF	SRX7540363|MEF	SRX7569431|MEF	SRX8130872|Tail_fibroblast	SRX8130873|Tail_fibroblast	SRX8130874|Tail_fibroblast	SRX8130875|Tail_fibroblast	SRX8130876|Tail_fibroblast	STRING
Chtf8	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0
Zfr	16.421053	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0
Zfp655	16.421053	0	0	0	175	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp36	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	169	0	0	0
Ttc7	16.421053	0	0	0	156	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smg9	16.421053	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
Prr29	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0
Jam2	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	203	0	0	0
Hpx	16.421053	0	0	0	0	0	0	0	0	187	125	0	0	0	0	0	0	0	0	0	0
Hpcal4	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	178	0
Farp1	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	179	0	0	0
Fam171a1	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0
Fam149a	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0
Cmc2	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	105	0	0
Cenpn	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	105	0	0
Capzb	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	178	0	0	0
Arhgef25	16.421053	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0
Tmc5	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
Tfcp2	16.368421	0	0	0	150	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex35	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0
Pfkl	16.368421	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0
Naaladl1	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	165	0	0	0
Mgat4a	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	188	0	0	0
Gm14393	16.368421	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0
Flacc1	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
Ech1	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	177	0
Coq9	16.368421	0	0	0	131	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciapin1	16.368421	0	0	0	131	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp13a3	16.368421	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0
Uvrag	16.315789	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0
Usp4	16.315789	0	0	0	138	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip3	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	134	0	0
Slc12a9	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	117	0	0
Prr3	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	172	0	0	0
Mzt2	16.315789	0	0	0	86	0	0	0	0	0	0	0	0	116	0	0	108	0	0	0	0
Krt7	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0
Klhdc2	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	68	124	0	0
Gnl1	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	172	0	0	0
Capn10	16.315789	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	110	0	0	85	0
Bmi1	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	176	0	0	0
Arhgef10	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0
0610010F05Rik	16.315789	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0
Tbc1d31	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	195	0	0	0
Taf2	16.263158	0	0	0	183	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strn	16.263158	0	0	0	163	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rerg	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	161	0	0	0
Rab6a	16.263158	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0
Plxnb2	16.263158	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl14	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0
Lrch3	16.263158	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	119	126	0	0	0
Krtap31-2	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	132	0	0	0
C330018D20Rik	16.263158	0	138	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btbd18	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	85	0	0
Wdr1	16.210526	0	0	0	229	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0
Trpm1	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	212	0	0	0
Rbp2	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	236	0
Pml	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0
Pik3c3	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0
Fancg	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0
Ddx55	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	191	0	0	0
Atl2	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	92	123	0
Abcb7	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	233	0	0	0
Ywhag	16.157895	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec11c	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0
Rhox2b	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
Polr3d	16.157895	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map11	16.157895	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
Cebpb	16.157895	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp23	16.157895	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Zfp445	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0
Yes1	16.105263	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0
Trim35	16.105263	0	0	0	150	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imp4	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	130	0	0
Gm8267	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0
Dlg2	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0
Cdc45	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
Ccdc115	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	130	0	0
Abcd2	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	123	0	0	0
4930415O20Rik	16.105263	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0
Ttc3	16.052632	0	0	0	168	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porcn	16.052632	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0
Plcb2	16.052632	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	154	0	0	0
Pbld1	16.052632	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orai3	16.052632	0	0	0	149	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl21a	16.052632	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0
Gpm6b	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	195	0	0	0
Ereg	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0
Ccna2	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	161	0	0	0
Aplp2	16.052632	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0
Tiparp	16.000000	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
Stk24	16.000000	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0
Rbm38	16.000000	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptk2	16.000000	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0
Ptdss1	16.000000	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0
Mterf3	16.000000	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0
Erich4	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	198	0	0	0
Ep400	16.000000	0	0	0	215	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul2	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	143	0
Ctnna1	16.000000	0	0	0	140	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp10d	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0
Zfp428	15.947368	0	0	0	147	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stmn4	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0
Soga3	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0
Rab3gap1	15.947368	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0
Psma5	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0
Prnd	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0
Nvl	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	125	0	0
Metap1d	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	130	0	0	0
Gmps	15.947368	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
Atp2a2	15.947368	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
3830406C13Rik	15.947368	0	0	0	109	95	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
Wdhd1	15.894737	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0
Timm13	15.894737	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0
Ticam1	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	111	0	0	0
Stxbp1	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0
Socs4	15.894737	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0
Slc7a1	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	126	0	0
Rer1	15.894737	0	0	0	130	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat8f4	15.894737	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0
Mospd3	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	88	0	0	0
Morn1	15.894737	0	0	0	130	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl20	15.894737	0	0	0	153	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp9	15.894737	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0
Fam110a	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
Emp3	15.894737	0	0	0	110	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc152	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0
Ccdc114	15.894737	0	0	0	110	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afg3l2	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	164	0	0	0
Adamdec1	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
Zfp595	15.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0
Usp8	15.842105	0	0	0	114	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem116	15.842105	0	0	0	132	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps17	15.842105	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0
Rabl6	15.842105	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0
Lmtk2	15.842105	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0
Ilf3	15.842105	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0
Gxylt1	15.842105	0	0	0	134	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glo1	15.842105	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0
Erp29	15.842105	0	0	0	132	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk3	15.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
Det1	15.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
Cmpk1	15.842105	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
Cmip	15.842105	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0
BC031181	15.842105	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC004004	15.842105	0	0	0	190	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr18	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	179	0	0
Slc15a4	15.789474	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0
Rpl3l	15.789474	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0
Rcvrn	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
Rangrf	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	141	0
Msrb1	15.789474	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0
Ints5	15.789474	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Q1	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	137	0	0	0
Gsto2	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
Gorab	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	153	0	0	0
Dclre1b	15.789474	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0
Ccdc90b	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
Atp5j	15.789474	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0
Atox1	15.789474	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0
Ap4b1	15.789474	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0
Akr1c20	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
1810009A15Rik	15.789474	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syvn1	15.736842	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0
Rab9b	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0
Psen2	15.736842	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm11	15.736842	0	0	0	118	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfn1	15.736842	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0
Krt14	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0
Frmd4a	15.736842	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0
Fmo6	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	192	0	0	0
Emc2	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0
Dnttip2	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	154	0	0	0
Dnajc14	15.736842	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0
Cpa2	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0
Ccdc106	15.736842	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0
Arid1a	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	141	0	0	0
Ap2a1	15.736842	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0
1300017J02Rik	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0
Zbed5	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
Vapa	15.684211	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0
Tnxb	15.684211	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	105	0	0
Smarcal1	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	101	0	0	0
Rpl22	15.684211	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Psmd4	15.684211	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0
Peli2	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
Nelfcd	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0
Gkn3	15.684211	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	110	0	0
Elp5	15.684211	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
Ctdnep1	15.684211	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
Cltrn	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0
Cdk5rap2	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	132	0
Arhgap35	15.684211	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Api5	15.684211	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0
Akr1cl	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
Rundc3b	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0
Rbp7	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0
Polr2f	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	140	0	0	0
Nup153	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	194	0	0	0
Myo6	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	185	0	0
Krt88	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0
H1f1	15.631579	0	0	0	178	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0
Elapor1	15.631579	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	149	0	0
Agpat2	15.631579	0	0	0	105	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acat3	15.631579	0	0	147	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0
1700088E04Rik	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	140	0	0	0
1700013F07Rik	15.631579	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	149	0	0
Usp31	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	112	0	0
Usp22	15.578947	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0
Tex19.1	15.578947	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	165	0	0	0
Slc28a2b	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	153	0
Sft2d2	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0
Rsad1	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	120	0	0
Rgn	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0
Potegl	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0
Plau	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0
Pih1d2	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	134	0
Oplah	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0
Opa3	15.578947	0	0	0	154	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkapd1	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	134	0
Muc13	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	200	0	0	0
Mark2	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	167	0	0	0
Kdm6a	15.578947	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0
Gm19345	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	96	0	0
Slc44a2	15.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	188	0	0
Rps2	15.526316	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl14	15.526316	0	0	0	145	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf151	15.526316	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	15.526316	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0
Ndufb10	15.526316	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps18b	15.526316	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk2	15.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	179	0	0
Gprc5c	15.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	139	0	0
Commd6	15.526316	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0
Ugt1a1	15.473684	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	110	0	108	0	0
Spcs1	15.473684	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0
Rergl	15.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0
Ppbp	15.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	166	0	0	0
Kbtbd2	15.473684	0	0	0	127	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glt8d1	15.473684	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0
Fryl	15.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0
Dnajb3	15.473684	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	110	0	108	0	0
Card6	15.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	168	0	0	0
Arhgap23	15.473684	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
Uroc1	15.421053	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpc4ap	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0
Snx7	15.421053	0	0	0	129	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a4	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0
Slc37a4	15.421053	0	0	0	109	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpina3f	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	79	0	0	0
Rbm17	15.421053	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0
Ormdl3	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	129	0	0	0
Myl12a	15.421053	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0
Ilvbl	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0
Fcrl1	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0
Emb	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	77	0	0
Cnot8	15.421053	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0
Arhgef1	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	178	0	0
Ube4b	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
Rps21	15.368421	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0
Psmc5	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
Ftsj3	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
Ebp	15.368421	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0
Csnk1g3	15.368421	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canx	15.368421	0	0	0	143	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp44	15.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0
Tssk5	15.315789	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm8b	15.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	121	0	0	0
Spata17	15.315789	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0
