Target_genes	Six1|Average	SRX1462976|C3H/10T1/2	SRX3473280|Cochlea	SRX9671583|Cochlea	SRX9671584|Cochlea	SRX3473281|E10.5_embryos	SRX10070638|Otic_vesicle	SRX15441802|Thymic_epithelial_cells	STRING
Nars	25.571429	0	0	0	179	0	0	0	0
Higd2a	25.571429	0	0	0	179	0	0	0	0
Wdr44	25.428571	0	0	0	178	0	0	0	0
Lrtm1	25.428571	178	0	0	0	0	0	0	0
Jam3	25.428571	0	0	0	0	0	178	0	0
H2az1	25.428571	0	0	0	178	0	0	0	0
Dnajb14	25.428571	0	0	0	178	0	0	0	0
Ccdc136	25.428571	0	0	0	178	0	0	0	0
Alg6	25.428571	0	0	0	178	0	0	0	0
Shc2	25.285714	0	0	0	177	0	0	0	0
Napepld	25.285714	0	0	0	177	0	0	0	0
Kctd6	25.285714	0	0	177	0	0	0	0	0
Fez1	25.285714	0	0	0	0	0	177	0	0
Cilp	25.285714	0	0	0	177	0	0	0	0
Ccni	25.285714	0	0	0	177	0	0	0	0
2010109A12Rik	25.285714	0	0	0	177	0	0	0	0
Zfp3	25.142857	0	0	0	176	0	0	0	0
Syne4	25.142857	0	0	89	87	0	0	0	0
Sh2d4b	25.142857	0	0	0	176	0	0	0	0
Ppip5k1	25.142857	0	0	0	176	0	0	0	0
Ndufaf5	25.142857	0	0	0	176	0	0	0	0
Ifi44l	25.142857	0	0	0	176	0	0	0	0
Fundc2	25.142857	0	0	0	176	0	0	0	0
F8	25.142857	0	0	0	176	0	0	0	0
Esf1	25.142857	0	0	0	176	0	0	0	0
Ercc5	25.142857	0	0	0	176	0	0	0	0
Arid5a	25.142857	0	0	0	176	0	0	0	0
Tmcc2	25.000000	0	0	0	175	0	0	0	0
Sbno2	25.000000	0	0	0	175	0	0	0	0
Ppp1r11	25.000000	0	0	0	175	0	0	0	0
Phip	25.000000	0	0	0	0	0	0	175	0
Myorg	25.000000	0	0	0	175	0	0	0	0
Mxi1	25.000000	0	0	0	175	0	0	0	0
Aff4	25.000000	0	0	0	175	0	0	0	0
1110017D15Rik	25.000000	0	0	0	175	0	0	0	0
Nckap1	24.857143	0	0	0	174	0	0	0	0
Mns1	24.857143	0	0	0	174	0	0	0	0
Sp2	24.714286	0	0	0	173	0	0	0	0
Rad54l2	24.714286	0	0	0	173	0	0	0	0
Plxdc2	24.714286	0	0	88	85	0	0	0	0
Mterf2	24.714286	0	0	0	173	0	0	0	0
Ajuba	24.714286	0	0	0	173	0	0	0	0
Zfp397	24.571429	0	0	0	172	0	0	0	0
Sel1l	24.571429	0	0	0	172	0	0	0	0
Rbm39	24.571429	0	0	0	172	0	0	0	0
Prr15	24.571429	0	0	172	0	0	0	0	0
Nfyb	24.571429	0	0	0	172	0	0	0	0
Gja1	24.571429	0	0	172	0	0	0	0	0
Cep20	24.571429	0	0	0	172	0	0	0	0
Ahdc1	24.571429	0	0	0	172	0	0	0	0
4921504E06Rik	24.571429	0	0	0	172	0	0	0	0
Zfp97	24.428571	0	0	0	171	0	0	0	0
Zfp607b	24.428571	0	0	0	171	0	0	0	0
Vmn1r2	24.428571	0	0	0	171	0	0	0	0
Slc25a45	24.428571	0	0	0	171	0	0	0	0
Rplp0	24.428571	0	0	0	171	0	0	0	0
Mep1a	24.428571	0	0	0	171	0	0	0	0
Map3k10	24.428571	0	0	0	171	0	0	0	0
Frmd8	24.428571	0	0	0	171	0	0	0	0
Eif4e	24.428571	0	0	0	171	0	0	0	0
Ddx59	24.428571	0	0	0	171	0	0	0	0
Acaa2	24.428571	0	0	0	171	0	0	0	0
Hnrnpa3	24.285714	0	0	0	170	0	0	0	0
Ghr	24.285714	0	0	0	170	0	0	0	0
Fancc	24.285714	0	0	0	170	0	0	0	0
Bmp5	24.285714	0	0	170	0	0	0	0	0
Trpc4ap	24.142857	0	0	169	0	0	0	0	0
Itga4	24.142857	0	0	169	0	0	0	0	0
Fam178b	24.142857	0	0	169	0	0	0	0	0
Cdk7	24.142857	0	0	0	169	0	0	0	0
Ccdc50	24.142857	0	0	0	169	0	0	0	0
Prr14l	24.000000	0	0	168	0	0	0	0	0
Fam161a	24.000000	0	0	0	168	0	0	0	0
Zscan30	23.857143	0	0	167	0	0	0	0	0
Zfp637	23.857143	0	0	167	0	0	0	0	0
Zfp35	23.857143	0	0	167	0	0	0	0	0
St8sia4	23.857143	0	0	0	167	0	0	0	0
Mgat1	23.857143	0	0	0	167	0	0	0	0
Lif	23.857143	0	0	0	167	0	0	0	0
Glmp	23.857143	0	0	167	0	0	0	0	0
Espnl	23.857143	0	0	0	167	0	0	0	0
Hexa	23.714286	0	0	0	166	0	0	0	0
Gatad2b	23.714286	166	0	0	0	0	0	0	0
Cyren	23.714286	0	0	0	166	0	0	0	0
Zfp560	23.571429	0	0	0	165	0	0	0	0
Tmem37	23.571429	0	0	0	165	0	0	0	0
Rfc5	23.571429	0	0	0	165	0	0	0	0
Magi1	23.571429	0	0	165	0	0	0	0	0
Id2	23.571429	0	0	0	165	0	0	0	0
Eif4a1	23.571429	0	0	0	165	0	0	0	0
Tagap1	23.428571	0	0	164	0	0	0	0	0
Sqstm1	23.428571	0	0	0	164	0	0	0	0
Pdxdc1	23.428571	0	0	0	164	0	0	0	0
Mrps18a	23.428571	0	0	0	164	0	0	0	0
Mpv17l	23.428571	0	0	0	164	0	0	0	0
Jrkl	23.428571	0	0	0	164	0	0	0	0
Foxp1	23.428571	0	0	0	164	0	0	0	0
Foxn3	23.428571	0	0	0	164	0	0	0	0
Ccdc82	23.428571	0	0	0	164	0	0	0	0
Arl6ip1	23.428571	0	0	0	164	0	0	0	0
AW146154	23.428571	0	0	0	164	0	0	0	0
Denr	23.285714	0	0	0	0	0	0	163	0
Vipas39	23.142857	0	0	0	162	0	0	0	0
Skp1	23.142857	0	0	0	162	0	0	0	0
Rnps1	23.142857	0	0	0	162	0	0	0	0
Leng1	23.142857	0	0	0	162	0	0	0	0
Fbxo44	23.142857	0	0	0	162	0	0	0	0
Fbxo2	23.142857	0	0	0	162	0	0	0	0
Csrp2	23.142857	0	0	0	162	0	0	0	0
Bbs1	23.142857	0	0	162	0	0	0	0	0
Arhgef2	23.142857	0	0	0	162	0	0	0	0
Ahsa1	23.142857	0	0	0	162	0	0	0	0
Tnfaip3	23.000000	0	0	0	161	0	0	0	0
Sft2d2	23.000000	0	0	0	161	0	0	0	0
Ptcd2	23.000000	0	0	0	161	0	0	0	0
Pmepa1	23.000000	0	0	0	161	0	0	0	0
Pak1ip1	23.000000	0	0	0	161	0	0	0	0
Mrps27	23.000000	0	0	0	161	0	0	0	0
Lrrc20	23.000000	0	0	0	161	0	0	0	0
Lemd1	23.000000	0	0	0	161	0	0	0	0
Krt40	23.000000	0	0	0	161	0	0	0	0
Gm45915	23.000000	0	0	0	161	0	0	0	0
Cdk15	23.000000	0	0	161	0	0	0	0	0
Zfp37	22.857143	0	0	0	160	0	0	0	0
Zfp128	22.857143	0	0	0	160	0	0	0	0
Yrdc	22.857143	0	0	0	160	0	0	0	0
Wtap	22.857143	0	0	0	160	0	0	0	0
Ttpal	22.857143	0	0	0	160	0	0	0	0
Pcnx3	22.857143	0	0	0	160	0	0	0	0
Nup205	22.857143	0	0	0	160	0	0	0	0
Map3k11	22.857143	0	0	0	160	0	0	0	0
Lin54	22.857143	0	0	0	160	0	0	0	0
Herpud2	22.857143	0	0	0	160	0	0	0	0
Atp9a	22.857143	0	0	0	160	0	0	0	0
1110065P20Rik	22.857143	0	0	0	160	0	0	0	0
Nlrp3	22.714286	0	0	159	0	0	0	0	0
Mknk1	22.714286	0	0	0	159	0	0	0	0
Fez2	22.714286	0	0	0	159	0	0	0	0
Cntln	22.714286	0	0	0	159	0	0	0	0
Arrb2	22.714286	0	0	0	159	0	0	0	0
Arl14ep	22.714286	0	0	0	159	0	0	0	0
Ube4a	22.571429	0	0	158	0	0	0	0	0
Lsm6	22.571429	0	0	0	158	0	0	0	0
Denn2b	22.571429	0	0	0	158	0	0	0	0
Cdk6	22.571429	0	0	0	158	0	0	0	0
C77080	22.571429	0	0	0	158	0	0	0	0
Tmem9	22.428571	0	0	157	0	0	0	0	0
Tirap	22.428571	0	0	0	157	0	0	0	0
Tecpr2	22.428571	0	0	157	0	0	0	0	0
Stk36	22.428571	0	0	157	0	0	0	0	0
Rnf25	22.428571	0	0	157	0	0	0	0	0
Pdss2	22.428571	0	0	0	157	0	0	0	0
Micalcl	22.428571	0	0	157	0	0	0	0	0
Gabpb1	22.428571	0	0	0	157	0	0	0	0
Fbxl22	22.428571	0	0	0	157	0	0	0	0
Efhc1	22.428571	0	0	0	157	0	0	0	0
Ebna1bp2	22.428571	0	0	157	0	0	0	0	0
E4f1	22.428571	0	0	157	0	0	0	0	0
Dcaf11	22.428571	0	0	0	157	0	0	0	0
Dapk3	22.428571	0	0	0	157	0	0	0	0
D2hgdh	22.428571	0	0	0	157	0	0	0	0
Cinp	22.428571	0	0	157	0	0	0	0	0
Cfap57	22.428571	0	0	157	0	0	0	0	0
Vgll4	22.285714	0	0	156	0	0	0	0	0
Sfi1	22.285714	0	0	0	0	0	0	156	0
Scaf8	22.285714	0	0	0	156	0	0	0	0
Mid1ip1	22.285714	0	0	156	0	0	0	0	0
Gnptab	22.285714	0	0	156	0	0	0	0	0
Gfra2	22.285714	0	0	156	0	0	0	0	0
Eif4enif1	22.285714	0	0	0	0	0	0	156	0
Atp6ap1	22.285714	0	0	0	156	0	0	0	0
Vmn2r102	22.142857	0	155	0	0	0	0	0	0
Srrm1	22.142857	0	0	0	155	0	0	0	0
Srp54c	22.142857	0	0	0	155	0	0	0	0
Srp54b	22.142857	0	0	0	155	0	0	0	0
Scrn1	22.142857	0	0	0	155	0	0	0	0
Pip4p2	22.142857	0	0	0	155	0	0	0	0
Kif23	22.142857	0	0	0	155	0	0	0	0
Iqsec3	22.142857	0	0	0	155	0	0	0	0
Gdpd5	22.142857	0	0	0	155	0	0	0	0
Zfp750	22.000000	0	0	0	154	0	0	0	0
Yif1b	22.000000	0	0	154	0	0	0	0	0
Rsph3a	22.000000	0	0	0	154	0	0	0	0
Nkain1	22.000000	0	0	0	154	0	0	0	0
Ggnbp1	22.000000	0	0	0	154	0	0	0	0
Flrt3	22.000000	0	0	154	0	0	0	0	0
Cap1	22.000000	0	0	0	154	0	0	0	0
Baz1b	22.000000	0	0	0	154	0	0	0	0
Bak1	22.000000	0	0	0	154	0	0	0	0
Avl9	22.000000	0	0	0	154	0	0	0	0
Ticam1	21.857143	0	0	0	153	0	0	0	0
Stam	21.857143	0	0	0	153	0	0	0	0
Robo2	21.857143	0	0	0	153	0	0	0	0
Pknox1	21.857143	0	0	0	153	0	0	0	0
Mrs2	21.857143	0	0	0	153	0	0	0	0
Mrpl39	21.857143	0	0	0	153	0	0	0	0
Fndc3c1	21.857143	0	0	0	153	0	0	0	0
Fkbpl	21.857143	0	0	0	153	0	0	0	0
Chordc1	21.857143	0	0	0	153	0	0	0	0
Atp6v1fnb	21.857143	0	0	0	153	0	0	0	0
Atp6v1f	21.857143	0	0	0	153	0	0	0	0
Asrgl1	21.857143	153	0	0	0	0	0	0	0
Tjp3	21.714286	0	0	0	152	0	0	0	0
Sema6a	21.714286	0	0	0	152	0	0	0	0
Pms2	21.714286	0	0	0	152	0	0	0	0
Plxna2	21.714286	0	0	0	152	0	0	0	0
Pip5k1c	21.714286	0	0	0	152	0	0	0	0
Mrpl45	21.714286	0	0	0	152	0	0	0	0
Malsu1	21.714286	0	0	152	0	0	0	0	0
Keap1	21.714286	0	0	152	0	0	0	0	0
Gins3	21.714286	0	0	0	152	0	0	0	0
Aimp2	21.714286	0	0	0	152	0	0	0	0
Zfp174	21.571429	0	0	0	151	0	0	0	0
Ube2i	21.571429	0	0	0	151	0	0	0	0
Stxbp3	21.571429	0	0	0	151	0	0	0	0
Shroom3	21.571429	0	0	0	151	0	0	0	0
Rnf187	21.571429	0	0	0	151	0	0	0	0
Rapgef5	21.571429	0	0	0	151	0	0	0	0
Pmel	21.571429	0	0	0	151	0	0	0	0
Parp8	21.571429	0	0	0	151	0	0	0	0
Odf3l2	21.571429	0	0	0	151	0	0	0	0
Mylk3	21.571429	0	0	0	151	0	0	0	0
Mmadhc	21.571429	0	0	0	151	0	0	0	0
Haus6	21.571429	0	0	151	0	0	0	0	0
Erf	21.571429	0	0	0	151	0	0	0	0
Cycs	21.571429	0	0	0	151	0	0	0	0
Cdk2	21.571429	0	0	0	151	0	0	0	0
Ccdc91	21.571429	0	0	0	151	0	0	0	0
1110051M20Rik	21.571429	0	0	151	0	0	0	0	0
Zfp60	21.428571	0	0	0	150	0	0	0	0
Zfp217	21.428571	0	0	0	150	0	0	0	0
Vwa3b	21.428571	0	0	0	150	0	0	0	0
Ube2o	21.428571	0	0	0	150	0	0	0	0
Shc1	21.428571	0	0	0	150	0	0	0	0
Sardh	21.428571	0	0	0	150	0	0	0	0
Prob1	21.428571	0	0	0	150	0	0	0	0
Pnma1	21.428571	0	0	0	0	0	150	0	0
Kcnk1	21.428571	0	0	0	150	0	0	0	0
Itprip	21.428571	0	0	0	150	0	0	0	0
Gata3	21.428571	0	0	0	150	0	0	0	0
Ephb1	21.428571	0	0	0	150	0	0	0	0
Cks1b	21.428571	0	0	0	150	0	0	0	0
Brpf1	21.428571	0	0	0	150	0	0	0	0
Zswim6	21.285714	0	0	0	149	0	0	0	0
Zfp113	21.285714	0	0	0	149	0	0	0	0
Slc12a9	21.285714	0	0	0	149	0	0	0	0
Sik2	21.285714	0	0	0	149	0	0	0	0
Secisbp2l	21.285714	0	0	0	149	0	0	0	0
Pigh	21.285714	0	0	0	149	0	0	0	0
Nipbl	21.285714	0	0	0	149	0	0	0	0
Klhdc8b	21.285714	0	0	0	149	0	0	0	0
Hdgf	21.285714	0	0	0	149	0	0	0	0
Dact2	21.285714	0	0	0	149	0	0	0	0
Ccdc71	21.285714	0	0	0	149	0	0	0	0
Bub1	21.285714	0	0	0	0	0	149	0	0
Birc5	21.285714	0	0	149	0	0	0	0	0
Atp1b2	21.285714	0	0	0	149	0	0	0	0
Rhof	21.142857	0	0	148	0	0	0	0	0
Mcoln1	21.142857	0	0	0	148	0	0	0	0
Lipe	21.142857	0	0	0	148	0	0	0	0
Ephx2	21.142857	0	0	0	148	0	0	0	0
Ascc2	21.142857	0	0	0	148	0	0	0	0
Wfdc2	21.000000	0	0	0	147	0	0	0	0
Wdr5	21.000000	0	0	0	147	0	0	0	0
St8sia1	21.000000	0	0	0	147	0	0	0	0
Raf1	21.000000	0	0	0	147	0	0	0	0
Ppargc1b	21.000000	0	0	0	147	0	0	0	0
Polm	21.000000	0	0	147	0	0	0	0	0
Nfat5	21.000000	0	0	0	147	0	0	0	0
Midn	21.000000	0	0	147	0	0	0	0	0
Mecom	21.000000	0	0	0	147	0	0	0	0
Grtp1	21.000000	0	0	0	147	0	0	0	0
Gpr135	21.000000	0	0	147	0	0	0	0	0
Abca7	21.000000	0	0	80	67	0	0	0	0
1700113H08Rik	21.000000	0	0	147	0	0	0	0	0
Zfp442	20.857143	0	0	0	146	0	0	0	0
Rbm25	20.857143	0	0	146	0	0	0	0	0
Gpr107	20.857143	0	0	0	146	0	0	0	0
Fkbp9	20.857143	0	0	0	146	0	0	0	0
Zfp354b	20.714286	0	0	0	145	0	0	0	0
Zadh2	20.714286	0	0	145	0	0	0	0	0
Tshz1	20.714286	0	0	145	0	0	0	0	0
Tnrc6b	20.714286	0	0	145	0	0	0	0	0
Tfap4	20.714286	0	0	0	145	0	0	0	0
Rgmb	20.714286	0	0	0	145	0	0	0	0
Nudt5	20.714286	0	0	0	145	0	0	0	0
Lrrc49	20.714286	0	0	0	145	0	0	0	0
Lin28a	20.714286	0	0	145	0	0	0	0	0
Hpcal1	20.714286	0	0	0	145	0	0	0	0
Ctnnbip1	20.714286	0	0	145	0	0	0	0	0
Cmtm7	20.714286	0	0	0	145	0	0	0	0
Chgb	20.714286	0	0	0	145	0	0	0	0
Cdc123	20.714286	0	0	0	145	0	0	0	0
Aanat	20.714286	0	0	145	0	0	0	0	0
Szrd1	20.571429	0	0	0	144	0	0	0	0
Pcdh10	20.571429	0	0	144	0	0	0	0	0
Necab2	20.571429	0	0	0	144	0	0	0	0
Hspe1	20.571429	0	0	0	144	0	0	0	0
Hspd1	20.571429	0	0	0	144	0	0	0	0
Gab2	20.571429	0	0	0	144	0	0	0	0
Blvra	20.571429	0	0	0	144	0	0	0	0
Ap3m2	20.571429	0	0	0	144	0	0	0	0
Zfhx3	20.428571	0	0	0	143	0	0	0	0
Ube2l6	20.428571	0	0	143	0	0	0	0	0
Smim7	20.428571	0	0	0	143	0	0	0	0
Slc1a4	20.428571	0	0	0	143	0	0	0	0
Serinc2	20.428571	0	0	0	143	0	0	0	0
Prkg2	20.428571	0	0	143	0	0	0	0	0
Mybpc1	20.428571	0	0	143	0	0	0	0	0
Lgr4	20.428571	0	0	0	143	0	0	0	0
Kmt5b	20.428571	0	0	0	0	0	0	143	0
Irf9	20.428571	0	0	0	143	0	0	0	0
Iars	20.428571	0	0	0	143	0	0	0	0
Abi1	20.428571	0	0	0	143	0	0	0	0
Zfp935	20.285714	0	0	0	142	0	0	0	0
Wdr11	20.285714	0	0	0	142	0	0	0	0
Usp8	20.285714	0	0	0	142	0	0	0	0
Usp46	20.285714	0	0	142	0	0	0	0	0
Trpc1	20.285714	0	0	0	142	0	0	0	0
Ptprq	20.285714	0	0	0	142	0	0	0	0
Pigq	20.285714	0	0	0	142	0	0	0	0
Nhlrc4	20.285714	0	0	0	142	0	0	0	0
Lama2	20.285714	0	0	0	142	0	0	0	0
Iqsec2	20.285714	0	0	0	142	0	0	0	0
Ipo8	20.285714	0	0	142	0	0	0	0	0
Fmr1	20.285714	0	0	0	142	0	0	0	0
Atp6v1b1	20.285714	0	0	0	142	0	0	0	0
Ankrd13c	20.285714	0	0	0	142	0	0	0	0
Tsc22d1	20.142857	0	0	0	141	0	0	0	0
Trip12	20.142857	0	0	0	141	0	0	0	0
Tnfrsf19	20.142857	0	0	0	141	0	0	0	0
Tctex1d2	20.142857	0	0	141	0	0	0	0	0
Tarsl2	20.142857	0	0	0	141	0	0	0	0
Spice1	20.142857	0	0	0	141	0	0	0	0
Smoc1	20.142857	0	0	0	141	0	0	0	0
Pifo	20.142857	0	0	141	0	0	0	0	0
Kifc1	20.142857	0	0	0	141	0	0	0	0
H4f16	20.142857	0	0	0	141	0	0	0	0
H2aj	20.142857	0	0	0	141	0	0	0	0
Fbxo36	20.142857	0	0	0	141	0	0	0	0
Fam107a	20.142857	0	0	0	141	0	0	0	0
Cdkl5	20.142857	0	0	0	141	0	0	0	0
Cdc6	20.142857	0	0	0	141	0	0	0	0
Bmyc	20.142857	0	0	0	141	0	0	0	0
AI429214	20.142857	0	0	0	141	0	0	0	0
Wnt7a	20.000000	0	0	0	140	0	0	0	0
Wbp11	20.000000	0	0	0	140	0	0	0	0
Tctex1d1	20.000000	0	0	0	140	0	0	0	0
Sv2c	20.000000	0	0	0	140	0	0	0	0
Ssbp4	20.000000	0	0	0	140	0	0	0	0
Pcid2	20.000000	0	0	0	140	0	0	0	0
Nedd4	20.000000	0	0	140	0	0	0	0	0
Mrps21	20.000000	0	0	0	140	0	0	0	0
Mcfd2	20.000000	0	0	0	140	0	0	0	0
Gipc1	20.000000	0	0	0	140	0	0	0	0
Gemin4	20.000000	0	0	140	0	0	0	0	0
Gabrr2	20.000000	0	0	0	140	0	0	0	0
Efna1	20.000000	0	0	0	140	0	0	0	0
Deptor	20.000000	0	0	0	140	0	0	0	0
Dbil5	20.000000	0	0	140	0	0	0	0	0
Cul4a	20.000000	0	0	0	140	0	0	0	0
BC049715	20.000000	0	0	0	140	0	0	0	0
U2af2	19.857143	0	0	139	0	0	0	0	0
Spats2l	19.857143	0	0	139	0	0	0	0	0
Sox21	19.857143	0	0	0	139	0	0	0	0
Rps14	19.857143	0	0	139	0	0	0	0	0
Ppat	19.857143	0	0	0	139	0	0	0	0
Paics	19.857143	0	0	0	139	0	0	0	0
Nsmce4a	19.857143	0	0	0	139	0	0	0	0
Nrbp1	19.857143	0	0	0	139	0	0	0	0
Ndufaf3	19.857143	0	0	139	0	0	0	0	0
Macroh2a2	19.857143	0	0	0	139	0	0	0	0
Katnal2	19.857143	0	0	0	0	0	139	0	0
Isoc2b	19.857143	0	0	0	139	0	0	0	0
Hmgn2	19.857143	0	0	0	139	0	0	0	0
Dalrd3	19.857143	0	0	139	0	0	0	0	0
Cyp4f17	19.857143	0	0	0	139	0	0	0	0
Cdc25b	19.857143	0	0	0	139	0	0	0	0
Ccdc88c	19.857143	0	0	0	139	0	0	0	0
Ccdc106	19.857143	0	0	139	0	0	0	0	0
Akr1cl	19.857143	0	0	0	139	0	0	0	0
Ttc4	19.714286	0	0	0	138	0	0	0	0
Rab11fip2	19.714286	0	0	0	138	0	0	0	0
Plod2	19.714286	0	0	138	0	0	0	0	0
Lrif1	19.714286	0	0	0	138	0	0	0	0
Klhl21	19.714286	0	0	0	138	0	0	0	0
Gm527	19.714286	0	0	0	138	0	0	0	0
Ctcf	19.714286	0	0	138	0	0	0	0	0
Btc	19.714286	0	0	0	138	0	0	0	0
1700034J05Rik	19.714286	0	0	138	0	0	0	0	0
Zbtb40	19.571429	0	0	137	0	0	0	0	0
Tmem274	19.571429	0	0	137	0	0	0	0	0
Rem1	19.571429	0	0	0	137	0	0	0	0
Nutf2	19.571429	0	0	0	137	0	0	0	0
Myo1b	19.571429	0	0	0	137	0	0	0	0
Hmgb1	19.571429	0	0	0	137	0	0	0	0
Gldn	19.571429	0	0	137	0	0	0	0	0
Gbp10	19.571429	0	0	0	137	0	0	0	0
Elovl3	19.571429	0	0	0	137	0	0	0	0
Dnajc18	19.571429	0	0	0	137	0	0	0	0
Defb25	19.571429	0	0	0	137	0	0	0	0
Cacnb1	19.571429	0	0	0	137	0	0	0	0
Cabcoco1	19.571429	0	0	0	137	0	0	0	0
Actrt2	19.571429	0	0	0	137	0	0	0	0
Zfp626	19.428571	0	0	0	136	0	0	0	0
Tmem59l	19.428571	0	0	136	0	0	0	0	0
Prr5l	19.428571	0	0	0	136	0	0	0	0
Nhsl1	19.428571	0	0	0	136	0	0	0	0
Lats2	19.428571	0	0	0	136	0	0	0	0
Grk6	19.428571	0	0	0	136	0	0	0	0
Gm33989	19.428571	0	0	0	136	0	0	0	0
Elmod2	19.428571	0	0	0	136	0	0	0	0
Crlf1	19.428571	0	0	136	0	0	0	0	0
Usp2	19.285714	0	0	0	135	0	0	0	0
Uhrf1	19.285714	0	0	0	135	0	0	0	0
Syncrip	19.285714	0	0	0	135	0	0	0	0
Stk3	19.285714	0	0	0	135	0	0	0	0
Srsf1	19.285714	0	0	0	135	0	0	0	0
Srcap	19.285714	0	0	0	135	0	0	0	0
Sec61a2	19.285714	0	0	0	135	0	0	0	0
Mettl9	19.285714	0	0	0	135	0	0	0	0
Krba1	19.285714	0	0	0	135	0	0	0	0
Ivns1abp	19.285714	0	0	0	135	0	0	0	0
Fmn1	19.285714	0	0	135	0	0	0	0	0
Cdc42se2	19.285714	0	0	0	135	0	0	0	0
Camsap2	19.285714	0	0	135	0	0	0	0	0
Awat2	19.285714	135	0	0	0	0	0	0	0
Arrdc5	19.285714	0	0	0	135	0	0	0	0
Arhgef17	19.285714	0	0	0	135	0	0	0	0
Sod1	19.142857	0	0	0	134	0	0	0	0
Sall2	19.142857	0	0	134	0	0	0	0	0
Ptpre	19.142857	0	0	0	134	0	0	0	0
Prmt6	19.142857	0	0	0	134	0	0	0	0
Pitx3	19.142857	0	0	134	0	0	0	0	0
Pcbp4	19.142857	0	0	0	134	0	0	0	0
Nxn	19.142857	0	0	0	134	0	0	0	0
Nek11	19.142857	0	0	0	134	0	0	0	0
Mlec	19.142857	0	0	0	134	0	0	0	0
Gm536	19.142857	0	0	0	134	0	0	0	0
Gbf1	19.142857	0	0	134	0	0	0	0	0
Cers4	19.142857	0	0	0	134	0	0	0	0
Bcl7b	19.142857	0	0	0	134	0	0	0	0
Aste1	19.142857	0	0	0	134	0	0	0	0
Trmt1	19.000000	0	0	0	133	0	0	0	0
Smpd2	19.000000	0	0	0	133	0	0	0	0
Rpl37	19.000000	0	0	0	133	0	0	0	0
Rbm47	19.000000	0	0	0	133	0	0	0	0
Rbm15b	19.000000	0	0	0	133	0	0	0	0
Pus10	19.000000	0	0	0	133	0	0	0	0
Ppil6	19.000000	0	0	0	133	0	0	0	0
Poll	19.000000	0	0	0	133	0	0	0	0
Pld5	19.000000	0	0	0	133	0	0	0	0
Nus1	19.000000	0	0	0	133	0	0	0	0
Nacc1	19.000000	0	0	0	133	0	0	0	0
Manf	19.000000	0	0	0	133	0	0	0	0
Inpp5e	19.000000	0	0	0	133	0	0	0	0
Dpcd	19.000000	0	0	0	133	0	0	0	0
Cep55	19.000000	0	0	0	133	0	0	0	0
Zfp608	18.857143	0	0	0	132	0	0	0	0
Wdr66	18.857143	0	0	0	0	0	132	0	0
Tmem43	18.857143	0	0	0	132	0	0	0	0
Snrpd2	18.857143	0	0	0	132	0	0	0	0
Rab5if	18.857143	0	0	0	132	0	0	0	0
Qpctl	18.857143	0	0	0	132	0	0	0	0
Pcyt1a	18.857143	0	0	0	132	0	0	0	0
Ngfr	18.857143	0	0	132	0	0	0	0	0
Myo1h	18.857143	0	0	0	132	0	0	0	0
Kcnh6	18.857143	0	0	0	132	0	0	0	0
Chchd4	18.857143	0	0	0	132	0	0	0	0
B2m	18.857143	0	0	0	132	0	0	0	0
Uhmk1	18.714286	0	0	0	131	0	0	0	0
Tab3	18.714286	0	0	0	131	0	0	0	0
St3gal3	18.714286	0	0	0	131	0	0	0	0
Spaca1	18.714286	0	0	0	131	0	0	0	0
Scn8a	18.714286	0	0	0	131	0	0	0	0
S1pr1	18.714286	0	0	0	131	0	0	0	0
Rag2	18.714286	0	0	0	131	0	0	0	0
Plscr1	18.714286	0	0	0	131	0	0	0	0
Pemt	18.714286	0	0	0	131	0	0	0	0
Iftap	18.714286	0	0	0	131	0	0	0	0
Ifna13	18.714286	0	0	0	131	0	0	0	0
Hes1	18.714286	0	0	0	131	0	0	0	0
Gemin8	18.714286	0	0	0	131	0	0	0	0
F2rl1	18.714286	0	0	0	131	0	0	0	0
Cetn4	18.714286	0	0	0	131	0	0	0	0
Cetn3	18.714286	0	0	0	131	0	0	0	0
Cdkn2b	18.714286	0	0	0	131	0	0	0	0
Bbs12	18.714286	0	0	0	131	0	0	0	0
Ano3	18.714286	0	0	0	131	0	0	0	0
2610008E11Rik	18.714286	0	0	0	131	0	0	0	0
2010315B03Rik	18.714286	0	0	0	131	0	0	0	0
Tmprss3	18.571429	0	0	130	0	0	0	0	0
Stk39	18.571429	0	0	0	130	0	0	0	0
Slc6a16	18.571429	0	0	0	130	0	0	0	0
Rpap1	18.571429	0	0	0	130	0	0	0	0
Padi3	18.571429	0	0	0	130	0	0	0	0
Nck1	18.571429	0	0	0	130	0	0	0	0
Msrb3	18.571429	0	0	0	130	0	0	0	0
Lrrc73	18.571429	0	0	0	130	0	0	0	0
Gatd3a	18.571429	0	0	0	130	0	0	0	0
Col11a1	18.571429	0	0	0	130	0	0	0	0
Cd37	18.571429	0	0	0	130	0	0	0	0
Zfp599	18.428571	0	0	0	129	0	0	0	0
Zfp24	18.428571	0	0	129	0	0	0	0	0
Srsf11	18.428571	0	0	0	129	0	0	0	0
Setd1b	18.428571	0	0	0	129	0	0	0	0
Serbp1	18.428571	0	0	0	129	0	0	0	0
Prkar1a	18.428571	0	0	0	129	0	0	0	0
Phf5a	18.428571	0	0	0	129	0	0	0	0
Peli1	18.428571	0	0	0	129	0	0	0	0
Ltbp1	18.428571	0	0	129	0	0	0	0	0
