Target_genes	Smad4|Average	SRX3014617|CD4+_T_cells	SRX3014618|CD4+_T_cells	SRX3014619|CD4+_T_cells	SRX3014620|CD4+_T_cells	SRX13508245|CD8+_T_cells	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX5251388|ES_cells	SRX4046280|Forelimb	SRX4061017|Forelimb	SRX4061018|Forelimb	SRX4061019|Forelimb	SRX4061020|Forelimb	SRX529265|Lung	SRX19498660|Microglia	SRX19498661|Microglia	SRX19498663|Microglia	SRX19498664|Microglia	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Nanp	18.814815	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	101	196	125	0	0	0	0	0	0	0	0	0	0
Mcu	18.814815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	119	91	0	0	0	0	70	105	0	0	0	0
Itgb2	18.814815	99	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0
Gvin1	18.814815	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	184	0	0	0	0
Gm4070	18.814815	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	184	0	0	0	0
Fkbp4	18.814815	0	0	0	0	0	101	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0
Degs1	18.814815	0	0	0	0	0	108	119	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	137	0	0	0	0
Bcap29	18.814815	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	121	0	89	0	0	0	0	0	229	0	0	0	0
Tmem216	18.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	69	184	0	0	0	0	0	160	0	0	0	0
Sp140	18.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	141	0	0	0	0	0	0	162	0	0	0	0
Ptpmt1	18.777778	0	0	0	0	0	108	125	0	0	0	0	0	0	0	0	106	168	0	0	0	0	0	0	0	0	0	0	0
C130073F10Rik	18.777778	0	0	0	0	0	0	0	255	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5g1	18.777778	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	133	93	0	0	0
Gtf3a	18.740741	0	0	0	0	0	88	0	106	0	0	106	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0
Fcrla	18.740741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	114	0	133	0	0	0	0
Trappc1	18.703704	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	192	0	0	0	0
Stip1	18.703704	68	101	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	154	0	0	0	0	0	95	0	0	0	0
Preb	18.703704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	227	0	0	0	0	87	92	0	0	0	0
Ppih	18.703704	103	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0
Pip5kl1	18.703704	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	200	0	0
Micall2	18.703704	0	0	0	0	0	0	0	82	0	0	81	0	0	0	0	0	0	136	0	0	0	0	0	122	0	84	0	0
Kcnab3	18.703704	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	192	0	0	0	0
Dpm2	18.703704	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	200	0	0
Cntrob	18.703704	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	192	0	0	0	0
Ccn1	18.703704	0	0	0	0	0	112	131	0	0	0	0	0	0	0	0	69	65	128	0	0	0	0	0	0	0	0	0	0
Capn1	18.703704	119	0	0	0	0	0	0	87	0	0	86	0	0	0	0	84	0	129	0	0	0	0	0	0	0	0	0	0
Bhlhe41	18.703704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	136	141	0	0	108	0	0	0	0	0	0
Ackr3	18.703704	0	0	0	0	0	0	0	210	0	0	220	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r171	18.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	196	0	0	0	0	0	0	0	0	0	0	0
Snf8	18.666667	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	142	0	0	0	0	0
Npas2	18.666667	227	175	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc3l4	18.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	153	0	0	0	0
E2f1	18.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	222	168	0	0	0	0
Cgnl1	18.666667	0	0	0	0	0	0	0	156	0	0	157	0	0	0	0	102	89	0	0	0	0	0	0	0	0	0	0	0
Syn3	18.629630	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	133	133	137	0	0	0	0	0	0	0	0	0	0
Snx6	18.629630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	108	0	0	0	0	135	148	0	0	0	0	0
Qars	18.629630	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	160	0	0	0	0
Krt7	18.629630	0	0	0	0	0	80	109	0	0	0	0	101	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0
H4c6	18.629630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	206	172	0	0	0	0	0	0	0	0	0	0
H1f3	18.629630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	206	172	0	0	0	0	0	0	0	0	0	0
Glis1	18.629630	0	0	0	0	0	0	0	137	0	0	138	0	0	0	0	0	126	0	0	0	0	0	102	0	0	0	0	0
Dnah6	18.629630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	140	178	0	0	0	0	0	0	0	0	0	0
Ccdc28b	18.629630	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	163	109	0	0	0
Uck2	18.592593	241	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0
Snrpd2	18.592593	163	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0
Slc27a4	18.592593	0	0	0	0	0	0	0	129	0	0	128	0	0	0	0	0	0	97	0	0	0	0	0	0	0	148	0	0
Qpctl	18.592593	163	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0
Plscr4	18.592593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	121	230	0	0	0	0	0	0	0	0	0	0
Gpld1	18.592593	0	0	0	0	0	0	0	135	0	0	134	0	0	0	0	0	0	113	0	0	0	0	120	0	0	0	0	0
Eps15l1	18.592593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	177	0	0	0	0	0	0	0	122	130	0
Ddx21	18.592593	91	140	0	0	0	77	0	0	0	0	0	0	0	0	0	85	0	109	0	0	0	0	0	0	0	0	0	0
4930402H24Rik	18.592593	0	0	0	0	0	133	175	0	0	0	0	0	0	0	0	105	89	0	0	0	0	0	0	0	0	0	0	0
2610524H06Rik	18.592593	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	144	78	0
Ttc22	18.555556	0	0	0	0	0	92	95	158	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcn1	18.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	147	0	0	0	0	0	217	0	0	0	0	0
Pstpip2	18.555556	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	192	132	0	0	0
Exoc7	18.555556	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	122	0	0	0	0	0
Bax	18.555556	88	121	0	0	0	0	0	87	0	0	87	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0
Apold1	18.555556	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	96	0	147	0	0	0	0	0	0	0	0	141	0
Tmem185b	18.518519	0	97	0	0	0	117	173	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0
Siglech	18.518519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	146	82	159	0	0	0	0	0	0
Kif2c	18.518519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	279	0	0	0	0	0	0	0	140	0	0
Kank4	18.518519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	216	125	0	0	0	0	0	0	0	0	0	0
Cxcl10	18.518519	246	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
Camk4	18.518519	141	79	0	0	0	0	0	0	0	0	0	0	0	0	0	159	121	0	0	0	0	0	0	0	0	0	0	0
Cabin1	18.518519	0	0	0	0	0	106	76	0	0	0	0	0	0	0	0	96	69	153	0	0	0	0	0	0	0	0	0	0
Ap2a2	18.518519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	145	0	0	0	0	194	88	0	0	0	0
Zcwpw1	18.481481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	167	151	0	0	0	0
Trappc6b	18.481481	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	77	0	0	0	0	194	0	0	0	0	0
Tedc2	18.481481	0	0	0	0	0	82	132	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	119	0	0	0	0
Srxn1	18.481481	173	129	0	0	0	0	123	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
Prkcz	18.481481	0	75	0	0	0	162	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pilrb1	18.481481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	233	0	0	0
Mepce	18.481481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	167	151	0	0	0	0
Lce1m	18.481481	0	0	0	0	0	0	0	198	0	0	197	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
Fam181b	18.481481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	103	0	0	0	0	0	195	0	0	0	0	0
Crct1	18.481481	0	0	0	0	0	0	0	198	0	0	197	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
1700123O20Rik	18.481481	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	164	0	214	0	0	0	0	0	0	0	0	0	0
Zfp273	18.444444	0	0	0	0	0	107	139	0	0	0	0	0	0	0	0	109	0	143	0	0	0	0	0	0	0	0	0	0
Zfp236	18.444444	124	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	98	0	0	0	0	0
Sybu	18.444444	0	0	0	0	0	188	187	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0
Psme1	18.444444	97	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	81	0	99	0	0
Pcnt	18.444444	76	155	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0
Klf6	18.444444	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	95	0	167	0	0	0	0	0	133	0	0	0	0
Idh3b	18.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	183	0	0	0	0	227	0	0	0	0	0
Fitm1	18.444444	97	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	81	0	99	0	0
Timp3	18.407407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	91	322	0	0	0	0	0	0	0	0	0	0
Tigar	18.407407	0	0	0	0	0	0	0	157	0	0	154	0	0	0	0	101	85	0	0	0	0	0	0	0	0	0	0	0
Snapc5	18.407407	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	133	143	92	0	0	0	0	0	0	0	0	0	0
Smbd1	18.370370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	111	0	0	0	0	0	287	0	0	0	0
Pus7l	18.370370	92	121	0	0	0	0	101	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	89	0	0	0	0
Pgm1	18.370370	0	0	0	0	0	0	0	89	0	0	90	0	0	0	0	101	83	0	0	0	0	0	0	133	0	0	0	0
Pate7	18.370370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	231	0	0	0	0	0	0	0	0	0	0	0
Map3k9	18.370370	0	0	0	0	0	136	146	0	0	0	0	0	0	0	0	112	102	0	0	0	0	0	0	0	0	0	0	0
Irak4	18.370370	92	121	0	0	0	0	101	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	89	0	0	0	0
Gm9508	18.370370	0	0	0	0	0	0	0	206	0	0	211	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0
Dennd10	18.370370	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	142	0	0	0	0
Ccnj	18.370370	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	149	123	0	0	0	0	0	108	0	0	0	0	0
Adcy9	18.370370	0	0	0	0	0	91	87	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	92	104	0	0	0	0
Zfp354b	18.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	117	138	0	0	0	0	175	0	0	0	0	0
Tex10	18.333333	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	69	157	0	0	0	0	0	0	0	0	0	0
Tenm4	18.333333	0	0	0	0	0	0	0	249	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenok	18.333333	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	263	0	0	0	0	0	0	0	0	0	0
Rai14	18.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	93	148	0	0	0	0	124	0	0	0	0	0
Plcl2	18.333333	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	113	159	0	0	0	0	0	107	0	0	0	0	0
Meis1	18.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	268	0	0	0	0	71	88	0	0	0	0
Kif20b	18.333333	60	86	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	115	0	0	0	0	117	0	0	0	0	0
Kcnq3	18.333333	0	0	0	0	0	0	0	128	0	0	127	0	0	0	0	125	0	0	0	0	0	0	115	0	0	0	0	0
Dnal4	18.333333	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	113	146	0	0	0	0
Rerg	18.296296	0	0	0	0	0	0	0	151	0	0	151	0	0	0	0	103	89	0	0	0	0	0	0	0	0	0	0	0
Npm3	18.296296	102	102	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msrb2	18.296296	0	0	0	0	0	0	0	117	0	0	116	0	0	0	0	142	0	0	0	0	0	0	0	119	0	0	0	0
Mecr	18.296296	157	121	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	142	0	0	0	0	0	0	0	0	0	0
Klhl22	18.296296	0	0	0	0	0	0	0	124	0	0	125	0	0	0	0	108	0	137	0	0	0	0	0	0	0	0	0	0
Snap91	18.259259	0	0	0	0	0	0	0	110	0	0	110	0	0	0	0	96	91	0	0	0	0	0	86	0	0	0	0	0
Ring1	18.259259	175	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	96	0	0	0	0
Polr2c	18.259259	138	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0
Mrps18a	18.259259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0
Morf4l1b	18.259259	0	0	0	0	0	0	0	247	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map4k1	18.259259	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	164	0	0	0
Icosl	18.259259	136	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	133	0	0	0	0
Gm3264	18.259259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	231	0	0	0	0	0	0	0	0	0	0	0
Eif3k	18.259259	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	164	0	0	0
Card10	18.259259	0	0	0	0	0	88	162	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0
Acot12	18.259259	0	0	0	0	0	136	136	0	0	0	0	0	0	0	0	117	104	0	0	0	0	0	0	0	0	0	0	0
Tmcc2	18.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	238	0	0	0	0	0	136	0	0	0	0
Nf1	18.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	86	86	0	0	0	0	122	81	0	0	0	0
Mrps24	18.222222	95	0	0	0	0	0	0	132	0	0	134	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0
Gpc1	18.222222	126	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	151	0	0	0	0	0
Cd3d	18.222222	243	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0
Brms1	18.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	258	0	0	0	0	126	0	0	0	0	0
B4gat1	18.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	258	0	0	0	0	126	0	0	0	0	0
2210016F16Rik	18.222222	0	0	0	0	0	135	93	0	0	0	0	0	0	0	0	195	69	0	0	0	0	0	0	0	0	0	0	0
Tspan3	18.185185	0	0	0	0	0	69	111	0	0	0	0	0	0	0	0	126	89	0	0	0	0	0	96	0	0	0	0	0
Tbcd	18.185185	118	82	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	181	0	0	0	0	0	0	0	0	0	0
Steap3	18.185185	0	0	0	0	0	0	0	117	0	0	116	0	0	0	0	81	0	0	0	0	0	0	0	177	0	0	0	0
Sh3bgrl3	18.185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	196	0	0	159	0
Rab32	18.185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	157	0	0	0	0	0	177	85	0	0	0
Nup205	18.185185	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	117	0	0	0	0	107	0	0	0	0	0
H13	18.185185	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	102	186	0	0	0	0	0	0	0	0	0	0
Gsdmd	18.185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	118	0	0	0
Etfbkmt	18.185185	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	218	0	0	0	0
Aloxe3	18.185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	85	0	0	0	0	138	169	0	0	0	0
Zfp97	18.148148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	187	0	0	0	0	0	194	0	0	0	0
Zfp764	18.148148	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	89	92	220	0	0	0	0	0	0	0	0	0	0
Zfp512	18.148148	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	247	0	0	0	0	0	0	0	0	0	0
Ttc16	18.148148	85	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	93	0	0	0	0	0
Spint1	18.148148	0	90	0	0	0	0	93	122	0	0	121	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0
Ptrh1	18.148148	85	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	93	0	0	0	0	0
Dntt	18.148148	311	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chmp4c	18.148148	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	159	153	0	0	0	0	0	0	0	0	0	0	0
Nog	18.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	66	118	0	0	0	0	193	0	0	0	0	0
Kazald1	18.111111	138	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0
Hsdl2	18.111111	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	158	0	95	0	0
Vps35l	18.074074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	140	0	0
Ufsp2	18.074074	65	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	124	0	0	0	0	0	106	0	0	0	0
Stat5a	18.074074	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	112	129	0	0	0	0
Rph3al	18.074074	0	0	0	0	0	172	192	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0
Relb	18.074074	0	92	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	150	0	0
Elavl4	18.074074	0	0	0	0	0	0	0	82	0	0	82	0	0	0	0	150	174	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	18.074074	65	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	124	0	0	0	0	0	106	0	0	0	0
Zfp469	18.037037	0	0	0	0	0	0	0	164	0	0	162	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0
Zbtb20	18.037037	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0
Rundc3a	18.037037	95	0	0	0	0	0	0	144	0	0	145	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0
Mppe1	18.037037	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	124	90	0	0	0	0	102	0	0	0	0	0
Kif13a	18.037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	138	277	0	0	0	0	0	0	0	0	0	0
Fuca2	18.037037	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	93	0	128	0	0	0	0	0	144	0	0	0	0
Fam83b	18.037037	0	0	0	0	0	120	144	0	0	0	0	0	0	0	0	117	106	0	0	0	0	0	0	0	0	0	0	0
Bloc1s2	18.037037	118	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0
Ankrd35	18.037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	102	0	0	0	0	0	302	0	0	0	0
Amacr	18.037037	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	86	139	0	0	0	0	0	0	0	0	0	0
Trmt1	18.000000	0	0	0	0	0	0	0	69	0	0	76	0	0	0	0	0	140	201	0	0	0	0	0	0	0	0	0	0
Sms	18.000000	0	0	0	0	0	0	0	97	0	0	104	0	0	0	0	142	143	0	0	0	0	0	0	0	0	0	0	0
Rab9	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	93	0	0	0	0	0	279	0	0	0	0
Pnmal2	18.000000	0	0	0	0	0	0	0	132	0	0	132	0	0	0	0	95	127	0	0	0	0	0	0	0	0	0	0	0
Nacc1	18.000000	0	0	0	0	0	0	0	69	0	0	76	0	0	0	0	0	140	201	0	0	0	0	0	0	0	0	0	0
Kdm6a	18.000000	0	95	0	0	0	0	89	0	0	0	0	0	0	0	0	0	120	182	0	0	0	0	0	0	0	0	0	0
Ikzf2	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	164	0	0	0	0	0	0	145	0	0	0	0
Gstm2	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	181	109	0	0	0	0	0	0	0	0	0	0
Gm29797	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	414	0	0	0	0	0	0	0	0	0	0
Epb41l5	18.000000	0	0	0	0	0	0	103	83	0	0	0	0	0	0	0	205	95	0	0	0	0	0	0	0	0	0	0	0
Cp	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	139	0	0	106	99	0	0	0	0	0	0
Cep85	18.000000	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	107	117	177	0	0	0	0	0	0	0	0	0	0
Apobec1	18.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	249	0	0	0	0
Zfp948	17.962963	135	139	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	102	0	0	0	0	0
Zfp184	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	122	269	0	0	0	0	0	0	0	0	0	0
Wdr83os	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	118	228	0	0	0	0
Wdr83	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	118	228	0	0	0	0
Trim67	17.962963	0	0	0	0	0	0	0	132	0	0	132	0	0	0	0	78	0	0	0	0	0	0	143	0	0	0	0	0
Rbm12	17.962963	99	0	0	0	0	72	0	0	0	0	0	0	0	0	0	117	95	0	0	0	0	0	102	0	0	0	0	0
Rab29	17.962963	106	177	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	124	0	0	0	0
Polr2g	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	136	0	0	0	0	0	0	0	136	120	0
Pde3b	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	157	0	0	137	0	109	0	0	0	0
Mzt2	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	222	170	0	0	0	0	0	0	0	0	0
Mien1	17.962963	127	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0
H2-Ob	17.962963	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	98	121	0	0	0	0	0	0
Ctc1	17.962963	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	138	0	0	0	0	0	173	0	0	0	0
Cpne1	17.962963	99	0	0	0	0	72	0	0	0	0	0	0	0	0	0	117	95	0	0	0	0	0	102	0	0	0	0	0
Cldn18	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	180	196	109	0	0	0	0	0	0	0	0	0	0	0	0
C3ar1	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	214	134	0
Aqp3	17.962963	0	0	0	0	0	0	0	238	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810055G02Rik	17.962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	81	168	0	0	0	0	0	119	0	0	0	0
