Target_genes	Gli3|Average	SRX20599249|Cortex	SRX23462396|Embryonic_brains	SRX23462397|Embryonic_brains	SRX23462398|Embryonic_brains	SRX386266|Embryonic_limb	STRING
Ell	35.400000	177	0	0	0	0	0
Eef1a2	35.400000	177	0	0	0	0	0
Cracr2b	35.400000	177	0	0	0	0	0
Celf5	35.400000	177	0	0	0	0	0
Avpi1	35.400000	177	0	0	0	0	0
Ap5b1	35.400000	177	0	0	0	0	0
Syt15	35.200000	176	0	0	0	0	0
Syngap1	35.200000	176	0	0	0	0	0
Sowaha	35.200000	176	0	0	0	0	0
Polr2e	35.200000	176	0	0	0	0	0
Phf1	35.200000	176	0	0	0	0	0
Osbp2	35.200000	176	0	0	0	0	0
Msl2	35.200000	0	176	0	0	0	0
Irf9	35.200000	176	0	0	0	0	0
Ggnbp1	35.200000	176	0	0	0	0	0
Fut7	35.200000	176	0	0	0	0	0
Eif4e2	35.200000	176	0	0	0	0	0
Egfl7	35.200000	176	0	0	0	0	0
Dph2	35.200000	176	0	0	0	0	0
Cuta	35.200000	176	0	0	0	0	0
Bak1	35.200000	176	0	0	0	0	0
Atp6v0b	35.200000	176	0	0	0	0	0
Aqp2	35.200000	176	0	0	0	0	0
Abca2	35.200000	176	0	0	0	0	0
1110008P14Rik	35.200000	176	0	0	0	0	0
Zfp936	35.000000	175	0	0	0	0	0
Zfp784	35.000000	175	0	0	0	0	0
Trim56	35.000000	175	0	0	0	0	0
Tmem179	35.000000	175	0	0	0	0	0
Sorbs3	35.000000	175	0	0	0	0	0
Smoc2	35.000000	175	0	0	0	0	0
Rnf112	35.000000	175	0	0	0	0	0
Prss39	35.000000	175	0	0	0	0	0
Orai3	35.000000	175	0	0	0	0	0
Nppc	35.000000	175	0	0	0	0	0
Ndst2	35.000000	0	175	0	0	0	0
Mfng	35.000000	175	0	0	0	0	0
Kcnab2	35.000000	175	0	0	0	0	0
Kank2	35.000000	175	0	0	0	0	0
Isl2	35.000000	175	0	0	0	0	0
Igfals	35.000000	175	0	0	0	0	0
Idua	35.000000	175	0	0	0	0	0
Hhipl1	35.000000	175	0	0	0	0	0
Gfus	35.000000	175	0	0	0	0	0
Galr2	35.000000	175	0	0	0	0	0
Dnase2a	35.000000	175	0	0	0	0	0
Dnaic2	35.000000	175	0	0	0	0	0
Dgkq	35.000000	175	0	0	0	0	0
Crybg1	35.000000	175	0	0	0	0	0
Cope	35.000000	175	0	0	0	0	0
Ccdc86	35.000000	175	0	0	0	0	0
Bglap	35.000000	175	0	0	0	0	0
Atg2a	35.000000	175	0	0	0	0	0
Ano10	35.000000	175	0	0	0	0	0
Znhit1	34.800000	174	0	0	0	0	0
Trim29	34.800000	174	0	0	0	0	0
Tnfrsf25	34.800000	174	0	0	0	0	0
Tcp10c	34.800000	174	0	0	0	0	0
Slc29a1	34.800000	174	0	0	0	0	0
Sbk3	34.800000	174	0	0	0	0	0
Sbk2	34.800000	174	0	0	0	0	0
Raet1e	34.800000	174	0	0	0	0	0
Raet1a	34.800000	174	0	0	0	0	0
Plod3	34.800000	174	0	0	0	0	0
Nkx2-9	34.800000	174	0	0	0	0	0
Mymx	34.800000	174	0	0	0	0	0
Gm3636	34.800000	174	0	0	0	0	0
Fosb	34.800000	174	0	0	0	0	0
Dnah17	34.800000	174	0	0	0	0	0
Car11	34.800000	174	0	0	0	0	0
Bcl7c	34.800000	174	0	0	0	0	0
Arl4d	34.800000	174	0	0	0	0	0
2310039H08Rik	34.800000	174	0	0	0	0	0
Zbtb42	34.600000	173	0	0	0	0	0
Tmem86b	34.600000	173	0	0	0	0	0
Sgta	34.600000	173	0	0	0	0	0
Ruvbl2	34.600000	173	0	0	0	0	0
Pcare	34.600000	173	0	0	0	0	0
Krt42	34.600000	173	0	0	0	0	0
Ilvbl	34.600000	173	0	0	0	0	0
Icam4	34.600000	173	0	0	0	0	0
Gys1	34.600000	173	0	0	0	0	0
Gtpbp3	34.600000	173	0	0	0	0	0
Dmkn	34.600000	173	0	0	0	0	0
Cst6	34.600000	173	0	0	0	0	0
Cluap1	34.600000	173	0	0	0	0	0
Catsper3	34.600000	173	0	0	0	0	0
B3gnt3	34.600000	173	0	0	0	0	0
1700037C18Rik	34.600000	173	0	0	0	0	0
1700021F07Rik	34.600000	173	0	0	0	0	0
Zmynd12	34.400000	172	0	0	0	0	0
Zfp931	34.400000	172	0	0	0	0	0
Zfp879	34.400000	172	0	0	0	0	0
Vnn1	34.400000	172	0	0	0	0	0
Urod	34.400000	172	0	0	0	0	0
Txnl4a	34.400000	172	0	0	0	0	0
Tspan9	34.400000	172	0	0	0	0	0
Treh	34.400000	172	0	0	0	0	0
Tmco6	34.400000	172	0	0	0	0	0
Tgfbr1	34.400000	172	0	0	0	0	0
Tex101	34.400000	172	0	0	0	0	0
Tcf20	34.400000	172	0	0	0	0	0
Tbpl1	34.400000	172	0	0	0	0	0
Tbcel	34.400000	172	0	0	0	0	0
Tada2b	34.400000	172	0	0	0	0	0
Svep1	34.400000	172	0	0	0	0	0
Ssbp3	34.400000	172	0	0	0	0	0
Spry1	34.400000	172	0	0	0	0	0
Spata48	34.400000	172	0	0	0	0	0
Spata3	34.400000	172	0	0	0	0	0
Slc7a7	34.400000	172	0	0	0	0	0
Slc47a2	34.400000	172	0	0	0	0	0
Slc35b1	34.400000	172	0	0	0	0	0
Slc17a8	34.400000	172	0	0	0	0	0
Sh2d4b	34.400000	172	0	0	0	0	0
Sema4d	34.400000	172	0	0	0	0	0
Sema3e	34.400000	172	0	0	0	0	0
Selenow	34.400000	172	0	0	0	0	0
Sec31b	34.400000	172	0	0	0	0	0
Scyl2	34.400000	172	0	0	0	0	0
Scube1	34.400000	172	0	0	0	0	0
Scnn1g	34.400000	172	0	0	0	0	0
Scnn1b	34.400000	172	0	0	0	0	0
Sbp	34.400000	172	0	0	0	0	0
Samd4	34.400000	172	0	0	0	0	0
Rsph14	34.400000	172	0	0	0	0	0
Rpl36al	34.400000	172	0	0	0	0	0
Ripply1	34.400000	172	0	0	0	0	0
Rgs19	34.400000	172	0	0	0	0	0
Rcvrn	34.400000	172	0	0	0	0	0
Rbp7	34.400000	172	0	0	0	0	0
Rasgef1a	34.400000	172	0	0	0	0	0
Rab36	34.400000	172	0	0	0	0	0
Pym1	34.400000	172	0	0	0	0	0
Pxt1	34.400000	172	0	0	0	0	0
Prss46	34.400000	172	0	0	0	0	0
Pnma1	34.400000	172	0	0	0	0	0
Plxnb3	34.400000	172	0	0	0	0	0
Pkmyt1	34.400000	172	0	0	0	0	0
Phrf1	34.400000	172	0	0	0	0	0
Pgap3	34.400000	172	0	0	0	0	0
Pde6g	34.400000	172	0	0	0	0	0
Pde6b	34.400000	172	0	0	0	0	0
Pcdhgb7	34.400000	172	0	0	0	0	0
Pcdhgb5	34.400000	172	0	0	0	0	0
Pcdhga9	34.400000	172	0	0	0	0	0
Pcdhga11	34.400000	172	0	0	0	0	0
Nup153	34.400000	0	172	0	0	0	0
Nfkbiz	34.400000	172	0	0	0	0	0
Myf5	34.400000	172	0	0	0	0	0
Morn3	34.400000	172	0	0	0	0	0
Mocs2	34.400000	172	0	0	0	0	0
Mgat2	34.400000	172	0	0	0	0	0
Mfsd7a	34.400000	172	0	0	0	0	0
Mfsd4b5	34.400000	172	0	0	0	0	0
Mbd3l2	34.400000	172	0	0	0	0	0
Mageb16	34.400000	172	0	0	0	0	0
Ltbp2	34.400000	172	0	0	0	0	0
Lrrc30	34.400000	172	0	0	0	0	0
Lim2	34.400000	172	0	0	0	0	0
Lbhd2	34.400000	172	0	0	0	0	0
LTO1	34.400000	172	0	0	0	0	0
Krtap9-5	34.400000	172	0	0	0	0	0
Krt73	34.400000	172	0	0	0	0	0
Krt24	34.400000	172	0	0	0	0	0
Krt12	34.400000	172	0	0	0	0	0
Klk1	34.400000	172	0	0	0	0	0
Irs4	34.400000	172	0	0	0	0	0
Irak3	34.400000	172	0	0	0	0	0
Ikzf1	34.400000	172	0	0	0	0	0
Ifitm1	34.400000	172	0	0	0	0	0
Htr1a	34.400000	172	0	0	0	0	0
Hmgn2	34.400000	172	0	0	0	0	0
Higd1b	34.400000	172	0	0	0	0	0
Hectd3	34.400000	172	0	0	0	0	0
Hamp	34.400000	172	0	0	0	0	0
H2ab3	34.400000	172	0	0	0	0	0
H2ab1	34.400000	172	0	0	0	0	0
Gsdmd	34.400000	172	0	0	0	0	0
Gramd1c	34.400000	172	0	0	0	0	0
Gpr68	34.400000	172	0	0	0	0	0
Golga7	34.400000	172	0	0	0	0	0
Gng2	34.400000	172	0	0	0	0	0
Gnas	34.400000	172	0	0	0	0	0
Gm45915	34.400000	172	0	0	0	0	0
Gm38999	34.400000	172	0	0	0	0	0
Gm20939	34.400000	172	0	0	0	0	0
Gm16286	34.400000	172	0	0	0	0	0
Gm14151	34.400000	172	0	0	0	0	0
Gm14147	34.400000	172	0	0	0	0	0
Gm1123	34.400000	172	0	0	0	0	0
Gm1110	34.400000	172	0	0	0	0	0
Gm10406	34.400000	172	0	0	0	0	0
Gm10100	34.400000	172	0	0	0	0	0
Gjd2	34.400000	172	0	0	0	0	0
Gfap	34.400000	172	0	0	0	0	0
Gal3st2b	34.400000	172	0	0	0	0	0
Gadl1	34.400000	172	0	0	0	0	0
Gab3	34.400000	172	0	0	0	0	0
Fstl4	34.400000	172	0	0	0	0	0
Fnta	34.400000	172	0	0	0	0	0
Fam83c	34.400000	172	0	0	0	0	0
Fam25c	34.400000	172	0	0	0	0	0
Fam227a	34.400000	172	0	0	0	0	0
Fam160a2	34.400000	172	0	0	0	0	0
Fam118a	34.400000	172	0	0	0	0	0
Epb41l2	34.400000	172	0	0	0	0	0
Entpd3	34.400000	172	0	0	0	0	0
Ehd4	34.400000	172	0	0	0	0	0
Ece2	34.400000	172	0	0	0	0	0
Dpep1	34.400000	172	0	0	0	0	0
Dhodh	34.400000	172	0	0	0	0	0
Dgka	34.400000	172	0	0	0	0	0
Dcpp3	34.400000	172	0	0	0	0	0
Cxcl3	34.400000	172	0	0	0	0	0
Csk	34.400000	172	0	0	0	0	0
Cox8c	34.400000	172	0	0	0	0	0
Col6a5	34.400000	172	0	0	0	0	0
Cntn2	34.400000	172	0	0	0	0	0
Cnga4	34.400000	172	0	0	0	0	0
Cideb	34.400000	172	0	0	0	0	0
Cfap157	34.400000	172	0	0	0	0	0
Ceacam2	34.400000	172	0	0	0	0	0
Cd55b	34.400000	172	0	0	0	0	0
Cd14	34.400000	172	0	0	0	0	0
Ccn5	34.400000	172	0	0	0	0	0
Ccin	34.400000	172	0	0	0	0	0
Ccdc96	34.400000	172	0	0	0	0	0
Cby1	34.400000	172	0	0	0	0	0
Calhm6	34.400000	172	0	0	0	0	0
Brd3os	34.400000	172	0	0	0	0	0
Bpifa3	34.400000	172	0	0	0	0	0
Bcas2	34.400000	172	0	0	0	0	0
Atp5l	34.400000	172	0	0	0	0	0
Apol8	34.400000	172	0	0	0	0	0
Ano9	34.400000	172	0	0	0	0	0
Ackr1	34.400000	172	0	0	0	0	0
A330070K13Rik	34.400000	172	0	0	0	0	0
8030462N17Rik	34.400000	172	0	0	0	0	0
2610042L04Rik	34.400000	172	0	0	0	0	0
Zfp867	34.200000	171	0	0	0	0	0
Zfp276	34.200000	171	0	0	0	0	0
Vps9d1	34.200000	171	0	0	0	0	0
Spaca1	34.200000	171	0	0	0	0	0
Pgap6	34.200000	171	0	0	0	0	0
Opn4	34.200000	171	0	0	0	0	0
Numbl	34.200000	0	171	0	0	0	0
Myh14	34.200000	171	0	0	0	0	0
H6pd	34.200000	171	0	0	0	0	0
Faap24	34.200000	171	0	0	0	0	0
Ephb4	34.200000	171	0	0	0	0	0
Dmtn	34.200000	171	0	0	0	0	0
Dcxr	34.200000	171	0	0	0	0	0
Clcnkb	34.200000	171	0	0	0	0	0
Cbr2	34.200000	171	0	0	0	0	0
Atp6v1e1	34.200000	0	171	0	0	0	0
Adgrv1	34.200000	0	171	0	0	0	0
Aarsd1	34.200000	171	0	0	0	0	0
Zfp646	34.000000	170	0	0	0	0	0
Syngr3	34.000000	170	0	0	0	0	0
Slc11a1	34.000000	170	0	0	0	0	0
Sez6l2	34.000000	170	0	0	0	0	0
Serpinf2	34.000000	170	0	0	0	0	0
Polr2j	34.000000	170	0	0	0	0	0
Mcf2l	34.000000	170	0	0	0	0	0
Ltb	34.000000	170	0	0	0	0	0
Lrrc4b	34.000000	170	0	0	0	0	0
Iqank1	34.000000	170	0	0	0	0	0
Gm5901	34.000000	170	0	0	0	0	0
Fam83h	34.000000	170	0	0	0	0	0
Bmp4	34.000000	170	0	0	0	0	0
B3gnt4	34.000000	170	0	0	0	0	0
Asphd1	34.000000	170	0	0	0	0	0
Vmn1r84	33.800000	169	0	0	0	0	0
Vmac	33.800000	169	0	0	0	0	0
Upk3bl	33.800000	169	0	0	0	0	0
Tmie	33.800000	169	0	0	0	0	0
Tctex1d4	33.800000	169	0	0	0	0	0
T	33.800000	169	0	0	0	0	0
Spata2l	33.800000	169	0	0	0	0	0
Rasgrf2	33.800000	169	0	0	0	0	0
Plk3	33.800000	169	0	0	0	0	0
Pklr	33.800000	169	0	0	0	0	0
Ndufa11	33.800000	169	0	0	0	0	0
Midn	33.800000	169	0	0	0	0	0
Lrrc32	33.800000	169	0	0	0	0	0
Limd2	33.800000	169	0	0	0	0	0
Kcnj12	33.800000	169	0	0	0	0	0
Hoxb8	33.800000	169	0	0	0	0	0
Hoxb7	33.800000	169	0	0	0	0	0
Gja3	33.800000	169	0	0	0	0	0
Drap1	33.800000	169	0	0	0	0	0
Ctdsp1	33.800000	169	0	0	0	0	0
Cdk18	33.800000	169	0	0	0	0	0
Ccm2l	33.800000	169	0	0	0	0	0
Btbd19	33.800000	169	0	0	0	0	0
Als2cl	33.800000	169	0	0	0	0	0
Adra2b	33.800000	169	0	0	0	0	0
AI837181	33.800000	169	0	0	0	0	0
Wfdc1	33.600000	168	0	0	0	0	0
Tnp2	33.600000	168	0	0	0	0	0
Sirt7	33.600000	168	0	0	0	0	0
Sh2d5	33.600000	168	0	0	0	0	0
Rbpjl	33.600000	168	0	0	0	0	0
Prm3	33.600000	168	0	0	0	0	0
Pnma2	33.600000	168	0	0	0	0	0
Phc2	33.600000	168	0	0	0	0	0
Mfsd5	33.600000	168	0	0	0	0	0
Matn4	33.600000	168	0	0	0	0	0
Mafg	33.600000	168	0	0	0	0	0
H2al1o	33.600000	168	0	0	0	0	0
Gpr84	33.600000	168	0	0	0	0	0
Fndc11	33.600000	168	0	0	0	0	0
Egfl8	33.600000	168	0	0	0	0	0
Efna2	33.600000	168	0	0	0	0	0
Dpysl2	33.600000	168	0	0	0	0	0
Dok7	33.600000	168	0	0	0	0	0
Cfap410	33.600000	168	0	0	0	0	0
Agpat1	33.600000	168	0	0	0	0	0
Trmt112	33.400000	167	0	0	0	0	0
Tob1	33.400000	167	0	0	0	0	0
Tle6	33.400000	167	0	0	0	0	0
Tbx2	33.400000	167	0	0	0	0	0
Sun2	33.400000	167	0	0	0	0	0
Sipa1	33.400000	167	0	0	0	0	0
Sfrp5	33.400000	167	0	0	0	0	0
Prrt4	33.400000	167	0	0	0	0	0
Prdx5	33.400000	167	0	0	0	0	0
Ndufa5	33.400000	0	167	0	0	0	0
Muc6	33.400000	167	0	0	0	0	0
Irx6	33.400000	167	0	0	0	0	0
Gm15455	33.400000	167	0	0	0	0	0
Glyctk	33.400000	167	0	0	0	0	0
Ghdc	33.400000	167	0	0	0	0	0
Gas6	33.400000	167	0	0	0	0	0
Gabbr1	33.400000	0	167	0	0	0	0
Faim2	33.400000	167	0	0	0	0	0
Ddx41	33.400000	167	0	0	0	0	0
Ctsa	33.400000	167	0	0	0	0	0
Cln6	33.400000	167	0	0	0	0	0
Bcl3	33.400000	167	0	0	0	0	0
Asb15	33.400000	0	167	0	0	0	0
Zp3	33.200000	166	0	0	0	0	0
Traf4	33.200000	166	0	0	0	0	0
Tle7	33.200000	166	0	0	0	0	0
Snai3	33.200000	166	0	0	0	0	0
Rasl10a	33.200000	166	0	0	0	0	0
Ppp2r2c	33.200000	166	0	0	0	0	0
Mvb12a	33.200000	166	0	0	0	0	0
Mdfi	33.200000	166	0	0	0	0	0
Mcm7	33.200000	0	166	0	0	0	0
Lgals6	33.200000	166	0	0	0	0	0
Lgals4	33.200000	166	0	0	0	0	0
Gata6	33.200000	166	0	0	0	0	0
Fnbp1	33.200000	166	0	0	0	0	0
Ctsf	33.200000	166	0	0	0	0	0
Cldn19	33.200000	166	0	0	0	0	0
Cebpe	33.200000	166	0	0	0	0	0
Cavin1	33.200000	166	0	0	0	0	0
Ap4m1	33.200000	0	166	0	0	0	0
Ak1	33.200000	166	0	0	0	0	0
Zfp619	33.000000	165	0	0	0	0	0
Tada3	33.000000	165	0	0	0	0	0
Smarcd2	33.000000	165	0	0	0	0	0
Ptprcap	33.000000	165	0	0	0	0	0
Polg	33.000000	165	0	0	0	0	0
Podnl1	33.000000	165	0	0	0	0	0
Mrgbp	33.000000	165	0	0	0	0	0
Lrrc56	33.000000	165	0	0	0	0	0
Lfng	33.000000	165	0	0	0	0	0
Kcnh8	33.000000	0	165	0	0	0	0
Il13	33.000000	165	0	0	0	0	0
Hras	33.000000	165	0	0	0	0	0
Hoxb13	33.000000	165	0	0	0	0	0
Gm36712	33.000000	165	0	0	0	0	0
Galnt6	33.000000	165	0	0	0	0	0
Ficd	33.000000	165	0	0	0	0	0
Def6	33.000000	165	0	0	0	0	0
Avpr1b	33.000000	165	0	0	0	0	0
Arpc4	33.000000	165	0	0	0	0	0
Usp37	32.800000	0	164	0	0	0	0
Tmem240	32.800000	164	0	0	0	0	0
Shisa8	32.800000	164	0	0	0	0	0
Rhov	32.800000	164	0	0	0	0	0
Myo7a	32.800000	164	0	0	0	0	0
Lad1	32.800000	164	0	0	0	0	0
Kifc2	32.800000	164	0	0	0	0	0
Gpr182	32.800000	164	0	0	0	0	0
Gnmt	32.800000	164	0	0	0	0	0
Eva1b	32.800000	164	0	0	0	0	0
Entpd7	32.800000	0	164	0	0	0	0
Cyhr1	32.800000	164	0	0	0	0	0
Cnot9	32.800000	0	164	0	0	0	0
Clcn4	32.800000	164	0	0	0	0	0
Ccdc194	32.800000	164	0	0	0	0	0
Arl4a	32.800000	0	164	0	0	0	0
A930017K11Rik	32.800000	164	0	0	0	0	0
Zfp775	32.600000	163	0	0	0	0	0
Zc3h10	32.600000	163	0	0	0	0	0
Vars	32.600000	163	0	0	0	0	0
Uhrf1	32.600000	163	0	0	0	0	0
Tmem201	32.600000	163	0	0	0	0	0
Tmem127	32.600000	163	0	0	0	0	0
Slc22a20	32.600000	163	0	0	0	0	0
Sirt1	32.600000	0	163	0	0	0	0
Rpl41	32.600000	163	0	0	0	0	0
Repin1	32.600000	163	0	0	0	0	0
Nnat	32.600000	163	0	0	0	0	0
Mag	32.600000	163	0	0	0	0	0
Hnf1a	32.600000	163	0	0	0	0	0
Gzmm	32.600000	163	0	0	0	0	0
Gpr20	32.600000	163	0	0	0	0	0
Gm5737	32.600000	163	0	0	0	0	0
Fam83f	32.600000	163	0	0	0	0	0
D1Pas1	32.600000	163	0	0	0	0	0
D17H6S56E-5	32.600000	163	0	0	0	0	0
Ciao1	32.600000	163	0	0	0	0	0
Cacna1i	32.600000	163	0	0	0	0	0
Acly	32.600000	163	0	0	0	0	0
Zfp92	32.400000	162	0	0	0	0	0
Zan	32.400000	162	0	0	0	0	0
Ypel4	32.400000	162	0	0	0	0	0
Vps37c	32.400000	162	0	0	0	0	0
Vit	32.400000	162	0	0	0	0	0
Vat1	32.400000	162	0	0	0	0	0
Txnip	32.400000	162	0	0	0	0	0
Tut4	32.400000	162	0	0	0	0	0
Tubg1	32.400000	162	0	0	0	0	0
Trh	32.400000	162	0	0	0	0	0
Tnfaip2	32.400000	162	0	0	0	0	0
Tmem214	32.400000	162	0	0	0	0	0
Tmem144	32.400000	162	0	0	0	0	0
Tmem123	32.400000	162	0	0	0	0	0
Tm4sf5	32.400000	162	0	0	0	0	0
Thsd4	32.400000	162	0	0	0	0	0
Terb2	32.400000	162	0	0	0	0	0
Tepp	32.400000	162	0	0	0	0	0
Tdh	32.400000	162	0	0	0	0	0
Tbc1d13	32.400000	162	0	0	0	0	0
Syt13	32.400000	162	0	0	0	0	0
Stk11ip	32.400000	0	162	0	0	0	0
Sstr4	32.400000	162	0	0	0	0	0
Ssc4d	32.400000	162	0	0	0	0	0
Spire1	32.400000	162	0	0	0	0	0
Sphk1	32.400000	162	0	0	0	0	0
Smim12	32.400000	162	0	0	0	0	0
Slc6a4	32.400000	162	0	0	0	0	0
Slc5a10	32.400000	162	0	0	0	0	0
Slc15a1	32.400000	162	0	0	0	0	0
Shisa7	32.400000	162	0	0	0	0	0
Sh3bp2	32.400000	162	0	0	0	0	0
Serpinb6c	32.400000	162	0	0	0	0	0
Sema3b	32.400000	162	0	0	0	0	0
Scgn	32.400000	162	0	0	0	0	0
Rspo1	32.400000	162	0	0	0	0	0
Robo4	32.400000	162	0	0	0	0	0
Rnf215	32.400000	162	0	0	0	0	0
Rnd2	32.400000	162	0	0	0	0	0
Rdh5	32.400000	162	0	0	0	0	0
Rab9	32.400000	162	0	0	0	0	0
Rab13	32.400000	162	0	0	0	0	0
Qrfpr	32.400000	162	0	0	0	0	0
Pyy	32.400000	162	0	0	0	0	0
Ptprb	32.400000	162	0	0	0	0	0
Pstpip1	32.400000	162	0	0	0	0	0
Prss47	32.400000	162	0	0	0	0	0
Prkag2	32.400000	162	0	0	0	0	0
Prdm13	32.400000	162	0	0	0	0	0
Ppp3r2	32.400000	162	0	0	0	0	0
Ppp2r5c	32.400000	162	0	0	0	0	0
Plekho1	32.400000	162	0	0	0	0	0
Pdlim2	32.400000	162	0	0	0	0	0
Pdlim1	32.400000	162	0	0	0	0	0
Pcdhgc5	32.400000	162	0	0	0	0	0
Pcdhgb8	32.400000	162	0	0	0	0	0
Pcdhga12	32.400000	162	0	0	0	0	0
Patl2	32.400000	162	0	0	0	0	0
Parp12	32.400000	162	0	0	0	0	0
Osbp	32.400000	162	0	0	0	0	0
Nrl	32.400000	162	0	0	0	0	0
Noxa1	32.400000	162	0	0	0	0	0
Nlrc4	32.400000	162	0	0	0	0	0
Nars2	32.400000	162	0	0	0	0	0
Mtg1	32.400000	162	0	0	0	0	0
Mrgprx1	32.400000	162	0	0	0	0	0
Mov10l1	32.400000	162	0	0	0	0	0
Mogat2	32.400000	162	0	0	0	0	0
Mlc1	32.400000	162	0	0	0	0	0
Mark2	32.400000	162	0	0	0	0	0
Mapk3	32.400000	162	0	0	0	0	0
Man1a2	32.400000	162	0	0	0	0	0
Magix	32.400000	162	0	0	0	0	0
Ly6a	32.400000	162	0	0	0	0	0
Ltn1	32.400000	162	0	0	0	0	0
Lrrc14b	32.400000	162	0	0	0	0	0
Lmna	32.400000	162	0	0	0	0	0
Krt18	32.400000	162	0	0	0	0	0
Klhl33	32.400000	162	0	0	0	0	0
Kif13a	32.400000	0	162	0	0	0	0
Kcnn3	32.400000	162	0	0	0	0	0
Hoxc13	32.400000	162	0	0	0	0	0
Higd1c	32.400000	162	0	0	0	0	0
H2-DMa	32.400000	162	0	0	0	0	0
H1f8	32.400000	162	0	0	0	0	0
Gucy2c	32.400000	162	0	0	0	0	0
Gtsf2	32.400000	162	0	0	0	0	0
Gstp2	32.400000	162	0	0	0	0	0
Gstp1	32.400000	162	0	0	0	0	0
Gm3336	32.400000	162	0	0	0	0	0
Gm266	32.400000	162	0	0	0	0	0
Gm10654	32.400000	162	0	0	0	0	0
Fxyd2	32.400000	162	0	0	0	0	0
Fshr	32.400000	162	0	0	0	0	0
Frmd4a	32.400000	162	0	0	0	0	0
Fgr	32.400000	162	0	0	0	0	0
Fcamr	32.400000	162	0	0	0	0	0
Fbp1	32.400000	162	0	0	0	0	0
Dnah10	32.400000	162	0	0	0	0	0
Dennd2c	32.400000	162	0	0	0	0	0
Dact2	32.400000	162	0	0	0	0	0
Cyp4x1	32.400000	162	0	0	0	0	0
Cyp2a4	32.400000	162	0	0	0	0	0
Ctrb1	32.400000	162	0	0	0	0	0
Cmtm2a	32.400000	162	0	0	0	0	0
Cfc1	32.400000	162	0	0	0	0	0
Cdk5r1	32.400000	162	0	0	0	0	0
Ccdc68	32.400000	162	0	0	0	0	0
Ccdc3	32.400000	162	0	0	0	0	0
Ccdc125	32.400000	162	0	0	0	0	0
Cartpt	32.400000	162	0	0	0	0	0
Card11	32.400000	162	0	0	0	0	0
Calr4	32.400000	162	0	0	0	0	0
Bst2	32.400000	162	0	0	0	0	0
Bloc1s1	32.400000	162	0	0	0	0	0
Bckdk	32.400000	162	0	0	0	0	0
Barx2	32.400000	162	0	0	0	0	0
B430306N03Rik	32.400000	162	0	0	0	0	0
Asb12	32.400000	162	0	0	0	0	0
Ankrd2	32.400000	162	0	0	0	0	0
Agrn	32.400000	162	0	0	0	0	0
Adgrl4	32.400000	162	0	0	0	0	0
Adam30	32.400000	162	0	0	0	0	0
Acot12	32.400000	162	0	0	0	0	0
7420426K07Rik	32.400000	162	0	0	0	0	0
4932414N04Rik	32.400000	162	0	0	0	0	0
4930524B15Rik	32.400000	162	0	0	0	0	0
4921524J17Rik	32.400000	162	0	0	0	0	0
1700019D03Rik	32.400000	162	0	0	0	0	0
1700012B09Rik	32.400000	162	0	0	0	0	0
1700001C19Rik	32.400000	162	0	0	0	0	0
Ydjc	32.200000	161	0	0	0	0	0
Wscd2	32.200000	161	0	0	0	0	0
Tuba4a	32.200000	161	0	0	0	0	0
Tspan4	32.200000	161	0	0	0	0	0
Tln1	32.200000	161	0	0	0	0	0
Tgfb1i1	32.200000	161	0	0	0	0	0
Stk16	32.200000	161	0	0	0	0	0
Sfxn3	32.200000	161	0	0	0	0	0
Sbk1	32.200000	161	0	0	0	0	0
Rnf207	32.200000	161	0	0	0	0	0
Pusl1	32.200000	161	0	0	0	0	0
Ptp4a3	32.200000	161	0	0	0	0	0
Psors1c2	32.200000	161	0	0	0	0	0
Prkd2	32.200000	161	0	0	0	0	0
Polr2l	32.200000	161	0	0	0	0	0
Pnpla5	32.200000	161	0	0	0	0	0
Pilra	32.200000	161	0	0	0	0	0
Parp10	32.200000	161	0	0	0	0	0
Lmntd1	32.200000	161	0	0	0	0	0
Katnbl1	32.200000	0	161	0	0	0	0
Grina	32.200000	161	0	0	0	0	0
Gm4869	32.200000	161	0	0	0	0	0
Fer1l4	32.200000	161	0	0	0	0	0
Ecm1	32.200000	161	0	0	0	0	0
Dhps	32.200000	161	0	0	0	0	0
Creb3	32.200000	161	0	0	0	0	0
Cplx1	32.200000	161	0	0	0	0	0
Cldn3	32.200000	161	0	0	0	0	0
Cd151	32.200000	161	0	0	0	0	0
Ccdc116	32.200000	161	0	0	0	0	0
Bud13	32.200000	161	0	0	0	0	0
Btbd17	32.200000	161	0	0	0	0	0
Bace1	32.200000	161	0	0	0	0	0
Acap3	32.200000	161	0	0	0	0	0
Tssk3	32.000000	160	0	0	0	0	0
Th	32.000000	160	0	0	0	0	0
Spsb3	32.000000	160	0	0	0	0	0
Rin1	32.000000	160	0	0	0	0	0
Rassf7	32.000000	160	0	0	0	0	0
Nme3	32.000000	160	0	0	0	0	0
Myom3	32.000000	160	0	0	0	0	0
Mrps34	32.000000	160	0	0	0	0	0
Mbd3	32.000000	160	0	0	0	0	0
Lmntd2	32.000000	160	0	0	0	0	0
Lime1	32.000000	160	0	0	0	0	0
Lgals12	32.000000	0	160	0	0	0	0
Kash5	32.000000	160	0	0	0	0	0
Il6st	32.000000	160	0	0	0	0	0
H2-Q1	32.000000	160	0	0	0	0	0
Gpd1	32.000000	160	0	0	0	0	0
Gm5294	32.000000	160	0	0	0	0	0
