Target_genes	Mycn|Average	SRX821477|Medulloblastoma	SRX821480|Medulloblastoma	SRX2960250|Neuroblastoma	SRX2960253|Neuroblastoma	SRX2960256|Neuroblastoma	SRX8423446|Tumor	SRX8423448|Tumor	SRX8423450|Tumor	SRX8423452|Tumor	SRX8423454|Tumor	SRX14407156|T_cell_lymphoma_cells	STRING
Zfp760	153.181818	0	0	508	0	0	89	109	0	0	979	0	0
Zfhx2	153.181818	0	0	0	0	0	188	413	0	0	1084	0	0
Thtpa	153.181818	0	0	0	0	0	188	413	0	0	1084	0	0
Sptbn2	153.181818	0	0	0	0	0	0	220	0	0	1465	0	0
Pafah2	153.181818	0	0	0	0	0	135	253	119	0	1178	0	0
Glis2	153.181818	0	0	0	0	0	85	249	0	0	1351	0	0
Cpt1b	153.181818	50	232	0	0	0	240	229	149	146	639	0	0
Chkb	153.181818	50	232	0	0	0	240	229	149	146	639	0	0
Zscan12	153.090909	0	0	0	0	0	164	340	0	0	1180	0	0
Slc35a3	153.090909	0	99	0	0	0	124	370	0	92	999	0	0
Bub3	153.090909	0	0	0	0	0	155	303	130	103	993	0	0
Hrh1	153.000000	0	0	0	0	0	0	0	0	0	1683	0	0
Gypc	153.000000	0	0	0	0	0	0	383	0	0	1300	0	0
Epb41l2	153.000000	0	0	0	0	0	145	226	0	126	1186	0	0
Cpeb1	153.000000	0	0	375	112	0	0	311	0	0	885	0	0
Abraxas2	153.000000	0	79	0	0	0	105	221	0	0	1278	0	0
Tmem243	152.909091	0	0	0	0	0	204	255	0	99	1124	0	0
Bcl10	152.909091	0	0	0	0	0	100	185	102	161	1134	0	0
Zhx1	152.818182	0	257	0	0	0	110	330	118	0	866	0	0
Mblac1	152.818182	0	158	0	0	0	146	315	0	119	943	0	0
Arf3	152.818182	0	255	0	0	0	151	191	0	125	959	0	0
Six2	152.727273	0	0	0	0	0	0	95	191	264	1130	0	0
Rad21	152.727273	0	0	0	0	0	136	227	0	107	1210	0	0
Fam199x	152.636364	0	0	0	0	0	97	148	0	0	1434	0	0
Yipf2	152.545455	0	125	0	0	0	128	322	142	138	823	0	0
Timm29	152.545455	0	125	0	0	0	128	322	142	138	823	0	0
Spire2	152.545455	0	279	0	0	0	0	224	0	0	1175	0	0
Rad54l2	152.545455	0	99	0	0	0	111	356	0	0	1112	0	0
Ppp6r2	152.545455	0	121	0	0	0	208	349	0	0	1000	0	0
Nsa2	152.454545	0	0	0	0	0	108	346	149	130	944	0	0
Mapk3	152.454545	0	0	0	0	0	398	186	0	0	1093	0	0
Gfm2	152.454545	0	0	0	0	0	108	346	149	130	944	0	0
Bcr	152.454545	0	0	0	0	0	119	263	0	0	1295	0	0
Vmp1	152.363636	0	0	0	0	0	154	239	148	136	999	0	0
Ptrh2	152.363636	0	0	0	0	0	154	239	148	136	999	0	0
Fam53b	152.363636	0	0	0	0	0	145	409	0	149	973	0	0
Fam193b	152.363636	0	0	0	0	0	148	277	86	112	1053	0	0
Fam13c	152.363636	0	0	0	0	0	0	86	0	0	1590	0	0
Dcaf10	152.363636	0	223	0	0	0	189	242	0	140	882	0	0
Vps4b	152.272727	0	0	0	0	0	189	469	90	115	812	0	0
Trim71	152.272727	0	473	0	0	0	0	133	0	0	1069	0	0
Nsg2	152.272727	0	249	0	0	0	0	0	0	0	1426	0	0
H4f16	152.272727	0	113	117	0	0	221	376	124	163	561	0	0
H2aj	152.272727	0	113	117	0	0	221	376	124	163	561	0	0
Acsl5	152.272727	0	0	0	104	0	128	464	0	0	893	86	0
Mfsd4a	152.181818	0	0	0	0	0	235	268	0	0	1171	0	0
Epcam	152.181818	0	0	0	0	0	214	186	119	178	977	0	0
Ell	152.181818	0	0	0	0	0	193	169	178	134	924	76	0
Dcp1a	152.181818	0	0	0	0	0	133	228	97	125	1091	0	0
Lrch4	152.090909	0	0	0	0	0	100	210	134	120	1109	0	0
Fbxo24	152.090909	0	0	0	0	0	100	210	134	120	1109	0	0
Stk10	152.000000	0	0	0	0	0	236	214	74	118	934	96	0
Snx32	152.000000	0	0	174	0	0	143	148	87	0	1120	0	0
Plekhg3	152.000000	0	63	0	0	0	311	403	0	0	895	0	0
Mta1	152.000000	0	111	0	0	0	169	548	0	0	844	0	0
Tbc1d10c	151.909091	0	0	0	0	0	177	409	0	138	947	0	0
Ppp1ca	151.909091	0	0	0	0	0	177	409	0	138	947	0	0
Cenpw	151.909091	0	0	0	0	0	0	101	0	0	1570	0	0
2700081O15Rik	151.909091	0	0	0	0	0	162	399	0	0	1110	0	0
Syt8	151.818182	0	0	0	0	0	356	461	0	0	853	0	0
Pkd2	151.818182	0	0	0	0	0	151	465	0	201	853	0	0
Lekr1	151.818182	0	0	0	0	0	242	313	140	99	876	0	0
Kcnk10	151.818182	0	329	0	0	0	0	0	0	0	1341	0	0
Prex1	151.727273	0	102	0	0	0	102	135	112	0	1218	0	0
Mgat4b	151.727273	0	0	0	0	0	116	423	0	89	1041	0	0
Etfa	151.727273	0	0	0	0	0	147	239	101	143	1039	0	0
Adssl1	151.727273	0	0	0	0	0	242	203	91	0	1133	0	0
Sult6b2	151.636364	0	0	0	0	0	0	0	0	0	1668	0	0
Lgals1	151.636364	0	0	0	0	0	196	307	0	0	1068	97	0
Eaf2	151.636364	0	0	0	0	0	115	297	211	134	911	0	0
Dohh	151.636364	0	119	0	0	0	193	210	284	177	685	0	0
Tln1	151.545455	0	0	0	0	0	192	292	173	120	890	0	0
Ppp1r9a	151.545455	0	0	0	0	0	86	470	0	0	1111	0	0
Creb3	151.545455	0	0	0	0	0	192	292	173	120	890	0	0
Trappc6a	151.454545	0	0	0	0	0	147	231	87	149	1052	0	0
Tars2	151.454545	0	0	0	0	0	102	245	207	0	1112	0	0
Sun3	151.454545	0	0	0	0	0	0	132	135	0	1399	0	0
Rraga	151.454545	0	167	0	0	0	211	253	173	275	587	0	0
Mrpl33	151.454545	0	0	0	0	0	204	449	0	196	817	0	0
Mkx	151.454545	0	0	0	0	0	0	113	138	97	1318	0	0
Gm11992	151.454545	0	0	0	0	0	0	132	135	0	1399	0	0
Bloc1s3	151.454545	0	0	0	0	0	147	231	87	149	1052	0	0
Asap2	151.454545	0	0	0	0	0	166	325	0	0	1175	0	0
Tcf4	151.363636	0	0	0	0	0	235	202	0	125	934	169	0
Atad5	151.363636	0	0	0	0	0	109	0	0	0	1556	0	0
Wrap73	151.272727	0	0	0	0	0	181	236	0	160	1087	0	0
Trp73	151.272727	0	0	0	0	0	181	236	0	160	1087	0	0
Sipa1l1	151.272727	0	88	0	0	0	127	229	0	95	1125	0	0
Ppme1	151.272727	0	0	0	0	0	119	135	214	133	1063	0	0
Fam189a2	151.272727	0	0	0	0	0	142	303	0	77	1142	0	0
C2cd3	151.272727	0	0	0	0	0	119	135	214	133	1063	0	0
B4galt7	151.272727	0	0	0	0	0	121	388	0	0	1155	0	0
Anapc7	151.272727	0	0	0	0	0	150	337	82	0	1095	0	0
Uros	151.181818	0	0	0	0	0	129	277	125	134	998	0	0
Myo5b	151.181818	0	0	0	0	0	183	179	77	0	1224	0	0
Mmut	151.181818	0	0	0	0	0	249	136	70	100	1108	0	0
Ica1l	151.181818	0	0	0	0	0	0	216	0	0	1447	0	0
Cenpq	151.181818	0	0	0	0	0	249	136	70	100	1108	0	0
Ccnyl1	151.181818	0	0	0	0	0	239	383	85	117	839	0	0
Bccip	151.181818	0	0	0	0	0	129	277	125	134	998	0	0
Snx29	151.090909	0	0	0	0	0	180	215	119	115	1033	0	0
Map3k3	151.090909	0	0	0	0	0	145	386	163	127	841	0	0
Ypel3	151.000000	0	0	0	0	0	96	163	91	0	1311	0	0
Tmem33	151.000000	0	0	0	0	0	174	384	115	83	905	0	0
Tbx6	151.000000	0	0	0	0	0	96	163	91	0	1311	0	0
Snx15	151.000000	0	0	0	0	0	270	492	0	82	697	120	0
Rassf6	151.000000	0	0	0	0	0	182	179	0	0	1300	0	0
Nxt1	151.000000	0	0	0	0	0	114	190	0	193	1164	0	0
Hivep1	151.000000	0	0	0	0	0	248	315	0	108	990	0	0
Cox8a	151.000000	0	107	0	0	0	93	485	151	154	671	0	0
Tns2	150.909091	0	242	0	0	0	164	285	0	114	855	0	0
Qars	150.909091	0	0	0	0	0	143	287	197	198	835	0	0
Chfr	150.909091	0	0	0	0	0	186	164	0	134	1176	0	0
Camk1d	150.909091	0	222	0	0	0	0	215	0	178	1045	0	0
Gfod1	150.818182	0	0	0	0	0	242	241	146	102	928	0	0
Efcab8	150.818182	0	0	162	0	0	105	438	0	0	954	0	0
Znhit3	150.727273	0	153	0	0	0	0	0	0	0	1505	0	0
Satb1	150.727273	0	0	0	0	0	87	308	0	92	1171	0	0
Nek9	150.727273	0	219	0	0	0	154	284	0	215	786	0	0
Lipt1	150.727273	0	0	0	0	0	134	243	133	0	1148	0	0
Dram2	150.727273	0	173	0	0	0	86	180	0	0	1219	0	0
Cept1	150.727273	0	173	0	0	0	86	180	0	0	1219	0	0
Paqr7	150.636364	0	0	0	0	0	145	628	0	0	884	0	0
Hpf1	150.636364	0	0	0	0	0	140	212	131	166	1008	0	0
Ap2m1	150.636364	0	0	0	0	0	183	236	157	136	945	0	0
Aldh3a2	150.636364	0	0	0	0	0	206	252	120	159	920	0	0
2510009E07Rik	150.636364	0	95	0	0	0	78	211	0	0	1273	0	0
Ttyh3	150.545455	0	0	0	0	0	176	337	102	132	909	0	0
Timm10	150.545455	0	0	0	0	0	275	363	164	143	711	0	0
St6gal2	150.545455	0	0	0	0	0	0	0	0	0	1656	0	0
Smtnl1	150.545455	0	0	0	0	0	275	363	164	143	711	0	0
Mfng	150.545455	0	128	0	0	0	0	0	0	0	1528	0	0
Lfng	150.545455	0	64	0	0	0	201	197	118	0	1076	0	0
Klf7	150.454545	0	244	0	0	0	147	339	139	100	598	88	0
Fbxl17	150.454545	0	0	0	0	0	137	475	0	92	951	0	0
Zc3h12c	150.363636	0	118	0	0	0	161	362	0	0	1013	0	0
Vmac	150.363636	0	0	0	0	0	130	251	224	180	869	0	0
Ndufa11	150.363636	0	0	0	0	0	130	251	224	180	869	0	0
Mrpl34	150.363636	0	0	0	0	0	216	211	169	139	851	68	0
Dda1	150.363636	0	0	0	0	0	216	211	169	139	851	68	0
Ttc33	150.272727	0	125	0	0	0	149	351	0	0	1028	0	0
Stil	150.272727	0	0	0	0	0	176	153	156	149	1019	0	0
Rbl2	150.272727	0	0	0	0	0	128	192	0	135	1198	0	0
Pcnt	150.272727	0	0	0	0	0	164	200	116	117	1056	0	0
Klrg2	150.272727	0	440	0	0	0	140	297	0	0	776	0	0
Kcnk1	150.272727	0	0	0	0	0	135	259	151	114	994	0	0
BC029722	150.272727	0	0	0	0	0	297	229	110	93	924	0	0
Tac4	150.181818	0	214	0	0	0	201	399	0	103	735	0	0
Osbpl10	150.181818	0	0	0	0	0	193	384	0	130	945	0	0
Ganab	150.181818	0	0	0	0	0	224	287	0	140	1001	0	0
Atp5l	150.181818	0	0	0	0	0	158	278	98	0	1118	0	0
Arap1	150.181818	0	0	0	0	0	405	269	0	0	978	0	0
Unc45a	150.090909	0	0	0	0	0	91	420	82	0	1058	0	0
Hddc3	150.090909	0	0	0	0	0	91	420	82	0	1058	0	0
Gpsm1	150.090909	0	136	0	0	0	125	388	0	0	1002	0	0
Vwa8	150.000000	0	96	0	0	0	110	341	0	162	941	0	0
Stk16	150.000000	0	147	0	0	0	93	305	0	0	1105	0	0
Ift22	150.000000	0	0	0	0	0	0	0	0	74	1576	0	0
Glb1l	150.000000	0	147	0	0	0	93	305	0	0	1105	0	0
Srgap1	149.909091	0	384	0	0	0	124	229	0	95	817	0	0
Pcbd1	149.909091	0	0	0	0	0	0	284	0	0	1365	0	0
Cacnb3	149.909091	0	0	0	0	0	92	226	0	96	1235	0	0
Samd4b	149.818182	0	0	0	0	0	222	310	89	0	1027	0	0
Pdzd8	149.818182	0	0	0	0	0	181	200	0	116	1151	0	0
Limd1	149.818182	0	0	0	0	0	301	452	93	0	802	0	0
Gmfg	149.818182	0	0	0	0	0	222	310	89	0	1027	0	0
Tmem231	149.727273	0	0	0	0	0	0	259	0	158	1230	0	0
Stimate	149.727273	0	0	0	0	0	0	307	71	158	1111	0	0
Map1b	149.727273	0	0	0	0	0	129	279	0	0	1239	0	0
Flad1	149.727273	0	0	0	0	0	0	186	167	123	1171	0	0
Zfp81	149.636364	0	0	0	105	0	0	323	0	0	1218	0	0
Sap30l	149.636364	0	0	0	0	0	181	339	102	113	911	0	0
Kdm6b	149.636364	0	0	0	0	0	179	138	128	0	1201	0	0
Dennd6b	149.636364	0	154	0	0	0	145	409	0	99	839	0	0
Serpine2	149.545455	0	204	0	0	0	0	171	0	0	1270	0	0
Mgat3	149.545455	0	218	0	0	0	95	279	0	0	1053	0	0
Cr1l	149.545455	0	163	0	0	0	139	242	0	0	1009	92	0
Tusc2	149.454545	0	142	0	0	0	166	288	113	99	836	0	0
Ssx2ip	149.454545	0	0	0	0	0	140	259	0	90	1155	0	0
Mgat5b	149.454545	0	343	0	0	0	105	172	0	126	898	0	0
Taf1a	149.363636	0	0	0	0	0	155	154	0	0	1334	0	0
Nedd8	149.363636	0	0	0	0	0	140	156	128	148	987	84	0
Gnaq	149.363636	0	0	0	0	0	161	495	0	0	987	0	0
Gmpr2	149.363636	0	0	0	0	0	140	156	128	148	987	84	0
Dph2	149.363636	0	0	217	0	0	229	259	0	0	938	0	0
Tspear	149.181818	0	0	0	0	0	375	304	0	0	962	0	0
Phox2a	149.181818	0	0	0	0	0	180	477	0	0	984	0	0
P4htm	149.181818	0	0	0	0	0	0	175	0	0	1466	0	0
Kif13b	149.181818	0	0	0	0	0	138	308	0	118	1077	0	0
Gm19402	149.181818	0	0	0	0	0	375	304	0	0	962	0	0
Ccdc91	149.181818	0	0	0	0	0	131	374	0	105	1031	0	0
Pigm	149.090909	0	0	0	0	0	86	191	187	210	966	0	0
Gadd45a	149.090909	0	217	0	0	0	176	284	97	108	758	0	0
Fdps	149.090909	0	0	0	0	0	68	75	124	148	1225	0	0
Adck1	149.090909	0	0	0	0	0	227	443	96	0	874	0	0
Acot4	149.090909	0	194	0	0	0	130	266	0	0	968	82	0
Slc25a30	149.000000	0	111	0	0	0	271	315	174	135	633	0	0
Rab5c	149.000000	0	0	0	0	0	225	0	122	126	1166	0	0
Opcml	149.000000	0	0	0	0	0	0	0	0	0	1639	0	0
Faf2	149.000000	0	0	0	0	0	216	260	0	182	981	0	0
Dact1	149.000000	0	0	0	0	0	212	235	0	0	1192	0	0
Ubr7	148.909091	0	0	0	0	0	159	239	95	165	980	0	0
Gon7	148.909091	0	0	0	0	0	159	239	95	165	980	0	0
Gm20604	148.909091	0	0	0	0	0	159	239	95	165	980	0	0
Cldn12	148.909091	0	128	0	0	0	131	321	0	80	978	0	0
Kcnh2	148.818182	0	0	0	0	0	0	112	0	0	1456	69	0
Senp2	148.727273	0	0	0	0	0	139	223	84	129	1061	0	0
Rgma	148.727273	0	181	0	0	0	120	293	0	0	1042	0	0
Rb1cc1	148.727273	0	0	0	0	0	144	239	0	129	1124	0	0
Ppm1f	148.727273	0	0	0	0	0	184	254	0	0	1132	66	0
Nek7	148.727273	0	0	0	0	0	106	307	0	99	1124	0	0
Ctr9	148.727273	0	0	0	0	0	97	231	198	249	861	0	0
Smc3	148.636364	0	0	0	0	0	189	323	168	124	831	0	0
Fdxr	148.636364	0	0	0	0	0	143	452	192	180	668	0	0
Arhgef28	148.636364	0	0	0	0	0	0	259	83	149	1144	0	0
Slc25a3	148.545455	0	80	0	0	0	201	255	130	150	818	0	0
Mettl24	148.545455	0	0	0	0	0	0	450	0	0	1184	0	0
Dld	148.545455	0	0	0	0	0	0	331	95	209	999	0	0
Cd46	148.545455	0	0	0	0	0	150	234	121	130	999	0	0
Pikfyve	148.454545	0	77	0	0	0	182	201	145	123	905	0	0
Msi1	148.454545	0	0	0	0	0	103	240	0	68	1222	0	0
Jam3	148.454545	0	0	0	0	0	0	0	0	0	1633	0	0
Diras2	148.454545	0	0	0	0	0	122	207	0	0	1304	0	0
Csrnp2	148.454545	0	202	0	0	0	173	288	0	0	970	0	0
Asnsd1	148.454545	0	0	0	0	0	160	207	0	0	1266	0	0
Asdurf	148.454545	0	0	0	0	0	160	207	0	0	1266	0	0
Rc3h2	148.363636	0	0	0	0	0	153	451	0	123	905	0	0
Lpin1	148.363636	0	244	0	0	0	87	159	0	0	1142	0	0
Gstm5	148.363636	0	0	0	0	0	104	172	0	0	1356	0	0
Eva1c	148.363636	0	0	0	0	0	195	448	0	0	989	0	0
Clcn5	148.363636	0	0	0	0	0	81	0	0	0	1551	0	0
Tecpr1	148.272727	0	0	0	0	0	146	132	164	124	1065	0	0
Spsb2	148.272727	0	865	0	0	0	130	270	0	0	366	0	0
Phf12	148.272727	0	0	0	0	0	141	82	176	135	1097	0	0
Myo10	148.272727	0	122	0	0	0	154	308	130	78	839	0	0
Kif2c	148.272727	0	0	0	0	0	177	262	119	111	962	0	0
Hmg20b	148.272727	0	0	0	0	0	146	120	149	259	957	0	0
Tbc1d25	148.181818	0	0	0	0	0	122	281	193	0	1034	0	0
Rtn4rl1	148.181818	0	0	0	0	0	265	415	63	0	887	0	0
Odf2	148.181818	0	0	0	0	0	205	190	121	99	1015	0	0
Fam53c	148.181818	0	159	0	0	0	151	282	116	0	922	0	0
Dph1	148.181818	0	0	0	0	0	265	415	63	0	887	0	0
Socs6	148.090909	0	80	0	0	0	196	385	0	0	968	0	0
Rbis	148.090909	0	0	0	0	0	98	438	124	91	778	100	0
Mrps10	148.090909	0	0	0	0	0	185	309	0	0	1135	0	0
Btrc	148.090909	0	0	0	0	0	116	121	233	148	1011	0	0
Arl6ip5	148.090909	0	0	0	0	0	140	225	99	105	1060	0	0
Tgif2	148.000000	0	129	0	0	0	164	382	0	0	953	0	0
Rbks	148.000000	0	74	0	0	0	200	342	138	162	712	0	0
Pwwp2b	148.000000	0	0	0	0	0	247	286	0	155	940	0	0
Pole2	148.000000	0	0	0	0	0	114	190	0	157	1167	0	0
Babam2	148.000000	0	74	0	0	0	200	342	138	162	712	0	0
Zfand2a	147.909091	0	0	0	0	0	110	0	145	164	1208	0	0
Klf5	147.909091	0	117	0	0	0	252	130	184	112	832	0	0
Actr10	147.909091	0	0	0	0	0	130	139	0	0	1358	0	0
Zfp654	147.818182	0	0	0	0	0	194	380	95	116	841	0	0
Ssr3	147.818182	0	0	0	0	0	118	291	209	143	865	0	0
Rras2	147.818182	0	0	0	0	0	188	356	0	0	1082	0	0
Fads1	147.818182	0	0	0	0	0	0	182	127	100	1217	0	0
Cggbp1	147.818182	0	0	0	0	0	194	380	95	116	841	0	0
Ccdc90b	147.818182	0	0	0	0	0	175	372	0	115	964	0	0
Tyro3	147.727273	0	0	0	0	0	161	382	0	0	1082	0	0
Ppl	147.727273	0	0	234	0	0	294	310	0	0	787	0	0
Pcdh18	147.727273	0	0	0	0	0	155	179	0	0	1291	0	0
Nol3	147.727273	0	0	0	0	0	136	140	106	0	1159	84	0
Zfp367	147.636364	0	0	0	0	0	130	176	115	0	1203	0	0
Ybx2	147.636364	0	0	0	0	0	0	159	0	67	1398	0	0
Tubb5	147.636364	0	159	0	0	0	172	153	173	119	727	121	0
Trmt1	147.636364	0	0	0	0	0	230	423	0	0	971	0	0
Nacc1	147.636364	0	0	0	0	0	230	423	0	0	971	0	0
Mdc1	147.636364	0	159	0	0	0	172	153	173	119	727	121	0
Elof1	147.636364	0	0	0	0	0	118	270	148	115	973	0	0
Med27	147.545455	0	0	0	0	0	114	0	129	114	1266	0	0
Adcy3	147.545455	0	0	0	0	0	74	343	0	0	1131	75	0
Xkr4	147.454545	0	0	0	0	0	0	0	0	0	1622	0	0
Tpd52	147.454545	0	0	0	0	0	128	224	0	145	1125	0	0
Pip4k2c	147.454545	0	0	0	0	0	185	181	135	140	981	0	0
Mms22l	147.454545	0	0	0	0	0	88	198	148	114	1074	0	0
L3mbtl3	147.454545	0	0	0	0	0	158	521	0	0	943	0	0
Kdm5c	147.454545	0	0	0	0	0	131	156	99	0	1236	0	0
Gdf11	147.454545	0	0	0	0	0	101	230	0	0	1291	0	0
Fam43b	147.454545	0	0	0	134	0	0	0	0	0	1488	0	0
Aplp2	147.454545	0	0	0	0	0	162	166	196	136	962	0	0
Ak3	147.454545	0	0	0	0	0	271	300	0	0	1051	0	0
Tbx3	147.363636	0	0	0	0	0	227	140	128	0	1126	0	0
Primpol	147.363636	0	127	0	0	0	189	204	99	100	902	0	0
H3c7	147.363636	0	305	0	0	0	203	174	0	98	841	0	0
H2bc9	147.363636	0	305	0	0	0	203	174	0	98	841	0	0
Casp3	147.363636	0	127	0	0	0	189	204	99	100	902	0	0
Aph1b	147.363636	0	0	0	0	0	224	212	126	196	803	60	0
Stx6	147.272727	0	83	0	0	0	204	192	129	148	864	0	0
Sh2b1	147.272727	0	0	0	0	0	158	183	82	122	1075	0	0
Nmral1	147.272727	0	0	0	95	0	0	143	0	123	1259	0	0
Scyl3	147.181818	0	0	0	0	0	209	574	119	112	605	0	0
Fhod3	147.181818	0	0	0	0	0	105	247	0	0	1267	0	0
Eif4ebp2	147.181818	0	0	0	0	0	157	426	73	0	870	93	0
Adm	147.181818	0	0	0	0	0	263	258	119	0	979	0	0
Rflnb	147.090909	0	72	0	0	0	210	257	0	0	1079	0	0
Aard	147.090909	0	112	0	0	0	0	0	0	0	1506	0	0
Slc27a4	147.000000	0	121	0	0	0	184	231	0	79	1002	0	0
Lrrc24	147.000000	0	159	0	135	0	283	267	0	0	773	0	0
Fbxl7	147.000000	0	183	0	0	0	0	162	0	0	1272	0	0
Ccser2	147.000000	0	76	0	0	0	157	235	0	130	1019	0	0
C030006K11Rik	147.000000	0	159	0	135	0	283	267	0	0	773	0	0
Wdyhv1	146.909091	0	106	0	0	0	144	244	0	0	1122	0	0
Ubtf	146.909091	0	305	0	0	0	125	337	0	91	758	0	0
Trib2	146.909091	0	0	0	0	0	103	159	0	0	1354	0	0
Thnsl1	146.818182	0	0	0	0	0	132	233	116	0	1134	0	0
Pold1	146.818182	0	0	0	0	0	115	318	97	129	956	0	0
Lpcat4	146.818182	0	324	0	0	0	182	202	0	0	907	0	0
Enkur	146.818182	0	0	0	0	0	132	233	116	0	1134	0	0
Uqcrc2	146.727273	0	0	0	0	0	79	163	0	0	1372	0	0
Trafd1	146.727273	0	0	0	0	0	175	246	0	138	1055	0	0
Tbc1d1	146.727273	0	0	0	0	0	132	189	0	0	1293	0	0
Sost	146.727273	0	127	0	0	0	0	116	0	0	1371	0	0
Lrrc51	146.727273	0	0	0	0	0	222	143	174	131	944	0	0
Tob2	146.636364	0	0	0	0	0	150	404	0	0	1059	0	0
Gpr155	146.636364	0	0	0	0	0	195	121	147	87	979	84	0
Eml5	146.636364	0	129	0	0	0	0	199	104	115	1066	0	0
Rad51c	146.545455	0	0	0	0	0	297	209	166	118	727	95	0
Il4ra	146.545455	0	258	0	0	0	110	239	113	89	803	0	0
Bcas3	146.545455	0	0	0	0	0	232	190	136	146	908	0	0
Meig1	146.454545	0	0	0	0	0	94	140	0	0	1377	0	0
Fbxo27	146.454545	0	0	0	0	0	0	170	0	0	1353	88	0
Dclre1c	146.454545	0	0	0	0	0	94	140	0	0	1377	0	0
Ccdc194	146.454545	0	181	0	0	0	0	0	0	0	1430	0	0
Adamts8	146.454545	0	108	0	0	0	0	249	0	0	1254	0	0
Actn1	146.454545	0	0	0	0	0	165	273	106	0	1067	0	0
Slc25a37	146.363636	0	203	0	0	0	128	406	0	0	758	115	0
Gab2	146.363636	0	0	0	0	0	111	226	0	155	1118	0	0
Cbx8	146.363636	0	0	0	0	0	169	164	182	123	972	0	0
Alg13	146.363636	0	0	0	0	0	248	371	0	0	991	0	0
Abr	146.363636	0	137	0	0	0	125	372	0	0	976	0	0
Ankhd1	146.272727	0	72	0	0	0	164	288	115	185	785	0	0
Nr1h2	146.181818	0	0	0	0	0	115	318	90	129	956	0	0
Gsc2	146.181818	0	0	0	0	0	135	154	94	123	1102	0	0
Gm32856	146.181818	0	0	0	0	0	130	282	0	0	1196	0	0
Ess2	146.181818	0	0	0	0	0	135	154	94	123	1102	0	0
Mfsd6l	146.090909	0	0	0	0	0	0	0	153	113	1341	0	0
Rnf213	146.000000	0	125	0	0	0	206	458	0	118	699	0	0
Psmc3ip	146.000000	0	0	0	0	0	176	319	0	106	1005	0	0
Pramel13	146.000000	0	0	0	0	0	274	869	0	0	463	0	0
Nos1ap	146.000000	0	0	0	0	0	197	245	0	155	1009	0	0
Rpa2	145.909091	0	0	0	0	0	103	116	163	150	1073	0	0
Huwe1	145.909091	0	0	0	0	0	151	292	137	176	849	0	0
Gskip	145.909091	0	0	0	0	0	148	353	108	178	818	0	0
Glce	145.909091	0	156	0	0	0	260	268	144	108	669	0	0
Atg2b	145.909091	0	0	0	0	0	148	353	108	178	818	0	0
Snx21	145.818182	0	112	0	0	0	249	410	0	122	711	0	0
Peg12	145.818182	0	0	0	0	0	0	116	0	0	1488	0	0
Gnl2	145.818182	0	0	0	0	0	105	442	99	162	796	0	0
Gm4981	145.818182	0	0	344	160	128	152	316	0	152	284	68	0
Cnp	145.727273	0	239	0	0	0	138	332	0	99	743	52	0
Clpb	145.727273	0	0	0	0	0	124	251	139	121	968	0	0
Zfp143	145.636364	0	0	0	0	0	152	303	157	143	847	0	0
Wbp1l	145.636364	0	0	0	0	0	166	94	187	125	1030	0	0
Tatdn1	145.636364	0	0	0	0	0	179	211	0	96	1116	0	0
Rab17	145.636364	0	0	0	0	0	189	144	0	0	1269	0	0
Ndufb9	145.636364	0	0	0	0	0	179	211	0	96	1116	0	0
Dbnl	145.636364	0	0	0	0	0	199	310	94	181	818	0	0
Cox17	145.636364	0	0	0	0	0	108	372	95	178	849	0	0
Celsr2	145.636364	0	0	0	0	0	75	246	0	0	1281	0	0
Zmiz1	145.545455	0	0	0	0	0	199	163	0	0	1156	83	0
Sorbs1	145.545455	0	0	0	0	0	205	263	0	126	1007	0	0
Smim38	145.545455	0	171	0	0	0	0	263	0	0	1167	0	0
Nabp1	145.545455	0	85	0	0	0	179	239	114	115	791	78	0
Fyn	145.545455	0	77	0	0	0	97	192	0	112	1123	0	0
Ddx46	145.545455	0	0	0	0	0	184	340	0	0	1077	0	0
Tmem138	145.454545	0	0	0	0	0	98	178	126	111	1087	0	0
Ncaph2	145.454545	0	0	0	0	0	132	224	112	161	971	0	0
Naa38	145.454545	0	0	0	0	0	171	343	149	250	687	0	0
Lmf2	145.454545	0	0	0	0	0	132	224	112	161	971	0	0
Kat2b	145.454545	0	0	0	0	0	94	336	0	198	972	0	0
Dtx1	145.454545	0	581	0	0	0	0	0	0	0	1019	0	0
Cyb5d1	145.454545	0	0	0	0	0	171	343	149	250	687	0	0
Cyb561a3	145.454545	0	0	0	0	0	98	178	126	111	1087	0	0
Zfp526	145.363636	0	326	0	0	0	170	93	104	0	906	0	0
Tbc1d2b	145.363636	0	0	0	0	0	108	312	0	0	1179	0	0
Taz	145.363636	0	0	0	0	0	177	124	0	0	1298	0	0
Ino80d	145.363636	0	0	0	0	0	136	437	0	0	1026	0	0
Eral1	145.363636	0	0	0	0	0	0	156	0	0	1443	0	0
Dnase1l1	145.363636	0	0	0	0	0	177	124	0	0	1298	0	0
Dedd2	145.363636	0	326	0	0	0	170	93	104	0	906	0	0
Mycn	145.272727	0	286	445	144	0	0	0	0	0	723	0	0
Isoc2a	145.272727	0	0	0	0	0	228	320	98	88	864	0	0
Dll1	145.272727	0	128	0	0	0	101	99	0	0	1270	0	0
B4galt4	145.272727	0	0	0	0	0	148	407	0	0	1043	0	0
Rin3	145.181818	0	221	0	0	0	194	294	0	0	888	0	0
Marchf5	145.181818	0	0	0	0	0	130	495	102	0	870	0	0
