Target_genes	Tbr1|Average	SRX22670282|Cortex	SRX22670283|Cortex	SRX4632659|Cortex	SRX4632662|Cortex	SRX4632663|Cortex	SRX1121025|Embryonic_brains	STRING
Foxred2	75.666667	0	282	97	75	0	0	0
Bpifa1	75.666667	159	130	0	0	0	165	0
Babam2	75.666667	0	375	0	0	0	79	0
Zfp3	75.500000	70	295	0	88	0	0	0
Vrk1	75.500000	0	331	0	0	0	122	0
Uqcrfs1	75.500000	109	344	0	0	0	0	0
Pccb	75.500000	108	345	0	0	0	0	0
Mark4	75.500000	0	258	195	0	0	0	0
Marchf1	75.500000	0	96	221	136	0	0	0
Exoc3l2	75.500000	0	258	195	0	0	0	0
Cetn4	75.500000	77	376	0	0	0	0	0
Ccdc43	75.500000	0	453	0	0	0	0	0
Camk1g	75.500000	124	207	0	122	0	0	0
Bbs12	75.500000	77	376	0	0	0	0	0
Zfp799	75.333333	0	325	0	0	0	127	0
Ythdf1	75.333333	0	384	68	0	0	0	0
Wdfy1	75.333333	98	354	0	0	0	0	0
Trip13	75.333333	141	311	0	0	0	0	0
Tmem43	75.333333	0	289	89	74	0	0	0
Snx11	75.333333	0	369	83	0	0	0	0
Rpa2	75.333333	109	343	0	0	0	0	0
Plscr3	75.333333	0	452	0	0	0	0	0
Pank4	75.333333	0	452	0	0	0	0	0
Noc4l	75.333333	0	452	0	0	0	0	0
Mlh3	75.333333	0	452	0	0	0	0	0
Igf1r	75.333333	0	318	0	134	0	0	0
Hes5	75.333333	0	452	0	0	0	0	0
Gtf3c2	75.333333	98	272	0	82	0	0	0
Eid2	75.333333	0	452	0	0	0	0	0
Ddx51	75.333333	0	452	0	0	0	0	0
Chchd4	75.333333	0	289	89	74	0	0	0
Brd9	75.333333	141	311	0	0	0	0	0
Bcl9	75.333333	87	365	0	0	0	0	0
Zmym5	75.166667	0	451	0	0	0	0	0
Uqcc3	75.166667	112	242	0	97	0	0	0
Trim54	75.166667	0	0	223	228	0	0	0
Pcnx3	75.166667	73	271	0	0	0	107	0
Patz1	75.166667	0	384	0	67	0	0	0
Nms	75.166667	0	183	122	146	0	0	0
Ndufs4	75.166667	98	353	0	0	0	0	0
Map3k11	75.166667	73	271	0	0	0	107	0
Gpt2	75.166667	94	357	0	0	0	0	0
Cdan1	75.166667	0	362	0	89	0	0	0
Ccdc110	75.166667	147	220	84	0	0	0	0
Btg2	75.166667	0	451	0	0	0	0	0
Atp6v1fnb	75.166667	0	349	0	102	0	0	0
Atp6v1f	75.166667	0	349	0	102	0	0	0
Zkscan4	75.000000	108	342	0	0	0	0	0
Zfand1	75.000000	0	241	81	0	0	128	0
Wdr7	75.000000	0	342	0	0	0	108	0
Tmem231	75.000000	0	327	0	123	0	0	0
Slc25a46	75.000000	0	450	0	0	0	0	0
Siva1	75.000000	81	301	68	0	0	0	0
Ppp1r12c	75.000000	114	336	0	0	0	0	0
Mocs3	75.000000	0	336	114	0	0	0	0
Map1a	75.000000	0	268	0	182	0	0	0
Lrrc47	75.000000	0	450	0	0	0	0	0
Dpm1	75.000000	0	336	114	0	0	0	0
Dnaja2	75.000000	0	360	0	90	0	0	0
Dagla	75.000000	0	297	0	153	0	0	0
Chic2	75.000000	0	379	0	71	0	0	0
Upp2	74.833333	0	332	0	0	0	117	0
Upf2	74.833333	124	325	0	0	0	0	0
Pou6f1	74.833333	105	344	0	0	0	0	0
Hivep1	74.833333	141	183	0	125	0	0	0
Evi5	74.833333	0	238	98	113	0	0	0
Coq5	74.833333	0	449	0	0	0	0	0
Acvr1	74.833333	0	332	0	0	0	117	0
Tbc1d5	74.666667	121	327	0	0	0	0	0
Sugt1	74.666667	86	362	0	0	0	0	0
Ptar1	74.666667	0	331	117	0	0	0	0
Prkcsh	74.666667	109	339	0	0	0	0	0
Pcyox1	74.666667	0	448	0	0	0	0	0
Gdpgp1	74.666667	114	334	0	0	0	0	0
Fyco1	74.666667	0	354	0	94	0	0	0
Eml4	74.666667	104	344	0	0	0	0	0
Crtac1	74.666667	0	448	0	0	0	0	0
Cib1	74.666667	114	334	0	0	0	0	0
Ccdc151	74.666667	109	339	0	0	0	0	0
Cbx2	74.666667	128	320	0	0	0	0	0
Aldh3a2	74.666667	83	365	0	0	0	0	0
2610001J05Rik	74.666667	0	310	0	0	0	138	0
Zcchc14	74.500000	99	348	0	0	0	0	0
Tmem240	74.500000	0	447	0	0	0	0	0
Tmem17	74.500000	128	319	0	0	0	0	0
Stub1	74.500000	84	278	85	0	0	0	0
Selenoi	74.500000	0	350	0	0	0	97	0
Rbl2	74.500000	101	346	0	0	0	0	0
Mkrn3	74.500000	177	270	0	0	0	0	0
Kat7	74.500000	105	248	0	94	0	0	0
Jmjd8	74.500000	84	278	85	0	0	0	0
Gm4925	74.500000	0	336	111	0	0	0	0
Gabrb3	74.500000	0	447	0	0	0	0	0
Arl1	74.500000	0	336	111	0	0	0	0
Zbtb7a	74.333333	0	195	126	125	0	0	0
Yipf5	74.333333	92	354	0	0	0	0	0
Ttc5	74.333333	0	332	0	0	0	114	0
Magohb	74.333333	116	330	0	0	0	0	0
Lrrc59	74.333333	0	319	0	127	0	0	0
Ino80c	74.333333	0	446	0	0	0	0	0
Hdac4	74.333333	0	446	0	0	0	0	0
Fignl1	74.333333	116	330	0	0	0	0	0
Diablo	74.333333	74	372	0	0	0	0	0
Clk3	74.333333	89	357	0	0	0	0	0
Aff3	74.333333	0	230	0	0	0	216	0
Vopp1	74.166667	85	258	0	102	0	0	0
Usp33	74.166667	0	374	0	71	0	0	0
Tmem115	74.166667	0	253	0	0	0	192	0
Tex2	74.166667	0	445	0	0	0	0	0
Snrpd1	74.166667	100	345	0	0	0	0	0
Ralbp1	74.166667	74	371	0	0	0	0	0
Psme4	74.166667	83	362	0	0	0	0	0
Pkig	74.166667	0	336	0	109	0	0	0
Pip5kl1	74.166667	134	143	0	0	0	168	0
Nagpa	74.166667	159	286	0	0	0	0	0
Mks1	74.166667	0	445	0	0	0	0	0
Lcor	74.166667	91	354	0	0	0	0	0
Ints2	74.166667	86	359	0	0	0	0	0
Efcab2	74.166667	141	304	0	0	0	0	0
Dpm2	74.166667	134	143	0	0	0	168	0
Dgkb	74.166667	0	246	0	0	0	199	0
Dcakd	74.166667	0	445	0	0	0	0	0
C1qbp	74.166667	85	360	0	0	0	0	0
Zkscan17	74.000000	91	226	0	127	0	0	0
Tecpr2	74.000000	70	374	0	0	0	0	0
Rap1a	74.000000	0	444	0	0	0	0	0
Nudt13	74.000000	100	191	0	0	0	153	0
Lsm6	74.000000	0	371	0	73	0	0	0
Kctd18	74.000000	0	444	0	0	0	0	0
Gm3739	74.000000	0	335	109	0	0	0	0
Ddx19a	74.000000	116	328	0	0	0	0	0
Cinp	74.000000	70	374	0	0	0	0	0
Art3	74.000000	0	165	103	176	0	0	0
1700066M21Rik	74.000000	0	341	103	0	0	0	0
Sppl3	73.833333	0	443	0	0	0	0	0
Sfxn1	73.833333	114	329	0	0	0	0	0
Sdhaf4	73.833333	0	443	0	0	0	0	0
Reep3	73.833333	84	359	0	0	0	0	0
Rbm4b	73.833333	95	348	0	0	0	0	0
Pxn	73.833333	0	443	0	0	0	0	0
Ptpn23	73.833333	0	443	0	0	0	0	0
Ppan	73.833333	0	361	82	0	0	0	0
Pdzd2	73.833333	0	443	0	0	0	0	0
Mtus1	73.833333	109	267	67	0	0	0	0
Mrpl40	73.833333	0	348	95	0	0	0	0
Man1b1	73.833333	0	443	0	0	0	0	0
Hira	73.833333	0	348	95	0	0	0	0
Fjx1	73.833333	0	350	0	93	0	0	0
Fam102b	73.833333	0	443	0	0	0	0	0
Exosc3	73.833333	0	363	0	80	0	0	0
Ergic3	73.833333	131	164	0	148	0	0	0
Dicer1	73.833333	90	353	0	0	0	0	0
Atmin	73.833333	0	336	107	0	0	0	0
A430005L14Rik	73.833333	122	321	0	0	0	0	0
6430550D23Rik	73.833333	131	164	0	148	0	0	0
Stat3	73.666667	0	286	0	0	0	156	0
Samd10	73.666667	0	374	0	68	0	0	0
Rnf111	73.666667	0	377	0	65	0	0	0
Ralgps1	73.666667	0	341	101	0	0	0	0
Ptges3	73.666667	148	294	0	0	0	0	0
Prpf6	73.666667	0	374	0	68	0	0	0
Mex3b	73.666667	0	353	89	0	0	0	0
Lin7a	73.666667	0	230	113	99	0	0	0
Lamtor3	73.666667	156	286	0	0	0	0	0
Lamb1	73.666667	129	143	0	170	0	0	0
Klhl2	73.666667	107	335	0	0	0	0	0
Jpt2	73.666667	0	442	0	0	0	0	0
Flrt2	73.666667	0	176	130	136	0	0	0
Calu	73.666667	0	442	0	0	0	0	0
Btbd2	73.666667	0	442	0	0	0	0	0
Bola3	73.666667	0	442	0	0	0	0	0
Bmt2	73.666667	0	442	0	0	0	0	0
Anks1b	73.666667	127	315	0	0	0	0	0
Abcf2	73.666667	0	349	0	0	0	93	0
Zdhhc13	73.500000	70	371	0	0	0	0	0
Wdr1	73.500000	139	302	0	0	0	0	0
U2af2	73.500000	110	213	118	0	0	0	0
Supt4a	73.500000	0	340	0	101	0	0	0
Rundc3a	73.500000	0	441	0	0	0	0	0
Rnf34	73.500000	0	441	0	0	0	0	0
Rnf138	73.500000	90	351	0	0	0	0	0
Rad23b	73.500000	75	366	0	0	0	0	0
Palm	73.500000	0	293	0	0	0	148	0
Myh8	73.500000	159	115	0	167	0	0	0
Mfhas1	73.500000	0	441	0	0	0	0	0
Meis2	73.500000	135	306	0	0	0	0	0
Ltn1	73.500000	0	297	0	0	0	144	0
Hspa8	73.500000	0	363	78	0	0	0	0
Frg1	73.500000	0	352	0	0	0	89	0
Fam32a	73.500000	137	304	0	0	0	0	0
Cox20	73.500000	0	441	0	0	0	0	0
Bcas2	73.500000	0	441	0	0	0	0	0
Ablim2	73.500000	170	271	0	0	0	0	0
Zfp605	73.333333	0	344	0	0	0	96	0
Zfp398	73.333333	112	328	0	0	0	0	0
Yae1d1	73.333333	100	340	0	0	0	0	0
Utp20	73.333333	85	265	0	90	0	0	0
Tmem39b	73.333333	0	357	0	83	0	0	0
Slc10a7	73.333333	134	306	0	0	0	0	0
Sec61g	73.333333	0	440	0	0	0	0	0
Rbmxl1	73.333333	134	306	0	0	0	0	0
Plpp1	73.333333	0	347	0	93	0	0	0
Nadk2	73.333333	0	351	0	89	0	0	0
Mfsd2b	73.333333	248	192	0	0	0	0	0
Map3k2	73.333333	0	440	0	0	0	0	0
Kif13b	73.333333	0	227	98	115	0	0	0
Gtpbp6	73.333333	0	344	0	0	0	96	0
Atg7	73.333333	130	310	0	0	0	0	0
Abhd11	73.333333	0	440	0	0	0	0	0
Ttc28	73.166667	0	439	0	0	0	0	0
Tafa5	73.166667	0	228	98	113	0	0	0
Ophn1	73.166667	70	369	0	0	0	0	0
Nkain1	73.166667	0	255	92	92	0	0	0
Gsto2	73.166667	0	364	0	75	0	0	0
Gm1673	73.166667	62	377	0	0	0	0	0
Ext2	73.166667	0	350	0	89	0	0	0
Dnm2	73.166667	137	302	0	0	0	0	0
Ubxn8	73.000000	0	345	0	93	0	0	0
Tbkbp1	73.000000	77	268	0	93	0	0	0
Pag1	73.000000	0	357	81	0	0	0	0
Ndufa8	73.000000	0	233	0	0	0	205	0
Mto1	73.000000	0	438	0	0	0	0	0
Mrps24	73.000000	0	438	0	0	0	0	0
Morn5	73.000000	0	233	0	0	0	205	0
Gtse1	73.000000	0	339	0	99	0	0	0
Dkk2	73.000000	0	133	0	0	0	305	0
Depdc5	73.000000	0	438	0	0	0	0	0
Daglb	73.000000	0	438	0	0	0	0	0
Cul7	73.000000	0	260	0	0	0	178	0
Cgas	73.000000	0	438	0	0	0	0	0
Celf1	73.000000	103	335	0	0	0	0	0
Ccdc60	73.000000	0	438	0	0	0	0	0
C87436	73.000000	0	438	0	0	0	0	0
Wwp2	72.833333	0	437	0	0	0	0	0
Vsnl1	72.833333	147	170	0	0	0	120	0
Tmem97	72.833333	0	437	0	0	0	0	0
Stau2	72.833333	125	312	0	0	0	0	0
Srm	72.833333	0	437	0	0	0	0	0
Slc30a6	72.833333	0	437	0	0	0	0	0
Rnf169	72.833333	83	279	0	0	0	75	0
Repin1	72.833333	0	361	0	76	0	0	0
Rab33a	72.833333	122	201	0	0	0	114	0
Ppp4r2	72.833333	0	437	0	0	0	0	0
Mtr	72.833333	0	437	0	0	0	0	0
Kifc1	72.833333	0	372	0	65	0	0	0
Gm5111	72.833333	0	361	0	76	0	0	0
Galnt15	72.833333	136	169	132	0	0	0	0
Eif4b	72.833333	100	337	0	0	0	0	0
Atad3a	72.833333	0	437	0	0	0	0	0
Actr1b	72.833333	0	437	0	0	0	0	0
4933424G06Rik	72.833333	0	437	0	0	0	0	0
Zfp60	72.666667	0	436	0	0	0	0	0
Ufc1	72.666667	77	359	0	0	0	0	0
Tsc2	72.666667	0	436	0	0	0	0	0
Tomm22	72.666667	0	284	0	152	0	0	0
Tmem266	72.666667	100	336	0	0	0	0	0
Tgds	72.666667	90	346	0	0	0	0	0
Tbc1d10a	72.666667	0	436	0	0	0	0	0
Prcd	72.666667	103	333	0	0	0	0	0
Pcgf1	72.666667	86	350	0	0	0	0	0
Nthl1	72.666667	0	436	0	0	0	0	0
Lrrfip2	72.666667	77	359	0	0	0	0	0
Ktn1	72.666667	0	209	138	89	0	0	0
Hivep3	72.666667	99	203	0	134	0	0	0
Hbs1l	72.666667	0	436	0	0	0	0	0
Gpr180	72.666667	90	346	0	0	0	0	0
Gatd3a	72.666667	0	436	0	0	0	0	0
Dsel	72.666667	0	308	0	0	0	128	0
Dpy30	72.666667	0	436	0	0	0	0	0
Sln	72.500000	0	275	0	0	0	160	0
Itprip	72.500000	117	318	0	0	0	0	0
Frat2	72.500000	88	347	0	0	0	0	0
Atp7b	72.500000	77	288	0	70	0	0	0
Alg11	72.500000	77	288	0	70	0	0	0
Smdt1	72.333333	0	349	0	85	0	0	0
Slc36a1	72.333333	85	263	86	0	0	0	0
Shank2	72.333333	0	182	0	0	0	252	0
Pheta2	72.333333	0	349	0	85	0	0	0
Nfu1	72.333333	0	434	0	0	0	0	0
Kcnc1	72.333333	0	359	0	75	0	0	0
Gsap	72.333333	0	277	0	0	0	157	0
Gpr137b	72.333333	0	434	0	0	0	0	0
Cyld	72.333333	0	340	0	94	0	0	0
Capzb	72.333333	0	353	0	81	0	0	0
Zfp771	72.166667	111	322	0	0	0	0	0
Usp40	72.166667	0	433	0	0	0	0	0
Uba3	72.166667	0	433	0	0	0	0	0
Trim24	72.166667	0	433	0	0	0	0	0
Nr2c1	72.166667	0	360	0	73	0	0	0
Mtfp1	72.166667	0	433	0	0	0	0	0
Mtf1	72.166667	121	312	0	0	0	0	0
Hgsnat	72.166667	0	433	0	0	0	0	0
Hectd2	72.166667	111	322	0	0	0	0	0
Fxr1	72.166667	0	433	0	0	0	0	0
Aph1b	72.166667	0	343	0	90	0	0	0
Tbl3	72.000000	77	355	0	0	0	0	0
Pabpn1	72.000000	69	363	0	0	0	0	0
Lactb	72.000000	101	331	0	0	0	0	0
Fam220a	72.000000	0	432	0	0	0	0	0
Wdr48	71.833333	0	431	0	0	0	0	0
Usp9x	71.833333	119	312	0	0	0	0	0
Slc25a28	71.833333	119	312	0	0	0	0	0
Saraf	71.833333	0	350	0	81	0	0	0
Rpl10	71.833333	0	431	0	0	0	0	0
Rnf20	71.833333	0	309	0	122	0	0	0
Ptma	71.833333	123	308	0	0	0	0	0
Plpp7	71.833333	0	431	0	0	0	0	0
Lypla1	71.833333	0	340	0	91	0	0	0
Exd2	71.833333	0	357	0	74	0	0	0
Bcl2l1	71.833333	108	323	0	0	0	0	0
Zscan21	71.666667	0	430	0	0	0	0	0
Zmat4	71.666667	94	184	152	0	0	0	0
Ttll11	71.666667	0	345	0	85	0	0	0
Trim59	71.666667	0	430	0	0	0	0	0
Tollip	71.666667	134	296	0	0	0	0	0
Rictor	71.666667	0	348	82	0	0	0	0
Ptp4a1	71.666667	62	368	0	0	0	0	0
Nr2c2	71.666667	113	317	0	0	0	0	0
Nedd4	71.666667	83	347	0	0	0	0	0
Mrpl45	71.666667	0	430	0	0	0	0	0
Lyrm7	71.666667	0	430	0	0	0	0	0
H4c17	71.666667	77	353	0	0	0	0	0
Fibp	71.666667	0	345	85	0	0	0	0
Ercc6	71.666667	0	430	0	0	0	0	0
Derl1	71.666667	0	245	0	0	0	185	0
Ddx6	71.666667	124	211	95	0	0	0	0
Ccdc85b	71.666667	0	345	85	0	0	0	0
Casc3	71.666667	0	430	0	0	0	0	0
Tomm34	71.500000	0	429	0	0	0	0	0
Stk4	71.500000	0	429	0	0	0	0	0
Slc25a17	71.500000	0	429	0	0	0	0	0
Rnf31	71.500000	171	258	0	0	0	0	0
Rfc3	71.500000	0	291	0	0	0	138	0
Rexo1	71.500000	88	341	0	0	0	0	0
Rc3h2	71.500000	0	429	0	0	0	0	0
Psme2	71.500000	171	258	0	0	0	0	0
Nupl1	71.500000	0	338	0	91	0	0	0
Efna1	71.500000	0	183	0	0	0	246	0
Crebbp	71.500000	0	429	0	0	0	0	0
Commd3	71.500000	66	288	75	0	0	0	0
Bmi1	71.500000	66	288	75	0	0	0	0
4933402D24Rik	71.500000	0	301	128	0	0	0	0
Vstm5	71.333333	168	154	106	0	0	0	0
Ubap2l	71.333333	152	276	0	0	0	0	0
Tatdn1	71.333333	0	428	0	0	0	0	0
Surf4	71.333333	0	332	0	96	0	0	0
Supt6	71.333333	90	257	0	81	0	0	0
Stkld1	71.333333	0	332	0	96	0	0	0
Sh2b1	71.333333	87	341	0	0	0	0	0
Sdf2	71.333333	90	257	0	81	0	0	0
R3hcc1l	71.333333	0	330	0	98	0	0	0
Ppcdc	71.333333	0	428	0	0	0	0	0
Pigu	71.333333	0	349	0	0	0	79	0
Phb2	71.333333	0	313	115	0	0	0	0
Ostm1	71.333333	0	317	111	0	0	0	0
Ndufb9	71.333333	0	428	0	0	0	0	0
Lrch3	71.333333	0	428	0	0	0	0	0
Epn2	71.333333	118	310	0	0	0	0	0
Emg1	71.333333	0	313	115	0	0	0	0
Arl6	71.333333	0	358	70	0	0	0	0
4933434E20Rik	71.333333	152	276	0	0	0	0	0
Zdhhc14	71.166667	103	324	0	0	0	0	0
Txndc15	71.166667	0	427	0	0	0	0	0
Tent2	71.166667	0	427	0	0	0	0	0
Prpf38a	71.166667	0	357	0	0	0	70	0
Pak1	71.166667	0	315	0	112	0	0	0
Orc1	71.166667	0	357	0	0	0	70	0
Ero1a	71.166667	0	427	0	0	0	0	0
Ercc4	71.166667	0	427	0	0	0	0	0
Epm2a	71.166667	101	326	0	0	0	0	0
Cntnap2	71.166667	130	154	0	0	0	143	0
Chchd6	71.166667	0	427	0	0	0	0	0
Atp5g1	71.166667	0	275	0	0	0	152	0
Asxl1	71.166667	112	315	0	0	0	0	0
Tmem88b	71.000000	77	349	0	0	0	0	0
Tmcc2	71.000000	228	198	0	0	0	0	0
Srp9	71.000000	92	334	0	0	0	0	0
Snx6	71.000000	0	298	128	0	0	0	0
Serf2	71.000000	0	426	0	0	0	0	0
Ruvbl2	71.000000	0	315	111	0	0	0	0
Rpp40	71.000000	0	333	0	93	0	0	0
Poc1b	71.000000	71	355	0	0	0	0	0
Pigt	71.000000	0	426	0	0	0	0	0
Pak1ip1	71.000000	100	326	0	0	0	0	0
Lyrm9	71.000000	0	334	0	92	0	0	0
Larp4b	71.000000	146	280	0	0	0	0	0
Gys1	71.000000	0	315	111	0	0	0	0
Galnt4	71.000000	71	355	0	0	0	0	0
Eef1g	71.000000	0	426	0	0	0	0	0
Bloc1s2	71.000000	115	311	0	0	0	0	0
2310057M21Rik	71.000000	0	345	0	81	0	0	0
Zfp74	70.833333	0	302	123	0	0	0	0
Smap1	70.833333	0	328	97	0	0	0	0
Sf3a1	70.833333	0	425	0	0	0	0	0
Scyl1	70.833333	0	358	67	0	0	0	0
Rab3ip	70.833333	0	425	0	0	0	0	0
Polr3h	70.833333	113	312	0	0	0	0	0
Msantd2	70.833333	108	317	0	0	0	0	0
Kdm4d	70.833333	0	425	0	0	0	0	0
Etf1	70.833333	116	309	0	0	0	0	0
Dtx4	70.833333	140	179	0	106	0	0	0
Cwc15	70.833333	0	425	0	0	0	0	0
Commd6	70.833333	0	425	0	0	0	0	0
Ccdc157	70.833333	0	425	0	0	0	0	0
Alas1	70.833333	0	425	0	0	0	0	0
Ube2v2	70.666667	0	317	0	107	0	0	0
Snw1	70.666667	116	308	0	0	0	0	0
Rc3h1	70.666667	0	344	80	0	0	0	0
Pigm	70.666667	0	321	103	0	0	0	0
Pcmtd2	70.666667	0	343	0	81	0	0	0
Il6	70.666667	0	220	0	0	0	204	0
Hbegf	70.666667	0	324	0	100	0	0	0
Vps13c	70.500000	0	423	0	0	0	0	0
Ttc25	70.500000	97	326	0	0	0	0	0
Thrb	70.500000	0	423	0	0	0	0	0
Slc5a5	70.500000	0	336	0	87	0	0	0
Rpl18a	70.500000	0	336	0	87	0	0	0
Prrt2	70.500000	136	287	0	0	0	0	0
Pdcd4	70.500000	119	304	0	0	0	0	0
Pcyox1l	70.500000	0	337	0	0	0	86	0
Pagr1a	70.500000	136	287	0	0	0	0	0
Nup210	70.500000	102	321	0	0	0	0	0
Nhsl1	70.500000	0	178	0	0	0	245	0
Mvp	70.500000	136	287	0	0	0	0	0
Metap2	70.500000	0	423	0	0	0	0	0
Lrig2	70.500000	0	333	0	90	0	0	0
Klhl8	70.500000	0	423	0	0	0	0	0
Ifrd1	70.500000	0	423	0	0	0	0	0
Ifi203	70.500000	0	0	206	217	0	0	0
Grin1	70.500000	0	312	111	0	0	0	0
Dpagt1	70.500000	0	221	70	132	0	0	0
Coro2b	70.500000	0	307	0	0	0	116	0
Ccar1	70.500000	95	328	0	0	0	0	0
Atxn10	70.500000	152	271	0	0	0	0	0
Abi1	70.500000	0	331	0	92	0	0	0
Tubb5	70.333333	0	307	0	0	0	115	0
Tmem198	70.333333	91	331	0	0	0	0	0
Slc25a36	70.333333	0	336	0	86	0	0	0
Retsat	70.333333	92	330	0	0	0	0	0
Ppp1r16a	70.333333	0	293	129	0	0	0	0
Plaat1	70.333333	0	127	0	0	0	295	0
Pdss1	70.333333	0	422	0	0	0	0	0
Ninl	70.333333	0	422	0	0	0	0	0
Mdc1	70.333333	0	307	0	0	0	115	0
Luc7l2	70.333333	0	422	0	0	0	0	0
Larp4	70.333333	89	333	0	0	0	0	0
Kctd13	70.333333	0	422	0	0	0	0	0
Foxh1	70.333333	0	293	129	0	0	0	0
Elovl4	70.333333	0	344	78	0	0	0	0
Elmod3	70.333333	92	330	0	0	0	0	0
Cwc25	70.333333	0	313	109	0	0	0	0
Chpf	70.333333	91	331	0	0	0	0	0
Adss	70.333333	0	308	0	114	0	0	0
Wdr31	70.166667	124	297	0	0	0	0	0
Tmem165	70.166667	0	421	0	0	0	0	0
Tbc1d10c	70.166667	0	421	0	0	0	0	0
Slc35g1	70.166667	0	421	0	0	0	0	0
Rnf225	70.166667	0	421	0	0	0	0	0
Ptprs	70.166667	0	225	0	0	0	196	0
Ptpa	70.166667	0	421	0	0	0	0	0
Ppp1ca	70.166667	0	421	0	0	0	0	0
Nab1	70.166667	74	260	0	87	0	0	0
Mtx2	70.166667	124	297	0	0	0	0	0
Lrp8	70.166667	0	338	0	83	0	0	0
Llgl1	70.166667	0	421	0	0	0	0	0
Fcgr3	70.166667	111	218	92	0	0	0	0
Crat	70.166667	0	421	0	0	0	0	0
Atg16l2	70.166667	0	309	112	0	0	0	0
Asph	70.166667	0	350	0	71	0	0	0
Zfp644	70.000000	0	420	0	0	0	0	0
Wdsub1	70.000000	143	277	0	0	0	0	0
Vps8	70.000000	0	420	0	0	0	0	0
Ube2cbp	70.000000	124	296	0	0	0	0	0
Tasp1	70.000000	66	354	0	0	0	0	0
Sema6b	70.000000	98	322	0	0	0	0	0
Rnf181	70.000000	0	314	106	0	0	0	0
Mbtps1	70.000000	0	420	0	0	0	0	0
Hsph1	70.000000	0	311	0	0	0	109	0
Fxr2	70.000000	0	322	0	98	0	0	0
Dop1a	70.000000	124	296	0	0	0	0	0
Ctxn1	70.000000	0	420	0	0	0	0	0
Cep68	70.000000	0	269	0	151	0	0	0
Cdc5l	70.000000	128	292	0	0	0	0	0
Atg16l1	70.000000	148	272	0	0	0	0	0
Tusc1	69.833333	100	319	0	0	0	0	0
Smyd3	69.833333	100	207	112	0	0	0	0
Rnf214	69.833333	94	325	0	0	0	0	0
Rnf14	69.833333	111	308	0	0	0	0	0
Rad50	69.833333	0	226	103	90	0	0	0
Ptbp3	69.833333	86	333	0	0	0	0	0
Psmd14	69.833333	167	252	0	0	0	0	0
Psma4	69.833333	0	343	0	76	0	0	0
Prmt6	69.833333	0	419	0	0	0	0	0
Pcsk7	69.833333	94	325	0	0	0	0	0
Ift88	69.833333	0	323	0	96	0	0	0
Gnb1	69.833333	0	419	0	0	0	0	0
Cep63	69.833333	88	331	0	0	0	0	0
Braf	69.833333	0	322	0	97	0	0	0
Arpc1a	69.833333	0	419	0	0	0	0	0
Anapc13	69.833333	88	331	0	0	0	0	0
Acly	69.833333	76	343	0	0	0	0	0
AY074887	69.833333	0	343	0	76	0	0	0
Zc3h3	69.666667	0	344	74	0	0	0	0
Unc13c	69.666667	0	186	0	0	0	232	0
Scg5	69.666667	88	330	0	0	0	0	0
Rccd1	69.666667	0	285	133	0	0	0	0
Rab12	69.666667	0	311	107	0	0	0	0
Ppwd1	69.666667	0	418	0	0	0	0	0
Pigw	69.666667	0	329	0	89	0	0	0
Pfdn2	69.666667	0	418	0	0	0	0	0
Nit1	69.666667	0	418	0	0	0	0	0
Napb	69.666667	0	342	0	0	0	76	0
Myo19	69.666667	0	329	0	89	0	0	0
Mrps26	69.666667	0	418	0	0	0	0	0
Mien1	69.666667	97	321	0	0	0	0	0
Kidins220	69.666667	191	227	0	0	0	0	0
Ifnar2	69.666667	70	263	0	85	0	0	0
Hmgcl	69.666667	221	197	0	0	0	0	0
Fkbp1a	69.666667	0	320	0	98	0	0	0
E4f1	69.666667	0	418	0	0	0	0	0
Dcaf4	69.666667	93	325	0	0	0	0	0
Cenpk	69.666667	0	418	0	0	0	0	0
Ccdc34	69.666667	0	418	0	0	0	0	0
Bloc1s5	69.666667	0	314	104	0	0	0	0
Wdr43	69.500000	92	325	0	0	0	0	0
Timm23	69.500000	0	417	0	0	0	0	0
Tctex1d2	69.500000	133	284	0	0	0	0	0
Rab28	69.500000	0	417	0	0	0	0	0
Pgm2l1	69.500000	0	417	0	0	0	0	0
Parg	69.500000	0	417	0	0	0	0	0
Paip2	69.500000	0	417	0	0	0	0	0
Lmbr1l	69.500000	109	308	0	0	0	0	0
Hey1	69.500000	114	303	0	0	0	0	0
Hdac1	69.500000	0	417	0	0	0	0	0
Elp6	69.500000	69	348	0	0	0	0	0
Ctbp1	69.500000	0	417	0	0	0	0	0
Chka	69.500000	0	417	0	0	0	0	0
Arl8a	69.500000	0	417	0	0	0	0	0
Alkbh5	69.500000	95	322	0	0	0	0	0
4931414P19Rik	69.500000	0	330	0	87	0	0	0
Tmx3	69.333333	100	246	70	0	0	0	0
Tarbp1	69.333333	0	416	0	0	0	0	0
Rab3gap1	69.333333	85	331	0	0	0	0	0
Plekha1	69.333333	80	336	0	0	0	0	0
Mrfap1	69.333333	80	336	0	0	0	0	0
Maml2	69.333333	0	416	0	0	0	0	0
Leo1	69.333333	0	342	74	0	0	0	0
Krit1	69.333333	0	416	0	0	0	0	0
Klhl9	69.333333	0	416	0	0	0	0	0
Cttn	69.333333	84	332	0	0	0	0	0
Ccnt1	69.333333	0	416	0	0	0	0	0
Ankrd10	69.333333	0	302	0	114	0	0	0
Ankib1	69.333333	0	416	0	0	0	0	0
4930415O20Rik	69.333333	0	416	0	0	0	0	0
