Target_genes	Atf7|Average	SRX520193|3T3-L1	SRX5088371|Testicular_germ_cells	SRX5088372|Testicular_germ_cells	SRX5088373|Testicular_germ_cells	SRX5088374|Testicular_germ_cells	SRX5088375|Testicular_germ_cells	SRX5088376|Testicular_germ_cells	SRX5088377|Testicular_germ_cells	SRX5088378|Testicular_germ_cells	DRX230417|Testis	DRX230418|Testis	DRX230419|Testis	DRX230420|Testis	DRX230421|Testis	DRX230422|Testis	DRX230423|Testis	DRX230424|Testis	DRX230425|Testis	STRING
Mapkap1	32.222222	0	0	0	0	0	0	0	0	0	100	87	177	0	0	216	0	0	0	0
Gm8165	32.222222	0	0	0	0	0	0	0	0	0	0	0	0	275	127	178	0	0	0	0
Wdr19	32.166667	0	0	0	0	0	0	0	0	0	0	0	0	138	144	143	154	0	0	0
Taf1	32.166667	0	0	0	0	0	0	0	0	0	0	0	0	94	160	0	139	0	186	0
Stk33	32.166667	0	0	0	0	0	0	0	0	0	155	101	208	0	115	0	0	0	0	0
Slc35d1	32.166667	0	0	0	0	0	0	0	0	0	88	81	149	0	104	0	85	0	72	0
Pemt	32.166667	0	0	0	0	0	0	0	0	0	0	121	0	91	123	115	129	0	0	0
Gsc2	32.166667	0	0	0	0	0	0	0	0	0	0	0	99	128	216	0	136	0	0	0
Ess2	32.166667	0	0	0	0	0	0	0	0	0	0	0	99	128	216	0	136	0	0	0
Anks6	32.166667	0	0	0	0	0	0	0	0	0	86	0	0	0	97	0	133	182	81	0
Mthfd1	32.111111	0	0	0	0	0	0	0	0	0	0	115	155	0	106	0	96	106	0	0
Mccc1	32.111111	0	0	0	0	0	0	0	0	0	0	85	109	0	115	0	155	0	114	0
Gas2	32.111111	0	0	0	0	0	0	0	0	0	0	112	110	0	107	0	99	150	0	0
Fancf	32.111111	0	0	0	0	0	0	0	0	0	0	112	110	0	107	0	99	150	0	0
Zscan25	32.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	138	180	158	101	0	0
Tc2n	32.055556	0	0	0	0	0	0	0	0	0	122	133	140	0	107	0	0	0	75	0
Rnf144a	32.055556	0	0	0	0	0	0	0	0	0	67	0	179	0	115	0	91	125	0	0
Rnaseh2b	32.055556	0	0	0	0	0	0	0	0	0	121	139	99	0	93	0	0	0	125	0
Rasgef1b	32.055556	0	0	0	0	0	0	0	0	0	0	91	177	0	104	0	99	0	106	0
Pdk2	32.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	141	184	143	0	109	0
Nup35	32.055556	0	0	0	0	0	0	0	0	0	0	111	98	94	0	168	0	106	0	0
Nek7	32.055556	0	0	0	0	0	0	0	0	0	98	125	112	0	72	71	0	99	0	0
Foxk2	32.055556	0	0	0	0	0	0	101	0	0	0	0	0	105	162	118	91	0	0	0
Tmem263	32.000000	0	0	0	0	0	0	0	0	0	119	144	0	0	209	104	0	0	0	0
Lrp6	32.000000	0	0	0	0	0	0	0	0	0	0	0	115	100	142	0	106	113	0	0
Fhl4	32.000000	0	0	0	0	0	0	0	0	0	119	144	0	0	209	104	0	0	0	0
Srr	31.944444	0	0	0	0	0	0	0	0	0	115	79	0	179	0	0	0	96	106	0
Smg6	31.944444	0	0	0	0	0	0	0	0	0	115	79	0	179	0	0	0	96	106	0
Nmu	31.944444	0	0	0	0	0	0	0	0	0	142	76	112	0	0	124	0	0	121	0
Macroh2a1	31.944444	0	0	0	0	0	0	0	0	0	94	0	111	0	124	0	132	0	114	0
Vps26b	31.888889	0	0	0	0	0	0	0	0	0	0	68	117	0	0	0	154	125	110	0
Syt14	31.888889	0	0	0	0	0	0	0	0	0	95	141	157	0	88	93	0	0	0	0
Rxylt1	31.888889	0	0	0	0	0	0	0	0	0	121	117	129	0	97	0	0	0	110	0
Ppm1e	31.888889	0	0	0	0	0	0	0	0	0	108	95	191	0	0	95	0	0	85	0
Pip4k2c	31.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	155	137	121	161	0	0
Ncapd3	31.888889	0	0	0	0	0	0	0	0	0	0	68	117	0	0	0	154	125	110	0
Srd5a1	31.833333	0	0	0	0	0	0	0	0	0	0	92	120	115	0	0	117	0	129	0
Nsun2	31.833333	0	0	0	0	0	0	0	0	0	0	92	120	115	0	0	117	0	129	0
Ndufaf5	31.833333	0	0	0	0	0	0	0	0	0	0	245	116	0	0	0	92	0	120	0
Mreg	31.833333	0	0	0	0	0	0	0	0	0	101	84	145	0	114	0	0	0	129	0
Esf1	31.833333	0	0	0	0	0	0	0	0	0	0	245	116	0	0	0	92	0	120	0
Uba2	31.777778	0	0	0	0	0	0	0	0	0	127	112	101	0	0	0	0	94	138	0
Tarsl2	31.777778	0	0	0	0	0	0	0	0	0	132	0	115	0	147	105	0	73	0	0
Rpn2	31.777778	0	0	0	0	0	0	0	0	0	107	101	139	0	0	0	107	0	118	0
Rpf2	31.777778	0	0	0	0	0	0	0	0	0	95	106	156	0	85	0	130	0	0	0
Mroh8	31.777778	0	0	0	0	0	0	0	0	0	107	101	139	0	0	0	107	0	118	0
Kif5b	31.777778	0	0	0	0	0	0	0	0	0	117	200	153	0	0	0	0	102	0	0
Fgd4	31.777778	0	0	0	0	0	0	0	0	0	112	93	220	0	0	0	0	0	147	0
Boll	31.777778	0	0	0	0	0	0	0	0	0	131	109	124	0	0	74	134	0	0	0
Olfr1495	31.722222	0	0	0	0	0	0	115	0	0	0	111	131	0	0	0	0	106	108	0
Map2k7	31.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	155	106	154	0	156	0
Klhl32	31.722222	0	0	0	0	0	0	0	0	0	94	76	229	0	84	0	88	0	0	0
Hnrnpa1	31.722222	0	0	0	0	0	0	0	0	0	0	106	122	0	99	150	94	0	0	0
Dctn1	31.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	173	102	139	0	157	0
Cpt1b	31.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	185	129	257	0	0	0
Chkb	31.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	185	129	257	0	0	0
Cbx5	31.722222	0	0	0	0	0	0	0	0	0	0	106	122	0	99	150	94	0	0	0
C2cd5	31.722222	0	0	0	0	0	0	0	0	0	0	103	101	0	116	145	0	106	0	0
Spdye4b	31.666667	0	0	0	0	0	0	0	0	0	106	92	118	0	0	179	75	0	0	0
Smad4	31.666667	0	0	0	0	0	0	0	0	0	104	0	92	100	83	0	0	108	83	0
Rbak	31.666667	0	0	0	0	0	0	0	0	0	106	92	118	0	0	179	75	0	0	0
Polr3k	31.666667	0	0	0	0	0	0	0	0	0	0	113	115	171	75	96	0	0	0	0
Pdik1l	31.666667	0	0	0	0	0	0	0	0	0	100	84	172	0	0	126	0	0	88	0
Cyp20a1	31.666667	0	0	0	0	0	0	0	0	0	94	73	159	0	128	0	0	0	116	0
Terb1	31.611111	0	0	0	0	0	0	0	0	0	170	132	147	0	0	0	0	120	0	0
Rtn1	31.611111	0	0	0	0	0	0	0	0	0	136	132	202	0	0	0	0	0	99	0
Kctd3	31.611111	0	0	0	0	0	0	0	0	0	106	153	126	0	0	184	0	0	0	0
Uaca	31.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	140	111	116	0
Tjp2	31.555556	0	0	0	0	0	0	0	0	0	111	88	125	0	108	0	0	0	136	0
Ska2	31.555556	0	0	0	0	0	0	0	0	0	0	99	0	89	166	123	91	0	0	0
Rnpc3	31.555556	0	0	0	0	0	0	0	0	0	100	0	0	0	178	0	110	88	92	0
Prr11	31.555556	0	0	0	0	0	0	0	0	0	0	99	0	89	166	123	91	0	0	0
Lca5l	31.555556	0	0	0	0	0	0	0	0	0	107	123	130	0	0	0	116	92	0	0
Ints13	31.555556	0	0	0	0	0	0	0	0	0	91	169	114	0	99	0	0	95	0	0
Fgfr1op2	31.555556	0	0	0	0	0	0	0	0	0	91	169	114	0	99	0	0	95	0	0
Cdc42se2	31.555556	0	0	0	0	0	0	0	0	0	140	0	125	107	0	105	91	0	0	0
Acbd6	31.555556	0	0	0	0	0	0	0	0	0	146	122	167	0	0	0	0	0	133	0
Thap1	31.500000	0	0	0	0	0	0	0	0	0	102	0	91	0	110	99	89	0	76	0
Stag3	31.500000	0	0	0	0	0	0	0	0	0	0	104	0	104	135	224	0	0	0	0
Med26	31.500000	0	0	0	0	0	0	0	0	0	0	78	146	0	119	123	0	0	101	0
Gpc2	31.500000	0	0	0	0	0	0	0	0	0	0	104	0	104	135	224	0	0	0	0
Exo1	31.500000	0	0	0	0	0	0	0	0	0	90	106	151	0	0	0	114	106	0	0
Reck	31.444444	0	0	0	0	0	0	0	0	0	137	77	135	0	0	0	81	136	0	0
Pcca	31.444444	0	0	0	0	0	0	0	0	0	105	102	0	0	99	137	0	0	123	0
Nsmaf	31.444444	0	0	0	0	0	0	0	0	0	126	131	116	0	0	0	64	0	129	0
Mphosph6	31.444444	0	0	0	0	0	0	0	0	0	92	121	134	0	0	128	0	91	0	0
Dbnl	31.444444	0	0	0	0	0	0	0	0	0	0	0	96	0	98	0	175	104	93	0
Zfp787	31.388889	0	0	0	0	0	0	0	0	0	82	0	109	164	104	0	0	0	106	0
Sec24c	31.388889	0	0	0	0	0	0	0	0	0	0	112	0	145	152	0	156	0	0	0
Mvd	31.388889	0	0	0	0	0	0	0	0	0	0	0	0	117	135	150	163	0	0	0
Lpin2	31.388889	0	0	0	0	0	0	0	0	0	92	86	107	0	0	0	80	91	109	0
H3f3a	31.388889	0	0	0	0	0	0	0	0	0	0	0	85	0	89	0	202	103	86	0
H1f2	31.388889	0	0	0	0	0	0	0	0	0	99	95	128	0	0	116	0	127	0	0
Gna13	31.388889	0	0	0	0	0	0	0	0	0	76	0	90	0	162	0	111	0	126	0
Cxxc5	31.388889	0	0	0	0	0	0	0	0	0	0	0	0	208	120	0	237	0	0	0
Atxn7l2	31.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	85	193	130	0	157	0
Zbtb26	31.333333	0	0	0	0	0	0	0	0	0	124	102	114	0	120	104	0	0	0	0
Utp4	31.333333	0	0	0	0	0	0	0	0	0	116	0	93	0	82	0	88	91	94	0
Uri1	31.333333	0	0	0	0	0	0	0	0	0	131	137	199	0	97	0	0	0	0	0
Strada	31.333333	0	0	0	0	0	0	0	0	0	115	95	131	0	122	101	0	0	0	0
Dync1li1	31.333333	0	0	0	0	0	0	0	0	0	135	85	78	0	0	81	123	0	62	0
Derpc	31.333333	0	0	0	0	0	0	0	0	0	116	0	93	0	82	0	88	91	94	0
Chtf8	31.333333	0	0	0	0	0	0	0	0	0	116	0	93	0	82	0	88	91	94	0
Nup210	31.277778	0	0	0	0	0	0	0	0	0	129	82	148	0	0	100	0	104	0	0
Lcor	31.277778	0	0	0	0	0	0	0	0	0	0	0	0	103	148	0	122	67	123	0
Hmces	31.277778	0	0	0	0	0	0	0	0	0	87	127	86	0	0	0	158	105	0	0
Zfp983	31.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	96	172	156	0	138	0
Tmem65	31.222222	0	0	0	0	0	0	0	0	0	99	107	120	0	0	0	135	101	0	0
Sh3glb2	31.222222	0	0	0	0	0	0	0	0	0	89	0	105	95	0	130	143	0	0	0
Nr4a2	31.222222	0	0	0	0	0	0	0	0	0	75	128	145	0	0	0	0	94	120	0
Kctd2	31.222222	0	0	0	0	0	0	0	0	0	0	0	0	150	135	140	0	0	137	0
Atp5h	31.222222	0	0	0	0	0	0	0	0	0	0	0	0	150	135	140	0	0	137	0
Zfp691	31.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	141	95	162	163	0	0
Wac	31.166667	0	0	0	0	0	0	0	0	0	162	116	90	0	0	106	0	0	87	0
Trappc6b	31.166667	0	0	0	0	0	0	0	0	0	162	111	144	0	0	0	0	0	144	0
Ppp3r1	31.166667	0	0	0	0	0	0	0	0	0	138	105	95	0	130	0	93	0	0	0
Nsun3	31.111111	0	0	0	0	0	0	0	0	0	0	0	207	105	0	105	143	0	0	0
Npm1	31.111111	0	0	0	0	0	0	0	0	0	135	147	0	0	115	94	69	0	0	0
Dcp1b	31.111111	0	0	0	0	0	0	0	0	0	100	134	184	0	0	0	0	67	75	0
Blvra	31.111111	0	0	0	0	0	0	0	0	0	0	103	98	0	145	0	88	126	0	0
Arfip1	31.111111	0	0	0	0	0	0	0	0	0	99	132	109	0	85	0	135	0	0	0
Mfn1	31.055556	0	0	0	0	0	0	0	0	0	92	121	170	0	0	0	91	0	85	0
Ifngr1	31.055556	0	0	0	0	0	0	0	0	0	0	116	159	81	0	0	111	92	0	0
Ddx18	31.055556	0	0	0	0	0	0	0	0	0	0	102	186	140	131	0	0	0	0	0
Cpd	31.055556	0	0	0	0	0	0	0	0	0	0	135	180	0	143	0	0	0	101	0
Srp9	31.000000	0	0	0	0	0	0	0	0	0	0	132	0	91	100	118	117	0	0	0
Rfesd	31.000000	0	0	0	0	0	0	0	0	0	120	93	131	0	101	0	0	113	0	0
Poll	31.000000	284	0	0	0	0	0	0	0	0	0	0	0	0	127	0	147	0	0	0
Gde1	31.000000	0	0	0	0	0	0	0	0	0	0	134	108	0	0	97	98	121	0	0
Dpcd	31.000000	284	0	0	0	0	0	0	0	0	0	0	0	0	127	0	147	0	0	0
Dek	31.000000	0	0	0	0	0	0	0	0	0	85	0	117	0	95	0	120	0	141	0
Trim71	30.944444	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	300	130	0
Tram1l1	30.944444	0	0	0	0	0	0	0	0	0	212	131	0	0	90	0	0	0	124	0
Rpf1	30.944444	0	0	0	0	0	0	0	0	0	0	102	0	113	101	99	0	0	142	0
Palb2	30.944444	0	0	0	0	0	0	0	0	0	117	144	114	80	102	0	0	0	0	0
Mrpl37	30.944444	0	0	0	0	0	0	0	0	0	0	99	87	114	110	0	147	0	0	0
Kif3a	30.944444	0	0	0	0	0	0	0	0	0	106	160	156	0	0	0	0	0	135	0
Fbxl3	30.944444	0	0	0	0	0	0	0	0	0	114	0	147	0	110	104	0	82	0	0
Edf1	30.944444	0	0	0	0	0	0	0	0	0	108	0	100	0	0	119	118	112	0	0
Dctn5	30.944444	0	0	0	0	0	0	0	0	0	117	144	114	80	102	0	0	0	0	0
Cyb5rl	30.944444	0	0	0	0	0	0	0	0	0	0	99	87	114	110	0	147	0	0	0
Ckap5	30.944444	0	0	0	0	0	0	0	0	0	106	104	143	0	108	0	96	0	0	0
Acadl	30.944444	0	0	0	0	0	0	0	0	0	82	102	151	0	0	0	0	78	144	0
Tmem254c	30.888889	0	0	0	0	0	0	0	0	0	149	136	168	0	0	0	0	103	0	0
Tmem254b	30.888889	0	0	0	0	0	0	0	0	0	149	136	168	0	0	0	0	103	0	0
Tmem254a	30.888889	0	0	0	0	0	0	0	0	0	149	136	168	0	0	0	0	103	0	0
Nphp1	30.888889	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	123	164	127	0
Mtln	30.888889	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	123	164	127	0
Atp6v1e1	30.888889	0	0	0	0	0	0	0	0	0	0	157	165	0	0	0	116	0	118	0
Zkscan8	30.833333	0	0	0	0	0	0	0	0	0	124	121	120	0	190	0	0	0	0	0
Zfp78	30.833333	0	0	0	0	0	0	0	0	0	0	0	0	96	142	186	131	0	0	0
Usp3	30.833333	0	0	0	0	0	0	0	0	0	0	0	109	0	125	98	122	101	0	0
Ube2k	30.833333	0	0	0	0	0	0	0	0	0	86	128	120	0	0	94	0	127	0	0
Setd4	30.833333	0	0	0	0	0	0	0	0	0	103	0	76	161	101	114	0	0	0	0
Prpf39	30.833333	0	0	0	0	0	0	0	0	0	0	123	126	0	63	0	147	96	0	0
Pip4k2a	30.833333	0	0	0	0	0	0	0	0	0	114	0	0	0	118	107	0	0	216	0
Nop14	30.833333	0	0	0	0	0	0	0	0	0	0	115	113	0	0	139	188	0	0	0
Nol7	30.833333	0	0	0	0	0	0	0	0	0	153	103	164	0	0	0	0	0	135	0
Grk4	30.833333	0	0	0	0	0	0	0	0	0	0	115	113	0	0	139	188	0	0	0
Dstn	30.833333	0	0	0	0	0	0	0	0	0	0	0	84	118	115	157	81	0	0	0
Cdk20	30.833333	0	0	0	0	0	0	0	0	0	0	82	0	0	132	164	177	0	0	0
Cdk19	30.833333	0	0	0	0	0	0	0	0	0	0	94	100	0	160	107	94	0	0	0
Cbr1	30.833333	0	0	0	0	0	0	0	0	0	103	0	76	161	101	114	0	0	0	0
Tcf19	30.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	86	206	113	0	149	0
Sox4	30.777778	91	0	0	0	0	0	0	0	0	0	0	0	153	0	118	192	0	0	0
Cchcr1	30.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	86	206	113	0	149	0
Tbcel	30.722222	0	0	0	0	0	0	0	0	0	159	110	119	0	85	0	0	0	80	0
Spg21	30.722222	0	0	0	0	0	0	0	0	0	0	159	168	0	0	0	0	89	137	0
Fosl2	30.722222	0	0	0	0	0	0	0	0	0	0	0	0	110	192	122	129	0	0	0
Ttll13	30.666667	0	0	0	0	0	0	0	0	0	0	109	158	0	0	0	171	0	114	0
Ticam1	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	212	166	174	0	0	0
Stx4a	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	104	97	112	137	102	0
Slc35b3	30.666667	0	0	0	0	0	0	0	0	0	102	121	174	0	0	90	0	0	65	0
Plaat5	30.666667	0	0	0	0	0	0	0	0	0	0	101	131	0	115	74	0	0	131	0
Idnk	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	162	237	0	0	0	153	0
Crtc1	30.666667	0	0	0	0	0	0	0	0	0	0	0	196	107	0	166	83	0	0	0
Cherp	30.666667	0	0	0	0	0	0	0	0	0	93	0	148	0	88	0	0	94	129	0
Med17	30.611111	0	0	0	0	0	0	0	0	0	134	128	174	0	0	115	0	0	0	0
Ikzf3	30.611111	0	0	0	0	0	0	0	0	0	159	102	148	0	142	0	0	0	0	0
Hagh	30.611111	0	0	0	0	0	0	0	0	0	92	0	98	0	150	0	112	0	99	0
Gm11569	30.611111	0	0	0	0	0	0	0	0	0	134	0	180	0	0	0	0	134	103	0
Gm11554	30.611111	0	0	0	0	0	0	0	0	0	134	0	180	0	0	0	0	134	103	0
Fahd1	30.611111	0	0	0	0	0	0	0	0	0	92	0	98	0	150	0	112	0	99	0
Cep68	30.611111	0	0	0	0	0	0	0	0	0	0	104	111	161	175	0	0	0	0	0
Arfgef2	30.611111	0	0	0	0	0	0	0	0	0	110	114	142	0	0	0	0	91	94	0
Appl2	30.611111	0	0	0	0	0	0	0	0	0	160	72	110	0	110	99	0	0	0	0
Slc25a31	30.555556	0	0	0	0	0	0	0	0	0	75	139	117	73	0	0	0	146	0	0
Ppp2r5c	30.555556	0	0	0	0	0	0	0	0	0	0	0	95	0	86	125	151	0	93	0
Atg14	30.555556	0	0	0	0	0	0	0	0	0	82	136	175	0	0	0	0	72	85	0
Armh3	30.555556	0	0	0	0	0	0	0	0	0	107	113	131	0	0	0	0	76	123	0
Ubtd2	30.500000	0	0	0	0	0	0	0	0	0	117	111	111	0	88	122	0	0	0	0
Cdk7	30.500000	0	0	0	0	0	0	0	0	0	0	161	126	0	135	127	0	0	0	0
Ypel2	30.444444	0	0	0	0	0	0	0	0	0	79	78	101	0	153	0	137	0	0	0
Twnk	30.444444	0	0	0	0	0	0	0	0	0	0	0	111	0	143	142	152	0	0	0
Tubgcp6	30.444444	0	0	0	0	0	0	0	0	0	0	0	0	142	126	0	175	0	105	0
Pde6d	30.444444	157	0	0	0	0	0	0	0	0	0	0	180	0	102	109	0	0	0	0
Mrpl43	30.444444	0	0	0	0	0	0	0	0	0	0	0	111	0	143	142	152	0	0	0
Mfap3	30.444444	0	0	0	0	0	0	0	0	0	0	135	0	0	121	113	0	78	101	0
Lrch3	30.444444	0	0	0	0	0	0	0	0	0	118	118	103	0	124	0	85	0	0	0
H3c7	30.444444	0	0	0	0	0	0	0	0	0	148	0	163	0	0	0	121	0	116	0
H2bc9	30.444444	0	0	0	0	0	0	0	0	0	148	0	163	0	0	0	121	0	116	0
Fam114a2	30.444444	0	0	0	0	0	0	0	0	0	0	135	0	0	121	113	0	78	101	0
Dusp12	30.444444	0	0	0	0	0	0	0	0	0	153	126	136	0	0	0	0	0	133	0
Cops7b	30.444444	157	0	0	0	0	0	0	0	0	0	0	180	0	102	109	0	0	0	0
Cnot1	30.444444	0	0	0	0	0	0	0	0	0	107	0	0	0	175	151	115	0	0	0
Zfp664	30.388889	0	0	0	0	0	0	0	0	0	0	90	0	138	93	156	0	0	70	0
Stam2	30.388889	0	0	0	0	0	0	0	0	0	100	96	167	0	0	93	0	91	0	0
Cul1	30.388889	0	0	0	0	0	0	0	0	0	99	91	133	0	0	0	117	107	0	0
Ccdc92	30.388889	0	0	0	0	0	0	0	0	0	0	90	0	138	93	156	0	0	70	0
Mcph1	30.333333	0	0	0	0	0	0	0	0	0	126	107	161	0	74	0	0	78	0	0
Anln	30.333333	0	0	0	0	0	0	0	0	0	0	174	101	0	72	0	121	78	0	0
Taf3	30.277778	0	0	0	0	0	0	0	0	0	133	133	141	0	0	0	138	0	0	0
Mov10l1	30.277778	0	0	0	0	0	0	0	0	0	0	102	122	0	106	0	135	0	80	0
Mlc1	30.277778	0	0	0	0	0	0	0	0	0	0	102	122	0	106	0	135	0	80	0
Fstl4	30.277778	0	0	0	0	0	0	0	0	0	0	0	104	0	166	125	0	150	0	0
Evi5	30.277778	0	0	0	0	0	0	0	0	0	92	103	161	0	0	0	0	83	106	0
Zfp28	30.222222	0	0	0	0	0	0	0	0	0	153	0	97	0	102	0	76	0	116	0
Star	30.222222	0	0	0	0	0	0	0	0	0	0	0	0	119	166	126	133	0	0	0
Rbm48	30.222222	0	0	0	0	0	0	0	0	0	0	0	144	81	111	0	123	0	85	0
Rasd2	30.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	144	86	92	0
Polr2a	30.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	210	164	170	0	0	0
Pex5	30.222222	0	0	0	0	0	0	0	0	0	89	134	111	0	132	78	0	0	0	0
Pex1	30.222222	0	0	0	0	0	0	0	0	0	0	0	144	81	111	0	123	0	85	0
Mettl3	30.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	160	186	198	0	0	0
D830031N03Rik	30.222222	0	0	0	0	0	0	0	0	0	98	68	120	0	0	139	0	119	0	0
Ccdc97	30.222222	0	0	0	0	0	0	0	0	0	0	0	0	149	152	95	148	0	0	0
Abl2	30.222222	0	0	0	0	0	0	0	0	0	135	113	104	0	0	91	0	101	0	0
Zdhhc17	30.166667	0	0	0	0	0	0	0	0	0	84	87	105	0	0	0	0	166	101	0
Rbm45	30.166667	0	0	0	0	0	0	0	0	0	94	111	102	0	0	135	0	0	101	0
Mycbp2	30.166667	0	0	0	0	0	0	0	0	0	110	99	109	96	0	129	0	0	0	0
Miga2	30.166667	0	0	0	0	0	0	0	0	0	89	0	86	95	0	130	143	0	0	0
Calr	30.166667	0	0	0	0	0	0	0	0	0	76	0	112	123	126	106	0	0	0	0
Zfp318	30.111111	0	0	0	0	0	0	0	0	0	81	0	100	0	152	107	0	0	102	0
Cyp2u1	30.111111	0	0	0	0	0	0	0	0	0	115	76	104	121	126	0	0	0	0	0
Zfp612	30.055556	0	0	0	0	0	0	0	0	0	0	79	107	0	87	105	163	0	0	0
Ubxn1	30.055556	0	0	0	0	0	0	0	0	0	119	117	134	0	0	0	0	78	93	0
Nae1	30.055556	0	0	0	0	0	0	0	0	0	137	110	123	0	0	0	0	0	171	0
Krit1	30.055556	0	0	0	0	0	0	0	0	0	0	129	93	0	90	0	130	0	99	0
Kif27	30.055556	0	0	0	0	0	0	0	0	0	127	0	105	0	106	0	0	119	84	0
Car7	30.055556	0	0	0	0	0	0	0	0	0	137	110	123	0	0	0	0	0	171	0
Ankib1	30.055556	0	0	0	0	0	0	0	0	0	0	129	93	0	90	0	130	0	99	0
Tasor2	30.000000	0	0	0	0	0	0	0	0	0	116	127	150	0	0	0	147	0	0	0
Plppr4	30.000000	0	0	0	0	0	0	0	0	0	0	93	96	0	114	119	0	118	0	0
Klf5	30.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	174	138	158	0	70	0
Trip4	29.944444	0	0	0	0	0	0	0	0	0	0	103	0	0	119	138	179	0	0	0
Ptar1	29.944444	0	0	0	0	0	0	0	0	0	98	109	147	0	0	80	0	0	105	0
Med11	29.944444	0	0	0	0	0	0	0	0	0	92	151	120	0	91	0	0	0	85	0
Eps15l1	29.944444	0	0	0	0	0	0	0	0	0	95	97	142	0	0	95	0	0	110	0
Csnk1g1	29.944444	0	0	0	0	0	0	0	0	0	0	103	0	0	119	138	179	0	0	0
Atxn10	29.944444	0	0	0	0	0	0	0	0	0	89	128	182	0	140	0	0	0	0	0
Atrip	29.944444	0	0	0	0	0	0	0	0	0	0	109	130	0	135	0	0	0	165	0
Srfbp1	29.888889	0	0	0	0	0	0	0	0	0	0	0	143	0	166	124	0	0	105	0
Rpn1	29.888889	0	0	0	0	0	0	0	0	0	109	109	206	0	0	0	114	0	0	0
Rabif	29.888889	0	0	0	0	0	0	0	0	0	0	76	116	109	131	0	0	0	106	0
Arpc3	29.888889	0	0	0	0	0	0	0	0	0	0	0	131	140	152	115	0	0	0	0
Zfp1	29.833333	0	0	0	0	0	0	0	0	0	0	120	118	0	84	104	111	0	0	0
Vrk2	29.833333	0	0	0	0	0	0	0	0	0	91	186	146	0	0	0	0	0	114	0
Scpep1	29.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	141	178	218	0	0	0
Kdm6a	29.833333	0	0	0	0	0	0	0	0	0	0	0	0	153	111	114	159	0	0	0
Hspb1	29.833333	0	0	0	0	0	0	0	0	0	0	0	0	147	0	169	221	0	0	0
D16Ertd472e	29.833333	0	0	0	0	0	0	0	0	0	113	0	147	0	0	0	81	106	90	0
Bbs9	29.833333	0	0	0	0	0	0	0	0	0	0	0	0	139	90	155	153	0	0	0
Tspan3	29.777778	0	0	0	0	0	0	0	0	0	144	94	130	0	95	0	0	73	0	0
Tbc1d2	29.777778	0	0	0	0	0	0	0	0	0	98	114	145	0	78	0	101	0	0	0
Slbp	29.777778	0	0	0	0	0	0	0	0	0	126	0	122	0	0	113	97	78	0	0
Mef2d	29.777778	0	0	0	0	0	0	0	0	0	0	0	0	194	149	0	193	0	0	0
Exosc8	29.777778	0	0	0	0	0	0	0	0	0	78	102	134	0	0	140	0	82	0	0
Alg5	29.777778	0	0	0	0	0	0	0	0	0	78	102	134	0	0	140	0	82	0	0
Twsg1	29.722222	0	0	0	0	0	0	0	0	0	143	87	142	0	0	0	0	93	70	0
Slc27a6	29.722222	0	0	0	0	0	0	0	0	0	0	0	131	118	166	0	120	0	0	0
Pa2g4	29.722222	0	0	0	0	0	0	0	0	0	0	77	92	0	182	0	91	93	0	0
Naa16	29.722222	0	0	0	0	0	0	0	0	0	149	160	110	0	0	0	0	0	116	0
Dtnb	29.722222	0	0	0	0	0	0	0	0	0	95	0	98	0	121	0	0	113	108	0
Depdc1b	29.722222	0	0	0	0	0	0	0	0	0	97	116	129	0	80	0	113	0	0	0
Mia3	29.666667	0	0	0	0	0	0	0	0	0	109	0	146	0	70	0	116	0	93	0
Zfp384	29.611111	0	0	0	0	0	0	0	0	0	0	0	0	106	0	178	122	127	0	0
Zbtb40	29.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	159	159	118	97	0	0
Kctd7	29.611111	0	0	0	0	0	0	0	0	0	113	87	120	0	121	0	92	0	0	0
Gm5134	29.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	216	190	0	0	127	0
Garem1	29.611111	0	0	0	0	0	0	0	0	0	105	116	121	0	0	92	99	0	0	0
