Target_genes	Elk1|Average	SRX10221012|3T3-L1	SRX10221013|3T3-L1	SRX10221014|3T3-L1	SRX10221015|3T3-L1	SRX9144796|3T3-L1	SRX9144797|3T3-L1	SRX7115524|Corpus_Striatum	SRX7115525|Corpus_Striatum	SRX1462209|MEF	SRX1462210|MEF	SRX1462211|MEF	SRX1462212|MEF	SRX1462213|MEF	SRX1462214|MEF	SRX1462215|MEF	SRX1462216|MEF	SRX1618614|MEF	SRX1618615|MEF-derived_neural_cells	SRX1618616|MEF-derived_neural_cells	SRX1618617|MEF-derived_neural_cells	SRX1618618|MEF-derived_neural_cells	SRX262793|NIH/3T3	SRX262794|NIH/3T3	SRX262795|NIH/3T3	SRX262796|NIH/3T3	STRING
Naxe	12.400000	0	0	0	0	0	0	205	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mvk	12.400000	0	0	0	0	0	0	175	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmab	12.400000	0	0	0	0	0	0	175	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mks1	12.400000	0	0	0	0	178	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd20	12.400000	0	0	0	0	0	0	166	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap4	12.400000	0	0	0	0	0	90	93	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Churc1	12.400000	0	0	0	0	205	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf72	12.400000	0	0	0	0	0	0	222	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsf3	12.400000	0	0	0	0	0	0	129	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zswim9	12.360000	0	0	0	0	0	0	98	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30b	12.360000	0	0	0	0	0	0	181	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem109	12.360000	0	0	0	0	0	0	181	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thap1	12.360000	0	0	0	0	0	107	117	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarca5	12.360000	0	0	0	0	0	106	109	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc30a7	12.360000	0	0	0	0	0	126	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a8	12.360000	0	0	0	0	0	0	186	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtel1	12.360000	0	0	0	0	0	88	110	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med14	12.360000	0	89	0	0	96	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk14	12.360000	0	0	0	0	0	0	186	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lig1	12.360000	0	0	0	0	0	0	98	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harbi1	12.360000	0	0	0	0	0	0	181	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extl2	12.360000	0	0	0	0	0	126	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2f5	12.360000	0	0	0	0	0	0	136	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg13	12.360000	0	0	0	0	0	0	181	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Socs2	12.320000	0	0	0	0	0	0	189	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr1d2	12.320000	0	0	0	0	0	0	166	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map4k2	12.320000	0	0	0	0	0	0	179	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamc1	12.320000	0	0	0	0	68	130	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bud13	12.320000	0	0	0	0	0	0	171	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ambra1	12.320000	0	0	0	0	0	0	214	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca3	12.320000	0	0	0	0	0	0	168	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca17	12.320000	0	0	0	0	0	0	168	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf31	12.280000	0	0	0	0	0	106	124	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psme2	12.280000	0	0	0	0	0	106	124	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcx	12.280000	0	0	0	0	0	0	197	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mt1	12.280000	0	211	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif15	12.280000	0	0	0	0	0	0	204	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fzr1	12.280000	0	0	0	0	0	0	153	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul3	12.280000	0	0	0	0	105	95	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq7	12.280000	0	0	0	0	0	0	138	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059G10Rik	12.280000	0	0	0	0	0	0	204	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wrn	12.240000	0	0	0	0	0	0	201	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wac	12.240000	0	0	0	0	0	69	139	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubgcp3	12.240000	0	0	0	0	0	0	178	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata18	12.240000	0	0	0	0	0	0	145	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgcb	12.240000	0	0	0	0	0	0	145	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Purg	12.240000	0	0	0	0	0	0	201	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl55	12.240000	0	0	0	0	0	0	169	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iffo2	12.240000	0	0	0	0	0	0	171	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbr1	12.240000	0	0	0	0	0	0	161	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfap410	12.240000	0	0	0	0	0	172	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc12	12.200000	0	0	0	0	0	0	162	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vasp	12.200000	0	0	0	0	0	0	207	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tceanc	12.200000	0	0	0	0	0	111	91	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rev1	12.200000	0	0	0	0	0	0	153	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad23b	12.200000	0	0	0	0	0	0	211	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psma1	12.200000	0	0	0	0	0	0	196	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtarc2	12.200000	0	0	118	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k2	12.200000	0	0	0	0	0	0	187	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2d	12.200000	0	0	0	0	0	0	196	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd7	12.160000	0	0	0	0	0	0	151	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa15	12.160000	0	0	0	0	0	0	157	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob1b	12.160000	0	0	0	93	0	0	121	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgst3	12.160000	0	0	0	0	0	0	201	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zw10	12.120000	0	0	0	0	0	0	200	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsen15	12.120000	0	0	0	0	0	0	102	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc43a2	12.120000	0	0	0	0	0	131	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacm1l	12.120000	0	0	0	0	0	0	177	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekha8	12.120000	0	0	0	0	0	0	141	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfn1	12.120000	0	0	0	0	144	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl15	12.120000	0	0	0	0	0	0	231	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif18a	12.120000	0	0	0	0	0	0	231	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp14	12.120000	0	0	0	0	0	0	141	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fasn	12.120000	0	0	0	0	120	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D2hgdh	12.120000	0	0	0	0	0	0	119	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acbd3	12.120000	0	0	0	0	0	0	130	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp446	12.080000	0	0	0	0	0	82	141	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp445	12.080000	0	0	0	0	0	0	157	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utp18	12.080000	0	0	0	0	0	0	176	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2s	12.080000	0	0	0	0	0	0	181	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx15	12.080000	0	0	0	0	0	121	70	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbtd1	12.080000	0	0	0	0	0	0	176	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ing3	12.080000	0	0	0	0	0	0	191	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fchsd2	12.080000	0	0	0	0	0	0	187	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd5	12.080000	0	0	0	0	0	83	110	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif6	12.080000	0	0	0	0	0	0	157	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmas	12.080000	0	0	0	0	0	0	191	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borcs5	12.080000	0	0	0	0	0	91	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bbof1	12.080000	0	0	0	0	0	83	110	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufb7	12.040000	0	0	0	0	0	0	190	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpripl2	12.040000	0	0	0	121	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gins3	12.040000	0	0	0	0	0	157	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gins1	12.040000	0	0	0	0	106	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc57	12.040000	0	0	0	0	0	0	148	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Appl2	12.040000	0	0	0	0	0	146	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap1ar	12.040000	0	0	0	0	151	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srpr	12.000000	0	0	0	0	0	0	185	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serac1	12.000000	0	0	0	0	0	0	197	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufs4	12.000000	0	0	0	0	0	0	185	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl36	12.000000	0	0	0	0	0	0	209	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2h5	12.000000	0	0	0	0	0	0	197	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxred1	12.000000	0	0	0	0	0	0	185	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epb41l5	12.000000	0	0	0	141	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnpep	12.000000	0	0	0	0	0	0	191	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox6a1	12.000000	0	0	0	0	0	79	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abi1	12.000000	0	0	0	0	0	0	125	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yes1	11.960000	0	0	0	176	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krcc1	11.960000	0	0	0	0	0	0	156	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ficd	11.960000	0	0	0	0	0	0	160	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smg1	11.920000	0	0	0	0	0	0	146	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranbp3	11.920000	0	0	0	0	0	122	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc42	11.920000	0	0	0	0	0	0	95	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kremen1	11.920000	0	0	0	0	0	0	201	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilf3	11.920000	0	0	0	0	0	150	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb11	11.920000	0	0	0	0	0	0	95	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpud2	11.920000	0	0	0	0	0	0	102	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2b	11.920000	0	0	0	0	0	0	211	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8439	11.920000	0	0	0	0	0	178	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gatad2b	11.920000	0	0	0	0	0	0	137	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc62	11.920000	0	0	0	0	0	0	161	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3830406C13Rik	11.920000	0	0	0	0	0	0	211	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp382	11.880000	0	0	0	0	0	0	151	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt11	11.880000	0	0	0	0	0	0	128	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synj2bp	11.880000	0	0	0	0	0	0	160	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sepsecs	11.880000	0	0	0	0	0	0	160	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl37a	11.880000	0	0	0	0	0	117	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rell2	11.880000	0	0	0	0	0	139	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osgin2	11.880000	0	0	0	0	0	101	105	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc4	11.880000	0	0	0	0	0	0	136	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac3	11.880000	0	0	0	0	0	139	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20498	11.880000	0	0	0	0	0	0	160	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd47	11.880000	0	0	0	0	162	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apbb2	11.880000	0	0	0	0	0	0	131	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap3b1	11.880000	0	0	0	0	0	0	194	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp454	11.840000	0	0	0	0	0	0	185	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uqcrfs1	11.840000	0	0	0	0	0	0	160	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tor1b	11.840000	0	0	0	0	0	0	193	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm9sf4	11.840000	0	0	0	0	0	0	125	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdk1	11.840000	0	0	0	0	0	0	105	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scarb2	11.840000	0	0	0	0	0	0	159	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxt2	11.840000	0	0	0	0	0	0	185	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nop9	11.840000	0	0	0	0	0	0	159	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nol11	11.840000	0	0	0	0	0	0	193	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpnb1	11.840000	0	0	0	0	0	0	174	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs1	11.840000	0	0	0	0	0	0	159	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg8	11.840000	0	0	0	0	0	0	193	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn4	11.840000	0	0	0	0	0	0	183	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2k	11.800000	0	0	0	0	0	0	156	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tjap1	11.800000	0	0	0	0	0	0	176	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl6	11.800000	0	0	0	0	0	192	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mon1a	11.800000	0	0	0	0	0	0	160	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mogs	11.800000	0	0	0	0	0	135	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igf2r	11.800000	0	0	0	0	0	0	176	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71e1	11.800000	0	0	0	0	0	0	140	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emc10	11.800000	0	0	0	0	0	0	140	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E130308A19Rik	11.800000	0	0	0	0	0	0	142	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5k	11.800000	0	0	0	0	0	0	158	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ate1	11.800000	0	0	0	0	0	0	158	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usf1	11.760000	0	0	0	0	0	0	185	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2i	11.760000	0	0	0	0	0	0	147	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tiprl	11.760000	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps5	11.760000	0	0	0	0	0	0	158	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf151	11.760000	0	0	0	0	0	0	144	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mthfr	11.760000	0	0	0	0	0	0	183	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med31	11.760000	0	0	0	0	0	0	118	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marchf9	11.760000	0	0	0	0	0	117	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map4k1	11.760000	0	0	0	0	0	0	205	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin52	11.760000	0	0	0	0	0	0	162	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif11	11.760000	0	0	0	0	0	0	176	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3k	11.760000	0	0	0	0	0	0	205	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn6	11.760000	0	0	0	0	0	0	183	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk4	11.760000	0	0	0	0	0	117	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh6a1	11.760000	0	0	0	0	0	0	162	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930563E22Rik	11.760000	0	0	0	0	0	0	118	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30a2	11.720000	0	0	0	0	0	0	103	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30a1	11.720000	0	0	0	0	0	0	103	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc31a1	11.720000	0	0	0	0	0	0	158	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppig	11.720000	0	0	0	0	0	0	109	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg5	11.720000	0	0	0	102	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nptn	11.720000	0	0	0	0	0	0	118	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jund	11.720000	0	0	0	0	0	0	131	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqcn	11.720000	0	0	0	0	0	0	131	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imp4	11.720000	0	0	0	0	0	0	115	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp15	11.720000	0	0	0	0	0	0	158	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	11.720000	0	0	0	0	0	0	115	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camsap1	11.720000	0	0	0	0	0	0	122	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730455P16Rik	11.720000	0	0	0	0	0	0	155	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp558	11.680000	0	0	0	0	154	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp438	11.680000	0	0	0	0	0	0	125	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbd3l1	11.680000	0	0	0	0	154	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap7	11.680000	0	0	0	0	0	0	149	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h14	11.640000	0	0	0	0	0	0	159	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad3	11.640000	0	0	0	0	0	0	186	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab24	11.640000	0	0	0	0	0	174	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psen2	11.640000	0	0	0	0	0	0	180	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prelid1	11.640000	0	0	0	0	0	174	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdzd2	11.640000	0	0	0	0	0	0	176	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrbf2	11.640000	0	0	0	0	0	0	158	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl17	11.640000	0	0	0	0	0	147	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm14a	11.640000	0	0	0	0	0	0	138	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamp1	11.640000	0	0	0	0	0	0	137	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilf2	11.640000	0	0	0	0	0	158	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fignl1	11.640000	0	0	0	0	0	0	168	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faap100	11.640000	0	0	0	0	0	0	155	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calm2	11.640000	0	0	0	0	0	0	125	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ythdf3	11.600000	0	0	0	0	0	0	145	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uri1	11.600000	0	0	0	108	0	0	117	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc44a1	11.600000	0	0	0	0	0	0	158	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnh1	11.600000	0	0	0	0	0	0	166	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papolg	11.600000	0	0	0	0	0	0	171	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kat8	11.600000	0	0	0	0	0	0	132	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glrx5	11.600000	0	0	0	0	0	133	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ano6	11.600000	0	0	0	0	0	0	112	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps35l	11.560000	0	0	0	0	0	0	165	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem183a	11.560000	0	0	0	0	0	0	191	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgpl1	11.560000	0	0	0	0	0	0	156	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
