Target_genes	Tcf3|Average	SRX1568859|B_cells	SRX1568860|B_cells	SRX1568861|B_cells	SRX1568862|B_cells	SRX1568867|B_cells	SRX1568868|B_cells	SRX142528|C2C12	SRX2348473|CD4_CD8_double_positive_cells	SRX1080393|Embryoid_Bodies	SRX9599934|Embryonic_liver	SRX9599937|Embryonic_liver	SRX9599940|Embryonic_liver	SRX9641189|EpiLC	SRX9641190|EpiLC	SRX9641191|EpiLC	SRX9641202|EpiLC	SRX9641203|EpiLC	SRX9641204|EpiLC	SRX9641218|EpiLC	SRX9641219|EpiLC	SRX9641220|EpiLC	SRX003870|ES_cells	SRX003871|ES_cells	SRX1080398|ES_cells	SRX3581842|ES_cells	SRX3581843|ES_cells	SRX9641170|ES_cells	SRX9641171|ES_cells	SRX9641172|ES_cells	SRX1117081|HAFTL	SRX1117082|HAFTL	SRX1117083|HAFTL	SRX1117084|HAFTL	SRX1117085|HAFTL	SRX323583|Hair_follicle_stem_cells	SRX7821127|Hematopoietic_progenitors	SRX7821128|Hematopoietic_progenitors	SRX7821129|Hematopoietic_progenitors	SRX310197|HPC-7	SRX3771849|Liver	SRX3771850|Liver	SRX310199|Mast_Cells	SRX150191|Myoblasts	SRX2348475|Natural_Killer_T-Cells	SRX2254825|Neural_Stem_Cells	SRX3195760|Neural_Stem_Cells	SRX3195761|Neural_Stem_Cells	SRX3195762|Neural_Stem_Cells	SRX3195763|Neural_Stem_Cells	SRX2162538|Pre-B_cells	SRX2162541|Pre-B_cells	SRX2162560|Pre-B_cells	SRX3868861|Pre-B_cells	SRX3868862|Pre-B_cells	SRX021889|Pro-B_cells	SRX021890|Pro-B_cells	SRX082175|Thymocytes	SRX082176|Thymocytes	SRX021893|T_cells	SRX1568863|Unclassified	SRX1568864|Unclassified	SRX1568865|Unclassified	SRX1568866|Unclassified	STRING
Atp6v1b2	32.730159	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	79	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	566	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	146	0	281	0	0
Maoa	32.714286	398	0	0	0	0	0	0	194	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	133	180	249	103	0	0	0	0	0	0	0	0	174	0	193	0	0
Ciz1	32.714286	168	0	0	0	0	0	74	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	134	0	0	0	0	0	0	0	0	145	0	0	0	219	0	0	0	102	0	108	104	338	0	0	0	0	0	0	0	0	93	0	169	0	0
Gas2l1	32.698413	0	0	149	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	317	257	191	0	222	0	0	0	0	0	0	0	0	272	0	222	0	0
Ddx17	32.698413	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	227	330	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	136	0	0	0	143	156	122	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfl2	32.698413	259	0	130	0	0	0	83	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	79	103	0	148	0	0	0	0	0	0	0	0	195	0	299	0	0
Capn1	32.698413	0	0	178	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	115	0	0	0	0	237	0	0	0	0	141	0	141	0	0
Tmem9b	32.682540	303	0	86	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	198	521	0	0	0	0	0	0	0	0	223	0	186	0	0
Slc2a9	32.682540	146	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	756	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0
Brf1	32.682540	202	0	0	0	165	0	104	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	164	0	0	0	0	117	0	0	391	0	0	0	0	0	0	0	0	100	0	169	0	0
6430571L13Rik	32.682540	129	0	0	0	0	0	0	125	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	325	0	0	0	0	171	0	0	0	0	0	135	0	0
Tcf7l2	32.666667	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	266	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	154	135	149	0	84	238	0	0	0	0	0	0	0	0	0	0	0	0
Slc27a2	32.666667	0	0	0	0	0	0	0	0	793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0
Dusp23	32.666667	111	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	204	0	0	0	175	67	0	0	156	791	0	0	0	0	0	0	0	0	0	131	0	0
Cenpv	32.666667	252	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	497	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	256	0	228	0	0
Slurp1	32.634921	380	0	0	0	0	0	294	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	145	0	0	0	0	95	0	0	0	111	123	0	0	0	0
Mettl21a	32.634921	248	0	0	0	0	0	341	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	164	0	0	0	0	0	0	0	0	79	0	0	0	257	0	0	0	0	0	0	120	420	0	0	0	0	0	0	0	0	175	0	0	0	0
Atxn7l3	32.634921	248	0	97	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	88	0	0	0	124	0	204	0	173	0	0	0	0	0	0	122	0	142	0	0
Pomp	32.619048	144	0	170	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	129	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	0	104	0	120	0	0
Dnajb4	32.603175	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	148	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	199	0	268	0	119	155	152	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdcp3	32.603175	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	159	269	408	349	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110040N11Rik	32.603175	0	0	0	0	0	0	114	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	116	221	0	0	173	0	0	0	0	0	0	0	0	0	352	0	0	0	119	0	0	0	68	0	0	0	503	0	0	0	0	0	0	0	0	0	0	83	0	0
Zfp319	32.587302	200	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	125	103	0	157	226	0	0	0	0	0	0	0	0	142	0	300	0	0
Usb1	32.587302	200	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	125	103	0	157	226	0	0	0	0	0	0	0	0	142	0	300	0	0
Rnf111	32.587302	117	0	0	0	0	0	142	122	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	161	0	147	0	0	109	78	0	198	0	0	0	0	0	0	0	0	161	0	144	0	0
Rmdn3	32.587302	259	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	220	0	139	0	0	0	0	0	161	0	0	0	156	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	189	0	373	0	0
Gins1	32.587302	194	0	0	0	0	0	72	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	150	0	0	0	0	0	0	65	240	0	316	73	0	0	0	0	0	108	0	193	0	0
Fdxacb1	32.587302	279	0	0	0	106	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	102	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	195	0	272	0	0
1110032A03Rik	32.587302	279	0	0	0	106	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	102	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	195	0	272	0	0
Zfp704	32.571429	113	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	302	428	0	0	79	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	324	0	105	0	0	0	0	0	0	0	0	0	0	0
Rdh12	32.571429	661	0	334	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	465	0	329	0	0
F11r	32.555556	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	641	0	0	0	0	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh5a1	32.555556	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	124	0	0	0	0	101	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0
Wbp1l	32.539683	0	0	100	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	190	0	0	76	310	268	206	0	287	0	0	0	0	0	0	0	0	0	0	97	0	0
Thnsl1	32.539683	208	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	225	0	0	0	254	171	128	0	149	0	0	0	0	0	0	0	0	213	0	294	122	0
Marchf11	32.539683	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl18	32.539683	180	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	164	0	0	0	0	139	0	142	663	0	153	0	0	0	0	0	0	0	0	141	0	0
Kif9	32.539683	180	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	164	0	0	0	0	139	0	142	663	0	153	0	0	0	0	0	0	0	0	141	0	0
Enkur	32.539683	208	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	225	0	0	0	254	171	128	0	149	0	0	0	0	0	0	0	0	213	0	294	122	0
Vwc2l	32.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem69	32.523810	223	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	288	0	0	0	0	0	0	139	477	0	0	0	0	0	0	0	0	128	0	192	0	0
Scand1	32.523810	285	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	235	0	0	0	0	94	0	194	397	0	0	0	0	0	0	0	0	89	0	342	0	0
Gpbp1l1	32.523810	223	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	288	0	0	0	0	0	0	139	477	0	0	0	0	0	0	0	0	128	0	192	0	0
Glcci1	32.523810	317	0	0	0	0	0	0	170	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	103	0	0	138	0	390	0	0	0	0	0	0	0	0	216	0	0
Galnt7	32.523810	151	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	105	0	0	0	124	179	113	136	132	91	0	0	0	0	0	0	0	205	0	182	0	0
Efcc1	32.523810	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	226	409	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0
Cnbd2	32.523810	285	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	235	0	0	0	0	94	0	194	397	0	0	0	0	0	0	0	0	89	0	342	0	0
Ptbp3	32.507937	212	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	179	278	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	110	0	0	0	0	101	0	0	216	0	0	0	0	0	0	0	0	0	0	188	0	0
Higd1a	32.507937	128	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	131	402	246	212	0	109	0	0	0	0	0	0	0	0	115	0	179	0	0
Cxcl12	32.507937	0	0	0	0	0	0	0	0	903	0	0	0	0	155	156	0	0	0	0	0	0	0	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfb2m	32.476190	138	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	143	0	0	0	105	0	0	0	442	0	0	0	0	0	0	0	0	131	0	231	0	0
St3gal2	32.476190	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	121	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	125	0	117	80	144	0	269	0	188	0	0	0	0	0	0	0	0	0	0	0
Fkbp4	32.476190	0	0	0	0	0	0	175	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	124	220	0	124	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	105	0	124	0	0
Cnst	32.476190	138	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	143	0	0	0	105	0	0	0	442	0	0	0	0	0	0	0	0	131	0	231	0	0
Gpsm1	32.460317	0	0	0	0	0	0	0	183	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	413	285	242	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0
Duxbl3	32.460317	0	0	0	0	0	0	259	88	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	179	299	278	237	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
Duxbl2	32.460317	0	0	0	0	0	0	259	88	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	179	299	278	237	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
Duxbl1	32.460317	0	0	0	0	0	0	259	88	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	179	299	278	237	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
Nmt2	32.444444	256	0	0	0	0	0	88	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	204	0	0	0	145	0	0	0	152	0	0	0	0	0	0	113	268	0	0	0	0	0	0	0	0	151	0	269	0	0
Gphn	32.444444	215	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	280	0	0	0	0	171	0	167	200	0	0	0	0	0	0	0	0	279	0	332	0	0
Crxos	32.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	317	414	0	96	245	184	187	0	173	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk40	32.428571	193	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	217	99	237	0	263	0	0	0	0	0	0	0	0	98	0	175	0	0
Saal1	32.428571	192	0	0	0	0	0	0	127	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	262	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	109	0	265	0	0
Ppp2r2a	32.428571	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	152	161	0	0	0	0	0	0	0	0	0	0	0	81	0	0	124	402	233	337	0	233	0	0	0	0	0	0	0	0	0	0	83	0	0
Slx1b	32.412698	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	451	189	0	0	0	0	0	0	0	141	0	0
Rab6b	32.412698	154	0	0	0	0	0	0	196	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	295	142	0	0	0	0	0	0	0	0	0	0	192	0	269	0	0
Qtrt2	32.412698	144	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	284	0	0	0	202	221	113	0	271	0	0	0	0	0	0	0	0	107	0	201	0	0
Prr18	32.412698	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	149	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	521	413	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mki67	32.412698	273	0	255	0	0	0	0	208	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	194	0	0	0	125	0	0	0	0	295	0	198	0	0
Il15	32.412698	840	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	519	0	283	0	0
Ccdc191	32.412698	144	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	284	0	0	0	202	221	113	0	271	0	0	0	0	0	0	0	0	107	0	201	0	0
Bola2	32.412698	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	451	189	0	0	0	0	0	0	0	141	0	0
Skap1	32.396825	108	0	0	0	0	0	0	213	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	444	607	0	157	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Triobp	32.380952	214	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	249	0	129	0	127	129	0	0	0	283	0	372	0	0
Stat5b	32.380952	111	0	0	0	0	0	0	498	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	159	0	0	235	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	97	0	248	0	0
Mcm5	32.380952	408	0	96	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	218	255	0	0	0	0	0	0	0	0	359	0	363	0	0
Faap20	32.380952	248	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	76	106	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	226	321	0	0	0	0	0	0	0	0	0	0	0	0	0
Sympk	32.365079	214	0	113	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	0	0	139	0	0
Ssbp3	32.365079	165	0	0	0	0	0	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	328	0	0	0	0	0	0	0	128	134	249	0	0	0	0	0	0	118	0	0	0	0
Prpf4b	32.365079	304	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	135	0	0	363	0	334	0	0	0	0	0	0	0	0	115	0	0
Foxa3	32.365079	214	0	113	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	0	0	139	0	0
Elmod2	32.365079	424	0	159	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	118	397	0	0	0	0	0	0	0	0	181	0	236	0	0
Dync1i2	32.365079	133	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	294	295	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	124	0	0	0	0	109	0	0	391	0	0	0	0	0	0	0	0	74	0	0	0	0
Trmu	32.349206	182	0	0	0	0	0	168	132	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	206	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	0	152	0	180	0	0
Xpo7	32.333333	88	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	564	0	0	0	167	0	0	0	0	0	0	0	76	0	121	0	122	0	260	0	0	0	0	0	0	109	0	146	0	0
Tgif2	32.317460	0	0	0	0	0	0	0	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	104	105	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0	0
Prrg4	32.317460	419	0	115	0	0	0	0	329	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	135	0	0	0	0	0	0	0	0	177	0	303	84	0
Pappa	32.317460	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	557	561	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kremen1	32.317460	181	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	120	0	0	0	143	120	196	123	0	0	144	0	0	0	0	0	0	146	0	191	127	0
Fnip2	32.317460	287	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	137	0	0	0	0	125	0	0	90	373	245	0	0	0	0	0	0	0	0	0	0	0
Upf3a	32.301587	306	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	246	0	0	0	0	0	0	126	311	0	0	0	0	0	0	0	0	241	99	197	0	0
Spn	32.301587	573	0	215	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	375	0	155	0	0	0	0	0	0	149	0	140	0	0
Ppm1f	32.301587	231	0	0	0	0	0	0	102	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	128	160	0	155	0	0	0	0	0	134	0	0	0	120	0	0	0	0	0	0	0	340	122	0	0	0	0	0	0	0	0	0	220	0	0
