Target_genes	Stat5b|Average	SRX3067395|CD4+_T_cells	SRX3067396|CD4+_T_cells	SRX3067405|CD4+_T_cells	SRX3067406|CD4+_T_cells	SRX3067407|CD4+_T_cells	SRX3067408|CD4+_T_cells	SRX3067401|CD8+_T_cells	SRX3067402|CD8+_T_cells	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	SRX041284|T_cells	SRX041285|T_cells	SRX132013|T_cells	SRX132016|T_cells	SRX132019|T_cells	SRX132022|T_cells	STRING
Wipf3	13.034483	0	0	0	0	0	0	0	0	0	0	0	251	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trafd1	13.034483	0	0	0	0	0	0	0	0	0	236	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gon4l	13.034483	0	0	0	66	0	91	0	0	0	109	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd5	13.034483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0
Vdac2	13.000000	0	0	0	226	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oasl2	13.000000	0	0	0	0	116	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps15	13.000000	0	0	0	111	0	129	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man2c1	13.000000	0	0	0	145	134	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif21b	13.000000	0	0	0	0	0	0	0	0	0	199	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnai3	13.000000	0	0	0	97	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0
Csgalnact2	13.000000	0	0	0	158	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam11	13.000000	0	0	0	0	0	0	0	0	0	140	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Top3a	12.965517	0	0	0	0	0	0	0	0	0	201	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smcr8	12.965517	0	0	0	0	0	0	0	0	0	201	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl12	12.965517	0	0	0	154	0	141	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0
Hlcs	12.965517	0	0	0	189	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk5rap2	12.965517	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0
Pdrg1	12.931034	0	0	96	189	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nos1ap	12.931034	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mknk1	12.931034	0	0	0	0	174	116	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0
Fam149b	12.931034	0	0	0	101	135	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2ak3	12.931034	0	0	0	85	80	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecd	12.931034	0	0	0	101	135	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn12	12.931034	0	0	0	100	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdyl2	12.931034	0	0	0	94	143	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmpste24	12.896552	0	0	0	114	126	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2l3	12.896552	0	0	0	119	0	140	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp28	12.896552	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egr1	12.896552	0	0	0	0	0	0	0	0	0	192	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dux	12.896552	0	0	0	255	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgkd	12.896552	0	0	0	0	0	0	0	0	0	221	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpc4ap	12.862069	0	0	0	129	0	115	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0
Tmx1	12.862069	0	0	0	109	0	51	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim15	12.862069	0	0	0	124	0	101	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptchd1	12.862069	0	0	0	0	0	0	0	0	0	195	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2r5a	12.862069	0	0	0	107	0	130	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl1	12.862069	0	0	0	91	0	137	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef1akmt3	12.862069	0	0	0	91	0	137	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D8Ertd738e	12.862069	0	0	0	139	0	143	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyfip2	12.862069	0	0	0	85	174	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankle2	12.862069	0	0	76	176	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alyref2	12.862069	0	107	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0
Srsf11	12.827586	0	193	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc41a3	12.827586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbk1	12.827586	0	0	0	0	0	135	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Net1	12.827586	0	0	0	93	0	0	0	0	0	115	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq3	12.827586	0	0	0	150	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b10	12.827586	0	0	0	0	0	0	0	0	0	239	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdi2	12.827586	0	0	0	135	0	0	0	0	0	104	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fpgt	12.827586	0	0	0	150	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a9	12.793103	0	0	0	0	0	0	0	0	0	195	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb1bp1	12.793103	0	0	0	135	0	123	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf3	12.793103	0	0	0	135	0	123	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd300c2	12.793103	0	0	0	0	0	0	0	0	0	247	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camk1g	12.793103	0	186	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp523	12.758621	0	0	0	0	0	161	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rplp0	12.758621	0	0	0	128	0	149	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbbp8nl	12.758621	0	0	0	0	0	0	0	0	0	0	0	192	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfc	12.758621	0	0	0	0	0	0	0	0	0	216	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g5c	12.758621	0	0	124	0	97	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0
Extl3	12.758621	0	0	0	156	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc6	12.758621	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyp1	12.758621	0	0	0	126	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem39a	12.724138	0	0	0	189	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ulk2	12.689655	0	0	0	106	117	75	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc39a	12.689655	0	0	0	0	0	0	0	0	0	0	0	173	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d2b	12.689655	0	0	0	0	0	0	0	0	0	230	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slco2b1	12.689655	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samd1	12.689655	0	0	0	134	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0
Qrfprl	12.689655	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl53	12.689655	0	0	118	127	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef2k	12.689655	0	0	0	147	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crk	12.689655	0	0	0	124	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copz1	12.689655	0	0	0	130	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc88b	12.689655	0	0	0	0	0	0	0	0	0	186	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scyl3	12.655172	0	0	0	141	104	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poll	12.655172	0	0	165	75	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
Percc1	12.655172	0	75	107	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nbeal2	12.655172	0	0	0	125	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm14a	12.655172	0	0	0	93	0	122	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leo1	12.655172	0	168	0	117	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad4	12.655172	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	149	0	0	0	0	0	0	0	0
Endov	12.655172	0	0	0	91	0	116	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0
Dpcd	12.655172	0	0	165	75	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
BC003965	12.655172	0	75	107	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp617	12.620690	0	0	0	164	84	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgcc	12.620690	0	0	0	123	0	124	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0
Rbsn	12.620690	0	0	0	223	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pex14	12.620690	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0
Itgb1bp2	12.620690	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi209	12.620690	0	0	0	0	0	0	0	0	0	222	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dffa	12.620690	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0
Coq3	12.620690	0	0	0	109	0	106	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd28	12.620690	0	0	0	162	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0
Slx4ip	12.586207	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0
Sipa1l1	12.586207	0	0	0	0	0	0	0	0	0	155	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muc20	12.586207	0	0	0	0	0	0	0	0	0	166	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mkks	12.586207	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0
Gm6570	12.586207	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcab2	12.586207	0	0	0	117	0	98	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cln5	12.586207	0	0	0	110	0	98	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc86	12.586207	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfand4	12.551724	0	0	0	0	0	0	0	0	0	231	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubn2	12.551724	0	0	0	119	0	173	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
Sh2b1	12.551724	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0
Reep5	12.551724	0	0	0	0	0	0	0	0	0	233	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pole3	12.551724	0	0	0	160	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold4	12.551724	0	0	0	0	0	0	0	0	0	254	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcl1	12.551724	0	0	113	110	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdhd2	12.551724	0	0	0	120	0	158	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0
H1f4	12.551724	0	0	0	217	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl2	12.551724	0	0	0	0	0	0	0	0	0	204	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Card11	12.551724	0	0	0	76	0	0	0	0	0	214	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alad	12.551724	0	0	0	160	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnps1	12.517241	0	110	0	115	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhf1	12.517241	0	0	0	0	0	0	0	0	0	175	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufb5	12.517241	0	0	0	150	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0
Mrpl47	12.517241	0	0	0	150	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0
Lsm2	12.517241	0	0	0	152	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fitm2	12.517241	0	0	0	156	0	106	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0
Csn1s2b	12.517241	0	0	0	0	0	0	0	0	0	0	0	265	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a14	12.482759	0	0	0	0	0	0	0	0	0	126	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnpla7	12.482759	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsmce4a	12.482759	0	0	0	91	0	123	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl41	12.482759	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd2	12.482759	0	0	0	98	0	0	0	0	0	136	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2	12.482759	0	243	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5h	12.482759	0	0	0	98	0	0	0	0	0	136	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoe	12.482759	0	0	0	0	0	0	0	0	0	211	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akirin1	12.482759	0	0	0	146	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf4	12.448276	0	0	0	176	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab5b	12.448276	0	0	0	90	0	0	0	0	0	159	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gins4	12.448276	0	0	0	163	130	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn4	12.448276	0	0	190	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp41	12.413793	0	116	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0
Zfp282	12.413793	0	0	0	61	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc5	12.413793	0	0	0	143	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx25	12.413793	0	0	0	150	114	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nras	12.413793	0	0	0	228	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyst	12.413793	0	0	0	133	0	80	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsp1	12.413793	0	0	0	0	0	0	0	0	0	200	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lekr1	12.413793	0	0	102	105	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gfpt1	12.413793	0	0	0	102	0	119	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edc4	12.413793	0	0	0	117	0	122	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
Spata1	12.379310	0	0	0	82	0	0	0	0	0	142	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints2	12.379310	0	0	0	132	86	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gng5	12.379310	0	0	0	82	0	0	0	0	0	142	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gid4	12.379310	0	0	0	109	0	80	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0
Fus	12.379310	0	0	0	82	0	163	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo7	12.379310	0	154	0	134	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c23	12.379310	0	226	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmat3	12.344828	0	151	0	126	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr27	12.344828	0	0	0	144	0	0	0	0	0	104	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0
Sik3	12.344828	0	0	0	148	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec61g	12.344828	0	228	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps19	12.344828	0	0	0	129	0	119	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcun1d5	12.344828	0	0	0	183	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd209a	12.344828	0	0	0	0	0	0	0	0	0	235	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810055G02Rik	12.344828	0	0	0	0	0	99	0	0	0	126	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	12.344828	0	0	0	144	0	0	0	0	0	104	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0
Syvn1	12.310345	0	0	0	0	0	0	0	0	0	79	175	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0
Riok1	12.310345	0	0	0	108	153	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r15a	12.310345	0	0	0	114	0	0	0	0	0	93	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekha4	12.310345	0	0	0	114	0	0	0	0	0	93	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naaladl2	12.310345	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mki67	12.310345	0	0	0	0	0	132	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2b5	12.310345	0	0	0	122	0	107	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccpg1os	12.310345	0	0	0	104	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0
Ccpg1	12.310345	0	0	0	104	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0
Cage1	12.310345	0	0	0	108	153	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdpcp	12.275862	0	0	0	109	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0
Uhrf2	12.275862	0	0	0	86	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2s	12.275862	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsacc	12.275862	0	0	0	0	0	0	0	0	0	211	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppa2	12.275862	0	0	0	116	0	138	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pole4	12.275862	0	0	0	212	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdh1	12.275862	0	0	0	109	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0
Map2k2	12.275862	0	0	0	108	0	113	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
Dennd11	12.275862	0	0	0	0	0	0	0	0	0	188	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct8	12.275862	0	0	0	98	92	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct3	12.275862	0	0	0	0	0	0	0	0	0	211	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpp19	12.275862	0	0	0	106	0	143	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmsb15l	12.241379	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmsb15b1	12.241379	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem144	12.241379	0	0	0	0	0	0	0	0	0	0	0	173	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssh1	12.241379	0	0	0	0	0	0	0	0	0	224	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Repin1	12.241379	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	129	0	0	0	0	0	0	0	0
Lyrm4	12.241379	0	0	0	163	0	88	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrr1	12.241379	0	0	90	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifne	12.241379	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0
