Target_genes	Ppara|Average	SRX7647798|Brown_adipose_tissue	SRX7647799|Brown_adipose_tissue	SRX7647800|Brown_adipose_tissue	SRX7647801|Brown_adipose_tissue	SRX745823|Burst-forming_unit_erythroids	SRX745825|Burst-forming_unit_erythroids	SRX745827|Burst-forming_unit_erythroids	SRX11366178|Liver	SRX11366179|Liver	SRX11366180|Liver	SRX11366181|Liver	SRX11366182|Liver	SRX11366183|Liver	SRX11366184|Liver	SRX11366185|Liver	SRX11366186|Liver	SRX11366187|Liver	SRX11366188|Liver	SRX11366189|Liver	SRX11366190|Liver	SRX11366191|Liver	SRX11366192|Liver	SRX11366193|Liver	SRX118173|Liver	SRX118174|Liver	SRX3582928|Liver	SRX3582929|Liver	SRX3582931|Liver	SRX3582932|Liver	SRX5028158|Liver	SRX5028159|Liver	SRX5028160|Liver	SRX5028161|Liver	SRX5028180|Liver	SRX5028181|Liver	SRX5028182|Liver	SRX5028183|Liver	SRX5028184|Liver	SRX5028185|Liver	SRX5142526|Liver	SRX5142527|Liver	SRX5142528|Liver	SRX5142529|Liver	SRX5142530|Liver	SRX5142531|Liver	SRX8715535|Liver	SRX8715536|Liver	SRX8715537|Liver	SRX8715538|Liver	SRX8715539|Liver	SRX8715540|Liver	SRX18696494|Thymus	SRX305976|Unclassified	SRX305978|Unclassified	SRX305980|Unclassified	SRX305982|Unclassified	STRING
Txn1	45.392857	232	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	227	101	343	305	369	0	129	0	0	176	372	0	0	0	0	0	0	0	0	0	0	0	0
Coro1c	45.357143	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	305	0	0	101	121	0	276	141	311	168	630	0	0	0	0	0	0	0	0	0	0	0	0
Cox7a2	45.339286	336	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	146	260	0	160	139	134	174	143	143	231	150	188	0	0	0	0	0	0	0	0	0	0	0	0
Zfp872	45.321429	173	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	306	0	0	137	224	156	161	164	159	190	238	0	0	0	0	0	0	0	0	0	0	0	0
Arih1	45.303571	481	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	322	302	107	124	199	177	0	115	0	0	176	172	0	0	0	0	0	0	0	0	0	0	0	0
Abca3	45.303571	205	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	247	136	156	133	198	0	208	116	123	268	400	0	0	0	0	0	0	0	0	0	0	0	0
Abca17	45.303571	205	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	247	136	156	133	198	0	208	116	123	268	400	0	0	0	0	0	0	0	0	0	0	0	0
Vav3	45.285714	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	203	166	484	435	731	0	0	0	0	0	0	0	0	0	0	0	0
Large1	45.267857	94	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	128	169	114	127	207	206	224	224	277	130	357	0	0	0	0	0	0	0	0	0	0	0	0
Kdelr1	45.267857	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	247	0	171	220	239	145	225	145	277	133	398	0	0	0	0	0	0	0	0	0	0	0	0
Hmgxb3	45.267857	349	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	236	150	202	171	252	0	72	0	142	157	338	0	0	0	0	0	0	0	0	0	0	0	0
9030025P20Rik	45.267857	256	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	290	345	113	180	173	172	0	124	133	83	100	145	0	0	0	0	0	0	0	0	0	0	0	0
Tmem220	45.250000	183	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	342	0	156	216	271	131	239	0	183	201	215	0	0	0	0	0	0	0	0	0	0	0	0
Nol3	45.250000	174	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	283	136	117	152	285	0	77	107	255	201	245	0	0	0	0	0	0	0	0	0	0	0	0
Gnb2	45.250000	269	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	248	202	0	137	106	210	135	174	0	0	172	241	0	0	0	0	0	0	0	0	104	0	0	0
Fndc3b	45.250000	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	192	147	207	223	192	93	168	153	176	170	348	0	0	0	0	0	0	0	0	0	0	0	0
Dlg2	45.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	275	0	251	136	407	148	133	93	152	251	514	0	0	0	0	0	0	0	0	0	0	0	0
Parp6	45.232143	297	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	300	0	150	258	301	0	86	104	196	276	227	0	0	0	0	0	0	0	0	0	0	0	0
Lman1l	45.232143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	197	123	106	233	155	138	142	137	231	192	476	0	0	0	0	0	0	0	0	0	0	0	0
Uso1	45.214286	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	309	0	172	0	188	154	231	173	327	277	371	0	0	0	0	0	0	0	0	0	0	0	0
Tle6	45.214286	168	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	280	101	75	122	219	0	158	153	169	258	337	0	0	0	0	0	0	0	0	0	0	0	0
Pak4	45.214286	153	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	462	0	208	241	302	0	86	0	160	161	250	0	0	0	0	0	0	0	0	0	0	0	0
Xbp1	45.196429	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	142	0	120	191	146	176	238	212	314	258	428	0	0	0	0	0	0	0	0	0	0	0	0
Actr2	45.196429	194	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	293	0	232	218	429	134	117	0	193	128	279	0	0	0	0	0	0	0	0	0	0	0	0
Grsf1	45.178571	123	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	220	117	186	158	205	87	155	116	155	287	401	0	0	0	0	0	0	0	0	0	0	0	0
Cemip2	45.178571	127	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	220	0	149	200	216	90	254	103	141	178	440	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d3	45.160714	307	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	229	0	0	0	0	0	0	0	0	152	129	0	80	0	93	0	169	108	180	154	357	0	0	0	0	0	0	0	0	109	0	0	0
Arfgef1	45.160714	297	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	266	0	282	101	241	0	163	152	92	116	203	0	0	0	0	0	0	0	0	0	0	0	0
Uchl4	45.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	214	143	125	173	279	98	159	136	266	298	431	0	0	0	0	0	0	0	0	0	0	0	0
Apc	45.142857	250	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	259	71	158	118	189	0	169	114	186	299	330	0	0	0	0	0	0	0	0	0	0	0	0
Ago1	45.142857	191	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	298	0	141	209	248	106	146	167	199	121	384	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn2	45.125000	128	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	343	161	285	255	275	0	0	0	204	174	257	0	0	0	0	0	0	0	0	0	0	0	0
Nit1	45.125000	128	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	343	161	285	255	275	0	0	0	204	174	257	0	0	0	0	0	0	0	0	0	0	0	0
Kcnj8	45.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	420	203	117	209	320	75	121	111	121	233	284	0	0	0	0	0	0	0	0	0	0	0	0
Agap3	45.125000	306	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	236	204	0	121	120	214	106	115	84	197	191	339	0	0	0	0	0	0	0	0	0	0	0	0
Peli2	45.089286	130	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	270	0	219	0	220	142	211	135	215	263	400	0	0	0	0	0	0	0	0	0	0	0	0
Kri1	45.089286	189	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	165	143	188	178	203	0	141	157	199	288	328	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2d	45.089286	189	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	165	143	188	178	203	0	141	157	199	288	328	0	0	0	0	0	0	0	0	0	0	0	0
Chmp7	45.071429	462	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	166	68	155	177	183	0	0	121	168	159	386	0	0	0	0	0	0	0	0	0	0	0	0
Arid5b	45.071429	214	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	229	0	140	163	304	0	121	115	130	184	255	0	0	0	0	0	0	164	0	0	0	0	0
Flt3l	45.017857	200	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	164	0	128	231	252	87	162	112	211	297	377	0	0	0	0	0	0	0	0	0	0	0	0
Commd7	45.017857	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	311	0	101	398	292	0	0	178	202	318	357	0	0	0	0	0	0	0	0	0	0	0	0
Scamp3	45.000000	356	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	145	0	0	215	157	115	202	157	198	298	333	0	0	0	0	0	0	0	0	0	0	0	0
Rwdd1	45.000000	406	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	229	149	72	124	209	202	83	122	120	151	92	170	0	0	0	0	0	0	0	0	0	0	0	0
Map3k1	45.000000	155	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	144	0	0	0	0	0	0	0	0	269	147	118	66	303	116	119	210	110	96	180	204	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc63	44.982143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	349	181	319	297	328	0	0	0	184	281	252	0	0	0	0	0	0	0	0	0	0	0	0
Lcp1	44.982143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	349	181	319	297	328	0	0	0	184	281	252	0	0	0	0	0	0	0	0	0	0	0	0
Isyna1	44.964286	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	106	155	255	161	428	209	425	171	370	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30b	44.946429	456	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0
Phip	44.946429	311	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	307	139	191	230	230	115	135	93	0	123	179	0	0	0	0	0	0	0	0	0	0	0	0
Lsg1	44.946429	205	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	429	211	113	148	205	292	0	99	171	0	121	115	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3c1	44.946429	150	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	195	197	89	232	198	0	125	146	188	159	345	0	0	0	0	0	0	0	0	0	0	0	0
Ffar2	44.946429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	176	0	148	326	336	147	211	252	152	211	335	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc21	44.946429	305	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	301	0	166	151	266	0	174	139	168	171	310	0	0	0	0	0	0	0	0	0	0	0	0
Dmtn	44.946429	577	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	134	203	0	418	219	313	0	0	0	0	0	0	0	0	0	0	0	0
D430042O09Rik	44.946429	150	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	195	197	89	232	198	0	125	146	188	159	345	0	0	0	0	0	0	0	0	0	0	0	0
Magi1	44.928571	145	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	396	195	212	192	250	0	0	0	118	209	203	0	0	0	0	0	0	0	0	0	0	0	0
Pes1	44.910714	603	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	201	193	0	266	0	179	0	96	100	238	91	255	0	0	0	0	0	0	0	0	0	0	0	0
Fgf14	44.910714	916	1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urb2	44.892857	273	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	263	215	658	432	474	0	0	0	0	0	0	0	0	0	0	0	0
Taf5l	44.892857	273	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	263	215	658	432	474	0	0	0	0	0	0	0	0	0	0	0	0
Slurp1	44.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	93	0	230	565	503	857	0	0	0	0	0	0	0	0	0	0	0	0
Lypd2	44.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	93	0	230	565	503	857	0	0	0	0	0	0	0	0	0	0	0	0
Sox9	44.875000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	262	158	125	360	225	308	0	196	160	146	172	311	0	0	0	0	0	0	0	0	0	0	0	0
Nsun4	44.857143	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	241	182	92	209	191	180	0	257	220	225	208	233	0	0	0	0	0	0	0	0	0	0	0	0
Rad50	44.839286	121	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	434	0	326	219	333	0	114	0	0	159	176	0	0	0	0	0	0	0	0	0	0	0	0
Laptm4a	44.839286	449	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	137	0	140	82	99	0	242	143	135	212	462	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpa3	44.821429	174	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	230	87	191	143	212	169	251	159	0	171	271	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs11	44.821429	239	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	241	119	157	103	219	0	182	0	203	236	350	0	0	0	0	0	0	0	0	0	0	0	0
Abr	44.821429	776	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	161	0	192	0	263	0	0	79	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Phf20	44.803571	324	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	313	0	0	135	281	0	133	0	305	164	331	0	0	0	0	0	0	0	0	0	0	0	0
Chordc1	44.803571	436	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	195	262	118	301	142	166	0	0	0	125	133	283	0	0	0	0	0	0	0	0	0	0	0	0
Ndufaf5	44.767857	310	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	229	0	179	92	294	74	134	106	188	212	168	0	0	0	0	0	0	0	0	0	0	0	0
Mtbp	44.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	321	160	302	283	267	0	120	130	160	212	214	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl13	44.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	321	160	302	283	267	0	120	130	160	212	214	0	0	0	0	0	0	0	0	0	0	0	0
Klf9	44.767857	406	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	350	265	148	285	250	0	76	0	0	129	169	0	0	0	0	0	0	0	0	0	0	0	0
Esf1	44.767857	310	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	229	0	179	92	294	74	134	106	188	212	168	0	0	0	0	0	0	0	0	0	0	0	0
Irf1	44.750000	118	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	275	0	177	207	159	144	187	94	186	131	322	0	0	0	0	0	0	0	0	0	0	0	0
Trpm7	44.732143	301	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	342	277	173	181	135	276	0	0	0	74	110	216	0	0	0	0	0	0	0	0	0	0	0	0
Man2c1	44.678571	127	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	284	119	225	261	313	0	162	103	168	87	197	0	0	0	0	0	0	0	0	0	0	0	0
Syn3	44.642857	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	203	0	179	247	366	153	202	146	178	188	322	0	0	0	0	0	0	0	0	0	0	0	0
Nadsyn1	44.625000	264	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	295	0	122	264	171	0	212	0	186	260	247	0	0	0	0	0	0	0	0	0	0	0	0
Smarcal1	44.607143	317	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	189	174	0	139	295	357	0	0	184	132	0	255	0	0	0	0	0	0	0	0	0	0	0	0
Tas2r134	44.589286	0	0	0	0	0	0	0	196	0	0	0	0	182	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	322	0	161	0	155	128	222	296	491	0	0	0	0	0	0	0	0	0	0	0	0
Ivns1abp	44.589286	257	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	251	80	127	161	156	102	267	0	178	244	192	0	0	0	0	0	0	0	0	0	0	0	0
Hpcal1	44.589286	241	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	233	0	111	184	301	144	130	142	217	162	313	0	0	0	0	0	0	0	0	0	0	0	0
Wfikkn1	44.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	303	0	193	154	243	129	141	99	247	352	381	0	0	0	0	0	0	0	0	0	0	0	0
Fam241a	44.571429	171	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	254	127	146	193	239	124	138	133	166	175	289	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c40	44.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	174	0	184	160	186	0	224	142	359	426	415	0	0	0	0	0	0	0	0	0	0	0	0
Rars2	44.553571	187	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	147	0	134	161	140	0	211	148	183	284	589	0	0	0	0	0	0	0	0	0	0	0	0
Pou2f1	44.553571	312	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	137	0	121	116	182	143	228	78	269	226	291	0	0	0	0	0	0	0	0	0	0	0	0
Orc3	44.553571	187	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	147	0	134	161	140	0	211	148	183	284	589	0	0	0	0	0	0	0	0	0	0	0	0
Chil3	44.553571	1059	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx19	44.535714	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	184	0	271	217	476	0	207	154	231	0	301	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl13	44.535714	176	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	138	119	225	186	133	94	185	117	199	227	442	0	0	0	0	0	0	0	0	0	0	0	0
Armc10	44.535714	176	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	138	119	225	186	133	94	185	117	199	227	442	0	0	0	0	0	0	0	0	0	0	0	0
Ciao3	44.500000	260	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	149	104	0	119	125	149	106	158	156	220	148	299	0	0	0	0	0	0	0	0	0	0	0	0
Dlx4	44.482143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	304	327	142	517	302	806	0	0	0	0	0	0	0	0	0	0	0	0
Abtb2	44.464286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	245	0	226	227	263	0	137	86	256	265	500	0	0	0	0	0	0	0	0	0	0	0	0
Cd99l2	44.410714	333	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	91	223	173	207	244	230	455	0	0	0	0	0	0	0	0	0	0	0	0
Scaf11	44.357143	558	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	266	92	160	243	155	0	142	0	78	124	129	0	0	0	0	0	0	0	0	0	0	0	0
Prpf18	44.357143	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	134	98	139	155	178	0	267	159	397	172	541	0	0	0	0	0	0	0	0	0	0	0	0
Tmem201	44.339286	237	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	304	111	148	75	318	0	128	101	181	127	293	0	0	0	0	0	0	0	0	0	0	0	0
Nicn1	44.339286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	230	115	165	157	111	0	148	171	253	378	567	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb2	44.339286	233	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	277	79	123	98	255	0	171	84	250	157	284	0	0	0	0	0	0	0	0	0	0	0	0
Piezo1	44.321429	539	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	134	0	0	141	0	102	0	136	170	110	218	0	0	0	0	0	0	0	0	0	0	0	0
