Target_genes	Gabpa|Average	SRX3041631|CD4+_T_cells	SRX2974920|EML_	SRX5850103|ES_cells	SRX5850104|ES_cells	SRX5850105|ES_cells	SRX5850106|ES_cells	SRX5850107|ES_cells	SRX5850108|ES_cells	SRX5850109|ES_cells	SRX5850110|ES_cells	SRX5850111|ES_cells	SRX5850112|ES_cells	SRX5850113|ES_cells	SRX5850114|ES_cells	SRX2242853|Macrophages	SRX2242855|Macrophages	SRX2242856|Macrophages	SRX12708491|White_adipose_tissue	SRX12708492|White_adipose_tissue	STRING
Tmem43	78.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	680	553	0
Chchd4	78.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	680	553	0
Spred2	77.947368	0	0	0	0	0	134	0	0	0	163	0	164	0	158	216	0	0	286	360	0
Ppm1a	77.894737	221	0	159	0	115	0	119	0	0	131	0	274	0	295	166	0	0	0	0	0
Gm21119	77.894737	0	402	0	94	96	163	0	0	82	217	164	110	0	152	0	0	0	0	0	0
Gmfg	77.842105	0	0	0	0	0	0	0	0	0	0	0	160	0	0	557	180	0	238	344	0
Cfap299	77.842105	0	0	0	0	214	0	0	0	0	198	0	0	0	570	0	0	0	243	254	0
Pex14	77.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	452	796	0
Dffa	77.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	452	796	0
Tirap	77.578947	0	0	171	0	167	175	0	0	136	149	0	244	0	133	299	0	0	0	0	0
Lrch4	77.368421	247	0	0	0	0	0	0	0	0	0	0	0	0	0	340	226	0	279	378	0
Zfp251	77.315789	0	0	155	0	137	199	0	0	110	155	0	258	0	301	154	0	0	0	0	0
Timm21	77.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	600	637	0
Fbxo15	77.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	600	637	0
Mpdu1	77.105263	0	0	0	0	0	0	0	0	0	0	153	0	0	0	593	0	0	358	361	0
1110004F10Rik	77.105263	0	0	0	0	73	0	0	0	0	0	0	0	0	0	171	0	0	513	708	0
Tmem35a	77.052632	0	0	0	0	237	169	163	174	320	229	0	0	0	172	0	0	0	0	0	0
Gm17768	76.894737	0	0	0	0	113	169	0	0	105	198	0	246	158	472	0	0	0	0	0	0
Mthfd1	76.842105	135	0	0	0	0	0	0	0	0	0	0	157	0	0	515	0	0	273	380	0
Nfxl1	76.684211	0	492	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	315	454	0
Khsrp	76.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	522	537	0
Polr1d	76.578947	234	0	0	0	156	0	0	0	0	112	0	243	0	146	564	0	0	0	0	0
Lnx2	76.578947	234	0	0	0	156	0	0	0	0	112	0	243	0	146	564	0	0	0	0	0
Fbxo9	76.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	498	806	0
Cilk1	76.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	498	806	0
Capn15	76.526316	0	0	0	0	0	0	0	0	0	0	0	85	0	0	453	0	0	361	555	0
Nupl1	76.421053	0	0	0	0	0	0	0	0	0	0	0	102	0	0	603	0	0	383	364	0
Fbxo11	76.421053	0	0	0	0	0	0	0	0	0	0	0	223	0	129	229	0	0	338	533	0
Dusp19	76.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	610	439	0
Ulk3	76.157895	208	0	0	0	95	103	0	0	0	0	0	172	0	133	579	0	157	0	0	0
Nek4	76.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	136	256	233	0
Agpat4	76.052632	0	0	0	0	0	0	0	0	0	0	0	135	0	0	329	166	0	507	308	0
Rab3gap1	75.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	0	0	480	404	0
Slc25a45	75.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	305	532	0
Frmd8	75.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	305	532	0
Rpl17	75.684211	0	0	0	0	0	0	0	0	0	83	0	0	0	0	442	0	0	397	516	0
Srsf2	75.578947	0	0	0	0	86	122	0	0	0	109	82	110	0	110	631	0	0	0	186	0
Mfsd11	75.578947	0	0	0	0	86	122	0	0	0	109	82	110	0	110	631	0	0	0	186	0
Tex14	75.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	526	572	0
Piga	75.368421	0	0	0	0	0	0	0	0	0	0	0	96	0	0	389	0	0	321	626	0
Colgalt1	75.315789	0	0	0	0	79	0	0	0	0	0	0	103	0	0	190	0	0	548	511	0
Gm3173	75.210526	0	0	107	0	119	154	0	155	142	171	0	376	0	205	0	0	0	0	0	0
Rnf10	75.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	415	536	0
Mpv17l2	75.157895	0	0	0	0	0	0	0	0	0	0	0	209	0	247	169	0	0	284	519	0
Ggct	74.947368	0	0	0	0	0	0	0	0	0	0	0	121	0	0	115	0	0	574	614	0
Ccdc28b	74.947368	0	0	0	0	0	157	0	0	0	108	159	365	0	225	107	0	0	189	114	0
Zc4h2	74.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	487	504	0
Tcf25	74.736842	357	0	111	0	0	0	0	0	0	0	0	329	0	190	433	0	0	0	0	0
Zbtb22	74.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	503	508	0
Tapbp	74.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	503	508	0
Hnrnpa2b1	74.631579	0	0	0	0	0	0	0	0	0	0	0	153	0	90	171	0	0	381	623	0
Cbx3	74.631579	0	0	0	0	0	0	0	0	0	0	0	153	0	90	171	0	0	381	623	0
Xkr7	74.578947	0	0	128	120	217	153	105	0	142	84	89	241	0	138	0	0	0	0	0	0
Fam187a	74.578947	234	0	0	0	0	0	0	0	0	0	0	0	0	197	357	0	0	276	353	0
Eftud2	74.578947	234	0	0	0	0	0	0	0	0	0	0	0	0	197	357	0	0	276	353	0
Ccdc103	74.578947	234	0	0	0	0	0	0	0	0	0	0	0	0	197	357	0	0	276	353	0
Nelfa	74.526316	0	0	0	0	0	0	0	0	0	0	0	120	0	0	222	0	0	371	703	0
Mindy2	74.526316	0	0	0	0	113	0	0	0	0	0	0	166	0	207	377	0	0	334	219	0
Lrrc57	74.526316	0	0	135	0	122	122	0	0	91	131	0	299	0	268	248	0	0	0	0	0
Haus2	74.526316	0	0	135	0	122	122	0	0	91	131	0	299	0	268	248	0	0	0	0	0
Taf7l2	74.473684	0	0	0	0	187	294	0	0	129	335	0	121	0	349	0	0	0	0	0	0
Uxt	74.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	384	447	0
Tpk1	74.157895	385	0	0	0	96	104	0	0	0	113	0	167	0	233	311	0	0	0	0	0
Dctpp1	73.947368	0	162	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	568	359	0
Rusf1	73.894737	0	0	0	0	80	87	0	0	0	0	0	0	0	0	428	0	0	336	473	0
Vps29	73.789474	135	315	0	0	0	0	0	0	0	0	0	86	0	0	330	0	0	272	264	0
Rad9b	73.789474	135	315	0	0	0	0	0	0	0	0	0	86	0	0	330	0	0	272	264	0
Ralbp1	73.473684	0	157	0	0	127	0	0	0	0	154	0	84	0	0	281	0	0	224	369	0
Atp5l	73.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	541	524	0
2610001J05Rik	73.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	447	781	0
Wdr4	73.368421	0	184	80	0	0	172	0	0	0	169	0	254	0	202	217	0	116	0	0	0
Mansc4	73.368421	274	0	0	0	134	0	0	0	0	99	0	223	0	161	400	0	0	0	103	0
Klhl42	73.368421	274	0	0	0	134	0	0	0	0	99	0	223	0	161	400	0	0	0	103	0
Zfp729b	73.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	384	629	0
Tbk1	73.263158	234	0	0	0	193	354	0	0	0	0	0	316	0	295	0	0	0	0	0	0
Rab5b	73.263158	0	0	0	0	0	0	0	0	0	0	97	0	0	0	173	0	0	536	586	0
Ak3	73.263158	0	0	138	0	192	153	180	0	0	197	0	222	0	117	193	0	0	0	0	0
Abcd4	73.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0	0	499	390	0
3300002I08Rik	73.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	348	500	0
Slc16a6	73.105263	287	0	0	0	0	90	0	0	0	122	0	135	0	0	593	0	162	0	0	0
Dyrk1b	73.105263	234	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	392	386	0
Cryl1	73.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	0	0	282	318	0
Arsg	73.105263	287	0	0	0	0	90	0	0	0	122	0	135	0	0	593	0	162	0	0	0
Fbxo32	73.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	598	632	0
Prr12	72.842105	0	213	0	0	0	0	0	0	0	0	0	275	0	134	147	0	0	318	297	0
Ccdc71l	72.842105	343	0	0	0	168	79	0	0	129	178	0	267	85	135	0	0	0	0	0	0
Lipm	72.736842	0	0	0	0	0	410	0	0	129	446	0	0	0	397	0	0	0	0	0	0
Plin3	72.210526	141	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	335	447	0
Pdia6	72.210526	274	0	0	0	110	0	0	0	0	0	0	364	0	355	269	0	0	0	0	0
Emc2	72.157895	124	0	0	0	0	0	0	0	0	0	0	0	0	0	743	0	0	172	332	0
Cacna1e	72.157895	0	0	141	0	133	0	0	0	188	156	0	225	149	379	0	0	0	0	0	0
Wbp2	72.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	567	707	0
Peli1	72.000000	0	0	85	0	189	0	0	0	0	149	0	176	0	159	164	0	0	233	213	0
Natd1	71.947368	0	0	0	0	155	123	0	0	0	102	0	302	0	262	304	0	0	119	0	0
Denr	71.842105	0	0	129	156	0	263	121	0	258	172	0	0	0	266	0	0	0	0	0	0
Ndufa4	71.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	402	312	0
Ints13	71.789474	0	343	0	0	0	0	0	0	0	0	0	0	0	79	270	0	0	393	279	0
Fgfr1op2	71.789474	0	343	0	0	0	0	0	0	0	0	0	0	0	79	270	0	0	393	279	0
Ier3ip1	71.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648	0	0	334	381	0
Slc4a2	71.578947	221	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	357	578	0
Cdk5	71.578947	221	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	357	578	0
Psma2	71.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	316	668	0
Mrpl32	71.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	316	668	0
Ccdc150	71.526316	0	0	0	0	0	0	0	0	0	0	0	157	0	0	560	0	0	275	367	0
Rnf135	71.473684	0	0	0	0	98	93	0	0	0	117	0	0	0	0	192	0	0	361	497	0
Atp13a3	71.368421	234	0	0	0	0	122	0	0	0	95	0	448	0	219	118	0	0	120	0	0
Cflar	71.315789	124	265	0	0	0	0	0	0	0	0	0	0	0	0	304	138	0	233	291	0
Rps4x	71.263158	0	0	0	0	0	0	0	0	0	0	0	157	0	0	759	0	0	209	229	0
Ankzf1	71.210526	0	0	0	0	0	0	0	0	0	0	0	161	0	0	359	0	0	419	414	0
Aacs	71.157895	343	0	92	0	120	106	0	0	0	0	0	268	0	181	242	0	0	0	0	0
Fam219a	71.105263	0	0	0	0	0	109	0	0	0	0	0	454	0	460	253	0	0	0	75	0
Dnaic1	71.105263	0	0	0	0	0	109	0	0	0	0	0	454	0	460	253	0	0	0	75	0
Ppp1r7	71.000000	0	0	0	0	0	0	0	0	0	0	0	109	0	0	301	0	0	517	422	0
Pask	71.000000	0	0	0	0	0	0	0	0	0	0	0	109	0	0	301	0	0	517	422	0
Prorp	70.789474	0	306	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	287	448	0
Tnnt1	70.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	99	164	181	135	0
Tnni3	70.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	99	164	181	135	0
Ppdpf	70.578947	0	0	0	0	0	0	0	0	0	0	0	231	0	137	340	0	0	305	328	0
Npm3	70.578947	208	0	0	0	0	0	0	0	0	0	0	222	0	220	514	177	0	0	0	0
1810030O07Rik	70.368421	0	0	0	0	158	0	0	0	0	0	0	289	0	153	224	0	0	233	280	0
Hsd3b7	70.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	419	501	0
Cpeb3	70.315789	101	0	0	93	0	136	0	0	0	0	0	161	0	101	197	0	0	279	268	0
Zmynd12	70.263158	0	0	0	0	0	94	0	0	0	0	0	0	0	123	356	0	0	409	353	0
Ppcs	70.263158	0	0	0	0	0	94	0	0	0	0	0	0	0	123	356	0	0	409	353	0
Tnfrsf12a	70.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	479	390	0
Thoc6	70.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	479	390	0
Ndc1	70.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	0	266	540	0
Hhat	70.157895	0	0	0	120	111	133	0	0	113	131	0	116	0	0	609	0	0	0	0	0
Hcfc1r1	70.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	479	390	0
Apbb2	70.105263	0	0	0	0	85	205	0	0	175	197	0	349	0	221	0	0	0	0	100	0
Tmem109	70.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	637	526	0
Zfp874b	69.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	510	461	0
Rcor1	69.947368	0	0	0	0	85	0	0	0	0	0	0	280	0	272	210	0	0	222	260	0
Zfp977	69.789474	0	0	0	0	122	209	0	0	145	0	0	257	158	435	0	0	0	0	0	0
Tbkbp1	69.789474	0	0	0	0	0	0	0	0	0	0	0	136	0	152	478	0	0	290	270	0
Amer1	69.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	594	522	0
Foxn2	69.578947	0	0	0	0	104	193	0	0	124	174	0	252	0	186	0	0	0	137	152	0
Wdfy4	69.526316	0	0	0	0	0	113	0	0	0	164	0	181	0	397	466	0	0	0	0	0
Tmbim4	69.526316	0	0	126	0	0	0	103	0	0	0	0	205	0	163	411	0	0	129	184	0
Mrnip	69.473684	208	0	0	0	133	0	0	0	0	0	0	273	0	169	537	0	0	0	0	0
Itprid2	69.473684	260	0	0	0	0	0	0	0	0	0	0	283	0	286	194	0	0	173	124	0
Dnah12	69.421053	86	0	0	161	0	149	95	106	145	140	128	0	100	209	0	0	0	0	0	0
Commd4	69.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	568	544	0
Usp28	69.315789	0	0	0	0	0	0	0	0	0	0	0	107	0	0	513	0	0	260	437	0
Pih1d1	69.263158	159	0	0	0	0	0	0	0	0	0	0	121	0	162	390	0	0	145	339	0
Aldh16a1	69.263158	159	0	0	0	0	0	0	0	0	0	0	121	0	162	390	0	0	145	339	0
Cyp4v3	69.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	499	505	0
Rpl19	69.052632	0	0	0	0	0	0	0	0	0	103	0	0	0	276	432	0	0	223	278	0
Cacnb1	69.052632	0	0	0	0	0	0	0	0	0	103	0	0	0	276	432	0	0	223	278	0
Senp2	69.000000	0	0	0	0	79	0	0	0	0	0	0	96	0	0	0	0	0	428	708	0
Fbxo42	69.000000	0	158	0	0	0	0	0	0	0	122	0	0	0	0	583	0	0	285	163	0
Dnajb12	69.000000	0	0	0	0	0	132	0	0	125	168	0	261	0	168	168	0	0	179	110	0
Septin2	68.947368	0	0	0	0	0	0	0	0	113	0	0	99	0	126	409	0	0	337	226	0
Pmel	68.947368	0	191	0	0	0	0	0	0	0	147	0	301	0	115	370	0	0	0	186	0
Cdk2	68.947368	0	191	0	0	0	0	0	0	0	147	0	301	0	115	370	0	0	0	186	0
Uaca	68.789474	0	0	0	0	0	0	0	0	0	0	0	229	0	136	304	0	0	308	330	0
Rsad1	68.789474	0	0	0	0	96	0	0	0	0	0	0	220	0	199	522	0	0	101	169	0
Kmt5c	68.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	525	476	0
Gbp7	68.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	596	378	0
Creld1	68.789474	0	0	0	0	0	0	0	0	0	0	0	114	0	0	325	0	0	370	498	0
Naip5	68.684211	0	0	0	118	104	123	0	91	91	206	105	0	108	138	221	0	0	0	0	0
Hyou1	68.684211	124	0	0	0	0	0	0	0	0	202	0	333	0	203	185	0	0	123	135	0
Rab1b	68.631579	0	0	0	0	0	0	0	0	0	0	0	112	0	0	910	122	160	0	0	0
Cep152	68.631579	0	0	0	0	137	0	0	0	0	0	0	122	0	144	901	0	0	0	0	0
Mtrr	68.578947	247	0	0	0	0	0	0	0	0	0	0	220	0	324	512	0	0	0	0	0
Fastkd3	68.578947	247	0	0	0	0	0	0	0	0	0	0	220	0	324	512	0	0	0	0	0
Blmh	68.421053	0	0	0	0	0	0	0	0	0	132	0	229	0	200	271	0	0	235	233	0
Mrpl54	68.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	413	659	0
Apba3	68.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	413	659	0
Zcwpw1	68.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	370	486	0
Mepce	68.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	370	486	0
Itln1	68.210526	0	0	122	147	181	100	128	0	164	75	125	0	145	109	0	0	0	0	0	0
Pbx2	68.157895	0	0	0	0	0	0	0	0	0	0	0	98	0	0	499	0	0	328	370	0
Gpsm3	68.157895	0	0	0	0	0	0	0	0	0	0	0	98	0	0	499	0	0	328	370	0
Tdp1	68.105263	0	0	0	0	0	0	0	0	0	0	0	139	0	153	464	0	0	299	239	0
Gmfb	68.105263	0	0	0	0	105	122	0	0	0	140	0	334	0	0	305	0	0	134	154	0
Efcab11	68.105263	0	0	0	0	0	0	0	0	0	0	0	139	0	153	464	0	0	299	239	0
Erich1	68.052632	0	0	94	0	127	174	0	0	0	0	0	282	0	187	139	0	0	165	125	0
Cactin	67.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	450	523	0
Mrps36	67.894737	0	0	0	0	72	0	0	0	126	0	0	246	0	121	422	0	0	135	168	0
Mrpl17	67.894737	196	0	0	0	101	0	103	0	0	0	0	294	0	191	405	0	0	0	0	0
Cnot11	67.894737	274	0	0	0	65	0	0	0	0	84	0	211	0	190	466	0	0	0	0	0
Cuedc1	67.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	652	0
Ahcyl2	67.842105	0	0	0	0	0	0	0	0	0	0	0	124	0	0	147	0	0	499	519	0
Snrnp48	67.789474	101	0	0	0	0	0	94	0	0	106	0	211	0	171	464	0	0	0	141	0
Dcaf4	67.736842	0	0	0	0	0	117	0	0	0	0	0	262	0	205	214	0	0	298	191	0
Ano10	67.631579	0	0	0	0	0	201	0	0	230	226	0	190	0	211	227	0	0	0	0	0
Stat3	67.578947	0	0	0	0	128	0	0	0	0	0	0	0	0	116	139	0	0	391	510	0
Fdps	67.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	527	592	0
Ankrd54	67.526316	0	0	0	0	65	0	0	0	0	0	0	90	0	0	365	0	0	342	421	0
Kctd9	67.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	436	451	0
Cdca2	67.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	436	451	0
Sertad2	67.421053	0	0	140	0	172	129	0	0	148	178	0	332	0	115	67	0	0	0	0	0
Fgd4	67.368421	0	0	0	0	197	140	0	0	98	163	0	408	0	274	0	0	0	0	0	0
Exoc4	67.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	312	528	0
Washc3	67.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	420	456	0
Snap47	67.210526	0	0	0	0	117	182	0	0	0	198	0	241	0	336	0	0	0	0	203	0
Jmjd4	67.210526	0	0	0	0	117	182	0	0	0	198	0	241	0	336	0	0	0	0	203	0
Fastkd1	67.157895	0	0	0	0	0	0	0	0	0	0	0	120	0	0	194	0	0	454	508	0
Zfp174	67.105263	0	0	0	0	0	0	0	0	0	0	0	87	0	0	393	0	0	305	490	0
Zfand2a	67.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	531	602	0
Pxylp1	67.105263	171	0	0	0	76	197	0	0	0	130	0	358	0	258	85	0	0	0	0	0
Mill2	67.105263	0	0	0	0	0	0	0	0	0	168	0	250	0	308	0	0	0	206	343	0
Mzt1	66.947368	285	0	0	0	120	112	0	0	0	0	0	182	0	0	434	0	0	0	139	0
Btrc	66.947368	147	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	357	212	0
Bora	66.947368	285	0	0	0	120	112	0	0	0	0	0	182	0	0	434	0	0	0	139	0
Cnot4	66.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	577	516	0
Klhl24	66.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	436	461	0
Tmem229b	66.473684	0	0	0	0	0	0	0	0	83	0	0	124	0	74	450	0	0	302	230	0
Pot1a	66.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	437	400	0
Lyl1	66.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	193	0	318	139	0
Ddx23	66.315789	0	0	0	0	0	0	0	0	0	0	0	109	0	172	273	0	0	328	378	0
Vps41	66.263158	0	0	0	0	0	0	0	0	0	0	0	112	0	0	419	0	0	280	448	0
Gm11562	66.210526	0	0	109	162	96	134	93	116	157	176	115	0	0	100	0	0	0	0	0	0
Slc35a5	66.105263	159	0	0	0	58	0	0	0	0	79	0	245	0	260	310	0	0	0	145	0
Rgs12	66.105263	0	0	0	0	0	0	0	0	0	0	0	252	0	0	362	0	0	197	445	0
Fdft1	66.105263	0	0	0	0	75	0	0	0	0	0	0	132	0	223	181	0	0	367	278	0
Atg3	66.105263	159	0	0	0	58	0	0	0	0	79	0	245	0	260	310	0	0	0	145	0
Tmem219	65.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	490	409	0
Mtif3	65.894737	0	0	0	0	0	0	0	0	0	0	0	90	0	114	604	0	0	188	256	0
Syngap1	65.842105	159	0	0	0	134	0	0	0	0	0	0	130	0	0	342	0	0	205	281	0
Cuta	65.842105	159	0	0	0	134	0	0	0	0	0	0	130	0	0	342	0	0	205	281	0
Faah	65.789474	0	0	160	0	183	175	133	0	95	195	0	178	0	131	0	0	0	0	0	0
Atxn7l3	65.789474	213	0	0	0	0	0	0	0	0	0	0	270	0	187	416	0	0	0	164	0
Ly96	65.736842	0	0	0	0	0	0	0	0	0	0	0	232	0	153	216	0	0	349	299	0
Ifitm1	65.736842	0	0	0	0	0	0	0	0	0	136	0	318	0	192	0	0	0	295	308	0
Cast	65.736842	0	0	0	0	122	0	0	0	0	0	0	226	0	222	163	0	0	181	335	0
Tulp4	65.684211	124	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	417	497	0
Smim14	65.631579	183	0	0	0	73	149	0	0	0	0	0	152	0	0	311	0	0	218	161	0
Zfp760	65.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	347	560	0
Zfp345	65.368421	0	0	0	0	177	0	0	0	0	168	0	544	0	353	0	0	0	0	0	0
Plekhg3	65.315789	0	0	0	0	0	109	0	0	0	138	0	112	0	0	352	0	0	215	315	0
Kifap3	65.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	265	603	0
Kbtbd7	65.052632	0	0	0	0	96	0	0	0	0	79	0	104	0	0	189	0	0	392	376	0
Stambp	65.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	107	256	352	0
Pigu	65.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	523	0
2610507B11Rik	65.000000	0	0	0	140	0	0	127	101	217	125	241	87	197	0	0	0	0	0	0	0
Sox30	64.947368	0	0	86	156	153	0	0	0	127	196	105	159	114	138	0	0	0	0	0	0
Sdcbp2	64.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	352	571	0
Krt40	64.947368	0	0	0	0	286	192	0	0	0	292	0	0	0	464	0	0	0	0	0	0
Proser2	64.789474	0	0	0	0	0	149	0	0	0	354	0	141	176	411	0	0	0	0	0	0
Thyn1	64.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	499	597	0
Pik3r1	64.736842	135	0	0	0	111	124	0	0	162	187	0	250	0	125	136	0	0	0	0	0
Ccdc77	64.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	356	661	0
Acad8	64.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	499	597	0
Traf6	64.631579	0	0	0	0	131	131	0	0	0	188	0	112	0	126	540	0	0	0	0	0
E2f3	64.631579	0	0	0	0	119	0	0	0	0	87	0	145	0	0	236	0	0	302	339	0
Sntb2	64.578947	0	0	70	100	89	0	0	0	0	94	0	349	0	227	298	0	0	0	0	0
Unc93b1	64.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	512	573	0
Rpl39	64.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	447	381	0
Pde8a	64.315789	0	0	0	219	87	154	0	0	0	225	121	149	0	179	0	0	0	0	88	0
Meak7	64.263158	0	0	0	0	0	0	0	0	0	0	0	313	0	0	232	0	0	353	323	0
Pigs	64.052632	0	0	0	0	0	198	0	0	121	215	0	296	0	248	139	0	0	0	0	0
Cdiptos	64.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	245	526	0
Cdipt	64.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	245	526	0
Aldoc	64.052632	0	0	0	0	0	198	0	0	121	215	0	296	0	248	139	0	0	0	0	0
Slc49a4	63.947368	196	0	0	0	117	0	0	0	0	0	0	161	0	228	416	0	97	0	0	0
Lmbr1l	63.947368	0	0	0	0	0	0	0	0	0	0	0	111	0	92	175	0	0	325	512	0
Taok1	63.842105	0	0	90	0	107	0	0	0	0	114	0	0	0	0	316	0	0	364	222	0
Rbm43	63.842105	0	0	0	0	0	133	0	0	0	253	0	356	0	356	115	0	0	0	0	0
Gfpt1	63.842105	0	0	0	0	108	156	0	0	86	191	0	334	0	249	0	0	0	89	0	0
Rasa1	63.789474	0	0	0	0	0	178	0	0	0	0	0	120	0	100	216	0	0	273	325	0
Tab3	63.631579	196	0	0	0	0	0	0	0	0	0	0	246	0	117	650	0	0	0	0	0
Maml1	63.631579	0	0	0	0	0	0	0	0	113	0	0	0	99	83	181	0	0	324	409	0
Kcng4	63.631579	0	0	0	92	105	205	0	0	86	207	0	162	0	352	0	0	0	0	0	0
Zfp169	63.473684	0	0	0	0	0	0	0	0	0	0	0	101	0	126	361	0	0	257	361	0
Zfp984	63.315789	0	0	0	0	142	105	0	0	110	155	0	109	0	0	218	0	0	119	245	0
Zfp974	63.315789	0	0	0	0	0	0	0	0	0	95	0	239	0	132	305	0	0	161	271	0
