Target_genes	Ebf2|Average	SRX11005922|Adipocytes	SRX11005923|Adipocytes	SRX11005924|Adipocytes	SRX11005925|Adipocytes	SRX2676935|Brown_adipose_tissue	SRX2676936|Brown_adipose_tissue	SRX3070368|Brown_adipose_tissue	SRX3070369|Brown_adipose_tissue	SRX1357067|Brown_preadipocytes	SRX1357068|Brown_preadipocytes	SRX1357069|Brown_preadipocytes	SRX1357070|Brown_preadipocytes	SRX4054019|Embryoid_Bodies	SRX4054020|Embryoid_Bodies	SRX1706969|mESCs,_differentiated	SRX1706970|mESCs,_differentiated	SRX4054029|mESCs,_differentiated	SRX4054030|mESCs,_differentiated	STRING
Tmem59	73.055556	195	0	111	104	0	0	0	0	0	0	115	0	0	0	203	245	102	240	0
Tmem161b	73.055556	164	0	0	0	0	0	0	0	0	0	193	108	137	0	152	179	226	156	0
Tceanc2	73.055556	195	0	111	104	0	0	0	0	0	0	115	0	0	0	203	245	102	240	0
Slc18a3	73.055556	0	0	0	0	0	0	0	0	0	0	0	0	110	0	471	249	198	287	0
Plekhm2	73.055556	0	0	0	0	0	0	0	0	0	0	0	0	272	145	189	315	126	268	0
Dus2	73.055556	0	0	0	0	0	0	0	0	144	0	157	0	141	0	261	272	193	147	0
Ddx28	73.055556	0	0	0	0	0	0	0	0	144	0	157	0	141	0	261	272	193	147	0
Chat	73.055556	0	0	0	0	0	0	0	0	0	0	0	0	110	0	471	249	198	287	0
Rnf185	73.000000	124	0	0	0	0	0	0	0	171	0	114	0	0	0	503	238	0	164	0
Pdia6	73.000000	123	0	64	0	0	137	0	0	0	0	85	0	0	0	61	127	370	347	0
Map3k4	72.944444	89	0	0	0	0	0	0	0	92	0	112	0	144	0	320	239	106	211	0
Lgr5	72.944444	0	0	0	0	0	0	0	0	0	0	0	0	204	85	349	217	240	218	0
Kdm5c	72.944444	180	0	0	0	0	0	0	0	0	0	0	0	0	0	643	350	0	140	0
Cthrc1	72.944444	0	0	0	0	0	0	0	0	139	0	237	0	0	0	606	256	0	75	0
Wnt5a	72.888889	0	0	0	0	0	0	0	0	0	0	92	0	0	0	194	186	347	493	0
Ucp1	72.888889	176	0	0	0	310	587	0	0	0	0	152	87	0	0	0	0	0	0	0
Sod3	72.888889	219	198	90	99	0	104	0	0	0	0	90	0	0	0	361	151	0	0	0
Erlec1	72.888889	0	0	0	0	0	0	0	0	74	0	208	0	79	0	394	137	170	250	0
Asb3	72.888889	0	0	0	0	0	0	0	0	74	0	208	0	79	0	394	137	170	250	0
Taf4b	72.833333	0	0	0	0	0	0	0	0	0	0	76	0	170	0	485	274	172	134	0
Hsdl2	72.833333	155	204	121	0	0	0	0	0	0	0	120	0	0	0	157	169	139	246	0
D130040H23Rik	72.833333	0	0	0	0	0	0	0	0	0	0	0	0	176	104	381	310	92	248	0
Apod	72.833333	148	140	195	0	0	0	0	0	0	0	338	0	152	0	0	0	162	176	0
Acp7	72.833333	0	0	0	0	0	0	0	0	0	0	0	0	176	104	409	337	103	182	0
Acacb	72.833333	0	0	0	0	0	143	0	0	0	0	197	0	0	0	342	256	140	233	0
Vps13c	72.777778	0	0	0	0	0	0	0	0	0	0	246	0	79	0	279	250	229	227	0
Ndnf	72.777778	0	0	0	0	0	0	0	0	0	0	0	0	320	183	256	367	0	184	0
Krtap13-1	72.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	398	173	216	0
Cbfa2t2	72.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	124	295	345	180	366	0
Ireb2	72.722222	199	197	150	125	0	0	0	0	0	0	96	0	0	0	212	131	92	107	0
Gpr107	72.722222	0	0	0	0	0	0	0	0	0	0	94	0	0	0	396	322	234	263	0
Tmem221	72.666667	0	0	0	0	0	0	0	0	0	0	240	0	0	0	351	355	129	233	0
Slc22a23	72.666667	0	0	0	0	0	0	0	0	0	0	0	0	281	0	266	404	207	150	0
Siah1a	72.666667	230	182	163	176	0	0	0	0	0	0	371	62	0	0	0	124	0	0	0
Rtp2	72.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	305	221	467	0
Nxnl1	72.666667	0	0	0	0	0	0	0	0	0	0	240	0	0	0	351	355	129	233	0
Hspa4l	72.666667	0	0	0	0	0	0	0	113	0	0	118	0	0	0	305	358	160	254	0
Commd1	72.666667	90	0	0	0	0	0	0	0	0	0	110	0	150	0	186	218	272	282	0
Col19a1	72.666667	0	0	0	0	0	0	0	0	0	0	0	0	276	144	143	251	201	293	0
Tfip11	72.611111	138	0	108	0	0	0	0	0	141	0	150	75	0	0	230	209	141	115	0
Oser1	72.611111	99	94	127	0	0	0	0	0	0	0	76	0	98	0	146	180	239	248	0
Gphn	72.611111	0	0	0	0	0	0	0	0	0	0	133	0	0	97	412	348	140	177	0
Nuak2	72.555556	0	0	0	0	0	0	0	0	0	0	173	0	173	115	408	279	0	158	0
Zup1	72.500000	129	179	0	0	0	0	0	0	0	0	0	0	0	0	460	351	0	186	0
Unkl	72.500000	131	0	105	126	0	0	0	0	0	0	124	0	105	0	297	328	0	89	0
Tradd	72.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	99	625	308	98	175	0
Rbm22	72.500000	149	170	0	114	0	0	0	0	0	0	94	0	0	117	171	179	186	125	0
Pcbd2	72.500000	0	0	0	0	0	0	0	0	0	0	0	0	86	0	619	473	0	127	0
Olfr1297	72.500000	0	0	0	0	0	0	0	0	0	0	0	0	523	231	0	0	284	267	0
Fbxl8	72.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	99	625	308	98	175	0
Dnajc21	72.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	113	487	388	0	317	0
Aqp7	72.500000	283	319	299	202	0	109	0	93	0	0	0	0	0	0	0	0	0	0	0
Uhrf1	72.444444	0	0	0	0	0	208	0	0	0	0	0	0	153	138	283	197	142	183	0
Ifit1bl1	72.444444	0	0	0	0	0	0	0	0	0	104	425	146	0	0	141	200	156	132	0
E2f2	72.444444	0	0	0	0	0	0	0	0	0	0	446	0	110	0	209	192	119	228	0
Chchd3	72.444444	232	102	150	174	0	0	0	0	0	0	273	0	0	114	134	0	0	125	0
Arrdc5	72.444444	0	0	0	0	0	208	0	0	0	0	0	0	153	138	283	197	142	183	0
Tubb1	72.388889	0	0	0	0	0	0	0	0	0	0	0	0	339	348	460	156	0	0	0
Ildr2	72.388889	0	0	0	0	0	0	0	0	0	0	513	0	0	0	200	449	0	141	0
Arhgef2	72.388889	0	0	0	0	0	0	0	0	0	0	445	0	0	0	187	230	146	295	0
Pth1r	72.277778	0	0	0	0	0	0	0	0	0	0	284	0	0	0	264	353	133	267	0
Myoz3	72.277778	160	0	122	0	0	144	0	0	0	0	121	96	0	0	251	198	89	120	0
Flnb	72.277778	0	0	0	0	0	0	0	0	0	0	391	0	0	0	218	370	177	145	0
Vps26b	72.222222	208	104	135	216	0	0	0	0	0	0	0	0	94	0	139	125	176	103	0
Stat6	72.222222	167	169	179	0	0	0	0	0	0	0	134	132	0	0	316	203	0	0	0
Rbfox1	72.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	131	496	372	136	165	0
Pigw	72.222222	0	0	0	0	0	0	0	0	0	0	207	0	113	0	271	174	262	273	0
Ncapd3	72.222222	208	104	135	216	0	0	0	0	0	0	0	0	94	0	139	125	176	103	0
Myo19	72.222222	0	0	0	0	0	0	0	0	0	0	207	0	113	0	271	174	262	273	0
Med15	72.222222	0	0	0	0	0	0	0	0	0	0	332	165	0	84	334	258	0	127	0
Cilp	72.222222	0	0	0	0	0	0	0	0	0	0	682	0	0	0	240	160	93	125	0
Trpv4	72.166667	0	0	0	0	0	0	0	0	0	0	374	0	0	0	481	237	0	207	0
Tmem164	72.166667	0	0	0	0	0	0	0	0	0	0	273	0	0	0	272	374	199	181	0
Samm50	72.166667	307	289	256	231	0	0	0	0	0	0	0	0	0	0	0	96	0	120	0
Fnbp4	72.166667	144	139	220	178	0	0	0	0	0	0	0	0	87	0	156	163	88	124	0
Cdyl	72.166667	0	0	0	0	0	0	0	0	0	0	393	0	0	0	228	198	209	271	0
Ankrd27	72.166667	0	0	0	0	0	0	0	0	0	0	435	0	0	0	313	305	64	182	0
Osbpl6	72.111111	0	0	0	0	0	0	0	0	0	0	155	0	160	115	158	266	269	175	0
Med6	72.111111	119	74	84	83	0	0	0	0	159	0	96	84	130	0	261	208	0	0	0
Lrig1	72.111111	133	95	0	0	0	0	0	157	0	0	221	0	0	0	227	158	112	195	0
Ubr3	72.055556	0	0	0	0	0	0	0	0	0	0	181	0	101	0	287	327	142	259	0
Nlrp3	72.055556	0	0	0	0	0	0	0	0	0	125	184	0	0	0	538	450	0	0	0
Optn	72.000000	0	0	0	0	0	0	0	0	0	0	153	0	190	0	264	267	215	207	0
Mapk11	72.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	418	151	225	0
Ifnz	72.000000	0	0	0	0	86	128	0	0	127	0	195	170	134	0	112	132	110	102	0
Fam219b	72.000000	0	138	0	102	0	134	0	0	0	0	412	0	0	0	205	207	0	98	0
Sirt4	71.944444	152	163	99	122	0	0	0	0	0	0	141	133	0	0	241	244	0	0	0
Pcbd1	71.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	325	165	287	0
Slc22a5	71.888889	112	0	126	0	0	215	0	0	0	0	311	0	0	0	209	252	69	0	0
Kcng1	71.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	234	147	194	0
Zfp946	71.833333	105	0	126	0	0	0	0	0	0	0	0	0	141	0	361	281	105	174	0
Zfp708	71.833333	194	118	178	124	0	0	0	0	0	96	0	0	0	0	293	132	0	158	0
Trappc8	71.833333	130	129	0	146	0	0	0	0	0	0	219	0	0	0	232	194	128	115	0
Svop	71.833333	0	0	0	0	0	0	0	0	0	0	0	0	130	115	377	385	139	147	0
Il17c	71.833333	0	0	0	0	0	0	0	0	0	0	0	0	101	0	615	293	158	126	0
Tfe3	71.777778	0	0	0	0	0	0	0	0	0	0	0	0	129	0	499	317	147	200	0
Kcng3	71.777778	0	0	0	0	0	0	0	0	0	0	0	0	130	0	699	334	0	129	0
Clip2	71.777778	239	126	221	273	0	0	0	0	0	0	96	0	0	0	95	123	0	119	0
Svopl	71.722222	153	101	0	226	0	0	0	0	0	0	500	0	0	0	161	150	0	0	0
Plekhf2	71.722222	234	0	80	0	0	0	0	0	0	0	0	0	131	0	283	203	176	184	0
Glrx3	71.722222	0	0	0	0	0	0	0	0	95	0	147	0	102	0	481	200	0	266	0
Fndc10	71.722222	0	0	0	0	0	0	0	0	0	0	170	0	0	0	346	334	226	215	0
Ppp1r32	71.666667	0	0	0	0	0	0	0	0	0	0	182	0	126	0	108	219	311	344	0
Mknk1	71.666667	0	89	0	0	0	0	0	0	0	109	178	0	0	0	208	277	188	241	0
Atp5b	71.666667	0	0	0	0	0	0	0	0	0	0	342	0	0	0	499	200	152	97	0
Nab1	71.611111	0	0	121	0	0	0	0	0	0	0	332	0	0	0	554	282	0	0	0
Mtfp1	71.611111	136	113	105	139	0	0	0	0	0	0	104	0	0	0	289	146	133	124	0
Lmbrd1	71.611111	119	182	0	0	0	0	0	0	0	0	0	0	0	120	205	205	177	281	0
Ghdc	71.611111	277	303	297	153	0	0	0	0	0	0	0	0	0	0	125	134	0	0	0
Vps4b	71.555556	149	0	0	0	0	0	0	0	0	0	192	0	114	0	191	245	136	261	0
Sox11	71.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	473	130	240	0
Slc6a7	71.555556	0	0	0	0	0	0	0	0	178	377	194	0	0	0	91	72	124	252	0
Phgdh	71.555556	0	0	0	106	0	430	0	0	0	0	303	284	0	0	165	0	0	0	0
Kcnj3	71.555556	0	0	0	0	0	0	0	0	0	0	140	0	129	0	420	236	177	186	0
Defb29	71.555556	0	0	0	0	0	0	0	0	0	0	0	0	336	312	0	112	226	302	0
Coq7	71.555556	122	202	160	191	0	0	0	0	0	0	0	0	0	111	229	153	0	120	0
Zfp940	71.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	364	207	260	0
Rps28	71.500000	231	136	190	141	0	0	0	0	117	0	253	0	0	0	131	88	0	0	0
Ndufa7	71.500000	231	136	190	141	0	0	0	0	117	0	253	0	0	0	131	88	0	0	0
Mob4	71.500000	158	0	214	204	0	0	0	0	0	0	105	0	162	0	254	190	0	0	0
Map3k19	71.500000	160	99	100	0	0	0	0	0	0	0	606	322	0	0	0	0	0	0	0
Krt19	71.500000	0	0	0	0	0	0	0	0	129	380	778	0	0	0	0	0	0	0	0
Fn3k	71.500000	134	0	0	0	0	0	0	0	0	0	0	0	196	135	211	268	167	176	0
Cc2d1b	71.500000	0	0	0	0	0	0	0	0	0	0	0	0	222	0	467	348	0	250	0
Zzz3	71.444444	0	0	0	0	0	0	0	0	0	0	504	0	0	67	240	199	182	94	0
Wdr75	71.444444	311	208	199	169	0	0	0	0	0	0	0	0	0	0	180	219	0	0	0
Tmem189	71.444444	0	0	0	0	0	0	0	0	0	0	294	0	0	0	466	222	93	211	0
Mapk8	71.444444	0	0	0	0	0	0	0	0	0	0	352	134	72	0	273	344	0	111	0
Kank2	71.444444	226	221	195	0	0	0	0	0	0	115	274	0	135	0	0	120	0	0	0
Jam3	71.444444	275	217	260	278	0	0	0	0	0	0	0	0	139	0	117	0	0	0	0
Ttc9b	71.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	471	172	255	0
Tial1	71.388889	171	148	105	160	0	0	0	0	0	0	146	0	0	79	127	118	105	126	0
Selenon	71.388889	0	0	0	0	263	346	0	0	0	0	0	0	0	0	261	185	0	230	0
Ptgr1	71.388889	0	0	0	0	0	0	0	0	0	0	111	0	388	296	152	176	0	162	0
Mon1a	71.388889	140	92	128	111	0	0	0	0	0	0	139	0	87	0	226	122	0	240	0
Jade1	71.388889	0	0	0	0	0	0	0	0	0	0	650	0	0	0	202	316	117	0	0
Iffo2	71.388889	276	242	221	0	0	0	0	0	0	0	0	0	0	111	187	248	0	0	0
Exosc5	71.388889	152	150	222	138	0	0	0	0	0	0	0	0	113	115	307	88	0	0	0
Bckdha	71.388889	152	150	222	138	0	0	0	0	0	0	0	0	113	115	307	88	0	0	0
Mfhas1	71.333333	0	0	0	0	0	0	0	0	0	0	110	0	157	0	297	217	241	262	0
Islr	71.333333	0	0	0	0	0	0	0	0	0	0	201	0	286	221	220	174	0	182	0
Farsa	71.333333	116	0	176	0	0	0	0	0	84	0	64	0	0	0	208	329	0	307	0
Ajap1	71.333333	0	0	0	0	0	0	0	0	0	0	0	0	112	0	239	270	277	386	0
Ugt2b38	71.277778	314	161	165	0	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem239	71.277778	0	0	0	0	0	0	0	0	0	81	772	0	0	0	220	210	0	0	0
Neurl2	71.277778	121	0	0	0	0	0	0	0	0	0	82	0	194	165	197	242	167	115	0
Hs1bp3	71.277778	0	0	0	0	0	0	0	0	0	0	124	0	265	145	275	249	0	225	0
H2-Q8	71.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	440	113	230	0
H2-Q6	71.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	440	113	230	0
Cxxc4	71.277778	0	0	0	0	0	0	0	0	0	0	0	0	155	0	311	218	231	368	0
Ctsa	71.277778	121	0	0	0	0	0	0	0	0	0	82	0	194	165	197	242	167	115	0
Ccr9	71.277778	280	212	195	154	0	0	0	0	0	183	259	0	0	0	0	0	0	0	0
1700020A23Rik	71.277778	0	0	0	0	0	0	0	0	0	81	772	0	0	0	220	210	0	0	0
Ttc36	71.222222	0	0	0	0	0	0	0	0	0	0	83	0	198	96	238	294	172	201	0
Tmem25	71.222222	0	0	0	0	0	0	0	0	0	0	83	0	198	96	238	294	172	201	0
Phf12	71.222222	212	293	177	272	0	0	0	0	0	0	71	0	0	0	160	97	0	0	0
Mpped2	71.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	372	211	263	0
Tubgcp6	71.166667	117	81	101	0	0	0	0	0	0	0	426	163	131	0	0	119	0	143	0
Ermard	71.166667	0	0	0	0	0	0	0	0	98	136	125	147	136	134	185	168	152	0	0
Sstr5	71.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	391	170	189	0
Smarce1	71.111111	0	0	0	0	0	0	0	0	0	0	299	0	108	87	212	180	146	248	0
Map7d3	71.111111	0	0	0	0	0	126	0	0	0	128	843	183	0	0	0	0	0	0	0
Gstk1	71.111111	135	0	0	0	0	0	0	0	0	0	97	0	152	0	195	150	205	346	0
Sptb	71.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	499	0	118	0
Arhgap29	71.055556	0	0	0	0	0	0	0	0	0	0	98	0	0	0	451	318	208	204	0
Otop2	71.000000	0	0	0	0	0	0	0	0	0	0	122	0	306	187	256	138	0	269	0
Kif5b	71.000000	0	0	0	0	0	0	0	0	0	0	115	0	108	0	335	269	172	279	0
Grb2	71.000000	0	0	0	0	0	0	0	0	0	0	124	0	0	0	330	520	144	160	0
Foxq1	71.000000	0	0	0	0	0	0	0	0	0	147	0	0	0	0	826	305	0	0	0
Dhrs9	71.000000	168	0	0	154	0	308	0	0	0	0	648	0	0	0	0	0	0	0	0
Vars	70.944444	0	0	0	0	0	0	0	0	0	0	159	0	160	0	249	431	134	144	0
Tm2d2	70.944444	174	0	0	0	0	0	0	0	0	0	152	0	93	99	254	174	157	174	0
Olfr1329	70.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	446	170	357	0
Nmt1	70.944444	189	199	164	140	0	0	0	0	0	0	0	0	0	0	167	135	121	162	0
Kcnf1	70.944444	0	0	0	0	0	0	0	0	0	0	0	0	262	196	237	192	179	211	0
D17H6S56E-5	70.944444	0	0	0	0	0	0	0	0	0	0	159	0	160	0	249	431	134	144	0
Adam9	70.944444	174	0	0	0	0	0	0	0	0	0	152	0	93	99	254	174	157	174	0
Ncoa1	70.888889	0	0	0	0	0	0	0	0	0	0	347	0	200	0	221	310	0	198	0
Aars2	70.888889	132	137	111	0	0	0	0	0	0	0	268	0	207	116	171	134	0	0	0
Trmu	70.833333	138	81	107	0	0	0	0	0	0	0	237	165	0	0	161	121	147	118	0
Rapgefl1	70.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	281	271	335	0
Ctnnd1	70.833333	88	0	0	0	0	0	0	0	0	0	0	0	113	0	529	160	143	242	0
Tnfsf10	70.777778	286	218	512	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sez6l	70.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	294	214	478	0
Misp	70.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	459	164	320	0
Kif26b	70.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	368	207	228	0
Galnt1	70.777778	0	0	0	0	0	0	0	0	0	0	135	0	163	81	314	231	149	201	0
Abcb6	70.777778	0	0	0	0	0	0	0	0	0	0	152	0	96	0	300	261	203	262	0
Wnt10b	70.722222	0	0	0	0	0	0	0	0	0	117	297	0	141	112	323	144	0	139	0
Serpina3g	70.722222	0	0	0	0	0	0	0	0	0	135	565	0	273	223	0	0	0	77	0
Serpina3f	70.722222	0	0	0	0	0	0	0	0	0	135	565	0	273	223	0	0	0	77	0
Sephs1	70.722222	0	0	0	0	0	0	0	0	0	0	189	0	162	0	338	346	140	98	0
Gdi2	70.722222	201	134	144	0	0	0	0	0	0	0	211	0	0	0	201	274	108	0	0
Rsph3b	70.666667	108	0	0	0	0	0	0	0	0	0	114	0	104	0	263	247	140	296	0
Qrich1	70.666667	161	0	139	94	0	0	0	0	0	0	208	0	0	96	132	123	100	219	0
Orc2	70.666667	87	76	0	0	0	0	0	0	0	0	131	0	0	88	164	205	208	313	0
Jagn1	70.666667	0	0	0	0	0	0	0	0	0	0	409	0	0	0	270	476	0	117	0
Uvrag	70.611111	224	176	290	196	0	0	0	0	0	0	0	0	0	0	171	121	93	0	0
Srsf11	70.611111	0	0	0	0	0	0	0	0	0	0	0	0	126	132	246	323	211	233	0
Prss27	70.611111	399	129	221	0	0	378	0	0	0	0	144	0	0	0	0	0	0	0	0
Pcp4l1	70.611111	0	0	0	0	0	0	0	0	0	120	0	0	166	157	430	265	133	0	0
Lrrc40	70.611111	0	0	0	0	0	0	0	0	0	0	0	0	126	132	246	323	211	233	0
Fam43a	70.611111	146	0	0	0	0	0	0	0	0	0	147	0	0	0	406	318	113	141	0
Disp2	70.611111	0	0	0	0	0	0	0	0	0	98	280	0	135	0	188	180	206	184	0
Slc18a1	70.555556	0	0	0	0	0	0	0	121	0	0	116	0	77	0	363	189	182	222	0
Lrrc71	70.555556	175	110	171	121	0	471	0	0	0	0	0	0	0	0	222	0	0	0	0
Khsrp	70.555556	145	171	262	169	0	0	0	87	0	0	0	0	85	0	258	93	0	0	0
Cdc42bpg	70.555556	0	0	0	0	0	93	0	0	0	0	181	0	0	0	395	184	173	244	0
Atp6v1b2	70.555556	0	0	0	0	0	0	0	121	0	0	116	0	77	0	363	189	182	222	0
Ipo8	70.500000	149	110	108	0	0	0	0	0	0	0	96	0	0	0	303	191	103	209	0
Arpp21	70.500000	0	0	0	0	0	0	0	0	0	0	0	0	95	0	205	236	349	384	0
Srd5a1	70.444444	284	151	184	141	0	0	0	0	0	0	0	0	91	0	160	183	0	74	0
Nsun2	70.444444	284	151	184	141	0	0	0	0	0	0	0	0	91	0	160	183	0	74	0
Lig4	70.444444	0	0	0	0	0	0	0	0	0	0	138	0	0	0	429	315	191	195	0
Itih3	70.444444	0	0	0	0	0	0	0	0	0	0	0	0	202	0	636	283	0	147	0
Abhd13	70.444444	0	0	0	0	0	0	0	0	0	0	138	0	0	0	429	315	191	195	0
Tmem247	70.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	397	0	0	0
Shank1	70.388889	0	114	0	77	0	0	0	0	0	0	0	0	0	0	353	330	140	253	0
S1pr3	70.388889	0	0	0	0	0	0	0	0	136	283	328	0	0	0	256	121	0	143	0
Rbm15	70.388889	250	0	111	83	0	0	0	0	0	0	111	0	0	0	203	335	0	174	0
Ephb1	70.388889	0	0	0	0	0	0	0	0	0	0	0	0	199	0	332	535	0	201	0
D2hgdh	70.388889	259	184	224	137	0	0	0	0	0	0	0	0	0	0	161	174	0	128	0
Clec11a	70.388889	0	114	0	77	0	0	0	0	0	0	0	0	0	0	353	330	140	253	0
Tmem68	70.333333	0	0	0	0	0	0	0	0	0	0	153	0	0	177	338	280	164	154	0
Tgs1	70.333333	0	0	0	0	0	0	0	0	0	0	153	0	0	177	338	280	164	154	0
Rpia	70.333333	135	0	0	0	0	0	0	0	0	0	269	0	0	0	326	150	141	245	0
Plcxd3	70.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	123	571	195	88	289	0
Gtf2e2	70.333333	277	0	0	0	0	0	0	0	0	0	0	0	294	208	100	218	0	169	0
Epb41l3	70.333333	0	0	0	0	0	0	0	0	127	106	0	0	137	0	280	261	104	251	0
Klhdc4	70.277778	153	0	115	0	0	0	0	0	123	0	123	125	0	0	255	221	0	150	0
Gm35549	70.277778	0	0	0	0	0	0	0	0	0	306	402	0	0	0	327	230	0	0	0
Cdv3	70.277778	0	0	0	0	0	0	0	0	0	0	69	0	115	0	333	279	240	229	0
Samd11	70.222222	0	0	0	0	0	0	0	0	0	0	121	0	0	0	569	425	0	149	0
Cdk12	70.222222	118	0	201	142	0	0	0	0	0	0	124	0	0	0	220	202	103	154	0
Timm29	70.166667	87	0	92	89	0	0	0	0	196	123	129	0	0	0	167	181	93	106	0
Camsap1	70.166667	368	167	262	252	0	0	0	0	0	0	0	0	0	0	92	0	0	122	0
H2-Ab1	70.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	371	245	290	0
Gm34593	70.111111	0	0	0	0	0	0	0	0	0	286	824	0	0	0	152	0	0	0	0
Cyb5b	70.111111	0	0	0	0	0	232	0	0	0	0	767	155	0	0	108	0	0	0	0
Vmn1r45	70.055556	0	0	0	0	0	0	0	0	0	357	904	0	0	0	0	0	0	0	0
Trpm2	70.055556	0	0	0	0	0	0	0	0	0	0	0	0	97	0	501	382	103	178	0
Smn1	70.055556	0	0	0	0	0	0	0	0	0	0	228	0	128	0	283	240	187	195	0
Hspb1	70.055556	298	389	254	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam122b	70.055556	0	0	0	0	0	0	0	0	0	0	262	0	0	0	152	328	161	358	0
Dusp23	70.055556	105	96	120	0	0	0	0	0	0	0	0	0	122	82	266	179	128	163	0
Zfp692	70.000000	222	175	226	120	0	0	0	0	168	0	72	0	0	0	114	0	0	163	0
Ugt1a1	70.000000	0	0	0	0	0	0	0	0	0	0	0	0	96	0	506	254	158	246	0
Pstpip1	70.000000	0	0	0	0	0	0	0	0	0	0	138	0	0	0	401	393	0	328	0
Ppfibp2	70.000000	171	160	145	139	0	335	0	0	0	0	110	0	0	0	86	114	0	0	0
Mmaa	70.000000	0	0	0	0	0	0	0	0	67	148	174	0	139	0	277	326	0	129	0
Lgr6	70.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	456	170	126	0
Fhdc1	70.000000	0	0	0	0	0	164	0	0	0	0	199	0	107	0	267	188	141	194	0
Apcdd1	70.000000	0	0	0	0	0	0	0	0	0	222	211	0	0	0	508	181	0	138	0
Itprip	69.944444	0	191	203	0	0	0	0	0	78	0	137	0	146	207	113	79	105	0	0
H4c1	69.944444	0	0	0	0	0	0	0	0	100	0	459	0	0	0	385	315	0	0	0
H3c1	69.944444	0	0	0	0	0	0	0	0	100	0	459	0	0	0	385	315	0	0	0
H1f1	69.944444	0	0	0	0	0	0	0	0	100	0	459	0	0	0	385	315	0	0	0
Gpr1	69.944444	0	0	0	0	0	0	0	0	0	0	0	0	175	0	476	306	150	152	0
Cog3	69.944444	138	0	0	0	0	0	0	0	0	0	0	0	0	0	580	356	0	185	0
Slc1a5	69.888889	93	0	0	0	0	133	0	0	0	117	527	0	0	0	388	0	0	0	0
Neurod6	69.888889	0	0	0	0	0	0	0	0	0	0	0	0	141	0	265	203	251	398	0
Eif4g3	69.888889	97	0	104	0	0	0	0	0	0	0	128	0	0	0	279	273	205	172	0
Ccdc60	69.888889	0	0	0	0	0	0	0	0	0	0	0	0	204	244	236	240	155	179	0
Ccdc17	69.888889	98	0	88	0	0	0	0	0	0	0	140	0	0	0	271	342	105	214	0
Ccdc141	69.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	260	173	244	0
Omp	69.833333	0	0	0	0	0	0	0	0	0	134	104	0	0	0	227	250	222	320	0
Zfp444	69.777778	189	148	144	0	0	0	0	0	0	0	0	0	0	0	221	238	137	179	0
Clec2d	69.777778	127	0	0	0	0	0	0	0	0	191	782	156	0	0	0	0	0	0	0
Mycbp2	69.722222	0	0	0	0	0	0	0	0	120	130	142	0	0	0	264	359	97	143	0
Fam210b	69.722222	183	191	278	157	0	0	0	0	0	0	123	0	0	0	112	146	0	65	0
Creb1	69.722222	242	0	0	125	0	0	0	0	0	0	121	0	0	0	398	235	0	134	0
Acvr1b	69.722222	0	0	0	0	0	0	0	0	0	0	482	0	124	0	216	209	95	129	0
Tbata	69.666667	0	0	0	0	0	0	0	0	0	0	555	154	0	0	180	189	0	176	0
B4galnt2	69.666667	0	0	0	0	0	0	0	0	0	0	0	0	130	0	524	324	0	276	0
Rab6b	69.611111	0	0	0	0	0	0	0	0	0	0	0	0	179	139	391	254	121	169	0
Vps13d	69.555556	0	0	0	0	0	0	0	0	223	0	238	0	0	0	277	208	121	185	0
Slmap	69.555556	116	135	0	0	0	0	0	0	0	0	0	0	0	0	204	347	130	320	0
Mapk8ip2	69.500000	0	0	0	0	0	0	0	0	0	0	0	0	154	0	317	358	130	292	0
