Target_genes	Hmga2|Average	SRX14833490|ES_cells	SRX9213050|ES_cells	SRX9213052|ES_cells	SRX796317|MEF	SRX796321|MEF	DRX411715|Monoulcear_cells	DRX411716|Monoulcear_cells	DRX411717|Monoulcear_cells	DRX411718|Monoulcear_cells	SRX2140476|Neural_progenitor_cells	DRX174618|Unclassified	DRX174620|Unclassified	STRING
Fkbp6	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Dst	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Ccdc149	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
C9orf72	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Bend6	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Atp5a1	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Adi1	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Acp5	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
1700094D03Rik	14.583333	0	0	0	0	0	0	0	175	0	0	0	0	0
Sult1d1	14.500000	0	0	0	0	0	0	0	0	0	174	0	0	0
Nipbl	14.500000	0	0	0	0	0	0	0	0	0	174	0	0	0
Cylc1	14.500000	0	174	0	0	0	0	0	0	0	0	0	0	0
Cfhr3	14.500000	0	174	0	0	0	0	0	0	0	0	0	0	0
Adamts1	14.500000	0	0	174	0	0	0	0	0	0	0	0	0	0
Wdfy3	14.416667	0	0	0	0	0	0	0	173	0	0	0	0	0
Prima1	14.416667	0	0	0	0	0	0	0	173	0	0	0	0	0
Olfr800	14.416667	0	0	0	0	0	0	0	0	0	173	0	0	0
Olfr128	14.416667	0	0	0	0	0	0	0	0	0	173	0	0	0
Olfr1106	14.416667	0	0	0	0	0	0	0	0	0	173	0	0	0
Fbxw4	14.416667	0	0	0	0	0	0	173	0	0	0	0	0	0
Enox1	14.416667	0	0	0	0	0	0	0	173	0	0	0	0	0
B4galt4	14.416667	0	0	0	0	0	0	0	173	0	0	0	0	0
4930447C04Rik	14.416667	0	0	0	0	0	0	0	88	0	85	0	0	0
Vnn1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Vmn1r181	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Trdn	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Tas2r110	14.333333	0	0	172	0	0	0	0	0	0	0	0	0	0
Tas2r103	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Stmnd1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Smgc	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Rpl5	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Rnf214	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Rfx8	14.333333	0	0	0	0	0	0	0	172	0	0	0	0	0
Rad1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Pten	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Pmpcb	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Pcsk7	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Pcdhb22	14.333333	0	0	0	0	0	0	0	172	0	0	0	0	0
Pate4	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Olfr726	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Olfr354	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Olfr1264	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Olfr1257	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Neto2	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Mtfmt	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Med15	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Mad2l2	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Kif28	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Jchain	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Ifrd1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Ifna12	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Hcn3	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Gm3867	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Ghsr	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Gca	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Fbxw15	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Fbxo15	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Eomes	14.333333	0	0	0	0	0	0	0	172	0	0	0	0	0
Drd1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Dpy19l4	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Dixdc1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Cps1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Cdk11b	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Brix1	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Ash1l	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Vmn2r91	14.250000	0	0	0	0	0	0	0	0	0	171	0	0	0
Vmn1r18	14.250000	0	0	0	0	0	0	0	0	0	171	0	0	0
Rbm46	14.250000	0	0	0	0	0	0	0	171	0	0	0	0	0
Prf1	14.250000	0	0	0	0	0	0	171	0	0	0	0	0	0
Galr2	14.250000	0	0	0	0	0	0	0	0	171	0	0	0	0
Bmp7	14.250000	0	0	0	0	0	0	0	171	0	0	0	0	0
Acan	14.250000	0	0	0	0	0	0	0	171	0	0	0	0	0
Vmn1r183	14.166667	0	0	0	0	0	0	0	0	0	170	0	0	0
Prl3d3	14.166667	0	0	0	0	0	0	0	0	0	170	0	0	0
Pou2f1	14.166667	0	0	0	0	0	0	0	0	0	170	0	0	0
Olfr594	14.166667	0	0	0	0	0	0	0	0	0	170	0	0	0
Chil3	14.166667	0	0	0	0	0	0	0	0	0	170	0	0	0
Pspc1	14.083333	0	0	0	0	0	0	0	0	0	169	0	0	0
Olfr1153	14.083333	0	0	0	0	0	0	0	0	0	169	0	0	0
Gm5165	14.083333	0	0	0	0	0	0	0	0	0	169	0	0	0
E330021D16Rik	14.083333	0	0	0	0	0	0	0	169	0	0	0	0	0
Cyp26c1	14.083333	0	0	0	0	0	0	0	169	0	0	0	0	0
Aff3	14.083333	0	0	0	0	0	0	0	58	0	111	0	0	0
Vmn1r30	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Rapgef5	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
Prl2c4	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Prl2c3	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Olfr914	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Olfr1469	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Olfr1466	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Olfr1440	14.000000	0	70	0	0	0	0	0	0	0	98	0	0	0
Nrg3	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
Ndufaf6	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
Elovl2	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
Cenpv	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
BC034090	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
Aig1	14.000000	0	0	0	0	0	0	0	168	0	0	0	0	0
Olfr291	13.916667	0	0	0	0	0	0	0	0	0	167	0	0	0
Neurog2	13.916667	167	0	0	0	0	0	0	0	0	0	0	0	0
Gfi1	13.916667	0	0	0	0	0	0	0	167	0	0	0	0	0
Fzd8	13.916667	0	0	0	0	0	0	0	167	0	0	0	0	0
Agbl3	13.916667	0	0	0	0	0	0	0	0	0	167	0	0	0
Zfp609	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Zfp518a	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Wdr19	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Vmn2r120	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Vmn1r78	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Vmn1r151	13.833333	0	0	166	0	0	0	0	0	0	0	0	0	0
Vgll2	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Trim2	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Tmem237	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Themis2	13.833333	0	0	166	0	0	0	0	0	0	0	0	0	0
Thap12	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Syndig1	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Sgo2b	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Prr13	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Pkia	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Pdcl	13.833333	0	0	166	0	0	0	0	0	0	0	0	0	0
Olfr792	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Olfr23	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Olfr146	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Olfr1449	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Olfr1288	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Nlrc3	13.833333	0	0	166	0	0	0	0	0	0	0	0	0	0
Map3k1	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Lsm5	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Itpripl2	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Iqcb1	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Insl6	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Hikeshi	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Heyl	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Hdhd3	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Gsto2	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Gba	13.833333	0	0	166	0	0	0	0	0	0	0	0	0	0
Eya4	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Eaf2	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Dmp1	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Dgki	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Dchs1	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Cyfip1	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Camk4	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Calb2	13.833333	0	0	166	0	0	0	0	0	0	0	0	0	0
Bhmt	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Atg7	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Anxa6	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Acad9	13.833333	0	0	0	0	0	0	0	0	0	166	0	0	0
Olfr1247	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Vmn1r206	13.666667	0	0	0	0	0	0	0	0	0	164	0	0	0
Vamp4	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Ube2v2	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Trpa1	13.666667	0	82	0	0	0	0	0	0	0	82	0	0	0
Tmsb15l	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Tmsb15b1	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Spesp1	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Spaca1	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Snurf	13.666667	0	0	0	0	0	0	0	0	0	164	0	0	0
Rtraf	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
P4ha3	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Nmrk2	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Gpr119	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Gm11213	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Fxyd3	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Cyp4a30b	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Ccnb3	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Atp6v1c1	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Adgrl3	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Acvr1c	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Vmn2r92	13.583333	0	0	0	0	0	0	0	0	0	163	0	0	0
Pfn2	13.583333	0	0	0	0	0	0	0	163	0	0	0	0	0
Olfr895	13.583333	0	0	0	0	0	0	0	0	0	163	0	0	0
Mcts1	13.583333	0	0	0	0	0	163	0	0	0	0	0	0	0
Csnk1g3	13.583333	0	0	0	0	0	0	0	163	0	0	0	0	0
Cda	13.583333	0	0	0	0	0	163	0	0	0	0	0	0	0
Ttyh1	13.500000	0	0	0	0	0	0	0	162	0	0	0	0	0
Tram1l1	13.500000	0	0	0	0	0	0	0	0	0	162	0	0	0
Taok3	13.500000	0	0	0	0	0	0	0	162	0	0	0	0	0
Olfr824	13.500000	0	0	0	0	0	0	0	0	0	162	0	0	0
Klhl2	13.500000	0	0	0	0	0	0	0	162	0	0	0	0	0
Vmn2r68	13.416667	0	0	0	0	0	0	0	0	0	161	0	0	0
Thbs4	13.416667	0	0	0	0	0	0	0	161	0	0	0	0	0
Plekha1	13.416667	0	0	0	0	0	0	0	161	0	0	0	0	0
Pgap2	13.416667	0	0	0	0	0	0	0	161	0	0	0	0	0
Peg12	13.416667	0	0	0	0	0	0	0	161	0	0	0	0	0
Pabpc1l2a	13.416667	0	0	0	0	0	0	0	161	0	0	0	0	0
Morf4l1b	13.416667	0	0	0	0	0	0	0	0	0	161	0	0	0
Bex4	13.416667	0	0	0	0	0	0	0	161	0	0	0	0	0
Arhgap5	13.416667	0	0	0	0	0	0	0	0	0	161	0	0	0
Zfp994	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Zfp940	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Zfp937	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Zfp641	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Zfp398	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Xylb	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Vmn2r57	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Vmn2r4	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Upf2	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Tyw3	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Twistnb	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Trim13	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Tomm70a	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Tnrc6b	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Syndig1l	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Spp1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Sorl1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Slf2	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Slc15a2	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Skint8	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Secisbp2	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Rmi1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Rassf9	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Ptbp3	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Prps1l1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Prl7b1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Prkar2b	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Prkaa1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Ppp2ca	13.333333	0	160	0	0	0	0	0	0	0	0	0	0	0
Pi4k2a	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Pdlim5	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Pax9	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
P2ry1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Olfr740	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Olfr490	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Olfr1019	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Olfr1010	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Oas1g	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Mppe1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Morn4	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Lpxn	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Krtap16-3	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Il2	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Hnrnpk	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Hnrnph1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Hdgfl3	13.333333	0	160	0	0	0	0	0	0	0	0	0	0	0
Gm5347	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Gm4894	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Glycam1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Elovl7	13.333333	0	0	0	0	0	0	0	160	0	0	0	0	0
Ebna1bp2	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Dnajc6	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Dnaaf6	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Defb29	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Ctxn3	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Cryz	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Clstn1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Cfap57	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Cep112	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Cebpd	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Brs3	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Bmp5	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Zfp663	13.250000	159	0	0	0	0	0	0	0	0	0	0	0	0
Wsb1	13.250000	0	0	0	0	0	0	0	0	0	159	0	0	0
Rgs3	13.250000	0	0	0	0	0	0	0	0	159	0	0	0	0
Raet1a	13.250000	0	0	0	0	0	0	0	0	0	159	0	0	0
Pds5b	13.250000	0	0	0	0	0	0	159	0	0	0	0	0	0
Olfr1240	13.250000	0	0	0	0	0	0	0	0	0	159	0	0	0
Mrpl34	13.250000	0	0	0	0	0	0	0	159	0	0	0	0	0
Lrif1	13.250000	0	0	0	0	0	0	0	0	0	159	0	0	0
Krtap9-1	13.250000	0	0	159	0	0	0	0	0	0	0	0	0	0
Immt	13.250000	0	0	159	0	0	0	0	0	0	0	0	0	0
Hat1	13.250000	0	0	0	0	0	0	0	159	0	0	0	0	0
Gm13286	13.250000	0	0	159	0	0	0	0	0	0	0	0	0	0
Gm13283	13.250000	0	0	159	0	0	0	0	0	0	0	0	0	0
Gm13271	13.250000	0	0	159	0	0	0	0	0	0	0	0	0	0
Focad	13.250000	0	0	0	0	0	0	0	0	0	159	0	0	0
Abhd8	13.250000	0	0	0	0	0	0	0	159	0	0	0	0	0
Tcfl5	13.166667	0	0	0	0	0	0	0	158	0	0	0	0	0
Srsf12	13.166667	0	0	0	0	0	0	0	158	0	0	0	0	0
Sema3a	13.166667	0	0	0	0	0	0	0	0	0	158	0	0	0
Pot1a	13.166667	0	0	0	0	0	0	0	0	0	158	0	0	0
Olfr1491	13.166667	0	0	0	0	0	0	0	0	0	158	0	0	0
Olfr1255	13.166667	0	0	0	0	0	0	0	0	0	158	0	0	0
Neurod4	13.166667	0	158	0	0	0	0	0	0	0	0	0	0	0
Dazap2	13.166667	0	0	158	0	0	0	0	0	0	0	0	0	0
Arl5a	13.166667	0	0	0	0	0	0	0	0	0	158	0	0	0
Wasf2	13.083333	0	0	157	0	0	0	0	0	0	0	0	0	0
Vwa8	13.083333	0	0	0	0	0	0	0	0	0	157	0	0	0
Phf10	13.083333	0	0	0	0	0	0	0	157	0	0	0	0	0
Olfr780	13.083333	0	0	0	0	0	0	0	0	0	157	0	0	0
Lrig1	13.083333	0	0	0	0	0	0	0	0	157	0	0	0	0
Herc3	13.083333	0	0	157	0	0	0	0	0	0	0	0	0	0
Gm3411	13.083333	0	0	0	0	0	0	0	157	0	0	0	0	0
Folh1	13.083333	0	0	0	0	0	0	0	0	0	157	0	0	0
Erbb2	13.083333	0	0	0	0	0	0	0	157	0	0	0	0	0
Egln1	13.083333	0	0	0	0	0	0	0	92	65	0	0	0	0
Efna5	13.083333	0	0	0	0	0	0	0	157	0	0	0	0	0
Catspere1	13.083333	0	0	0	0	0	0	0	157	0	0	0	0	0
Vmn1r103	13.000000	0	0	156	0	0	0	0	0	0	0	0	0	0
Tmem26	13.000000	0	0	156	0	0	0	0	0	0	0	0	0	0
Rfpl4	13.000000	0	0	156	0	0	0	0	0	0	0	0	0	0
Rasip1	13.000000	0	0	0	0	0	0	0	156	0	0	0	0	0
Rasa1	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Olfr1112	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Olfr1045	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Mdn1	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Gtdc1	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Gm3739	13.000000	0	0	0	0	0	0	0	156	0	0	0	0	0
Cdk1	13.000000	0	0	156	0	0	0	0	0	0	0	0	0	0
Col6a5	12.916667	0	0	0	0	0	0	155	0	0	0	0	0	0
Zscan18	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Zfp182	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Zfand1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Xcr1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Vmn2r96	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Vmn2r108	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Vmn1r49	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Vmn1r237	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Ttc30a2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Trp63	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Tmtc3	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Tmod1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Tmem70	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Thumpd3	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Tas2r143	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Tas2r135	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Tac1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Sytl4	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Sult3a1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Spry2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Sorbs2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Slc13a1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Serpind1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Saa2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Rps29	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Rpl37a	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Rgs2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Rad51ap2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Pqlc3	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Pkhd1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Pim1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Pde8a	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Pate11	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Omt2a	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Olfr1412	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Olfr1221	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Muc13	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Mettl15	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Lrrtm2	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Kif18a	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Kcne1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Gng11	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Gja1	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Exoc7	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Chil4	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Cep290	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Cdc14a	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Cd24a	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
C1ra	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Ankrd17	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Wasl	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Tpm3	12.750000	153	0	0	0	0	0	0	0	0	0	0	0	0
Tpd52	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Tmem248	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Tgfa	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Stac	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Slc39a9	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Sec14l4	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Scn2a	12.750000	0	0	0	0	0	0	0	0	0	153	0	0	0
Ptk2	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Prdm13	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Pak6	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Otub2	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Osbp2	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Ndufa9	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Nap1l1	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Myo16	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Mfsd6	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
L3mbtl4	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Klf14	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Il19	12.750000	0	0	0	0	0	0	0	153	0	0	0	0	0
Hesx1	12.750000	0	153	0	0	0	0	0	0	0	0	0	0	0
