Target_genes	Foxo3|Average	SRX15124402|4T1	SRX2845374|C2C12	SRX2845375|C2C12	SRX23264976|ES_cells	SRX23264977|ES_cells	SRX23264978|ES_cells	SRX23264979|ES_cells	SRX23264980|ES_cells	SRX23264981|ES_cells	SRX23264982|ES_cells	SRX23264983|ES_cells	SRX125261|Macrophages	SRX315275|Neural_progenitor_cells	STRING
Dhx35	28.000000	0	0	147	0	0	0	0	0	0	0	0	0	217	0
Xirp1	27.923077	0	0	190	0	0	0	0	0	0	0	0	0	173	0
Stambpl1	27.923077	0	0	363	0	0	0	0	0	0	0	0	0	0	0
Rgs22	27.923077	0	0	0	0	0	0	0	0	0	0	0	0	363	0
Csnk1d	27.923077	0	0	0	0	0	0	0	0	0	0	0	0	363	0
Txnl4b	27.769231	0	0	182	0	0	0	0	0	0	0	0	0	179	0
Neil1	27.769231	0	0	105	0	0	0	0	0	0	0	0	0	256	0
Mtmr14	27.769231	0	0	0	0	0	0	0	0	0	0	0	0	361	0
Dhx38	27.769231	0	0	182	0	0	0	0	0	0	0	0	0	179	0
Tmx4	27.692308	0	0	226	0	0	0	0	0	0	0	0	0	134	0
Gm973	27.692308	0	0	0	0	0	0	0	0	0	0	0	0	360	0
Bub1	27.692308	0	0	184	0	0	0	0	0	0	0	0	0	176	0
Tcf4	27.615385	0	0	120	0	0	0	0	0	0	0	0	0	239	0
Stard7	27.615385	0	0	359	0	0	0	0	0	0	0	0	0	0	0
Tyk2	27.538462	0	0	358	0	0	0	0	0	0	0	0	0	0	0
Ptcd1	27.538462	0	0	0	0	0	0	0	0	0	0	0	0	358	0
Cpsf4	27.538462	0	0	0	0	0	0	0	0	0	0	0	0	358	0
Cfap97d2	27.538462	0	0	358	0	0	0	0	0	0	0	0	0	0	0
Tmem88	27.461538	0	0	194	0	0	0	0	0	0	0	0	0	163	0
Dop1b	27.461538	0	0	194	0	0	0	0	0	0	0	0	0	163	0
Dgkd	27.461538	0	0	357	0	0	0	0	0	0	0	0	0	0	0
Apool	27.461538	0	0	357	0	0	0	0	0	0	0	0	0	0	0
Abca1	27.461538	0	0	222	0	0	0	0	0	0	0	0	0	135	0
Fosl2	27.384615	0	0	108	0	0	0	0	0	0	0	0	0	248	0
Cyp2j9	27.384615	0	0	0	0	0	0	0	0	0	0	0	0	356	0
Ccz1	27.384615	0	0	181	0	0	0	0	0	0	0	0	0	175	0
Dnajb4	27.307692	0	0	113	0	0	0	0	0	0	0	0	0	242	0
Bbs9	27.307692	0	0	0	0	0	0	0	0	0	0	0	0	355	0
Nptn	27.230769	0	0	354	0	0	0	0	0	0	0	0	0	0	0
Nek7	27.230769	0	0	0	0	0	0	0	0	0	0	0	0	354	0
Macrod1	27.230769	0	0	179	0	0	0	0	0	0	0	0	0	175	0
Ramac	27.153846	0	0	0	0	0	0	0	0	0	0	0	0	353	0
Prdm10	27.153846	0	0	0	0	0	0	0	0	0	0	0	0	353	0
Vps35l	27.076923	0	0	126	0	0	0	0	0	0	0	0	0	226	0
Tmem242	27.076923	0	0	352	0	0	0	0	0	0	0	0	0	0	0
Stmnd1	27.076923	0	0	0	0	0	0	0	0	0	0	0	0	352	0
Fmr1	27.076923	0	0	0	0	0	0	0	0	0	0	0	0	352	0
Gtf2a1	27.000000	0	0	166	0	0	0	0	0	0	0	0	0	185	0
Cdk5rap2	27.000000	0	0	135	0	0	0	0	0	0	0	0	0	216	0
Efcab2	26.923077	0	0	132	0	0	0	0	0	0	0	0	0	218	0
Tob2	26.846154	0	0	201	0	0	0	0	0	0	0	0	0	148	0
Rbl2	26.846154	0	0	177	0	0	0	0	0	0	0	0	0	172	0
Med23	26.846154	0	0	227	0	0	0	0	0	0	0	0	0	122	0
Aox1	26.846154	0	0	0	0	0	0	0	0	0	0	0	0	349	0
Nxph1	26.769231	0	0	0	0	0	0	0	0	0	159	0	0	189	0
Sox6	26.692308	0	0	149	0	0	0	0	0	0	0	0	0	198	0
Atad5	26.692308	0	0	78	0	0	0	0	0	0	0	0	0	269	0
Tigit	26.615385	0	0	0	0	0	0	0	0	0	0	0	0	346	0
Sox12	26.615385	0	0	0	0	0	0	0	0	0	0	0	0	346	0
Nhsl1	26.615385	0	0	0	0	0	0	0	0	0	0	0	0	346	0
Map6d1	26.615385	0	0	0	0	0	0	0	0	0	0	0	0	346	0
Cox19	26.615385	0	0	231	0	0	0	0	0	0	0	0	0	115	0
Chd2	26.538462	0	0	0	0	0	0	0	0	0	0	0	0	345	0
Lasp1	26.461538	0	0	139	0	0	0	0	0	0	0	0	0	205	0
Hexim1	26.461538	0	0	229	0	0	0	0	0	0	0	0	0	115	0
Clasp1	26.461538	0	0	129	0	0	0	0	0	0	0	0	0	215	0
Copb1	26.384615	0	0	0	0	0	0	0	0	0	0	0	0	343	0
Wbp2	26.307692	0	0	0	0	0	0	0	0	0	0	0	0	342	0
Rnh1	26.307692	0	0	223	0	0	0	0	0	0	0	0	0	119	0
Rab11b	26.307692	0	0	205	0	0	0	0	0	0	0	0	0	137	0
Mapk1	26.307692	0	0	128	0	0	0	0	0	0	0	0	0	214	0
Atp5k	26.307692	0	0	342	0	0	0	0	0	0	0	0	0	0	0
Pxk	26.230769	0	0	0	0	0	0	0	0	0	0	0	0	341	0
Proca1	26.230769	0	0	0	0	0	0	0	0	0	0	0	0	341	0
Cacnb1	26.230769	0	0	341	0	0	0	0	0	0	0	0	0	0	0
4930505A04Rik	26.230769	0	0	0	0	0	0	0	0	0	0	0	0	341	0
Tnip1	26.076923	0	0	339	0	0	0	0	0	0	0	0	0	0	0
Tmem231	26.076923	0	0	183	0	0	0	0	0	0	0	0	0	156	0
Rcan1	26.076923	0	0	140	0	0	0	0	0	0	0	0	0	199	0
Ctsl	26.076923	0	0	339	0	0	0	0	0	0	0	0	0	0	0
Zfp945	26.000000	0	0	83	0	0	0	0	0	0	0	0	0	255	0
Pttg1ip	26.000000	0	0	174	0	0	0	0	0	0	0	0	0	164	0
Inppl1	26.000000	0	0	105	0	0	0	0	0	0	0	0	0	233	0
Creld1	26.000000	0	0	338	0	0	0	0	0	0	0	0	0	0	0
Adgrf2	26.000000	0	0	0	122	0	0	0	0	0	96	0	0	120	0
Synj2	25.923077	0	0	337	0	0	0	0	0	0	0	0	0	0	0
Erlec1	25.923077	0	0	0	0	0	0	0	0	0	0	0	0	337	0
Asb3	25.923077	0	0	0	0	0	0	0	0	0	0	0	0	337	0
Ankdd1a	25.923077	0	0	137	0	0	0	0	0	0	0	0	0	200	0
Zfp688	25.846154	0	0	172	0	0	0	0	0	0	0	0	0	164	0
Nfil3	25.846154	0	0	206	0	0	0	0	0	0	0	0	0	130	0
Mbnl1	25.846154	0	0	336	0	0	0	0	0	0	0	0	0	0	0
Kdm5b	25.769231	0	0	0	0	0	0	0	0	0	0	0	0	335	0
Dmxl1	25.769231	0	0	172	0	0	0	0	0	0	0	0	0	163	0
Slc17a5	25.692308	0	0	165	0	0	0	0	0	0	0	0	0	169	0
Nfyc	25.692308	0	0	0	0	0	0	0	0	0	0	0	214	120	0
Mtmr6	25.692308	0	0	161	0	0	0	0	0	0	0	0	0	173	0
Tox4	25.615385	0	0	220	0	0	0	0	0	0	0	0	0	113	0
Rab2b	25.615385	0	0	220	0	0	0	0	0	0	0	0	0	113	0
Mafa	25.615385	0	0	333	0	0	0	0	0	0	0	0	0	0	0
Lrrtm1	25.615385	0	0	0	0	0	0	0	0	0	0	0	0	333	0
Rpl3	25.538462	0	0	147	0	0	0	0	0	0	0	0	0	185	0
Nemp1	25.538462	0	0	193	0	0	0	0	0	0	0	0	0	139	0
Gpr37	25.538462	0	0	0	0	0	0	0	0	0	0	0	0	332	0
AW146154	25.461538	0	0	0	0	0	0	0	0	0	0	0	0	331	0
Naca	25.384615	0	0	206	0	0	0	0	0	0	0	0	0	124	0
Ddr1	25.384615	0	0	0	0	0	0	0	0	0	0	0	0	330	0
Mmp13	25.307692	0	0	329	0	0	0	0	0	0	0	0	0	0	426
Foxp2	25.307692	0	0	0	0	0	0	0	0	0	0	0	0	329	0
Fam178b	25.307692	0	0	115	0	0	0	0	0	0	0	0	0	214	0
Rbp7	25.230769	0	0	328	0	0	0	0	0	0	0	0	0	0	0
Phf20	25.230769	0	0	328	0	0	0	0	0	0	0	0	0	0	0
Ndufb4c	25.230769	0	0	0	0	0	0	0	0	0	0	0	0	328	0
Kat8	25.230769	0	0	218	0	0	0	0	0	0	0	0	0	110	0
Cfap54	25.230769	0	0	0	0	0	0	0	0	0	0	0	0	328	0
Atn1	25.230769	0	0	0	0	0	0	0	0	0	0	0	0	328	0
Prss22	25.153846	0	0	203	0	0	0	0	0	0	0	0	0	124	0
Prps1	25.153846	0	0	0	0	0	0	0	0	0	0	0	0	327	0
Kdm5c	25.153846	0	0	242	0	0	0	0	0	0	0	0	0	85	0
Calcoco1	25.153846	0	0	152	0	0	0	0	0	0	0	0	0	175	0
Vps72	25.076923	0	0	109	0	0	0	0	0	0	0	0	0	217	0
Sec62	25.076923	0	0	179	0	0	0	0	0	0	0	0	0	147	0
Pip5k1a	25.076923	0	0	109	0	0	0	0	0	0	0	0	0	217	0
Cwf19l2	25.076923	0	0	184	0	0	0	0	0	0	0	0	0	142	0
Scp2	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	325	0
Mrpl16	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	325	0
Jtb	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	325	0
Rps14	24.923077	0	0	179	0	0	0	0	0	0	0	0	0	145	0
Rpl31	24.923077	0	0	0	0	0	0	0	0	0	0	0	0	324	0
Pnmal1	24.923077	0	0	324	0	0	0	0	0	0	0	0	0	0	0
Pmp22	24.846154	0	0	190	0	0	0	0	0	0	0	0	0	133	0
Kif21a	24.846154	0	0	0	0	0	0	0	0	0	0	0	0	323	0
Tbc1d15	24.769231	0	0	152	0	0	0	0	0	0	0	0	0	170	0
Kcnip3	24.769231	0	0	0	0	0	0	0	0	0	0	0	0	322	0
Arl6ip5	24.769231	0	0	207	0	0	0	0	0	0	0	0	0	115	0
Ttyh2	24.692308	0	0	0	0	0	0	0	0	0	0	0	0	321	0
Rpl38	24.692308	0	0	0	0	0	0	0	0	0	0	0	0	321	0
Lfng	24.692308	0	0	104	0	0	0	0	0	0	0	0	0	217	0
Cavin4	24.692308	0	0	321	0	0	0	0	0	0	0	0	0	0	0
Zfp469	24.615385	0	0	141	0	0	0	0	0	0	0	0	0	179	0
Slc35g2	24.615385	0	0	0	0	0	0	0	0	0	0	0	0	320	0
Nt5c2	24.615385	0	0	223	0	0	0	0	0	0	0	0	0	97	0
E230025N22Rik	24.615385	0	0	0	0	0	0	0	0	0	0	0	0	320	0
Syne1	24.538462	0	0	319	0	0	0	0	0	0	0	0	0	0	0
Rtl8b	24.538462	0	0	0	0	0	0	0	0	0	0	0	0	319	0
Ropn1l	24.538462	0	0	184	0	0	0	0	0	0	0	0	0	135	0
Peli1	24.538462	0	0	0	0	0	0	0	0	0	0	0	0	319	0
Kif1b	24.538462	0	0	319	0	0	0	0	0	0	0	0	0	0	0
Cry2	24.538462	0	0	137	0	0	0	0	0	0	0	0	0	182	0
Cep120	24.538462	0	0	190	0	0	0	0	0	0	0	0	0	129	0
Naaa	24.461538	0	0	0	0	0	0	0	0	0	0	0	0	318	0
Mettl17	24.461538	0	0	134	0	0	0	0	0	0	0	0	0	184	0
Hspb2	24.461538	0	0	210	0	0	0	0	0	0	0	0	0	108	0
Cryab	24.461538	0	0	210	0	0	0	0	0	0	0	0	0	108	0
Ccpg1os	24.461538	0	0	197	0	0	0	0	0	0	0	0	0	121	0
Ccpg1	24.461538	0	0	197	0	0	0	0	0	0	0	0	0	121	0
Btbd17	24.461538	0	0	152	0	0	0	0	0	0	0	0	0	166	0
Blnk	24.461538	0	0	318	0	0	0	0	0	0	0	0	0	0	0
Zranb3	24.384615	0	0	109	0	0	0	0	0	0	0	0	0	208	0
Zfp369	24.384615	0	0	0	0	0	0	0	0	0	0	0	0	317	0
Traf3ip1	24.384615	0	0	317	0	0	0	0	0	0	0	0	0	0	0
St6gal1	24.384615	0	0	0	0	0	0	0	0	0	0	0	0	317	0
Kdm6a	24.384615	0	0	109	0	0	0	0	0	0	0	0	0	208	0
Cetn3	24.384615	0	0	222	0	0	0	0	0	0	0	0	0	95	0
Tnrc6c	24.307692	0	0	0	0	0	0	0	0	0	0	0	0	316	0
Nufip2	24.307692	0	0	163	0	0	0	0	0	0	0	0	0	153	0
Gm5148	24.307692	0	0	0	0	0	0	0	0	0	0	0	0	316	0
Gpam	24.230769	0	0	187	0	0	0	0	0	0	0	0	0	128	0
Tnfsf13	24.153846	0	0	134	0	0	0	0	0	0	0	0	0	180	0
Senp3	24.153846	0	0	134	0	0	0	0	0	0	0	0	0	180	0
Evi5	24.153846	0	0	107	0	0	0	0	0	0	0	0	0	207	0
Ankrd6	24.153846	0	0	0	0	0	0	0	0	0	0	0	0	314	0
Smad6	24.076923	0	0	0	0	0	0	0	0	0	0	0	0	313	0
Jph2	24.076923	0	0	113	0	0	0	0	0	0	0	0	0	200	0
Gm13290	24.076923	0	0	117	0	0	0	0	117	0	0	0	0	79	0
Gm13289	24.076923	0	0	117	0	0	0	0	117	0	0	0	0	79	0
Gm13285	24.076923	0	0	117	0	0	0	0	117	0	0	0	0	79	0
Arrdc2	24.076923	0	0	122	0	0	0	0	0	0	0	0	0	191	0
Rhou	24.000000	0	0	312	0	0	0	0	0	0	0	0	0	0	0
Rdm1	24.000000	0	0	218	0	0	0	0	0	0	0	0	0	94	0
Nefh	24.000000	0	0	0	0	0	0	0	0	0	0	0	0	312	0
Il4ra	24.000000	0	0	111	0	0	0	0	0	0	0	0	0	201	0
Cndp1	24.000000	0	0	197	0	0	0	0	0	0	0	0	0	115	0
Ap1b1	24.000000	0	0	0	0	0	0	0	0	0	0	0	0	312	0
Ylpm1	23.923077	0	0	161	0	0	0	0	0	0	0	0	0	150	0
Tmem101	23.923077	0	0	0	0	0	0	0	0	0	0	0	0	311	0
Rufy3	23.923077	0	0	0	0	0	0	0	0	0	0	0	0	311	0
Igsf11	23.923077	0	0	311	0	0	0	0	0	0	0	0	0	0	0
B3gnt3	23.923077	0	0	0	0	0	0	0	0	0	0	0	0	311	0
Dvl2	23.846154	0	0	0	0	0	0	0	0	0	0	0	0	310	0
Aggf1	23.846154	0	0	0	0	0	0	0	0	0	0	0	0	310	0
Zfp24	23.769231	0	0	0	0	0	0	0	0	0	0	0	0	309	0
Trip6	23.769231	0	0	0	0	0	0	0	0	0	0	0	0	309	0
Sync	23.769231	0	0	146	0	0	0	0	0	0	0	0	0	163	0
Smbd1	23.769231	0	0	199	0	0	0	0	0	0	0	0	0	110	0
Ogt	23.769231	0	0	130	0	0	0	0	0	0	0	0	0	179	0
Eno1	23.769231	0	0	309	0	0	0	0	0	0	0	0	0	0	0
Cystm1	23.769231	0	0	0	0	0	0	0	0	0	0	0	0	309	0
Olfr1389	23.692308	0	0	0	0	0	0	0	0	0	0	0	0	308	0
Gxylt2	23.692308	0	0	0	0	0	0	0	0	0	0	0	0	308	0
Ctr9	23.692308	0	0	0	0	0	0	0	0	0	0	0	0	308	0
Smug1	23.615385	0	0	109	0	0	0	0	0	0	0	0	0	198	0
H3c10	23.615385	0	0	0	0	0	0	0	0	0	121	0	0	186	0
H2bc14	23.615385	0	0	0	0	0	0	0	0	0	121	0	0	186	0
Col6a3	23.615385	0	0	307	0	0	0	0	0	0	0	0	0	0	0
Ankrd23	23.615385	0	0	307	0	0	0	0	0	0	0	0	0	0	0
Aatk	23.615385	0	0	146	0	0	0	0	0	0	0	0	0	161	0
Sik3	23.538462	0	0	0	0	0	0	0	0	0	0	0	0	306	0
Scnn1a	23.538462	0	0	0	0	0	0	0	0	0	0	0	0	306	0
Pafah1b2	23.538462	0	0	0	0	0	0	0	0	0	0	0	0	306	0
Ltbr	23.538462	0	0	0	0	0	0	0	0	0	0	0	0	306	0
Kcnb1	23.538462	0	0	0	0	0	0	0	0	0	0	0	0	306	0
Hnrnpul1	23.538462	0	0	306	0	0	0	0	0	0	0	0	0	0	0
Myo1e	23.461538	0	0	109	0	0	0	0	0	0	0	0	0	196	0
Ap2m1	23.461538	0	0	199	0	0	0	0	0	0	0	0	0	106	0
Whamm	23.384615	0	0	172	0	0	0	0	0	0	0	0	0	132	0
Rsrp1	23.384615	0	0	0	0	0	0	0	0	0	0	0	0	304	0
Nudt13	23.384615	0	0	181	0	0	0	0	0	0	0	0	0	123	0
Nkiras2	23.384615	0	0	173	0	0	0	0	0	0	0	0	0	131	0
Mark2	23.384615	0	0	0	0	0	0	0	0	0	0	0	0	304	0
Kcnj11	23.384615	0	0	0	0	0	0	0	0	0	0	0	0	304	0
Eola1	23.384615	0	0	0	0	0	0	0	0	0	0	0	0	304	0
Dnajc7	23.384615	0	0	173	0	0	0	0	0	0	0	0	0	131	0
Tmem156	23.307692	0	0	303	0	0	0	0	0	0	0	0	0	0	0
Snx1	23.307692	0	0	0	0	0	0	0	0	0	0	0	0	303	0
Sass6	23.307692	0	0	116	0	0	0	0	0	0	0	0	0	187	0
Rabac1	23.307692	0	0	115	0	0	0	0	0	0	0	0	0	188	0
Myc	23.307692	0	0	0	0	0	0	0	0	0	0	0	0	303	0
Kifc1	23.307692	0	0	161	0	0	0	0	0	0	0	0	0	142	0
Ciao2a	23.307692	0	0	0	0	0	0	0	0	0	0	0	0	303	0
Gjc3	23.230769	0	0	0	0	0	0	0	0	0	0	0	0	302	0
Tmem139	23.153846	0	0	0	0	0	0	0	0	0	0	0	0	301	0
Hps5	23.153846	0	0	0	0	0	0	0	0	0	0	0	0	301	0
Gtf2h1	23.153846	0	0	0	0	0	0	0	0	0	0	0	0	301	0
Esr1	23.153846	0	0	0	0	0	0	0	0	0	0	0	0	301	0
Urod	23.076923	0	0	0	0	0	0	0	0	0	0	0	0	300	0
Hectd3	23.076923	0	0	0	0	0	0	0	0	0	0	0	0	300	0
Eml6	23.076923	0	0	126	0	0	0	0	0	0	0	0	0	174	0
H2az2	23.000000	0	0	0	0	0	0	0	0	0	0	0	0	299	0
Zfp608	22.923077	0	0	106	0	0	0	0	0	0	0	0	0	192	0
Zfp457	22.923077	0	0	80	0	0	0	0	0	0	0	0	0	218	0
Unc45b	22.923077	0	0	298	0	0	0	0	0	0	0	0	0	0	0
Tnni1	22.923077	0	0	298	0	0	0	0	0	0	0	0	0	0	0
Snrpc	22.923077	0	0	175	0	0	0	0	0	0	0	0	0	123	0
Nle1	22.923077	0	0	298	0	0	0	0	0	0	0	0	0	0	0
Trim7	22.846154	0	0	179	0	0	0	0	0	0	0	0	0	118	0
Sulf1	22.846154	0	0	135	0	0	0	0	0	0	0	0	0	162	0
Adgrl3	22.846154	0	0	0	0	0	0	0	0	0	0	0	0	297	0
Tmem69	22.769231	0	0	177	0	0	0	0	0	0	0	0	0	119	0
Nudt8	22.769231	0	0	167	0	0	0	0	0	0	0	0	0	129	0
Gpbp1l1	22.769231	0	0	177	0	0	0	0	0	0	0	0	0	119	0
Doc2g	22.769231	0	0	167	0	0	0	0	0	0	0	0	0	129	0
Vmn2r22	22.692308	0	0	0	0	0	0	0	0	0	0	0	0	295	0
Slc39a13	22.692308	0	0	138	0	0	0	0	0	0	0	0	0	157	0
Rad21	22.692308	0	0	0	0	0	0	0	0	0	0	0	0	295	0
Gtpbp3	22.692308	0	0	177	0	0	0	0	0	0	0	0	0	118	0
Erbb2	22.692308	0	0	295	0	0	0	0	0	0	0	0	0	0	0
Ano8	22.692308	0	0	177	0	0	0	0	0	0	0	0	0	118	0
Rnf26	22.615385	0	0	209	0	0	0	0	0	0	0	0	0	85	0
Hnrnpa2b1	22.615385	0	0	0	0	0	0	0	0	0	0	0	0	294	0
Gprc5b	22.615385	0	0	105	0	0	0	0	0	0	0	0	0	189	0
Cbx3	22.615385	0	0	0	0	0	0	0	0	0	0	0	0	294	0
Xk	22.538462	0	0	0	0	0	0	0	0	0	0	0	0	293	0
Wnt8a	22.538462	0	0	206	0	0	0	0	0	0	0	0	0	87	0
Susd3	22.538462	0	0	293	0	0	0	0	0	0	0	0	0	0	0
Nfatc1	22.538462	0	0	126	0	0	0	0	0	0	0	0	0	167	0
Kat2a	22.538462	0	0	293	0	0	0	0	0	0	0	0	0	0	0
Hspb9	22.538462	0	0	293	0	0	0	0	0	0	0	0	0	0	0
Frmd4b	22.538462	0	0	293	0	0	0	0	0	0	0	0	0	0	0
Dst	22.538462	0	0	293	0	0	0	0	0	0	0	0	0	0	0
Zfp821	22.461538	0	0	0	0	0	0	0	0	0	0	0	0	292	0
Smad5	22.461538	0	0	187	0	0	0	0	0	0	0	0	0	105	0
Slitrk5	22.461538	0	0	0	0	0	0	0	0	0	0	0	0	292	0
Atp6v1g1	22.384615	0	0	291	0	0	0	0	0	0	0	0	0	0	0
Tyro3	22.307692	0	0	0	0	0	0	0	0	0	0	0	0	290	0
Tm4sf1	22.307692	0	0	133	0	0	0	0	0	0	0	0	0	157	0
Dbp	22.307692	0	0	172	0	0	0	0	0	0	0	0	0	118	0
Car11	22.307692	0	0	172	0	0	0	0	0	0	0	0	0	118	0
Vgll4	22.230769	0	0	289	0	0	0	0	0	0	0	0	0	0	0
Selenot	22.230769	0	0	193	0	0	0	0	0	0	0	0	0	96	0
Pou2f1	22.230769	0	0	0	0	0	0	0	0	0	74	0	0	215	0
Mob2	22.230769	0	0	0	0	0	0	0	0	0	0	0	0	289	0
Ky	22.230769	0	0	0	0	0	0	0	0	0	0	0	0	289	0
Rnasel	22.153846	0	0	105	0	0	0	0	0	0	0	0	0	183	0
Chad	22.153846	0	0	0	0	0	0	0	0	0	0	0	0	288	0
Tmem243	22.076923	0	0	0	0	0	0	0	0	0	0	0	0	287	0
Rbm38	22.076923	0	0	144	0	0	0	0	0	0	0	0	0	143	0
Tyrp1	22.000000	0	0	0	0	0	0	0	0	0	0	0	0	286	0
T2	22.000000	0	0	126	0	0	0	0	0	0	0	0	0	160	0
Pan3	22.000000	0	0	0	0	0	0	0	0	0	0	0	0	286	0
Map2	22.000000	0	0	0	0	0	0	0	0	0	0	0	0	286	0
Tpm3	21.923077	0	0	285	0	0	0	0	0	0	0	0	0	0	0
Rnf130	21.923077	0	0	0	0	0	0	0	0	0	0	0	0	285	0
Lsmem1	21.923077	0	0	203	0	0	0	0	0	0	0	0	0	82	0
Pum1	21.846154	0	0	0	0	0	0	0	0	0	0	0	0	284	0
Pik3cb	21.846154	0	0	284	0	0	0	0	0	0	0	0	0	0	0
Parn	21.846154	0	0	0	0	0	0	0	0	0	0	0	0	284	0
Cnga3	21.846154	0	0	0	0	0	0	0	0	0	0	0	0	284	0
Bfar	21.846154	0	0	0	0	0	0	0	0	0	0	0	0	284	0
Ccdc181	21.769231	0	0	283	0	0	0	0	0	0	0	0	0	0	0
Arhgap12	21.769231	0	0	177	0	0	0	0	0	0	0	0	0	106	0
Ifnar1	21.692308	0	0	0	0	0	0	0	0	0	0	0	0	282	0
D16Ertd472e	21.692308	0	0	0	0	0	0	0	0	0	0	0	0	282	0
Zfp119a	21.615385	0	0	0	0	0	0	0	0	0	0	0	0	281	0
Tbc1d10b	21.615385	0	0	0	0	0	0	0	0	0	0	0	0	281	0
Phb	21.615385	0	0	142	0	0	0	0	0	0	0	0	0	139	0
Mylpf	21.615385	0	0	0	0	0	0	0	0	0	0	0	0	281	0
Mical1	21.615385	0	0	281	0	0	0	0	0	0	0	0	0	0	0
Entpd6	21.615385	0	0	131	0	0	0	0	0	0	0	0	0	150	0
Tagap1	21.538462	0	0	0	0	0	0	0	0	0	0	0	0	280	0
Vmn2r102	21.461538	0	0	0	0	0	0	0	0	0	0	0	0	279	0
Cstad	21.461538	0	0	161	0	0	0	0	0	0	0	0	0	118	0
Cep128	21.461538	0	0	94	0	0	0	0	0	0	0	0	0	185	0
Rabgef1	21.384615	0	0	278	0	0	0	0	0	0	0	0	0	0	0
Ndufs2	21.384615	0	0	160	0	0	0	0	0	0	0	0	0	118	0
Ms4a10	21.384615	0	0	278	0	0	0	0	0	0	0	0	0	0	0
Ing1	21.384615	0	0	0	0	0	0	0	0	0	0	0	0	278	0
Ifit2	21.384615	0	0	278	0	0	0	0	0	0	0	0	0	0	0
Elovl6	21.384615	0	0	175	0	0	0	0	0	0	0	0	0	103	0
Edar	21.384615	0	0	0	0	0	0	0	0	0	0	0	0	278	0
Duxbl3	21.384615	0	0	105	0	0	0	0	0	0	0	0	0	173	0
Duxbl2	21.384615	0	0	105	0	0	0	0	0	0	0	0	0	173	0
Duxbl1	21.384615	0	0	105	0	0	0	0	0	0	0	0	0	173	0
Clnk	21.384615	0	0	0	0	0	0	0	0	0	0	0	0	278	0
Adamts4	21.384615	0	0	160	0	0	0	0	0	0	0	0	0	118	0
Abca7	21.384615	0	0	0	0	0	0	0	0	0	0	0	0	278	0
Smad7	21.307692	0	0	0	0	0	0	0	0	0	0	0	0	277	0
Ppp3ca	21.307692	0	0	149	0	0	0	0	0	0	0	0	0	128	0
Hsd17b13	21.307692	0	0	277	0	0	0	0	0	0	0	0	0	0	0
Gbp11	21.307692	0	0	126	0	0	0	0	0	0	0	0	0	151	0
Serp1	21.230769	0	0	0	0	0	0	0	0	0	0	0	76	200	0
Rpl36	21.230769	0	0	0	0	0	0	0	0	0	0	0	0	276	0
Npm2	21.230769	0	0	0	0	0	0	0	0	0	0	0	0	276	0
N4bp2l2	21.230769	0	0	188	0	0	0	0	0	0	0	0	0	88	0
Mrgprd	21.230769	0	0	156	0	0	0	0	0	0	0	0	0	120	0
Mier1	21.230769	0	0	0	0	0	0	0	0	0	0	0	0	276	0
Micos13	21.230769	0	0	0	0	0	0	0	0	0	0	0	0	276	0
Hdac7	21.230769	0	0	118	0	0	0	0	0	0	0	0	0	158	0
Eif2a	21.230769	0	0	0	0	0	0	0	0	0	0	0	76	200	0
Chchd5	21.230769	0	0	202	0	0	0	0	0	0	0	0	0	74	0
Sft2d3	21.153846	0	0	275	0	0	0	0	0	0	0	0	0	0	0
Ggps1	21.153846	0	0	181	0	0	0	0	0	0	0	0	0	94	0
Gale	21.153846	0	0	137	0	0	0	0	0	0	0	0	0	138	0
Arid4b	21.153846	0	0	181	0	0	0	0	0	0	0	0	0	94	0
Steap2	21.076923	0	0	0	0	0	0	0	0	0	0	0	0	274	0
Prune2	21.076923	0	0	274	0	0	0	0	0	0	0	0	0	0	0
Pdzph1	21.076923	0	0	0	0	0	0	0	0	0	0	0	0	274	0
Auh	21.076923	0	0	0	0	0	0	0	0	0	0	0	0	274	0
Vps37c	21.000000	0	0	273	0	0	0	0	0	0	0	0	0	0	0
Kcnab2	21.000000	0	0	0	0	0	0	0	0	0	0	0	0	273	0
Fam8a1	21.000000	0	0	0	0	0	0	0	0	0	0	0	0	273	0
4930447A16Rik	21.000000	0	0	0	0	0	0	0	0	0	0	0	0	273	0
Myh1	20.923077	0	0	272	0	0	0	0	0	0	0	0	0	0	0
Ints10	20.923077	0	0	74	0	0	0	0	0	0	0	0	0	198	0
Daam1	20.923077	0	0	106	0	0	0	0	0	0	0	0	0	166	0
Bach1	20.923077	0	0	272	0	0	0	0	0	0	0	0	0	0	0
Mtmr7	20.846154	0	0	0	0	0	0	0	0	0	0	0	0	271	0
Hmgb1	20.846154	0	0	0	0	0	0	0	0	0	0	0	0	271	0
Akt2	20.846154	0	0	271	0	0	0	0	0	0	0	0	0	0	0
Tspan9	20.769231	0	0	129	0	0	0	0	0	0	0	0	0	141	0
Serinc2	20.769231	0	0	270	0	0	0	0	0	0	0	0	0	0	0
Rhof	20.769231	0	0	270	0	0	0	0	0	0	0	0	0	0	0
Ip6k3	20.769231	0	0	270	0	0	0	0	0	0	0	0	0	0	0
