Target_genes	Hoxc6|Average	SRX7416176|Embryoid_Bodies	SRX7416177|Embryoid_Bodies	SRX7416192|Embryoid_Bodies	SRX7416193|Embryoid_Bodies	SRX7416201|Embryoid_Bodies	SRX7416202|Embryoid_Bodies	SRX6755620|ES_cells	STRING
Igsf6	61.714286	0	0	0	0	259	173	0	0
Dcbld1	61.714286	0	0	218	214	0	0	0	0
Zfp426	61.571429	0	0	246	185	0	0	0	0
Olfr224	61.571429	0	0	218	91	0	122	0	0
Cdsn	61.571429	0	0	0	0	250	181	0	0
Cdh22	61.571429	0	0	267	164	0	0	0	0
Rpl10	61.428571	0	0	228	202	0	0	0	0
Immt	61.428571	209	0	135	0	0	86	0	0
Grem2	61.428571	0	0	183	247	0	0	0	0
Crppa	61.428571	0	0	192	238	0	0	0	0
Cldn20	61.428571	0	0	0	0	247	183	0	0
Ccdc174	61.428571	0	0	285	145	0	0	0	0
BC024063	61.428571	0	0	134	202	94	0	0	0
Vdac2	61.285714	128	100	201	0	0	0	0	0
Nexmif	61.285714	0	0	297	132	0	0	0	0
Kcnh2	61.285714	0	0	300	0	129	0	0	0
Hmgxb4	61.285714	0	0	0	0	266	163	0	0
Galk2	61.285714	0	0	250	179	0	0	0	0
Echdc3	61.285714	0	0	244	185	0	0	0	0
Cyp4f17	61.285714	0	0	134	166	0	129	0	0
Cops2	61.285714	0	0	250	179	0	0	0	0
Chrna7	61.285714	0	0	0	0	147	282	0	0
Syt13	61.142857	0	0	269	159	0	0	0	0
Slc17a6	61.142857	0	0	0	0	428	0	0	0
Mrpl23	61.142857	0	0	0	0	222	206	0	0
Mfn1	61.142857	0	0	0	0	176	252	0	0
Kcnj4	61.142857	0	0	284	144	0	0	0	0
Gdpd5	61.142857	0	0	237	191	0	0	0	0
Fn1	61.142857	0	0	150	278	0	0	0	0
E2f7	61.142857	0	0	220	208	0	0	0	0
Cdh3	61.142857	0	0	0	0	188	240	0	0
Zfp408	61.000000	0	0	134	152	141	0	0	0
Mtfr1	61.000000	0	0	0	0	222	205	0	0
Dlgap3	61.000000	0	0	0	0	212	215	0	0
Arhgap1	61.000000	0	0	134	152	141	0	0	0
Mvb12a	60.857143	0	0	183	243	0	0	0	0
Dnajb8	60.857143	0	0	165	178	0	83	0	0
Abcg1	60.857143	0	0	0	0	294	132	0	0
Tmub2	60.714286	0	0	282	143	0	0	0	0
Tex19.2	60.714286	0	0	0	0	255	170	0	0
Slc3a2	60.714286	0	0	0	0	216	209	0	0
Cldn34b3	60.714286	0	0	0	0	177	248	0	0
BC048679	60.714286	0	0	0	0	234	191	0	0
Apc	60.714286	0	0	182	126	117	0	0	0
Ap3b2	60.714286	0	0	0	0	234	191	0	0
Pcbp3	60.571429	0	0	148	276	0	0	0	0
Mrpl3	60.571429	0	0	0	0	0	424	0	0
Krtap11-1	60.571429	0	0	230	194	0	0	0	0
Fhl1	60.571429	0	0	246	178	0	0	0	0
Crisp1	60.571429	0	0	0	0	207	217	0	0
Chd3	60.571429	0	0	209	215	0	0	0	0
Zfp69	60.428571	0	0	111	0	135	177	0	0
Zfp384	60.428571	0	0	168	104	151	0	0	0
Vsig1	60.428571	0	0	423	0	0	0	0	0
Utf1	60.428571	0	0	0	0	174	249	0	0
Unc5c	60.428571	0	0	211	212	0	0	0	0
Tmco3	60.428571	0	120	0	0	214	89	0	0
Snap91	60.428571	0	0	256	167	0	0	0	0
Rybp	60.428571	0	0	0	0	133	290	0	0
Dytn	60.428571	0	0	257	166	0	0	0	0
Dcun1d2	60.428571	0	120	0	0	214	89	0	0
Tnfaip6	60.285714	0	0	244	178	0	0	0	0
Slx4ip	60.285714	0	0	142	280	0	0	0	0
Irx6	60.285714	0	0	178	244	0	0	0	0
Zfp64	60.142857	0	0	77	126	218	0	0	0
Prkci	60.142857	0	0	0	0	249	172	0	0
Pgap6	60.142857	0	0	0	0	219	202	0	0
Aanat	60.142857	0	0	231	190	0	0	0	0
Ypel5	60.000000	0	0	0	0	0	420	0	0
Sohlh2	60.000000	0	0	159	261	0	0	0	0
Plch2	60.000000	0	0	226	194	0	0	0	0
Pla2g2e	60.000000	0	0	136	0	208	76	0	0
Gm13030	60.000000	0	0	136	0	208	76	0	0
Thoc1	59.857143	96	196	0	0	127	0	0	0
Spindoc	59.857143	0	0	202	217	0	0	0	0
Creld1	59.857143	0	147	272	0	0	0	0	0
Cd37	59.857143	0	0	111	308	0	0	0	0
Snapc5	59.714286	0	0	153	0	0	265	0	0
Sema3c	59.714286	0	0	239	179	0	0	0	0
Rpl32l	59.714286	0	0	269	149	0	0	0	0
Mat2a	59.714286	0	0	235	183	0	0	0	0
Jak3	59.714286	0	0	0	0	139	279	0	0
Cul2	59.714286	0	123	295	0	0	0	0	0
Wdr47	59.571429	94	0	0	0	323	0	0	0
Smndc1	59.571429	0	0	0	0	0	417	0	0
Rassf5	59.571429	0	0	0	0	178	239	0	0
Nek7	59.571429	0	0	0	0	276	141	0	0
Dtna	59.571429	0	0	251	166	0	0	0	0
Ropn1l	59.428571	0	97	181	138	0	0	0	0
Lgsn	59.428571	0	0	0	0	232	184	0	0
Flnb	59.428571	0	0	208	208	0	0	0	0
Tfe3	59.285714	0	0	0	0	303	112	0	0
Prkcq	59.285714	0	0	0	0	182	233	0	0
Pax5	59.285714	0	159	256	0	0	0	0	0
Kxd1	59.142857	0	0	98	316	0	0	0	0
Fkbp8	59.142857	0	0	98	316	0	0	0	0
Tubb2b	59.000000	0	0	185	129	99	0	0	0
Nptx2	59.000000	0	0	0	0	110	303	0	0
Ndufs8	59.000000	0	0	281	132	0	0	0	0
1700001P01Rik	59.000000	0	0	114	147	0	152	0	0
LOC100861978	58.857143	0	0	181	144	87	0	0	0
Gnrhr	58.857143	0	0	257	155	0	0	0	0
Gm2506	58.857143	0	0	181	144	87	0	0	0
Gm13306	58.857143	0	0	181	144	87	0	0	0
Fubp3	58.857143	0	0	0	0	156	256	0	0
Csnk1g1	58.857143	0	134	168	0	110	0	0	0
Ccl27b	58.857143	0	0	181	144	87	0	0	0
Serpinb1b	58.714286	0	0	0	0	171	240	0	0
Nrep	58.714286	0	0	0	0	0	411	0	0
Fem1al	58.714286	0	0	256	155	0	0	0	0
Ccdc77	58.714286	0	0	206	205	0	0	0	0
Auts2	58.714286	0	0	160	127	124	0	0	0
Gde1	58.571429	0	0	181	111	118	0	0	0
Fam32a	58.571429	0	0	188	0	0	222	0	0
Cobl	58.571429	0	0	269	141	0	0	0	0
Atoh7	58.571429	129	0	157	124	0	0	0	0
Stk38	58.428571	0	0	0	0	255	154	0	0
Rell1	58.428571	0	0	229	0	180	0	0	0
Rd3l	58.428571	0	0	0	0	297	112	0	0
Hk3	58.428571	0	0	0	0	214	195	0	0
Git2	58.428571	0	0	180	229	0	0	0	0
Ankrd13a	58.428571	0	0	180	229	0	0	0	0
Ablim1	58.428571	0	0	284	125	0	0	0	0
Tcaf1	58.285714	0	0	0	0	0	408	0	0
Sult6b2	58.285714	0	0	178	230	0	0	0	0
Qrfprl	58.285714	0	0	0	0	0	408	0	0
Olfr1094	58.285714	0	0	218	190	0	0	0	0
Mindy2	58.285714	59	0	197	0	0	152	0	0
Gm3005	58.285714	0	0	0	0	192	216	0	0
Ehmt2	58.285714	0	0	230	178	0	0	0	0
Trps1	58.142857	0	0	217	190	0	0	0	0
Slc25a33	58.142857	0	0	182	225	0	0	0	0
Ptk2b	58.142857	0	0	0	0	110	297	0	0
Lrrc61	58.142857	0	0	0	123	150	134	0	0
Gpr17	58.142857	0	0	169	238	0	0	0	0
Ube2k	58.000000	0	0	228	178	0	0	0	0
Sox5	58.000000	0	0	145	261	0	0	0	0
Smim14	58.000000	0	0	228	178	0	0	0	0
Nphs2	58.000000	0	0	0	0	136	270	0	0
Hsf2	58.000000	0	0	126	124	156	0	0	0
Cd96	58.000000	0	0	143	263	0	0	0	0
Sstr1	57.857143	0	0	0	0	286	119	0	0
Lmo7	57.857143	0	0	0	0	159	246	0	0
Adgrb2	57.857143	0	0	0	0	159	246	0	0
Tcf21	57.714286	0	0	169	132	0	103	0	0
Catspere2	57.714286	0	0	0	0	181	223	0	0
Atad2	57.714286	0	0	146	0	108	150	0	0
Xkr4	57.571429	0	0	268	135	0	0	0	0
Ptpdc1	57.571429	0	0	0	135	0	268	0	0
Gzf1	57.571429	0	0	0	0	218	185	0	0
Dcaf15	57.571429	0	0	111	292	0	0	0	0
Cfhr3	57.571429	0	0	0	0	216	187	0	0
Tnnt2	57.428571	0	0	204	198	0	0	0	0
Rsbn1	57.428571	0	0	78	79	108	137	0	0
Lonrf1	57.428571	0	0	0	0	402	0	0	0
Zfp3	57.285714	0	0	0	0	290	111	0	0
Vps13c	57.285714	132	0	269	0	0	0	0	0
Sdhaf1	57.285714	0	0	145	0	123	133	0	0
Pik3r4	57.285714	0	0	145	132	124	0	0	0
Nek1	57.285714	0	0	279	122	0	0	0	0
Chst2	57.285714	0	0	0	0	305	96	0	0
A730046J19Rik	57.285714	0	0	177	140	0	84	0	0
Tmem238	57.142857	0	0	213	187	0	0	0	0
Rpl28	57.142857	0	0	213	187	0	0	0	0
Gstp2	57.142857	0	0	218	0	182	0	0	0
Gm527	57.142857	0	0	180	220	0	0	0	0
Slc6a12	57.000000	0	0	0	0	194	205	0	0
Slc12a2	57.000000	0	0	0	0	256	143	0	0
Nr2f6	57.000000	0	0	201	198	0	0	0	0
Mcc	57.000000	0	0	0	111	142	146	0	0
Ifit2	57.000000	0	0	181	121	97	0	0	0
Gm14124	57.000000	0	0	0	0	253	146	0	0
D830030K20Rik	57.000000	0	0	0	0	258	141	0	0
Ranbp2	56.857143	0	0	100	298	0	0	0	0
Kcnj10	56.857143	0	0	0	0	193	205	0	0
Fgfbp3	56.857143	0	0	246	152	0	0	0	0
Acer3	56.857143	0	0	0	0	249	149	0	0
Zfp827	56.714286	0	0	236	161	0	0	0	0
Syt3	56.714286	0	0	0	0	234	163	0	0
Lzts2	56.714286	0	0	283	114	0	0	0	0
Klhl1	56.714286	0	0	190	207	0	0	0	0
Gucy1a1	56.714286	0	0	248	149	0	0	0	0
Gm14139	56.714286	0	0	0	0	294	103	0	0
Bpifb1	56.714286	0	0	231	166	0	0	0	0
Sec22b	56.571429	0	0	0	0	0	0	396	0
Mob3b	56.571429	0	0	0	0	252	144	0	0
Inpp4b	56.571429	0	0	231	165	0	0	0	0
Ifnk	56.571429	0	0	0	0	252	144	0	0
Zfp84	56.428571	0	0	169	226	0	0	0	0
Trim24	56.428571	0	0	150	88	157	0	0	0
Stap1	56.428571	0	0	395	0	0	0	0	0
Nkain2	56.428571	0	0	168	227	0	0	0	0
Mettl26	56.428571	0	0	217	178	0	0	0	0
Mcrip2	56.428571	0	0	217	178	0	0	0	0
Kdm8	56.428571	0	0	193	202	0	0	0	0
H2az1	56.428571	0	0	153	119	123	0	0	0
Gm6729	56.428571	0	0	181	214	0	0	0	0
Gm5724	56.428571	0	0	0	0	197	198	0	0
Dnajb14	56.428571	0	0	153	119	123	0	0	0
Aoc3	56.428571	0	0	0	0	211	184	0	0
Myc	56.285714	0	0	0	0	234	160	0	0
Mid2	56.285714	0	0	154	240	0	0	0	0
Ints13	56.285714	0	0	178	138	78	0	0	0
Gm11634	56.285714	0	0	0	0	169	225	0	0
Fgfr1op2	56.285714	0	0	178	138	78	0	0	0
Cbx7	56.285714	0	0	0	0	219	175	0	0
Pabpn1	56.142857	0	0	251	142	0	0	0	0
Ift27	56.142857	0	0	221	172	0	0	0	0
Calr4	56.142857	0	0	0	0	234	159	0	0
Myo18a	56.000000	0	0	0	0	218	174	0	0
Mrpl11	56.000000	0	0	228	164	0	0	0	0
Elovl7	56.000000	0	0	0	0	178	214	0	0
Dync1li2	56.000000	159	0	111	122	0	0	0	0
Dmrta2	56.000000	0	0	220	172	0	0	0	0
Ctps	56.000000	0	0	127	0	132	133	0	0
Katnal2	55.857143	0	0	144	0	247	0	0	0
Gm3667	55.857143	0	0	0	120	135	136	0	0
Fam162a	55.857143	0	0	0	0	193	198	0	0
Ccdc58	55.857143	0	0	0	0	193	198	0	0
Zfp712	55.714286	0	0	258	132	0	0	0	0
Maml3	55.714286	0	0	218	172	0	0	0	0
Crocc	55.714286	0	0	200	190	0	0	0	0
Ckap5	55.714286	0	0	256	134	0	0	0	0
Pla2g6	55.571429	0	0	154	235	0	0	0	0
Pcsk6	55.571429	0	0	0	0	151	238	0	0
Pabpc2	55.571429	0	0	0	0	389	0	0	0
Hmox2	55.571429	130	0	259	0	0	0	0	0
Fgf10	55.571429	0	0	191	198	0	0	0	0
C2cd4d	55.571429	0	0	257	132	0	0	0	0
Ttc21b	55.285714	0	0	206	181	0	0	0	0
Stxbp5l	55.285714	0	0	246	141	0	0	0	0
Spryd3	55.285714	0	0	0	0	387	0	0	0
Cdc20b	55.285714	0	0	0	0	203	184	0	0
Ap1m1	55.285714	128	0	122	137	0	0	0	0
Ptger4	55.142857	0	0	208	178	0	0	0	0
Prr19	55.142857	0	0	0	0	274	112	0	0
Olfr891	55.142857	120	0	134	132	0	0	0	0
Dtwd2	55.142857	0	0	0	0	132	254	0	0
Zdhhc16	55.000000	0	0	205	180	0	0	0	0
Tomm40	55.000000	0	0	145	82	0	158	0	0
Tmem145	55.000000	0	0	0	0	274	111	0	0
Plscr1	55.000000	0	0	0	122	117	146	0	0
Myf5	55.000000	0	0	0	0	223	162	0	0
H2al2a	55.000000	0	0	241	144	0	0	0	0
Exosc1	55.000000	0	0	205	180	0	0	0	0
Defb11	55.000000	0	0	0	0	117	268	0	0
Hnrnpa1	54.857143	0	0	176	208	0	0	0	0
Epg5	54.857143	0	0	206	178	0	0	0	0
Niban1	54.714286	0	0	193	190	0	0	0	0
Ifna13	54.714286	0	0	201	182	0	0	0	0
Tfpt	54.571429	0	0	122	166	0	94	0	0
Prpf31	54.571429	0	0	122	166	0	94	0	0
Osr2	54.571429	0	0	0	0	144	238	0	0
Npr2	54.571429	0	0	156	117	109	0	0	0
Krtap9-5	54.571429	0	0	0	0	181	201	0	0
Golph3	54.571429	0	0	235	147	0	0	0	0
Enkd1	54.571429	0	0	122	132	128	0	0	0
4933405L10Rik	54.571429	0	0	122	132	128	0	0	0
Samd8	54.428571	0	0	147	104	0	130	0	0
Brd1	54.428571	0	0	0	0	218	163	0	0
Arhgap32	54.428571	0	0	0	0	155	226	0	0
Tssk3	54.285714	0	0	0	0	160	220	0	0
Ppp1r37	54.285714	0	153	0	122	105	0	0	0
Klf3	54.285714	0	0	254	126	0	0	0	0
Fam229a	54.285714	0	0	0	0	160	220	0	0
Ado	54.285714	0	0	242	138	0	0	0	0
Zfp689	54.142857	0	0	154	128	97	0	0	0
Osbpl1a	54.142857	0	0	255	0	0	124	0	0
Aco1	54.142857	0	0	214	165	0	0	0	0
Zfand5	54.000000	0	0	205	173	0	0	0	0
Tm9sf4	54.000000	0	0	145	91	0	142	0	0
Olfr541	54.000000	0	0	0	0	150	228	0	0
Ica1l	54.000000	0	0	122	144	0	112	0	0
Ctla4	54.000000	0	0	0	0	172	206	0	0
Cd6	54.000000	197	0	181	0	0	0	0	0
Zfp52	53.857143	0	0	0	0	116	261	0	0
Triml2	53.857143	0	0	0	0	236	141	0	0
Nr1i3	53.857143	0	0	0	0	204	173	0	0
Eya1	53.857143	132	0	0	245	0	0	0	0
Dync1li1	53.857143	0	0	118	0	142	117	0	0
Bphl	53.857143	0	0	0	0	278	99	0	0
Adh7	53.857143	0	0	0	0	239	138	0	0
Abcd4	53.857143	0	0	0	0	157	220	0	0
Tedc2	53.714286	0	0	0	190	186	0	0	0
Pcgf5	53.714286	0	0	0	0	244	132	0	0
Ogfrl1	53.714286	0	0	186	190	0	0	0	0
Map1b	53.714286	0	0	192	184	0	0	0	0
Cfap44	53.714286	0	0	223	153	0	0	0	0
Thrap3	53.571429	0	0	213	162	0	0	0	0
Sulf2	53.571429	0	0	229	146	0	0	0	0
Smarcad1	53.571429	0	0	154	221	0	0	0	0
Pip5k1b	53.571429	0	0	0	0	234	141	0	0
Olfr825	53.571429	0	0	231	144	0	0	0	0
Tas2r109	53.428571	0	0	0	0	0	374	0	0
Slc38a4	53.428571	0	0	0	0	177	197	0	0
Prpf8	53.428571	0	0	83	162	129	0	0	0
Kmt2e	53.428571	0	0	242	132	0	0	0	0
Grb10	53.428571	0	0	0	0	374	0	0	0
Aqp11	53.428571	0	0	0	0	159	215	0	0
Pgap1	53.285714	0	0	0	132	0	241	0	0
Tex19.1	53.142857	0	0	228	144	0	0	0	0
Smad3	53.142857	0	0	0	0	191	181	0	0
Nufip2	53.142857	0	0	177	195	0	0	0	0
Lipt1	53.142857	0	0	217	155	0	0	0	0
Isoc2b	53.142857	0	0	0	0	118	254	0	0
Ffar4	53.142857	0	0	0	0	215	157	0	0
Fbxo22	53.142857	0	0	207	165	0	0	0	0
Fam102b	53.142857	0	0	0	0	372	0	0	0
Coro6	53.142857	0	0	0	0	193	179	0	0
Bambi	53.142857	166	0	206	0	0	0	0	0
9130409I23Rik	53.142857	0	0	0	0	0	372	0	0
Uba6	53.000000	0	0	256	115	0	0	0	0
Rbfox3	53.000000	0	0	212	159	0	0	0	0
Lypla1	53.000000	0	0	0	0	371	0	0	0
Laptm4a	53.000000	0	0	135	236	0	0	0	0
Gnas	53.000000	0	0	0	0	120	251	0	0
Fxyd2	53.000000	0	0	0	0	0	371	0	0
Flywch1	53.000000	101	105	165	0	0	0	0	0
Efcab10	53.000000	0	0	193	178	0	0	0	0
Cdhr3	53.000000	0	0	193	178	0	0	0	0
Apol7b	53.000000	0	0	0	0	0	371	0	0
Abca4	53.000000	0	0	0	0	208	163	0	0
Vangl1	52.857143	0	0	0	0	229	141	0	0
Tlr11	52.857143	0	0	0	0	207	163	0	0
Olfr52	52.857143	0	0	0	0	107	263	0	0
Nuf2	52.857143	0	0	245	125	0	0	0	0
Kif20b	52.857143	0	0	123	0	120	127	0	0
Zfp219	52.714286	0	0	0	0	196	173	0	0
Sfr1	52.714286	0	0	138	231	0	0	0	0
Lactbl1	52.714286	0	0	101	0	135	133	0	0
Icos	52.714286	0	0	0	0	369	0	0	0
Git1	52.714286	0	0	140	107	122	0	0	0
Ankrd13b	52.714286	0	0	140	107	122	0	0	0
Twist2	52.571429	0	0	0	0	164	204	0	0
Ptbp1	52.571429	0	0	210	158	0	0	0	0
Cnot3	52.571429	0	0	204	164	0	0	0	0
Cd8a	52.428571	0	0	0	0	125	242	0	0
Tm9sf3	52.285714	0	0	0	0	366	0	0	0
Slc39a10	52.285714	0	0	0	113	93	160	0	0
Robo3	52.285714	0	0	0	0	174	192	0	0
Ring1	52.285714	0	0	184	182	0	0	0	0
Nck2	52.285714	0	0	97	127	142	0	0	0
Lyrm4	52.285714	139	0	0	142	85	0	0	0
Krt39	52.285714	0	0	0	0	138	228	0	0
H2-Ke6	52.285714	0	0	184	182	0	0	0	0
Fh1	52.285714	0	0	151	215	0	0	0	0
Fars2	52.285714	139	0	0	142	85	0	0	0
Nrsn1	52.142857	0	0	0	0	243	122	0	0
Gclc	52.142857	0	0	0	0	165	200	0	0
Saxo2	52.000000	0	0	193	171	0	0	0	0
Plxna4	52.000000	0	0	215	149	0	0	0	0
Efl1	52.000000	0	0	193	171	0	0	0	0
Dctn4	52.000000	0	0	142	135	87	0	0	0
Dact1	52.000000	0	0	0	0	239	125	0	0
Cd300ld3	52.000000	0	0	0	0	245	119	0	0
Abcf2	52.000000	0	0	218	146	0	0	0	0
Zfp286	51.857143	221	0	0	0	0	142	0	0
Fiz1	51.857143	0	0	147	0	216	0	0	0
Ext2	51.857143	0	0	181	182	0	0	0	0
Cybb	51.857143	0	0	0	0	363	0	0	0
2610528A11Rik	51.857143	182	0	181	0	0	0	0	0
Slc38a10	51.714286	0	0	228	134	0	0	0	0
Mief1	51.714286	173	0	189	0	0	0	0	0
Gm2897	51.714286	0	0	0	0	164	198	0	0
Angptl6	51.714286	153	98	111	0	0	0	0	0
Siah2	51.571429	0	0	226	135	0	0	0	0
Rc3h2	51.571429	0	0	176	185	0	0	0	0
Olfr414	51.571429	0	0	0	0	0	361	0	0
Krt24	51.571429	0	0	0	144	0	217	0	0
Got1	51.571429	0	0	145	130	86	0	0	0
Cacna2d2	51.571429	0	0	156	0	0	205	0	0
Pcm1	51.428571	0	0	231	129	0	0	0	0
Mkks	51.428571	0	0	142	218	0	0	0	0
Adad2	51.428571	0	0	134	226	0	0	0	0
Ube2e1	51.285714	0	0	122	0	125	112	0	0
Raver1	51.285714	0	0	0	0	148	211	0	0
Rabgef1	51.285714	0	0	0	0	176	183	0	0
Gpr55	51.285714	0	0	0	0	131	228	0	0
Gm10654	51.285714	0	0	181	178	0	0	0	0
Fyco1	51.285714	0	103	0	0	0	256	0	0
Ctbs	51.285714	0	0	194	165	0	0	0	0
Tgfbrap1	51.142857	0	83	157	118	0	0	0	0
Tbc1d9b	51.142857	0	0	247	111	0	0	0	0
Mical2	51.142857	0	0	175	183	0	0	0	0
Mfap3l	51.142857	0	0	0	0	171	187	0	0
Mctp2	51.142857	0	0	0	0	136	222	0	0
Hnrnpr	51.142857	0	0	0	0	194	164	0	0
Cwf19l2	51.142857	0	0	193	165	0	0	0	0
Chek1	51.142857	0	0	0	0	358	0	0	0
AI597479	51.142857	0	83	157	118	0	0	0	0
Parvb	51.000000	0	0	176	181	0	0	0	0
Olfr506	51.000000	0	0	0	0	222	135	0	0
Cenpu	51.000000	0	0	357	0	0	0	0	0
Angptl1	51.000000	0	0	164	193	0	0	0	0
Ncoa6	50.857143	0	0	0	0	193	163	0	0
Mapk10	50.857143	0	0	224	132	0	0	0	0
Kctd15	50.857143	0	0	236	120	0	0	0	0
Il18	50.857143	0	0	0	0	213	143	0	0
Gm3739	50.857143	0	0	0	0	205	151	0	0
Cdk11b	50.857143	0	0	0	0	119	237	0	0
Bco2	50.857143	0	0	0	0	213	143	0	0
Smoc2	50.714286	0	0	0	0	205	150	0	0
Ncor2	50.714286	0	0	0	0	152	203	0	0
1810037I17Rik	50.714286	0	0	244	111	0	0	0	0
Zfp78	50.571429	0	0	0	0	124	230	0	0
Usp28	50.571429	0	0	0	0	170	184	0	0
Tmed10	50.571429	0	0	205	149	0	0	0	0
Sirt7	50.571429	0	0	111	243	0	0	0	0
Ptbp3	50.571429	0	0	259	95	0	0	0	0
Olfml3	50.571429	0	0	114	240	0	0	0	0
Cox7c	50.571429	0	0	225	129	0	0	0	0
Caskin1	50.571429	0	0	194	160	0	0	0	0
Naa35	50.428571	0	0	154	199	0	0	0	0
Il1rn	50.428571	0	0	353	0	0	0	0	0
Glrx3	50.428571	0	0	208	145	0	0	0	0
Cald1	50.428571	0	0	0	0	192	161	0	0
Slc43a2	50.285714	0	0	0	0	143	209	0	0
Sh2d3c	50.285714	0	0	241	111	0	0	0	0
Slc26a4	50.142857	0	0	0	0	208	143	0	0
Piwil1	50.142857	0	0	0	0	124	227	0	0
H2-DMa	50.142857	0	0	0	0	138	213	0	0
Gtpbp10	50.142857	0	0	102	140	0	109	0	0
Brd2	50.142857	0	0	0	0	138	213	0	0
Tcte2	50.000000	0	0	212	138	0	0	0	0
Speer4d	50.000000	0	0	166	184	0	0	0	0
Siglec1	50.000000	0	0	206	144	0	0	0	0
Il6st	50.000000	0	0	0	0	208	142	0	0
Fgf9	50.000000	0	0	208	142	0	0	0	0
Eef2	50.000000	0	0	174	176	0	0	0	0
Ccng2	50.000000	0	0	140	210	0	0	0	0
Afdn	50.000000	0	0	212	138	0	0	0	0
Usp15	49.857143	0	0	130	219	0	0	0	0
Ola1	49.857143	0	0	0	0	0	349	0	0
Kif5a	49.857143	0	0	0	0	221	128	0	0
Fgf14	49.857143	0	0	0	0	156	193	0	0
Ell	49.857143	0	0	183	0	166	0	0	0
Dctn2	49.857143	0	0	0	0	221	128	0	0
Cyp46a1	49.857143	0	0	0	0	0	349	0	0
Cep85l	49.857143	0	0	176	173	0	0	0	0
Atp1b2	49.857143	0	0	0	0	222	127	0	0
Tro	49.714286	0	0	193	155	0	0	0	0
Slc16a13	49.714286	0	0	0	0	233	115	0	0
Pcsk1n	49.714286	0	0	193	155	0	0	0	0
Pcare	49.714286	0	0	134	214	0	0	0	0
Lrrc58	49.714286	0	0	179	169	0	0	0	0
Gm36028	49.714286	0	0	179	169	0	0	0	0
Bbc3	49.714286	0	0	96	252	0	0	0	0
Arl8b	49.714286	0	0	0	0	167	181	0	0
Oaz1	49.571429	0	0	161	186	0	0	0	0
Fgd5	49.571429	0	0	157	190	0	0	0	0
Defb21	49.571429	0	0	169	178	0	0	0	0
Defb19	49.571429	0	0	169	178	0	0	0	0
Clec2f	49.571429	0	0	145	202	0	0	0	0
Cib3	49.571429	0	0	0	0	0	0	347	0
Ccl4	49.571429	0	0	0	0	107	240	0	0
Ubqln1	49.428571	0	0	0	0	139	207	0	0
Gng13	49.428571	0	0	0	0	156	190	0	0
Ggta1	49.428571	0	0	0	0	181	165	0	0
Aknad1	49.428571	0	0	0	0	262	84	0	0
Snorc	49.285714	0	0	0	0	184	161	0	0
Romo1	49.285714	0	0	185	160	0	0	0	0
Nfs1	49.285714	0	0	185	160	0	0	0	0
Chd9	49.285714	0	0	0	0	227	118	0	0
Akap13	49.285714	0	0	131	0	214	0	0	0
Otud1	49.142857	0	0	0	0	175	169	0	0
Lypd11	49.142857	0	0	0	0	344	0	0	0
Adamts18	49.142857	0	0	200	144	0	0	0	0
Ttc30a1	49.000000	0	0	0	0	150	193	0	0
St6galnac1	49.000000	0	0	168	175	0	0	0	0
Slc5a1	49.000000	0	0	0	0	157	186	0	0
Rbm5	49.000000	0	0	175	168	0	0	0	0
Pi4k2b	49.000000	0	0	0	114	0	229	0	0
Flt1	49.000000	0	0	0	0	179	164	0	0
Vgf	48.857143	0	0	0	0	213	129	0	0
Tmem130	48.857143	0	0	129	0	142	71	0	0
Nmd3	48.857143	0	0	0	192	0	150	0	0
Eif2ak3	48.857143	0	0	0	0	164	178	0	0
Dpysl3	48.857143	0	0	196	146	0	0	0	0
Slc37a2	48.714286	0	0	225	116	0	0	0	0
Scoc	48.714286	0	0	0	0	138	203	0	0
Med9	48.714286	0	0	134	111	96	0	0	0
Zfp938	48.571429	0	0	0	0	208	132	0	0
Mthfs	48.571429	0	0	186	154	0	0	0	0
Matr3	48.571429	0	0	187	153	0	0	0	0
Nbdy	48.428571	0	0	181	158	0	0	0	0
Wdr54	48.285714	0	0	157	181	0	0	0	0
Tor4a	48.285714	0	0	0	0	192	146	0	0
Rpl32	48.285714	0	0	182	156	0	0	0	0
Ralgds	48.285714	0	0	217	121	0	0	0	0
Rab33b	48.285714	140	106	92	0	0	0	0	0
Peg12	48.285714	0	0	0	97	95	146	0	0
Nova1	48.285714	0	0	116	96	0	126	0	0
Kdm6b	48.285714	0	0	221	117	0	0	0	0
1700003E16Rik	48.285714	0	0	157	181	0	0	0	0
Tspan3	48.142857	0	0	0	161	0	176	0	0
Rev1	48.142857	0	0	109	0	0	228	0	0
Psmg2	48.142857	77	0	0	0	161	99	0	0
Enc1	48.142857	0	0	0	0	191	146	0	0
Cep76	48.142857	77	0	0	0	161	99	0	0
B3gat1	48.142857	0	0	193	144	0	0	0	0
Zfand6	48.000000	0	0	253	83	0	0	0	0
Wfdc21	48.000000	0	0	0	0	0	336	0	0
Ust	48.000000	0	0	181	155	0	0	0	0
Sbno1	48.000000	0	0	204	132	0	0	0	0
Olfr750	48.000000	0	0	141	0	0	195	0	0
Heatr6	48.000000	0	0	0	0	0	336	0	0
Arap2	48.000000	0	0	204	132	0	0	0	0
Akr1c14	48.000000	0	0	0	0	214	122	0	0
Zfp189	47.857143	0	0	141	194	0	0	0	0
Vmn1r71	47.857143	0	0	157	178	0	0	0	0
Trerf1	47.857143	0	0	157	178	0	0	0	0
