Target_genes	Irf8|Average	SRX1091122|B_cells	SRX1091123|B_cells	SRX1091124|B_cells	SRX8994281|B_cells	SRX8994282|B_cells	SRX8994283|B_cells	SRX8994284|B_cells	SRX172328|CD4+_T_cells	SRX172329|CD4+_T_cells	DRX026000|Common_dendritic_cell_progenitor	DRX049475|Common_dendritic_cell_progenitor	DRX025997|Common_monocyte_progenitors	SRX14466997|Dendritic_Cells	SRX3380965|Dendritic_Cells	SRX3380966|Dendritic_Cells	SRX3380967|Dendritic_Cells	SRX3380968|Dendritic_Cells	SRX3380969|Dendritic_Cells	SRX3380970|Dendritic_Cells	SRX391769|Dendritic_Cells	SRX391770|Dendritic_Cells	SRX391771|Dendritic_Cells	SRX742830|Dendritic_Cells	SRX8241994|Dendritic_Cells	SRX8241995|Dendritic_Cells	SRX956767|Dendritic_Cells	DRX025996|Granulocytic-monocytic_progenitors	SRX5056008|Hematopoietic_progenitors	SRX5056009|Hematopoietic_progenitors	DRX025998|Macrophage-dendritic_cell_progenitor	DRX083360|Macrophage-dendritic_cell_progenitor	DRX083361|Macrophage-dendritic_cell_progenitor	DRX111908|Macrophages	SRX1072349|Macrophages	SRX1583880|Macrophages	SRX1583881|Macrophages	SRX1583882|Macrophages	SRX498816|Macrophages	SRX498817|Macrophages	SRX498818|Macrophages	SRX498819|Macrophages	SRX498820|Macrophages	SRX498821|Macrophages	SRX8241996|Monocytes	SRX8241997|Monocytes	SRX14466989|Plasmacytoid_dendritic_cells	SRX742831|Plasmacytoid_dendritic_cells	SRX956775|Plasmacytoid_dendritic_cells	SRX5507840|Spleen_and_lymph_nodes	SRX5507841|Spleen_and_lymph_nodes	SRX2359705|Thymic_epithelial_cells	SRX2359706|Thymic_epithelial_cells	SRX155383|Tot2	DRX025999|Unclassified	DRX049470|Unclassified	DRX049471|Unclassified	STRING
Psme4	21.071429	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	122	0	177	175	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	318	0	0	0	0	0	0	0
Dusp26	21.071429	0	0	0	0	0	0	0	0	0	0	0	0	0	150	130	189	187	338	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5	21.053571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	201	0	223	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	79	269	0	0	0	0	0	0	0
Septin5	21.053571	0	0	0	0	0	0	0	0	0	0	0	0	0	206	245	243	162	211	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr155	21.053571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	214	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	516	0	0	0	0	0	0	0
Dock7	21.053571	0	0	0	0	0	0	0	0	0	0	0	0	0	215	115	132	144	220	187	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Icosl	21.035714	0	0	0	0	0	0	0	0	0	0	0	0	222	134	151	0	124	191	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	145	0	0	0	0	0	0	0
Sfxn2	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	236	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	88	0	0	0	0	0	0	0
Serp1	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	768	0	0	0	0	0	0	0
Eif2a	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	768	0	0	0	0	0	0	0
Arvcf	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	0	226	196	0	0	371	245	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl3	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	236	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	88	0	0	0	0	0	0	0
Adm	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	0	116	191	146	134	300	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0
6430548M08Rik	21.017857	0	0	0	0	0	0	0	0	0	0	0	0	0	158	271	274	225	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif5	21.000000	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	771	0	0	0	0	0	0	0
4833420G17Rik	20.982143	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	101	224	191	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	318	0	0	0	0	0	0	0
Acod1	20.964286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	273	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0
Moxd2	20.946429	0	0	0	0	0	0	0	0	156	0	0	0	151	116	0	0	84	298	229	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgef1b	20.928571	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	104	146	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	505	0	0	0	0	0	0	0
Cuedc1	20.928571	0	0	0	0	0	0	0	0	0	0	0	0	0	202	127	164	0	303	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0
Sike1	20.892857	0	0	0	0	0	0	0	0	0	0	0	0	147	173	154	0	112	222	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0
Hpgd	20.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	166	174	102	171	241	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hint2	20.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	108	0	180	166	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ing2	20.875000	0	0	0	0	0	0	0	0	0	0	0	0	220	157	134	96	199	193	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tead1	20.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	247	177	118	111	298	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnttip2	20.857143	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0	173	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0
Trappc4	20.839286	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	148	0	145	120	222	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	152	0	0	0	0	0	0	0
Rps25	20.839286	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	148	0	145	120	222	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	152	0	0	0	0	0	0	0
Mrps9	20.839286	0	0	0	0	0	0	0	0	0	0	0	0	0	228	111	194	288	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0
Cfap53	20.821429	0	0	0	0	0	0	0	0	0	0	0	0	0	177	108	128	135	324	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syce2	20.803571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	164	166	359	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0
Btbd7	20.803571	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	163	135	178	118	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0
Asb4	20.803571	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	160	143	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nubp1	20.785714	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	127	0	212	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc43	20.785714	0	0	0	0	0	0	0	0	0	0	0	0	404	0	118	101	0	252	192	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Washc2	20.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	77	175	143	157	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	307	0	0	0	0	0	0	0
Tmem249	20.767857	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	121	0	201	0	204	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0
Slc52a2	20.767857	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	121	0	201	0	204	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0
Sipa1l2	20.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	122	0	114	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	209	418	0	0	0	0	0	0	0
Pik3ca	20.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	163	152	120	0	305	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Fbxl6	20.767857	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	121	0	201	0	204	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0
Spred1	20.750000	0	0	0	0	0	0	0	0	0	0	0	0	94	112	0	0	107	98	136	116	0	172	0	0	109	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
Zdhhc1	20.732143	0	0	0	0	0	0	0	0	0	0	0	0	0	191	136	261	186	291	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp24	20.732143	0	0	0	0	0	0	0	0	0	0	0	0	0	166	130	165	115	204	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	101	0	0	0	0	0	0	0
Tmem184b	20.732143	0	0	0	0	0	0	0	0	0	0	0	0	0	141	146	134	156	244	164	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm8	20.732143	0	0	0	0	0	0	0	0	0	0	0	0	0	165	155	198	334	144	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp974	20.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	152	102	111	0	169	155	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab10	20.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	185	86	154	203	215	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0
Ddx55	20.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	83	169	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	469	0	0	0	0	0	0	0
Acp5	20.714286	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	497	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snap29	20.696429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	138	0	0	213	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0
Pi4ka	20.696429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	138	0	0	213	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0
AB010352	20.696429	0	0	0	0	0	0	0	0	0	0	0	0	0	170	100	100	178	302	125	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab28	20.678571	0	0	0	0	0	0	0	0	0	0	0	0	0	210	114	183	175	185	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0
Crk	20.678571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	341	162	202	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0
A3galt2	20.678571	0	0	0	0	0	0	0	0	0	0	0	0	0	143	130	132	233	336	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prpf8	20.660714	0	0	0	0	0	0	0	0	0	0	0	0	0	169	197	243	117	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0
Cxxc4	20.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	251	133	159	187	298	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa4	20.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	115	205	130	153	267	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ehd4	20.625000	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	140	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	91	383	0	0	0	0	0	0	0
Wfdc13	20.607143	0	0	0	0	0	0	0	0	0	0	0	0	0	116	136	108	92	333	104	150	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hrob	20.607143	0	0	0	0	0	0	0	0	0	0	0	0	210	0	155	172	0	161	0	189	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf6l	20.589286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	217	176	0	0	0	243	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm34	20.589286	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	138	0	0	0	192	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	83	0	0	176	0	0	0	0	0	0	0
Crygn	20.589286	0	0	0	0	0	0	0	0	0	0	0	0	0	288	115	207	273	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vamp4	20.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	185	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	145	0	0	0	0	0	0	0	0	104	0	137	248	0	0	0	0	0	0	0
Akirin1	20.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	99	208	343	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0
Supt7l	20.553571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	217	163	148	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
Slc4a1ap	20.553571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	217	163	148	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
Gpr176	20.553571	0	0	0	0	0	0	0	0	0	0	0	0	0	187	172	207	240	225	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clp1	20.553571	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	215	0	484	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saal1	20.535714	0	0	0	0	0	0	0	0	0	0	0	0	0	132	141	110	170	280	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0
Nfkbiz	20.535714	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	219	453	0	0	0	0	0	0	0
Icos	20.535714	0	0	0	0	0	0	0	0	0	0	0	0	0	158	162	114	161	323	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarcc2	20.517857	0	0	0	0	0	0	0	0	0	0	0	0	0	193	170	158	251	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0
Mlxipl	20.517857	0	0	0	0	0	0	0	0	0	0	0	0	0	142	136	231	188	254	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx52	20.517857	0	0	0	0	0	0	0	0	0	0	0	0	0	133	92	179	100	218	136	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0
Kif22	20.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	99	135	104	197	136	0	251	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0
Bcl2l13	20.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	760	0	0	0	0	0	0	0
Acer1	20.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	256	145	153	167	201	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp800	20.482143	0	0	0	0	0	0	0	0	0	0	0	0	0	122	141	154	216	205	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	119	0	0	0	0	0	0	0
Ushbp1	20.482143	0	0	0	0	0	0	0	0	0	0	0	0	0	215	145	163	182	275	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Babam1	20.482143	0	0	0	0	0	0	0	0	0	0	0	0	0	215	145	163	182	275	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp709	20.464286	0	0	0	0	0	0	0	0	0	0	0	0	0	202	105	322	360	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sct	20.464286	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	365	0	330	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp1a	20.464286	0	0	0	0	0	0	0	0	0	0	0	0	0	155	158	148	0	222	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	237	0	0	0	0	0	0	0
Cdhr5	20.464286	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	365	0	330	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsfl1c	20.446429	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	110	526	0	0	0	0	0	0	0
Cntln	20.446429	0	0	0	0	0	0	0	0	0	0	0	0	0	161	194	204	152	198	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprg	20.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	108	224	153	220	164	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pan3	20.428571	0	0	0	0	0	0	0	0	0	0	0	0	221	106	0	100	83	145	0	243	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0
Topaz1	20.410714	0	0	0	0	0	0	0	0	0	0	0	0	0	195	174	189	171	252	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp10	20.410714	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	103	0	0	0	0	122	0	0	165	0	0	0	0	0	0	0
Mchr1	20.410714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elac1	20.410714	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	77	122	121	215	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0
Eif3f	20.410714	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	103	0	0	0	0	122	0	0	165	0	0	0	0	0	0	0
Txndc11	20.392857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	209	77	0	0	0	0	0	0	0	0	138	403	0	0	0	0	0	0	0
Klhdc1	20.357143	0	0	0	0	0	0	0	0	0	0	0	0	0	188	102	242	196	277	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnj10	20.357143	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst11	20.357143	0	0	0	0	0	0	0	0	0	0	0	0	280	209	101	113	0	105	119	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310061I04Rik	20.357143	0	0	0	0	0	0	0	0	0	0	0	0	0	164	168	185	125	327	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp703	20.339286	0	0	0	0	0	0	0	0	0	0	0	0	0	128	120	0	0	196	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	322	0	0	0	0	0	0	0
Xpc	20.339286	0	0	0	0	0	0	0	0	0	0	0	0	0	187	164	109	165	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	77	0	0	140	0	0	0	0	0	0	0
Lsm3	20.339286	0	0	0	0	0	0	0	0	0	0	0	0	0	187	164	109	165	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	77	0	0	140	0	0	0	0	0	0	0
