Target_genes	Usf1|Average	SRX142512|C2C12	SRX142513|C2C12	SRX6784089|CH12	SRX6784090|CH12	SRX5027410|ES_cells	SRX6784044|MEL	SRX6784045|MEL	STRING
Agk	113.714286	90	123	111	0	0	193	279	0
Pmpcb	113.571429	118	108	0	0	229	214	126	0
Pdpr	113.428571	0	0	109	0	0	365	320	0
Napg	113.428571	0	0	0	0	0	293	501	0
Cd28	113.428571	216	147	208	223	0	0	0	0
Tgm1	113.285714	0	320	0	0	0	232	241	0
Spata5l1	113.285714	0	165	0	115	193	106	214	0
Gja10	113.285714	266	0	0	178	0	163	186	0
Acly	113.285714	0	0	0	111	0	390	292	0
Htt	113.142857	0	0	0	113	0	308	371	0
Apol7a	113.142857	341	451	0	0	0	0	0	0
Ltbr	113.000000	169	0	0	0	0	246	376	0
Mlph	112.857143	0	148	0	0	642	0	0	0
Slc38a4	112.714286	0	0	311	478	0	0	0	0
Slc27a4	112.714286	0	0	0	0	0	168	621	0
Ergic3	112.714286	0	0	131	154	0	183	321	0
Aqp9	112.714286	0	0	0	0	0	193	596	0
6430550D23Rik	112.714286	0	0	131	154	0	183	321	0
Mrpl17	112.571429	0	0	189	123	0	257	219	0
Ccdc57	112.571429	158	0	0	163	0	180	287	0
Psmb6	112.428571	0	0	0	171	0	266	350	0
Dnajb2	112.428571	192	104	0	0	355	0	136	0
Rps27a	112.285714	0	129	0	170	0	262	225	0
Clhc1	112.285714	0	129	0	170	0	262	225	0
Slc25a24	112.142857	0	0	442	343	0	0	0	0
Fyco1	112.142857	0	0	0	182	0	327	276	0
Tmem61	112.000000	209	309	138	128	0	0	0	0
Pgam1	112.000000	0	0	0	153	0	333	298	0
Hoxd3	112.000000	0	0	0	0	784	0	0	0
Fam205a2	112.000000	0	0	0	0	0	306	478	0
Olfr9	111.857143	564	219	0	0	0	0	0	0
Man1a2	111.857143	0	270	131	200	0	0	182	0
Katnbl1	111.857143	0	0	115	102	136	164	266	0
Btbd9	111.857143	199	217	0	0	0	129	238	0
Lrrc4	111.714286	0	0	0	0	0	150	632	0
Gm21188	111.571429	0	0	350	431	0	0	0	0
Angptl4	111.571429	0	101	208	131	187	0	154	0
Optn	111.428571	0	0	154	217	0	100	309	0
Ddit4	111.428571	0	0	157	128	0	187	308	0
Abhd2	111.428571	0	137	0	0	0	200	443	0
Sybu	111.285714	237	368	0	0	174	0	0	0
Sufu	111.142857	0	0	183	159	0	255	181	0
Slc25a1	111.142857	0	0	119	134	0	317	208	0
Palb2	111.142857	0	0	163	155	0	220	240	0
Kdm5b	111.142857	0	0	0	0	375	220	183	0
Dctn5	111.142857	0	0	163	155	0	220	240	0
Blcap	111.142857	0	0	170	129	0	144	335	0
Actr1a	111.142857	0	0	183	159	0	255	181	0
Eif3g	111.000000	0	0	0	0	0	372	405	0
Tssc4	110.857143	0	0	126	200	0	170	280	0
Ptpn11	110.857143	0	0	246	310	220	0	0	0
Gm45521	110.857143	0	195	169	275	137	0	0	0
Galr1	110.857143	0	289	150	0	0	163	174	0
Dpf1	110.857143	0	0	146	208	0	200	222	0
Cga	110.857143	0	0	0	0	0	128	648	0
Yars	110.714286	0	0	0	104	0	246	425	0
S100pbp	110.714286	0	0	0	104	0	246	425	0
Nemf	110.714286	0	0	0	268	0	363	144	0
Ints8	110.714286	0	0	0	0	0	338	437	0
Aldh4a1	110.714286	0	202	81	0	0	245	247	0
Agl	110.714286	0	126	0	0	0	172	477	0
Il2rb	110.571429	0	0	390	384	0	0	0	0
Ythdf2	110.428571	0	0	0	139	0	301	333	0
Tmem64	110.285714	0	0	152	0	0	299	321	0
Mast3	110.285714	0	0	0	143	0	215	414	0
Fut10	110.285714	0	305	0	0	0	190	277	0
Eef1akmt4-ece2	110.142857	159	115	0	163	0	143	191	0
Eef1akmt4	110.142857	159	115	0	163	0	143	191	0
Alg3	110.142857	159	115	0	163	0	143	191	0
Pgp	110.000000	0	297	0	75	0	235	163	0
Ltn1	110.000000	0	126	0	164	0	263	217	0
Bricd5	110.000000	0	297	0	75	0	235	163	0
Aacs	110.000000	0	0	0	232	0	226	312	0
Tnfsf15	109.857143	173	596	0	0	0	0	0	0
Itga5	109.857143	389	380	0	0	0	0	0	0
Tnfrsf21	109.714286	223	352	0	0	193	0	0	0
Pex12	109.714286	0	0	0	156	0	242	370	0
Arhgef10	109.714286	456	312	0	0	0	0	0	0
Eri3	109.571429	0	188	244	242	0	93	0	0
Cxcr6	109.571429	181	357	0	0	0	0	229	0
Papln	109.428571	0	0	0	0	0	170	596	0
BC028528	109.428571	0	0	0	88	0	389	289	0
Aph1a	109.428571	0	0	0	88	0	389	289	0
Zfp839	109.285714	0	0	0	0	0	383	382	0
Pcsk9	109.285714	118	150	187	191	0	0	119	0
Wdr70	109.142857	0	0	0	134	0	321	309	0
Lsm10	109.142857	0	0	172	139	0	227	226	0
Rps29	109.000000	0	0	0	222	0	383	158	0
1110008P14Rik	109.000000	115	0	114	164	0	193	177	0
Zglp1	108.714286	0	0	0	0	761	0	0	0
Spata31d1b	108.714286	118	0	0	0	643	0	0	0
Zfp691	108.571429	176	175	0	111	0	160	138	0
Zfp385c	108.571429	0	0	0	0	0	321	439	0
Usp50	108.571429	249	0	0	0	0	218	293	0
Vamp8	108.428571	0	0	0	0	0	243	516	0
Slc6a6	108.428571	170	448	0	0	0	0	141	0
Lypd1	108.428571	0	0	0	0	759	0	0	0
Lcmt1	108.428571	262	330	0	0	0	93	74	0
Ftsj1	108.428571	0	0	0	0	0	284	475	0
Slc44a2	108.285714	0	473	0	0	0	168	117	0
Map3k9	108.285714	0	0	427	331	0	0	0	0
Inpp5a	108.285714	0	0	0	207	0	216	335	0
Auts2	108.285714	0	0	0	0	758	0	0	0
Golga5	108.142857	0	0	198	131	0	229	199	0
Dffb	108.142857	0	0	114	178	0	186	279	0
Cep104	108.142857	0	0	114	178	0	186	279	0
Gpank1	108.000000	160	0	0	153	0	294	149	0
D17H6S53E	108.000000	160	0	0	153	0	294	149	0
Csnk2b	108.000000	160	0	0	153	0	294	149	0
Tbcd	107.857143	0	0	140	127	0	244	244	0
Sipa1l3	107.857143	252	503	0	0	0	0	0	0
Eef2kmt	107.857143	0	0	166	258	0	129	202	0
Chordc1	107.714286	0	0	0	112	0	256	386	0
Pfkl	107.571429	116	125	157	0	174	0	181	0
Lrrc32	107.571429	0	93	331	329	0	0	0	0
Gtse1	107.428571	0	104	0	229	0	151	268	0
Ercc1	107.428571	172	360	0	0	143	77	0	0
Bdnf	107.428571	145	280	0	0	327	0	0	0
Prnd	107.285714	0	0	0	191	0	279	281	0
Sarnp	107.142857	0	0	0	0	208	152	390	0
Ormdl2	107.142857	0	0	0	0	208	152	390	0
Dhx58	107.142857	0	188	0	164	0	181	217	0
Zfp30	107.000000	0	0	0	0	0	321	428	0
Gm2237	107.000000	143	0	162	343	101	0	0	0
Dhodh	107.000000	0	0	0	0	0	141	608	0
Rbm34	106.857143	0	0	0	183	0	231	334	0
Ndufaf6	106.714286	0	217	0	0	0	94	436	0
Frmd4b	106.714286	0	138	110	120	0	0	379	0
Ube2d3	106.571429	0	0	219	195	0	169	163	0
Shisa2	106.571429	514	0	0	0	232	0	0	0
Naa30	106.571429	0	0	135	154	0	155	302	0
H4c6	106.571429	0	183	0	0	0	158	405	0
H1f3	106.571429	0	183	0	0	0	158	405	0
Enpp5	106.571429	0	137	0	0	0	232	377	0
Ogfrl1	106.428571	0	0	0	0	0	259	486	0
Bcas1	106.428571	0	0	0	0	745	0	0	0
Ugt3a1	106.285714	152	266	0	140	0	0	186	0
Srek1ip1	106.285714	0	183	0	0	0	221	340	0
Gdf1	106.285714	0	0	0	0	0	368	376	0
Cwc27	106.285714	0	183	0	0	0	221	340	0
Cers1	106.285714	0	0	0	0	0	368	376	0
Cenpm	106.285714	0	590	0	0	154	0	0	0
Acss1	106.285714	0	0	0	0	0	142	602	0
Sdhc	106.142857	118	0	94	0	0	219	312	0
Mpz	106.142857	118	0	94	0	0	219	312	0
Hus1b	106.142857	0	0	271	472	0	0	0	0
Alg11	106.142857	0	0	187	115	0	0	441	0
Rfxank	106.000000	223	0	110	69	0	93	247	0
Ppan	106.000000	0	0	0	94	0	288	360	0
Kazald1	106.000000	0	198	0	0	0	144	400	0
Haspin	106.000000	0	0	0	170	0	304	268	0
Gm45929	106.000000	223	0	110	69	0	93	247	0
Casp7	106.000000	0	0	0	0	0	340	402	0
Borcs8	106.000000	223	0	110	69	0	93	247	0
Tomm5	105.857143	0	0	0	230	160	142	209	0
Pea15a	105.857143	168	436	137	0	0	0	0	0
Rab4b	105.714286	0	0	164	0	0	178	398	0
Pcyt2	105.714286	0	0	104	122	0	239	275	0
Mia	105.714286	0	0	164	0	0	178	398	0
Trcg1	105.571429	284	455	0	0	0	0	0	0
Cplx3	105.571429	235	504	0	0	0	0	0	0
Cand2	105.571429	620	0	0	0	0	0	119	0
Rbm43	105.285714	0	0	185	143	0	154	255	0
Uqcc2	105.142857	176	137	0	79	0	111	233	0
Sptbn1	105.142857	0	0	124	196	0	155	261	0
Pls3	105.142857	266	470	0	0	0	0	0	0
Ly6d	105.142857	0	0	159	217	0	0	360	0
Fem1b	105.142857	221	224	0	0	0	0	291	0
Cxxc5	105.142857	0	178	145	0	189	0	224	0
Enah	105.000000	177	558	0	0	0	0	0	0
Tank	104.857143	203	215	0	0	0	0	316	0
Pla2g5	104.857143	0	614	0	0	120	0	0	0
Golim4	104.714286	98	177	0	0	0	190	268	0
Bms1	104.714286	169	0	0	172	0	191	201	0
1810020O05Rik	104.714286	94	148	0	209	0	121	161	0
Hic1	104.571429	0	0	117	0	0	203	412	0
Itpr1	104.428571	0	0	0	218	0	268	245	0
Fibp	104.428571	0	0	0	208	0	204	319	0
Ccdc85b	104.428571	0	0	0	208	0	204	319	0
Omg	104.285714	0	126	113	229	0	0	262	0
Klc3	104.285714	397	188	0	0	0	0	145	0
Dchs2	104.285714	169	175	187	0	0	0	199	0
Ckm	104.285714	397	188	0	0	0	0	145	0
Slc39a4	104.142857	0	0	0	0	0	141	588	0
Krt85	104.142857	0	729	0	0	0	0	0	0
Krt83	104.142857	0	729	0	0	0	0	0	0
Gm48552	104.142857	0	201	0	306	0	0	222	0
Fcho2	104.142857	284	302	143	0	0	0	0	0
Vnn1	104.000000	230	498	0	0	0	0	0	0
Tuft1	104.000000	0	0	0	0	0	264	464	0
Pdgfb	104.000000	149	313	0	0	266	0	0	0
Mafk	104.000000	0	0	167	217	0	156	188	0
Igfbp5	104.000000	275	453	0	0	0	0	0	0
Sox21	103.857143	0	126	195	406	0	0	0	0
Phf12	103.857143	0	0	0	158	0	271	298	0
Pheta2	103.857143	129	0	0	0	0	204	394	0
Naga	103.857143	129	0	0	0	0	204	394	0
Zbtb39	103.714286	179	0	0	126	0	0	421	0
Sigmar1	103.714286	0	143	125	0	0	170	288	0
Lamp2	103.714286	0	0	0	153	0	240	333	0
Efcab12	103.571429	130	0	0	0	595	0	0	0
P2ry2	103.428571	209	0	133	140	242	0	0	0
Cox20	103.428571	0	0	0	0	724	0	0	0
Zfp142	103.285714	251	133	0	79	0	122	138	0
Bcs1l	103.285714	251	133	0	79	0	122	138	0
Inpp5b	103.142857	0	0	0	159	0	259	304	0
Thoc5	103.000000	0	0	0	0	469	117	135	0
Itgbl1	103.000000	0	0	254	204	263	0	0	0
Cog2	103.000000	0	0	0	164	0	274	283	0
Oaf	102.857143	229	259	0	0	0	0	232	0
Gm17359	102.857143	130	243	0	0	0	150	197	0
Zpbp2	102.714286	0	0	154	170	0	140	255	0
Nupl1	102.714286	0	0	0	0	0	251	468	0
Ikzf3	102.714286	0	0	154	170	0	140	255	0
Hormad1	102.714286	0	0	0	0	719	0	0	0
Cdc5l	102.714286	0	0	111	165	0	196	247	0
BC024063	102.714286	173	138	0	118	165	0	125	0
Wnt11	102.571429	0	0	0	0	0	0	718	0
Wdr45b	102.571429	0	0	0	145	0	237	336	0
Rps19	102.571429	265	184	0	0	0	0	269	0
Lyl1	102.571429	0	0	277	289	0	0	152	0
Skp2	102.428571	241	181	0	0	0	122	173	0
Lmbrd2	102.428571	241	181	0	0	0	122	173	0
Ube2e3	102.285714	0	0	150	150	0	242	174	0
Slc22a15	102.285714	143	391	0	182	0	0	0	0
Rbsn	102.285714	0	0	0	160	0	207	349	0
Gpaa1	102.285714	145	0	70	109	0	202	190	0
Exosc4	102.285714	145	0	70	109	0	202	190	0
Akap12	102.285714	0	0	224	122	370	0	0	0
Trim50	102.142857	0	0	0	0	715	0	0	0
Togaram2	102.142857	0	0	0	0	0	302	413	0
Phactr2	102.142857	0	226	0	0	489	0	0	0
Med23	102.142857	0	0	130	269	0	177	139	0
Kdelr3	102.142857	132	0	0	0	212	207	164	0
Gm7609	102.142857	0	0	382	333	0	0	0	0
Fkbp6	102.142857	0	0	0	0	715	0	0	0
Dusp26	102.142857	106	0	0	191	232	0	186	0
Zbtb38	102.000000	0	0	293	421	0	0	0	0
Plcl2	102.000000	318	150	126	0	0	0	120	0
Nup210	102.000000	0	0	178	199	0	87	250	0
Irak2	102.000000	0	0	0	224	0	195	295	0
Pigyl	101.857143	0	0	0	0	0	274	439	0
Arx	101.857143	0	0	0	0	713	0	0	0
Pgpep1l	101.714286	0	0	0	0	712	0	0	0
Hmga1b	101.714286	0	0	0	0	188	220	304	0
Hmga1	101.714286	0	0	0	0	188	220	304	0
Fahd2a	101.714286	0	0	0	140	0	288	284	0
Acvr1b	101.714286	0	0	0	0	212	186	314	0
8030462N17Rik	101.714286	182	415	0	0	0	0	115	0
Pak1	101.571429	0	0	0	0	310	163	238	0
Psmg3	101.428571	134	0	0	150	0	0	426	0
Tmem54	101.285714	0	213	0	0	258	0	238	0
Slc17a8	101.285714	209	500	0	0	0	0	0	0
Myh3	101.285714	0	0	0	0	0	0	709	0
Fam167a	101.285714	0	0	462	247	0	0	0	0
L2hgdh	101.142857	0	0	93	161	0	218	236	0
Dmac2l	101.142857	0	0	93	161	0	218	236	0
Syne4	101.000000	0	380	0	0	327	0	0	0
Sf3a3	101.000000	119	0	0	145	0	167	276	0
Sdhaf1	101.000000	0	380	0	0	327	0	0	0
Prkg2	101.000000	0	444	0	0	263	0	0	0
Ipo5	101.000000	0	0	0	140	0	177	390	0
Hyal3	101.000000	0	158	0	0	0	265	284	0
Dusp23	101.000000	0	0	114	0	0	240	353	0
Scrib	100.857143	0	0	0	119	0	262	325	0
Trip4	100.714286	71	0	0	247	0	242	145	0
Taco1	100.571429	0	0	0	168	0	180	356	0
Olfr1414	100.571429	0	0	339	365	0	0	0	0
Cited4	100.571429	0	0	279	425	0	0	0	0
St6galnac1	100.428571	94	0	0	0	0	237	372	0
Rab34	100.428571	218	322	0	163	0	0	0	0
Ahnak2	100.428571	150	164	0	0	0	166	223	0
Maml3	100.285714	0	177	0	0	0	183	342	0
Aaas	100.285714	0	0	0	147	0	234	321	0
Drap1	100.142857	0	0	167	186	0	0	348	0
C1rl	100.142857	0	0	97	136	0	196	272	0
AI837181	100.142857	0	0	167	186	0	0	348	0
Vmn1r210	100.000000	0	163	126	0	411	0	0	0
Stk25	100.000000	0	0	0	0	0	263	437	0
Rab17	100.000000	156	123	243	178	0	0	0	0
Acbd5	100.000000	128	292	0	124	0	156	0	0
Mcrs1	99.714286	160	199	0	0	0	97	242	0
Kcnj2	99.714286	153	231	140	0	174	0	0	0
Tnip3	99.571429	0	0	0	0	0	214	483	0
Nop14	99.428571	0	0	0	103	0	252	341	0
Grk4	99.428571	0	0	0	103	0	252	341	0
Csnk1d	99.428571	192	504	0	0	0	0	0	0
4930519L02Rik	99.428571	219	267	210	0	0	0	0	0
Kctd11	99.285714	0	0	0	0	0	222	473	0
Chmp4b	99.285714	0	0	0	224	0	237	234	0
Olfr285	99.142857	0	0	0	0	0	0	694	0
Olfr257	99.142857	0	0	0	0	0	0	694	0
Invs	99.142857	117	0	0	92	0	218	267	0
Gtpbp6	99.142857	0	0	196	104	394	0	0	0
Erp44	99.142857	117	0	0	92	0	218	267	0
Cdc34	99.142857	192	155	0	0	0	160	187	0
Spag9	99.000000	202	0	0	0	0	184	307	0
Runx2	99.000000	378	315	0	0	0	0	0	0
Use1	98.857143	0	210	0	125	0	175	182	0
Fbxl7	98.857143	409	283	0	0	0	0	0	0
Rrp1b	98.714286	0	0	0	244	0	318	129	0
Hsf2bp	98.714286	0	0	0	244	0	318	129	0
Zbtb49	98.571429	0	0	127	147	0	237	179	0
Lyar	98.571429	0	0	127	147	0	237	179	0
Dnajc12	98.571429	0	352	0	0	0	94	244	0
Mthfd1l	98.428571	0	0	233	0	0	167	289	0
Cdc42	98.428571	212	0	118	0	0	148	211	0
Xcr1	98.285714	0	0	308	380	0	0	0	0
Sap18b	98.285714	0	0	123	154	0	187	224	0
Sap18	98.285714	0	0	123	154	0	187	224	0
Pdx1	98.285714	0	0	0	0	688	0	0	0
Nuf2	98.285714	0	0	0	220	0	95	373	0
Kiss1	98.285714	0	0	0	0	688	0	0	0
Ttc37	98.142857	0	0	83	126	0	247	231	0
Lta4h	98.142857	185	0	128	0	0	166	208	0
Bod1l	98.142857	0	0	0	125	0	186	376	0
Arsk	98.142857	0	0	83	126	0	247	231	0
5430427O19Rik	98.142857	0	0	282	405	0	0	0	0
H2-Q4	98.000000	0	0	125	189	0	191	181	0
Fbxl18	98.000000	162	0	0	141	0	196	187	0
Slc6a16	97.857143	0	0	0	0	251	154	280	0
Slc22a20	97.857143	185	326	0	0	174	0	0	0
Proser2	97.857143	0	0	0	116	0	150	419	0
Nfatc1	97.857143	0	0	323	362	0	0	0	0
Cd37	97.857143	0	0	0	0	251	154	280	0
Ccnj	97.857143	0	0	144	172	0	198	171	0
H2-T24	97.714286	0	0	0	145	0	215	324	0
Gstm5	97.714286	169	0	0	0	0	176	339	0
Spidr	97.571429	0	0	178	112	0	139	254	0
Pola2	97.571429	0	0	88	226	0	149	220	0
Naf1	97.571429	93	154	0	0	0	187	249	0
H3c8	97.571429	155	227	0	146	155	0	0	0
H2ac10	97.571429	155	227	0	146	155	0	0	0
Grcc10	97.571429	0	0	123	212	0	181	167	0
Opa1	97.428571	0	0	0	166	0	178	338	0
Lama1	97.428571	0	0	0	0	682	0	0	0
Krcc1	97.428571	0	0	263	254	165	0	0	0
Cdkn1b	97.428571	0	0	0	169	0	259	254	0
Ccdc6	97.428571	0	0	135	0	0	225	322	0
Mroh6	97.285714	0	0	0	128	0	208	345	0
Med31	97.285714	0	0	183	0	0	236	262	0
Adra2a	97.285714	209	0	0	0	0	146	326	0
4930563E22Rik	97.285714	0	0	183	0	0	236	262	0
Chfr	97.142857	0	0	158	130	0	128	264	0
Cfhr1	97.142857	0	0	0	0	0	0	680	0
Areg	97.142857	343	337	0	0	0	0	0	0
Lrrc10	97.000000	0	0	0	0	122	273	284	0
2610318N02Rik	97.000000	0	0	146	140	0	180	213	0
Zfp189	96.857143	137	0	0	101	0	168	272	0
Tiparp	96.857143	224	136	161	157	0	0	0	0
Mrpl50	96.857143	137	0	0	101	0	168	272	0
Lyrm7	96.857143	0	169	0	154	0	161	194	0
Cdiptos	96.857143	0	0	0	87	0	209	382	0
Cdipt	96.857143	0	0	0	87	0	209	382	0
Bok	96.857143	234	277	0	0	0	0	167	0
Sstr2	96.714286	0	175	0	0	0	110	392	0
Med6	96.714286	0	0	0	146	0	308	223	0
Apol9b	96.571429	232	0	0	0	0	129	315	0
1700017N19Rik	96.571429	151	326	0	0	0	0	199	0
Wfdc11	96.285714	0	0	0	0	0	138	536	0
Uck2	96.285714	0	0	0	129	0	185	360	0
Scube3	96.285714	0	0	0	0	674	0	0	0
Prr9	96.285714	223	451	0	0	0	0	0	0
Dnajc25	96.285714	0	0	0	0	0	234	440	0
Wdr36	96.142857	143	0	0	143	0	161	226	0
Lsmem1	96.142857	535	138	0	0	0	0	0	0
Gm536	96.142857	0	0	250	423	0	0	0	0
Bcorl1	96.142857	0	0	0	0	0	183	490	0
Zbtb7c	96.000000	282	390	0	0	0	0	0	0
Ly6c1	96.000000	194	322	0	0	156	0	0	0
Tuba1c	95.857143	0	0	116	156	0	196	203	0
Tut1	95.714286	0	0	102	171	0	174	223	0
Traf2	95.714286	0	109	288	273	0	0	0	0
Nup153	95.714286	0	0	0	214	0	201	255	0
Ttc9c	95.571429	0	150	0	0	0	202	317	0
Hnrnpul2	95.571429	0	150	0	0	0	202	317	0
Unkl	95.428571	0	0	0	156	0	360	152	0
Tgoln2	95.428571	0	250	0	0	0	143	275	0
Tgoln1	95.428571	0	250	0	0	0	143	275	0
Percc1	95.428571	0	0	0	156	0	360	152	0
Cebpa	95.428571	209	459	0	0	0	0	0	0
Cabin1	95.428571	0	0	0	0	0	198	470	0
BC003965	95.428571	0	0	0	156	0	360	152	0
Ubash3b	95.285714	0	0	0	0	0	196	471	0
Smarca4	95.285714	0	0	0	0	0	388	279	0
Psmd12	95.285714	0	0	0	105	0	238	324	0
Nupr1	95.285714	211	104	0	0	0	0	352	0
Efcab14	95.285714	0	0	0	144	0	227	296	0
Vamp1	95.142857	0	0	124	138	0	164	240	0
Slc35c1	95.142857	0	108	0	0	0	212	346	0
Psen1	95.142857	0	0	158	234	0	127	147	0
Slc18a2	95.000000	0	0	114	0	0	291	260	0
Dagla	94.714286	314	202	147	0	0	0	0	0
Zw10	94.571429	0	0	0	0	538	0	124	0
Rpn1	94.571429	0	0	92	0	0	279	291	0
Pwwp2a	94.571429	0	0	94	160	0	162	246	0
Hpgds	94.571429	130	0	224	308	0	0	0	0
Anxa7	94.571429	0	322	139	0	0	85	116	0
Ppwd1	94.428571	0	0	0	0	0	137	524	0
Cenpk	94.428571	0	0	0	0	0	137	524	0
Adss	94.428571	92	187	0	0	0	124	258	0
Vps37d	94.285714	0	0	0	0	0	338	322	0
Suox	94.285714	0	0	304	203	153	0	0	0
Ncoa4	94.285714	0	115	0	115	133	0	297	0
Ly6g6f	94.285714	0	0	0	0	0	162	498	0
Ly6g6e	94.285714	0	0	0	0	0	162	498	0
Gdf15	94.285714	0	0	172	169	0	163	156	0
Cabyr	94.285714	0	0	0	0	0	201	459	0
Wdr41	94.000000	0	93	0	0	0	0	565	0
Vpreb3	94.000000	170	355	0	0	0	0	133	0
Mtf2	94.000000	0	0	0	141	215	168	134	0
Kcnn4	94.000000	0	208	0	0	0	171	279	0
Gm5134	94.000000	170	355	0	0	0	0	133	0
Zbtb45	93.857143	0	0	0	144	0	110	403	0
Sec22b	93.857143	0	0	0	159	0	226	272	0
Ifnlr1	93.857143	143	213	0	0	301	0	0	0
Setmar	93.714286	0	0	0	0	0	278	378	0
Tns2	93.571429	282	373	0	0	0	0	0	0
Synm	93.571429	182	200	0	0	273	0	0	0
Lox	93.571429	226	429	0	0	0	0	0	0
Ppp4c	93.428571	0	0	0	110	0	117	427	0
Mrpl39	93.428571	0	0	0	367	0	127	160	0
Maco1	93.428571	0	0	0	0	0	234	420	0
Klhl15	93.428571	0	0	0	0	0	168	486	0
Ube2j2	93.285714	0	0	0	246	0	144	263	0
Spats1	93.285714	0	0	0	0	653	0	0	0
Golgb1	93.285714	0	0	212	259	0	0	182	0
Ccl9	93.285714	199	454	0	0	0	0	0	0
Akt2	93.285714	183	195	0	0	0	114	161	0
Skiv2l	93.142857	0	0	0	246	0	206	200	0
Sash1	93.142857	359	228	0	0	65	0	0	0
Pthlh	93.142857	0	93	383	176	0	0	0	0
Nelfe	93.142857	0	0	0	246	0	206	200	0
Mroh5	93.142857	170	482	0	0	0	0	0	0
Gm6569	93.142857	170	482	0	0	0	0	0	0
Tfrc	93.000000	0	0	158	0	0	217	276	0
Scrt1	93.000000	0	360	0	0	138	0	153	0
Prrg4	93.000000	0	0	281	370	0	0	0	0
Map3k6	92.857143	0	268	223	159	0	0	0	0
Cmtm7	92.857143	0	0	224	183	243	0	0	0
Tmem132b	92.714286	106	240	0	0	303	0	0	0
Kyat1	92.714286	134	0	0	0	0	256	259	0
Cnst	92.714286	0	0	0	170	110	99	270	0
Adora1	92.714286	0	0	0	117	0	276	256	0
Zic3	92.571429	0	0	0	0	648	0	0	0
Lrrc9	92.571429	0	0	0	0	648	0	0	0
Cenpt	92.571429	0	156	115	0	0	183	194	0
Srp72	92.428571	0	0	0	0	0	326	321	0
Oxct1	92.428571	330	0	0	0	0	0	317	0
Man2b2	92.428571	0	0	0	0	0	230	417	0
Ino80e	92.428571	0	0	145	109	0	219	174	0
Hirip3	92.428571	0	0	145	109	0	219	174	0
Gpatch8	92.428571	150	0	0	0	0	161	336	0
Serpinh1	92.285714	215	431	0	0	0	0	0	0
Mrpl22	92.285714	0	203	163	0	0	144	136	0
Lrfn2	92.285714	0	0	0	0	646	0	0	0
Hdac6	92.285714	0	0	0	128	0	242	276	0
Gmppb	92.285714	0	0	228	138	0	134	146	0
Gemin5	92.285714	0	203	163	0	0	144	136	0
Amigo3	92.285714	0	0	228	138	0	134	146	0
Rrm1	92.142857	0	93	0	161	0	182	209	0
Sf3b2	92.000000	0	0	0	125	0	316	203	0
Pttg1ip	92.000000	0	120	0	0	0	175	349	0
Ppp4r3b	92.000000	0	0	156	0	0	208	280	0
Ndufa4l2	92.000000	0	138	0	0	0	193	313	0
Gal3st3	92.000000	0	0	0	125	0	316	203	0
Cgrrf1	92.000000	0	0	0	127	0	215	302	0
Zfp853	91.857143	0	138	0	0	0	246	259	0
Rbm6	91.857143	0	0	133	101	0	118	291	0
Fastkd1	91.857143	0	0	0	194	0	203	246	0
Vldlr	91.714286	0	112	0	0	530	0	0	0
Slc39a3	91.714286	0	0	0	136	0	270	236	0
Polr2j	91.714286	0	0	0	161	0	213	268	0
Nek7	91.571429	0	0	361	280	0	0	0	0
Tnfaip8l2	91.428571	0	0	0	0	640	0	0	0
Ndufaf1	91.285714	0	0	0	119	0	165	355	0
H3f3c	91.285714	0	0	0	119	0	165	355	0
Eno1	91.285714	135	226	0	0	0	0	278	0
Bcl2a1b	91.285714	0	0	258	381	0	0	0	0
Wdr6	91.142857	0	0	0	0	0	325	313	0
Ttyh3	91.142857	0	0	0	0	0	319	319	0
Olfr763	91.142857	0	0	0	0	0	0	638	0
Prrc2b	91.000000	269	368	0	0	0	0	0	0
Nipsnap2	91.000000	0	0	0	0	0	192	445	0
Zfp263	90.857143	0	0	138	93	222	0	183	0
Wwp1	90.857143	0	0	237	176	0	0	223	0
Ubqln1	90.857143	0	0	265	371	0	0	0	0
Pank1	90.857143	0	175	0	0	0	124	337	0
Insr	90.857143	0	0	0	0	0	243	393	0
Cited2	90.857143	0	139	0	110	0	133	254	0
Timm50	90.714286	0	0	152	92	0	210	181	0
Srrm1	90.714286	169	0	0	0	0	117	349	0
Spaca7	90.714286	196	439	0	0	0	0	0	0
Krtap3-1	90.714286	0	0	209	426	0	0	0	0
H4f16	90.714286	0	109	0	0	0	270	256	0
Cd300lg	90.714286	0	0	0	115	0	232	288	0
Trp53bp2	90.571429	0	0	0	0	0	209	425	0
Tmem109	90.571429	0	0	195	133	0	142	164	0
Nr3c1	90.571429	194	148	0	0	0	109	183	0
Tmbim6	90.428571	0	0	197	0	0	126	310	0
Lmtk3	90.428571	0	0	135	150	0	226	122	0
Il34	90.428571	284	349	0	0	0	0	0	0
Nfkbiz	90.285714	0	0	160	168	0	123	181	0
Inava	90.285714	173	459	0	0	0	0	0	0
Erlin2	90.285714	0	0	109	237	0	113	173	0
Xbp1	90.142857	0	0	0	0	631	0	0	0
Slc38a8	90.142857	0	0	0	0	0	298	333	0
Pcdhgc5	90.142857	173	458	0	0	0	0	0	0
Msmb	90.142857	0	0	0	0	199	175	257	0
Efhd1	90.142857	0	138	177	316	0	0	0	0
Gm11437	90.000000	0	0	0	130	0	156	344	0
Dbx2	90.000000	0	155	0	0	0	131	344	0
