Target_genes	Pbx1|Average	SRX520199|3T3-L1	SRX1482287|C2C12	SRX1482288|C2C12	SRX1557407|C2C12	SRX1557408|C2C12	SRX9088764|Embryoid_Bodies	SRX9088765|Embryoid_Bodies	SRX1602947|Embryonic_brains	SRX1602948|Embryonic_brains	SRX1629941|Embryonic_brains	SRX1629942|Embryonic_brains	SRX170716|Embryonic_trunk	SRX6879007|ES_cells	SRX14359346|Hindlimb	SRX14359347|Hindlimb	SRX319742|Myeloid_leukemia	SRX319743|Myeloid_leukemia	SRX1824751|P19	SRX25508382|Spinal_Cord	STRING
Insyn2b	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	242	0
Il17d	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	102	166	347	0	0	0	0	0
Gtf2h2	32.368421	0	0	0	0	167	0	0	0	0	0	0	0	0	140	308	0	0	0	0	0
Gapdh	32.368421	0	0	0	0	256	0	0	0	0	0	0	0	135	160	64	0	0	0	0	0
Gaa	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	311	304	0	0	0	0	0
Fuz	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	167	186	0	0	0	262	0
Chn1	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	97	348	0
Cdh11	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	279	336	0	0	0	0	0
Ago3	32.368421	0	0	0	0	0	0	0	0	0	0	0	0	85	185	345	0	0	0	0	0
Vsig10	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	182	145	287	0	0	0	0	0
Trim6	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	352	0	0	0	0
Tmem207	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	335	0
Tlr1	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	232	0	0	0
Snrpe	32.315789	0	0	0	126	180	0	67	0	0	0	0	0	0	0	153	0	0	88	0	0
Sgip1	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	232	218	0	0	0	164	0
Rnf146	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	326	288	0	0	0	0	0
Prdx6	32.315789	0	0	0	137	0	0	0	0	0	0	0	0	231	0	246	0	0	0	0	0
Polr1b	32.315789	0	0	0	185	288	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0
Ctr9	32.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	167	297	0	0	0	150	0
Tfap2c	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	262	184	167	0	0	0	0	0
Rspo3	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	85	380	148	0	0	0	0	0
Rps23	32.263158	0	0	0	136	187	0	0	0	0	0	0	0	168	122	0	0	0	0	0	0
Rab27b	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	214	399	0	0	0	0	0
Plcg2	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	456	0	157	0	0	0	0	0
Pgam5	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	275	338	0	0	0	0	0
Kirrel2	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	440	0
Ift57	32.263158	0	0	0	0	375	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0
Hfm1	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	195	418	0	0	0	0	0
Crbn	32.263158	0	0	0	0	307	0	0	0	0	0	0	0	0	0	199	0	0	0	107	0
Ckap5	32.263158	0	0	0	0	173	0	0	0	0	0	0	0	96	113	231	0	0	0	0	0
Ccdc84	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	265	348	0	0	0	0	0
Btbd8	32.263158	0	0	0	0	0	65	0	0	0	0	0	0	133	0	299	0	0	0	116	0
Baz2b	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	156	192	152	0	0	0	113	0
Arl5a	32.263158	187	0	0	0	0	0	0	0	0	0	0	0	0	159	267	0	0	0	0	0
Adss	32.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	172	441	0	0	0	0	0
Traf3ip1	32.210526	0	0	0	396	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0
Tars	32.210526	0	0	0	86	195	0	0	0	0	0	0	0	0	157	0	0	0	0	174	0
Slc25a4	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	198	203	211	0	0	0	0	0
Rad18	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	161	297	154	0	0	0	0
Parn	32.210526	0	0	0	0	193	82	0	0	0	0	0	0	0	176	161	0	0	0	0	0
Ncapg2	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	309	303	0	0	0	0	0
Ints5	32.210526	0	0	0	0	167	0	0	0	0	0	0	0	0	192	117	0	0	0	136	0
Hsp90ab1	32.210526	0	0	0	0	199	0	0	0	0	0	0	0	100	116	197	0	0	0	0	0
Hexa	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	356	0	97	0	159	0	0	0
Fermt2	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	304	308	0	0	0	0	0
Bfar	32.210526	0	0	0	0	193	82	0	0	0	0	0	0	0	176	161	0	0	0	0	0
BC028528	32.210526	0	0	0	0	223	0	0	0	0	0	0	0	0	264	0	0	0	125	0	0
Atp6v1c1	32.210526	0	0	0	0	0	121	0	0	0	0	0	0	0	224	267	0	0	0	0	0
Aph1a	32.210526	0	0	0	0	223	0	0	0	0	0	0	0	0	264	0	0	0	125	0	0
Rfx7	32.157895	0	0	0	211	106	0	0	0	0	0	0	0	0	122	172	0	0	0	0	0
Pik3c3	32.157895	0	0	0	0	341	0	0	0	0	0	0	0	0	118	152	0	0	0	0	0
Klhl26	32.157895	0	0	0	0	0	0	0	0	0	0	0	0	126	98	245	0	0	0	142	0
Fblim1	32.157895	0	0	0	157	0	0	0	0	0	0	0	0	87	176	191	0	0	0	0	0
Septin11	32.105263	0	0	0	151	0	0	93	0	0	0	0	0	159	82	125	0	0	0	0	0
Proser2	32.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	175	435	0	0	0	0	0
Pigl	32.105263	0	0	0	0	148	0	0	0	0	0	0	0	0	129	215	0	0	0	118	0
Pcsk5	32.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	218	392	0	0	0	0	0
Omp	32.105263	0	0	0	273	0	0	0	0	0	0	0	0	80	257	0	0	0	0	0	0
Nasp	32.105263	0	0	0	0	149	0	0	0	0	0	0	0	108	191	162	0	0	0	0	0
Kcne3	32.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	177	319	0	0	0
Blnk	32.105263	0	0	117	392	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsj	32.105263	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb41	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	202	407	0	0	0	0	0
Uncx	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0
Tjp2	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	81	158	370	0	0	0	0	0
Septin4	32.052632	0	0	0	0	98	0	0	0	0	0	0	0	0	203	308	0	0	0	0	0
Rpp25	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0
Rmnd5b	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	260	349	0	0	0	0	0
Lgals9	32.052632	0	0	0	447	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct8	32.052632	0	0	0	0	231	0	0	0	0	0	0	0	0	148	230	0	0	0	0	0
Arhgef37	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	280	329	0	0	0	0	0
Ypel1	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	233	375	0	0	0	0	0
Ube2i	32.000000	0	0	0	0	152	0	0	0	0	0	0	0	0	142	206	0	0	0	108	0
Slc25a40	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	159	152	297	0	0	0	0	0
Rbm34	32.000000	0	0	0	156	0	0	0	0	0	0	0	0	145	98	209	0	0	0	0	0
Mrc2	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	263	345	0	0	0	0	0
Gm3696	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	193	415	0	0	0	0	0
Gm1979	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	162	446	0	0	0	0	0
Dbf4	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	159	152	297	0	0	0	0	0
Ctsf	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	336	272	0	0	0	0	0
B3gnt9	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	250	358	0	0	0	0	0
Trnp1	31.947368	0	0	0	386	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0
Syt17	31.947368	0	0	0	0	267	0	0	0	0	0	0	0	0	183	157	0	0	0	0	0
Lratd2	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	249	165	0	0	0	193	0
Lipo3	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	201	145	261	0	0	0	0	0
Gm13286	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	226	195	186	0	0	0	0	0
Cacna1s	31.947368	0	0	0	0	319	0	0	0	0	0	0	0	0	198	90	0	0	0	0	0
Ascl5	31.947368	0	0	0	0	319	0	0	0	0	0	0	0	0	198	90	0	0	0	0	0
Apoa5	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	265	342	0	0	0	0	0
Tmod1	31.894737	0	0	0	0	237	0	0	0	0	0	0	0	174	0	195	0	0	0	0	0
Rnf169	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	291	315	0	0	0	0	0
Pacs2	31.894737	0	0	0	162	143	0	0	0	0	0	0	0	0	139	162	0	0	0	0	0
Nudt18	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	194	332	0	0	0	80	0
Nfkbia	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	155	291	0	160	0	0	0
Inhbe	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0
Immp2l	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	133	214	259	0	0	0	0	0
Erf	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	280	326	0	0	0	0	0
Cmpk2	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	156	162	288	0	0	0	0
Clec7a	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	180	336	0	0	0
Atoh1	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	170	241	195	0	0	0	0	0
Ago1	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	124	157	325	0	0	0	0	0
Ube2d1	31.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	209	319	0	0	0	77	0
Ramac	31.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	261	266	0	0	0	78	0
Pds5a	31.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	316	289	0	0	0	0	0
Kazn	31.842105	0	0	0	0	0	0	0	0	0	0	0	0	389	98	118	0	0	0	0	0
Col17a1	31.842105	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0
Bcl7a	31.842105	0	0	0	136	192	0	0	0	0	0	0	0	0	130	147	0	0	0	0	0
Ss18	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	272	332	0	0	0	0	0
Snx6	31.789474	145	0	0	0	0	0	0	0	0	0	0	0	0	106	251	0	0	0	102	0
Plxna2	31.789474	0	158	0	0	0	0	0	0	0	0	0	0	0	166	280	0	0	0	0	0
Ncstn	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	227	377	0	0	0	0	0
Mtss1	31.789474	0	0	0	0	78	92	0	0	0	0	0	0	116	111	207	0	0	0	0	0
Lefty2	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	251	171	182	0	0	0	0	0
Kcnip3	31.789474	0	0	0	0	249	0	0	0	0	0	0	0	173	0	182	0	0	0	0	0
Hs3st5	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	282	322	0	0	0	0	0
Dlx6	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	408	196	0	0	0	0	0
Copa	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	227	377	0	0	0	0	0
Col23a1	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	263	341	0	0	0	0	0
Calb2	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	224	380	0	0	0	0	0
Zkscan8	31.736842	0	0	0	0	0	0	0	0	0	0	0	0	109	275	219	0	0	0	0	0
Zfp24	31.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	246	357	0	0	0	0	0
Sirt5	31.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	326	277	0	0	0	0	0
Rsl1d1	31.736842	0	0	0	0	453	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
Phb2	31.736842	0	0	0	0	118	0	0	0	0	0	0	0	0	199	286	0	0	0	0	0
Orai2	31.736842	0	0	0	252	0	0	0	0	0	0	0	0	0	173	178	0	0	0	0	0
Krt19	31.736842	0	0	0	373	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0
F2rl2	31.736842	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	140	165	0	0	0
Emg1	31.736842	0	0	0	0	118	0	0	0	0	0	0	0	0	199	286	0	0	0	0	0
Arhgef40	31.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	265	338	0	0	0	0	0
Adora2b	31.736842	187	0	0	0	0	0	0	0	0	0	0	0	0	145	271	0	0	0	0	0
Taf10	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	283	319	0	0	0	0	0
Slc8a3	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	220	275	0	0	0	107	0
Phyhipl	31.684211	0	0	0	0	0	129	0	0	0	0	0	0	0	185	288	0	0	0	0	0
Pcdhgb7	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	602	0	0	0	0	0	0	0
Nop58	31.684211	0	0	0	148	362	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0
Mkrn1	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	113	177	312	0	0	0	0	0
H2bc1	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	471	131	0	0	0	0	0	0
H2ac1	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	471	131	0	0	0	0	0	0
Cst3	31.684211	202	0	0	0	0	0	0	0	0	0	0	0	174	0	226	0	0	0	0	0
Arhgdib	31.684211	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp354b	31.631579	0	0	0	0	106	0	0	0	0	0	0	0	0	182	216	0	0	0	97	0
Wwtr1	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	200	401	0	0	0	0	0
Vpreb1	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	242	359	0	0	0	0	0
Top3b	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	242	359	0	0	0	0	0
Spata6	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	122	301	0	0	178	0	0
Smtn	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	274	327	0	0	0	0	0
Slc41a2	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	158	193	250	0	0	0	0	0
Prl2a1	31.631579	444	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ntf3	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	339	262	0	0	0	0	0
Mrpl1	31.631579	0	0	0	284	254	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0
Mmp9	31.631579	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0
Kcnn2	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	357	244	0	0	0	0	0
Ireb2	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	286	315	0	0	0	0	0
Fam124a	31.631579	0	0	0	349	0	0	0	0	0	0	0	0	0	98	154	0	0	0	0	0
Dmxl1	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	216	385	0	0	0	0	0
Dcp2	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	157	291	0	0	0	153	0
Ccbe1	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	94	171	132	0	0	0	204	0
Abcf2	31.631579	0	0	0	0	161	0	0	0	0	0	0	0	0	243	197	0	0	0	0	0
Wnt2	31.578947	0	0	0	0	0	0	0	0	0	245	0	0	355	0	0	0	0	0	0	0
Tprkb	31.578947	0	0	0	87	0	0	0	0	0	0	0	0	0	174	339	0	0	0	0	0
Stk10	31.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	201	399	0	0	0	0	0
Sec24b	31.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	274	326	0	0	0	0	0
Rcn1	31.578947	160	0	0	0	0	0	0	0	0	0	0	0	0	177	263	0	0	0	0	0
Rab12	31.578947	0	0	113	182	0	0	0	0	0	0	0	0	103	0	202	0	0	0	0	0
Prph2	31.578947	0	0	0	389	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Nat8f1	31.578947	0	0	0	87	0	0	0	0	0	0	0	0	0	174	339	0	0	0	0	0
Fzd7	31.578947	0	0	0	183	0	0	0	0	0	0	0	0	0	169	185	0	0	0	63	0
Cgn	31.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	288	312	0	0	0	0	0
Zbtb17	31.526316	0	0	0	0	0	60	0	0	0	0	0	0	0	142	397	0	0	0	0	0
Timmdc1	31.526316	0	0	0	0	321	0	0	0	0	0	0	0	0	98	180	0	0	0	0	0
Sirt7	31.526316	0	0	0	0	0	0	0	0	0	0	0	0	175	222	202	0	0	0	0	0
Proser1	31.526316	0	0	0	0	230	0	0	0	0	0	0	0	0	123	246	0	0	0	0	0
Prkch	31.526316	0	0	0	0	0	0	0	0	0	0	0	0	170	124	305	0	0	0	0	0
Nrf1	31.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	164	435	0	0	0	0	0
Nhlrc3	31.526316	0	0	0	0	230	0	0	0	0	0	0	0	0	123	246	0	0	0	0	0
Arrdc1	31.526316	0	0	0	0	149	0	0	0	0	0	0	0	0	213	237	0	0	0	0	0
Tspan10	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	196	402	0	0	0	0	0
Trmt112	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	231	367	0	0	0	0	0
Tmsb4x	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	135	231	232	0	0	0	0	0
Slain2	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	323	275	0	0	0	0	0
Sgo2a	31.473684	0	0	0	0	186	0	0	0	0	0	0	0	0	195	217	0	0	0	0	0
Rela	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	231	111	256	0	0	0	0	0
Rbm33	31.473684	0	0	0	0	0	133	0	0	0	0	0	0	0	125	233	0	0	0	107	0
Ptprd	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	448	150	0	0	0	0	0
Psma2	31.473684	0	0	0	0	512	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdx5	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	231	367	0	0	0	0	0
Ppp1r18	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	269	329	0	0	0	0	0
Nrm	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	269	329	0	0	0	0	0
Nploc4	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	196	402	0	0	0	0	0
Mrpl32	31.473684	0	0	0	0	512	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcrip1	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	418	0	0	0
Lman2l	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	194	250	0	0	0	154	0
D030056L22Rik	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	203	155	240	0	0	0	0	0
Arsa	31.473684	127	0	0	0	0	0	0	0	0	0	0	0	0	106	0	215	150	0	0	0
Ankrd28	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	260	338	0	0	0	0	0
Wasl	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	195	329	0	0	0	73	0
Ubxn7	31.421053	0	0	0	131	0	91	0	0	0	0	0	0	0	201	174	0	0	0	0	0
Tlcd3a	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	239	358	0	0	0	0	0
Slc2a1	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	170	227	200	0	0	0	0	0
Piwil2	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	597	0	0	0	0	0	0	0
Gpr135	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	223	374	0	0	0	0	0
Gm6650	31.421053	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28710	31.421053	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1l1	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	131	270	0	0	0	196	0
Foxn3	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	249	0
Fkbp9	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	231	366	0	0	0	0	0
Atrip	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	319	278	0	0	0	0	0
Adamts12	31.421053	134	0	0	0	0	0	0	0	0	0	0	0	0	183	280	0	0	0	0	0
Wdr6	31.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	328	268	0	0	0	0	0
Tmem186	31.368421	0	0	0	0	310	0	0	0	0	0	0	0	0	163	123	0	0	0	0	0
Tfcp2	31.368421	0	0	0	0	117	0	0	0	0	0	0	0	0	193	286	0	0	0	0	0
Polr3e	31.368421	0	0	0	0	0	0	0	0	0	0	0	0	92	155	349	0	0	0	0	0
Pmm2	31.368421	0	0	0	0	310	0	0	0	0	0	0	0	0	163	123	0	0	0	0	0
Ifngr2	31.368421	0	0	0	0	0	0	0	0	0	0	0	0	378	0	218	0	0	0	0	0
Gys2	31.368421	0	0	0	0	0	0	0	0	0	0	0	0	97	340	159	0	0	0	0	0
Gm3752	31.368421	0	0	0	0	0	230	0	0	0	0	0	0	0	114	252	0	0	0	0	0
Coa6	31.368421	0	0	0	0	205	90	66	0	0	0	0	0	0	0	235	0	0	0	0	0
Zfp37	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	67	249	279	0	0	0	0	0
Scyl1	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	272	323	0	0	0	0	0
Rif1	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	247	98	250	0	0	0	0	0
Rassf10	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	373	0	128	0	0	94	0	0
Ostf1	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	237	358	0	0	0	0	0
Nmrk1	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	237	358	0	0	0	0	0
Krt9	31.315789	0	0	0	131	0	0	0	0	0	0	0	0	101	185	178	0	0	0	0	0
Evi5	31.315789	0	0	0	0	116	0	0	0	0	0	0	0	0	156	323	0	0	0	0	0
Soat1	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	215	379	0	0	0	0	0
Msh3	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	146	305	0	0	143	0	0
Klhdc2	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	204	390	0	0	0	0	0
Dut	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	86	258	250	0	0	0	0
Dhfr	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	146	305	0	0	143	0	0
Ccser1	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	412	182	0	0	0	0	0
Asns	31.263158	0	0	0	0	111	0	0	0	0	0	0	0	0	176	204	0	103	0	0	0
Zdhhc3	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	145	349	0	0	0	99	0
Ythdf2	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	139	243	0	211	0	0	0
Rhoh	31.210526	0	0	0	157	351	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0
Rab36	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	291	302	0	0	0	0	0
Plpp7	31.210526	0	0	0	0	291	0	0	0	0	0	0	0	0	167	0	0	0	0	135	0
Pigg	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	204	389	0	0	0	0	0
Nap1l5	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	379	214	0	0	0	0	0
Mlxipl	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	221	173	199	0	0	0	0	0
Fzd2	31.210526	0	0	0	0	175	0	0	0	0	0	0	0	0	185	233	0	0	0	0	0
Exosc7	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	145	349	0	0	0	99	0
Errfi1	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	235	358	0	0	0	0	0
Zmynd19	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	182	410	0	0	0	0	0
Tssk1	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	274	318	0	0	0	0	0
Tspan11	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	344	0	248	0	0	0	0	0
Pkia	31.157895	0	0	0	0	138	0	0	0	0	0	0	0	0	140	141	0	0	0	173	0
Mtif2	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	94	204	294	0	0	0	0	0
Metap1d	31.157895	97	0	0	175	0	86	0	0	0	0	0	0	0	114	120	0	0	0	0	0
Dgcr2	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	274	318	0	0	0	0	0
Cnot2	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	258	334	0	0	0	0	0
Ccsap	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	178	414	0	0	0	0	0
4933428M09Rik	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	592	0	0	0	0	0	0	0
Rap1gds1	31.105263	0	0	0	243	0	0	0	0	0	0	0	0	0	136	212	0	0	0	0	0
Mknk1	31.105263	0	0	0	0	260	0	0	0	0	0	0	0	0	167	164	0	0	0	0	0
Hcn2	31.105263	0	0	0	0	199	0	0	0	0	0	0	0	0	223	169	0	0	0	0	0
Gm11213	31.105263	0	0	0	0	0	0	207	0	0	0	0	0	0	185	199	0	0	0	0	0
Cbx7	31.105263	0	0	0	253	0	0	0	0	0	0	0	0	0	112	226	0	0	0	0	0
Arntl	31.105263	0	0	0	217	0	0	0	0	0	0	0	0	0	138	236	0	0	0	0	0
Abcc5	31.105263	0	0	0	148	0	0	0	0	0	0	0	0	0	142	227	0	0	0	74	0
Trpm2	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	358	232	0	0	0	0	0
Prox2	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	109	205	276	0	0	0	0	0
Plppr1	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	190	106	0	0	118	176	0
Plcd1	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	73	297	220	0	0	0	0	0
Mthfd2	31.052632	0	0	0	0	0	109	0	0	0	0	0	0	0	112	195	0	0	174	0	0
Mak	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	120	148	197	0	0	0	125	0
Klf8	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	418	0	172	0	0	0	0	0
Dele1	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	100	248	242	0	0	0	0	0
