Target_genes	Myb|Average	SRX8737398|Bone_Marrow_Cells	SRX3889819|Embryonic_liver	SRX3889820|Embryonic_liver	SRX140366|MEL	SRX884094|MLL-AF9_leukemic_cell	SRX884095|MLL-AF9_leukemic_cell	STRING
Sh3bp5	41.500000	130	0	0	0	119	0	0
Sec16a	41.500000	0	0	0	140	109	0	0
Rasal1	41.500000	0	0	0	249	0	0	0
Plpp1	41.500000	0	0	0	249	0	0	0
Park7	41.500000	0	0	0	249	0	0	0
Naca	41.500000	0	0	0	135	114	0	0
Naa35	41.500000	0	0	0	164	85	0	0
Mesd	41.500000	0	0	0	249	0	0	0
Inmt	41.500000	0	0	0	249	0	0	0
Gpr108	41.500000	0	0	0	153	96	0	0
Golga3	41.500000	0	0	0	107	142	0	0
Fam160b1	41.500000	0	0	0	249	0	0	0
Dlgap5	41.500000	0	0	0	249	0	0	0
Crbn	41.500000	0	0	0	156	93	0	0
1810009A15Rik	41.500000	0	0	0	102	147	0	0
Tpp2	41.333333	117	0	0	0	131	0	0
St6galnac5	41.333333	0	0	0	248	0	0	0
Prss50	41.333333	142	106	0	0	0	0	0
Mpv17l	41.333333	0	0	0	248	0	0	0
Hivep1	41.333333	0	0	0	248	0	0	0
Gas2l2	41.333333	0	0	0	96	152	0	0
Galnt11	41.333333	0	0	0	0	248	0	0
Dnajc6	41.333333	84	0	0	164	0	0	0
Akr1b3	41.333333	95	0	0	153	0	0	0
Acbd6	41.333333	0	0	0	111	137	0	0
Ttc24	41.166667	0	0	0	139	108	0	0
Timm17b	41.166667	0	0	0	247	0	0	0
Pqbp1	41.166667	0	0	0	247	0	0	0
Map3k12	41.166667	0	0	0	247	0	0	0
Lalba	41.166667	0	0	0	247	0	0	0
Iqgap3	41.166667	0	0	0	139	108	0	0
Gramd1c	41.166667	0	0	0	247	0	0	0
Glo1	41.166667	0	0	0	247	0	0	0
Fastkd1	41.166667	0	0	0	133	114	0	0
Cpq	41.166667	0	0	0	247	0	0	0
Cox6a1	41.166667	0	0	0	131	116	0	0
Cops4	41.166667	0	0	0	105	142	0	0
Cd164l2	41.166667	0	0	0	247	0	0	0
Zfp607b	41.000000	0	0	0	97	149	0	0
Tmem9	41.000000	110	0	0	136	0	0	0
Tmem214	41.000000	0	0	0	116	130	0	0
Slc12a3	41.000000	0	0	0	0	246	0	0
Runx1t1	41.000000	0	246	0	0	0	0	0
Riox1	41.000000	0	0	0	246	0	0	0
Pyroxd2	41.000000	143	0	0	103	0	0	0
Pcm1	41.000000	0	0	0	98	148	0	0
Mtmr3	41.000000	0	0	0	246	0	0	0
Ect2	41.000000	100	0	0	146	0	0	0
Cops9	41.000000	87	0	0	159	0	0	0
Itpr1	40.833333	0	0	0	92	153	0	410
Stt3b	40.833333	97	0	0	148	0	0	0
Ssr1	40.833333	0	0	0	245	0	0	0
Pmpcb	40.833333	0	0	0	127	118	0	0
Pigm	40.833333	0	0	0	113	132	0	0
Nrf1	40.833333	0	0	0	0	0	245	0
Myc	40.833333	0	0	0	151	94	0	0
Mitf	40.833333	0	0	0	102	143	0	0
Ddx47	40.833333	0	0	0	0	245	0	0
Clint1	40.833333	0	0	0	245	0	0	0
Zfp319	40.666667	0	0	0	244	0	0	0
Zbtb37	40.666667	0	0	0	244	0	0	0
Wdr27	40.666667	0	0	0	127	117	0	0
Usb1	40.666667	0	0	0	244	0	0	0
Txnip	40.666667	0	0	0	154	90	0	0
Sult2a2	40.666667	0	0	0	151	93	0	0
Rnf20	40.666667	0	0	0	0	244	0	0
Rnasek	40.666667	0	0	0	244	0	0	0
Ppig	40.666667	0	0	0	145	99	0	0
Ppbp	40.666667	106	0	0	138	0	0	0
Os9	40.666667	0	0	0	244	0	0	0
Morf4l2	40.666667	0	0	0	244	0	0	0
Mdm1	40.666667	0	0	0	244	0	0	0
Isy1	40.666667	0	0	0	116	128	0	0
Eloc	40.666667	0	0	0	124	120	0	0
Ccm2	40.666667	0	0	0	244	0	0	0
1600012H06Rik	40.666667	0	0	0	127	117	0	0
0610010K14Rik	40.666667	0	0	0	244	0	0	0
Zfyve27	40.500000	0	0	0	145	98	0	0
U2af1l4	40.500000	0	0	0	123	120	0	0
Tob2	40.500000	0	0	0	140	103	0	0
Syt3	40.500000	0	0	0	0	243	0	0
Sik1	40.500000	0	0	0	0	243	0	0
Psenen	40.500000	0	0	0	123	120	0	0
Nupl2	40.500000	0	0	0	148	95	0	0
Neurl3	40.500000	124	0	0	119	0	0	0
Lin37	40.500000	0	0	0	123	120	0	0
Inpp4a	40.500000	104	0	0	0	139	0	0
Glce	40.500000	0	0	0	243	0	0	0
Ezr	40.500000	113	0	0	130	0	0	0
Cnih2	40.500000	0	0	0	134	109	0	0
Atp1a3	40.500000	106	0	0	0	137	0	0
Atl2	40.500000	0	0	0	130	113	0	0
Arf6	40.500000	0	0	0	243	0	0	0
Wrap73	40.333333	0	0	0	112	130	0	0
Trp73	40.333333	0	0	0	112	130	0	0
Traf3ip1	40.333333	0	0	0	153	89	0	0
Tlnrd1	40.333333	0	0	0	242	0	0	0
Stau1	40.333333	0	0	0	129	113	0	0
Snx24	40.333333	0	0	0	242	0	0	0
Ptp4a1	40.333333	116	0	0	126	0	0	0
Plscr3	40.333333	0	0	0	0	242	0	0
Ier5	40.333333	0	0	0	242	0	0	0
Fam220a	40.333333	0	0	0	170	72	0	0
Fam214a	40.333333	0	0	0	0	242	0	0
Enpp5	40.333333	0	0	0	242	0	0	0
Eif6	40.333333	0	0	0	151	91	0	0
E130309D02Rik	40.333333	0	0	0	119	123	0	0
Coa6	40.333333	0	0	0	242	0	0	0
Cdc16	40.333333	0	0	0	0	242	0	0
Agtpbp1	40.333333	0	0	0	0	242	0	0
Afg1l	40.333333	0	0	0	161	81	0	0
Zfp809	40.166667	0	0	0	241	0	0	0
Zfp446	40.166667	86	0	0	155	0	0	0
Zfp212	40.166667	115	0	0	126	0	0	0
Synj1	40.166667	0	0	0	241	0	0	0
Srek1ip1	40.166667	0	0	0	98	143	0	0
Snx33	40.166667	0	0	0	241	0	0	0
Smarcc1	40.166667	0	0	0	132	109	0	0
Rbfa	40.166667	0	0	0	241	0	0	0
Prpsap1	40.166667	141	0	0	100	0	0	0
Micu2	40.166667	0	0	0	86	155	0	0
Irgc1	40.166667	91	0	0	0	150	0	0
Foxj2	40.166667	0	0	0	0	0	241	0
Cwc27	40.166667	0	0	0	98	143	0	0
Cracr2a	40.166667	0	0	0	121	120	0	0
Btbd19	40.166667	0	0	0	124	117	0	0
Zfp60	40.000000	0	0	0	75	165	0	0
Washc5	40.000000	0	0	0	156	84	0	0
Slc51a	40.000000	0	147	0	93	0	0	0
Nsmce2	40.000000	0	0	0	156	84	0	0
Nfx1	40.000000	0	0	0	0	240	0	0
Nfkb2	40.000000	100	0	0	140	0	0	0
Gon4l	40.000000	0	0	0	138	102	0	0
Gcn1	40.000000	0	0	0	240	0	0	0
Ddx24	40.000000	0	0	0	165	75	0	0
Cdk2ap1	40.000000	0	0	0	0	0	240	0
Urb1	39.833333	92	0	0	147	0	0	0
Tpgs2	39.833333	0	0	0	239	0	0	0
Tmem109	39.833333	0	0	0	84	155	0	0
Snf8	39.833333	0	0	0	110	129	0	0
Mea1	39.833333	0	0	0	239	0	0	0
Lars	39.833333	0	0	0	129	110	0	0
Klhdc3	39.833333	0	0	0	239	0	0	0
Ier2	39.833333	0	0	0	147	92	0	0
Fth1	39.833333	0	0	0	239	0	0	0
Dpp9	39.833333	0	0	0	69	170	0	0
Clstn3	39.833333	0	0	0	239	0	0	0
Ccdc90b	39.833333	0	0	0	0	239	0	0
Abcd4	39.833333	0	0	0	239	0	0	0
AW554918	39.833333	0	0	0	239	0	0	0
Tmem248	39.666667	0	0	0	141	97	0	0
Scaf1	39.666667	75	0	0	0	163	0	0
Rras	39.666667	75	0	0	0	163	0	0
Rps26	39.666667	118	0	0	0	120	0	0
Polr2k	39.666667	0	0	0	94	144	0	0
Ncam1	39.666667	86	0	0	0	152	0	0
Mrps21	39.666667	0	0	0	130	108	0	0
Mmp8	39.666667	101	0	0	0	137	0	0
Fus	39.666667	96	0	0	0	0	142	0
Emc4	39.666667	0	0	0	238	0	0	0
Dock9	39.666667	0	0	0	238	0	0	0
Cgrrf1	39.666667	126	0	0	112	0	0	0
Bud13	39.666667	103	0	0	135	0	0	0
Tsn	39.500000	0	0	0	124	113	0	0
Sh3pxd2b	39.500000	0	0	0	117	120	0	0
Selenof	39.500000	0	0	0	120	117	0	0
Mrpl54	39.500000	0	0	0	109	128	0	0
Josd1	39.500000	0	0	0	0	237	0	0
Hspa2	39.500000	115	0	0	122	0	0	0
Hs2st1	39.500000	0	0	0	120	117	0	0
Gtpbp1	39.500000	0	0	0	0	237	0	0
Dlg4	39.500000	0	0	0	0	237	0	0
Cspp1	39.500000	0	0	0	237	0	0	0
Cops5	39.500000	0	0	0	237	0	0	0
Cmtm6	39.500000	77	0	0	160	0	0	0
Cdkl4	39.500000	102	0	0	135	0	0	0
Apbb1ip	39.500000	122	0	0	115	0	0	0
Apba3	39.500000	0	0	0	109	128	0	0
Trmo	39.333333	117	0	0	119	0	0	0
Rpl13	39.333333	0	0	0	148	88	0	0
Rnf168	39.333333	0	0	0	104	132	0	0
Psma2	39.333333	0	0	0	105	131	0	0
Ppil2	39.333333	0	0	0	139	97	0	0
Pofut2	39.333333	0	0	0	102	134	0	0
Nxf2	39.333333	0	0	0	0	0	236	0
Mrpl32	39.333333	0	0	0	105	131	0	0
Hnrnpf	39.333333	123	0	0	113	0	0	0
Gpd1	39.333333	134	0	0	0	102	0	0
Foxj1	39.333333	0	0	0	0	236	0	0
Ddx19b	39.333333	0	0	0	80	156	0	0
Cog1	39.333333	0	0	0	131	105	0	0
Cipc	39.333333	117	0	0	119	0	0	0
Ankrd46	39.333333	0	0	0	99	137	0	0
Wdr6	39.166667	0	0	0	97	138	0	0
Tfip11	39.166667	0	0	0	0	235	0	0
Srf	39.166667	0	0	0	0	235	0	0
Setd1a	39.166667	131	0	0	104	0	0	0
Sap30bp	39.166667	0	0	0	120	115	0	0
Rpl34-ps1	39.166667	0	0	0	0	235	0	0
Rpl34	39.166667	0	0	0	0	235	0	0
Recql5	39.166667	0	0	0	120	115	0	0
Nf2	39.166667	0	0	0	235	0	0	0
Myct1	39.166667	84	0	0	151	0	0	0
Ifnz	39.166667	0	0	0	157	78	0	0
Hs6st1	39.166667	123	0	0	112	0	0	0
Gm13276	39.166667	0	0	0	157	78	0	0
Ell	39.166667	96	0	0	0	139	0	0
Coq2	39.166667	0	0	0	0	235	0	0
Clic1	39.166667	0	0	0	150	85	0	0
Celsr3	39.166667	0	0	0	0	235	0	0
Bsdc1	39.166667	0	0	0	235	0	0	0
BC031181	39.166667	0	0	0	0	235	0	0
Adam19	39.166667	92	0	0	143	0	0	0
Zfand4	39.000000	0	0	0	234	0	0	0
Utp14b	39.000000	0	0	0	234	0	0	0
Ube2l6	39.000000	0	114	120	0	0	0	0
Srebf2	39.000000	0	0	0	137	97	0	0
Spef1	39.000000	0	0	0	122	112	0	0
Rfesd	39.000000	76	0	0	158	0	0	0
Ndrg3	39.000000	0	0	0	109	125	0	0
Morc2a	39.000000	0	0	0	0	0	234	0
Limd2	39.000000	0	0	0	234	0	0	0
Gpn2	39.000000	0	0	0	234	0	0	0
Flad1	39.000000	0	0	0	99	135	0	0
Faf1	39.000000	0	0	0	142	92	0	0
Atp8b3	39.000000	0	0	0	0	0	234	0
Acsl3	39.000000	0	0	0	234	0	0	0
Zfp398	38.833333	0	0	0	140	93	0	0
Wipi2	38.833333	130	0	0	103	0	0	0
Trak2	38.833333	0	0	0	135	98	0	0
Stpg3	38.833333	0	0	0	112	121	0	0
Spaca9	38.833333	0	0	0	233	0	0	0
Sh3bgrl3	38.833333	158	0	0	0	75	0	0
Prkar1b	38.833333	0	0	0	141	92	0	0
Neurl4	38.833333	99	0	0	134	0	0	0
Nelfb	38.833333	0	0	0	112	121	0	0
Incenp	38.833333	85	0	0	148	0	0	0
Ifit1bl2	38.833333	105	0	0	0	128	0	0
Fbxo46	38.833333	0	0	0	127	106	0	0
Dnaaf5	38.833333	0	0	0	141	92	0	0
Csrnp2	38.833333	0	0	0	128	105	0	0
Bhmg1	38.833333	0	0	0	127	106	0	0
Atp9b	38.833333	0	0	0	0	233	0	0
Ak8	38.833333	0	0	0	233	0	0	0
4833420G17Rik	38.833333	124	0	0	109	0	0	0
2810408A11Rik	38.833333	99	0	0	134	0	0	0
Vdac2	38.666667	106	0	0	126	0	0	0
Suclg1	38.666667	0	0	0	132	100	0	0
Ssr4	38.666667	0	0	0	232	0	0	0
Safb2	38.666667	0	0	0	105	127	0	0
Safb	38.666667	0	0	0	105	127	0	0
Mthfr	38.666667	0	0	0	0	232	0	0
Kifap3	38.666667	0	0	0	147	85	0	0
Itsn1	38.666667	0	0	0	131	101	0	0
Idh3g	38.666667	0	0	0	232	0	0	0
Hgh1	38.666667	0	0	0	141	91	0	0
Heatr4	38.666667	112	0	0	120	0	0	0
Dnajc8	38.666667	0	0	0	232	0	0	0
Cryzl1	38.666667	0	0	0	131	101	0	0
Clcn6	38.666667	0	0	0	0	232	0	0
Cdca7	38.666667	89	0	0	143	0	0	0
Cd44	38.666667	0	0	0	161	71	0	0
Bach1	38.666667	0	0	0	232	0	0	0
Atpif1	38.666667	0	0	0	232	0	0	0
Atg9b	38.666667	0	0	0	108	124	0	0
Acot2	38.666667	112	0	0	120	0	0	0
Abcb8	38.666667	0	0	0	108	124	0	0
Ttc1	38.500000	0	0	0	121	110	0	0
Slc18a2	38.500000	0	0	0	231	0	0	0
Rimbp3	38.500000	0	0	0	101	130	0	0
Pkd2l1	38.500000	0	0	0	231	0	0	0
Nans	38.500000	0	0	0	120	111	0	0
Mrps17	38.500000	0	0	0	95	136	0	0
Grtp1	38.500000	0	0	0	231	0	0	0
Gm15517	38.500000	0	0	0	0	231	0	0
Cmbl	38.500000	0	0	0	231	0	0	0
Zfp687	38.333333	131	0	0	99	0	0	0
Zfp26	38.333333	0	0	0	230	0	0	0
Ube2m	38.333333	0	0	0	230	0	0	0
Tmem219	38.333333	0	0	0	230	0	0	0
Stim1	38.333333	0	0	0	230	0	0	0
Pikfyve	38.333333	0	0	0	230	0	0	0
Natd1	38.333333	86	0	0	144	0	0	0
Kctd13	38.333333	0	0	0	230	0	0	0
Ino80e	38.333333	149	0	0	81	0	0	0
Idh1	38.333333	0	0	0	230	0	0	0
Hirip3	38.333333	149	0	0	81	0	0	0
Elovl5	38.333333	102	0	0	128	0	0	0
Chmp2a	38.333333	0	0	0	230	0	0	0
Cebpb	38.333333	127	0	0	103	0	0	0
Rnf212b	38.166667	0	0	0	229	0	0	0
Retsat	38.166667	0	0	0	105	124	0	0
Phtf1	38.166667	0	0	0	151	78	0	0
Oosp2	38.166667	0	0	0	0	229	0	0
Hps6	38.166667	0	0	0	169	60	0	0
Elmod3	38.166667	0	0	0	105	124	0	0
Atg5	38.166667	0	0	0	127	102	0	0
Armh3	38.166667	0	0	0	169	60	0	0
Tomm40l	38.000000	85	0	0	0	143	0	0
Stx5a	38.000000	0	0	0	103	125	0	0
St8sia4	38.000000	86	0	0	142	0	0	0
Slc35a2	38.000000	0	0	0	228	0	0	0
Rabif	38.000000	0	0	0	228	0	0	0
Pim2	38.000000	0	0	0	228	0	0	0
Pdpr	38.000000	0	0	0	0	228	0	0
Faap100	38.000000	0	0	0	134	94	0	0
Fa2h	38.000000	0	0	0	0	0	228	0
Endou	38.000000	0	0	0	146	82	0	0
Bptf	38.000000	0	0	0	90	138	0	0
Apoa2	38.000000	85	0	0	0	143	0	0
Zar1l	37.833333	0	0	0	124	103	0	0
Wipi1	37.833333	0	0	0	227	0	0	0
Smim3	37.833333	0	0	0	227	0	0	0
Slx4	37.833333	0	0	0	118	109	0	0
Retreg2	37.833333	0	0	0	125	102	0	0
Lrrc61	37.833333	130	0	0	0	97	0	0
Lpcat2	37.833333	0	0	0	227	0	0	0
Gm5544	37.833333	0	0	0	227	0	0	0
Gm4925	37.833333	135	0	0	0	92	0	0
Erich1	37.833333	86	0	0	141	0	0	0
Dennd5a	37.833333	79	0	0	148	0	0	0
Csnk1g1	37.833333	0	0	0	227	0	0	0
Brca2	37.833333	0	0	0	124	103	0	0
Arl1	37.833333	135	0	0	0	92	0	0
Acbd3	37.833333	0	0	0	227	0	0	0
4833439L19Rik	37.833333	0	0	0	0	227	0	0
Znrf4	37.666667	152	0	0	74	0	0	0
Vmn1r178	37.666667	0	0	0	0	0	226	0
Styxl1	37.666667	0	0	0	115	111	0	0
Ssbp3	37.666667	75	0	0	151	0	0	0
Rnase1	37.666667	0	0	0	226	0	0	0
Ndufc1	37.666667	0	0	0	104	122	0	0
Mdh2	37.666667	0	0	0	115	111	0	0
Gcnt1	37.666667	0	0	0	226	0	0	0
Dhrs7c	37.666667	0	0	0	0	226	0	0
Def8	37.666667	122	0	0	104	0	0	0
Cfdp1	37.666667	0	0	0	135	91	0	0
C7	37.666667	0	0	0	226	0	0	0
Ywhaz	37.500000	0	0	0	225	0	0	0
Vcl	37.500000	0	0	0	225	0	0	0
Sstr2	37.500000	0	0	0	132	93	0	0
Sec14l1	37.500000	0	0	0	225	0	0	0
Sdc4	37.500000	225	0	0	0	0	0	0
Psmd5	37.500000	0	0	0	146	79	0	0
Nop16	37.500000	0	0	0	119	106	0	0
Mt2	37.500000	0	0	0	225	0	0	0
Marchf5	37.500000	0	0	0	225	0	0	0
Higd2a	37.500000	0	0	0	119	106	0	0
H2al1k	37.500000	0	0	0	225	0	0	0
Fitm2	37.500000	0	0	0	121	104	0	0
Cutal	37.500000	0	0	0	146	79	0	0
Ctnnbip1	37.500000	0	0	0	0	225	0	0
Cpeb3	37.500000	0	0	0	225	0	0	0
Atp5l	37.500000	149	0	0	76	0	0	0
Samd9l	37.333333	0	0	0	224	0	0	0
Rubcn	37.333333	0	0	0	105	119	0	0
Rnf44	37.333333	88	0	0	136	0	0	0
Prdx6	37.333333	78	146	0	0	0	0	0
Krcc1	37.333333	0	0	0	224	0	0	0
Gpatch2l	37.333333	0	0	0	224	0	0	0
Espl1	37.333333	0	0	0	128	96	0	0
Efnb2	37.333333	106	0	0	0	118	0	0
Crisp2	37.333333	0	0	0	224	0	0	0
Cdk19	37.333333	0	0	0	138	86	0	0
Ap1s2	37.333333	0	0	0	224	0	0	0
Zfp748	37.166667	0	0	0	103	120	0	0
Zfp46	37.166667	84	0	0	0	139	0	0
Vps4b	37.166667	0	0	0	140	83	0	0
Ufl1	37.166667	0	0	0	89	134	0	0
Sptssa	37.166667	0	0	0	223	0	0	0
Snrpf	37.166667	0	0	0	223	0	0	0
Plekhb1	37.166667	0	0	0	121	102	0	0
Pibf1	37.166667	0	0	0	223	0	0	0
Pgap3	37.166667	0	0	0	93	130	0	0
Ndel1	37.166667	0	0	0	223	0	0	0
Gpatch1	37.166667	0	0	0	112	111	0	0
G2e3	37.166667	0	0	0	223	0	0	0
Foxo3	37.166667	0	0	0	166	57	0	0
Fahd2a	37.166667	111	0	0	112	0	0	0
Esrra	37.166667	0	0	0	223	0	0	0
Entpd6	37.166667	0	0	0	93	130	0	0
Dis3	37.166667	0	0	0	223	0	0	0
Catsperz	37.166667	0	0	0	223	0	0	0
Aoc1	37.166667	0	0	0	223	0	0	0
Utp4	37.000000	0	0	0	222	0	0	0
Tmem127	37.000000	0	0	0	116	106	0	0
Rgs1	37.000000	0	0	0	222	0	0	0
Ptprc	37.000000	0	0	0	222	0	0	0
Notum	37.000000	0	0	0	0	222	0	0
Ms4a10	37.000000	101	0	0	121	0	0	0
Mcl1	37.000000	0	0	0	222	0	0	0
Derpc	37.000000	0	0	0	222	0	0	0
Ciao1	37.000000	0	0	0	116	106	0	0
Chtf8	37.000000	0	0	0	222	0	0	0
Atp5g3	37.000000	0	0	0	222	0	0	0
Slc31a2	36.833333	101	0	0	0	120	0	0
Qrich1	36.833333	0	0	0	0	221	0	0
Pla2g6	36.833333	92	0	0	129	0	0	0
Pip5kl1	36.833333	0	0	0	0	221	0	0
Pcnx4	36.833333	0	0	0	221	0	0	0
Isg15	36.833333	0	0	0	221	0	0	0
Dpm2	36.833333	0	0	0	0	221	0	0
Atp23	36.833333	124	0	0	0	97	0	0
Wdr5	36.666667	141	0	0	0	79	0	0
Tmco1	36.666667	0	0	0	220	0	0	0
Tagln2	36.666667	77	0	0	143	0	0	0
Scrn2	36.666667	0	0	0	79	141	0	0
Oxnad1	36.666667	0	0	0	100	120	0	0
Nfkbil1	36.666667	0	0	0	152	68	0	0
Map3k7	36.666667	98	0	0	0	122	0	0
Hgfac	36.666667	0	0	0	109	111	0	0
H2-DMb1	36.666667	0	0	0	0	220	0	0
Dph3	36.666667	0	0	0	100	120	0	0
Atp6v1g2	36.666667	0	0	0	152	68	0	0
Sh3bgrl	36.500000	0	0	0	219	0	0	0
Ptges2	36.500000	122	0	0	0	97	0	0
Nt5c3b	36.500000	0	0	0	0	0	219	0
Klhl10	36.500000	0	0	0	0	0	219	0
Hexim2	36.500000	0	0	0	143	76	0	0
Dmtn	36.500000	111	0	0	108	0	0	0
Car2	36.500000	0	0	0	219	0	0	0
Vav1	36.333333	0	0	0	218	0	0	405
Rtp3	36.333333	0	0	0	0	218	0	0
Rab4a	36.333333	0	0	0	218	0	0	0
Ppp1r1b	36.333333	0	0	0	218	0	0	0
Lrpprc	36.333333	118	0	0	0	100	0	0
Hic1	36.333333	0	0	0	218	0	0	0
Ahcyl1	36.333333	0	0	0	0	218	0	0
Zfp524	36.166667	105	0	0	112	0	0	0
Trpc4ap	36.166667	0	0	0	0	217	0	0
Tmem97	36.166667	0	0	0	217	0	0	0
Tmem192	36.166667	217	0	0	0	0	0	0
Tceal3	36.166667	0	0	0	217	0	0	0
Stx4a	36.166667	0	0	0	125	92	0	0
Spsb3	36.166667	0	0	0	217	0	0	0
Slf2	36.166667	136	0	0	81	0	0	0
Pogz	36.166667	0	0	0	90	127	0	0
Nubp2	36.166667	0	0	0	217	0	0	0
Lnpk	36.166667	0	0	0	217	0	0	0
Lep	36.166667	0	0	0	0	0	217	0
Ing4	36.166667	0	0	0	217	0	0	0
Fam91a1	36.166667	0	0	0	70	147	0	0
Fam161b	36.166667	91	0	0	126	0	0	0
Erlin1	36.166667	0	0	0	217	0	0	0
Erlec1	36.166667	0	0	0	217	0	0	0
Eaf2	36.166667	0	0	0	109	108	0	0
D630039A03Rik	36.166667	0	0	0	217	0	0	0
Coq6	36.166667	91	0	0	126	0	0	0
Cant1	36.166667	0	0	0	217	0	0	0
Asb3	36.166667	0	0	0	217	0	0	0
Apol8	36.166667	0	0	0	0	0	217	0
1700008O03Rik	36.166667	0	0	0	112	105	0	0
Usp15	36.000000	99	0	0	117	0	0	0
Katnbl1	36.000000	0	0	0	97	119	0	0
Helb	36.000000	0	0	0	0	0	216	0
Gtf2a1	36.000000	112	0	0	104	0	0	0
Cast	36.000000	102	0	0	114	0	0	0
Abhd18	36.000000	0	0	0	106	110	0	0
9130401M01Rik	36.000000	0	0	0	100	116	0	0
Vdac1	35.833333	113	0	0	102	0	0	0
Smarcd1	35.833333	0	0	0	67	148	0	0
Rybp	35.833333	0	0	0	215	0	0	0
Ndufs4	35.833333	0	0	0	137	78	0	0
Gtf3c1	35.833333	0	0	0	127	88	0	0
Gast	35.833333	0	0	0	0	0	215	0
D430042O09Rik	35.833333	0	0	0	127	88	0	0
Ctsj	35.833333	0	0	0	215	0	0	0
Aadacl2fm1	35.833333	0	0	0	215	0	0	0
Vps35l	35.666667	0	0	0	139	75	0	0
Them7	35.666667	0	0	0	214	0	0	0
Spata5	35.666667	94	0	0	120	0	0	0
Slc2a9	35.666667	0	0	0	214	0	0	0
Rnase10	35.666667	99	0	0	0	115	0	0
Retreg1	35.666667	126	0	0	0	88	0	0
Nudt6	35.666667	94	0	0	120	0	0	0
Moxd2	35.666667	117	0	0	0	97	0	0
Lrguk	35.666667	0	0	0	0	214	0	0
Kcnj9	35.666667	0	0	0	0	214	0	0
Eed	35.666667	105	0	0	109	0	0	0
Asic3	35.666667	0	0	0	0	0	214	0
Zkscan1	35.500000	114	0	0	0	99	0	0
Slc44a3	35.500000	0	0	0	0	0	213	0
Rell1	35.500000	75	0	0	138	0	0	0
Rcc1	35.500000	0	0	0	213	0	0	0
Pink1	35.500000	0	0	0	93	120	0	0
Mbnl1	35.500000	0	0	0	154	59	0	0
Gdpd1	35.500000	0	0	0	131	82	0	0
Gabbr1	35.500000	92	0	0	0	121	0	0
Fam53c	35.500000	112	0	0	0	101	0	0
Dync1li1	35.500000	0	0	0	213	0	0	0
Usp35	35.333333	0	0	0	0	212	0	0
Trim65	35.333333	105	0	0	107	0	0	0
Strap	35.333333	0	0	0	0	212	0	0
Scyl2	35.333333	0	0	0	212	0	0	0
Ptpn21	35.333333	0	0	0	212	0	0	0
Oprd1	35.333333	71	0	0	141	0	0	0
Nasp	35.333333	0	0	0	100	112	0	0
Nae1	35.333333	0	0	0	0	212	0	0
Mtrex	35.333333	0	0	0	115	97	0	0
Kctd21	35.333333	0	0	0	0	212	0	0
Eif1	35.333333	0	0	0	122	90	0	0
Dhx29	35.333333	0	0	0	115	97	0	0
Ddx3x	35.333333	0	0	0	212	0	0	0
Car7	35.333333	0	0	0	0	212	0	0
Zfp943	35.166667	89	0	0	122	0	0	0
Zfp942	35.166667	89	0	0	122	0	0	0
Xirp1	35.166667	0	0	0	0	211	0	0
Ttc30a2	35.166667	211	0	0	0	0	0	0
Stk40	35.166667	0	0	0	115	96	0	0
Sec22c	35.166667	0	0	0	211	0	0	0
Rpl5	35.166667	0	0	0	0	211	0	0
Rab7	35.166667	0	0	0	129	82	0	0
Pan3	35.166667	211	0	0	0	0	0	0
Mien1	35.166667	0	0	0	97	114	0	0
Il15	35.166667	211	0	0	0	0	0	0
Hmg20b	35.166667	0	0	0	211	0	0	0
Etfa	35.166667	0	0	0	211	0	0	0
Zfp663	35.000000	0	0	0	210	0	0	0
Trappc5	35.000000	0	0	0	109	101	0	0
Rab11fip1	35.000000	0	0	0	210	0	0	0
Ppp1r9b	35.000000	0	0	0	210	0	0	0
Pde4b	35.000000	0	0	0	210	0	0	0
Hikeshi	35.000000	0	0	0	210	0	0	0
Fcor	35.000000	0	0	0	109	101	0	0
Arhgap22	35.000000	0	0	0	0	210	0	0
Ttll5	34.833333	0	0	0	146	63	0	0
Slc35c1	34.833333	0	0	0	112	97	0	0
Plin3	34.833333	0	0	0	139	70	0	0
Phyh	34.833333	0	0	0	112	97	0	0
Matr3	34.833333	0	0	0	209	0	0	0
Ldlr	34.833333	0	0	0	209	0	0	0
Gmppb	34.833333	0	0	0	104	105	0	0
Erg28	34.833333	0	0	0	146	63	0	0
Col6a6	34.833333	0	0	0	0	209	0	0
Amigo3	34.833333	0	0	0	104	105	0	0
4930444G20Rik	34.833333	92	0	0	0	117	0	0
Cxcr4	34.666667	208	0	0	0	0	0	171
Tnfrsf12a	34.666667	0	0	0	95	113	0	0
Thoc7	34.666667	0	0	0	208	0	0	0
Thoc6	34.666667	0	0	0	95	113	0	0
Ssrp1	34.666667	0	0	0	208	0	0	0
P2rx3	34.666667	0	0	0	208	0	0	0
Mfsd14b	34.666667	0	0	0	0	208	0	0
Hcfc1r1	34.666667	0	0	0	95	113	0	0
Ccnl1	34.666667	0	0	0	208	0	0	0
1700123O20Rik	34.666667	0	0	0	208	0	0	0
Zfp341	34.500000	0	0	0	109	98	0	0
Wdr4	34.500000	0	0	0	66	141	0	0
Wdr34	34.500000	0	0	0	105	102	0	0
Ube2o	34.500000	0	0	0	207	0	0	0
Tom1	34.500000	0	0	0	114	93	0	0
Sphk1	34.500000	87	0	0	0	120	0	0
