Target_genes	Clock|Average	SRX1098141|Beta-TC-6	SRX7525068|Gastrocnemius_muscle	SRX7525069|Gastrocnemius_muscle	DRX011942|Liver	DRX011943|Liver	DRX011944|Liver	DRX011945|Liver	DRX011946|Liver	DRX011947|Liver	DRX011948|Liver	DRX011949|Liver	DRX011950|Liver	DRX011951|Liver	DRX011952|Liver	DRX011953|Liver	DRX011954|Liver	DRX011955|Liver	DRX011956|Liver	DRX011957|Liver	DRX011958|Liver	DRX011959|Liver	DRX011960|Liver	DRX011961|Liver	SRX131982|Liver	SRX285121|Liver	SRX285122|Liver	SRX285123|Liver	SRX285124|Liver	SRX285125|Liver	SRX285126|Liver	SRX285127|Liver	SRX285128|Liver	SRX285129|Liver	SRX285130|Liver	SRX285131|Liver	SRX285132|Liver	SRX414999|Liver	SRX415000|Liver	SRX4416878|Liver	SRX4416879|Liver	SRX4416880|Liver	SRX4416881|Liver	SRX4416892|Liver	SRX4416894|Liver	SRX4416896|Liver	SRX4416898|Liver	SRX710452|Liver	SRX710446|NIH/3T3	SRX710447|NIH/3T3	SRX710448|NIH/3T3	SRX710449|NIH/3T3	SRX710450|NIH/3T3	SRX710451|NIH/3T3	STRING
Man1b1	18.792453	0	149	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4bp2l2	18.773585	0	153	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctnnd1	18.773585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proser3	18.754717	0	138	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnn	18.754717	0	132	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup54	18.754717	0	170	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ing1	18.754717	0	108	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb6	18.754717	0	138	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dr1	18.754717	0	120	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	170	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs4	18.754717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf1	18.754717	0	127	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Znrd1as	18.735849	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Znrd1	18.735849	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspyl2	18.735849	0	269	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0
Map4k3	18.735849	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c18	18.735849	0	127	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	145	0	164	0	0	0	0	0	0	0	0	0	0	0	0
Dvl1	18.735849	0	116	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1c2	18.716981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	175	103	256	0	191	83	0	0	0	0	0	0	0	0	0
Grk6	18.716981	0	292	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gc	18.716981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssrp1	18.698113	0	107	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps27rt	18.698113	0	229	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab13	18.698113	0	229	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx3	18.698113	0	107	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hjv	18.698113	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rflnb	18.679245	0	159	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	192	111	129	109	0	0	0	0	0	0	0	0	0
Mapk12	18.679245	0	299	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc3	18.679245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	178	89	0	83	160	0	0	0	0	0	0	0	0	0	0	0	0
Lacc1	18.679245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	147	187	0	154	0	0	128	0	0	0	0	0	0	0	0	0
H2-T23	18.679245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34653	18.679245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	103	0	421	0	0	344	0	0	0	0	0	0	0	0	0
Ccdc61	18.679245	0	310	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc122	18.679245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	147	187	0	154	0	0	128	0	0	0	0	0	0	0	0	0
Svip	18.660377	0	217	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	144	0	134	0	0	0	0	0	0	0	0	0	0
Rnaseh2a	18.660377	0	158	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parp14	18.660377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsg1	18.660377	0	154	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoa1	18.660377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	214	0	0	83	0	71	0	155	0	0	0	0	0	0	0	0	0
Wdr37	18.641509	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad1	18.641509	0	128	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brix1	18.641509	0	128	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ano10	18.641509	0	270	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3425401B19Rik	18.641509	0	212	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smap1	18.622642	0	139	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epg5	18.622642	0	216	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	101	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0
Slc30a7	18.603774	0	109	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	147	128	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrap1	18.603774	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif26b	18.603774	0	326	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extl2	18.603774	0	109	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	147	128	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcap31	18.603774	0	317	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurkaip1	18.603774	0	183	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcd1	18.603774	0	317	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmco6	18.584906	0	182	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scnm1	18.584906	0	243	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysmd1	18.584906	0	243	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2s3y	18.584906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1l	18.566038	0	230	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	170	0	0	185	0	0	0	0	0	0	0	0	0
Hspa1a	18.566038	0	230	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	170	0	0	185	0	0	0	0	0	0	0	0	0
Ercc4	18.566038	0	139	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf185	18.547170	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap26	18.547170	0	186	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	127	0	115	0	126	0	0	0	0	0	0	0	0	0	0	0	0
Rpe	18.528302	0	189	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	165	0	0	172	0	0	112	0	0	0	0	0	0	0	0	0
Nudt4	18.528302	0	121	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufb6	18.528302	0	98	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc3	18.509434	0	428	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem134	18.509434	0	81	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigp	18.509434	0	428	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aip	18.509434	0	81	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stard3	18.490566	0	222	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0
Rbm12b2	18.490566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d8	18.471698	0	128	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scn1b	18.471698	0	433	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psd4	18.471698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	312	91	0	207	0	161	0	0	0	0	0	0	0	0	0	0
Kctd2	18.471698	0	125	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx49	18.471698	0	214	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cope	18.471698	0	214	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5h	18.471698	0	125	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd10	18.471698	0	146	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scyl3	18.452830	0	348	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab20	18.452830	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fxr2	18.452830	0	294	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrc5	18.433962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	194	0	121	163	0	0	0	0	0	0	0	0	0
Nans	18.433962	0	321	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0a2	18.433962	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zrsr2	18.415094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traf3ip2	18.415094	0	227	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	91	0	118	0	0	0	0	0	0	0	0	0	0	0	0
Iyd	18.415094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	108	0	0	111	0	153	144	0	0	0	0	0	0	0	0	0
Itih3	18.415094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	221	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
Ints9	18.415094	0	254	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmbox1	18.415094	0	254	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crocc	18.415094	0	326	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	107	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0
Hpcal1	18.396226	0	202	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd3	18.396226	0	175	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	200	0	113	0	0	0	0	0	0	0	0	0	0
Abhd2	18.396226	0	324	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ezh2	18.377358	0	228	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	114	0	105	0	0	0	0	0	0	0	0	0	0	0	0
Ssr3	18.358491	0	188	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa15	18.358491	0	118	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	146	111	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadat	18.358491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	167	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Wsb2	18.339623	0	178	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps13b	18.339623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tecpr2	18.339623	0	129	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	147	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0
Psmd4	18.339623	0	203	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cinp	18.339623	0	129	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	147	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0
Zfp180	18.320755	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpm3	18.320755	0	131	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nt5dc1	18.320755	0	255	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfi	18.320755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	113	0	0	215	0	172	0	0	0	0	0	0	0	0	0	0
Pank2	18.283019	0	243	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0
Slc38a10	18.264151	0	158	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tut4	18.245283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	265	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp4	18.245283	0	269	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	189	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0
S100a6	18.245283	0	0	0	0	0	0	196	274	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
