Target_genes	Foxp3|Average	SRX8769868|CD4+_T_cells	SRX8769869|CD4+_T_cells	SRX8769870|CD4+_T_cells	SRX495631|EL4	SRX1162501|iTreg	SRX1162502|iTreg	SRX495632|iTreg	SRX5689481|nTreg	SRX5689486|nTreg	SRX5689487|nTreg	SRX5689489|nTreg	SRX5689492|nTreg	SRX5689495|nTreg	SRX5689498|nTreg	SRX8123998|nTreg	SRX8123999|nTreg	SRX8124000|nTreg	SRX8124001|nTreg	SRX179486|Tconv	SRX179487|Tconv	SRX14474049|Treg	SRX14474050|Treg	SRX14474052|Treg	SRX14474053|Treg	SRX14590893|Treg	SRX14590894|Treg	SRX14590895|Treg	SRX14590896|Treg	SRX14590897|Treg	SRX14590898|Treg	SRX14743588|Treg	SRX14743589|Treg	SRX14743590|Treg	SRX14743594|Treg	SRX14743595|Treg	SRX14743596|Treg	SRX184860|Treg	SRX184861|Treg	SRX184863|Treg	SRX2341414|Treg	SRX2341415|Treg	SRX2341416|Treg	SRX2341417|Treg	SRX2341418|Treg	SRX2341419|Treg	SRX3829343|Treg	SRX3829344|Treg	SRX4814119|Treg	SRX4814120|Treg	SRX4814134|Treg	SRX4814135|Treg	SRX484252|Treg	SRX484253|Treg	SRX484254|Treg	SRX484255|Treg	SRX484256|Treg	STRING
Mogs	24.160714	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	648	164	0	0	140	0	0	0	0	0	0	0	0	0	0
Gsn	24.160714	0	0	0	0	69	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	103	0	0	0	0	0	0	0	0	0	350	0	0	452	70	0	0	0	0	0	0	0	0	0	0	0	0	0
Galns	24.160714	0	0	0	0	0	0	0	104	101	0	0	0	0	0	0	0	0	0	0	0	183	180	216	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4v3	24.160714	0	0	0	0	0	0	0	87	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	135	172	265	0	0	0	200	0	0	0	0	0	0	0	0	0	0
Commd6	24.160714	0	98	84	0	0	0	0	128	93	0	0	0	0	169	0	0	0	0	0	0	0	0	136	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	177	119	0	0	125	0	0	0	0	0	0	0	0	0	0
Adck5	24.160714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	145	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	391	155	0	0	105	0	0	0	0	0	0	0	0	0	0
Chsy1	24.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	189	127	0	0	0	105	0	68	0	0	0	0	0	0	0	0	0	0	178	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmpr1a	24.142857	0	0	0	0	0	0	0	84	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	146	0	0	0	0	0	0	0	0	0	210	0	0	429	128	0	0	78	0	0	0	0	0	0	0	0	0	0
Pfdn2	24.125000	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	83	416	154	0	0	92	0	0	0	0	0	0	0	0	0	0
Ovol3	24.125000	0	0	0	0	0	0	0	0	175	0	0	0	0	88	74	0	0	0	0	0	131	0	175	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	217	0	0	118	0	0	0	0	0	0	0	0	0	0	0
Nit1	24.125000	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	83	416	154	0	0	92	0	0	0	0	0	0	0	0	0	0
Ctnna3	24.125000	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	521	0	0	399	109	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r171	24.107143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	152	209	406	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vasp	24.107143	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	68	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	277	0	0	161	365	0	0	0	0	0	0	0	0	0	0
Smap1	24.107143	0	0	0	0	0	0	0	0	127	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	256	0	0	546	0	88	0	140	0	0	0	0	0	0	0	0	0	0
Bcl7a	24.107143	133	131	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	418	117	0	0	74	0	0	0	0	0	0	0	0	0	0
Tnip1	24.089286	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	125	110	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	329	143	0	0	0	0	0	140	0	0	0	0	0	0	0
Tubb6	24.071429	0	0	0	0	120	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	142	230	241	87	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syne1	24.071429	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	149	0	0	117	0	0	0	0	0	0	0	0	0	394	0	0	331	101	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmo4	24.071429	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	449	0	0	529	0	0	0	96	0	0	0	0	0	0	0	0	0	0
Cenpb	24.071429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	331	0	0	752	195	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem35a	24.053571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	188	121	351	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0
Mak16	24.053571	77	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	72	0	0	91	0	0	0	80	0	0	0	0	0	393	0	0	338	79	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdhc	24.035714	96	0	0	0	0	0	0	87	99	0	0	0	0	0	0	0	0	0	0	0	138	183	129	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpz	24.035714	96	0	0	0	0	0	0	87	99	0	0	0	0	0	0	0	0	0	0	0	138	183	129	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt10	24.035714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	128	0	0	130	0	0	0	99	0	0	0	0	0	309	0	0	357	0	0	0	161	0	0	0	0	0	0	0	0	0	0
Ggta1	24.035714	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	124	153	189	0	0	0	107	132	0	86	0	0	0	0	0	0	0	0	0	190	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pth2	24.017857	0	0	0	0	0	0	0	0	80	0	0	0	0	117	0	0	0	0	0	0	179	327	294	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gfy	24.017857	0	0	0	0	0	0	0	0	80	0	0	0	0	117	0	0	0	0	0	0	179	327	294	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srbd1	24.000000	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	410	254	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc30a1	24.000000	0	85	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	69	0	0	0	0	0	0	0	0	0	275	0	0	319	99	0	86	129	0	0	0	0	0	0	0	0	0	0
Zscan26	23.982143	0	0	0	0	0	0	0	173	134	0	0	0	0	0	0	0	0	0	0	0	110	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	297	90	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmat2	23.982143	0	0	0	0	0	0	0	151	89	0	0	0	0	0	0	0	0	0	0	0	0	192	133	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	142	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab11fip3	23.982143	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	533	161	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr1b	23.982143	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	115	180	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	258	141	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpy30	23.982143	104	83	0	0	0	0	0	0	84	0	0	0	0	132	0	0	0	0	112	0	0	114	0	0	0	0	80	0	0	109	0	0	0	0	0	0	0	0	0	127	0	0	194	0	0	121	83	0	0	0	0	0	0	0	0	0	0
Arpc1b	23.982143	111	108	0	0	0	0	0	0	205	101	0	0	0	0	0	0	0	0	0	0	0	133	91	0	0	0	60	0	0	94	0	0	0	0	0	0	0	0	0	205	0	0	134	0	0	0	101	0	0	0	0	0	0	0	0	0	0
Zfp592	23.964286	132	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	103	0	0	0	0	0	0	0	0	0	295	0	0	382	0	0	92	142	0	0	0	0	0	0	0	0	0	0
Shkbp1	23.964286	0	0	0	0	0	0	0	0	404	152	0	0	0	89	0	0	0	0	0	0	162	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thtpa	23.946429	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	488	232	177	0	0	0	0	0	0	0	0	0	0	0	0
Srp72	23.946429	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	128	0	0	0	0	0	0	103	0	0	0	0	0	240	0	0	320	170	0	0	122	0	0	0	0	0	0	0	0	0	0
Irgc1	23.946429	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	384	113	122	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc20	23.928571	0	0	0	0	0	0	0	70	111	0	0	0	0	143	0	0	0	0	0	0	0	155	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ajm1	23.928571	0	0	0	0	0	0	0	165	271	0	0	0	0	0	0	0	0	0	0	0	105	190	322	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl21a	23.910714	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	91	0	0	0	0	0	88	0	0	0	0	0	224	0	0	365	183	0	0	181	0	0	0	0	0	0	0	0	0	0
Eif2ak4	23.910714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	183	240	210	0	0	0	0	0	113	0	0	0	85	0	0	0	0	0	164	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugcg	23.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	103	82	159	0	0	0	0	0	0	0	0	0	334	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem69	23.892857	122	152	106	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	322	99	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc35b3	23.892857	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	99	0	151	0	0	0	114	0	0	0	0	0	267	0	0	319	122	0	83	0	0	0	0	0	0	0	0	0	0	0
Procr	23.892857	0	0	0	0	0	0	0	149	131	0	118	0	0	163	172	184	0	139	0	0	0	146	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa38	23.892857	0	0	0	0	0	0	0	88	79	0	0	0	0	86	0	85	0	0	0	0	113	180	179	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	96	0	0	0	0	0	0	159	0	0	0	0	0	0	0
Gpbp1l1	23.892857	122	152	106	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	322	99	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3696	23.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	139	0	0	0	0	0	0	0	0	0	341	0	0	363	89	0	0	248	0	0	0	0	0	0	0	0	0	0
Cyb5d1	23.892857	0	0	0	0	0	0	0	88	79	0	0	0	0	86	0	85	0	0	0	0	113	180	179	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	96	0	0	0	0	0	0	159	0	0	0	0	0	0	0
Tnfsf8	23.875000	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	229	117	0	0	182	111	0	0	0	0	0	0	0	0	0
Irgm2	23.875000	0	131	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	198	377	106	0	0	0	0	0	123	0	0	0	0	0	0
Hexa	23.875000	0	0	0	0	0	0	0	120	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	184	0	0	0	0	212	0	171	115	0	0	0	105	0	0
Commd10	23.875000	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	135	0	0	118	0	0	0	104	0	0	0	0	0	341	0	0	271	0	0	0	192	0	0	0	0	0	0	0	0	0	0
Stt3a	23.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	102	151	69	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	340	0	0	364	99	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf14	23.839286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	240	0	0	0	0	526	296	0	0	0	0	0	0	0	0
Rtf1	23.839286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	115	0	0	0	0	0	231	0	0	663	133	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmg4	23.839286	0	120	119	0	0	0	0	0	108	73	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp7b	23.839286	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	113	0	0	104	0	0	0	0	0	0	0	0	0	264	0	0	439	0	0	0	137	0	0	0	0	0	0	0	0	0	0
Alg11	23.839286	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	113	0	0	104	0	0	0	0	0	0	0	0	0	264	0	0	439	0	0	0	137	0	0	0	0	0	0	0	0	0	0
Wrn	23.803571	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	91	0	0	0	0	0	0	0	0	0	258	0	0	447	146	0	0	121	0	0	0	0	0	0	0	0	0	0
Slc31a1	23.803571	0	0	0	0	0	0	0	144	143	0	0	0	0	0	0	0	0	0	0	0	93	175	146	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	185	0	0	105	0	0	0	0	0	0	0	0	0	0	0
Rtl8b	23.803571	0	0	0	0	0	0	0	0	212	0	0	0	0	0	79	0	0	0	0	0	0	0	107	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	344	0	0	346	150	0	0	0	0	0	0	0	0	0	0	0	0	0
Purg	23.803571	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	91	0	0	0	0	0	0	0	0	0	258	0	0	447	146	0	0	121	0	0	0	0	0	0	0	0	0	0
Klc1	23.803571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	76	0	0	0	0	0	0	0	0	0	317	117	0	592	0	124	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp15	23.803571	0	0	0	0	0	0	0	144	143	0	0	0	0	0	0	0	0	0	0	0	93	175	146	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	185	0	0	105	0	0	0	0	0	0	0	0	0	0	0
Csrnp2	23.785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	246	139	0	0	0	82	0	62	86	0	0	0	0	0	0	0	0	0	186	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yeats4	23.767857	0	0	0	0	0	0	0	146	123	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	102	0	0	0	0	0	0	0	0	0	325	0	0	297	0	0	113	0	0	0	0	0	0	0	0	0	0	0
Ulk4	23.767857	0	0	0	0	0	0	0	0	154	0	0	0	0	76	0	0	0	0	0	0	75	138	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	339	102	0	94	0	0	0	0	0	0	0	0	0	0	0
Kdelr2	23.767857	0	0	0	0	0	0	0	104	77	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	77	0	0	0	0	0	0	0	0	0	230	0	0	366	101	0	0	155	0	0	0	0	0	0	0	0	0	0
Igf2bp3	23.767857	140	253	241	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	95	147	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Commd9	23.767857	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	117	119	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xndc1	23.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	81	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	505	0	0	406	0	0	0	115	0	0	0	0	0	0	0	0	0	0
Vinac1	23.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	605	143	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttl	23.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	605	143	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf121	23.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	81	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	505	0	0	406	0	0	0	115	0	0	0	0	0	0	0	0	0	0
Raph1	23.750000	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	129	0	149	0	0	0	0	0	0	0	0	0	215	0	0	430	0	0	0	176	0	0	0	0	0	0	0	0	0	0
Frmd5	23.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	244	224	156	0	0	100	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	135	0	0	0	0	0	0	0	0	0
Drosha	23.750000	104	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	256	0	0	443	81	0	0	120	0	0	102	0	0	0	0	0	0	0
6030458C11Rik	23.750000	104	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	256	0	0	443	81	0	0	120	0	0	102	0	0	0	0	0	0	0
Phf1	23.732143	0	0	0	0	0	0	0	106	124	0	0	0	0	0	0	0	0	0	0	0	148	198	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	217	0	0	0	104	0	0	0	0	0	0	0	0	0	0
Mis18a	23.732143	0	83	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	178	190	116	130	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	194	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rap2c	23.714286	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	88	0	0	0	0	0	0	0	0	0	233	0	0	307	184	0	81	198	0	0	0	0	0	0	0	0	0	0
Prr7	23.714286	0	175	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	114	0	0	0	0	0	0	0	0	0	305	0	0	308	86	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcab6	23.696429	215	185	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xab2	23.678571	0	0	0	0	0	0	0	126	100	0	0	0	0	0	0	0	0	0	0	0	143	134	134	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	256	75	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase4	23.678571	115	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	87	366	123	0	0	169	0	0	0	0	0	0	0	0	0	0
Pet100	23.678571	0	0	0	0	0	0	0	126	100	0	0	0	0	0	0	0	0	0	0	0	143	134	134	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	256	75	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcp2	23.678571	0	0	0	0	0	0	0	126	100	0	0	0	0	0	0	0	0	0	0	0	143	134	134	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	256	75	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk3	23.678571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	233	125	0	206	152	0	0	0	0	0	0	0	0	99	0
Evi2b	23.678571	0	0	0	0	0	0	0	91	144	0	0	0	0	113	0	0	0	0	0	0	0	0	141	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	102	213	66	0	0	0	111	0	0	0	0	0	0	0	0	0
Atxn1	23.678571	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	95	0	0	0	0	0	0	90	0	0	0	0	0	193	0	0	274	0	0	0	229	0	0	0	0	0	0	0	0	0	0
Ang	23.678571	115	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	87	366	123	0	0	169	0	0	0	0	0	0	0	0	0	0
Rai1	23.660714	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	86	0	0	0	0	0	0	0	0	0	257	0	0	502	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Twsg1	23.642857	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	98	0	0	0	0	0	0	0	0	0	347	0	0	407	124	0	0	80	0	0	0	0	0	0	0	0	0	0
Tbca	23.642857	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	123	106	0	0	0	0	0	0	0	0	0	0	0	293	0	0	383	100	0	0	100	0	0	0	0	0	0	0	0	0	0
Psmd14	23.642857	0	0	0	0	0	0	0	95	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	198	346	0	0	158	0	0	0	89	0	0	0	0	0	0	0	0	232	0
Slc15a3	23.625000	0	0	0	0	0	0	0	137	186	0	0	0	0	157	0	0	0	0	0	0	133	111	192	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0
Dnajb2	23.625000	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	104	0	0	0	0	0	0	0	0	0	371	0	0	333	0	0	110	156	0	0	0	0	0	0	0	0	0	0
Wwp2	23.607143	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	110	0	0	94	0	0	0	0	0	0	0	0	0	196	0	0	462	88	0	117	0	0	0	0	0	0	0	0	0	0	0
Nicn1	23.607143	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	205	256	300	148	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa4l2	23.607143	0	0	0	0	0	0	0	119	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	470	150	143	0	0	0	0	0	0	0	0	0	0	0	0
