Target_genes	Bcl11a|Average	SRX8030787|Acute_myeloid_leukemia	ERX2242378|Breast_cells	ERX200399|Mammary_epithelial_cells	ERX200403|Mammary_epithelial_cells	ERX200408|Mammary_epithelial_cells	ERX200412|Mammary_epithelial_cells	ERX200417|Mammary_epithelial_cells	ERX200421|Mammary_epithelial_cells	ERX200426|Mammary_epithelial_cells	ERX200430|Mammary_epithelial_cells	ERX200435|Mammary_epithelial_cells	ERX200439|Mammary_epithelial_cells	STRING
Ssbp4	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Srsf2	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Srsf10	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Sp2	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
S100a10	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Rprd1b	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Rgs12	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Psmb10	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Plbd2	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Opn3	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Npat	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Nfe2l2	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Mxd3	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd11	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Mastl	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Mark3	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Map3k20	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Lta4h	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2a	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Kif16b	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5f	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Ino80c	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Hpf1	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
H4c9	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
H2bc11	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
H2ac11	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2f2	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Fli1	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Epha7	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Dok7	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Ctrl	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf1	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Cnpy3	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Chml	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Atm	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Aplf	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Abcf2	14.916667	179	0	0	0	0	0	0	0	0	0	0	0	0
Zfp810	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Txndc11	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Trim24	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Sidt2	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Sgo2a	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Sema3b	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Rrp1	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Rprd1a	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Rplp1	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Rab22a	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Poldip3	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Napepld	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Lyz2	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Lsm12	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Itga2b	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
G6pc3	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Etv5	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Dhx15	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Asap1	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Ano10	14.833333	178	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc2	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h4	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Wwox	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Tbccd1	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Tatdn2	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Tab3	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Smu1	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Smdt1	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Rraga	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Ripor1	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Pter	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Pip5kl1	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Pheta2	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Mllt10	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Mex3d	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Map3k14	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Map2k5	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Higd1a	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Ercc5	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Epb41l2	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Eif3l	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Dync1li1	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Dpm2	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb11	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs7c	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Cmip	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Cfap126	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Abcf3	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Wdr18	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Tkfc	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a15	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Selenos	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Rsph3b	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Polr1d	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Phf1	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Pdhx	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Msl2	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Lnx2	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Lif	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Kcnip3	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Frs2	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Fcf1	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Fam43a	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Ddb1	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Brf1	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Arel1	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Apip	14.666667	176	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve26	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Zfand2b	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Xpr1	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Vipas39	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Tbcd	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Rragc	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Retreg1	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Rad51b	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Nepro	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Mydgf	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Mob1a	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Meiob	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Map2k1	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Ifrd2	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Frmd4a	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Fbl	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Dnaic2	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Cntrl	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Chpt1	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Calu	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0a2	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Atp5g1	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Atp2a3	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd10	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Ahsa1	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Adam10	14.583333	175	0	0	0	0	0	0	0	0	0	0	0	0
Zfp983	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Zfp626	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Zfand2a	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Zer1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Uvrag	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Uhrf2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Trip4	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Tmem59	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Tedc1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Tceanc2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Syce2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Stk38l	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Stard3nl	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Srr	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Srbd1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Snx32	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Snrpd1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Smg6	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Slf2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Sike1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Pycrl	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Pfn3	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Pdlim5	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Nbeal2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Naa25	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Manea	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Lmbr1l	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd3	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Hsdl2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b12	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l3	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Fmc1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Cyb5r3	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Csnk1g1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Crip1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Crem	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc17	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc12	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Bri3	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Atl2	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap10	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Abtb1	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Aasdhppt	14.500000	174	0	0	0	0	0	0	0	0	0	0	0	0
Zfp28	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Xkr5	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Tssk1	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Timm50	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a8	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a17	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Sik2	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Rtp2	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Rnaseh2b	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Rhbdd2	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Rbm12b2	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Psma5	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Papln	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Nudt1	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Nsun3	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Mtdh	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Mrtfa	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Mphosph6	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Mapk14	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Kxd1	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Htt	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
H4c14	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
H3c13	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Fst	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp8	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Eif3m	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Dgcr2	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Crtc1	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Capn10	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Btbd7	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Brap	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Atp8b4	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Apc	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Ahi1	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Acad10	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
A430005L14Rik	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
9930012K11Rik	14.416667	173	0	0	0	0	0	0	0	0	0	0	0	0
Znrf2	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Tspan17	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Trdmt1	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d20	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Spg21	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Smad2	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Scoc	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Sars	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Rft1	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Rad9a	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Pgap2	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Papolg	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Nup98	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg4	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Mroh1	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Lrp11	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Hexim1	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
H1f0	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Gcat	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Eml4	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Crot	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Cflar	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Adss	14.333333	172	0	0	0	0	0	0	0	0	0	0	0	0
Zkscan6	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Zfp566	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Zfp260	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Zfp26	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Timm10	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Smtnl1	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Slc36a1	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Shisa5	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Serpine1	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Pdp1	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Med26	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Jtb	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Hps6	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Gm5617	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Bspry	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Aunip	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Armh3	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Aoah	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Angel1	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Adam11	14.250000	171	0	0	0	0	0	0	0	0	0	0	0	0
Zfp217	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h8	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Wdr91	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Uqcc2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Tmtc3	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Tmem238	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Siah2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Scfd1	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Rpl28	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Pstpip2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Psma2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Prr13	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Pik3r2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Pigl	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Pard6b	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Otud1	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Npr1	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Ncor1	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Mrps17	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl32	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Lmna	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Heatr5b	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Gpatch11	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja3	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Dhx35	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf5	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Coro7	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Cep290	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Cbln3	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Akt2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Aim2	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Abt1	14.166667	170	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb8os	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Tti2	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Trim11	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Tmem79	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Tedc2	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Suox	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Snapc5	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Smg5	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Sinhcaf	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Rps20	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Rbbp4	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Rab3d	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Pts	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Pex5	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Nmnat1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Nemf	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Mrps26	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Mmd	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd5	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Madd	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Lzic	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Krit1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Itsn1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Insig2	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Immp2l	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Hsf1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Exo5	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Epop	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Eif3g	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Eif2s3x	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Ebna1bp2	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Dtx4	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Dgke	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Dclre1b	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Csf2ra	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cryzl1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cmtr2	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cfap57	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cep70	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cebpzos	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cdiptos	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Cdipt	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Bop1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Atp5k	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Ap4b1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Ankib1	14.083333	169	0	0	0	0	0	0	0	0	0	0	0	0
Zfp367	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Yars	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Tubd1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Tpst2	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Tmem38b	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Tmem167b	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Tmem119	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Srsf11	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Spindoc	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Smc1a	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Slc35f5	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a19	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Sh2d1b1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
S100pbp	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Rps6kb1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Ribc1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Rbis	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2cb	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Paox	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Oga	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Ndufb7	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Mul1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc40	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Ldlr	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Idh1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Gatd1	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Galnt3	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Fzd7	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Fgr	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja2	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Ddx19a	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Cyth3	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Capn7	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1fnb	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1f	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Antxr2	14.000000	168	0	0	0	0	0	0	0	0	0	0	0	0
Znhit6	13.916667	167	0	0	0	0	0	0	0	0	0	0	0	0
Zfp113	13.916667	167	0	0	0	0	0	0	0	0	0	0	0	0
Wdr48	13.916667	167	0	0	0	0	0	0	0	0	0	0	0	0
Urb1	13.916667	167	0	0	0	0	0	0	0	0	0	0	0	0
Ttc27	13.916667	167	0	0	0	0	0	0	0	0	0	0	0	0
