Target_genes	Mafk|Average	SRX140361|CH12	SRX16499736|ES_cells	SRX16499737|ES_cells	SRX188829|ES_cells	SRX140362|MEL	SRX188826|MEL	SRX3937205|NIH/3T3	SRX3937206|NIH/3T3	SRX3937207|NIH/3T3	SRX3937208|NIH/3T3	SRX3937210|RAW_264.7	SRX3937211|RAW_264.7	SRX3937212|RAW_264.7	SRX3730249|Trophoblast_stem_cells	SRX3730250|Trophoblast_stem_cells	SRX3730280|Trophoblast_stem_cells	STRING
Tcam1	30.687500	137	0	0	86	129	0	0	0	0	0	0	0	0	0	0	139	0
Smarcd2	30.687500	137	0	0	86	129	0	0	0	0	0	0	0	0	0	0	139	0
Prkdc	30.687500	149	0	0	0	0	224	0	0	0	0	0	0	0	0	0	118	0
Nrgn	30.687500	0	0	0	0	227	130	0	0	0	0	0	0	0	0	0	134	0
Hipk1	30.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	241	0
9930111J21Rik2	30.687500	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	30.687500	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps52	30.625000	0	0	0	0	228	0	0	0	0	0	0	0	0	124	0	138	0
Slc25a10	30.625000	0	0	0	0	0	0	0	0	0	0	125	199	166	0	0	0	0
Rps18	30.625000	0	0	0	0	228	0	0	0	0	0	0	0	0	124	0	138	0
Pik3c2b	30.625000	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0
Olfr312	30.625000	138	0	0	0	192	0	0	160	0	0	0	0	0	0	0	0	0
Olfr1373	30.625000	305	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Mkks	30.625000	134	0	0	0	0	0	0	0	0	0	0	0	0	142	0	214	0
B3galt4	30.625000	0	0	0	0	228	0	0	0	0	0	0	0	0	124	0	138	0
Uso1	30.562500	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	363	0
Ttbk2	30.562500	0	89	0	137	0	0	0	0	0	0	0	0	0	82	0	181	0
G3bp2	30.562500	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	363	0
Ceacam18	30.562500	0	0	0	112	0	0	0	0	0	0	0	182	195	0	0	0	0
Adgrb1	30.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	358	0
Rpl35	30.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	384	0
Obscn	30.500000	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp4a	30.500000	0	0	218	270	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh5	30.500000	178	0	0	0	0	0	0	0	0	0	0	140	170	0	0	0	0
Jade1	30.500000	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	300	0
Ext2	30.500000	207	123	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0
B9d1	30.500000	159	0	0	0	0	141	0	0	0	0	0	0	0	95	0	93	0
Ubr1	30.437500	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	200	0
Slc25a39	30.437500	130	0	0	0	148	64	0	0	0	0	0	0	0	0	0	145	0
Mat2b	30.437500	273	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0
Eya3	30.437500	116	0	0	0	0	0	0	0	0	0	0	0	0	137	0	234	0
Dzip1	30.437500	158	0	135	194	0	0	0	0	0	0	0	0	0	0	0	0	0
5730455P16Rik	30.437500	0	0	0	0	142	126	0	0	0	0	0	0	0	0	0	219	0
Ppp6c	30.375000	121	0	0	0	104	0	0	0	0	0	0	0	0	0	0	261	0
Pdk3	30.375000	0	0	80	134	100	0	0	0	0	0	0	0	172	0	0	0	0
Cd40	30.375000	349	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Tmem243	30.312500	0	207	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0
Scyl3	30.312500	118	0	0	0	109	0	0	0	0	0	0	0	0	0	0	258	0
Samd12	30.312500	0	0	139	178	0	0	0	0	0	0	0	0	0	0	0	168	0
Pmpcb	30.312500	131	0	0	0	166	0	0	0	0	0	0	0	0	0	0	188	0
Pfkm	30.312500	0	0	0	0	406	79	0	0	0	0	0	0	0	0	0	0	0
Mettl21a	30.312500	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0
Kdm4b	30.312500	160	0	0	150	0	0	0	0	0	0	0	0	0	0	0	175	0
Gpx7	30.312500	0	0	0	0	0	0	0	173	0	136	0	0	76	100	0	0	0
Dhodh	30.312500	122	0	0	0	96	0	0	0	0	0	0	0	0	138	0	129	0
Rnase2b	30.250000	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrpprc	30.250000	0	0	0	0	108	101	0	0	0	0	0	0	0	148	0	127	0
Il21r	30.250000	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38510	30.250000	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dock8	30.250000	181	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0
Cry2	30.250000	128	0	0	70	0	0	0	0	0	0	0	0	157	0	0	129	0
Cfap58	30.250000	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	389	0
Ssna1	30.187500	80	0	0	0	0	0	0	0	0	0	0	0	0	149	0	254	0
Nbn	30.187500	143	0	128	120	92	0	0	0	0	0	0	0	0	0	0	0	0
Gpx3	30.187500	337	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0
B3gnt5	30.187500	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atad5	30.187500	176	0	0	0	141	0	0	0	0	0	0	0	0	0	0	166	0
Anapc2	30.187500	80	0	0	0	0	0	0	0	0	0	0	0	0	149	0	254	0
Tnk1	30.125000	0	0	0	0	322	160	0	0	0	0	0	0	0	0	0	0	0
Smarcal1	30.125000	92	0	0	0	93	0	0	0	0	0	0	0	0	0	0	297	0
Rpl23	30.125000	104	0	0	0	111	0	0	0	0	0	0	0	0	0	0	267	0
Gemin6	30.125000	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	294	0
Abr	30.125000	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp655	30.062500	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	322	0
Tmem230	30.062500	108	0	0	0	0	0	0	0	0	0	0	0	0	156	0	217	0
Tmed9	30.062500	105	0	0	0	0	0	0	0	0	0	0	0	0	116	0	260	0
Naprt	30.062500	0	101	151	229	0	0	0	0	0	0	0	0	0	0	0	0	0
Mroh6	30.062500	0	101	151	229	0	0	0	0	0	0	0	0	0	0	0	0	0
Ktn1	30.062500	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
Coil	30.062500	90	0	0	0	149	0	0	0	0	0	0	0	0	0	0	242	0
Cebpe	30.062500	225	0	0	96	160	0	0	0	0	0	0	0	0	0	0	0	0
Serp1	30.000000	86	0	0	0	0	0	0	0	0	0	0	0	0	179	0	215	0
Oplah	30.000000	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g5c	30.000000	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0
Kat2a	30.000000	0	0	0	0	127	107	0	0	0	0	0	0	0	0	0	246	0
Hspb9	30.000000	0	0	0	0	127	107	0	0	0	0	0	0	0	0	0	246	0
Fus	30.000000	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F9	30.000000	285	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0
Emilin2	30.000000	0	0	0	72	0	0	100	0	0	0	0	144	164	0	0	0	0
Eif2a	30.000000	86	0	0	0	0	0	0	0	0	0	0	0	0	179	0	215	0
Zp2	29.937500	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp949	29.937500	156	0	0	0	94	0	0	0	0	0	0	0	0	0	0	229	0
Rnasel	29.937500	0	0	0	125	0	0	0	0	0	0	0	175	179	0	0	0	0
Manbal	29.937500	149	0	0	0	113	0	0	0	0	0	0	0	0	0	0	217	0
Ctse	29.937500	136	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0
Shc4	29.875000	241	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0
Pank4	29.875000	100	0	0	0	0	0	0	0	0	0	0	0	0	133	0	245	0
Myo1c	29.875000	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0
Lpin2	29.875000	0	0	0	0	0	0	0	0	0	0	0	164	201	0	0	113	0
Hes5	29.875000	100	0	0	0	0	0	0	0	0	0	0	0	0	133	0	245	0
Tssk4	29.812500	0	0	0	0	0	0	0	0	0	0	0	199	278	0	0	0	0
Tm9sf1	29.812500	0	0	0	0	0	0	0	0	0	0	0	199	278	0	0	0	0
Tek	29.812500	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	273	0
H4c2	29.812500	65	0	0	0	221	0	0	0	0	0	0	0	0	0	0	191	0
H4c1	29.812500	65	0	0	0	221	0	0	0	0	0	0	0	0	0	0	191	0
Tmem39b	29.750000	119	0	0	0	0	0	0	131	0	0	0	0	0	0	0	226	0
Slc26a6	29.750000	0	0	0	73	117	122	0	0	0	0	0	0	0	0	0	164	0
Rab30	29.750000	179	0	0	0	0	0	0	0	0	0	0	0	0	106	0	191	0
Maml1	29.750000	156	0	0	0	103	0	0	0	0	0	0	0	0	78	0	139	0
Ldhb	29.750000	0	0	131	229	0	0	0	0	0	0	0	0	0	0	0	116	0
Jdp2	29.750000	255	0	0	0	0	0	0	0	0	0	0	0	121	0	0	100	0
Hnrnpc	29.750000	251	0	0	0	0	0	0	0	0	138	0	0	0	0	0	87	0
Filip1l	29.750000	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endou	29.750000	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0
Capza1	29.750000	0	0	0	0	105	0	0	0	0	0	0	0	0	114	0	257	0
Alg14	29.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Akr1b10	29.750000	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630001G21Rik	29.750000	284	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	29.750000	0	0	0	0	0	0	0	149	0	0	0	178	149	0	0	0	0
1700049E17Rik1	29.750000	0	0	0	0	0	0	0	149	0	0	0	178	149	0	0	0	0
Zmym5	29.687500	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	115	0
Trim15	29.687500	0	0	0	0	367	108	0	0	0	0	0	0	0	0	0	0	0
Trim10	29.687500	0	0	0	0	367	108	0	0	0	0	0	0	0	0	0	0	0
Sf3b5	29.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	366	0
Rpl29	29.687500	162	0	0	0	0	0	0	0	0	0	0	0	0	158	0	155	0
Igsf10	29.687500	0	0	0	0	0	0	0	181	152	142	0	0	0	0	0	0	0
Cldn4	29.687500	0	0	0	102	0	0	0	0	0	0	0	0	0	161	0	212	0
Ccl7	29.687500	333	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0
B4galt5	29.687500	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0
Ube2z	29.625000	102	0	0	0	0	0	0	0	0	0	0	0	0	218	0	154	0
Ralb	29.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
Pigq	29.625000	0	0	0	0	161	0	0	0	0	0	0	0	0	144	0	169	0
Padi2	29.625000	178	0	0	156	0	0	0	0	0	0	0	0	0	0	0	140	0
Nhlrc4	29.625000	0	0	0	0	161	0	0	0	0	0	0	0	0	144	0	169	0
Mrpl42	29.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	246	0
Glyctk	29.625000	261	0	0	112	101	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve1	29.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	279	0
Tmem11	29.562500	145	0	0	0	137	0	0	0	0	0	0	0	0	0	0	191	0
Spin2c	29.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	297	0
Scd4	29.562500	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0
Pik3r2	29.562500	132	0	0	0	208	0	0	0	0	0	0	0	0	0	0	133	0
Pakap	29.562500	0	0	187	286	0	0	0	0	0	0	0	0	0	0	0	0	0
Gid8	29.562500	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	275	0
Ctla4	29.562500	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tifab	29.500000	88	0	0	0	0	0	0	0	0	0	0	204	180	0	0	0	0
Stk38l	29.500000	87	141	0	134	0	0	0	0	0	0	0	0	0	0	0	110	0
Slc15a4	29.500000	151	0	0	0	152	82	0	0	0	0	0	0	0	0	0	87	0
Shcbp1	29.500000	243	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0
Sct	29.500000	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0
Rpl12	29.500000	88	0	0	142	104	0	0	0	0	0	0	0	0	138	0	0	0
Lrsam1	29.500000	88	0	0	142	104	0	0	0	0	0	0	0	0	138	0	0	0
Igf2bp1	29.500000	235	0	0	0	0	0	0	0	0	111	0	126	0	0	0	0	0
Ddx55	29.500000	103	0	0	0	83	0	0	0	0	0	0	0	0	100	0	186	0
Ubl7	29.437500	249	0	0	0	0	0	0	0	0	0	0	0	0	107	0	115	0
Mllt6	29.437500	356	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0
Lamtor3	29.437500	172	0	0	132	0	0	0	0	0	0	0	0	0	0	0	167	0
Heatr1	29.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	300	0
Gmfg	29.437500	0	0	0	0	206	0	0	0	0	0	117	0	0	0	0	148	0
Diaph1	29.437500	95	0	0	0	92	0	0	0	0	0	0	0	0	128	0	156	0
Cyb5r3	29.437500	0	0	0	0	0	0	0	0	0	0	0	108	0	112	0	251	0
Angptl4	29.437500	89	0	0	0	124	0	0	0	0	118	0	0	0	0	0	140	0
Tm9sf2	29.375000	108	0	0	0	138	0	0	0	0	0	0	0	105	0	0	119	0
Npcd	29.375000	0	136	0	199	0	0	0	0	0	0	0	0	0	135	0	0	0
Mmp14	29.375000	95	0	0	0	141	102	0	0	0	0	0	0	0	0	0	132	0
Fads2	29.375000	0	130	136	204	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbx6	29.375000	0	136	0	199	0	0	0	0	0	0	0	0	0	135	0	0	0
Trim12a	29.312500	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Tnfrsf13b	29.312500	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tk2	29.312500	247	0	0	85	0	0	0	0	0	0	0	137	0	0	0	0	0
Sytl1	29.312500	201	0	124	144	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx4	29.312500	254	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1082	29.312500	0	142	0	190	0	0	0	0	0	0	0	137	0	0	0	0	0
Il12rb2	29.312500	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0
Cklf	29.312500	247	0	0	85	0	0	0	0	0	0	0	137	0	0	0	0	0
Ablim2	29.312500	0	135	0	219	0	0	0	0	0	0	0	0	0	115	0	0	0
Triml1	29.250000	0	0	204	264	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a6	29.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Sh3rf2	29.250000	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	368	0
Rack1	29.250000	0	0	0	0	0	0	0	0	152	0	0	152	164	0	0	0	0
Cacybp	29.250000	178	0	0	0	164	0	0	0	0	0	0	0	0	0	0	126	0
Bbs9	29.250000	0	0	0	0	231	104	0	0	0	0	0	0	0	0	0	133	0
Sugp2	29.187500	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	172	0
Setd2	29.187500	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec23b	29.187500	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
Rrp9	29.187500	231	0	0	0	121	0	0	0	0	0	0	0	0	0	0	115	0
Phlpp2	29.187500	164	0	0	0	178	0	0	0	0	0	0	0	0	0	0	125	0
Parp3	29.187500	231	0	0	0	121	0	0	0	0	0	0	0	0	0	0	115	0
Nkx6-3	29.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	142	0
Mrpl11	29.187500	140	0	0	0	99	132	0	0	0	0	0	0	0	0	0	96	0
Lsm11	29.187500	171	0	0	0	158	138	0	0	0	0	0	0	0	0	0	0	0
Dpys	29.187500	0	0	0	0	100	0	121	138	0	108	0	0	0	0	0	0	0
Ddx18	29.187500	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	279	0
Cd300lf	29.187500	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armc6	29.187500	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	172	0
Uba6	29.125000	132	0	0	0	0	0	0	0	0	0	0	109	0	110	0	115	0
Serpinb1a	29.125000	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	279	0
Rnase13	29.125000	0	0	185	281	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab8a	29.125000	0	0	0	0	0	0	0	145	0	0	0	0	0	148	0	173	0
Hdac5	29.125000	0	0	0	0	338	128	0	0	0	0	0	0	0	0	0	0	0
Agfg2	29.125000	0	0	0	0	208	139	0	0	0	0	0	0	0	0	0	119	0
Xrn2	29.062500	209	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc1	29.062500	108	0	0	133	0	0	0	0	0	0	0	0	0	105	0	119	0
Ugt1a7c	29.062500	0	0	0	0	0	0	0	151	0	0	0	155	159	0	0	0	0
Pkn1	29.062500	96	0	0	0	208	0	0	0	0	0	0	0	0	0	0	161	0
Olfr802	29.062500	140	147	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt15	29.062500	169	0	0	0	182	0	0	0	0	0	0	0	0	114	0	0	0
Nop58	29.062500	0	112	0	103	89	0	0	0	0	0	0	0	0	0	0	161	0
Tmem131	29.000000	0	0	0	0	216	0	0	0	0	0	0	0	0	169	0	79	0
Tmem128	29.000000	235	0	0	0	0	0	0	0	0	77	0	0	0	152	0	0	0
Sugp1	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	331	0
Rtraf	29.000000	168	0	0	0	109	0	0	0	0	0	0	0	0	0	0	187	0
Mau2	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	331	0
Mast2	29.000000	0	0	0	0	114	0	0	0	0	0	0	0	0	137	0	213	0
Flt3l	29.000000	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc22	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	327	0
Cacna1f	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	327	0
Atp6v1e1	29.000000	0	143	0	201	0	0	0	0	0	0	0	0	0	0	0	120	0
Zfp24	28.937500	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	271	0
Ttyh3	28.937500	0	0	0	0	349	114	0	0	0	0	0	0	0	0	0	0	0
Poll	28.937500	0	138	0	178	147	0	0	0	0	0	0	0	0	0	0	0	0
Kcnj16	28.937500	0	0	0	0	0	0	0	0	0	0	0	120	343	0	0	0	0
Gosr1	28.937500	179	0	0	0	117	0	0	0	0	0	0	0	0	0	0	167	0
Dpcd	28.937500	0	138	0	178	147	0	0	0	0	0	0	0	0	0	0	0	0
C5ar1	28.937500	168	0	0	0	0	0	0	0	0	0	0	160	135	0	0	0	0
Vav3	28.875000	0	0	0	0	0	0	0	0	0	0	0	152	149	0	0	161	0
Kcne3	28.875000	0	0	0	0	325	137	0	0	0	0	0	0	0	0	0	0	0
Ece1	28.875000	187	0	90	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Clgn	28.875000	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhlhe40	28.875000	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0
Baz2b	28.875000	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc119b	28.812500	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Pde4b	28.812500	153	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0
P2ry6	28.812500	0	0	0	0	0	0	0	0	0	0	0	240	221	0	0	0	0
Olfr1286	28.812500	0	0	0	144	0	0	0	0	0	0	0	160	157	0	0	0	0
Mrpl9	28.812500	96	0	0	0	139	0	0	0	0	0	0	0	0	0	0	226	0
Gpr149	28.812500	0	0	0	0	0	0	111	126	87	137	0	0	0	0	0	0	0
Ep400	28.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	331	0
Wdr4	28.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	266	0
Timm44	28.750000	134	0	0	0	0	0	0	0	0	0	0	0	0	189	0	137	0
Pex5l	28.750000	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pbrm1	28.750000	243	0	0	0	99	0	0	0	0	0	0	0	0	0	0	118	0
Olfr1282	28.750000	0	0	0	190	0	0	0	0	0	0	0	108	162	0	0	0	0
Hrob	28.750000	92	0	0	0	234	0	0	0	0	0	0	0	0	0	0	134	0
Gpr89	28.750000	96	0	0	0	124	0	0	0	0	0	0	0	0	0	0	240	0
Egr1	28.750000	237	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap11a	28.750000	183	0	0	0	141	0	0	0	0	0	0	0	0	0	0	136	0
Uap1	28.687500	79	0	0	0	253	0	0	0	0	0	0	0	0	0	0	127	0
Tcp1	28.687500	0	0	0	0	0	0	0	0	0	0	0	0	233	111	0	115	0
Mrpl18	28.687500	0	0	0	0	0	0	0	0	0	0	0	0	233	111	0	115	0
Fem1a	28.687500	99	0	0	0	0	0	0	0	0	0	0	0	0	117	0	243	0
Cdc37	28.687500	0	0	0	0	179	0	0	0	0	0	0	0	165	0	0	115	0
Zkscan1	28.625000	111	0	0	0	109	0	0	0	0	0	0	0	0	0	0	238	0
Ube2s	28.625000	130	0	0	0	0	0	0	0	0	0	0	0	0	184	0	144	0
Rps5	28.625000	86	0	0	0	0	0	0	0	0	0	0	0	0	132	0	240	0
Ric1	28.625000	327	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0
Ptpra	28.625000	139	0	0	167	0	0	0	0	0	0	0	0	0	0	0	152	0
Pfas	28.625000	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	354	0
Myog	28.625000	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0
Lca5	28.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0
Gm29733	28.625000	249	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0
Cd37	28.625000	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0
Tbrg4	28.562500	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	237	0
Rbm38	28.562500	131	0	0	0	0	0	0	0	0	0	0	0	0	159	0	167	0
Pde2a	28.562500	0	0	0	0	0	0	0	0	0	0	125	160	172	0	0	0	0
Il18	28.562500	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gulp1	28.562500	281	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
Bco2	28.562500	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm2d2	28.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	283	0
Sp2	28.500000	169	0	0	0	70	0	0	0	0	0	0	0	0	0	0	217	0
Slc2a12	28.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	103	0
Rpusd1	28.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
Rplp0	28.500000	92	0	0	112	83	0	0	0	0	0	0	0	0	0	0	169	0
Rnf145	28.500000	211	0	0	0	126	0	0	119	0	0	0	0	0	0	0	0	0
Rhot2	28.500000	131	0	0	0	183	142	0	0	0	0	0	0	0	0	0	0	0
P2rx6	28.500000	227	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr3c1	28.500000	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm10	28.500000	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	199	0
Lrrc74b	28.500000	227	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0
Clk4	28.500000	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
Chtf18	28.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
Cdk10	28.500000	0	0	0	0	92	0	0	0	0	0	0	0	0	139	0	225	0
BC049762	28.500000	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
Adam9	28.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	283	0
Usp34	28.437500	0	0	0	0	112	0	0	208	0	0	0	0	135	0	0	0	0
Tmem260	28.437500	0	0	187	268	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar1	28.437500	0	0	181	274	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim15	28.437500	142	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0
Prkab1	28.437500	0	0	0	0	202	87	0	0	0	0	0	0	0	0	0	166	0
Nipbl	28.437500	113	0	0	0	0	0	0	239	0	103	0	0	0	0	0	0	0
Cenpa	28.437500	90	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0
Calhm1	28.437500	317	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0
Wdr90	28.375000	158	0	0	0	121	0	0	0	0	0	0	0	0	0	0	175	0
Tex22	28.375000	0	0	0	0	186	268	0	0	0	0	0	0	0	0	0	0	0
Scrn2	28.375000	89	0	0	0	163	128	0	0	0	0	0	0	0	0	0	74	0
Rbm39	28.375000	0	0	0	0	0	0	0	0	0	0	0	143	0	101	0	210	0
Pdcd7	28.375000	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	269	0
Olfr952	28.375000	0	0	0	123	0	0	0	0	0	0	0	79	120	0	0	132	0
Nol8	28.375000	136	0	0	0	83	0	0	0	0	0	0	0	0	92	0	143	0
Mybpc1	28.375000	131	0	0	0	0	0	152	0	0	0	0	0	171	0	0	0	0
Dock10	28.375000	260	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0
Cibar2	28.375000	158	0	0	0	0	0	0	0	0	0	0	0	0	151	0	145	0
Cenpp	28.375000	136	0	0	0	83	0	0	0	0	0	0	0	0	92	0	143	0
Trem2	28.312500	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0
Sema6a	28.312500	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	303	0
Sart1	28.312500	116	0	0	0	111	0	0	0	0	0	0	0	0	0	0	226	0
Rimbp3	28.312500	221	0	0	94	0	0	0	0	0	0	0	0	0	0	0	138	0
Prlr	28.312500	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0
Med20	28.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	228	0
Jam3	28.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0
Gm20517	28.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	228	0
Clec12a	28.312500	127	0	0	0	129	0	0	0	0	0	0	0	0	0	0	197	0
Bysl	28.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	228	0
Zfp426	28.250000	0	0	0	102	200	0	0	0	0	0	0	0	0	0	0	150	0
Ptpn21	28.250000	140	0	0	0	200	0	0	0	0	0	0	0	0	112	0	0	0
Psmd4	28.250000	0	0	0	0	113	0	0	0	0	0	0	0	0	85	0	254	0
