Target_genes	Nfe2|Average	SRX203211|Erythroblasts	SRX18530089|Erythroid_Cells	SRX18530090|Erythroid_Cells	SRX1629386|M1	SRX203207|Megakaryocytes	SRX203208|Megakaryocytes	SRX204382|Megakaryocytes	SRX2200549|Pro-B_cells	SRX298037|Ter119_Erythrocytes	STRING
Olfr314	61.444444	247	0	0	0	0	306	0	0	0	0
Cxcl5	61.333333	0	0	0	179	0	0	0	0	373	0
Slc46a3	61.222222	0	0	0	301	0	0	0	250	0	0
Plscr3	61.222222	0	0	0	0	0	0	0	354	197	0
Itga6	61.222222	0	0	0	0	0	0	0	551	0	0
Ctdsp1	61.222222	0	0	0	173	0	0	0	378	0	0
Ier3	61.111111	0	0	0	0	0	0	0	550	0	0
Flot1	61.111111	0	0	0	0	0	0	0	550	0	0
D630003M21Rik	61.111111	0	0	0	0	0	157	0	393	0	0
Cd4	61.111111	0	0	0	0	0	0	0	550	0	0
Gadd45a	61.000000	0	94	93	0	0	0	0	169	193	0
Dgat2l6	61.000000	0	0	0	0	0	0	0	549	0	0
Boc	61.000000	0	0	0	0	0	0	0	549	0	0
Ptprf	60.888889	0	0	0	0	0	0	0	548	0	0
Islr2	60.888889	0	0	0	0	0	0	0	548	0	0
Gsk3b	60.888889	100	0	0	0	0	0	0	342	106	0
B4galnt4	60.888889	0	0	0	133	0	0	0	415	0	0
Rhod	60.777778	0	0	0	0	0	0	0	547	0	0
Nek9	60.777778	0	0	0	0	0	0	0	547	0	0
Mrm3	60.777778	0	0	0	0	0	0	0	547	0	0
Glod4	60.777778	0	0	0	0	0	0	0	547	0	0
Nphp4	60.666667	0	0	0	0	0	130	0	416	0	0
Kcnab2	60.666667	0	0	0	0	0	130	0	416	0	0
Igdcc3	60.666667	0	0	0	0	0	0	0	546	0	0
Erbin	60.666667	0	0	0	0	0	0	0	546	0	0
Arid5b	60.666667	0	0	0	179	0	0	0	367	0	0
Klrb1c	60.555556	0	0	0	0	0	0	0	545	0	0
Dctn4	60.555556	0	0	0	0	0	0	0	169	376	0
Hnrnph2	60.444444	0	0	0	0	0	0	0	0	544	0
Gla	60.444444	0	0	0	0	0	0	0	0	544	0
Commd9	60.333333	0	0	0	0	0	0	0	241	302	0
Smyd1	60.222222	0	0	0	0	0	280	0	262	0	0
Rai1	60.222222	0	0	0	0	0	284	0	258	0	0
Hdlbp	60.222222	0	0	0	0	0	0	0	542	0	0
Gadd45g	60.222222	160	0	83	0	0	0	0	299	0	0
Tmem205	60.000000	0	0	0	0	0	361	0	0	179	0
Srp14	60.000000	0	113	100	0	0	0	0	160	167	0
Notch1	60.000000	0	0	0	0	0	0	0	540	0	0
Ccdc159	60.000000	0	0	0	0	0	361	0	0	179	0
Moxd2	59.888889	0	0	0	0	0	96	0	443	0	0
Rreb1	59.777778	0	0	0	0	0	0	0	538	0	0
Psma6	59.777778	86	0	0	0	0	0	0	330	122	0
Vmn2r4	59.666667	0	0	0	0	177	0	0	360	0	0
Tgif1	59.666667	174	0	0	0	0	0	0	363	0	0
Slc11a1	59.666667	0	0	0	0	0	159	0	378	0	0
Mapre1	59.666667	0	0	0	0	0	0	0	0	537	0
Rbm43	59.555556	0	0	0	0	0	0	0	202	334	0
Serinc3	59.444444	0	0	0	0	0	0	0	535	0	0
Rpusd4	59.444444	0	0	0	0	0	0	0	0	535	0
Fam118b	59.444444	0	0	0	0	0	0	0	0	535	0
Ubr4	59.333333	102	101	0	0	0	0	0	153	178	0
Pyroxd2	59.222222	0	0	0	0	0	220	0	313	0	0
Mllt11	59.222222	0	0	0	0	0	0	0	533	0	0
Cdc42se1	59.222222	0	0	0	0	0	0	0	533	0	0
A4galt	59.222222	0	0	0	0	0	0	0	533	0	0
Otulinl	59.111111	0	0	0	0	0	0	0	532	0	0
Slco4a1	59.000000	0	0	0	0	0	0	0	531	0	0
Kmo	59.000000	0	0	0	152	0	0	0	379	0	0
Dlx4	59.000000	0	0	0	0	0	0	0	531	0	0
Ddx17	59.000000	0	0	0	0	0	0	531	0	0	0
Bag2	59.000000	0	164	202	0	0	0	0	165	0	0
Serpinb6d	58.888889	0	0	0	0	0	0	0	530	0	0
Crppa	58.888889	0	0	0	0	0	0	0	530	0	0
Atxn7l1	58.888889	0	0	0	0	0	0	0	401	129	0
Dse	58.777778	0	0	0	126	0	0	0	403	0	0
Nup50	58.666667	0	0	0	0	0	0	0	238	290	0
Nuf2	58.666667	0	0	0	0	0	0	0	528	0	0
Nphp1	58.555556	0	0	0	0	0	0	0	527	0	0
Mtln	58.555556	0	0	0	0	0	0	0	527	0	0
Lpin3	58.555556	201	0	0	0	0	158	0	168	0	0
Hsp90ab1	58.555556	178	0	0	0	0	217	0	132	0	0
Zswim4	58.333333	0	0	0	0	0	0	0	382	143	0
Pmf1	58.333333	0	0	0	165	0	0	0	199	161	0
Gadd45b	58.333333	0	0	0	0	0	0	0	525	0	0
AW549877	58.333333	0	0	0	0	0	0	0	373	152	0
Tmigd1	58.222222	0	0	88	0	0	0	0	436	0	0
Srrt	58.222222	0	0	128	0	0	0	0	396	0	0
1700037H04Rik	58.222222	0	0	0	0	0	0	0	0	524	0
Tmem256	58.111111	0	0	0	0	0	0	0	523	0	0
Nlgn2	58.111111	0	0	0	0	0	0	0	523	0	0
Rbbp7	58.000000	0	0	0	0	0	0	0	522	0	0
Ifi204	58.000000	0	0	0	81	0	0	0	441	0	0
Baz2a	58.000000	0	0	0	0	0	0	0	311	211	0
Psma3	57.888889	0	88	107	0	0	0	148	178	0	0
Plekhg2	57.888889	0	0	0	0	0	0	0	521	0	0
Igf2bp3	57.888889	0	0	0	0	0	0	0	521	0	0
Frs2	57.888889	134	119	114	0	0	154	0	0	0	0
Eno1	57.888889	0	0	103	0	0	194	0	224	0	0
Slc14a2	57.777778	0	0	0	0	0	205	0	315	0	0
Cc2d1b	57.777778	0	0	0	0	0	0	0	520	0	0
Rph3a	57.666667	0	0	0	0	0	0	0	519	0	0
Ndufb1	57.666667	0	0	0	0	0	216	0	303	0	0
Cpsf2	57.666667	0	0	0	0	0	216	0	303	0	0
Olfr272	57.555556	0	0	0	0	0	0	0	518	0	0
Ctla2a	57.555556	0	0	0	0	0	117	0	401	0	0
Midn	57.444444	187	0	0	0	0	0	0	189	141	0
Zbtb40	57.333333	0	0	0	0	0	0	0	173	343	0
Kcnrg	57.333333	0	0	0	0	0	0	0	516	0	0
Iqsec1	57.333333	0	0	0	0	0	0	0	516	0	0
Cul3	57.333333	0	0	0	0	0	0	0	516	0	0
Ubap1	57.222222	140	0	108	0	0	0	0	0	267	0
Thrap3	57.222222	0	0	0	0	0	0	0	0	515	0
2900026A02Rik	57.222222	0	0	0	0	0	0	0	515	0	0
Marchf7	57.111111	0	0	96	94	0	0	0	324	0	0
Hnrnpl	57.111111	0	104	129	0	0	0	0	162	119	0
Parp16	57.000000	0	0	90	0	0	164	0	0	259	0
Cep83	57.000000	0	0	0	0	0	0	0	513	0	0
Snrpg	56.888889	0	123	242	0	0	0	0	147	0	0
Fam136a	56.888889	0	123	242	0	0	0	0	147	0	0
Syne3	56.666667	0	0	0	0	0	0	209	301	0	0
Cmah	56.666667	0	0	0	0	0	0	0	510	0	0
Slc39a4	56.555556	0	0	0	0	0	192	0	317	0	0
Cd151	56.555556	0	0	0	0	0	162	0	347	0	0
Slc66a1	56.444444	0	0	0	0	0	0	0	508	0	0
Akr7a5	56.444444	0	0	0	0	0	0	0	508	0	0
Sytl1	56.333333	0	0	0	0	0	0	0	507	0	0
Smug1	56.333333	0	0	0	120	0	0	0	387	0	0
Ppig	56.333333	0	0	0	0	0	0	0	507	0	0
Fam107b	56.333333	0	0	0	117	0	0	0	390	0	0
Bcl7b	56.333333	0	0	0	0	0	100	0	407	0	0
Scaf11	56.222222	105	103	199	0	0	99	0	0	0	0
Igfbp5	56.222222	0	0	0	0	0	0	0	506	0	0
Gpr137	56.222222	0	0	0	0	0	0	415	91	0	0
Utp4	56.111111	0	0	0	0	0	0	0	505	0	0
Derpc	56.111111	0	0	0	0	0	0	0	505	0	0
Chtf8	56.111111	0	0	0	0	0	0	0	505	0	0
2700062C07Rik	56.111111	0	0	0	0	0	0	0	505	0	0
Trafd1	56.000000	143	0	0	0	0	164	0	197	0	0
Psmf1	56.000000	0	0	0	0	0	191	0	98	215	0
F2rl2	56.000000	0	0	0	0	0	116	0	388	0	0
Rmc1	55.888889	0	0	0	0	0	0	0	0	503	0
Lhx6	55.888889	0	0	0	0	0	0	0	503	0	0
Dennd4a	55.888889	0	89	147	0	0	0	0	0	267	0
Elmo3	55.777778	65	0	0	0	0	191	0	246	0	0
S100a3	55.555556	0	0	0	0	0	0	0	500	0	0
S100a2	55.555556	0	0	0	0	0	0	0	500	0	0
Kdm5b	55.555556	0	0	0	0	0	0	0	500	0	0
Cebpb	55.444444	154	0	0	0	0	0	0	345	0	0
Ogdh	55.222222	0	84	141	0	0	140	0	132	0	0
Ren2	55.111111	0	0	0	0	0	0	0	496	0	0
Ren1	55.111111	0	0	0	0	0	0	0	496	0	0
Mapk8ip2	55.111111	0	0	0	0	0	0	0	496	0	0
Kif13a	55.111111	0	0	0	0	0	0	0	496	0	0
Fam166b	55.111111	0	0	0	0	0	0	0	496	0	0
Dazap2	55.111111	0	0	0	0	0	0	0	496	0	0
Psmb3	55.000000	0	0	0	0	0	0	0	366	129	0
Pcgf2	55.000000	0	0	0	0	0	0	0	366	129	0
Mapre2	55.000000	0	0	0	0	0	0	0	199	296	0
Ccdc86	55.000000	0	0	0	0	0	0	0	495	0	0
C1qtnf1	55.000000	0	0	0	0	0	0	0	495	0	0
Tmem175	54.888889	0	0	0	0	0	0	0	494	0	0
Gak	54.888889	0	0	0	0	0	0	0	494	0	0
Ulk2	54.777778	0	0	0	0	0	0	0	493	0	0
Sod1	54.777778	263	0	130	100	0	0	0	0	0	0
Rrp1b	54.777778	0	0	0	0	0	0	0	493	0	0
Nufip2	54.777778	0	0	0	0	0	0	0	389	104	0
Skp1	54.666667	0	165	327	0	0	0	0	0	0	0
Sh3bp5	54.666667	0	0	0	0	0	0	0	492	0	0
Cela1	54.666667	0	0	0	0	0	0	0	492	0	0
Snx1	54.555556	0	0	0	0	0	0	362	129	0	0
H3c13	54.555556	0	0	0	0	0	0	0	491	0	0
H2bc18	54.555556	0	0	0	0	0	0	0	491	0	0
Ciao2a	54.555556	0	0	0	0	0	0	362	129	0	0
Fam219b	54.444444	0	0	0	0	0	0	0	490	0	0
Plekhg1	54.333333	0	0	0	0	0	0	193	296	0	0
Fzr1	54.333333	132	0	0	0	0	0	0	0	357	0
Dohh	54.333333	132	0	0	0	0	0	0	0	357	0
Zfp592	54.222222	0	0	0	0	0	0	0	488	0	0
Sgf29	54.222222	0	0	0	0	0	0	0	488	0	0
Nms	54.222222	0	0	0	0	0	0	0	488	0	0
Klhl35	54.111111	0	0	0	0	0	0	0	487	0	0
Dgkg	54.111111	0	0	0	0	0	0	0	487	0	0
Atp6v0a1	54.111111	0	0	216	0	0	0	0	271	0	0
Plac8	54.000000	0	0	0	0	0	0	0	486	0	0
Pafah1b1	54.000000	228	0	0	0	0	0	0	0	258	0
Npas4	54.000000	0	0	0	0	0	0	0	486	0	0
Slc25a51	53.888889	0	0	123	0	0	0	0	362	0	0
Prmt7	53.888889	0	0	0	0	0	0	0	485	0	0
Ppm1f	53.888889	0	0	0	0	0	177	0	308	0	0
Zfp91	53.777778	0	0	0	0	0	0	0	246	238	0
Lpxn	53.777778	0	0	0	0	0	0	0	246	238	0
Glo1	53.777778	0	0	121	0	0	0	0	114	249	0
Trim16	53.666667	0	0	0	0	0	0	0	483	0	0
Neurl2	53.666667	0	0	0	0	0	0	0	125	358	0
Gmnc	53.666667	0	0	0	198	0	0	0	285	0	0
Gm3776	53.666667	0	0	0	0	0	300	0	183	0	0
Ctsa	53.666667	0	0	0	0	0	0	0	125	358	0
Gdf5	53.444444	0	0	0	0	0	0	0	481	0	0
Ell2	53.444444	0	0	0	0	0	0	0	481	0	0
Gpat4	53.333333	0	0	0	0	0	0	0	480	0	0
Tex19.2	53.222222	0	0	0	190	0	0	0	289	0	0
Nek6	53.222222	153	0	0	0	0	0	0	326	0	0
Cyp2s1	53.222222	0	0	0	0	0	0	0	479	0	0
Blcap	53.222222	0	0	0	0	0	0	0	479	0	0
Crebzf	53.111111	0	0	198	0	0	0	280	0	0	0
Tmcc2	52.888889	230	0	0	0	0	0	0	0	246	0
Slc25a40	52.888889	0	0	0	0	0	0	0	476	0	0
Osgep	52.888889	0	0	0	0	0	0	0	0	476	0
Dbf4	52.888889	0	0	0	0	0	0	0	476	0	0
Apex1	52.888889	0	0	0	0	0	0	0	0	476	0
Abcc1	52.888889	135	0	0	0	0	0	0	341	0	0
Wdr3	52.777778	0	0	0	0	0	0	359	116	0	0
Psmb6	52.777778	0	0	0	0	0	0	0	275	200	0
Piwil4	52.777778	0	0	0	0	0	0	0	475	0	0
Zfp456	52.666667	0	0	0	0	0	0	0	474	0	0
Slc29a2	52.666667	0	0	0	0	0	140	0	334	0	0
Mettl3	52.666667	0	0	208	0	0	0	266	0	0	0
Zfpl1	52.555556	0	0	0	0	0	0	0	473	0	0
Tmem262	52.555556	0	0	0	0	0	0	0	473	0	0
Ncoa4	52.555556	0	0	0	0	0	0	0	473	0	0
Mllt3	52.555556	152	125	0	0	0	0	0	196	0	0
Ckb	52.555556	0	0	0	0	0	214	0	259	0	0
Cdca5	52.555556	0	0	0	0	0	0	0	473	0	0
Zfp821	52.444444	0	0	0	0	0	0	376	96	0	0
Fes	52.444444	0	0	0	0	0	0	0	472	0	0
Eml4	52.444444	0	0	0	0	0	0	0	472	0	0
Asrgl1	52.444444	0	0	0	0	0	0	472	0	0	0
Abhd15	52.444444	0	0	0	0	0	0	0	472	0	0
Txndc16	52.333333	0	0	0	0	0	0	0	471	0	0
Nfxl1	52.333333	0	0	0	0	0	0	0	471	0	0
Gpr137c	52.333333	0	0	0	0	0	0	0	471	0	0
Bcar1	52.333333	0	0	0	0	0	0	0	471	0	0
Wbp2	52.222222	0	0	0	0	0	0	0	0	470	0
Hint3	52.222222	0	0	0	0	0	0	0	470	0	0
Slc25a22	52.111111	0	0	0	0	0	0	0	469	0	0
Cend1	52.111111	0	0	0	0	0	0	0	469	0	0
Vil1	52.000000	0	0	0	0	0	0	0	468	0	0
Magoh	52.000000	0	0	0	0	0	0	0	468	0	0
Atg7	52.000000	0	0	0	0	0	184	0	284	0	0
Aldh3a2	52.000000	0	0	0	0	0	0	0	163	305	0
Srrm1	51.888889	0	0	0	0	0	0	0	467	0	0
Eloc	51.888889	0	0	0	0	0	0	0	467	0	0
Calm2	51.888889	0	0	0	146	0	0	0	321	0	0
Resf1	51.777778	0	0	0	0	0	0	0	289	177	0
Cd164	51.777778	0	0	0	0	0	0	0	240	226	0
Sh2d7	51.666667	0	0	0	0	0	0	0	465	0	0
Dis3l	51.666667	0	0	0	0	0	0	0	465	0	0
Bid	51.666667	0	0	0	0	0	0	0	465	0	0
Taf9	51.555556	0	0	0	0	0	0	0	464	0	0
Rad17	51.555556	0	0	0	0	0	0	0	464	0	0
Pstpip1	51.555556	0	0	0	0	0	0	0	464	0	0
Ak6	51.555556	0	0	0	0	0	0	0	464	0	0
Agrn	51.555556	0	0	0	0	0	139	0	164	161	0
Ndel1	51.444444	0	0	0	0	0	0	0	0	463	0
Marchf9	51.444444	0	0	0	0	0	0	0	0	463	0
Lonrf2	51.444444	0	0	0	0	0	0	0	463	0	0
Cdk4	51.444444	0	0	0	0	0	0	0	0	463	0
Marchf8	51.333333	0	0	0	0	0	0	0	0	462	0
Fcgr2b	51.333333	0	0	0	0	0	0	0	462	0	0
Atp5o	51.333333	0	147	181	0	0	0	0	134	0	0
Tigd4	51.222222	0	0	0	0	0	0	0	461	0	0
Slc36a1	51.222222	0	0	0	0	0	0	0	0	461	0
Pole3	51.222222	0	0	0	0	0	0	0	461	0	0
Cdk5r2	51.222222	0	0	0	0	0	134	0	327	0	0
4933430I17Rik	51.222222	0	0	0	0	0	0	0	461	0	0
Polr2c	51.111111	0	0	0	0	0	0	0	460	0	0
Mest	51.111111	0	0	0	0	0	0	0	460	0	0
Hopx	51.111111	86	0	0	0	0	0	0	131	243	0
Commd7	51.111111	0	0	0	0	0	0	0	460	0	0
Tpp2	51.000000	86	0	0	0	0	97	0	178	98	0
Tma16	51.000000	0	0	0	0	0	246	0	213	0	0
Slc2a5	50.888889	0	0	0	0	0	0	0	458	0	0
Kcnk6	50.888889	0	0	0	0	0	0	0	458	0	0
Idh3a	50.888889	0	0	0	229	0	0	0	229	0	0
2310057J18Rik	50.888889	0	0	0	0	0	0	0	458	0	0
Gper1	50.777778	0	0	0	0	0	0	0	457	0	0
Aqp11	50.777778	0	0	0	0	0	0	0	457	0	0
Zfat	50.666667	0	0	0	138	0	0	0	318	0	0
Cmtr1	50.555556	0	124	148	0	0	0	0	0	183	0
Arhgap31	50.555556	0	0	0	151	0	0	0	304	0	0
Tm9sf4	50.444444	0	0	137	0	0	226	0	91	0	0
Rnf123	50.444444	93	75	0	0	0	0	0	0	286	0
Nt5c2	50.444444	0	0	0	0	0	0	0	454	0	0
Neo1	50.444444	0	0	0	0	0	0	0	454	0	0
Mst1	50.444444	93	75	0	0	0	0	0	0	286	0
Aggf1	50.444444	0	0	0	0	0	0	0	266	188	0
1810013L24Rik	50.444444	0	0	0	0	0	0	0	303	151	0
Pold2	50.333333	291	0	0	0	0	0	0	0	162	0
Nr1d1	50.333333	0	0	0	0	0	0	0	453	0	0
Birc2	50.333333	0	138	315	0	0	0	0	0	0	0
Aff1	50.333333	0	0	0	155	0	0	0	298	0	0
Ube3c	50.222222	0	0	0	281	0	0	0	171	0	0
St6galnac2	50.222222	0	0	0	0	0	0	0	452	0	0
Rsad1	50.222222	0	0	0	0	0	0	0	452	0	0
Rasgrp3	50.222222	0	0	0	0	0	0	0	452	0	0
Clk4	50.222222	0	0	112	0	0	0	0	178	162	0
BC049762	50.222222	0	0	112	0	0	0	0	178	162	0
Slfn14	50.000000	0	0	0	0	0	0	0	0	450	0
Tnfaip2	49.888889	0	0	0	0	0	0	0	449	0	0
1700066B19Rik	49.888889	0	0	0	0	0	0	0	449	0	0
Rassf4	49.777778	0	0	0	0	0	0	0	448	0	0
Pfkl	49.777778	0	0	0	0	0	0	248	200	0	0
Flacc1	49.777778	0	0	0	0	0	0	0	448	0	0
Arsj	49.666667	0	0	0	0	0	0	0	447	0	0
Parp6	49.555556	0	0	0	0	0	0	0	0	446	0
Myo1e	49.555556	0	0	0	0	0	0	0	446	0	0
Ipmk	49.555556	0	0	0	0	0	0	0	446	0	0
Cisd1	49.555556	0	0	0	0	0	0	0	446	0	0
Shisal1	49.333333	0	0	0	0	0	0	0	444	0	0
Fgf12	49.333333	0	0	0	0	0	0	444	0	0	0
Plek2	49.222222	162	0	0	0	0	0	0	0	281	0
Kpnb1	49.111111	0	0	0	0	0	0	0	442	0	0
Hif3a	49.000000	0	112	124	0	0	0	0	205	0	0
Cd46	48.888889	83	0	0	0	0	0	0	0	357	0
Tpt1	48.555556	0	0	105	0	0	0	0	332	0	0
Lrrc31	48.555556	0	0	0	0	0	0	0	437	0	0
Herpud2	48.555556	0	0	0	0	0	0	0	437	0	0
Trappc3	48.333333	0	0	0	0	0	0	0	245	190	0
Tnfrsf18	48.333333	0	0	0	0	0	0	0	0	435	0
Tax1bp1	48.333333	0	156	167	112	0	0	0	0	0	0
Map7d1	48.333333	0	0	0	0	0	0	0	245	190	0
Gcnt2	48.333333	0	0	122	0	0	0	0	313	0	0
Cap1	48.333333	0	0	0	0	0	0	0	435	0	0
Anp32b	48.333333	0	0	0	0	0	0	0	435	0	0
Ptpn3	48.222222	0	0	0	0	0	0	0	434	0	0
Lratd1	48.222222	0	0	0	0	0	0	0	434	0	0
Irs2	48.222222	0	0	0	0	0	0	0	257	177	0
Gm32856	48.111111	0	0	0	0	0	0	0	433	0	0
Xrra1	48.000000	0	0	0	0	0	0	0	0	432	0
Spcs2	48.000000	0	0	0	0	0	0	0	0	432	0
Plekha2	48.000000	0	0	0	133	0	0	0	299	0	0
Olfr765	48.000000	0	0	0	0	0	0	0	432	0	0
Fos	48.000000	0	0	0	0	0	0	0	432	0	0
Flywch1	48.000000	0	0	95	0	0	0	0	337	0	0
Cnksr3	48.000000	0	0	0	0	0	0	0	432	0	0
Chd7	48.000000	0	0	0	0	0	0	0	432	0	0
Vps11	47.888889	0	0	0	0	0	0	0	0	431	0
Ubtd1	47.888889	0	0	0	0	0	0	240	0	191	0
Mms19	47.888889	0	0	0	0	0	0	240	0	191	0
Ctdp1	47.888889	210	0	0	0	0	0	0	0	221	0
Syna	47.777778	0	0	0	0	0	0	0	430	0	0
Kcnmb4	47.777778	0	0	0	0	0	102	0	328	0	0
Eif4g2	47.777778	0	100	166	0	0	0	164	0	0	0
E230025N22Rik	47.777778	0	0	0	0	0	0	0	430	0	0
Ptpn12	47.666667	0	0	0	185	0	0	0	244	0	0
Podnl1	47.666667	0	0	0	109	0	0	0	320	0	0
Pde4b	47.666667	0	0	0	0	0	0	0	429	0	0
Nop2	47.666667	0	0	0	0	0	0	0	429	0	0
Bicral	47.666667	0	0	0	0	0	0	226	203	0	0
Tox4	47.555556	0	0	0	0	0	0	0	428	0	0
Tnfrsf9	47.555556	0	0	0	0	0	0	190	238	0	0
Rab2b	47.555556	0	0	0	0	0	0	0	428	0	0
Mak	47.555556	0	0	0	0	0	0	0	428	0	0
Phf21b	47.444444	0	0	0	0	0	0	0	427	0	0
Mien1	47.444444	0	0	0	0	0	0	0	153	274	0
Txndc17	47.333333	0	0	0	0	0	0	0	426	0	0
Prune1	47.333333	0	289	137	0	0	0	0	0	0	0
Mindy1	47.333333	0	289	137	0	0	0	0	0	0	0
Idh1	47.333333	150	82	90	0	0	104	0	0	0	0
4933427D14Rik	47.333333	0	0	0	0	0	0	0	426	0	0
Smchd1	47.222222	0	0	0	0	0	0	0	425	0	0
Sde2	47.222222	0	0	0	0	0	0	0	140	285	0
Olfr1133	47.222222	0	0	0	0	0	0	0	425	0	0
Copb2	47.222222	0	0	0	0	0	0	0	425	0	0
C330007P06Rik	47.222222	0	0	0	0	0	0	0	425	0	0
Rnf32	47.111111	0	0	0	0	0	0	0	424	0	0
Tusc1	47.000000	0	143	280	0	0	0	0	0	0	0
Ccser2	47.000000	0	0	0	0	0	0	0	423	0	0
Ankrd12	47.000000	0	0	0	0	0	0	0	0	423	0
Slc4a1	46.888889	162	0	0	0	0	0	0	0	260	0
Naca	46.888889	0	0	0	0	0	0	0	422	0	0
Spata21	46.777778	0	0	0	0	0	0	0	421	0	0
Ssbp4	46.666667	0	0	0	0	0	0	0	420	0	0
Lrrc25	46.666667	0	0	0	0	0	0	0	420	0	0
Gpat3	46.666667	0	0	0	0	0	0	0	420	0	0
Olfr1341	46.555556	0	0	0	0	0	0	0	419	0	0
Hnrnpm	46.555556	0	0	0	0	0	0	0	0	419	0
Tmem9	46.444444	0	122	128	0	0	0	0	168	0	0
Srrm2	46.444444	0	0	0	0	0	0	0	418	0	0
Htr2a	46.444444	0	0	0	0	0	177	0	241	0	0
Zfp362	46.333333	0	0	0	0	0	90	0	327	0	0
Traf3ip3	46.333333	0	0	0	0	0	0	0	417	0	0
Lims1	46.222222	0	0	128	0	0	0	0	288	0	0
Aven	46.222222	0	0	0	0	0	0	0	416	0	0
Rnf168	46.111111	0	0	0	208	0	0	0	207	0	0
Mrpl1	46.111111	0	0	0	0	0	0	0	415	0	0
Bad	46.111111	0	0	0	0	0	0	415	0	0	0
2210016F16Rik	46.111111	0	0	0	0	0	0	0	415	0	0
Ubn1	46.000000	0	0	0	0	0	0	0	0	414	0
Glyr1	46.000000	0	0	0	0	0	0	0	0	414	0
Tspan2	45.888889	0	0	0	166	0	0	0	247	0	0
Psmc1	45.888889	0	0	0	0	0	0	0	246	167	0
Olfr25	45.888889	0	0	0	0	0	157	0	256	0	0
Cldn13	45.888889	0	0	0	0	0	0	0	157	256	0
Star	45.777778	88	0	117	0	0	207	0	0	0	0
Gatb	45.777778	0	0	0	240	0	0	0	172	0	0
Dusp7	45.777778	0	0	0	0	0	0	0	283	129	0
Ssr3	45.666667	0	0	0	0	0	0	0	411	0	0
Sox10	45.666667	0	0	0	0	0	0	0	411	0	0
Ppfia4	45.666667	0	0	0	0	0	0	0	411	0	0
Pgam2	45.666667	0	0	0	0	0	0	0	411	0	0
Cpsf6	45.666667	0	0	75	0	0	0	0	207	129	0
Ggnbp2	45.555556	146	149	115	0	0	0	0	0	0	0
Nrip1	45.444444	0	0	0	0	0	0	0	409	0	0
Sgk3	45.333333	0	0	0	0	0	0	0	408	0	0
Tomm5	45.222222	163	0	0	0	0	0	0	244	0	0
Rfx5	45.222222	0	0	0	0	0	216	191	0	0	0
Bicra	45.222222	116	0	0	0	0	153	0	138	0	0
Ass1	45.222222	0	0	0	0	0	0	0	407	0	0
Zgpat	45.111111	0	0	0	0	0	406	0	0	0	0
Arfrp1	45.111111	0	0	0	0	0	406	0	0	0	0
Pspn	45.000000	0	0	0	0	0	0	0	0	405	0
Alkbh7	45.000000	0	0	0	0	0	0	0	0	405	0
Grhl3	44.888889	0	0	0	0	0	0	0	404	0	0
Ghitm	44.888889	0	0	0	0	0	0	0	404	0	0
Tifa	44.777778	0	0	0	0	0	0	0	403	0	0
Srpk1	44.777778	0	0	0	0	0	0	0	403	0	0
Glrp1	44.777778	0	0	0	0	0	0	0	403	0	0
Prkcd	44.666667	0	0	0	0	0	0	0	402	0	0
Grm4	44.666667	0	0	0	0	0	0	0	402	0	0
Upk3a	44.555556	0	0	0	0	0	0	0	401	0	0
Rnasel	44.444444	0	0	0	0	0	0	0	254	146	0
Hspa4	44.444444	0	0	0	0	0	0	0	400	0	0
Eipr1	44.444444	0	0	0	0	0	0	0	400	0	0
Rubcn	44.333333	0	0	0	0	0	0	0	399	0	0
Rhobtb1	44.333333	0	0	0	0	0	0	0	399	0	0
Parp10	44.333333	96	0	128	0	0	175	0	0	0	0
Mex3d	44.333333	0	0	0	0	0	0	0	399	0	0
H2-T10	44.333333	0	0	0	0	0	0	0	399	0	0
Gck	44.333333	0	0	0	0	0	0	0	399	0	0
Fcf1	44.333333	0	0	0	0	0	0	0	399	0	0
Dnaja1	44.333333	0	0	0	0	0	0	0	399	0	0
Arel1	44.333333	0	0	0	0	0	0	0	399	0	0
A930033H14Rik	44.333333	0	0	0	0	0	0	0	399	0	0
Fcgr3	44.222222	0	0	0	0	0	0	0	398	0	0
Tmtc1	44.111111	106	0	0	0	0	0	0	291	0	0
Rdm1	44.111111	0	0	0	83	0	0	0	314	0	0
Bank1	44.111111	0	0	0	0	0	0	0	397	0	0
Ap1m1	44.111111	0	0	0	0	0	0	0	397	0	0
Xpot	44.000000	0	0	0	177	0	0	0	219	0	0
Srsf1	44.000000	0	0	112	0	0	0	0	0	284	0
Plek	44.000000	0	0	0	0	0	0	0	396	0	0
Tlk2	43.888889	0	0	0	0	0	0	0	395	0	0
Tfcp2	43.888889	0	0	73	0	0	0	0	0	322	0
Dcp1a	43.888889	0	0	0	0	0	0	0	395	0	0
Dcaf5	43.888889	201	0	0	0	0	0	194	0	0	0
Slc12a8	43.777778	0	0	0	0	0	0	0	394	0	0
Rwdd1	43.777778	0	0	0	149	0	0	0	245	0	0
Irgm2	43.666667	0	0	0	0	0	169	0	224	0	0
Imp4	43.666667	0	0	0	0	0	0	0	393	0	0
Extl3	43.666667	86	0	75	0	0	0	0	0	232	0
Ccdc115	43.666667	0	0	0	0	0	0	0	393	0	0
Anxa4	43.666667	0	0	0	0	0	0	0	393	0	0
Tanc1	43.555556	0	0	0	0	0	0	0	392	0	0
Pgs1	43.555556	0	0	0	0	0	0	0	392	0	0
