Target_genes	Mlxipl|Average	SRX15941723|Liver	SRX15941725|Liver	SRX6099407|Liver	SRX6099408|Liver	SRX6099409|Liver	SRX6099410|Liver	SRX6099411|Liver	SRX6099412|Liver	SRX6099413|Liver	SRX6099414|Liver	SRX6099415|Liver	SRX6099416|Liver	SRX6099417|Liver	SRX6099418|Liver	STRING
P2ry1	67.500000	112	97	0	0	0	0	156	154	0	154	81	121	70	0	0
Josd1	67.500000	79	0	0	0	0	0	112	131	143	170	0	152	0	158	0
Gtpbp1	67.500000	79	0	0	0	0	0	112	131	143	170	0	152	0	158	0
Cd320	67.500000	128	0	0	0	0	0	122	138	82	171	97	121	0	86	0
Tmem42	67.428571	0	0	0	0	0	0	88	159	135	205	0	107	111	139	0
Adamts20	67.285714	0	0	0	0	0	0	0	116	0	0	190	436	0	200	0
Tubb4b	67.214286	126	0	0	0	0	0	151	104	114	149	0	151	0	146	0
Rubcn	67.214286	0	0	0	0	0	0	129	294	120	167	136	0	95	0	0
Lgr4	67.142857	0	0	0	0	0	0	103	233	142	199	0	0	150	113	0
Cycs	67.142857	240	107	0	0	0	0	0	147	140	88	0	0	85	133	0
Arhgap12	67.142857	0	0	0	0	0	0	0	223	0	201	0	185	91	240	0
Rdh16	67.000000	122	0	0	0	0	0	171	277	0	220	0	0	0	148	0
Akap8	67.000000	0	0	0	0	0	0	109	122	103	171	0	180	146	107	0
Tubb2a	66.928571	0	0	0	0	0	0	154	310	133	175	0	165	0	0	0
Plekhg3	66.928571	0	0	0	0	0	0	270	380	0	215	0	72	0	0	0
Jund	66.857143	0	82	0	0	0	0	104	166	88	117	0	228	0	151	0
Iqcn	66.857143	0	82	0	0	0	0	104	166	88	117	0	228	0	151	0
Fam214a	66.714286	0	0	0	0	0	0	127	315	177	179	0	136	0	0	0
Pgam1	66.642857	124	0	0	0	0	0	198	244	138	134	0	0	0	95	0
Tnks1bp1	66.571429	0	0	0	0	0	0	86	212	124	256	0	129	0	125	0
Rsu1	66.571429	0	0	0	0	0	0	136	140	150	189	0	140	0	177	0
Mtfmt	66.571429	138	0	0	0	0	0	97	187	122	154	0	234	0	0	0
Smarcc1	66.500000	0	0	0	0	0	0	0	115	96	141	169	264	0	146	0
Brap	66.500000	177	0	0	0	0	0	154	263	0	150	0	187	0	0	0
Acad10	66.500000	177	0	0	0	0	0	154	263	0	150	0	187	0	0	0
Dll4	66.428571	0	0	0	0	0	0	0	0	0	0	147	421	87	275	0
Ppp4r3a	66.285714	0	0	0	0	0	0	154	244	139	235	156	0	0	0	0
Prtn3	66.214286	0	0	0	0	0	0	0	248	0	101	323	255	0	0	0
Cyp21a1	66.214286	197	134	0	0	0	0	0	100	151	107	0	140	0	98	0
Znhit6	66.142857	0	0	0	0	0	0	255	189	187	166	0	129	0	0	0
Farp2	66.142857	0	0	0	0	0	0	76	178	149	196	103	132	0	92	0
Zfp119a	66.071429	0	0	0	0	0	0	0	133	190	233	0	167	96	106	0
Tfb1m	66.071429	0	0	0	0	0	0	0	184	154	212	0	207	0	168	0
Pigw	66.071429	0	0	0	0	0	0	92	253	179	230	0	0	0	171	0
Myo19	66.071429	0	0	0	0	0	0	92	253	179	230	0	0	0	171	0
Prpf40a	66.000000	0	0	0	0	0	0	0	139	201	217	150	139	0	78	0
Ndfip1	66.000000	155	0	0	0	0	0	189	175	0	0	98	0	132	175	0
Lcmt1	66.000000	0	0	0	0	0	0	0	215	166	121	172	250	0	0	0
Arl6ip6	66.000000	0	0	0	0	0	0	0	139	201	217	150	139	0	78	0
Fam118a	65.928571	0	0	0	0	0	0	143	219	118	188	101	154	0	0	0
Mgrn1	65.857143	0	0	0	0	0	0	130	293	0	171	0	162	0	166	0
Pxylp1	65.785714	128	0	0	0	0	0	131	208	159	169	0	0	0	126	0
Zc3h3	65.714286	0	0	0	0	0	0	122	193	167	132	0	149	0	157	0
Arl5b	65.714286	0	0	0	0	0	0	211	224	177	173	135	0	0	0	0
Leng9	65.642857	0	0	0	0	0	0	137	193	92	177	0	97	111	112	0
Itpripl1	65.642857	0	0	0	0	0	0	231	309	214	165	0	0	0	0	0
Gm5741	65.642857	0	0	0	0	0	0	171	139	0	159	98	224	0	128	0
Dhps	65.642857	0	0	0	0	0	0	171	139	0	159	98	224	0	128	0
Rpl27	65.571429	0	0	0	0	0	0	158	122	166	217	0	0	0	255	0
Tet2	65.500000	0	0	0	0	0	0	0	238	108	176	0	146	0	249	0
Smyd4	65.500000	76	0	0	0	0	0	170	226	160	165	0	0	0	120	0
Rpa1	65.500000	76	0	0	0	0	0	170	226	160	165	0	0	0	120	0
Psmg4	65.500000	0	0	0	0	0	0	179	83	0	198	148	160	0	149	0
Pold1	65.428571	147	0	0	0	0	0	152	234	162	221	0	0	0	0	0
Anks3	65.428571	0	0	0	0	0	0	118	183	165	220	119	111	0	0	0
4930451G09Rik	65.428571	0	0	0	0	0	0	118	183	165	220	119	111	0	0	0
Tnfrsf12a	65.357143	174	0	0	0	0	0	0	181	125	185	0	133	0	117	0
Tmed1	65.357143	0	0	0	0	0	0	112	115	114	160	0	194	0	220	0
Thoc6	65.357143	174	0	0	0	0	0	0	181	125	185	0	133	0	117	0
Hcfc1r1	65.357143	174	0	0	0	0	0	0	181	125	185	0	133	0	117	0
Abcb4	65.357143	0	0	0	0	0	0	268	157	0	103	0	182	0	205	0
4921524J17Rik	65.357143	0	0	0	0	0	0	0	245	0	239	0	290	0	141	0
Zfp866	65.285714	0	0	0	0	0	0	0	139	157	221	0	117	117	163	0
Polr3gl	65.285714	0	0	0	0	0	0	0	163	127	279	0	165	0	180	0
Ankrd34a	65.285714	0	0	0	0	0	0	0	163	127	279	0	165	0	180	0
Cnpy3	65.214286	0	0	0	0	0	0	164	209	177	159	0	204	0	0	0
Slc16a7	65.142857	0	0	0	0	0	0	113	181	144	196	0	0	182	96	0
Tent4b	65.071429	0	0	0	0	0	0	0	167	0	123	0	222	151	248	0
Mrpl27	65.071429	0	0	0	0	0	0	0	0	0	234	0	274	129	274	0
Eme1	65.071429	0	0	0	0	0	0	0	0	0	234	0	274	129	274	0
Dtx4	65.071429	0	0	0	0	0	0	0	99	111	124	0	191	136	250	0
Cdk11b	65.071429	0	0	0	0	0	0	0	147	139	233	0	132	114	146	0
Gc	64.928571	0	177	0	0	0	0	193	193	0	177	0	0	0	169	0
Tpp2	64.857143	0	0	0	0	0	0	0	159	158	166	0	178	114	133	0
Rusc2	64.857143	0	0	0	0	0	0	159	156	0	195	159	84	0	155	0
Rragc	64.857143	0	0	0	0	0	0	158	226	0	175	0	190	0	159	0
Gabpb2	64.857143	144	0	0	0	0	0	156	190	0	200	0	126	0	92	0
Btbd11	64.857143	0	0	0	0	0	0	177	172	183	204	0	172	0	0	0
Gtf2f2	64.785714	0	0	0	0	0	0	153	233	90	230	112	0	0	89	0
Entpd8	64.785714	0	0	0	0	0	0	171	295	169	272	0	0	0	0	0
Ift172	64.714286	0	0	0	0	0	0	118	278	160	238	0	112	0	0	0
Gm3336	64.714286	0	0	0	0	0	0	191	109	0	0	150	0	0	456	0
Dhx34	64.714286	0	0	0	0	0	0	180	120	144	259	0	203	0	0	0
Vps11	64.571429	0	0	0	0	0	0	139	258	0	165	0	0	149	193	0
Tmem219	64.571429	169	0	0	0	0	0	133	225	0	147	0	106	0	124	0
Zfp51	64.500000	0	0	0	0	0	0	88	203	133	219	0	159	0	101	0
Safb2	64.500000	0	0	0	0	0	0	143	182	165	232	0	0	181	0	0
Safb	64.500000	0	0	0	0	0	0	143	182	165	232	0	0	181	0	0
Gadd45a	64.500000	0	0	0	0	0	0	185	299	154	265	0	0	0	0	0
Fbxo9	64.500000	135	133	0	0	0	0	185	231	0	99	0	0	0	120	0
Cilk1	64.500000	135	133	0	0	0	0	185	231	0	99	0	0	0	120	0
Pomt1	64.428571	106	0	0	0	0	0	80	198	0	125	0	155	89	149	0
Kifc3	64.428571	0	0	0	0	0	0	186	256	138	224	0	0	0	98	0
Tubg1	64.357143	0	0	0	0	0	0	234	259	162	246	0	0	0	0	0
Retreg3	64.357143	0	0	0	0	0	0	234	259	162	246	0	0	0	0	0
Cxxc5	64.357143	0	0	0	0	0	0	158	180	168	152	0	243	0	0	0
Ccni	64.357143	0	0	0	0	0	0	156	169	154	170	0	166	0	86	0
Arhgef7	64.357143	0	0	0	0	0	0	231	264	179	227	0	0	0	0	0
2010109A12Rik	64.357143	0	0	0	0	0	0	156	169	154	170	0	166	0	86	0
Tie1	64.285714	0	0	0	0	0	0	153	157	150	208	0	0	0	232	0
Ss18l1	64.285714	0	0	0	0	0	0	157	147	0	108	164	170	0	154	0
Smim4	64.285714	0	0	0	0	0	0	0	187	160	155	188	210	0	0	0
Rbm38	64.285714	0	0	0	0	0	0	153	246	0	90	0	257	0	154	0
Psma7	64.285714	0	0	0	0	0	0	157	147	0	108	164	170	0	154	0
Nt5dc2	64.285714	0	0	0	0	0	0	0	187	160	155	188	210	0	0	0
Myh9	64.285714	133	169	0	0	0	0	104	131	201	162	0	0	0	0	0
Agps	64.285714	0	0	0	0	0	0	164	189	0	97	247	203	0	0	0
Wipf3	64.214286	0	0	0	0	0	0	250	355	136	158	0	0	0	0	0
Cic	64.214286	0	0	0	0	0	0	0	194	140	210	0	191	0	164	0
Abca6	64.214286	0	0	0	0	0	0	179	152	132	139	0	173	0	124	0
Fosb	64.142857	0	0	0	0	0	0	0	158	155	113	112	137	81	142	0
Zfp131	64.071429	0	0	0	0	0	0	112	162	106	176	0	178	0	163	0
Unk	64.071429	0	0	0	0	0	0	94	145	111	211	90	161	0	85	0
Narf	64.071429	186	0	0	0	0	0	148	154	126	181	0	0	0	102	0
Cln5	64.071429	0	0	0	0	0	0	175	133	160	122	0	130	82	95	0
Mindy4	64.000000	176	85	0	0	0	0	0	190	142	174	0	129	0	0	0
Ktn1	64.000000	0	0	0	0	0	0	0	102	124	134	115	103	155	163	0
Tmc8	63.928571	0	0	0	0	0	0	121	137	87	189	0	246	0	115	0
Tmc6	63.928571	0	0	0	0	0	0	121	137	87	189	0	246	0	115	0
Scoc	63.857143	0	0	0	0	0	0	0	0	178	201	174	168	0	173	0
Rbm34	63.857143	0	0	0	0	0	0	257	202	160	275	0	0	0	0	0
Ptprd	63.857143	0	0	0	0	0	0	164	269	120	205	0	0	0	136	0
Nme4	63.785714	0	0	0	0	0	0	116	251	75	103	162	186	0	0	0
Herc2	63.642857	0	0	0	0	0	0	157	177	120	129	0	192	0	116	0
Ccnd1	63.642857	0	0	0	0	0	0	0	159	0	161	192	208	0	171	0
Tent5c	63.571429	0	0	0	0	0	0	0	0	0	0	169	278	161	282	0
Frat1	63.500000	0	0	0	0	0	0	85	184	114	230	0	133	0	143	0
Fam187a	63.428571	0	0	0	0	0	0	151	204	206	200	0	0	0	127	0
Eftud2	63.428571	0	0	0	0	0	0	151	204	206	200	0	0	0	127	0
Ccdc103	63.428571	0	0	0	0	0	0	151	204	206	200	0	0	0	127	0
Adpgk	63.428571	0	0	0	0	0	0	270	129	87	160	0	153	0	89	0
Egr1	63.357143	98	0	0	0	0	0	0	189	0	135	137	217	0	111	0
Cox8b	63.357143	0	0	0	0	0	0	121	110	158	117	116	153	0	112	0
Anapc15	63.357143	0	0	0	0	0	0	93	157	141	159	119	122	0	96	0
Slc10a2	63.285714	0	0	0	0	0	0	160	424	150	152	0	0	0	0	0
Hikeshi	63.285714	0	0	0	0	0	0	91	164	162	221	142	106	0	0	0
Gstm2	63.214286	204	125	0	0	0	0	0	0	0	204	0	106	143	103	0
Rspry1	63.071429	0	0	0	0	0	0	0	140	149	163	142	158	0	131	0
Psme3ip1	63.071429	0	0	0	0	0	0	0	140	149	163	142	158	0	131	0
Las1l	63.071429	0	0	0	0	0	0	176	151	168	189	0	199	0	0	0
Psmd8	63.000000	0	0	0	0	0	0	234	126	175	193	0	154	0	0	0
Vps18	62.928571	0	0	0	0	0	0	0	201	142	255	0	156	0	127	0
Scrib	62.928571	0	0	0	0	0	0	0	246	148	242	0	137	0	108	0
Rps23	62.928571	0	0	0	0	0	0	0	133	0	136	107	259	0	246	0
Nr2f2	62.928571	0	0	0	0	0	0	181	225	0	150	0	138	0	187	0
Leng8	62.928571	0	0	0	0	0	0	113	133	0	204	0	180	138	113	0
Kctd15	62.928571	0	0	0	0	0	0	166	236	0	229	0	165	85	0	0
Fgfr3	62.928571	228	266	0	0	0	0	0	0	0	0	103	284	0	0	0
Dtwd2	62.928571	0	0	0	0	0	0	65	145	152	0	133	183	99	104	0
Snx17	62.857143	191	0	0	0	0	0	0	231	106	140	0	0	0	212	0
Ppp1r9a	62.857143	0	0	0	0	0	0	0	0	0	0	279	279	175	147	0
Mesd	62.857143	0	71	0	0	0	0	139	274	196	200	0	0	0	0	0
Eif2b4	62.857143	191	0	0	0	0	0	0	231	106	140	0	0	0	212	0
Mthfs	62.785714	132	0	0	0	0	0	105	121	124	0	0	220	0	177	0
Gorasp2	62.714286	0	110	0	0	0	0	136	128	156	231	0	0	0	117	0
Xndc1	62.642857	0	0	0	0	0	0	89	102	118	232	0	182	0	154	0
Rnf121	62.642857	0	0	0	0	0	0	89	102	118	232	0	182	0	154	0
Mrps17	62.642857	0	0	0	0	0	0	0	222	180	206	0	90	0	179	0
Ddx24	62.642857	0	0	0	0	0	0	148	176	121	201	0	83	0	148	0
Sgms1	62.571429	0	0	0	0	0	0	149	130	86	136	0	177	90	108	0
Pcbp4	62.571429	0	0	0	0	0	0	0	213	136	199	191	137	0	0	0
Mtdh	62.571429	0	0	0	0	0	0	97	197	138	166	0	162	116	0	0
Mlf2	62.571429	0	0	0	0	0	0	118	310	0	189	0	0	123	136	0
Paqr3	62.500000	0	0	0	0	0	0	225	234	0	200	0	216	0	0	0
Cox20	62.500000	0	0	0	0	0	0	157	139	120	155	0	125	91	88	0
Usp31	62.428571	0	0	0	0	0	0	133	183	0	231	150	177	0	0	0
Ddx21	62.428571	0	0	0	0	0	0	0	143	93	107	0	243	119	169	0
Arhgef1	62.428571	0	0	0	0	0	0	134	159	143	240	0	90	0	108	0
Wwox	62.357143	0	0	0	0	0	0	88	138	233	278	0	136	0	0	0
Tmem266	62.357143	0	0	0	0	0	0	222	368	153	130	0	0	0	0	0
Cxcr1	62.357143	0	0	0	0	0	0	121	211	0	139	132	140	0	130	0
Rheb	62.285714	0	0	0	0	0	0	0	138	138	175	113	214	0	94	0
Mbd6	62.285714	0	0	0	0	0	0	0	155	0	186	131	207	0	193	0
Ddit3	62.285714	0	0	0	0	0	0	0	155	0	186	131	207	0	193	0
Asf1b	62.285714	0	0	0	0	0	0	209	181	132	201	0	149	0	0	0
Ccdc194	62.214286	0	0	0	0	0	0	0	0	0	0	275	287	98	211	0
Seh1l	62.071429	0	0	0	0	0	0	135	0	128	199	106	182	119	0	0
Coro1b	62.071429	0	0	0	0	0	0	93	165	149	300	0	162	0	0	0
Cnksr3	62.071429	0	0	0	0	0	0	168	199	0	182	0	174	0	146	0
Alyref2	62.000000	0	0	0	0	0	0	194	134	150	101	0	152	0	137	0
Igfn1	61.785714	0	0	0	0	0	0	164	206	0	148	0	179	0	168	0
Kdm7a	61.714286	0	0	0	0	0	0	135	181	0	189	145	214	0	0	0
Cpped1	61.714286	131	161	0	0	0	0	135	123	133	181	0	0	0	0	0
1810010H24Rik	61.714286	0	0	0	0	0	0	203	192	120	192	0	0	157	0	0
Rnaset2a	61.571429	0	0	0	0	0	0	0	193	130	98	161	173	0	107	0
Naprt	61.571429	0	0	0	0	0	0	166	174	163	246	0	0	0	113	0
Cat	61.571429	117	0	0	0	0	0	119	253	181	192	0	0	0	0	0
Tmem139	61.500000	0	0	0	0	0	0	118	184	148	278	0	133	0	0	0
Casp2	61.500000	0	0	0	0	0	0	118	184	148	278	0	133	0	0	0
Zfp444	61.428571	0	0	0	0	0	0	124	154	0	150	125	187	0	120	0
Rassf1	61.428571	0	0	0	0	0	0	180	180	143	186	0	171	0	0	0
Kat7	61.428571	112	155	0	0	0	0	0	169	175	249	0	0	0	0	0
Gm5820	61.428571	116	0	0	0	0	0	0	197	130	260	0	0	0	157	0
Gabarap	61.428571	0	0	0	0	0	0	0	199	0	137	137	184	0	203	0
Pola2	61.357143	0	0	0	0	0	0	189	136	0	0	110	190	105	129	0
Cbarp	61.357143	270	0	0	0	0	0	160	272	0	157	0	0	0	0	0
Atp5d	61.357143	270	0	0	0	0	0	160	272	0	157	0	0	0	0	0
Utp14a	61.285714	0	0	0	0	0	0	0	289	93	180	0	149	0	147	0
Gtf2e2	61.285714	0	0	0	0	0	0	149	236	140	98	0	100	0	135	0
Elf2	61.285714	0	0	0	0	0	0	139	172	84	147	0	98	98	120	0
Tnpo3	61.142857	0	0	0	0	0	0	0	158	136	230	0	193	0	139	0
Srp54a	61.142857	91	0	0	0	0	0	0	136	122	112	177	127	0	91	0
Dcaf11	61.142857	0	107	0	0	0	0	173	163	100	153	0	160	0	0	0
Serpina7	61.071429	0	0	0	0	0	0	0	378	168	309	0	0	0	0	0
Mug1	61.071429	0	0	0	0	0	0	161	203	141	168	0	0	0	182	0
Mthfsl	61.071429	0	0	0	0	0	0	190	144	127	137	0	116	0	141	0
Hamp2	61.071429	0	0	0	0	0	0	255	164	196	240	0	0	0	0	0
4930513O06Rik	61.071429	0	0	0	0	0	0	0	378	168	309	0	0	0	0	0
Mideas	61.000000	0	0	0	0	0	0	138	283	170	146	0	0	0	117	0
Ppat	60.928571	0	0	0	0	0	0	107	171	104	138	0	169	0	164	0
Paics	60.928571	0	0	0	0	0	0	107	171	104	138	0	169	0	164	0
Esrp2	60.928571	139	0	0	0	0	0	141	222	115	130	0	0	0	106	0
Car3	60.857143	0	0	0	0	0	0	241	326	0	153	0	0	0	132	0
Pebp1	60.785714	100	0	0	0	0	0	72	124	167	187	0	98	0	103	0
Nhlrc2	60.785714	0	0	0	0	0	0	166	307	0	90	0	149	139	0	0
Dclre1a	60.785714	0	0	0	0	0	0	166	307	0	90	0	149	139	0	0
Atf6	60.785714	0	0	0	0	0	0	177	189	101	127	0	151	106	0	0
Utp18	60.714286	0	0	0	0	0	0	0	197	142	176	67	145	123	0	0
Ube2c	60.714286	0	0	0	0	0	0	129	173	159	163	88	138	0	0	0
Mbtd1	60.714286	0	0	0	0	0	0	0	197	142	176	67	145	123	0	0
Abtb1	60.714286	95	0	0	0	0	0	0	135	141	291	0	90	0	98	0
Slc18a1	60.642857	0	0	0	0	0	0	187	224	0	177	0	261	0	0	0
Serpina5	60.642857	0	0	0	0	0	0	200	299	0	149	0	0	0	201	0
Fnbp4	60.642857	0	0	0	0	0	0	199	172	95	209	0	174	0	0	0
Atp6v1b2	60.642857	0	0	0	0	0	0	187	224	0	177	0	261	0	0	0
Wnt5b	60.571429	244	0	0	0	0	0	72	185	111	236	0	0	0	0	0
Rabepk	60.571429	0	0	0	0	0	0	0	176	112	135	132	169	0	124	0
Grpel1	60.571429	0	0	0	0	0	0	126	208	241	273	0	0	0	0	0
Arhgef26	60.571429	0	0	0	0	0	0	160	231	143	200	0	0	0	114	0
Hnrnpa1	60.500000	0	0	0	0	0	0	141	203	109	149	0	146	0	99	0
Heatr3	60.500000	0	0	0	0	0	0	113	144	151	175	149	115	0	0	0
Dcps	60.500000	169	116	0	0	0	0	0	104	153	148	0	157	0	0	0
Cdkn1a	60.500000	134	0	0	0	0	0	157	126	159	164	0	0	0	107	0
Cbx5	60.500000	0	0	0	0	0	0	141	203	109	149	0	146	0	99	0
Rassf3	60.428571	0	0	0	0	0	0	149	118	137	216	0	0	102	124	0
E2f3	60.428571	229	232	0	0	0	0	0	94	0	180	0	0	111	0	0
Pgap1	60.285714	0	0	0	0	0	0	0	231	142	0	130	180	0	161	0
Dnajc13	60.285714	143	0	0	0	0	0	119	126	86	149	119	0	0	102	0
Azin1	60.142857	97	104	0	0	0	0	216	206	90	129	0	0	0	0	0
Sult1a1	60.071429	97	0	0	0	0	0	177	199	0	120	0	0	0	248	0
Ric1	60.071429	0	0	0	0	0	0	183	214	178	157	0	109	0	0	0
Mettl17	60.071429	0	0	0	0	0	0	105	137	0	186	0	201	0	212	0
Cox5a	60.071429	0	0	0	0	0	0	191	128	131	206	0	185	0	0	0
Nmt2	60.000000	0	0	0	0	0	0	140	190	240	156	0	0	0	114	0
Gde1	60.000000	0	0	0	0	0	0	159	218	0	0	133	118	100	112	0
Grb7	59.928571	143	0	0	0	0	0	110	314	0	180	0	92	0	0	0
Tdg	59.857143	0	0	0	0	0	0	155	128	212	226	0	0	0	117	0
Pdia4	59.785714	0	0	0	0	0	0	0	81	0	216	143	266	0	131	0
Gna13	59.785714	0	0	0	0	0	0	0	162	223	241	0	0	211	0	0
Gm9733	59.785714	0	0	0	0	0	0	195	258	169	0	0	0	0	215	0
Eif3e	59.785714	0	0	0	0	0	0	0	227	0	183	139	186	102	0	0
Aox1	59.785714	0	0	0	0	0	0	203	330	143	161	0	0	0	0	0
Snrpd1	59.714286	0	0	0	0	0	0	110	125	0	188	0	317	0	96	0
Txndc16	59.642857	0	0	0	0	0	0	84	227	95	290	0	139	0	0	0
Gskip	59.642857	0	0	0	0	0	0	149	214	0	210	0	141	0	121	0
Gpr137c	59.642857	0	0	0	0	0	0	84	227	95	290	0	139	0	0	0
Atg2b	59.642857	0	0	0	0	0	0	149	214	0	210	0	141	0	121	0
Lamtor3	59.571429	0	0	0	0	0	0	146	166	134	151	0	133	104	0	0
Ces3a	59.571429	0	0	0	0	0	0	152	325	0	172	0	0	0	185	0
Alg14	59.571429	91	133	0	0	0	0	115	154	106	144	0	0	0	91	0
Tssc4	59.500000	0	0	0	0	0	0	180	194	156	239	0	64	0	0	0
Tcea1	59.500000	0	0	0	0	0	0	0	152	202	205	0	0	129	145	0
Tab1	59.500000	0	0	0	0	0	0	0	199	0	146	105	155	122	106	0
Pdcd2l	59.500000	0	0	0	0	0	0	0	145	0	169	95	142	126	156	0
Arl4d	59.500000	0	0	0	0	0	0	193	220	0	153	0	0	0	267	0
Aco1	59.500000	0	0	0	0	0	0	142	138	148	148	0	155	0	102	0
Lcn12	59.428571	0	0	0	0	0	0	0	0	0	0	186	410	0	236	0
Slc39a4	59.357143	0	0	0	0	0	0	193	157	187	192	0	102	0	0	0
Pstk	59.357143	0	0	0	0	0	0	89	124	209	220	0	189	0	0	0
Clptm1l	59.357143	0	0	0	0	0	0	175	172	272	212	0	0	0	0	0
Rrp36	59.285714	0	0	0	0	0	0	105	194	119	193	0	92	0	127	0
Rpl36	59.285714	0	0	0	0	0	0	138	145	143	111	161	132	0	0	0
Micos13	59.285714	0	0	0	0	0	0	138	145	143	111	161	132	0	0	0
Bod1l	59.285714	0	0	0	0	0	0	0	184	138	253	0	105	0	150	0
Usp22	59.214286	0	0	0	0	0	0	0	259	183	250	137	0	0	0	0
Tsfm	59.214286	0	0	0	0	0	0	169	172	179	211	0	0	98	0	0
Serpina11	59.214286	102	0	0	0	0	0	148	263	118	198	0	0	0	0	0
Cpt2	59.214286	155	0	0	0	0	0	182	232	0	128	0	132	0	0	0
Chd2	59.214286	0	0	0	0	0	0	130	195	122	148	0	113	0	121	0
Slc23a1	59.142857	0	0	0	0	0	0	142	173	94	140	0	0	147	132	0
Rbm17	59.142857	0	0	0	0	0	0	185	161	170	87	0	0	99	126	0
Ptma	59.071429	0	0	0	0	0	0	195	0	158	96	157	221	0	0	0
Ehbp1	59.000000	141	0	0	0	0	0	149	309	0	227	0	0	0	0	0
Tgm1	58.928571	170	228	0	0	0	0	92	101	98	136	0	0	0	0	0
Smc1a	58.928571	0	0	0	0	0	0	0	252	0	194	0	232	0	147	0
Ribc1	58.928571	0	0	0	0	0	0	0	252	0	194	0	232	0	147	0
Kif2c	58.857143	0	0	0	0	0	0	215	148	94	0	0	230	0	137	0
Pla2g12a	58.785714	0	0	0	0	0	0	167	285	198	173	0	0	0	0	0
Zfp386	58.500000	0	106	0	0	0	0	108	145	107	195	0	158	0	0	0
Zfand2a	58.500000	0	0	0	0	0	0	0	263	138	190	0	228	0	0	0
Tbc1d5	58.500000	0	0	0	0	0	0	181	179	132	78	0	126	0	123	0
Rhebl1	58.500000	0	0	0	0	0	0	0	158	0	145	155	170	0	191	0
Paxip1	58.500000	0	0	0	0	0	0	0	154	106	161	123	106	0	169	0
Gadd45b	58.500000	0	0	0	0	0	0	95	152	0	169	0	165	116	122	0
Arhgap39	58.428571	0	0	0	0	0	0	0	142	0	0	235	273	0	168	0
Tlr12	58.357143	245	141	0	0	0	0	0	0	0	102	0	177	0	152	0
Pkhd1	58.357143	0	0	0	0	0	0	298	335	0	184	0	0	0	0	0
Fam168a	58.357143	0	0	0	0	0	0	0	181	187	249	0	0	0	200	0
Ccdc84	58.357143	0	0	0	0	0	0	0	147	78	100	0	230	0	262	0
Parp6	58.285714	133	0	0	0	0	0	128	194	115	117	0	129	0	0	0
Ggt7	58.214286	0	0	0	0	0	0	119	297	124	275	0	0	0	0	0
Ebna1bp2	58.214286	0	0	0	0	0	0	125	179	0	199	0	94	0	218	0
Cfap57	58.214286	0	0	0	0	0	0	125	179	0	199	0	94	0	218	0
Acss2	58.214286	0	0	0	0	0	0	119	297	124	275	0	0	0	0	0
Ndufb6	58.142857	0	0	0	0	0	0	251	0	187	233	0	0	0	143	0
Bcl3	58.142857	0	0	0	0	0	0	0	136	0	0	112	247	149	170	0
Xkr9	58.071429	0	0	0	0	0	0	128	188	0	0	0	194	120	183	0
Ift88	58.071429	0	0	0	0	0	0	102	200	91	124	0	0	142	154	0
Gpaa1	58.071429	0	0	0	0	0	0	0	293	0	185	147	188	0	0	0
Exosc4	58.071429	0	0	0	0	0	0	0	293	0	185	147	188	0	0	0
Insig1	58.000000	0	0	0	0	0	0	136	157	133	187	0	0	0	199	0
Cmip	58.000000	0	0	0	0	0	0	212	227	0	227	0	0	0	146	0
Spg7	57.928571	214	0	0	0	0	0	235	257	0	105	0	0	0	0	0
Pcbd1	57.928571	213	128	0	0	0	0	186	284	0	0	0	0	0	0	0
Mrtfb	57.928571	0	0	0	0	0	0	0	209	268	196	0	0	0	138	0
Mrpl24	57.928571	0	0	0	0	0	0	140	160	138	134	0	0	92	147	0
Gdi2	57.928571	0	0	0	0	0	0	106	221	0	194	0	127	0	163	0
Dmgdh	57.928571	0	140	0	0	0	0	131	246	115	179	0	0	0	0	0
Bhmt2	57.928571	0	140	0	0	0	0	131	246	115	179	0	0	0	0	0
Washc2	57.857143	0	0	0	0	0	0	0	145	183	134	0	142	0	206	0
Strn	57.857143	0	0	0	0	0	0	169	200	227	214	0	0	0	0	0
Pan3	57.857143	0	0	0	0	0	0	0	238	156	147	0	0	113	156	0
Celf1	57.857143	0	0	0	0	0	0	243	213	160	194	0	0	0	0	0
Rab5a	57.785714	0	0	0	0	0	0	218	165	152	167	0	0	107	0	0
Impdh2	57.785714	0	0	0	0	0	0	151	111	147	139	106	155	0	0	0
Ugdh	57.714286	0	0	0	0	0	0	176	180	202	135	0	115	0	0	0
Rangap1	57.714286	0	0	0	0	0	0	137	219	89	148	0	119	0	96	0
Prr5l	57.642857	0	0	0	0	0	0	0	215	0	211	0	133	101	147	0
Mgst1	57.642857	0	0	0	0	0	0	147	314	0	128	0	0	0	218	0
Dpyd	57.642857	0	0	0	0	0	0	176	177	0	174	0	0	121	159	0
Commd9	57.642857	0	0	0	0	0	0	0	215	0	211	0	133	101	147	0
Xpnpep3	57.571429	0	0	0	0	0	0	132	192	101	122	0	144	0	115	0
St13	57.571429	0	0	0	0	0	0	132	192	101	122	0	144	0	115	0
Tmem102	57.500000	132	0	0	0	0	0	102	175	0	133	0	146	0	117	0
Timm13	57.500000	0	0	0	0	0	0	115	203	132	259	0	0	0	96	0
Rab3d	57.500000	0	0	0	0	0	0	89	121	82	135	132	0	106	140	0
