Target_genes	Arnt|Average	SRX6386420|4T1	SRX6386421|4T1	SRX6386422|4T1	SRX6386423|4T1	SRX8844237|EpiSC	SRX8844238|EpiSC	SRX8844239|EpiSC	SRX8844240|EpiSC	SRX6386412|ES_cells	SRX6386413|ES_cells	SRX6386414|ES_cells	SRX6386415|ES_cells	SRX6386416|ES_cells	SRX6386417|ES_cells	SRX6386418|ES_cells	SRX6386419|ES_cells	STRING
Clk4	35.062500	198	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC049762	35.062500	198	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gnt9	35.062500	235	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrap1	34.937500	126	313	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mt2	34.875000	0	181	0	0	0	0	0	0	0	0	0	0	125	152	100	0	0
Frmd6	34.875000	126	197	117	118	0	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd13	34.687500	0	0	0	0	0	0	0	0	0	0	192	175	0	0	0	188	0
Kdm5a	34.562500	158	249	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc9c	34.437500	225	217	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0
Nap1l4	34.437500	0	393	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpul2	34.437500	225	217	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0
Sympk	34.375000	0	292	117	141	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxa3	34.375000	0	292	117	141	0	0	0	0	0	0	0	0	0	0	0	0	0
Marchf10	34.312500	179	256	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chac1	34.187500	0	280	143	124	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkl5	34.187500	0	202	108	237	0	0	0	0	0	0	0	0	0	0	0	0	0
Znfx1	34.125000	0	317	92	0	0	0	0	0	0	0	0	0	0	0	137	0	0
Tomm20	34.125000	0	142	113	0	0	0	0	0	0	0	0	0	119	0	172	0	0
Msantd3	34.125000	0	0	0	0	0	0	0	0	0	0	206	110	113	0	117	0	0
H3c10	34.125000	0	206	0	0	0	0	0	0	0	0	0	0	158	0	0	182	0
H2bc13	34.125000	0	206	0	0	0	0	0	0	0	0	0	0	158	0	0	182	0
H2ac13	34.125000	0	206	0	0	0	0	0	0	0	0	0	0	158	0	0	182	0
Tff1	34.062500	132	288	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyrib	34.062500	165	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcnt2	34.000000	188	212	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efemp2	34.000000	169	282	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
Peak1	33.937500	227	239	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmg20a	33.937500	227	239	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
Commd6	33.875000	90	321	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpgrip1l	33.812500	207	229	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0
Fto	33.812500	207	229	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71f1	33.750000	0	395	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef11	33.750000	120	299	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps21	33.687500	0	363	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0
Glt1d1	33.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	158	124	257	0
Htt	33.562500	124	286	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
Inafm2	33.437500	0	403	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csnk1g2	33.375000	0	374	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab27a	33.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	152	173	208	0
Klf9	33.312500	160	201	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0
St3gal1	33.250000	151	179	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steap2	33.062500	0	355	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap3	33.062500	0	416	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
Nelfa	33.000000	101	323	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0
Rbm3	32.937500	145	233	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haus4	32.937500	0	206	0	0	0	0	0	0	0	0	0	0	98	134	0	89	0
Gpbp1	32.875000	158	260	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc120	32.875000	186	200	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1	32.812500	163	277	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6ap1	32.750000	130	276	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf2	32.625000	128	244	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim14	32.625000	140	240	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd11	32.625000	128	244	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc30a9	32.562500	0	228	155	138	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlx	32.562500	207	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b1	32.562500	207	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coasy	32.562500	207	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd9	32.437500	118	278	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdca2	32.437500	118	278	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc41a1	32.312500	0	283	0	118	0	0	0	0	0	0	0	0	0	116	0	0	0
Adck5	32.250000	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
Uhrf1bp1	32.125000	171	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc41a2	32.125000	179	206	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Mndal	32.125000	0	374	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef18	32.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	155	180	178	0
Zfp131	32.000000	138	241	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad6	31.937500	78	242	83	108	0	0	0	0	0	0	0	0	0	0	0	0	0
Bod1	31.937500	0	0	0	0	259	0	0	252	0	0	0	0	0	0	0	0	0
Dph2	31.875000	0	229	129	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc149	31.875000	142	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4galt2	31.875000	0	229	129	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0b	31.875000	0	229	129	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap39	31.875000	0	0	0	0	0	0	0	0	0	0	163	0	0	168	179	0	0
Tmem263	31.812500	106	302	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhl4	31.812500	106	302	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exosc2	31.812500	122	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dap3	31.687500	0	203	0	0	0	0	0	0	0	0	0	0	101	0	110	93	0
1700025G04Rik	31.687500	117	273	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Otud4	31.625000	133	267	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0
Dock8	31.625000	117	259	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnrc6c	31.437500	91	309	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkce	31.437500	189	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdss1	31.437500	106	268	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd12	31.437500	0	311	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b12	31.312500	128	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esco2	31.312500	0	212	190	0	0	0	0	0	0	0	0	0	0	0	0	99	0
Csrp1	31.312500	103	281	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc25	31.312500	0	212	190	0	0	0	0	0	0	0	0	0	0	0	0	99	0
Dusp4	31.250000	0	386	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rap2a	31.187500	151	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galc	31.187500	94	163	102	140	0	0	0	0	0	0	0	0	0	0	0	0	0
Eps15	31.187500	167	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh5	31.125000	0	372	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	31.125000	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clic1	31.125000	0	372	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp5	31.062500	122	243	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf13	31.062500	130	257	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
Cdca3	31.062500	122	243	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pes1	31.000000	0	407	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl19	30.937500	125	246	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm572	30.875000	137	202	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cwc25	30.812500	140	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx14	30.750000	100	272	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja2	30.750000	133	212	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpc2	30.687500	103	231	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr2h	30.625000	0	338	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn2	30.625000	0	338	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr53	30.500000	146	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipo5	30.500000	0	239	117	132	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo45	30.500000	146	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdfy2	30.437500	159	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif23	30.437500	0	0	0	0	0	0	0	0	0	0	127	0	122	0	238	0	0
Dnajc1	30.437500	101	263	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Palld	30.375000	143	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crebzf	30.250000	0	0	0	0	0	0	0	0	0	0	0	152	0	179	153	0	0
Ifi203	30.187500	162	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htra2	30.125000	145	217	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3667	30.125000	0	0	0	0	0	0	0	0	0	0	133	134	108	0	0	107	0
Dqx1	30.125000	145	217	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg4	30.062500	131	241	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbsn	30.000000	0	176	169	135	0	0	0	0	0	0	0	0	0	0	0	0	0
Polk	30.000000	94	275	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt11	30.000000	0	296	0	105	0	0	0	0	0	0	0	0	0	0	0	79	0
Gjb3	30.000000	0	306	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0
Gapdhs	30.000000	0	176	169	135	0	0	0	0	0	0	0	0	0	0	0	0	0
Cert1	30.000000	94	275	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc42se1	30.000000	0	296	0	105	0	0	0	0	0	0	0	0	0	0	0	79	0
Rab1a	29.937500	0	169	133	0	0	0	0	0	0	0	0	0	0	0	0	177	0
Mllt3	29.937500	148	226	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3b	29.937500	0	335	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc19a1	29.875000	0	333	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c1	29.875000	98	264	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp65	29.812500	113	173	109	82	0	0	0	0	0	0	0	0	0	0	0	0	0
Srp54c	29.812500	159	231	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0
Srp54b	29.812500	159	231	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0
Rnf34	29.750000	0	252	0	0	0	0	0	0	0	0	91	0	0	0	133	0	0
Tmem63b	29.687500	0	373	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl14	29.687500	0	373	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1f1	29.687500	98	264	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trib2	29.562500	120	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn12	29.562500	157	180	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb7b	29.500000	0	295	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synpo	29.500000	190	163	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a4	29.500000	0	297	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a3	29.500000	0	297	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectin2	29.500000	136	218	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwc1	29.375000	119	224	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult6b1	29.312500	0	0	0	0	0	0	0	0	0	0	0	0	114	0	200	155	0
Olfr1033	29.312500	0	230	111	128	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh1l2	29.312500	106	242	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0
Zfp428	29.250000	0	105	0	0	0	0	0	0	0	0	94	0	0	166	103	0	0
Rybp	29.250000	131	199	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0
Atp9a	29.250000	0	0	0	0	0	0	0	0	0	0	0	0	87	0	179	202	0
Asxl1	29.250000	0	357	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfib	29.187500	156	142	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrf5	29.187500	91	273	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem115	29.125000	189	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyroxd1	29.125000	0	302	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygl	29.125000	0	0	0	0	0	0	0	0	0	0	156	0	0	0	189	121	0
Mief1	29.125000	0	282	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10710	29.125000	0	0	0	0	0	0	0	0	0	0	0	233	0	233	0	0	0
Pan3	29.062500	135	216	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb18	29.000000	273	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl11	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	155	125	184	0
Fam168b	28.937500	0	217	123	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Vpreb2	28.875000	0	0	0	0	0	0	0	0	0	0	0	0	0	155	166	141	0
Tpcn1	28.812500	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqcd	28.812500	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtnbp1	28.812500	0	285	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0
Osbpl10	28.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	210	0
Kdm5c	28.750000	168	159	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cebpb	28.750000	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4f1	28.625000	149	133	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif26a	28.562500	0	214	0	137	0	0	0	0	0	0	0	0	0	0	0	106	0
Mboat2	28.500000	0	189	0	0	0	0	0	0	0	0	122	0	0	0	145	0	0
Gsr	28.375000	0	212	0	96	0	0	0	0	0	0	0	0	0	0	146	0	0
Trabd	28.125000	0	261	86	103	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpnb1	28.125000	85	229	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt10	28.125000	160	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flnc	28.000000	197	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc31	27.937500	0	0	0	0	0	0	0	0	0	0	0	0	0	145	133	169	0
Eif2b5	27.812500	0	212	142	91	0	0	0	0	0	0	0	0	0	0	0	0	0
Vasn	27.750000	0	292	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ano6	27.750000	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints5	27.687500	117	198	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r23	27.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	198	0
Chrne	27.625000	0	0	0	0	0	0	0	0	0	0	0	0	133	0	206	103	0
Med27	27.562500	144	206	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mok	27.437500	0	0	0	0	0	0	0	0	0	0	0	0	120	0	170	149	0
Tmem185b	27.375000	0	195	152	0	0	0	0	0	0	0	91	0	0	0	0	0	0
Tap1	27.375000	186	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmb9	27.375000	186	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcho2	27.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	149	106	183	0
Esrp1	27.375000	171	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecsit	27.375000	95	226	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	27.312500	193	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hddc2	27.250000	0	271	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp385c	27.000000	139	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc5	26.875000	109	225	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nags	26.875000	0	0	0	0	0	0	0	0	0	0	0	0	171	0	108	151	0
Vav1	26.812500	196	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnd3	26.750000	175	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c14	26.687500	129	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcamr	26.562500	0	0	0	0	0	0	0	0	0	0	0	0	107	135	183	0	0
Trim41	26.500000	121	191	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou2f2	26.500000	111	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med17	26.500000	170	145	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd17	26.500000	0	210	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmkn	26.500000	0	308	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siah1b	26.437500	0	279	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mef2d	26.437500	127	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csde1	26.437500	112	210	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	26.437500	161	180	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
Sub1	26.375000	0	257	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oasl2	26.375000	0	269	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c3	26.375000	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
H1f6	26.375000	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
Rel	26.312500	149	143	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn2	26.312500	0	0	0	0	0	0	0	0	0	0	0	0	128	0	176	117	0
Gm14410	26.312500	159	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wbp1	26.250000	0	171	110	139	0	0	0	0	0	0	0	0	0	0	0	0	0
Scai	26.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	295	0
Ino80b	26.250000	0	171	110	139	0	0	0	0	0	0	0	0	0	0	0	0	0
Spred1	26.125000	0	304	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efna3	26.125000	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd109	26.125000	0	267	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfg	26.000000	121	168	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0
Skil	25.937500	0	0	0	0	0	0	0	0	0	0	0	0	0	179	140	96	0
Lefty2	25.875000	0	0	0	0	0	0	0	0	0	0	0	0	175	137	102	0	0
Cstdc1	25.875000	0	286	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spag1	25.812500	158	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr2k	25.812500	158	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly96	25.812500	0	276	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3739	25.812500	0	0	0	0	0	0	0	0	0	0	183	107	0	0	0	123	0
Prpf40a	25.750000	88	236	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naaa	25.750000	0	242	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0
Arl6ip6	25.750000	88	236	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ticam1	25.562500	94	231	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlec1	25.562500	113	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb3	25.562500	113	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nvl	25.500000	140	177	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gde1	25.500000	129	134	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0
Chrdl2	25.500000	0	300	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna3	25.437500	90	222	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cic	25.375000	0	185	95	0	0	0	0	0	126	0	0	0	0	0	0	0	0
C1rl	25.375000	115	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc25b	25.312500	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd3	25.250000	0	275	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrp2	25.187500	0	237	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn8	25.125000	101	202	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem54	25.125000	132	164	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0
Rmc1	25.125000	119	172	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0
Paxip1	25.062500	0	283	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxn1	25.062500	179	129	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp200	25.000000	114	202	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0
1810024B03Rik	25.000000	114	202	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx21	24.937500	0	263	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0
Jak2	24.937500	152	153	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0
Elmo2	24.875000	0	181	0	0	0	0	0	0	0	0	0	0	97	0	120	0	0
Gopc	24.812500	0	276	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifitm2	24.750000	0	292	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Det1	24.750000	0	274	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk20	24.750000	0	309	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0
Sac3d1	24.687500	0	107	0	0	0	0	0	0	0	0	0	0	0	127	0	161	0
Fxyd3	24.687500	0	0	0	0	0	0	0	0	0	0	0	0	167	138	90	0	0
Ddx42	24.687500	106	162	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc47	24.687500	106	162	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
Senp8	24.625000	153	95	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo9a	24.625000	153	95	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrfip2	24.625000	106	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10037	24.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	217	0
Cdk5rap3	24.625000	162	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmt2	24.562500	0	132	178	0	0	0	0	0	0	0	0	83	0	0	0	0	0
Fabp4	24.500000	0	275	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Anapc10	24.500000	145	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abce1	24.500000	145	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yae1d1	24.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	110	0
Tnfaip8	24.437500	142	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3rf1	24.437500	105	179	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0
Prickle4	24.437500	159	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frs3	24.437500	159	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nid2	24.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	222	0
Utp14a	24.250000	168	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt112	24.250000	0	262	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdx5	24.250000	0	262	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prcc	24.250000	129	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angptl4	24.250000	0	239	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wee1	24.187500	179	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf11	24.187500	150	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx58	24.187500	0	258	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Anks1	24.187500	150	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmcc1	24.062500	0	0	0	0	0	0	0	0	0	0	128	160	0	0	0	97	0
Krit1	24.062500	149	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gls2	24.062500	144	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankib1	24.062500	149	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmpo	24.000000	107	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcna	24.000000	0	254	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0
Lonrf1	24.000000	150	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dab2	24.000000	0	263	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gnt3	24.000000	114	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt7b	23.937500	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap1ar	23.937500	90	176	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem102	23.875000	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Fgf11	23.875000	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Serping1	23.812500	0	259	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0
Pld2	23.750000	0	166	0	0	0	0	0	0	0	0	0	105	0	0	0	109	0
