Target_genes	Gata1|Average	SRX079887|Embryonic_erythroblasts	SRX079888|Embryonic_erythroblasts	SRX145055|Embryonic_erythroblasts	SRX3889813|Embryonic_erythroblasts	SRX3889814|Embryonic_erythroblasts	SRX145066|Embryonic_megakaryocytes	SRX6797012|Erythroblasts	SRX6797015|Erythroblasts	SRX6797018|Erythroblasts	SRX6797021|Erythroblasts	SRX6797024|Erythroblasts	SRX6797027|Erythroblasts	SRX6797030|Erythroblasts	SRX6797033|Erythroblasts	SRX6797036|Erythroblasts	SRX6797039|Erythroblasts	SRX744012|Erythroblasts	SRX744013|Erythroblasts	SRX744014|Erythroblasts	SRX744015|Erythroblasts	SRX10916763|Erythrocytes	SRX10916762|Erythroid_Cells	SRX18530072|Erythroid_Cells	SRX18530073|Erythroid_Cells	SRX18530074|Erythroid_Cells	SRX8785799|ES_cells	SRX8785800|ES_cells	SRX340954|FDCPmix	SRX340957|FDCPmix	SRX340962|FDCPmix	SRX340963|FDCPmix	SRX340966|FDCPmix	SRX340967|FDCPmix	SRX100316|G1E	SRX145061|G1E	SRX9519540|G1E	SRX9519541|G1E	SRX013185|G1E-ER4+E2	SRX10714839|G1E-ER4+E2	SRX10714840|G1E-ER4+E2	SRX130172|G1E-ER4+E2	SRX130174|G1E-ER4+E2	SRX145052|G1E-ER4+E2	SRX181742|G1E-ER4+E2	SRX181743|G1E-ER4+E2	SRX181744|G1E-ER4+E2	SRX181745|G1E-ER4+E2	SRX181748|G1E-ER4+E2	SRX181749|G1E-ER4+E2	SRX8820360|G1E-ER4+E2	SRX8820361|G1E-ER4+E2	SRX816546|G1ME	SRX816547|G1ME	SRX816548|G1ME	SRX4513890|HPC-7	SRX4513891|HPC-7	SRX140370|MEL	SRX188828|MEL	SRX3889826|MEL	SRX3889827|MEL	SRX015120|MEL86	SRX18530081|mESC_derived_erythroid_cells	SRX18530083|mESC_derived_erythroid_cells	SRX18530084|mESC_derived_erythroid_cells	SRX1035393|mESC_derived_haematopoietic_progenitor	SRX118001|mESC_derived_haematopoietic_progenitor	SRX118002|mESC_derived_haematopoietic_progenitor	SRX118003|mESC_derived_haematopoietic_progenitor	SRX118004|mESC_derived_haematopoietic_progenitor	SRX118005|mESC_derived_haematopoietic_progenitor	SRX1431659|mESC_derived_haematopoietic_progenitor	SRX298036|Ter119_Erythrocytes	STRING
Morn2	23.930556	0	0	0	223	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	294	0	0	0	0	0	0	0	0	0	0	0	334	128	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0
Krtap3-1	23.930556	0	0	0	0	0	0	189	208	247	298	235	240	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Garem1	23.930556	0	0	0	249	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	938	0	0	0	0	0	0	0	0	0
Dhx57	23.930556	0	0	0	223	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	294	0	0	0	0	0	0	0	0	0	0	0	334	128	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0
4930512M02Rik	23.930556	0	0	0	0	186	0	0	0	0	0	0	0	0	146	116	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	228	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spout1	23.916667	0	0	0	344	201	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	532	0	0	0	0	0	0	0	0	0
Tle6	23.902778	0	0	0	229	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1244	0	0	0	0	0	0	0	0	0
Olfr324	23.888889	0	0	0	0	0	0	0	180	161	298	260	310	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nck1	23.888889	0	0	0	248	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0
Gins2	23.875000	134	0	0	365	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	93	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0
Psma5	23.861111	0	0	0	259	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	187	0	0	0	0	120	0	0	0	0	0	0	0	0	161	183	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0
Mapk3	23.861111	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	222	151	0	0	0	0	859	0	0	0	0	0	0	0	0	0
Dhx16	23.861111	0	0	0	157	130	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	118	381	165	0	0	0	0	211	0	0	0	0	0	0	0	0	0
Smyd5	23.847222	0	0	0	243	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	191	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0
Rxrg	23.847222	0	0	0	0	0	0	151	0	178	515	243	240	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab4b	23.847222	0	0	0	284	236	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0
Prickle1	23.847222	0	0	0	355	319	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0
Mia	23.847222	0	0	0	284	236	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0
Lsg1	23.847222	0	0	0	0	90	0	0	0	0	0	0	0	215	355	125	310	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	160	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr9	23.833333	0	0	0	291	178	0	0	0	0	159	0	0	0	122	184	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	142	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
Fam180a	23.833333	0	0	0	0	0	0	0	0	0	0	0	0	271	108	144	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	23.833333	0	0	0	333	184	0	0	0	0	0	0	0	90	151	89	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	210	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0
Pou2f2	23.805556	0	0	0	0	0	0	110	75	0	187	141	188	95	0	375	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0
Sod1	23.791667	0	0	0	240	131	0	0	0	0	0	0	0	79	0	0	167	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	102	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0
Sinhcaf	23.791667	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	392	241	0	0	0	0	0	677	0	0	0	0	0	0	0	0	0
Rnf213	23.791667	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	453	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsd3	23.791667	0	0	0	186	123	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	179	0	0	0	0	0	94	0	107	0	0	0	0	425	0	0	0	0	0	0	0	0	0
Letm2	23.791667	0	0	0	186	123	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	179	0	0	0	0	0	94	0	107	0	0	0	0	425	0	0	0	0	0	0	0	0	0
Ikzf5	23.791667	0	0	0	239	300	0	0	0	0	0	0	0	0	124	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	140	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0
Foxi2	23.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	714	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0
Cltb	23.791667	221	0	245	196	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0
Acadsb	23.791667	0	0	0	239	300	0	0	0	0	0	0	0	0	124	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	140	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0
Ubqln4	23.777778	0	0	0	204	161	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	134	76	0	0	0	0	602	0	0	0	0	0	0	0	0	0
Thra	23.777778	0	0	0	142	188	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	153	0	0	0	0	227	0	0	0	0	0	322	120	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0
Nrsn2	23.777778	0	0	0	0	0	0	0	0	0	0	0	0	104	358	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor2	23.777778	0	0	0	204	161	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	134	76	0	0	0	0	602	0	0	0	0	0	0	0	0	0
Gas7	23.777778	0	0	0	0	0	0	203	180	0	324	311	253	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atad2b	23.763889	0	0	0	310	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	112	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0
Ndufc1	23.750000	0	0	0	175	175	0	0	0	0	0	0	0	0	0	93	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	139	0	0	0	0	482	0	0	0	0	0	0	0	0	0
Lss	23.750000	0	0	0	271	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	863	0	0	0	0	0	0	0	0	0
1700066M21Rik	23.750000	0	0	0	147	126	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	387	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0
Mex3a	23.736111	0	0	0	303	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	122	0	0	0	0	121	0	0	0	0	0	0	130	124	0	0	0	0	369	0	0	0	0	0	0	0	0	0
Rcvrn	23.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	198	407	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcif1	23.722222	0	0	0	121	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	431	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0
Taf2	23.708333	0	0	0	279	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	293	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0
Slc9a3r1	23.708333	0	0	0	0	108	0	0	0	0	0	0	0	0	136	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	433	175	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0
Ppil3	23.708333	0	0	0	98	0	0	0	0	72	0	0	0	160	167	106	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	158	0	0	0	0	256	0	0	0	0	0	0	0	0	0
Nif3l1	23.708333	0	0	0	98	0	0	0	0	72	0	0	0	160	167	106	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	158	0	0	0	0	256	0	0	0	0	0	0	0	0	0
Necap1	23.708333	0	0	0	247	266	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	203	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0
Tmem230	23.694444	0	0	0	407	393	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0
Fyn	23.694444	0	0	0	260	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0
Zfat	23.680556	0	0	0	286	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	129	202	0	0	0	469	0	0	0	0	0	0	0	0	0
Mmp19	23.680556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	90	131	0	0	0	0	128	308	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	134	0	0	0	0	265	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep83	23.666667	0	0	0	120	238	0	0	0	0	0	0	0	157	130	0	188	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0
Atp6v0a4	23.652778	0	0	0	0	0	0	0	175	219	261	306	365	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C23Rik	23.652778	0	0	0	136	190	0	131	0	0	0	0	0	171	151	85	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	81	191	0	0	0	0	273	0	0	0	0	0	0	0	0	0
Vhl	23.638889	0	0	114	159	261	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	125	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	482	0	0	0	0	0	0	111	0	0
Slc26a7	23.638889	0	0	0	0	0	0	0	0	219	317	325	275	0	0	390	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd48	23.625000	0	0	0	0	0	0	0	131	100	0	0	0	151	353	165	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Szrd1	23.611111	0	0	0	101	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	114	0	0	0	0	0	980	0	0	0	0	0	0	0	0	0
Dpp9	23.611111	0	0	0	220	203	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	258	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0
Vmn1r171	23.597222	0	0	0	0	0	0	0	265	219	317	364	240	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chl1	23.597222	0	0	0	0	0	0	0	180	262	335	346	223	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cert1	23.597222	0	0	0	166	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	707	0	0	0	0	0	0	0	0	0
Cdc42bpg	23.597222	0	0	0	0	0	0	0	0	0	0	0	0	256	115	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	407	111	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0
Nr1h3	23.583333	0	0	0	0	0	0	76	0	0	0	0	0	123	152	166	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	139	214	244	174	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr70	23.569444	0	0	0	105	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	203	227	85	0	0	0	522	0	0	0	0	0	0	0	0	0
Fcgr3	23.555556	0	0	0	246	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	203	169	0	124	0	0	0	0	0	0	0	0	0	146	0	120	0	0	0	0	398	0	0	0	0	0	0	0	0	0
Epb41l5	23.555556	0	0	0	259	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	96	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0
Cyp2f2	23.555556	0	0	0	0	0	0	0	180	205	351	262	369	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciart	23.555556	0	0	0	139	132	0	0	0	0	0	0	0	0	130	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	342	127	0	0	0	0	381	0	0	0	0	0	0	0	0	0
Aoc1	23.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1336	224	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrnb2	23.541667	0	0	0	0	0	0	0	0	294	358	226	388	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0
Mrpl23	23.527778	0	0	0	123	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	268	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	266	0	291	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0
Mdga1	23.527778	0	0	0	798	619	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpk1	23.527778	0	0	0	0	0	0	0	0	0	0	0	0	143	133	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	224	278	254	0	0	0	0	259	0	0	0	0	0	0	0	0	0
Tmed2	23.513889	0	0	0	111	288	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	98	150	0	0	0	0	531	0	0	0	0	0	0	148	0	0
Samd8	23.513889	0	0	0	529	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	772	0	0	0	0	0	0	0	0	0
Rrp9	23.513889	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	536	127	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0
Pm20d2	23.513889	0	0	0	735	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0
Parp3	23.513889	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	536	127	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0
