Target_genes	Smad3|Average	SRX14617681|CH12	SRX14617689|CH12	SRX14617690|CH12	SRX14617691|CH12	SRX14617703|CH12	SRX14617704|CH12	SRX9912241|CH12	SRX9912242|CH12	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|ES_cells	SRX026255|ES_cells	SRX026256|ES_cells	SRX026257|ES_cells	SRX477547|ES_cells	SRX5251387|ES_cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	SRX15279811|TCMK-1	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Tmbim7	43.125000	620	0	0	0	425	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smyd4	43.125000	82	0	0	0	0	87	125	0	0	0	0	0	272	354	264	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0
Rpa1	43.125000	82	0	0	0	0	87	125	0	0	0	0	0	272	354	264	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0
Btbd10	43.125000	82	0	0	0	0	88	158	0	0	0	0	0	184	159	156	0	0	0	0	0	101	0	202	150	0	0	0	0	0	100	0	0	0
Zfp322a	43.093750	113	0	0	0	84	89	126	0	0	0	0	0	121	215	83	0	0	0	0	0	123	0	112	0	0	0	0	0	106	98	0	109	0
Tmx3	43.093750	0	0	0	0	125	0	121	0	0	0	0	0	211	342	185	0	0	0	0	0	174	0	108	0	0	113	0	0	0	0	0	0	0
Srpr	43.093750	0	0	0	0	111	138	129	0	0	0	0	0	237	313	204	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0
Rab3gap2	43.093750	0	0	0	0	0	0	0	0	0	0	0	0	295	361	343	0	146	0	119	0	115	0	0	0	0	0	0	0	0	0	0	0	0
Pcif1	43.093750	150	0	0	0	102	115	193	0	0	0	0	0	209	346	160	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
Pak4	43.093750	176	0	0	0	165	91	0	0	0	0	0	0	139	137	181	0	199	0	126	0	165	0	0	0	0	0	0	0	0	0	0	0	0
Ndufaf7	43.093750	147	0	76	0	122	146	182	0	0	0	0	0	112	208	214	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0
Mesd	43.093750	150	0	0	0	154	165	149	0	0	0	0	0	185	213	250	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0
Lonp1	43.093750	133	0	115	0	118	0	213	0	0	0	0	0	272	90	212	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0
Git2	43.093750	73	0	0	0	0	0	139	0	0	0	0	0	171	292	281	0	0	0	108	0	210	0	0	0	0	0	0	0	0	0	0	105	0
Foxred1	43.093750	0	0	0	0	111	138	129	0	0	0	0	0	237	313	204	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc30	43.093750	126	0	0	0	0	106	112	0	0	0	0	0	257	176	258	0	0	0	0	0	0	0	144	0	0	116	0	0	0	84	0	0	0
Cebpz	43.093750	147	0	76	0	122	146	182	0	0	0	0	0	112	208	214	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0
Cdc37	43.093750	115	0	0	0	135	148	162	0	0	0	0	0	176	310	201	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0
Bud23	43.093750	126	0	0	0	0	106	112	0	0	0	0	0	257	176	258	0	0	0	0	0	0	0	144	0	0	116	0	0	0	84	0	0	0
Ankrd13a	43.093750	73	0	0	0	0	0	139	0	0	0	0	0	171	292	281	0	0	0	108	0	210	0	0	0	0	0	0	0	0	0	0	105	0
Spen	43.062500	119	0	0	0	123	80	89	0	0	0	0	0	211	335	93	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	121	0
Rock1	43.062500	96	0	0	0	0	93	127	0	0	0	0	0	334	330	253	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0
Prr5l	43.062500	152	0	170	135	159	81	117	0	0	0	0	0	131	199	163	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0
Kcnk5	43.062500	0	0	0	0	0	0	0	0	0	0	0	0	119	650	107	0	152	0	0	0	155	0	195	0	0	0	0	0	0	0	0	0	0
Dph6	43.062500	127	0	0	0	0	140	173	0	0	0	0	0	105	301	121	0	0	0	0	0	120	0	0	0	0	0	0	0	0	189	0	102	0
Dlg4	43.062500	127	0	0	0	0	0	118	0	0	0	0	0	197	190	222	0	0	0	0	0	273	0	0	0	0	0	0	0	0	119	0	132	0
Cp	43.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	87	0	0	189	0	0	160	263	138	208	0
Bnip2	43.062500	96	0	74	0	0	109	202	0	0	0	0	0	236	197	277	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	80	0
Sptlc2	43.031250	0	0	108	0	118	127	128	0	0	0	0	0	241	116	151	0	0	0	0	0	163	0	225	0	0	0	0	0	0	0	0	0	0
Smg7	43.031250	250	0	83	140	0	235	243	0	0	0	0	0	109	179	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rap1gds1	43.031250	96	0	0	0	126	131	181	0	0	0	0	0	214	198	0	0	0	0	0	0	205	0	226	0	0	0	0	0	0	0	0	0	0
Ilrun	43.031250	0	0	0	0	0	75	0	0	0	0	0	0	223	330	410	0	0	0	0	0	79	0	102	0	0	0	0	0	85	73	0	0	0
Fbxo10	43.031250	0	0	0	0	0	89	111	0	0	0	0	0	215	224	212	0	0	0	73	0	202	0	0	0	0	115	0	0	0	136	0	0	0
Eif2b2	43.031250	204	0	0	0	104	153	131	0	0	0	0	0	112	184	355	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Prpf39	43.000000	131	0	0	0	80	168	189	0	0	0	0	0	138	300	125	0	0	0	0	0	143	0	102	0	0	0	0	0	0	0	0	0	0
Pms1	43.000000	117	0	0	0	0	152	179	0	0	0	0	0	257	371	0	0	0	0	0	0	114	0	186	0	0	0	0	0	0	0	0	0	0
Ormdl1	43.000000	117	0	0	0	0	152	179	0	0	0	0	0	257	371	0	0	0	0	0	0	114	0	186	0	0	0	0	0	0	0	0	0	0
H2-T24	43.000000	151	0	0	0	220	107	0	0	0	0	0	0	244	473	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0
Gale	43.000000	91	0	0	0	0	0	0	0	0	0	0	0	371	221	296	0	0	0	124	0	181	0	92	0	0	0	0	0	0	0	0	0	0
Fibp	43.000000	106	0	0	0	101	0	120	0	0	0	0	0	153	344	187	0	0	0	0	0	0	0	276	0	0	0	0	0	0	89	0	0	0
Eef1akmt4-ece2	43.000000	109	0	0	0	0	95	136	0	0	0	0	0	181	219	91	0	0	0	0	0	223	0	197	125	0	0	0	0	0	0	0	0	0
Eef1akmt4	43.000000	109	0	0	0	0	95	136	0	0	0	0	0	181	219	91	0	0	0	0	0	223	0	197	125	0	0	0	0	0	0	0	0	0
Celf2	43.000000	137	0	0	0	0	0	0	0	0	0	584	0	131	213	141	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc85b	43.000000	106	0	0	0	101	0	120	0	0	0	0	0	153	344	187	0	0	0	0	0	0	0	276	0	0	0	0	0	0	89	0	0	0
Alg3	43.000000	109	0	0	0	0	95	136	0	0	0	0	0	181	219	91	0	0	0	0	0	223	0	197	125	0	0	0	0	0	0	0	0	0
Mllt3	42.968750	102	0	0	0	0	81	0	0	0	0	0	0	368	317	306	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0
Gbx2	42.968750	0	0	0	0	0	0	0	0	0	0	0	0	362	473	200	0	0	0	143	0	197	0	0	0	0	0	0	0	0	0	0	0	0
E2f8	42.968750	149	0	0	0	118	108	182	0	0	0	0	0	207	276	187	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Comtd1	42.968750	225	0	170	0	105	89	264	0	0	0	0	0	126	178	153	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
Zxdc	42.937500	0	0	0	0	0	75	146	0	0	0	0	0	230	292	306	0	92	0	0	0	123	0	0	0	0	110	0	0	0	0	0	0	0
Scarb1	42.937500	182	0	0	0	114	175	108	0	0	0	0	0	137	315	178	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0
Lnpk	42.937500	0	0	0	0	78	97	134	0	0	0	0	0	221	283	154	0	0	0	109	0	222	0	0	0	0	0	0	0	0	76	0	0	0
Igdcc3	42.937500	0	0	0	0	76	78	126	0	0	0	0	0	266	539	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap3	42.937500	62	0	87	0	0	75	117	0	0	0	0	0	224	441	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0
Tcp1	42.906250	72	0	0	0	123	0	136	0	0	0	0	0	280	144	124	0	0	0	0	0	0	0	84	0	0	0	0	0	145	159	0	106	0
Mthfsl	42.906250	87	0	0	0	0	0	166	0	0	0	0	0	245	227	0	0	0	0	0	0	117	0	109	79	0	107	0	0	0	99	0	137	0
Mrpl18	42.906250	72	0	0	0	123	0	136	0	0	0	0	0	280	144	124	0	0	0	0	0	0	0	84	0	0	0	0	0	145	159	0	106	0
Fbxo5	42.906250	81	0	0	0	0	0	126	0	0	0	0	0	257	418	234	0	0	0	155	0	102	0	0	0	0	0	0	0	0	0	0	0	0
Entpd5	42.906250	95	0	0	0	0	0	92	0	0	0	0	0	286	514	91	0	0	0	0	0	142	0	153	0	0	0	0	0	0	0	0	0	0
Ehd4	42.906250	92	0	0	0	99	0	136	0	0	0	0	0	226	293	182	0	0	0	0	0	189	0	156	0	0	0	0	0	0	0	0	0	0
Bbof1	42.906250	95	0	0	0	0	0	92	0	0	0	0	0	286	514	91	0	0	0	0	0	142	0	153	0	0	0	0	0	0	0	0	0	0
Zmym2	42.875000	145	0	0	0	152	150	166	0	0	0	0	0	132	279	0	0	0	0	0	0	96	0	127	0	0	125	0	0	0	0	0	0	0
Rrp15	42.875000	146	0	91	0	198	125	116	0	0	0	0	0	112	225	117	0	0	0	0	0	138	0	104	0	0	0	0	0	0	0	0	0	0
Ralgapa1	42.875000	160	0	0	0	88	128	200	0	0	0	0	0	147	301	130	0	0	0	0	0	126	0	0	0	0	0	0	0	0	92	0	0	0
Ndufaf1	42.875000	131	0	139	88	149	118	156	0	0	0	0	0	119	137	0	0	0	0	0	0	100	0	134	101	0	0	0	0	0	0	0	0	0
Magt1	42.875000	0	0	0	0	0	0	0	0	0	0	0	0	390	324	98	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0
Itpr1	42.875000	96	0	0	0	0	0	0	0	0	0	0	0	212	197	193	0	0	0	0	0	81	0	323	0	0	0	0	0	0	163	0	107	0
H3f3c	42.875000	131	0	139	88	149	118	156	0	0	0	0	0	119	137	0	0	0	0	0	0	100	0	134	101	0	0	0	0	0	0	0	0	0
Gtf3a	42.875000	108	0	0	0	0	123	159	0	0	0	0	0	190	368	194	0	0	0	0	0	157	0	73	0	0	0	0	0	0	0	0	0	0
Ephb3	42.875000	0	0	0	0	0	0	0	0	0	0	0	0	186	156	402	0	86	0	0	0	155	0	0	0	0	0	0	0	109	155	0	123	0
Dhx33	42.875000	212	0	127	0	0	130	145	0	0	0	0	0	127	233	245	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
Dennd1b	42.875000	217	0	91	0	171	217	139	0	0	0	0	0	162	260	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0
Cox7b	42.875000	0	0	0	0	0	0	0	0	0	0	0	0	390	324	98	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0
Anapc4	42.875000	85	0	0	0	93	118	76	0	0	0	0	0	272	299	141	0	111	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0
Srsf1	42.843750	128	0	0	0	130	113	143	0	0	0	0	0	203	231	122	0	0	0	97	0	204	0	0	0	0	0	0	0	0	0	0	0	0
Prmt5	42.843750	146	0	0	0	171	156	163	0	0	0	0	0	140	208	241	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0
Gm3411	42.843750	0	0	0	0	0	0	0	0	0	0	0	0	393	589	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0
Cmtr2	42.843750	73	0	0	0	138	0	107	0	0	0	0	0	274	290	333	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Cabp7	42.843750	183	0	220	0	173	139	0	0	0	0	0	0	152	256	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0
Wdr43	42.812500	0	0	0	0	92	85	121	0	0	0	0	0	252	273	280	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp4	42.812500	0	0	0	0	0	0	0	0	0	0	0	0	209	261	314	0	0	0	0	0	0	0	102	0	0	123	0	0	132	141	0	88	0
Helb	42.812500	0	0	0	0	0	0	0	0	0	0	0	0	217	441	235	0	87	0	0	0	214	0	85	0	0	0	0	0	0	91	0	0	0
Glrx3	42.812500	145	0	0	0	108	110	170	0	0	0	0	0	176	216	202	0	0	0	145	0	98	0	0	0	0	0	0	0	0	0	0	0	0
Esr2	42.812500	0	0	0	0	0	0	0	0	0	0	0	0	417	388	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0	0	0	0
Bmp2k	42.812500	160	0	0	0	114	144	161	0	0	0	0	0	271	238	89	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0
Wls	42.781250	0	0	0	0	0	0	0	0	0	0	0	0	272	364	116	0	0	0	0	0	357	0	0	119	0	141	0	0	0	0	0	0	0
Wdr61	42.781250	139	0	0	0	0	75	0	0	0	0	0	0	165	354	518	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0
Srrm2	42.781250	176	0	0	0	99	140	98	0	0	0	0	0	136	275	236	0	0	0	0	0	86	0	0	0	0	0	0	0	0	123	0	0	0
Senp1	42.781250	219	0	113	0	133	157	209	0	0	0	0	0	139	188	111	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
Rhou	42.781250	108	0	0	102	0	129	0	0	0	0	0	0	177	413	163	0	0	0	0	0	178	0	99	0	0	0	0	0	0	0	0	0	0
Orc5	42.781250	129	0	0	0	131	148	128	0	0	0	0	0	182	152	173	0	0	0	0	0	98	0	103	0	0	0	0	0	0	125	0	0	0
N4bp2l2	42.781250	138	0	0	0	129	104	152	0	0	0	0	0	251	280	161	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Dele1	42.781250	138	0	146	0	113	110	115	0	0	0	0	0	168	102	0	0	0	0	0	0	108	0	121	0	0	0	0	0	0	143	0	105	0
Cpox	42.781250	140	0	0	0	82	161	208	0	0	0	0	0	173	257	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	94	0	0	0
Adra2b	42.781250	124	0	0	0	0	0	0	0	0	0	0	0	240	441	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	0	0
Psmd7	42.750000	114	0	0	0	116	108	125	0	0	0	0	0	133	178	251	0	0	0	0	0	93	0	146	0	0	0	0	0	0	104	0	0	0
Prxl2a	42.750000	98	0	0	0	0	0	137	0	0	0	0	0	205	444	143	0	136	0	78	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Pcnx4	42.750000	0	0	0	0	0	0	0	0	0	0	0	0	312	493	304	0	0	0	0	0	163	0	0	0	0	0	0	0	0	96	0	0	0
Pcm1	42.750000	111	0	0	0	102	0	136	0	0	0	0	0	170	276	391	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh7	42.750000	0	0	0	0	0	0	0	0	0	0	0	0	388	310	146	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0
Dlc1	42.750000	0	0	0	0	0	0	0	0	0	0	0	0	231	277	173	0	76	0	127	0	106	0	166	0	0	0	0	0	0	99	0	113	0
Dalrd3	42.750000	131	0	0	0	0	0	0	0	0	0	0	0	128	333	197	0	0	0	363	0	216	0	0	0	0	0	0	0	0	0	0	0	0
Tpbgl	42.718750	85	0	111	0	124	141	0	0	0	0	0	0	285	306	87	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0
Togaram1	42.718750	158	0	0	141	86	166	205	0	0	0	0	0	233	141	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcn2	42.718750	0	0	0	0	0	0	0	0	0	0	0	0	190	859	0	0	135	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0
Klhl28	42.718750	158	0	0	141	86	166	205	0	0	0	0	0	233	141	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo44	42.718750	0	0	0	0	0	0	0	0	0	0	0	0	396	277	317	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo2	42.718750	0	0	0	0	0	0	0	0	0	0	0	0	396	277	317	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0
Derl1	42.718750	126	0	84	0	105	111	197	0	0	0	0	0	143	152	228	0	0	0	84	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Asl	42.718750	175	0	0	0	0	113	152	0	0	0	0	0	300	277	112	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0
Tmem260	42.687500	180	0	105	0	147	195	243	0	0	0	0	0	125	183	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	85	0	0	0
Gna11	42.687500	0	0	0	0	0	99	70	0	0	0	0	0	280	305	228	0	0	0	0	0	80	0	162	0	0	142	0	0	0	0	0	0	0
Bmp7	42.687500	0	0	0	0	0	0	0	0	0	0	0	0	401	409	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0
Zfp574	42.656250	96	0	0	0	92	102	117	0	0	0	0	0	249	336	136	0	0	0	0	0	170	0	0	0	0	0	0	0	67	0	0	0	0
Pdlim2	42.656250	201	0	104	93	136	0	151	0	0	0	0	0	202	238	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0
Grik5	42.656250	96	0	0	0	92	102	117	0	0	0	0	0	249	336	136	0	0	0	0	0	170	0	0	0	0	0	0	0	67	0	0	0	0
Cyth2	42.656250	191	0	0	79	0	114	122	0	0	0	0	0	150	206	155	0	0	0	0	0	0	0	165	0	0	0	0	0	0	104	0	79	0
Cebpd	42.656250	133	0	0	0	110	0	127	0	0	0	0	0	98	259	0	0	0	0	0	0	210	0	108	0	0	0	0	0	101	105	0	114	0
Saa3	42.625000	140	0	0	0	136	177	159	0	0	0	0	0	141	225	103	0	0	0	0	0	0	0	0	0	0	0	0	0	93	86	0	104	0
Ociad1	42.625000	191	0	0	0	101	150	163	0	0	0	0	0	202	242	215	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
Ino80	42.625000	157	0	0	0	76	186	198	0	0	0	0	0	159	235	170	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0
Dipk1a	42.625000	95	0	0	0	0	154	170	0	0	0	0	0	199	403	117	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0
Ddb2	42.625000	0	0	0	0	0	0	0	0	0	0	0	0	452	379	297	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc5	42.593750	173	0	0	0	123	173	0	0	0	0	0	0	136	230	192	0	0	0	0	0	126	0	120	0	0	0	0	0	0	90	0	0	0
Trp73	42.593750	163	0	0	0	0	0	0	0	0	0	0	0	211	715	0	0	0	0	0	0	132	0	142	0	0	0	0	0	0	0	0	0	0
Septin11	42.593750	114	0	0	0	0	126	102	0	0	0	0	0	176	311	141	0	0	0	0	0	155	0	238	0	0	0	0	0	0	0	0	0	0
Ahi1	42.593750	0	0	0	0	92	103	174	0	0	0	0	0	238	407	232	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
Trim23	42.562500	0	0	109	0	0	107	195	0	0	0	0	0	135	148	161	0	0	0	0	0	96	0	197	0	0	0	0	0	0	104	0	110	0
Trappc13	42.562500	0	0	109	0	0	107	195	0	0	0	0	0	135	148	161	0	0	0	0	0	96	0	197	0	0	0	0	0	0	104	0	110	0
Shld3	42.562500	0	0	109	0	0	107	195	0	0	0	0	0	135	148	161	0	0	0	0	0	96	0	197	0	0	0	0	0	0	104	0	110	0
Gpc6	42.562500	0	0	0	0	0	0	0	0	0	0	0	0	392	471	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc50	42.562500	211	0	0	0	0	151	242	0	0	0	0	0	213	327	70	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Add3	42.562500	0	0	0	0	0	0	111	0	0	0	0	0	181	149	421	0	115	0	62	0	101	0	222	0	0	0	0	0	0	0	0	0	0
Usp37	42.531250	151	0	89	128	95	0	149	0	0	0	0	0	219	302	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem119	42.531250	0	0	0	0	0	153	0	0	0	0	0	0	110	472	0	0	108	0	0	0	106	0	0	0	0	0	0	0	164	137	0	111	0
Slc35e2	42.531250	193	0	122	128	180	156	99	0	0	0	0	0	159	166	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3f	42.531250	142	0	0	0	153	0	226	0	0	0	0	0	239	310	184	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
Fbrsl1	42.531250	96	0	0	0	140	75	0	0	0	0	0	0	216	371	109	0	74	0	167	0	113	0	0	0	0	0	0	0	0	0	0	0	0
Dzank1	42.531250	142	0	0	0	153	0	226	0	0	0	0	0	239	310	184	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
Cnot9	42.531250	151	0	89	128	95	0	149	0	0	0	0	0	219	302	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chka	42.531250	0	0	0	0	98	96	115	0	0	0	0	0	210	240	213	0	67	0	0	0	0	0	85	0	0	0	0	0	81	156	0	0	0
4921524J17Rik	42.531250	111	0	0	0	0	84	115	0	0	0	0	0	255	229	189	0	0	0	0	0	126	0	156	0	0	0	0	0	0	96	0	0	0
Sfn	42.500000	186	0	0	0	0	186	0	0	0	0	0	0	247	475	117	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Setdb2	42.500000	139	0	0	0	0	182	176	0	0	0	0	0	188	282	112	0	0	0	0	0	110	0	171	0	0	0	0	0	0	0	0	0	0
Gm45935	42.500000	139	0	0	0	0	182	176	0	0	0	0	0	188	282	112	0	0	0	0	0	110	0	171	0	0	0	0	0	0	0	0	0	0
Cd3d	42.500000	430	0	0	0	510	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cab39l	42.500000	139	0	0	0	0	182	176	0	0	0	0	0	188	282	112	0	0	0	0	0	110	0	171	0	0	0	0	0	0	0	0	0	0
Trim37	42.468750	108	0	0	0	0	105	172	0	0	0	0	0	361	286	209	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0
Stk32c	42.468750	0	0	0	0	0	0	101	0	0	0	0	0	313	381	329	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0
Stat5b	42.468750	113	0	0	0	96	166	102	0	0	0	0	0	211	226	0	0	0	0	0	0	315	0	130	0	0	0	0	0	0	0	0	0	0
Septin5	42.468750	196	0	158	0	266	160	166	0	0	0	0	0	99	130	103	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0
Rbms1	42.468750	0	0	0	0	100	90	119	0	0	0	0	0	234	608	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc32	42.468750	131	0	0	0	241	212	0	0	0	0	0	0	283	315	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc27	42.468750	0	0	0	0	0	0	101	0	0	0	0	0	313	381	329	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0
Gk5	42.468750	110	0	0	0	0	0	134	0	0	0	0	0	383	249	268	0	0	0	0	0	138	0	77	0	0	0	0	0	0	0	0	0	0
Cox7a2	42.468750	128	0	0	0	0	124	182	0	0	0	0	0	331	200	243	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpp2	42.437500	241	0	0	0	96	187	137	0	0	0	0	0	108	255	180	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Smarcc1	42.437500	0	0	0	0	0	0	187	0	0	0	0	0	167	265	306	0	0	0	108	0	0	0	122	0	0	0	0	0	0	109	0	94	0
Neurog2	42.437500	0	0	118	0	0	0	0	0	0	0	0	0	546	452	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0
Ckap2	42.437500	157	0	148	0	0	106	224	0	0	0	0	0	330	195	91	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
B3gnt7	42.437500	0	0	0	0	0	0	0	0	0	0	0	0	405	571	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0
Aftph	42.437500	122	0	0	0	89	100	141	0	0	0	0	0	263	249	207	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0
Pde10a	42.406250	0	0	0	0	0	0	0	0	0	0	0	0	313	445	117	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0
Naa15	42.406250	96	0	0	0	0	65	181	0	0	0	0	0	201	170	167	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0
Otp	42.375000	168	0	0	0	0	0	0	0	0	0	0	0	418	464	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0
Ndufaf3	42.375000	131	0	0	0	0	0	0	0	0	0	0	0	116	333	197	0	0	0	363	0	216	0	0	0	0	0	0	0	0	0	0	0	0
Mast2	42.375000	100	0	0	0	93	122	166	0	0	0	0	0	0	241	245	0	0	0	0	0	149	0	151	0	0	0	0	0	0	89	0	0	0
Atxn1l	42.375000	118	0	119	0	145	119	293	0	0	0	0	0	200	251	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suclg2	42.343750	92	0	138	0	112	0	181	0	0	0	0	0	269	235	0	0	0	0	0	0	250	0	78	0	0	0	0	0	0	0	0	0	0
Stx4a	42.343750	168	0	0	0	90	158	95	0	0	0	0	0	171	266	118	0	0	0	0	0	78	0	100	0	0	0	0	0	0	111	0	0	0
Slc34a3	42.343750	513	0	0	0	449	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf224	42.343750	513	0	0	0	449	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyurf	42.343750	181	0	0	0	80	139	178	0	0	0	0	0	205	324	0	0	0	0	0	0	148	0	100	0	0	0	0	0	0	0	0	0	0
Psma1	42.343750	0	0	0	0	0	0	88	0	0	0	0	0	329	272	259	0	120	0	150	0	0	0	137	0	0	0	0	0	0	0	0	0	0
Hrc	42.343750	120	0	0	0	144	0	0	0	0	0	0	0	149	377	185	0	106	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0
