Target_genes	FOXO1|Average	SRX1012536|B_cells	SRX1012537|B_cells	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX10475880|Hep_G2	SRX10475881|Hep_G2	SRX3230384|Hep_G2	SRX5548891|HUVEC	SRX5548892|HUVEC	SRX359830|LoVo	SRX9674621|Myoblasts	SRX9674623|Myoblasts	SRX9674625|Myoblasts	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	SRX9674615|RH-30	SRX9674611|Rh-4	SRX9674613|Rh-4	SRX9674619|SMS-CTR	SRX7570799|SU-DHL-4	SRX7570800|SU-DHL-4	SRX7570801|SU-DHL-4	SRX9674617|Unclassified	STRING
CRTAP	33.640000	0	0	0	0	0	0	95	134	0	0	231	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0
ATG16L2	33.640000	0	0	0	0	0	0	91	67	0	0	91	0	0	0	0	0	592	0	0	0	0	0	0	0	0	0
ZBTB40	33.600000	0	0	0	0	0	125	270	235	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP46	33.600000	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0
STIM1	33.600000	0	0	0	0	0	0	156	0	0	0	168	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0
REV3L	33.600000	0	0	0	0	0	0	185	0	0	0	123	0	0	127	0	0	405	0	0	0	0	0	0	0	0	0
MED4	33.600000	0	0	0	0	0	76	186	189	310	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2BC11	33.600000	0	0	0	0	0	0	154	0	0	0	204	0	0	0	0	0	120	0	0	0	0	178	184	0	0	0
H2AC11	33.600000	0	0	0	0	0	0	154	0	0	0	204	0	0	0	0	0	120	0	0	0	0	178	184	0	0	0
FUBP1	33.600000	0	0	0	0	0	0	94	0	0	0	0	0	0	180	233	0	0	0	198	135	0	0	0	0	0	0
E2F8	33.600000	0	0	0	0	0	0	0	0	0	0	84	0	0	344	0	0	175	0	237	0	0	0	0	0	0	0
ADIPOR1	33.600000	0	0	0	0	0	0	129	0	0	0	212	0	0	0	0	0	292	0	0	0	0	142	65	0	0	0
ZNF300	33.560000	0	0	0	0	0	0	150	0	0	0	0	0	0	213	126	0	0	0	185	165	0	0	0	0	0	0
TPCN2	33.560000	0	0	0	0	0	642	0	70	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0
PSMD9	33.560000	0	0	0	0	0	0	170	277	0	0	151	0	0	0	93	0	148	0	0	0	0	0	0	0	0	0
PGC	33.560000	0	0	0	0	0	0	195	409	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS1	33.560000	0	0	0	0	0	0	147	220	158	0	0	0	0	128	69	0	0	0	0	117	0	0	0	0	0	0
DAXX	33.560000	205	0	0	0	0	0	0	132	0	0	141	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0
ACBD6	33.560000	0	0	0	0	0	0	266	143	0	0	160	0	0	136	0	0	134	0	0	0	0	0	0	0	0	0
ABHD12B	33.560000	0	0	0	0	0	0	161	234	103	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0
TRPV2	33.520000	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	341	0	0	0	0	0	0	0	0	0
STIL	33.520000	0	0	0	0	0	0	78	121	0	0	125	0	0	101	0	0	335	0	0	0	0	0	78	0	0	0
SMPD3	33.520000	0	0	0	0	0	0	226	171	0	0	70	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0
RPL3	33.520000	0	0	0	0	0	139	128	123	0	0	214	0	0	126	0	0	108	0	0	0	0	0	0	0	0	0
PTS	33.520000	0	0	0	0	0	356	108	119	0	0	151	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0319	33.520000	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	118	0	0	177	274	95	0	0
GPR62	33.520000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	0
EPHB6	33.520000	0	0	0	0	0	764	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID3A	33.520000	266	105	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	75	116	170	0	0
TRIM27	33.480000	0	0	0	0	0	0	179	186	0	0	203	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0
ST7	33.480000	0	0	0	0	0	0	67	0	0	0	86	0	0	123	0	0	561	0	0	0	0	0	0	0	0	0
SCGN	33.480000	0	0	0	0	0	0	526	242	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRT1	33.480000	0	0	0	0	0	105	185	226	0	0	0	0	0	173	0	0	148	0	0	0	0	0	0	0	0	0
PPT2	33.480000	0	0	0	0	0	105	185	226	0	0	0	0	0	173	0	0	148	0	0	0	0	0	0	0	0	0
ETV6	33.480000	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0
C11orf58	33.480000	0	0	0	0	0	0	159	132	0	0	144	0	0	123	135	0	144	0	0	0	0	0	0	0	0	0
APPBP2	33.480000	0	0	0	0	0	0	140	158	0	0	270	0	0	109	0	0	0	0	0	0	0	160	0	0	0	0
WASHC2A	33.440000	0	0	0	0	0	0	354	135	0	0	134	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0
VPS8	33.440000	0	0	0	0	0	167	259	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0
TEN1	33.440000	0	0	0	0	0	0	95	315	170	0	102	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
SDF4	33.440000	0	0	0	0	0	0	121	0	0	0	116	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0
NAIF1	33.440000	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	748	0	0	0	0	0	0	0	0	0
IL4I1	33.440000	185	0	0	0	0	0	229	172	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0
GNG10	33.440000	0	0	0	0	0	0	0	87	0	0	143	0	0	354	144	0	108	0	0	0	0	0	0	0	0	0
FCHSD2	33.440000	0	0	0	0	0	0	86	126	0	0	109	0	0	0	0	0	387	0	0	0	0	0	0	128	0	0
B3GALT6	33.440000	0	0	0	0	0	0	121	0	0	0	116	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0
ACOX1	33.440000	0	0	0	0	0	0	95	315	170	0	102	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
SLAIN2	33.400000	0	0	0	0	0	0	127	159	0	0	135	0	0	124	141	0	149	0	0	0	0	0	0	0	0	0
GMEB1	33.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0
FKBP9	33.400000	0	0	0	0	0	0	138	150	0	0	193	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0
ANKRD26	33.400000	0	0	0	0	0	0	72	0	0	0	84	0	0	123	0	0	556	0	0	0	0	0	0	0	0	0
TMEM198	33.360000	0	0	0	0	0	169	172	0	0	0	98	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0
TBC1D32	33.360000	0	0	0	0	0	110	214	199	0	0	202	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0
RALA	33.360000	0	0	0	0	0	0	115	82	0	0	0	0	0	303	0	0	334	0	0	0	0	0	0	0	0	0
PVALB	33.360000	0	0	0	0	0	0	0	0	0	0	0	0	0	413	199	0	122	100	0	0	0	0	0	0	0	0
PPM1D	33.360000	0	0	0	0	0	0	245	237	0	0	162	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	33.360000	0	0	0	0	0	123	176	138	0	0	163	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0
NIPA1	33.360000	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0
MAPKAP1	33.360000	0	0	0	0	0	0	63	127	0	0	193	0	0	231	0	0	220	0	0	0	0	0	0	0	0	0
LSM6	33.360000	0	0	0	0	0	0	116	109	0	0	153	0	0	170	79	0	207	0	0	0	0	0	0	0	0	0
FSD1L	33.360000	0	0	0	0	0	0	114	186	0	0	144	0	0	0	121	0	269	0	0	0	0	0	0	0	0	0
CHPF	33.360000	0	0	0	0	0	169	172	0	0	0	98	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0
C9orf139	33.360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0
B4GALT5	33.360000	0	0	0	0	0	0	0	114	0	0	0	0	0	254	93	0	303	0	70	0	0	0	0	0	0	0
ABCA2	33.360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0
SUMF1	33.320000	0	0	0	0	0	139	279	149	0	0	141	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0
PPFIBP1	33.320000	0	0	0	0	0	313	107	121	0	0	163	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
NT5M	33.320000	0	0	0	0	0	0	0	0	0	0	0	0	0	183	158	0	492	0	0	0	0	0	0	0	0	0
MCC	33.320000	0	0	0	0	0	147	113	0	0	0	128	0	0	187	107	0	151	0	0	0	0	0	0	0	0	0
IVNS1ABP	33.320000	0	0	0	0	0	0	110	137	0	0	150	0	0	0	0	0	308	0	128	0	0	0	0	0	0	0
ARFGAP3	33.320000	0	0	0	0	0	0	169	201	0	0	104	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0
SYCE3	33.280000	0	0	0	0	0	0	0	114	0	0	0	0	0	285	287	0	146	0	0	0	0	0	0	0	0	0
POLR2K	33.280000	0	0	0	0	0	81	98	161	0	0	143	0	0	135	0	0	214	0	0	0	0	0	0	0	0	0
LIME1	33.280000	149	0	0	0	0	0	119	222	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0
GOSR2	33.280000	0	0	0	0	0	0	355	154	0	0	87	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0
ADCY5	33.280000	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0
HEXD	33.240000	0	0	0	0	0	0	283	171	0	0	0	0	0	0	153	0	224	0	0	0	0	0	0	0	0	0
F10	33.240000	0	0	0	0	0	0	277	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHD1	33.240000	0	0	0	0	0	424	137	0	0	0	116	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0
CBR4	33.240000	0	0	0	0	0	0	155	0	0	0	0	0	0	229	160	0	287	0	0	0	0	0	0	0	0	0
ZPBP2	33.200000	304	0	0	0	0	0	281	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC12	33.200000	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	0
RECK	33.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0	0	0	0	0	0	0	0	0
PIGL	33.200000	0	0	0	0	0	0	226	122	0	0	148	0	0	0	0	0	181	0	153	0	0	0	0	0	0	0
NUP214	33.200000	0	0	0	0	0	0	299	119	0	0	270	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0
NCOR1	33.200000	0	0	0	0	0	0	226	122	0	0	148	0	0	0	0	0	181	0	153	0	0	0	0	0	0	0
GNPDA1	33.200000	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	747	0	0	0	0	0	0	0	0	0
ZXDB	33.160000	0	0	0	0	0	0	98	0	0	0	139	0	0	0	0	0	592	0	0	0	0	0	0	0	0	0
ZBTB39	33.160000	0	0	0	0	0	0	355	413	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
PAXX	33.160000	0	0	0	0	0	0	0	0	0	0	0	0	0	492	149	0	188	0	0	0	0	0	0	0	0	0
MEX3A	33.160000	0	0	0	0	0	173	126	212	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM160A1	33.160000	0	0	0	0	0	0	117	91	0	0	153	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0
DNAJB6	33.160000	0	0	0	0	0	0	0	138	0	0	168	0	0	0	0	0	233	0	0	0	0	0	149	141	0	0
SPRYD3	33.120000	0	0	0	0	0	88	222	133	0	0	185	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0
SOX13	33.120000	0	0	0	0	0	0	135	141	0	0	185	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0
RLIM	33.120000	0	0	0	0	0	0	156	0	0	0	124	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0
RBCK1	33.120000	0	0	0	0	0	0	140	283	0	0	158	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0
RAD23A	33.120000	0	0	0	0	0	184	133	183	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0
ECSIT	33.120000	0	0	0	0	0	0	88	91	0	0	158	0	0	345	146	0	0	0	0	0	0	0	0	0	0	0
CMSS1	33.120000	0	0	0	0	0	179	150	284	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC16A1	33.080000	0	0	0	0	0	0	246	183	0	0	139	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0
SEC61G	33.080000	0	0	0	0	0	0	213	126	0	0	189	0	0	137	0	0	162	0	0	0	0	0	0	0	0	0
KCTD3	33.080000	0	0	0	0	0	0	227	124	0	0	118	0	0	62	0	0	296	0	0	0	0	0	0	0	0	0
GTPBP4	33.080000	0	0	0	0	0	0	155	200	259	0	0	0	0	133	80	0	0	0	0	0	0	0	0	0	0	0
FUT5	33.080000	0	0	0	0	0	0	211	478	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBR1	33.080000	0	0	0	0	0	0	86	547	65	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MC1	33.080000	0	0	0	0	0	98	0	111	321	0	114	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0
TMEM40	33.040000	0	0	0	0	0	117	0	156	0	0	132	0	0	181	240	0	0	0	0	0	0	0	0	0	0	0
SGMS1	33.040000	0	0	0	0	0	0	168	0	0	0	98	0	0	97	0	0	463	0	0	0	0	0	0	0	0	0
RPS10-NUDT3	33.040000	0	0	0	0	0	0	153	96	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0
RPS10	33.040000	0	0	0	0	0	0	153	96	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0
ITFG2	33.040000	0	0	0	0	0	0	199	233	147	0	147	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
GTF2H3	33.040000	0	0	0	0	0	0	211	299	0	0	172	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0
EIF2B1	33.040000	0	0	0	0	0	0	211	299	0	0	172	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0
CHADL	33.040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0
ZBTB34	33.000000	0	0	0	0	0	0	102	0	0	0	217	0	0	0	0	0	278	0	0	0	0	123	0	105	0	0
TRAPPC2L	33.000000	0	0	0	0	0	0	224	132	0	0	133	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0
TNFRSF1A	33.000000	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	0	0
SNX29	33.000000	0	0	0	0	0	81	236	196	0	0	139	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0
SDCBP2	33.000000	0	0	0	0	0	189	176	289	95	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNS	33.000000	0	0	0	0	0	0	224	132	0	0	133	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0
ATP11A	33.000000	0	0	0	0	0	0	83	210	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	0	0
ZNF512B	32.960000	0	0	0	0	0	0	197	229	0	0	0	0	0	125	120	0	153	0	0	0	0	0	0	0	0	0
TBL1XR1	32.960000	0	0	0	0	0	0	204	235	0	0	0	0	0	0	0	0	194	0	0	0	0	191	0	0	0	0
RBM4B	32.960000	0	0	0	0	0	0	132	118	0	0	249	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0
RAB2A	32.960000	0	0	0	0	0	0	151	89	0	0	202	0	0	207	0	0	175	0	0	0	0	0	0	0	0	0
PCBP1	32.960000	0	0	0	0	0	0	63	85	0	0	89	0	0	0	0	0	587	0	0	0	0	0	0	0	0	0
ELOA	32.960000	0	0	0	0	0	0	172	206	0	0	151	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0
CASZ1	32.960000	0	0	0	0	0	113	118	0	0	0	0	0	0	192	182	0	0	0	90	129	0	0	0	0	0	0
ADPRH	32.960000	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	710	0	0	0	0	0	0	0	0	0
PMPCA	32.920000	0	0	0	0	0	0	187	171	0	0	163	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0
MAPK15	32.920000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0	0	0
GPR135	32.920000	0	0	0	0	0	100	174	0	0	0	85	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0
GET1-SH3BGR	32.920000	0	0	0	0	0	0	66	159	0	0	142	0	0	0	74	0	205	0	0	0	0	177	0	0	0	0
FERMT2	32.920000	0	0	0	0	0	0	142	102	114	0	0	0	0	131	0	0	334	0	0	0	0	0	0	0	0	0
ENTR1	32.920000	0	0	0	0	0	0	187	171	0	0	163	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0
TSPAN3	32.880000	0	0	0	0	0	0	123	0	0	0	0	0	0	174	0	0	525	0	0	0	0	0	0	0	0	0
SNX19	32.880000	0	0	0	0	0	156	0	0	0	0	230	0	0	291	145	0	0	0	0	0	0	0	0	0	0	0
RTL10	32.880000	0	0	0	0	0	0	133	92	0	0	145	0	0	294	0	0	158	0	0	0	0	0	0	0	0	0
RPL7	32.880000	0	0	0	0	0	0	109	0	0	0	127	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0
RDH10	32.880000	0	0	0	0	0	0	109	0	0	0	127	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0
MED26	32.880000	0	0	0	0	0	294	0	93	0	0	84	0	0	143	0	0	0	0	0	0	0	208	0	0	0	0
MARK3	32.880000	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	633	0	0	0	0	0	0	0	0	0
IFRD2	32.880000	0	0	0	0	0	109	128	145	0	0	195	0	0	141	104	0	0	0	0	0	0	0	0	0	0	0
GNB1L	32.880000	0	0	0	0	0	0	133	92	0	0	145	0	0	294	0	0	158	0	0	0	0	0	0	0	0	0
EIF4H	32.880000	0	0	0	0	0	0	113	0	0	0	104	0	0	96	188	0	204	0	117	0	0	0	0	0	0	0
EIF3M	32.880000	0	0	0	0	0	84	127	149	0	0	202	0	0	170	90	0	0	0	0	0	0	0	0	0	0	0
CDC6	32.880000	0	0	0	0	0	0	115	0	0	0	0	0	0	528	179	0	0	0	0	0	0	0	0	0	0	0
VPS25	32.840000	0	0	0	0	0	0	416	226	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0
NOLC1	32.840000	0	0	0	0	0	0	163	104	0	0	132	0	0	218	0	0	0	0	0	0	0	91	113	0	0	0
MRPS21	32.840000	0	0	0	0	0	0	140	320	167	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB14	32.840000	0	0	0	0	0	0	82	67	0	0	183	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0
DIS3L2	32.840000	0	0	0	0	0	0	153	198	0	0	313	0	0	74	0	0	83	0	0	0	0	0	0	0	0	0
TMEM239	32.800000	0	0	0	0	0	551	0	0	0	0	0	0	0	129	0	0	140	0	0	0	0	0	0	0	0	0
ST7L	32.800000	0	0	0	0	0	0	130	0	231	0	98	0	0	92	0	0	181	0	88	0	0	0	0	0	0	0
SMDT1	32.800000	0	0	0	0	0	0	126	169	0	0	185	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0
SLC35B4	32.800000	0	0	0	0	0	0	161	214	0	0	199	0	0	0	0	0	125	0	0	0	0	121	0	0	0	0
PTPRA	32.800000	0	0	0	0	0	0	138	133	0	0	0	0	0	138	0	0	411	0	0	0	0	0	0	0	0	0
NUCKS1	32.800000	0	0	0	0	0	0	0	150	0	0	162	0	0	171	0	0	215	0	0	0	0	0	122	0	0	0
IFT52	32.800000	0	0	0	0	0	0	230	231	0	0	233	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0
GSR	32.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	702	0	0	0	0	0	0	0	0	0
DOCK5	32.800000	0	0	0	0	0	0	196	217	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0
CDC25A	32.800000	0	0	0	0	0	0	79	94	0	0	93	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0
CAPZA1	32.800000	0	0	0	0	0	0	130	0	231	0	98	0	0	92	0	0	181	0	88	0	0	0	0	0	0	0
BBS10	32.800000	0	0	0	0	0	0	136	0	0	0	130	0	0	0	0	0	173	0	0	0	0	178	112	91	0	0
USH1G	32.760000	0	0	0	0	0	0	0	0	0	0	0	0	0	312	73	0	434	0	0	0	0	0	0	0	0	0
PLEKHF1	32.760000	0	0	0	0	0	169	0	0	0	0	0	0	0	111	0	0	539	0	0	0	0	0	0	0	0	0
OTOP2	32.760000	0	0	0	0	0	0	0	0	0	0	0	0	0	312	73	0	434	0	0	0	0	0	0	0	0	0
NDUFC1	32.760000	0	0	0	0	0	0	93	137	0	0	195	0	0	162	72	0	160	0	0	0	0	0	0	0	0	0
NAA15	32.760000	0	0	0	0	0	0	93	137	0	0	195	0	0	162	72	0	160	0	0	0	0	0	0	0	0	0
KIAA1958	32.760000	0	0	0	0	0	0	222	189	0	0	91	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0
GPRC5C	32.760000	0	0	0	0	0	0	236	233	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0
EOLA1	32.760000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819	0	0	0	0	0	0	0	0	0
DSP	32.760000	0	0	0	0	0	0	168	371	0	0	126	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0
DENND6B	32.760000	0	0	0	0	0	0	0	137	0	0	121	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0
CENPE	32.760000	0	0	0	0	0	0	91	0	0	0	251	0	0	296	0	0	0	0	181	0	0	0	0	0	0	0
C9orf147	32.760000	0	0	0	0	0	0	222	189	0	0	91	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0
ARHGAP5	32.760000	0	0	0	0	0	0	180	213	0	0	121	0	0	0	0	0	247	0	58	0	0	0	0	0	0	0
AQP11	32.760000	0	0	0	0	0	0	159	115	0	0	109	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0
ABCA10	32.760000	166	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	256	0	0
TTI1	32.720000	0	0	0	0	0	0	264	244	0	0	86	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0
TMEM14C	32.720000	0	0	0	0	0	0	140	308	97	0	140	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0
THAP3	32.720000	0	0	0	0	0	0	108	0	0	0	0	0	0	204	0	0	360	0	146	0	0	0	0	0	0	0
STC2	32.720000	0	0	0	0	0	0	77	164	0	0	208	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0
RPRD1B	32.720000	0	0	0	0	0	0	264	244	0	0	86	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0
RASL10A	32.720000	0	0	0	0	0	0	0	0	0	0	0	0	0	274	102	0	442	0	0	0	0	0	0	0	0	0
MANEA	32.720000	0	0	0	0	0	384	144	0	0	0	169	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0
HACD3	32.720000	0	0	0	0	0	216	104	237	130	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALK1	32.720000	0	0	0	0	0	0	115	287	0	0	0	0	0	145	0	0	271	0	0	0	0	0	0	0	0	0
FAM114A1	32.720000	0	0	0	0	0	410	159	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMC4	32.720000	0	0	0	0	0	162	165	131	0	0	0	0	0	300	60	0	0	0	0	0	0	0	0	0	0	0
CZIB	32.720000	0	0	0	0	0	118	190	139	0	0	125	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0
ZNF184	32.680000	0	0	0	0	0	0	224	280	0	0	151	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0
NQO2	32.680000	0	0	0	0	0	0	235	208	0	0	0	0	0	0	0	0	124	0	0	0	0	101	0	149	0	0
NHLRC2	32.680000	0	0	0	0	0	0	139	165	0	0	149	0	0	229	135	0	0	0	0	0	0	0	0	0	0	0
FAM185A	32.680000	0	0	0	0	0	0	175	88	0	0	91	0	0	0	0	0	0	0	0	0	0	160	156	147	0	0
FAM160A2	32.680000	0	0	0	0	0	129	113	0	0	0	418	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0
DCLRE1A	32.680000	0	0	0	0	0	0	139	165	0	0	149	0	0	229	135	0	0	0	0	0	0	0	0	0	0	0
CNGA4	32.680000	0	0	0	0	0	129	113	0	0	0	418	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0
ARHGEF39	32.680000	0	0	0	0	0	0	145	152	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0
UNC80	32.640000	0	0	0	0	0	0	477	245	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0
PXYLP1	32.640000	0	0	0	0	0	80	0	196	104	0	167	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0
KRTAP5-9	32.640000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0
FAT1	32.640000	0	0	0	0	0	0	123	184	0	0	133	0	0	254	0	0	122	0	0	0	0	0	0	0	0	0
CYP2E1	32.640000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0
TMEM14B	32.600000	0	0	0	0	0	122	248	248	0	0	113	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0
SOX9	32.600000	0	0	0	0	0	0	0	137	0	0	0	0	0	465	213	0	0	0	0	0	0	0	0	0	0	0
SNN	32.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	174	249	123	0	0
PPP1R37	32.600000	0	0	0	0	0	0	0	189	0	0	93	0	0	332	201	0	0	0	0	0	0	0	0	0	0	0
GFPT1	32.600000	0	0	0	0	0	0	179	183	0	0	141	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0
EFHC1	32.600000	0	0	0	0	0	0	145	195	0	0	155	0	0	178	56	0	86	0	0	0	0	0	0	0	0	0
AGMAT	32.600000	0	0	0	0	0	0	216	457	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
HMOX2	32.560000	0	0	0	0	0	403	138	141	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM7	32.520000	0	0	0	0	0	109	173	121	134	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0
SNX8	32.520000	0	0	0	0	0	0	0	107	0	0	0	0	0	116	0	0	383	0	207	0	0	0	0	0	0	0
PHLDB1	32.520000	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0
